gml_id,sa3_name16,sa3_code16,neg_nil_inc_fam_households,neg_nil_inc_non_fam_househlds,negative_nil_income_tot,hi_1_149_family_households,hi_1_149_non_family_hseholds,hi_1_149_tot,hi_150_299_family_households,hi_150_299_non_fam_househlds,hi_150_299_tot,hi_300_399_family_households,hi_300_399_non_fam_househlds,hi_300_399_tot,hi_400_499_family_households,hi_400_499_non_fam_househlds,hi_400_499_tot,hi_500_649_family_households,hi_500_649_non_fam_househlds,hi_500_649_tot,hi_650_799_family_households,hi_650_799_non_fam_househlds,hi_650_799_tot,hi_800_999_fam_households,hi_800_999_non_fam_hsehlds,hi_800_999_tot,hi_1000_1249_fam_households,hi_1000_1249_non_fam_hsehlds,hi_1000_1249_tot,hi_1250_1499_fam_households,hi_1250_1499_non_fam_hsehlds,hi_1250_1499_tot,hi_1500_1749_fam_households,hi_1500_1749_non_fam_hsehlds,hi_1500_1749_tot,hi_1750_1999_fam_households,hi_1750_1999_non_fam_hsehlds,hi_1750_1999_tot,hi_2000_2499_fam_households,hi_2000_2499_non_fam_hsehlds,hi_2000_2499_tot,hi_2500_2999_fam_households,hi_2500_2999_non_fam_hsehlds,hi_2500_2999_tot,hi_3000_3499_fam_households,hi_3000_3499_non_fam_hsehlds,hi_3000_3499_tot,hi_3500_3999_fam_households,hi_3500_3999_non_fam_hsehlds,hi_3500_3999_tot,hi_4000_more_fam_households,hi_4000_more_non_fam_hsehlds,hi_4000_more_tot,part_inc_stated_fam_household,part_inc_std_non_fam_hhds,partial_income_stated_tot,all_incomes_ns_famly_househld,all_inc_ns_non_famly_househld,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9c,Dubbo,"10503","124","170","299","83","120","209","135","445","580","159","773","931","580","1525","2108","588","672","1266","1589","632","2216","1184","713","1892","1572","641","2216","1478","416","1885","1083","314","1401","1128","229","1359","1943","320","2265","1265","44","1313","787","30","817","422","117","541","749","32","780","1945","123","2069","399","631","1030","17223","7956","25178"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9b,Lower Hunter,"10601","148","211","357","94","102","196","176","503","678","197","816","1013","728","1729","2459","764","662","1427","1995","669","2660","1431","719","2150","1887","666","2551","1773","444","2219","1446","305","1753","1499","253","1749","2719","434","3160","1758","46","1810","1091","31","1123","687","159","846","1407","35","1445","2143","124","2272","390","472","867","22338","8391","30732"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9a,Maitland,"10602","110","130","248","78","74","149","101","328","435","153","572","727","503","1273","1780","566","561","1131","1552","488","2041","1207","614","1821","1570","534","2099","1611","348","1958","1413","281","1689","1332","248","1578","2642","307","2949","1867","32","1902","1120","14","1137","671","95","759","1320","25","1341","1852","112","1962","268","392","663","19926","6437","26365"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e99,Port Stephens,"10603","151","188","340","96","99","195","142","389","531","138","695","832","661","1668","2324","604","833","1437","1939","652","2591","1446","719","2166","1863","655","2519","1708","380","2089","1247","287","1531","1190","202","1392","2097","259","2363","1390","40","1423","778","14","787","442","132","572","898","40","939","1898","109","2011","320","520","841","19001","7872","26875"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e98,Upper Hunter,"10604","75","70","150","44","65","110","76","199","273","69","305","369","231","622","854","247","267","513","610","285","896","481","295","771","595","278","879","574","191","767","445","150","596","477","135","605","943","232","1178","648","25","666","421","17","434","249","67","318","479","28","510","753","47","798","171","243","418","7596","3515","11115"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e97,Dapto - Port Kembla,"10701","167","177","336","117","93","208","144","522","663","152","943","1096","680","1648","2325","626","652","1285","2004","471","2478","1315","516","1832","1663","500","2161","1617","279","1900","1330","246","1571","1283","166","1452","2454","192","2639","1630","18","1656","944","8","956","574","64","637","1040","9","1049","1752","106","1849","326","495","823","19818","7096","26912"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e96,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e95,Kiama - Shellharbour,"10703","159","168","331","110","82","190","157","377","534","168","787","951","638","1601","2246","703","687","1385","2097","563","2660","1519","630","2152","1994","585","2580","1898","356","2251","1586","302","1890","1653","217","1869","2983","333","3315","2079","55","2135","1304","20","1324","866","119","983","1562","34","1593","2364","128","2490","325","439","767","24163","7497","31662"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e94,Wollongong,"10704","278","475","752","158","242","399","235","953","1187","188","1530","1720","860","2624","3484","825","1254","2077","2211","1102","3312","1743","1168","2906","2315","1261","3577","2210","907","3120","1711","756","2467","1941","607","2548","3897","823","4716","3100","145","3244","2162","79","2241","1479","323","1810","3155","73","3224","3117","484","3596","394","918","1308","31964","15715","47681"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e93,Great Lakes,"10801","79","110","194","77","85","154","70","280","347","75","468","541","451","1222","1677","334","530","860","1364","442","1805","804","443","1248","1002","340","1338","784","169","950","444","104","551","441","106","546","651","112","759","359","16","382","161","12","175","126","62","189","214","23","238","785","69","856","214","415","624","8428","4997","13424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e92,Kempsey - Nambucca,"10802","104","127","227","93","97","193","115","473","589","140","766","912","539","1668","2212","617","676","1287","1780","622","2398","1186","590","1771","1329","455","1785","1160","232","1391","769","144","909","694","107","800","1015","139","1157","528","33","560","274","18","290","146","65","209","249","26","272","1168","101","1266","304","534","836","12191","6873","19066"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e91,Lord Howe Island,"10803","0","0","0","0","0","0","0","0","0","3","4","5","0","7","7","0","3","3","6","10","13","5","0","8","9","11","14","6","3","12","9","3","9","3","4","8","15","4","18","9","0","9","0","0","0","4","0","4","4","0","4","14","3","14","0","3","3","90","55","141"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e90,Port Macquarie,"10804","152","216","366","91","124","213","128","523","654","151","1033","1189","695","2388","3078","764","1151","1915","2593","916","3508","1851","873","2725","2217","715","2936","2050","432","2484","1303","303","1610","1269","220","1487","2175","319","2491","1346","53","1402","755","26","780","448","141","588","835","47","878","1860","140","2004","414","819","1235","21096","10431","31530"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8f,Taree - Gloucester,"10805","140","144","284","97","111","203","161","475","633","149","777","932","682","1770","2451","636","765","1408","2050","584","2635","1369","584","1952","1615","434","2048","1415","246","1659","933","163","1093","852","102","956","1149","133","1281","689","23","709","317","6","327","184","71","257","302","26","325","1378","90","1461","334","459","789","14445","6954","21397"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8e,Albury,"10901","89","174","267","73","110","188","109","484","590","132","749","884","481","1465","1941","500","814","1309","1279","733","2013","1078","807","1890","1389","671","2059","1416","493","1906","1079","296","1366","1045","220","1266","1895","295","2183","1212","56","1269","729","21","749","409","120","528","694","21","710","1415","157","1567","295","436","734","15316","8111","23431"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8d,Lower Murray,"10902","40","43","84","21","37","62","41","89","129","36","150","185","110","294","402","104","138","239","291","160","450","234","148","378","292","128","417","299","95","395","185","45","228","207","45","248","331","40","376","182","11","197","103","3","108","52","31","80","120","7","132","391","24","413","99","165","268","3133","1658","4790"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8c,Upper Murray exc. Albury,"10903","110","131","243","84","66","147","101","352","445","90","527","614","454","1223","1684","358","576","930","1208","485","1686","804","538","1341","1114","468","1579","1019","277","1301","677","190","869","697","115","815","1163","190","1355","656","32","690","350","22","372","170","87","262","349","20","374","1096","66","1162","296","564","861","10794","5938","16735"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8b,Armidale,"11001","76","103","181","40","72","113","90","283","371","68","405","478","268","826","1095","321","461","782","772","446","1218","672","391","1063","793","359","1157","812","220","1027","601","180","788","636","156","791","1018","196","1209","603","29","625","380","13","394","238","81","313","424","5","433","897","91","989","160","294","452","8845","4615","13460"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e8a,Inverell - Tenterfield,"11002","129","135","261","98","71","173","124","379","507","122","604","724","560","1286","1847","432","474","899","1306","458","1762","869","449","1311","1017","326","1343","983","183","1158","567","112","680","559","99","655","798","112","910","430","19","443","196","11","210","126","57","183","224","12","235","967","75","1040","239","465","706","9745","5313","15058"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e89,Moree - Narrabri,"11003","63","73","140","38","47","85","72","186","264","79","243","319","208","471","677","184","227","411","443","298","736","365","291","657","511","293","799","515","210","723","407","117","530","419","116","536","737","138","876","443","29","473","295","16","311","155","83","230","305","20","321","706","43","742","198","317","519","6141","3204","9347"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e88,Tamworth - Gunnedah,"11004","142","198","342","71","124","193","159","544","699","170","920","1094","662","1876","2535","713","942","1651","1902","786","2686","1436","864","2299","1912","782","2694","1829","451","2278","1342","363","1709","1380","291","1666","2424","384","2803","1457","63","1527","846","31","871","523","170","699","919","51","968","2075","142","2216","461","666","1124","20418","9641","30059"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e87,Lake Macquarie - East,"11101","176","269","449","132","145","274","184","665","852","214","1264","1473","859","2952","3815","849","1215","2068","2862","990","3847","2067","1028","3093","2762","946","3703","2597","607","3204","1955","518","2470","2095","347","2436","4080","491","4568","2972","71","3039","1951","20","1971","1247","193","1436","2420","33","2461","2966","201","3170","424","684","1108","32800","12631","45426"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e86,Lake Macquarie - West,"11102","110","186","293","88","76","164","139","377","512","139","669","803","580","1566","2146","574","738","1310","1876","549","2427","1435","579","2013","1839","580","2417","1774","348","2123","1417","265","1681","1304","191","1495","2496","244","2741","1740","39","1780","987","17","1010","558","90","654","999","18","1013","1903","104","2001","323","453","773","20273","7086","27360"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e85,Newcastle,"11103","275","513","790","130","262","395","294","1247","1546","265","2065","2330","1006","3819","4826","1107","1856","2965","3046","1677","4723","2441","1818","4255","3156","1909","5067","3168","1448","4610","2535","1135","3669","2619","870","3489","5114","1367","6482","3824","292","4118","2543","160","2703","1580","506","2084","3390","166","3555","3767","793","4562","500","1111","1615","40769","23016","63786"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e84,Richmond Valley - Coastal,"11201","112","191","311","85","136","218","150","566","718","153","927","1079","582","2139","2719","684","1148","1834","1839","1062","2898","1463","932","2395","2026","919","2944","1876","566","2449","1237","357","1596","1340","333","1668","2144","424","2570","1310","99","1412","767","63","826","469","169","639","1046","96","1144","2067","378","2444","320","822","1140","19663","11334","31000"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e83,Richmond Valley - Hinterland,"11202","129","184","309","82","128","208","155","664","821","160","1013","1174","719","2064","2790","737","956","1696","1909","814","2724","1481","835","2315","1970","696","2665","1751","371","2125","1242","223","1467","1167","185","1354","1813","199","2006","996","29","1021","488","15","508","320","94","407","488","21","512","1582","172","1759","281","492","776","17477","9156","26628"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e82,Tweed Valley,"11203","174","290","463","129","155","285","165","660","823","166","1196","1356","785","2720","3500","853","1469","2322","2624","1109","3738","1868","1109","2982","2387","981","3369","2246","563","2808","1612","371","1987","1487","314","1809","2558","318","2873","1562","69","1637","862","33","895","482","163","645","911","44","961","2327","229","2558","444","1035","1480","23650","12843","36497"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e81,Griffith - Murrumbidgee (West),"11301","106","115","221","64","57","127","82","274","359","96","495","596","388","885","1269","372","417","790","908","433","1345","777","511","1292","1023","430","1451","1099","297","1390","852","184","1032","800","138","938","1474","197","1677","871","37","906","470","17","489","281","74","360","494","28","524","1201","68","1269","289","459","751","11654","5126","16776"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e80,Tumut - Tumbarumba,"11302","36","29","68","24","19","47","41","113","154","46","182","226","133","381","511","124","176","294","351","135","482","244","155","401","325","149","473","348","82","427","244","79","325","243","53","297","475","62","539","245","6","255","132","3","136","68","23","88","108","9","120","458","17","470","87","121","203","3723","1780","5512"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7f,Wagga Wagga,"11303","143","221","364","97","149","247","168","607","770","179","957","1133","698","1955","2649","704","978","1683","1963","929","2894","1541","1016","2552","2041","901","2940","2110","598","2708","1559","394","1952","1657","355","2011","2902","428","3330","1849","65","1920","1114","42","1158","641","181","827","1153","43","1197","2335","193","2529","467","690","1156","23320","10688","34014"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7e,Shoalhaven,"11401","224","270","489","152","175","329","235","762","994","251","1323","1574","1087","2905","3998","946","1368","2312","3400","1046","4446","2308","997","3303","2758","859","3619","2501","527","3031","1654","417","2070","1493","303","1793","2471","332","2799","1511","39","1553","812","29","844","451","163","612","883","56","938","2590","153","2743","518","945","1464","26243","12662","38907"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7d,Southern Highlands,"11402","111","130","243","74","80","147","87","223","309","64","454","522","329","959","1285","316","550","865","924","430","1349","814","493","1300","1096","415","1512","1069","263","1331","835","209","1045","798","180","985","1545","233","1778","976","24","1003","625","21","648","468","142","609","1008","41","1044","1416","73","1489","198","329","525","12744","5239","17979"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7c,Baulkham Hills,"11501","314","190","505","152","100","251","181","220","399","127","382","512","464","924","1388","477","633","1107","1255","507","1765","1332","514","1842","1967","541","2511","1974","392","2363","1696","363","2058","1913","288","2196","4511","533","5039","3735","58","3791","3150","40","3191","2848","245","3094","8272","57","8334","3787","136","3926","317","321","637","38468","6438","44908"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7b,Dural - Wisemans Ferry,"11502","64","35","99","28","17","52","27","80","102","23","81","103","129","195","327","78","143","219","264","102","365","235","93","330","362","128","497","349","106","452","298","69","370","325","46","372","684","70","754","598","11","609","452","4","455","428","44","473","1391","10","1401","800","23","823","90","71","160","6630","1334","7965"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e7a,Hawkesbury,"11503","49","52","94","31","28","54","38","70","106","16","83","102","113","206","320","92","120","209","255","111","364","252","147","400","394","152","549","430","85","513","426","71","496","412","55","473","890","73","965","675","9","688","483","7","489","335","51","385","693","8","707","649","18","666","100","53","153","6327","1394","7717"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e79,Rouse Hill - McGraths Hill,"11504","74","45","111","31","18","45","26","59","79","20","62","84","96","145","243","78","80","159","229","81","307","252","100","349","369","113","480","413","84","489","427","66","491","456","48","503","1099","98","1195","1014","13","1030","791","8","803","642","46","687","1542","6","1553","826","29","855","81","74","150","8466","1165","9624"
