sa3_code16,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p,sa3_name16
60301,4836,4352,9191,1861,848,2707,506,1060,1571,184,169,356,191,136,331,2752,2214,4968,1705,1815,3523,6.9,6.1,6.7,56.9,50.9,54.1,52.8,47.7,50.4,55,67,124,29,53,84,202,323,522,235,300,538,1200,541,1740,54,107,156,73,118,192,1329,761,2091,4856,4352,9211,459,488,947,3758,3296,7051,1340,1323,2666,Central Highlands (Tas.)
60302,7906,7912,15817,2628,1369,3996,1072,1990,3058,243,239,485,285,216,504,4228,3817,8048,3153,3570,6724,6.7,5.7,6.3,53.5,48.2,50.9,49.9,45.5,47.7,268,284,553,120,199,321,705,1133,1837,614,810,1421,1968,837,2806,92,152,251,146,229,375,2209,1221,3435,7694,7510,15205,1087,1182,2274,5463,5197,10660,2993,3124,6123,Huon - Bruny Island
60303,3006,2881,5887,761,408,1169,404,637,1034,127,103,225,100,50,148,1386,1196,2575,1330,1382,2716,7.2,4.2,5.7,46.1,41.5,43.7,43.0,39.8,41.2,52,60,117,22,50,69,190,269,457,210,285,496,754,302,1057,29,56,88,63,67,136,847,433,1276,2693,2530,5220,371,379,752,1993,1828,3823,964,970,1932,South East Coast
40301,13735,15480,29217,5699,3637,9340,2005,3942,5950,332,484,817,540,413,949,8571,8481,17050,4344,6106,10444,6.3,4.9,5.6,62.4,54.8,58.4,58.5,52.1,55.1,834,810,1645,324,511,833,2378,3137,5518,1434,1635,3068,2666,1257,3927,120,172,287,286,392,678,3067,1818,4886,12201,13539,25742,2368,2532,4902,8066,9067,17138,6182,6738,12922,Holdfast Bay
40302,35790,39673,75460,15259,9291,24549,5146,10609,15751,922,1341,2269,1832,1381,3213,23154,22627,45777,11073,15325,26400,7.9,6.1,7.0,64.7,57.0,60.7,59.6,53.5,56.4,1523,1719,3248,551,980,1529,4886,7028,11919,3288,3943,7233,8406,4068,12473,403,546,954,587,894,1477,9398,5507,14901,33810,36687,70488,6152,6538,12689,23024,24837,47859,15479,17120,32598,Marion
60401,18718,20499,39213,7029,3624,10655,2086,5017,7096,583,646,1230,973,683,1659,10667,9968,20644,6898,9285,16182,9.1,6.9,8.0,57.0,48.6,52.6,51.8,45.3,48.4,266,301,566,160,303,462,1043,1765,2810,1005,1688,2695,5281,2536,7813,262,487,742,289,581,871,5829,3601,9433,18125,19478,37606,2729,2950,5678,13078,13787,26863,6929,7802,14733,Burnie - Ulverstone
60402,17476,19026,36508,6547,3359,9910,2057,4743,6799,580,611,1183,845,605,1455,10032,9316,19349,6345,8566,14909,8.4,6.5,7.5,57.4,49.0,53.0,52.6,45.8,49.0,225,233,458,155,286,439,978,1803,2779,1017,1666,2676,4946,2466,7407,224,448,672,280,495,770,5444,3411,8848,16772,17888,34656,2647,2913,5560,12077,12521,24594,6673,7533,14199,Devonport
60403,7158,6801,13955,3047,1350,4397,744,1791,2538,265,261,529,344,222,565,4405,3621,8022,2237,2655,4892,7.8,6.1,7.0,61.5,53.2,57.5,56.7,50.0,53.5,65,79,148,48,88,134,299,561,864,353,531,880,1946,861,2809,77,163,240,114,175,290,2142,1201,3337,6942,6420,13359,1107,1122,2231,5057,4568,9626,2592,2612,5200,West Coast
70101,11967,10301,22269,7064,4596,11658,993,1690,2686,466,394,866,312,310,618,8835,6988,15826,1484,2087,3566,3.5,4.4,3.9,73.8,67.8,71.1,71.2,64.8,68.3,731,702,1431,231,390,629,2021,2422,4444,1067,1024,2086,2522,944,3469,100,105,201,179,177,354,2805,1229,4028,7753,6759,14514,3794,3552,7350,3411,3084,6492,7836,6863,14700,Darwin City
70102,21442,21236,42671,10879,8023,18900,2519,4115,6631,853,904,1761,809,639,1447,15061,13681,28741,4112,5443,9555,5.4,4.7,5.0,70.2,64.4,67.4,66.5,61.4,64.0,1109,1297,2410,373,753,1123,2847,4071,6923,1611,1840,3455,4675,1998,6677,214,276,489,325,415,739,5213,2688,7902,18106,17755,35865,5227,5364,10595,10780,10623,21403,11419,11348,22770,Darwin Suburbs
