gml_id,sa3_name16,sa3_code16,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3b,Burnside,"40103","359","4709","5068","4952","675","5623","2301","179","2484","2626","115","2743","1042","54","1097","367","18","382","11644","5746","17390"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3a,Campbelltown (SA),"40104","359","5171","5528","5694","709","6404","2943","225","3173","3105","131","3232","1114","59","1168","437","27","468","13653","6313","19971"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c39,Prospect - Walkerville,"40106","210","3159","3373","2905","609","3514","1498","226","1721","1583","125","1704","583","43","629","230","21","252","7010","4193","11202"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c38,Kwinana,"50703","301","2882","3182","3579","730","4308","2283","215","2504","2066","123","2188","950","58","1009","599","31","629","9774","4048","13822"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c37,Melville,"50704","820","8755","9570","11047","1473","12521","5866","471","6339","6053","315","6365","2330","123","2451","955","56","1010","27065","11194","38257"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c36,Rockingham,"50705","1284","9227","10507","12521","1990","14514","7188","643","7831","7061","472","7536","3037","193","3227","1555","55","1609","32652","12574","45225"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c35,Albany,"50901","532","6279","6810","7383","1384","8766","2764","334","3093","2534","205","2745","1221","93","1315","657","48","704","15092","8336","23429"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c34,Wheat Belt - North,"50902","592","6211","6805","7142","1547","8696","2536","341","2873","2205","238","2441","1115","113","1225","639","79","723","14230","8528","22758"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c33,Wheat Belt - South,"50903","205","2392","2598","2599","496","3087","900","143","1040","784","81","864","408","53","460","204","21","227","5104","3179","8277"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c32,Kimberley,"51001","260","3517","3778","2344","3881","6226","1382","518","1894","1314","425","1739","830","195","1026","911","134","1047","7036","8670","15707"
