gml_id,sa3_name16,sa3_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7545,Orange,"10304","1166","2217","1042","691","1242","583","27","6972","626","1196","822","822","1257","542","16","5283","313","517","391","354","985","517","5","3076","105","162","86","76","624","214","0","1259","9269","12194","5670","4571","9194","4243","143","45287"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7544,Clarence Valley,"10401","1227","2441","1418","1094","1483","783","27","8474","769","1651","1422","1344","1812","871","21","7899","375","637","501","634","1229","731","13","4125","147","188","99","105","802","289","0","1635","7089","10717","6009","5585","8933","4919","162","43417"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7543,Coffs Harbour,"10402","2216","4247","2175","1401","2109","1132","85","13366","1222","2691","1923","1645","2350","1180","63","11072","570","1060","764","815","1762","1126","20","6107","245","288","178","133","952","681","0","2483","13677","19504","9849","7665","14042","7227","670","72638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7542,Bourke - Cobar - Coonamble,"10501","540","845","403","307","872","599","8","3573","326","540","315","352","811","570","4","2914","162","177","142","164","429","347","0","1418","39","39","18","19","217","115","0","447","3290","4433","2078","1940","4854","3599","61","20260"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7541,Broken Hill and Far West,"10502","468","809","428","353","768","339","16","3183","225","479","342","375","710","401","18","2546","130","197","111","151","482","244","6","1328","59","55","36","32","291","130","0","606","2717","4025","1939","1805","4530","2320","88","17421"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7540,Dubbo,"10503","1537","2621","1344","930","1720","1030","44","9221","818","1453","1105","1084","1772","1010","18","7257","408","698","491","513","1315","764","3","4191","174","189","104","79","791","327","5","1670","10341","13957","6851","5813","11693","7069","232","55957"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753f,Lower Hunter,"10601","1636","3207","1806","1498","2039","994","20","11204","801","1664","1307","1401","2000","1041","23","8239","391","619","482","512","1293","650","7","3961","164","183","82","87","761","307","3","1579","12713","17557","8819","8362","14654","7406","237","69752"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753e,Maitland,"10602","1382","2543","1408","1020","1445","473","37","8300","672","1295","1053","999","1490","532","34","6063","290","537","410","417","994","453","4","3098","144","140","85","60","565","256","0","1260","12197","15642","7651","6230","11579","3736","172","57206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753d,Port Stephens,"10603","1581","3052","1697","1187","1707","803","40","10069","910","2265","1895","1587","2128","1025","34","9851","489","926","701","624","1504","875","12","5129","183","196","137","121","832","360","4","1826","10803","15263","8246","6641","11825","5507","218","58508"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-753c,Upper Hunter,"10604","583","1072","531","429","650","391","13","3671","292","538","377","417","654","330","16","2630","145","203","160","185","466","272","3","1438","57","54","34","28","227","140","0","554","4533","6068","2870","2713","4596","2851","155","23781"
