gml_id,sa3_name16,sa3_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ee,Loddon - Elmore,"20203","321","535","306","290","306","197","3","1957","156","297","234","258","356","227","4","1538","86","89","83","112","225","151","0","745","24","36","24","22","127","62","0","297","1639","2168","1212","1250","1775","1174","26","9238"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ed,Barwon - West,"20301","402","753","407","361","365","178","4","2465","180","412","316","311","309","158","6","1686","56","120","92","100","210","84","0","670","23","37","13","16","147","35","0","276","2933","4047","2050","1890","2368","1083","42","14416"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ec,Geelong,"20302","3828","6707","3356","2066","4119","1538","165","21778","1901","3814","2694","2399","4136","1591","87","16630","949","1727","1344","1192","3188","1562","27","9992","475","631","356","279","2390","1018","10","5158","34353","39291","17947","13960","33201","12923","890","152564"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74eb,Surf Coast - Bellarine Peninsula,"20303","1775","3432","1719","975","1248","608","41","9800","961","2222","1692","1223","1471","691","32","8286","391","890","656","589","1045","535","4","4114","158","247","137","108","832","290","5","1783","12282","16024","8152","5933","9018","4079","270","55754"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ea,Upper Goulburn Valley,"20401","1330","2425","1295","921","1455","863","25","8313","735","1606","1134","1151","1426","890","23","6962","309","526","400","466","996","677","7","3382","119","142","96","80","608","307","0","1353","8625","11478","5765","5005","9133","5743","542","46292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e9,Wangaratta - Benalla,"20402","1105","2159","1121","711","1093","577","16","6781","565","1199","997","843","1262","649","15","5525","310","527","371","433","970","538","4","3157","160","174","112","95","610","463","4","1619","7033","9939","5175","4057","7067","3927","111","37312"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e8,Wodonga - Alpine,"20403","1805","3277","1654","975","1613","902","46","10263","821","1764","1242","1104","1654","782","31","7397","317","648","479","443","1095","609","12","3601","122","194","117","105","740","285","3","1561","12516","16625","7797","5941","11272","6288","486","60928"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e7,Baw Baw,"20501","1042","2080","1103","729","964","541","21","6484","545","1169","989","970","1058","547","14","5279","269","491","374","385","794","463","6","2772","93","120","73","85","445","264","0","1080","7853","10072","5111","4563","6970","3573","213","38358"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e6,Gippsland - East,"20502","1099","2129","1163","907","1069","655","15","7032","660","1516","1287","1119","1430","861","13","6896","281","589","517","486","994","718","7","3590","120","116","88","92","559","385","10","1362","6223","9217","5264","4595","6955","4420","161","36837"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e5,Gippsland - South West,"20503","1515","2895","1617","1054","1403","774","38","9304","899","1970","1632","1460","1696","951","19","8632","374","779","578","592","1186","807","10","4325","153","244","133","131","850","392","4","1910","9120","13053","7144","5937","9063","5057","222","49591"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e4,Latrobe Valley,"20504","1427","2759","1533","1117","1937","902","25","9704","660","1424","1080","1126","1883","883","18","7069","332","618","474","518","1342","808","3","4096","151","182","102","121","832","391","3","1785","11047","14592","7224","6410","12905","6318","146","58649"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e3,Wellington,"20505","978","1844","1040","750","1022","599","12","6248","489","962","788","796","1109","527","6","4681","204","369","284","356","722","471","0","2396","76","135","90","69","439","205","0","1007","6268","8482","4606","4069","6526","4279","156","34386"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e2,Brunswick - Coburg,"20601","1399","2499","1018","552","1393","496","90","7451","678","1220","674","490","1335","385","52","4833","490","739","489","333","1223","358","9","3640","219","262","117","75","794","192","6","1665","21967","21172","6662","4184","14302","4923","786","74001"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e1,Darebin - South,"20602","940","1806","650","344","711","309","46","4809","414","806","451","283","732","238","27","2950","319","476","271","207","847","224","7","2350","105","164","70","41","542","123","0","1038","12744","12908","4280","2602","7305","2995","326","43168"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74e0,Essendon,"20603","1375","2378","1043","595","1158","467","103","7114","592","1100","675","437","1015","363","67","4242","308","488","296","252","879","305","12","2538","177","212","96","64","702","191","3","1443","15330","14716","5484","3708","11384","4252","608","55487"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74df,Melbourne City,"20604","2220","3042","1051","519","1720","3004","1651","13213","1059","1665","801","429","1336","1734","510","7527","344","472","268","169","769","768","154","2954","118","133","52","25","560","548","23","1460","39523","30215","7199","4089","40114","26345","15522","163008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74de,Port Phillip,"20605","2491","3316","1073","452","1727","1176","276","10504","1268","1899","916","451","1533","808","99","6970","432","656","373","189","1037","448","26","3157","146","202","82","39","714","195","9","1393","28392","24214","6503","3681","15600","10230","2530","91149"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74dd,Nillumbik - Kinglake,"20903","1725","3321","1607","966","1054","363","52","9085","699","1511","1159","847","853","303","28","5410","218","371","363","293","487","201","10","1941","97","97","60","27","312","107","3","703","12817","14798","7234","4975","8454","2486","240","51009"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74dc,Whittlesea - Wallan,"20904","3686","5602","2703","2077","5558","1479","621","21722","1829","2944","1933","1668","4466","1400","356","14598","990","1246","811","662","2865","922","50","7550","274","246","101","82","1413","332","3","2455","36190","38938","16869","15005","47536","12126","1809","168459"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74db,Keilor,"21001","1254","1972","1020","629","1242","375","73","6564","701","1387","925","843","1601","574","44","6077","478","802","586","520","1289","519","14","4207","214","237","136","108","693","274","0","1662","11102","11925","5586","4413","11376","3303","308","48011"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74da,Macedon Ranges,"21002","617","1263","737","466","476","286","9","3856","313","706","558","512","524","233","8","2859","113","203","140","147","277","166","0","1047","38","60","28","33","152","80","0","389","4891","6506","3270","2711","3486","1700","71","22629"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d9,Stonnington - East,"20804","943","1607","700","323","515","215","76","4378","562","1050","542","330","547","200","36","3268","266","495","293","232","514","215","13","2039","148","153","89","65","524","163","0","1146","9547","9292","3655","2402","6964","1956","487","34310"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d8,Banyule,"20901","2781","4923","2360","1279","2288","734","244","14616","1464","3032","2016","1453","2319","806","125","11214","708","1292","955","763","1794","886","35","6429","315","476","231","162","1456","634","5","3278","24251","27618","12254","8614","19704","6274","991","99711"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d7,Moreland - North,"21003","1143","1683","809","600","1631","512","163","6546","587","942","580","511","1493","515","99","4726","517","812","532","492","1737","581","18","4685","275","317","173","130","1349","316","7","2564","13060","14331","5896","5012","17504","5204","632","61639"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d6,Sunbury,"21004","840","1563","747","523","788","304","23","4784","344","697","507","423","723","270","18","2986","157","302","192","167","422","202","7","1451","59","98","34","31","295","103","0","620","7374","8723","3723","2925","6232","2065","141","31188"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d5,Tullamarine - Broadmeadows,"21005","2327","3497","1797","1458","4958","1215","369","15620","1179","1823","1102","955","3553","1016","241","9866","526","705","384","347","1909","604","47","4528","135","110","44","51","753","199","6","1301","24125","24634","10832","10755","43262","10392","1265","125255"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d4,Knox,"21101","3875","6329","3049","1918","3375","862","435","19840","1725","3296","2255","1758","3242","829","239","13345","784","1374","896","763","2299","830","47","6998","340","388","163","112","1640","529","9","3184","31184","33345","14787","10982","28457","6550","1353","126654"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d3,Manningham - East,"21102","669","1192","602","377","455","136","43","3480","317","676","487","411","380","118","31","2418","147","273","194","184","382","124","9","1309","59","73","39","22","364","93","0","651","5247","5430","2754","2075","4191","969","162","20826"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d2,Maroondah,"21103","2544","4300","1873","1080","2038","558","241","12640","1233","2490","1691","1266","1873","584","127","9273","577","1052","759","628","1532","664","24","5234","263","284","162","135","1253","499","0","2598","22412","24679","10599","7648","17566","4942","766","88606"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d1,Whitehorse - East,"21104","1303","2258","1065","603","1015","254","269","6768","745","1584","1093","754","1154","276","157","5776","472","769","581","403","996","378","33","3637","193","225","126","89","762","285","3","1681","12078","13496","6271","4339","10416","2367","862","49829"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74d0,Yarra Ranges,"21105","3541","6355","3276","1956","2756","1028","76","18991","1580","3576","2589","2029","2608","1054","59","13493","632","1147","857","797","1732","798","23","5981","267","319","187","127","1136","398","4","2433","28259","33189","15493","11692","21269","7480","503","117891"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74cf,Cardinia,"21201","1730","2959","1469","894","1621","663","126","9465","765","1559","1127","959","1547","625","69","6655","309","538","380","364","971","455","17","3031","146","126","69","54","564","197","3","1158","16606","19224","8695","7091","14224","5283","430","71546"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ce,Casey - North,"21202","2735","4420","2112","1418","3397","782","301","15170","1248","2126","1346","1037","2530","760","206","9256","621","872","572","463","1770","604","43","4949","211","231","106","89","1131","283","11","2066","23859","25168","11125","9156","27681","6299","1018","104311"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74cd,Casey - South,"21203","2700","4020","1891","1348","3719","1075","627","15376","1102","1798","1182","1005","2605","876","365","8934","496","636","345","349","1361","612","59","3862","129","167","69","67","694","267","12","1409","28103","30221","12880","11295","34024","9176","1587","127292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74cc,Dandenong,"21204","3368","4761","2336","1799","6132","1389","662","20438","1977","3184","1925","1633","4935","1424","313","15395","1097","1501","853","732","3479","1214","68","8951","356","397","195","147","2087","553","8","3744","31137","31033","13375","11678","53331","12214","2283","155042"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74cb,Monash,"21205","3133","5465","2871","1945","3224","843","862","18343","1887","3745","2583","1922","3283","824","522","14769","1283","2273","1629","1226","2968","1039","127","10544","520","657","376","256","2274","790","14","4888","35076","36110","16132","11884","38956","8589","4046","150795"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ca,Brimbank,"21301","3316","4921","2482","2153","6433","1677","420","21415","1806","2730","1646","1659","4759","1600","218","14422","920","1243","663","609","2726","1076","44","7278","268","253","133","104","1464","511","3","2728","30569","30702","12987","12103","50918","13459","1433","152172"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c9,Hobsons Bay,"21302","1908","3013","1321","904","1945","637","132","9859","865","1509","988","810","1741","536","73","6530","497","738","489","393","1363","562","8","4055","209","249","105","92","937","318","4","1914","16329","18260","7373","5647","15159","4756","545","68075"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c8,Maribyrnong,"21303","1295","2073","862","582","1846","603","159","7432","554","888","488","411","1293","483","78","4203","306","453","249","201","964","417","14","2599","149","151","70","51","661","305","7","1395","17780","17782","5852","4291","16998","6060","974","69736"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c7,Melton - Bacchus Marsh,"21304","2460","3827","1959","1516","3501","1103","267","14626","1096","1889","1304","1142","2785","945","189","9348","446","571","401","332","1277","523","38","3579","127","117","63","55","652","182","9","1203","25068","27588","12125","11142","29668","9653","940","116182"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c6,Wyndham,"21305","3144","4997","2505","1863","4368","1233","1306","19416","1313","2289","1511","1248","3064","1023","685","11141","476","788","477","427","1636","651","94","4554","159","160","65","58","718","328","11","1487","35830","40874","17752","16059","42662","12666","3412","169247"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c5,Frankston,"21401","3061","5033","2099","1400","3030","1150","114","15888","1398","2648","1848","1352","2919","1116","87","11372","611","1038","713","637","2030","1039","27","6102","269","332","153","137","1297","551","11","2742","25353","28737","12125","9096","23353","8988","584","108233"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c4,Mornington Peninsula,"21402","3701","6842","3172","1925","3176","1319","51","20191","2380","4938","3620","2685","3874","1667","55","19205","1142","2176","1604","1381","3232","1692","24","11263","486","640","340","275","2197","989","7","4931","26553","33425","16557","12329","24898","9956","500","124214"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c3,Grampians,"21501","1461","2503","1333","985","1541","772","33","8624","726","1386","1133","1101","1609","819","12","6788","398","644","553","533","1256","759","8","4148","197","259","172","139","910","419","0","2091","8951","11950","6311","5429","9943","5274","200","48061"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c2,Stonnington - West,"20606","1382","1797","651","337","948","538","148","5801","887","1367","679","357","1015","455","105","4864","445","618","334","203","881","394","25","2906","169","182","100","53","551","233","3","1286","18877","14262","4006","2413","10824","5637","1269","57295"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c1,Yarra,"20607","1766","2581","940","420","1320","880","104","8009","883","1692","792","367","1093","717","64","5611","373","588","331","202","941","463","17","2921","128","145","76","42","510","228","3","1124","26813","21332","5659","2968","12754","8270","1221","79016"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74c0,Boroondara,"20701","3947","6699","3214","1612","2271","859","462","19069","2246","4081","2679","1500","2156","782","295","13725","1020","1942","1285","879","1977","727","92","7923","542","734","421","283","2170","564","8","4724","38366","37420","16119","10482","26194","7452","2688","138723"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74bf,Manningham - West,"20702","2056","3301","1753","1181","1993","430","438","11149","1284","2443","1811","1313","2029","521","219","9630","917","1580","1027","814","2037","696","63","7127","337","397","235","136","1434","431","11","2969","17789","18463","9129","6859","19018","3871","1601","76733"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74be,Whitehorse - West,"20703","2150","3687","1749","948","1618","471","468","11088","1117","2242","1325","947","1504","486","218","7831","678","1363","887","678","1577","629","51","5862","391","465","301","182","1311","597","3","3246","21510","21756","9482","6451","20894","4689","2161","86950"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74bd,Bayside,"20801","2785","4450","1919","941","1541","655","120","12412","1572","2815","1765","909","1619","558","68","9309","641","1145","806","570","1378","506","28","5070","432","520","274","178","1597","537","4","3542","20506","21637","9797","6146","13899","4659","783","77432"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74bc,Darebin - North,"20902","1544","2284","1106","849","2280","716","226","9008","792","1333","849","700","1996","719","82","6469","598","999","647","479","1798","710","16","5237","288","321","192","130","1042","602","4","2574","18394","18923","7339","5781","21497","7310","1264","80505"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74bb,Glen Eira,"20802","3523","5379","2269","1069","2548","769","362","15915","1875","3048","1736","1035","2387","693","205","10971","982","1446","907","560","2077","699","51","6723","528","591","279","202","2158","548","14","4316","32665","33105","12898","8036","25935","6823","1796","121254"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ba,Kingston,"20803","2798","4467","1892","1002","2346","735","173","13410","1369","2611","1528","1040","2318","765","118","9747","744","1232","742","604","1873","872","25","6088","306","438","187","165","1427","759","12","3296","23973","26650","10578","7121","18986","6374","796","94484"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b9,Mildura,"21502","1125","2069","991","677","1490","771","36","7155","541","1065","850","753","1432","816","47","5491","285","464","351","379","1039","647","3","3167","123","159","97","76","661","312","4","1434","8302","10645","5226","4313","9895","5179","805","44359"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b8,Murray River - Swan Hill,"21503","799","1443","796","585","995","705","24","5352","443","816","620","666","996","678","6","4227","245","440","320","314","866","541","3","2731","120","139","77","84","545","297","3","1262","5446","6894","3750","3356","6433","4327","294","30498"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b7,Campaspe,"21601","906","1553","775","565","962","443","22","5229","455","871","655","661","1087","559","6","4291","253","359","297","303","861","539","3","2629","81","126","65","55","552","265","0","1151","5786","7434","3735","3263","6280","3281","107","29898"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b6,Moira,"21602","631","1160","633","469","767","375","11","4042","373","724","580","548","903","510","7","3633","190","330","233","332","745","430","0","2263","75","94","44","55","420","218","0","918","4321","5659","2843","2646","5004","2662","118","23246"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b5,Shepparton,"21603","1362","2186","1072","667","1619","805","72","7785","646","1140","877","749","1434","859","36","5735","339","497","383","361","1070","661","7","3318","127","150","110","66","683","334","0","1471","9947","11909","5762","4604","11948","5899","351","50410"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b4,Glenelg - Southern Grampians,"21701","813","1644","876","641","909","492","17","5391","454","800","660","683","1003","521","7","4126","185","363","263","324","704","447","3","2281","82","120","65","64","500","254","0","1089","5160","7342","3827","3396","5808","3015","141","28683"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b3,Colac - Corangamite,"21703","844","1584","880","633","891","486","46","5359","426","876","693","667","925","521","23","4126","200","377","346","338","693","488","9","2448","90","120","80","57","462","211","3","1022","5572","7416","3915","3382","5945","3148","486","29863"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b2,Warrnambool,"21704","1137","2037","1070","658","1054","550","18","6515","551","1109","820","729","1066","603","26","4909","250","471","313","347","820","506","0","2704","132","142","89","94","588","275","4","1321","8398","10425","5111","4049","7774","3937","365","40046"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b1,Capalaba,"30101","1769","3258","1479","933","1482","367","78","9366","758","1601","1171","917","1377","347","39","6218","328","532","384","362","845","382","15","2849","111","146","73","39","561","338","0","1267","13988","16594","7221","5041","10934","2759","345","56889"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74b0,Cleveland - Stradbroke,"30102","2096","3700","1781","1096","1708","588","89","11052","1082","2333","1794","1483","1961","689","67","9417","532","945","724","619","1438","653","38","4939","229","266","138","142","871","445","10","2097","15157","18927","8947","6450","12712","4241","507","66945"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74af,Wynnum - Manly,"30103","1503","2533","1127","629","1236","381","104","7516","699","1389","971","743","1196","394","91","5487","326","545","371","341","892","365","32","2874","143","172","98","81","605","241","5","1349","13133","15881","6648","4561","9824","3063","483","53604"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ae,Bald Hills - Everton Park,"30201","881","1588","805","472","628","145","84","4596","422","975","734","578","657","167","87","3609","233","419","338","278","588","185","7","2058","127","136","69","45","483","150","3","1013","8244","9838","4325","2972","5802","1458","360","33005"
