sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Maroochy,31603,30722,33364,64092,1533,1354,2889,3075,2773,5844,1464,1479,2938,1716,1958,3678,3717,4051,7770,3531,3683,7219,3765,4471,8238,4212,5051,9265,4519,4816,9333,2480,2677,5154,706,1051,1753,1225,1403,2625,27339,29527,56865,3391,3841,7227,456,472,927,42,35,80,36,23,54,529,537,1063,21532,22797,44327,5538,6417,11954,25557,27444,52997,1672,1976,3649,24632,26415,51044,249,212,459,2732,2497,5228,898,986,1878,384,624,1005,760,1383,2140,11847,13361,25209,2271,2463,4737,6104,6809,12910,1385,1370,2752,941,1035,1975,58,58,112
Noosa,31605,22597,24966,47567,1123,1062,2187,2915,2688,5602,1201,1192,2393,829,867,1697,1777,2083,3863,2609,3035,5647,2782,3461,6248,3083,3743,6821,3673,3989,7659,2016,1977,3996,594,864,1457,896,1081,1975,19655,21528,41187,2946,3436,6382,226,248,473,8,9,24,6,5,9,245,265,509,15232,16510,31741,4930,5658,10587,19019,20688,39705,1138,1471,2612,18319,20015,38338,229,205,435,2579,2397,4974,768,787,1564,164,195,362,344,840,1180,9377,10532,19905,1707,1889,3600,3809,4479,8288,871,847,1722,450,590,1040,36,27,61
Sunshine Coast Hinterland,31606,24150,25650,49799,1220,1247,2468,3363,3201,6565,1511,1476,2983,1147,1116,2268,2090,2387,4479,2782,3146,5935,3433,3950,7381,3528,4014,7541,3265,3199,6463,1429,1376,2805,383,533,917,165,289,453,23708,24988,48689,443,668,1109,439,448,893,28,21,53,15,20,38,478,497,972,18400,19238,37638,4092,4530,8625,21947,22996,44946,758,992,1755,21276,22394,43671,219,222,441,3067,2917,5987,981,1034,2017,214,311,528,407,993,1401,8533,10149,18680,1787,1797,3590,5474,5642,11109,1180,1026,2207,977,774,1747,44,29,73
Nambour,31607,20725,22018,42739,1328,1291,2613,2950,2831,5780,1243,1239,2480,1100,1026,2128,2187,2370,4554,2554,2872,5422,2803,3211,6014,2729,2912,5637,2267,2395,4664,1172,1244,2416,396,638,1032,94,128,226,20158,21362,41517,563,657,1221,541,538,1078,29,25,54,34,32,70,611,597,1208,16153,16945,33091,3232,3658,6885,18564,19593,38154,840,1092,1926,18155,19289,37444,235,215,453,2720,2598,5324,771,821,1587,200,319,525,404,952,1355,6946,8274,15220,1634,1621,3256,4550,4696,9241,1006,944,1946,833,796,1632,54,48,105
Noosa Hinterland,31608,10727,11114,21837,492,506,995,1583,1461,3045,669,623,1288,418,365,788,659,790,1452,1238,1393,2635,1585,1989,3576,1801,1845,3647,1534,1414,2946,604,546,1156,141,170,309,71,90,157,10653,11008,21661,73,103,175,212,187,397,9,7,22,4,8,8,228,200,422,8004,8251,16253,1950,2070,4018,9692,10003,19696,356,442,799,9403,9742,19148,89,103,186,1438,1333,2772,449,448,902,68,109,178,161,390,553,3803,4479,8284,826,802,1628,2404,2402,4809,523,407,930,391,337,724,27,19,42
Charters Towers - Ayr - Ingham,31801,22439,22152,44589,1196,1175,2371,3044,2760,5805,1475,1347,2814,1231,1146,2373,2120,2185,4301,2332,2382,4710,2820,2909,5723,3244,3172,6416,3029,2829,5864,1532,1578,3102,422,670,1099,230,274,499,21093,21051,42144,1349,1101,2453,2099,2041,4136,141,106,243,341,335,673,2579,2477,5054,18586,18123,36702,1721,1845,3566,19370,18990,38358,1156,1226,2385,19978,19621,39603,168,189,360,2688,2478,5165,845,801,1643,91,147,233,183,473,660,5557,6364,11923,1634,1497,3133,5478,5287,10764,1401,1158,2558,1955,1693,3647,103,72,175
Townsville,31802,94672,96865,191535,6678,6088,12769,12873,12478,25351,7004,6666,13668,8236,7788,16025,13494,14048,27549,11818,12841,24664,11774,12787,24553,10550,11069,21615,7896,7705,15602,3364,3866,7230,973,1528,2499,796,1104,1899,88020,92031,180053,6655,4828,11481,4808,4864,9668,921,995,1911,761,808,1575,6488,6669,13158,73529,74691,148229,12474,13716,26193,79399,81547,160946,6344,7283,13624,80211,82491,162695,1062,968,2024,11691,11407,23096,4449,4703,9156,1844,2745,4592,2516,4832,7350,34647,39059,73712,6755,6150,12908,17396,17907,35299,3830,3414,7240,3461,3305,6763,279,295,574
Bundaberg,31901,43915,46209,90130,2373,2218,4595,5697,5330,11026,2749,2602,5351,2442,2424,4871,4356,4929,9285,4375,4912,9289,5418,5951,11369,5988,6636,12618,6285,6334,12618,3298,3507,6803,923,1379,2299,485,670,1151,42461,44661,87120,1455,1552,3010,1533,1662,3195,96,76,174,112,92,204,1740,1833,3572,35043,36444,71487,5094,5654,10751,38650,40369,79015,1814,2129,3946,38379,40120,78498,421,357,780,5207,4883,10089,1626,1615,3240,287,454,743,670,1588,2256,11676,13757,25431,2991,3117,6105,10905,11630,22529,2961,2674,5643,3234,3067,6304,166,145,310
Burnett,31902,25124,24612,49734,1422,1306,2729,3369,3153,6526,1444,1273,2711,1230,1193,2423,2338,2400,4742,2497,2727,5229,3301,3376,6678,3595,3739,7338,3711,3315,7026,1745,1501,3242,464,619,1087,215,190,404,24384,24101,48483,743,513,1253,1769,1794,3562,49,33,76,76,87,164,1892,1917,3804,20181,19799,39983,2329,2410,4741,21937,21739,43670,754,797,1548,21774,21660,43433,192,187,377,2969,2785,5755,790,754,1538,87,168,258,260,685,946,5547,6705,12249,1497,1638,3133,6325,6039,12368,1757,1390,3154,2347,1780,4125,113,85,199
Gympie - Cooloola,31903,24860,25438,50298,1385,1274,2657,3357,3129,6485,1521,1487,3001,1147,1134,2284,2158,2369,4526,2433,2790,5224,3311,3622,6931,3817,3950,7770,3702,3513,7219,1599,1552,3151,421,616,1038,235,306,537,24296,24854,49145,564,584,1149,817,761,1584,59,56,112,27,41,68,904,853,1759,19829,19972,39796,2587,2910,5490,22100,22483,44583,569,726,1291,21693,22173,43863,225,189,411,2988,2749,5739,858,861,1720,127,197,322,280,829,1109,6202,7527,13731,1702,1786,3491,6429,6426,12860,1716,1351,3065,1724,1479,3207,73,58,126
