sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Carlingford,12502,32818,34166,66988,2206,2147,4354,4395,4053,8450,2318,2053,4372,2090,1977,4067,4325,4612,8932,4561,4988,9548,4430,4981,9411,3927,4160,8082,2553,2751,5307,1532,1669,3201,492,765,1255,493,621,1112,32366,33684,66051,455,479,931,169,225,391,9,7,11,3,7,14,173,238,409,16860,16694,33556,14251,15554,29802,15224,15191,30414,15988,17169,33157,25953,26462,52414,472,511,985,4070,3804,7871,2010,1780,3788,1056,1027,2080,1139,1707,2843,17273,18310,35586,1255,1206,2461,3686,3901,7585,1133,1232,2358,807,920,1728,377,417,791
Merrylands - Guildford,12503,76383,75377,151758,6112,5897,12008,10655,10139,20792,4871,4641,9512,6055,5486,11545,13084,12567,25651,10468,10023,20489,9003,9023,18026,7468,7676,15145,5196,5133,10331,2524,3113,5632,950,1678,2625,506,725,1230,75390,74553,149941,997,823,1813,587,634,1222,17,26,47,18,13,35,627,668,1297,36308,36886,73197,34624,32915,67537,25901,25642,51549,45212,44744,89957,58684,59900,118581,1193,1156,2349,9472,9028,18499,3576,3676,7246,2237,2221,4455,2515,3509,6015,30531,30927,61452,3233,2874,6104,10851,10360,21207,3346,3179,6522,4236,4347,8584,1961,2349,4309
Parramatta,12504,73794,73017,146804,5864,5798,11664,8318,7833,16156,3367,3060,6426,4790,4073,8868,16094,16465,32561,13242,11148,24386,7894,7876,15763,6373,7188,13559,4447,4931,9372,2452,2953,5400,954,1698,2652,1466,2003,3469,69782,69502,139283,4008,3514,7521,500,463,963,15,12,33,3,14,18,523,485,1006,29561,29522,59080,37493,36448,73943,28333,27922,56259,38748,38165,76914,48224,47960,96188,1127,1045,2169,7579,7066,14646,2642,2471,5112,2449,1880,4326,3022,4039,7061,38810,37466,76274,2433,2083,4516,7359,7655,15018,2009,2215,4223,1701,2140,3834,656,820,1482
Pennant Hills - Epping,12601,23297,24592,47887,1353,1270,2618,3053,3047,6105,1715,1600,3317,1816,1760,3575,2912,2864,5775,3071,3409,6479,3129,3525,6652,2876,3168,6041,1934,1991,3923,1018,1281,2300,425,686,1105,388,500,884,23153,24314,47462,150,277,427,43,53,94,8,0,4,0,0,4,50,49,106,12224,12609,24836,10143,10868,21014,12489,12721,25210,9856,10709,20568,18225,19084,37307,344,342,685,2904,2895,5803,1551,1454,2998,1149,1077,2223,906,1211,2113,14487,14787,29271,788,808,1596,1723,2253,3973,571,699,1269,260,353,611,89,144,239
Ryde - Hunters Hill,12602,66945,70802,137749,4135,3929,8066,7460,6793,14252,4233,3618,7852,5441,5784,11226,11498,12130,23626,9726,10006,19733,8372,9061,17432,7041,8035,15068,4914,5445,10355,2756,3596,6352,1365,2409,3773,1391,1832,3222,63737,67899,131634,3207,2903,6108,259,237,498,15,13,23,10,5,15,284,256,540,33826,33715,67545,28736,32146,60880,33719,33606,67324,28970,32427,61399,49822,51332,101156,964,970,1935,6967,6397,13359,3650,3077,6727,3322,3461,6784,3225,4289,7511,38869,41047,79917,2281,2033,4310,5957,6980,12935,1827,2035,3866,1544,2032,3574,459,670,1133
Bringelly - Green Valley,12701,50945,51889,102836,4085,3788,7870,8260,7913,16173,4086,3840,7928,3692,3717,7416,7207,7807,15011,7056,7502,14557,6772,6899,13669,5182,5344,10527,2985,3006,5991,1306,1558,2863,313,508,822,188,268,456,50851,51767,102618,95,125,219,783,867,1647,11,17,30,10,14,22,803,895,1701,28888,28521,57410,18371,19537,37906,23220,22580,45801,24481,26017,50491,43645,44209,87857,851,782,1634,7413,7066,14477,3030,3030,6067,1253,1421,2679,976,1795,2774,18760,20455,39210,2514,2215,4730,8626,7821,16447,2324,2388,4716,2336,2664,4996,925,1367,2289
Fairfield,12702,91518,94699,186220,5699,5449,11145,12395,11654,24052,6895,6474,13368,7417,6996,14416,12303,12908,25206,10950,12293,23242,12475,13087,25569,11378,12249,23635,7055,7313,14366,3701,4373,8078,1239,1905,3145,493,639,1131,90768,93644,184412,750,1054,1807,637,653,1289,41,31,71,6,7,15,690,688,1374,38881,36730,75613,47323,52485,99804,24408,22441,46854,62825,67805,130636,74394,76282,150680,1035,1006,2043,11044,10410,21460,5395,5388,10783,2965,3139,6104,2754,4304,7052,35964,36671,72632,4357,3816,8169,12987,12108,25097,4551,4750,9303,6761,8746,15512,3782,6081,9858
Liverpool,12703,58925,59947,118873,4811,4622,9437,8627,8278,16907,4107,3758,7866,4176,4046,8220,8808,9403,18211,8729,8937,17662,7738,7576,15312,5799,6091,11888,3726,3982,7714,1843,2222,4066,567,1034,1599,459,625,1086,57154,58792,115945,1771,1153,2931,766,773,1532,27,17,47,3,6,10,796,796,1589,29720,29240,58960,23920,25261,49176,25059,24306,49365,29009,30695,59707,46785,47341,94120,884,849,1734,7692,7373,15063,3095,3008,6107,1428,1616,3046,1698,2701,4400,23696,25317,49013,2830,2426,5261,8758,7930,16683,2321,2432,4746,2374,2956,5331,804,1176,1987
Cronulla - Miranda - Caringbah,12801,52925,56076,109007,3468,3170,6640,6769,6371,13140,3144,3097,6244,3150,3008,6156,6574,7129,13698,7187,7494,14685,7296,7692,14989,6506,6888,13390,4776,5317,10090,2795,3598,6390,1286,2306,3589,272,357,629,52141,55000,107141,785,1080,1862,561,538,1104,32,19,53,7,16,24,605,578,1178,40502,42140,82646,9649,10872,20516,43346,45155,88499,7072,8130,15206,47008,49479,96492,957,794,1750,6345,5991,12339,2508,2589,5101,1194,1216,2413,1213,1929,3148,23614,25632,49248,2639,2265,4904,10269,11020,21289,2173,2728,4904,1088,1391,2479,163,179,342
Sutherland - Menai - Heathcote,12802,52268,54681,106946,3544,3369,6917,7558,7207,14763,3585,3314,6902,3332,3163,6492,5961,6229,12192,7224,7841,15066,7112,7776,14890,6484,6938,13422,4560,4859,9422,2068,2455,4518,831,1534,2371,218,285,498,51789,53805,105591,482,879,1359,608,577,1180,17,15,33,12,19,27,633,607,1240,41752,42999,84745,8876,9744,18621,44683,45956,90637,6068,6986,13052,47982,49902,97889,1047,982,2031,7214,6873,14088,2963,2781,5740,1268,1371,2644,1165,1909,3066,22831,24942,47777,2698,2279,4975,10517,10742,21260,2195,2565,4767,1046,1262,2306,130,158,285
Ballarat,20101,49310,53212,102522,3469,3207,6678,6733,6438,13174,3541,3403,6939,3852,3948,7804,6489,6796,13284,6016,6620,12639,6201,6952,13150,5676,6391,12067,4314,4927,9233,2228,2968,5198,785,1571,2355,181,229,409,47653,51403,99057,1656,1807,3467,659,742,1395,28,38,71,21,19,35,707,795,1505,41296,44480,85771,4686,5053,9731,43587,47098,90677,2721,2861,5582,44128,47693,91820,662,674,1335,6217,5909,12128,2563,2557,5122,1320,1599,2912,1275,2086,3360,16896,20770,37672,5974,6262,12230,7297,6961,14262,3317,3149,6462,2188,2483,4675,143,113,259
Creswick - Daylesford - Ballan,20102,13771,14231,28003,696,701,1402,1777,1733,3506,803,722,1521,577,536,1109,1074,1180,2255,1621,1789,3413,2140,2271,4413,2250,2344,4591,1843,1761,3600,765,768,1535,233,425,658,30,54,89,13399,13814,27215,371,412,788,123,128,258,5,6,13,3,6,12,135,142,281,10745,11008,21754,1691,1749,3445,12088,12389,24477,561,601,1159,12094,12357,24448,141,145,294,1587,1533,3129,524,542,1063,118,156,267,228,516,741,4173,5399,9569,1761,1771,3529,2304,1781,4089,1018,817,1842,753,636,1384,20,22,50
Maryborough - Pyrenees,20103,12607,12294,24901,597,592,1188,1500,1413,2911,687,615,1303,569,532,1097,972,1041,2016,1354,1278,2634,1740,1725,3465,2087,1998,4088,1925,1788,3711,929,873,1804,253,434,692,17,21,46,12041,12060,24099,565,231,802,166,172,336,8,14,24,7,7,7,175,193,372,10357,10014,20375,1157,1154,2311,11099,11121,22219,291,301,595,11052,11061,22119,114,131,246,1350,1267,2622,484,444,929,88,123,213,132,281,418,2768,3624,6391,1619,1670,3290,2532,2088,4620,1206,991,2194,945,805,1751,42,30,64
Bendigo,20201,44952,48547,93500,3156,3003,6155,6178,5749,11927,3067,3097,6163,3428,3665,7093,5978,6449,12425,5339,5832,11169,5456,6007,11461,5282,5892,11170,3948,4451,8400,2255,2781,5034,875,1627,2499,157,201,357,43719,46916,90640,1231,1630,2863,787,797,1589,24,30,56,13,19,38,825,848,1680,38049,41006,79055,3660,3959,7620,39610,42678,82288,2280,2561,4839,40292,43582,83877,531,516,1046,5567,5209,10783,2164,2292,4453,988,1427,2415,960,1687,2647,14096,17866,31963,5341,5575,10916,7237,6898,14135,3204,3020,6216,2240,2392,4624,227,218,447
Heathcote - Castlemaine - Kyneton,20202,23055,23499,46561,1226,1236,2462,2913,2785,5697,1420,1277,2694,1007,893,1898,1985,1891,3881,2743,2950,5696,3431,3683,7114,3610,3660,7273,2955,2960,5915,1338,1454,2788,435,705,1148,58,99,155,22004,23034,45037,1055,465,1525,241,183,421,3,3,11,3,3,4,247,189,436,18231,18668,36899,2770,2538,5309,19888,20699,40590,788,874,1669,19807,20732,40541,258,240,499,2611,2514,5119,968,959,1923,208,284,499,340,773,1119,7592,9374,16968,2761,2700,5465,3384,2930,6320,1556,1308,2862,1025,958,1983,48,59,107
Loddon - Elmore,20203,5726,5474,11200,281,294,575,705,676,1377,333,322,654,199,189,392,387,415,810,597,591,1189,814,843,1663,1045,914,1957,855,680,1538,365,379,745,129,166,297,16,18,30,5660,5403,11062,62,72,136,69,86,150,4,3,9,4,3,11,73,91,169,4685,4485,9173,392,407,793,5049,4844,9892,137,145,275,5035,4826,9860,61,48,114,604,592,1192,225,238,461,28,41,69,32,132,166,1140,1562,2701,809,741,1552,1172,835,2008,546,432,975,445,346,790,15,13,28
Barwon - West,20301,9370,9320,18688,645,626,1275,1538,1460,2997,663,568,1230,454,383,837,856,983,1840,1285,1367,2648,1358,1409,2763,1259,1206,2465,884,807,1686,333,338,670,99,178,276,12,31,47,9293,9201,18493,80,116,200,77,69,139,4,3,6,3,0,4,82,75,152,7877,7796,15675,881,889,1769,8597,8530,17128,291,295,590,8578,8506,17086,148,138,286,1393,1326,2721,492,425,917,133,151,282,120,319,443,2697,3500,6202,1394,1227,2625,1507,1144,2647,633,499,1128,415,313,724,13,12,24
Geelong,20302,90248,95840,186087,5951,5607,11560,11244,10720,21961,6170,6063,12233,7019,6782,13798,12591,12729,25319,11491,12093,23575,11533,12556,24088,10323,11452,21778,7779,8848,16630,4308,5680,9992,1839,3314,5158,466,511,975,86724,92552,179271,3521,3293,6817,919,979,1901,50,35,86,22,19,47,992,1039,2033,68548,73035,141582,15668,16129,31802,72756,78305,151060,11154,11695,22853,77227,83586,160809,1158,1045,2199,10262,9810,20072,4700,4763,9462,2639,2913,5555,2512,3812,6326,32218,38207,70418,11592,10966,22557,12044,11911,23956,5387,5606,10996,4258,5254,9508,502,599,1105
Surf Coast - Bellarine Peninsula,20303,33659,35884,69538,2317,2032,4349,4838,4591,9431,1967,1806,3773,1529,1351,2878,3160,3693,6850,4368,4705,9071,4305,4905,9212,4631,5166,9800,3960,4322,8286,1909,2198,4114,666,1113,1783,149,166,311,33097,35112,68206,557,775,1334,247,257,503,5,4,14,3,3,10,258,265,521,27283,29018,56301,4207,4530,8735,30373,32259,62632,1407,1630,3040,30201,32208,62411,484,438,917,4503,4257,8760,1549,1428,2980,513,569,1085,671,1281,1948,12988,15604,28587,4265,4406,8670,4391,4161,8543,1673,1584,3258,1114,1211,2321,61,59,118
Upper Goulburn Valley,20401,28293,27824,56117,1509,1411,2923,3523,3380,6905,1803,1598,3401,1748,1434,3186,2916,2764,5672,3050,3265,6321,3790,3911,7696,4166,4148,8313,3613,3347,6962,1617,1762,3382,549,805,1353,301,283,588,25439,25631,51067,2850,2191,5047,340,324,663,18,17,35,5,13,15,360,351,715,22096,21662,43759,2887,2938,5828,24137,23839,47974,1238,1230,2463,24295,23905,48206,277,302,577,3076,2924,6004,1198,1123,2325,314,318,635,394,829,1230,7828,9606,17431,3560,3332,6893,4867,3974,8840,2307,1753,4060,1514,1358,2868,66,47,121
Wangaratta - Benalla,20402,21886,23373,45257,1251,1165,2412,2830,2702,5535,1358,1289,2652,1094,1011,2098,2015,2194,4211,2369,2674,5040,2953,3277,6232,3267,3513,6781,2702,2823,5525,1455,1699,3157,594,1029,1619,61,67,120,21362,22634,43992,529,743,1269,301,318,621,10,14,18,0,3,6,315,332,644,18368,19514,37877,1696,1892,3590,19475,20684,40154,833,928,1759,19759,21067,40830,201,211,415,2581,2441,5021,958,911,1866,168,232,400,251,661,915,5869,7741,13609,3072,3215,6287,4040,3590,7628,1669,1463,3131,1270,1344,2614,53,57,113
Wodonga - Alpine,20403,37459,38151,75609,2300,2239,4541,5186,4951,10137,2490,2240,4730,2483,2108,4592,4348,4633,8974,4511,4847,9358,5138,5314,10450,5036,5224,10263,3717,3680,7397,1679,1923,3601,575,986,1561,231,283,519,33690,35248,68939,3766,2898,6668,581,708,1293,33,25,61,21,12,34,636,742,1381,30218,30545,60768,3794,4016,7813,32201,32839,65040,1935,2162,4099,32853,33545,66392,508,499,1007,4587,4424,9015,1686,1596,3284,496,585,1086,755,1513,2269,11495,13700,25198,4536,4385,8924,6591,5842,12431,2190,2036,4230,1643,1518,3158,119,112,235
Baw Baw,20501,23102,24553,47652,1489,1439,2929,3232,3128,6358,1552,1471,3026,1302,1282,2582,2535,2774,5309,2540,2852,5393,3052,3382,6431,3110,3376,6484,2572,2707,5279,1333,1437,2772,388,691,1080,97,141,239,22711,24022,46733,392,528,920,235,227,467,9,13,23,6,8,20,251,252,505,18842,19803,38645,2453,2713,5163,20631,21849,42478,915,1016,1928,20669,21862,42531,264,269,532,2923,2845,5763,1109,1124,2227,258,351,614,313,889,1202,6271,8479,14746,3091,3193,6280,4279,3566,7845,1779,1561,3343,1197,1226,2422,72,82,152
Gippsland - East,20502,21486,22510,44002,1113,1128,2241,2505,2425,4926,1188,1092,2287,906,879,1782,1864,2019,3887,2026,2270,4299,2656,3049,5707,3367,3667,7032,3582,3315,6896,1749,1846,3590,538,823,1362,71,107,176,20842,21721,42566,645,791,1435,609,632,1241,7,8,12,3,4,9,614,643,1255,17084,17700,34786,2256,2476,4732,18916,19641,38552,748,862,1604,19007,19778,38785,219,243,463,2194,2123,4314,809,742,1545,104,168,273,228,627,849,5422,7025,12447,2833,3001,5831,4116,3725,7840,1908,1599,3504,1355,1244,2602,74,51,130
Gippsland - South West,20503,29130,30955,60082,1745,1553,3302,3602,3597,7193,1691,1491,3187,1136,1180,2315,2625,2873,5494,2955,3350,6311,3947,4162,8108,4441,4864,9304,4226,4408,8632,2047,2284,4325,717,1192,1910,118,159,272,28592,30127,58715,541,828,1368,265,245,507,18,13,36,16,17,26,294,271,568,22908,24070,46975,3678,4080,7760,25774,27246,53016,1233,1393,2632,25832,27278,53103,307,305,610,3200,3234,6430,1168,1100,2267,208,278,485,371,893,1266,7686,10407,18100,4257,4177,8437,5307,4674,9982,2374,2047,4415,1623,1631,3250,81,88,162
Latrobe Valley,20504,34990,36853,71848,2241,2087,4332,4530,4335,8866,2266,2142,4405,2383,2434,4817,4317,4695,9012,3963,4285,8250,4608,4911,9517,4738,4963,9704,3448,3624,7069,1825,2268,4096,668,1115,1785,61,90,154,34136,35739,69882,854,1110,1965,529,583,1107,20,24,45,22,19,34,569,624,1190,27533,28713,56243,4245,4678,8921,29921,31364,61286,2278,2523,4806,30655,32228,62887,313,305,618,4065,3913,7974,1549,1534,3076,462,716,1177,623,1182,1802,9286,11469,20759,5133,4898,10030,6127,5599,11734,2439,2624,5064,2005,2252,4261,146,172,315
Wellington,20505,21204,20787,41986,1252,1191,2438,2652,2511,5165,1289,1219,2508,1207,953,2163,2561,2380,4945,2503,2354,4858,2716,2862,5584,3100,3150,6248,2404,2273,4681,1143,1260,2396,374,635,1007,85,86,168,19839,20319,40159,1362,466,1831,311,305,609,10,8,22,9,7,20,333,321,645,17083,16762,33847,2262,2192,4460,18065,18422,36489,767,842,1610,18033,18364,36399,250,225,475,2386,2255,4644,868,900,1769,159,204,361,262,639,907,5056,6632,11687,2919,2946,5870,3747,3205,6952,1721,1404,3126,1221,1041,2262,65,65,128
Brunswick - Coburg,20601,41475,44389,85865,2341,2256,4600,3655,3615,7264,1704,1688,3390,3642,4264,7901,10329,10620,20947,6908,7082,13987,4983,5194,10175,3475,3981,7451,2236,2598,4833,1541,2096,3640,665,1004,1665,363,478,848,40829,43820,84650,647,570,1214,190,225,409,14,8,20,4,3,9,210,237,446,25860,27703,53561,12772,13613,26389,25991,27525,53519,12952,14115,27064,32723,35309,68030,483,466,950,3392,3335,6726,1381,1379,2756,1847,2262,4109,2703,3522,6224,24333,26953,51288,2520,2121,4641,2491,2056,4547,1026,967,1996,1988,2724,4718,457,770,1223
Darebin - South,20602,24252,27258,51511,1505,1432,2937,2715,2686,5404,1121,1084,2206,1611,1903,3513,4792,5589,10379,4070,4606,8672,3397,3839,7234,2282,2526,4809,1360,1587,2950,1014,1337,2350,376,662,1038,129,224,349,24020,26795,50811,235,465,703,141,176,314,4,11,13,3,0,8,146,191,334,16420,18372,34794,6189,7005,13195,16819,18687,35500,5970,6873,12841,20268,22778,43045,369,328,704,2533,2513,5048,947,896,1846,759,957,1718,1221,1896,3114,13674,16327,30003,1460,1269,2733,1419,1173,2596,607,580,1190,1090,1584,2672,254,396,645
Essendon,20603,31922,34488,66415,1929,1839,3767,3641,3520,7163,1779,1882,3669,2569,2626,5202,5979,6626,12604,4663,5018,9683,4379,4628,9007,3391,3725,7114,2048,2196,4242,1033,1499,2538,512,927,1443,270,379,647,31381,33957,65339,541,531,1073,127,110,235,4,4,9,6,6,16,144,122,263,20833,22105,42934,8669,9709,18376,21171,22155,43327,8488,9817,18314,25696,27603,53303,383,356,740,3289,3234,6523,1482,1604,3084,1346,1332,2679,1444,2037,3474,17369,19180,36545,2330,2264,4595,2187,2110,4300,896,928,1827,1093,1500,2592,250,467,724
Melbourne City,20604,84247,89317,173561,2531,2532,5068,2792,2697,5492,5481,7434,12914,15637,18892,34522,25466,26043,51511,11726,10293,22020,8401,8483,16886,6456,6756,13213,3783,3740,7527,1437,1517,2954,534,925,1460,7549,8764,16312,64309,69045,133353,19940,20277,40211,322,266,591,10,19,38,13,21,37,354,306,660,26430,25796,52233,37052,41652,78709,32315,31605,63914,30894,36063,66956,35126,35471,70601,335,332,664,1981,1950,3930,4045,5579,9629,9547,11649,21199,6514,7636,14154,50509,54200,104714,3222,3150,6374,2662,2828,5493,996,1080,2080,767,1062,1825,322,489,809
Port Phillip,20605,50399,52673,103075,2458,2437,4892,3593,3439,7033,1540,1633,3181,3207,3854,7062,12803,13860,26661,9115,9206,18319,6940,6958,13901,5240,5269,10504,3483,3482,6970,1477,1682,3157,543,848,1393,1243,1500,2737,47549,50568,98116,2851,2101,4956,196,193,390,9,7,22,7,9,13,214,209,425,28306,29683,57991,15563,16285,31854,34199,35145,69346,9821,11023,20842,35555,37440,72991,518,500,1015,3129,3018,6144,1181,1215,2391,1278,1484,2755,2344,3362,5705,30194,32850,63043,2920,2775,5692,2827,2479,5307,927,847,1774,988,1154,2138,181,249,429
Stonnington - West,20606,29866,33291,63153,1148,1133,2277,1734,1850,3587,1019,1281,2304,2598,3380,5975,8858,9600,18457,4490,4427,8918,3371,3412,6782,2663,3140,5801,2230,2632,4864,1255,1645,2906,497,792,1286,614,744,1355,28811,32085,60895,1055,1204,2263,114,89,202,7,4,12,0,5,5,118,103,217,16745,18554,35294,9786,11058,20842,20183,21933,42117,6447,7846,14297,21396,23572,44971,265,274,538,1497,1632,3126,823,992,1818,1259,1682,2946,1610,2088,3700,20087,22332,42415,1425,1591,3015,1243,1378,2621,437,486,924,506,695,1204,95,188,283
Yarra,20607,42937,45904,88847,2027,1972,3998,2887,2938,5828,1393,1465,2863,3254,4190,7444,12838,13934,26768,7211,6961,14166,5144,4968,10109,3797,4217,8009,2656,2954,5611,1276,1645,2921,464,665,1124,548,757,1312,41116,44194,85307,1823,1714,3539,208,202,409,13,8,24,3,4,9,218,217,438,26243,27201,53442,11906,13513,25421,29444,30389,59836,8983,10671,19657,32666,34776,67447,368,390,754,2509,2580,5091,1060,1162,2223,1439,1919,3357,2741,3795,6532,27332,29438,56772,2112,1927,4041,1958,1703,3665,784,832,1616,998,1543,2547,320,631,957
Boroondara,20701,80071,87522,167594,4003,3749,7753,10776,10353,21123,6146,6130,12277,6906,6683,13596,11137,11492,22631,9525,11168,20693,11202,12881,24082,9020,10050,19069,6340,7386,13725,3438,4484,7923,1565,3159,4724,1346,1648,2994,77993,84831,162820,2075,2692,4772,163,144,303,11,6,22,0,11,6,170,157,334,51376,54709,106087,23936,27439,51377,54417,57920,112335,20971,24425,45400,64750,70033,134783,1092,1029,2124,10098,9755,19855,5466,5445,10916,4349,4050,8392,3269,4255,7521,48850,53266,102121,4473,5393,9867,3691,4479,8171,1886,2065,3950,1435,2230,3665,347,412,759
Manningham - West,20702,43667,47300,90968,2293,2150,4438,5047,4739,9793,2919,2663,5588,2901,2697,5593,5409,5515,10917,5315,5882,11196,5836,6724,12562,5139,6006,11149,4335,5295,9630,3323,3807,7127,1153,1814,2969,768,1033,1802,43214,46388,89602,451,910,1359,72,61,133,3,7,12,3,0,8,77,69,151,22513,23209,45720,18761,21167,39931,20598,21276,41870,20908,23333,44245,34731,36960,71696,535,508,1042,4674,4375,9058,2557,2388,4945,1686,1549,3237,1414,1900,3315,23581,24984,48566,3155,3378,6534,3290,3725,7015,1536,1722,3259,1977,2802,4776,420,636,1054
Whitehorse - West,20703,49594,53912,103512,2712,2586,5303,5780,5479,11260,3495,3658,7158,5228,4817,10046,7602,7671,15274,6161,6832,12993,6297,7162,13457,5137,5946,11088,3511,4317,7831,2471,3390,5862,1195,2054,3246,989,1368,2360,48204,52092,100298,1393,1818,3210,107,87,190,8,10,18,4,3,5,113,97,208,27368,28898,56262,19262,21408,40669,28423,29847,58272,18376,20664,39041,36167,39382,75541,668,648,1319,5408,5142,10548,2997,3203,6201,3425,3111,6530,2510,3024,5529,28111,30493,58601,3410,3611,7022,3225,3464,6686,1537,1763,3298,1405,2117,3527,415,549,967
Bayside,20801,45285,50491,95772,2539,2421,4957,6732,6650,13381,3237,3037,6279,2537,2446,4984,3748,4294,8040,5559,6690,12248,7264,8281,15546,5903,6510,12412,4347,4959,9309,2219,2852,5070,1187,2355,3542,378,567,943,44575,49121,93692,706,1370,2074,97,83,175,11,9,14,0,0,0,101,89,192,31404,34428,65835,11447,12984,24428,36614,39811,76425,6383,7767,14146,38727,42818,81542,749,676,1421,6272,6222,12493,2841,2661,5497,1404,1343,2745,954,1664,2620,24938,27625,52560,3369,4065,7434,3032,3683,6707,1318,1467,2785,943,1316,2258,121,162,279
Darebin - North,20902,46583,48909,95492,2947,2884,5831,4730,4435,9160,2526,2522,5047,4009,4230,8238,9163,8896,18061,6945,7033,13980,5731,6156,11888,4352,4658,9008,2920,3547,6469,2300,2941,5237,959,1620,2574,547,774,1324,45129,47102,92231,1454,1809,3264,387,416,802,10,13,19,12,11,22,404,442,844,25113,26510,51624,17418,17905,35322,22648,23915,46561,20259,20925,41184,34138,36404,70542,482,500,984,4230,3937,8163,1943,2064,4012,2164,2267,4432,2586,3033,5612,22743,24057,46799,3313,2876,6192,3519,3335,6855,1735,1776,3507,2903,3990,6892,711,1016,1723
Nillumbik - Kinglake,20903,31492,32278,63770,1767,1712,3481,4748,4533,9278,2541,2306,4845,2105,1997,4103,2943,2997,5940,3995,4475,8466,5019,5485,10503,4480,4610,9085,2708,2701,5410,928,1012,1941,253,454,703,115,171,281,31313,31994,63309,174,283,458,119,145,266,6,9,14,0,0,0,126,154,285,25269,25780,51048,4809,4965,9773,27547,27882,55426,2697,3054,5747,28627,29162,57786,437,451,882,4464,4237,8700,2096,1977,4068,920,923,1847,654,1090,1742,13987,15982,29973,3801,3584,7389,3754,3038,6795,1424,1235,2662,721,790,1509,76,64,139
Whittlesea - Wallan,20904,105823,108703,214528,8979,8507,17489,14791,13791,28586,6531,6245,12772,7345,7207,14556,17649,18570,36224,15744,15978,31729,13005,13848,26855,10248,11477,21722,7052,7547,14598,3500,4046,7550,978,1475,2455,742,1174,1920,104962,107560,212524,861,1150,2007,846,888,1740,23,31,59,31,42,69,903,966,1865,62854,64372,127226,35789,36320,72109,56219,57296,113522,43718,44919,88637,86124,88278,174403,1635,1519,3154,13415,12560,25974,5005,5011,10016,2931,2953,5881,2936,4488,7427,42271,46650,88922,9684,9003,18683,11821,10262,22079,5187,4731,9919,5661,6949,12604,1215,1722,2937
