sa3_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,sa3_name16
10804,9,291,627,920,278,214,493,8679,4164,12840,70,35,101,9026,4418,13438,1169,1187,2353,27278,29689,56968,276,339,617,28718,31218,59935,306,343,650,5038,5555,10594,69,54,127,5415,5954,11365,629,617,1243,17562,18992,36560,198,234,433,18390,19849,38236,716,753,1470,13767,15243,29006,128,134,261,14607,16135,30739,Port Macquarie
10805,12,244,475,715,218,192,416,5825,2718,8548,60,32,94,6109,2944,9051,1378,1409,2787,18737,19684,38424,277,324,598,20391,21418,41814,311,334,648,3115,3257,6373,44,57,102,3472,3653,7124,813,776,1591,12888,13435,26325,177,206,381,13873,14420,28297,670,788,1459,8124,8790,16910,102,121,223,8898,9698,18592,Taree - Gloucester
10901,7,225,470,701,110,91,208,6378,3327,9704,64,26,83,6550,3443,9990,597,597,1192,21505,22654,44161,225,224,456,22326,23473,45803,200,225,427,4151,4561,8715,35,23,55,4385,4809,9195,341,313,655,14442,14960,29401,162,165,330,14941,15440,30384,349,430,777,10110,11301,21411,80,72,152,10537,11810,22344,Albury
10902,3,41,81,125,48,46,93,1121,519,1641,12,15,28,1180,574,1756,423,398,820,4440,4175,8611,70,70,142,4924,4641,9570,75,92,168,592,629,1214,14,14,33,680,735,1415,280,270,548,3277,2988,6269,48,65,107,3607,3320,6926,165,187,355,1495,1585,3079,28,19,50,1686,1791,3481,Lower Murray
10903,4,106,286,395,68,53,123,4433,1952,6382,44,17,62,4547,2020,6566,368,451,822,15447,15445,30892,227,194,422,16048,16093,32135,110,147,257,2357,2495,4856,28,45,73,2494,2687,5178,236,277,515,11129,11030,22154,156,138,295,11520,11439,22961,188,263,455,5882,6164,12046,75,85,160,6148,6516,12664,Upper Murray exc. Albury
11001,3,155,253,409,148,114,263,2898,1436,4327,23,19,40,3075,1564,4635,921,905,1830,12237,12915,25151,148,138,281,13300,13962,27258,232,281,520,2507,2940,5449,21,19,41,2764,3246,6011,570,587,1160,8230,8582,16810,113,100,214,8916,9274,18185,456,479,933,6024,6770,12788,47,35,81,6517,7283,13808,Armidale
11002,3,162,280,447,151,144,295,3449,1860,5306,35,19,59,3641,2022,5661,1003,1023,2025,13129,13453,26588,205,227,435,14337,14701,29042,302,301,609,1946,2183,4130,29,29,53,2276,2513,4788,626,609,1234,9650,9745,19392,144,164,303,10415,10512,20930,516,568,1081,4757,5247,9998,70,60,126,5340,5874,11213,Inverell - Tenterfield
11003,0,80,161,240,209,191,398,1973,911,2884,23,10,36,2201,1117,3317,1547,1741,3287,7985,7607,15588,115,96,213,9647,9444,19086,320,370,694,1034,1103,2131,34,32,59,1388,1501,2883,1073,1160,2233,5823,5404,11220,82,77,158,6980,6636,13613,597,704,1301,2719,2812,5532,42,45,91,3365,3558,6924,Moree - Narrabri
11004,7,290,697,986,538,436,972,7627,3808,11437,88,39,123,8250,4279,12528,3163,3214,6371,26095,27278,53380,355,340,697,29614,30835,60447,796,865,1665,4785,4964,9749,59,58,115,5639,5887,11526,1821,1827,3649,17633,18225,35858,249,245,492,19704,20296,39996,1605,1800,3404,11833,12710,24543,125,119,238,13560,14623,28184,Tamworth - Gunnedah
11101,4,361,805,1173,366,233,595,14048,5866,19916,77,29,112,14492,6129,20619,1628,1674,3306,45453,47872,93330,332,392,724,47417,49942,97353,367,361,731,6340,6768,13109,44,51,102,6753,7180,13935,977,997,1979,32768,34350,67116,242,288,530,33994,35633,69623,816,882,1692,17235,18577,35814,110,120,233,18163,19574,37739,Lake Macquarie - East
11102,3,225,527,756,314,234,550,9169,4151,13324,63,17,76,9547,4401,13947,1407,1397,2809,27346,28696,56050,224,258,480,28985,30357,59341,326,321,650,4526,4918,9439,28,29,61,4882,5262,10146,876,859,1736,18667,19304,37972,159,190,347,19707,20348,40054,693,722,1414,12031,13051,25079,74,72,148,12803,13846,26644,Lake Macquarie - West
11103,11,581,936,1526,429,373,804,15541,7235,22779,87,28,116,16058,7636,23691,2142,2187,4335,58303,59985,118290,411,434,841,60857,62607,123464,576,628,1202,12744,13376,26112,78,60,140,13398,14063,27465,1303,1264,2562,38173,39636,77808,294,297,594,39764,41202,80966,1178,1365,2541,30374,31597,61970,169,157,328,31716,33121,64840,Newcastle
11201,3,205,436,645,175,120,294,7601,3400,11000,57,25,80,7835,3536,11378,820,806,1630,26895,28441,55338,313,344,656,28026,29594,57624,191,229,419,5152,5978,11131,58,65,123,5402,6273,11675,498,539,1035,17854,18686,36539,208,217,423,18559,19440,37996,429,419,846,13019,14597,27614,142,166,310,13591,15180,28771,Richmond Valley - Coastal
11202,5,329,566,902,229,196,424,6729,3661,10389,53,36,86,7011,3886,10899,1452,1458,2908,24581,25656,50234,314,334,654,26347,27445,53792,384,386,769,3819,4072,7891,53,37,96,4260,4502,8758,850,827,1675,17742,18351,36093,244,242,483,18834,19421,38250,751,839,1597,9619,10356,19979,93,96,189,10469,11300,21766,Richmond Valley - Hinterland
11203,4,265,517,782,293,200,494,9836,4428,14260,81,35,111,10204,4662,14867,1372,1380,2754,31429,33766,65191,399,408,811,33203,35556,68757,308,345,656,6072,6609,12680,42,71,111,6426,7027,13446,800,784,1586,20634,21958,42590,277,297,575,21710,23045,44758,749,820,1572,15468,17226,32697,121,134,253,16336,18189,34530,Tweed Valley
11301,0,146,321,471,190,117,313,4346,1972,6324,38,22,65,4582,2119,6696,1084,1095,2179,16863,16771,33630,218,203,425,18160,18073,36233,256,269,526,2684,2718,5404,32,34,60,2975,3016,5993,669,696,1359,12159,11898,24055,154,136,291,12980,12733,25712,510,526,1035,6442,6675,13118,68,63,129,7027,7256,14284,Griffith - Murrumbidgee (West)
11302,0,46,121,160,35,29,63,1489,661,2151,15,3,19,1543,697,2235,229,235,468,5200,5196,10398,74,60,138,5501,5493,10998,50,70,121,758,769,1528,16,12,28,830,854,1681,147,156,302,3890,3748,7638,56,50,100,4091,3948,8039,103,123,219,1830,1935,3764,20,22,40,1953,2077,4027,Tumut - Tumbarumba
11303,11,404,721,1120,300,263,560,9394,4712,14099,76,29,106,9767,5004,14769,1609,1679,3294,32290,33314,65598,335,376,713,34236,35368,69602,491,569,1063,6251,6674,12928,73,73,151,6817,7321,14139,910,910,1822,21757,22293,44051,256,269,526,22918,23478,46399,945,1122,2063,15032,16177,31204,127,142,272,16103,17434,33533,Wagga Wagga
11401,6,365,772,1138,367,282,647,12083,5067,17149,91,47,135,12541,5395,17935,1986,2029,4013,34838,36060,70900,373,429,794,37193,38517,75708,491,528,1023,6023,6482,12505,68,70,133,6576,7080,13663,1140,1140,2281,23557,23999,47555,236,309,542,24933,25451,50384,1040,1134,2177,15957,17215,33166,144,157,309,17142,18503,35649,Shoalhaven
11402,0,129,314,446,80,73,154,4769,2094,6861,34,11,52,4888,2176,7066,331,405,737,17058,18609,35658,151,197,344,17536,19211,36745,79,76,160,3070,3404,6473,24,27,54,3172,3514,6680,209,243,453,11091,11995,23081,97,137,232,11401,12374,23767,171,198,372,8398,9449,17846,57,83,141,8631,9730,18362,Southern Highlands
11501,5,266,545,810,53,20,69,8267,3582,11850,38,20,58,8357,3616,11978,227,224,447,57935,60739,118671,261,289,550,58418,61249,119673,36,38,80,8028,8370,16406,26,31,55,8097,8443,16539,146,153,297,39946,41761,81711,193,221,413,40282,42136,82417,99,102,201,23699,24872,48572,83,78,160,23883,25053,48934,Baulkham Hills
11502,3,35,144,177,30,4,39,2643,882,3523,25,10,36,2697,889,3588,89,82,175,10774,10802,21574,87,81,171,10953,10964,21920,7,8,15,1154,1216,2369,8,7,16,1170,1235,2409,58,42,97,7688,7745,15436,67,70,139,7815,7865,15675,39,43,82,3894,3973,7863,23,22,51,3957,4042,7998,Dural - Wisemans Ferry
11503,0,64,174,240,61,39,101,3292,1274,4571,19,6,29,3380,1321,4700,297,257,547,9682,9546,19229,60,67,130,10039,9863,19907,55,51,103,1122,1139,2259,4,8,17,1182,1194,2378,199,181,376,7109,6916,14022,56,44,104,7367,7141,14509,107,106,212,3301,3398,6698,13,22,32,3423,3519,6941,Hawkesbury
11504,3,60,162,222,47,30,75,3154,1226,4379,17,3,21,3214,1261,4472,168,164,335,12871,12814,25692,53,64,119,13095,13043,26140,33,38,65,2372,2414,4787,15,7,21,2419,2460,4880,101,88,186,8151,8090,16239,33,47,80,8280,8225,16506,79,90,169,6396,6501,12898,20,19,46,6497,6614,13108,Rouse Hill - McGraths Hill
11601,0,371,702,1072,165,119,288,9684,4734,14418,53,26,80,9907,4886,14791,1106,1142,2249,51881,52263,104140,349,336,688,53338,53740,107078,200,200,399,8435,7988,16422,51,37,86,8680,8229,16912,753,787,1538,34852,35601,70452,256,263,513,35863,36645,72504,422,452,880,22482,21708,44192,113,89,201,23016,22253,45273,Blacktown
11602,0,206,418,621,91,56,151,6055,3061,9110,20,13,31,6164,3129,9288,482,464,944,35070,35795,70865,155,193,349,35708,36453,72160,97,104,201,6592,6598,13192,28,34,60,6713,6733,13448,305,288,594,21299,21507,42806,111,123,228,21713,21913,43632,226,237,462,17835,18427,36264,52,64,120,18119,18736,36849,Blacktown - North
11603,3,339,719,1059,209,238,441,7047,4108,11156,48,24,78,7308,4369,11680,1981,2088,4067,40814,42467,83276,371,399,770,43166,44949,88117,360,419,784,6119,6412,12536,37,41,80,6518,6876,13394,1304,1335,2643,27778,28849,56627,277,308,587,29354,30501,59854,739,906,1649,16500,17321,33822,93,92,182,17334,18318,35653,Mount Druitt
11701,0,107,171,274,71,39,108,3047,1319,4371,23,11,36,3138,1375,4510,309,350,659,16763,17213,33976,100,93,192,17173,17653,34827,56,51,110,3771,3577,7346,10,11,21,3837,3644,7480,199,238,445,10325,10953,21281,82,74,157,10612,11271,21880,140,153,296,9402,9033,18434,19,28,42,9567,9209,18776,Botany
11703,3,413,473,885,133,115,248,7462,3487,10952,42,25,68,7636,3627,11269,877,881,1755,63527,58175,121701,350,336,681,64748,59389,124135,274,241,515,28141,29106,57245,116,107,221,28534,29452,57985,536,547,1081,29489,26361,55854,211,208,417,30234,27123,57352,557,551,1110,61223,59849,121074,228,203,427,62010,60598,122612,Sydney Inner City
11702,0,114,167,290,50,34,83,2689,1279,3971,20,3,20,2756,1315,4071,311,316,624,18989,19525,38510,114,101,212,19411,19942,39353,65,82,145,4449,4727,9172,25,14,40,4536,4818,9354,198,176,374,11906,12157,24061,82,73,154,12184,12404,24588,162,184,348,10836,11450,22284,47,36,79,11047,11670,22713,Marrickville - Sydenham - Petersham
11801,0,161,244,402,29,19,52,4169,1959,6122,21,8,27,4213,1989,6205,185,139,325,41031,44751,85776,239,281,516,41459,45167,86625,48,53,96,10943,12226,23165,46,55,99,11035,12327,23368,109,80,189,23554,26056,49615,148,185,332,23811,26323,50131,117,115,226,26678,29421,56105,109,119,233,26904,29655,56558,Eastern Suburbs - North
11802,6,230,400,632,145,85,232,7259,2862,10124,47,15,56,7447,2966,10409,732,799,1531,46684,49745,96427,250,290,538,47663,50833,98491,127,146,270,12608,13363,25971,41,55,99,12776,13569,26341,447,485,927,27731,30424,58159,186,201,386,28358,31114,59474,333,403,735,29801,30833,60640,94,117,211,30223,31356,61582,Eastern Suburbs - South
11901,11,384,810,1192,104,72,179,11687,5115,16800,99,30,133,11889,5219,17110,537,602,1136,66547,69067,135619,493,491,990,67576,70160,137738,87,101,191,9406,9573,18981,85,85,171,9569,9764,19335,376,429,804,46132,47829,93960,359,338,698,46869,48600,95461,200,229,426,25863,26772,52640,148,181,326,26208,27183,53395,Bankstown
11902,3,293,504,799,35,37,72,6971,3398,10369,48,25,69,7052,3451,10506,267,314,585,52441,52062,104502,362,346,707,53067,52725,105789,57,74,132,9051,8258,17307,75,35,118,9185,8370,17554,178,211,387,34610,35334,69947,247,249,496,35040,35792,70835,115,152,267,23723,21978,45701,124,91,216,23959,22213,46177,Canterbury
11903,7,257,472,727,56,32,89,7235,3223,10450,46,17,63,7338,3267,10606,252,310,562,48097,50904,99002,262,257,516,48611,51475,100082,44,73,118,8748,9254,18005,47,39,87,8847,9365,18209,170,188,354,32381,34528,66907,201,197,396,32745,34912,67657,112,172,287,22365,23572,45929,88,83,165,22563,23828,46387,Hurstville
11904,3,282,517,804,74,45,118,7910,3678,11582,53,21,71,8032,3743,11772,332,318,649,50522,52284,102807,325,315,641,51185,52919,104098,84,91,175,10655,10522,21178,49,60,111,10794,10668,21456,169,198,366,32543,34315,66859,232,215,449,32944,34730,67673,230,194,422,26322,26098,52420,95,135,228,26648,26429,53070,Kogarah - Rockdale
12001,0,162,256,417,38,11,47,4476,1972,6448,17,5,25,4527,1995,6516,146,161,305,30369,33110,63480,157,159,317,30671,33431,64106,40,35,81,6587,7000,13589,27,17,46,6657,7055,13710,100,96,195,18509,20571,39082,120,113,227,18724,20782,39506,72,93,166,17000,18279,35278,49,59,111,17125,18431,35553,Canada Bay
12002,3,90,141,229,20,26,49,2233,1041,3273,8,9,18,2262,1078,3340,202,230,432,18757,20698,39456,107,120,230,19070,21045,40116,39,58,97,4616,4886,9503,13,15,28,4671,4962,9633,121,150,273,11243,12632,23878,78,78,153,11438,12863,24302,98,118,214,11072,11946,23015,27,49,74,11194,12114,23311,Leichhardt
12003,3,283,437,718,55,47,107,6445,3235,9678,42,18,61,6542,3295,9839,319,374,698,53459,56246,109707,298,316,616,54078,56935,111016,88,112,200,13755,13740,27488,55,53,107,13892,13906,27801,209,229,435,33070,35554,68620,182,205,385,33453,35987,69447,176,231,412,32085,32414,64502,134,127,260,32389,32778,65165,Strathfield - Burwood - Ashfield
