SA3_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,SA3_NAME11
20702,34570,37942,72512,15698,9002,24700,4416,8677,13093,1031,1183,2214,1155,969,2124,22300,19831,42131,11028,16652,27680,5.2,4.9,5.0,64.5,52.3,58.1,61.2,49.7,55.2,2361,1694,4055,670,1022,1692,7140,7726,14866,3171,3911,7082,5427,3050,8477,35676,38212,73888,4185,4478,8663,26497,28653,55150,11446,12224,23670,Manningham - West
20703,37395,41630,79025,16493,9560,26053,5153,10279,15432,1093,1334,2427,1458,1236,2694,24197,22409,46606,11229,17308,28537,6.0,5.5,5.8,64.7,53.8,59.0,60.8,50.9,55.6,3018,2592,5610,999,1700,2699,8248,9223,17471,3639,4490,8129,5393,3038,8431,36696,40438,77134,6322,6669,12991,25429,28370,53799,15079,16199,31278,Whitehorse - West
21402,56428,61630,118058,24960,11495,36455,6953,16071,23024,2036,2113,4149,1565,1430,2995,35514,31109,66623,17907,27044,44951,4.4,4.6,4.5,62.9,50.5,56.4,60.2,48.2,53.9,1295,1126,2421,762,1444,2206,5322,7375,12697,4575,6298,10873,16438,8353,24791,56812,60589,117401,9187,9745,18932,37320,39706,77026,24787,26780,51567,Mornington Peninsula
21501,23948,24448,48396,10907,5084,15991,2588,6030,8618,889,885,1774,562,469,1031,14946,12468,27414,7804,10816,18620,3.8,3.8,3.8,62.4,51.0,56.6,60.1,49.1,54.5,227,224,451,203,467,670,1116,2260,3376,1252,1939,3191,5986,3428,9414,24186,24773,48959,3432,3577,7009,17472,17723,35195,8486,9087,17573,Grampians
21502,19459,20825,40284,8605,4614,13219,1951,4887,6838,707,711,1418,845,662,1507,12108,10874,22982,6151,8770,14921,7.0,6.1,6.6,62.2,52.2,57.1,57.9,49.0,53.3,162,152,314,164,326,490,1045,1839,2884,924,1470,2394,4706,2973,7679,19913,20704,40617,3458,3787,7245,13496,13929,27425,8268,9083,17351,Mildura
21503,14919,15004,29923,6992,3100,10092,1393,3439,4832,594,536,1130,403,339,742,9382,7414,16796,4609,6728,11337,4.3,4.6,4.4,62.9,49.4,56.1,60.2,47.2,53.7,82,87,169,90,263,353,654,1277,1931,671,989,1660,3629,1970,5599,15293,15183,30476,2209,2273,4482,11098,10939,22037,5306,5520,10826,Murray River - Swan Hill
21601,14273,14983,29256,6482,3136,9618,1471,3763,5234,613,576,1189,422,325,747,8988,7800,16788,4557,6406,10963,4.7,4.2,4.4,63.0,52.1,57.4,60.0,49.9,54.8,95,123,218,118,235,353,662,1325,1987,625,1104,1729,4071,2122,6193,14933,15151,30084,2188,2312,4500,10602,10590,21192,5466,5888,11354,Campaspe
21602,11202,11483,22685,4860,2252,7112,1003,2691,3694,431,419,850,332,259,591,6626,5621,12247,3875,5233,9108,5.0,4.6,4.8,59.1,48.9,54.0,56.2,46.7,51.4,48,93,141,70,184,254,429,864,1293,522,762,1284,2993,1627,4620,11219,11422,22641,1856,1917,3773,7909,7868,15777,4367,4671,9038,Moira
21603,23134,24195,47329,10769,5577,16346,2392,5988,8380,923,877,1800,856,698,1554,14940,13140,28080,6844,9764,16608,5.7,5.3,5.5,64.6,54.3,59.3,60.9,51.4,56.0,315,293,608,204,455,659,1404,2307,3711,1153,1808,2961,5575,3245,8820,23917,24619,48536,3764,4048,7812,16097,16313,32410,9552,10453,20005,Shepparton
21701,14367,14927,29294,6678,2950,9628,1622,4050,5672,644,618,1262,418,346,764,9362,7964,17326,4352,6315,10667,4.5,4.3,4.4,65.2,53.4,59.1,62.3,51.0,56.5,148,148,296,112,276,388,760,1470,2230,741,1097,1838,4079,2072,6151,14930,15123,30053,2034,2182,4216,10890,10909,21799,5168,5541,10709,Glenelg - Southern Grampians
21702,33038,34634,67672,16049,7485,23534,3938,9681,13619,1406,1412,2818,926,739,1665,22319,19317,41636,9029,13648,22677,4.1,3.8,4.0,67.6,55.8,61.5,64.8,53.6,59.1,416,440,856,348,713,1061,2130,3706,5836,1813,2907,4720,8807,4953,13760,34283,35316,69599,5135,5456,10591,24152,24626,48778,12707,13766,26473,Warrnambool - Otway Ranges
29797,36,0,36,29,0,29,0,0,0,3,0,3,0,0,0,32,0,32,3,0,3,0.0,0.0,0.0,84.2,0.0,84.2,84.2,0.0,84.2,3,0,3,0,0,0,3,0,3,3,0,3,13,0,13,22,0,22,10,0,10,17,0,17,15,0,15,Migratory - Offshore - Shipping (Vic.)
29999,4133,3136,7269,1000,535,1535,324,422,746,116,85,201,403,295,698,1843,1337,3180,1255,1301,2556,21.9,22.1,21.9,44.6,42.7,43.8,34.8,33.2,34.1,107,135,242,37,63,100,426,515,941,200,226,426,732,365,1097,759,517,1276,2634,2406,5040,497,309,806,2729,2464,5193,Special Purpose Codes SA3 (Vic.)
30101,27033,28607,55640,14854,8462,23316,3146,7747,10893,994,1090,2084,1041,937,1978,20035,18236,38271,5977,9424,15401,5.2,5.1,5.2,74.1,63.7,68.8,70.3,60.5,65.2,595,505,1100,266,455,721,2542,3401,5943,1977,2875,4852,8294,4195,12489,28365,29234,57599,4548,4735,9283,18841,19353,38194,11964,12697,24661,Capalaba
30102,29428,31849,61277,14245,8054,22299,3303,8009,11312,1029,1041,2070,1044,996,2040,19621,18100,37721,8473,12500,20973,5.3,5.5,5.4,66.7,56.8,61.6,63.1,53.7,58.2,731,575,1306,313,540,853,2554,3574,6128,2333,3279,5612,9171,4555,13726,29268,30989,60257,6096,6524,12620,16939,17883,34822,16237,17550,33787,Cleveland - Stradbroke
30103,24682,26521,51203,13558,8374,21932,2618,6291,8909,916,977,1893,887,815,1702,17979,16457,34436,5531,9052,14583,4.9,5.0,4.9,72.8,62.1,67.3,69.2,59.0,63.9,747,727,1474,336,578,914,2925,3957,6882,1967,2569,4536,6681,3387,10068,24741,26064,50805,5180,5517,10697,14402,15283,29685,13234,14142,27376,Wynnum - Manly
30201,14656,15964,30620,7924,4759,12683,1833,4163,5996,544,646,1190,440,364,804,10741,9932,20673,3380,5511,8891,4.1,3.7,3.9,73.3,62.2,67.5,70.3,59.9,64.9,674,525,1199,256,403,659,2336,2781,5117,1314,1536,2850,3457,1796,5253,14893,16088,30981,2540,2626,5166,9771,10602,20373,6600,7101,13701,Bald Hills - Everton Park
30202,25587,28428,54015,13230,8811,22041,2995,6463,9458,913,1078,1991,963,771,1734,18101,17123,35224,6112,9898,16010,5.3,4.5,4.9,70.7,60.2,65.2,67.0,57.5,62.0,1077,959,2036,442,719,1161,4056,5373,9429,2039,2523,4562,5898,3134,9032,24512,26708,51220,5270,5547,10817,15507,17137,32644,12188,13221,25409,Chermside
30203,14437,14515,28952,7546,4973,12519,1780,3211,4991,532,599,1131,568,453,1021,10426,9236,19662,3174,4627,7801,5.4,4.9,5.2,72.2,63.6,67.9,68.3,60.5,64.4,551,495,1046,213,343,556,1954,2462,4416,1060,1426,2486,3342,1779,5121,13171,13112,26283,3046,3128,6174,7679,7864,15543,7514,7473,14987,Nundah
30204,20461,22427,42888,10256,6670,16926,2324,5113,7437,746,797,1543,766,642,1408,14092,13222,27314,5258,8075,13333,5.4,4.9,5.2,68.9,59.0,63.7,65.1,56.1,60.4,523,514,1037,249,419,668,2215,3090,5305,1460,2003,3463,5404,2812,8216,20069,21566,41635,3951,4213,8164,12386,13502,25888,9903,10562,20465,Sandgate
30301,18074,19994,38068,9921,6362,16283,2324,5146,7470,586,737,1323,574,503,1077,13405,12748,26153,3956,6532,10488,4.3,3.9,4.1,74.2,63.8,68.7,71.0,61.2,65.9,1039,835,1874,356,633,989,3357,4149,7506,1476,1914,3390,3850,2037,5887,18107,19538,37645,3504,3690,7194,11556,12607,24163,8664,9319,17983,Carindale
30302,27042,27900,54942,13874,9809,23683,3934,6768,10702,872,1058,1930,1042,867,1909,19722,18502,38224,5611,7980,13591,5.3,4.7,5.0,72.9,66.3,69.6,69.1,63.2,66.1,1982,1825,3807,613,1046,1659,6163,7337,13500,2110,2643,4753,4662,2549,7211,23199,23980,47179,6852,6964,13816,13089,13984,27073,15156,15274,30430,Holland Park - Yeronga
30303,26210,27984,54194,12370,7727,20097,3583,6514,10097,829,995,1824,1102,945,2047,17884,16181,34065,7040,10601,17641,6.2,5.8,6.0,68.2,57.8,62.9,64.0,54.4,59.1,1624,1390,3014,444,698,1142,4628,5480,10108,2189,2603,4792,5211,2686,7897,25186,26769,51955,5030,5263,10293,15902,17322,33224,12507,13053,25560,Mt Gravatt
30304,14841,15219,30060,6806,4078,10884,2027,3613,5640,488,590,1078,648,546,1194,9969,8827,18796,3900,5644,9544,6.5,6.2,6.4,67.2,58.0,62.5,62.8,54.4,58.6,1072,957,2029,264,487,751,2601,3175,5776,1129,1332,2461,2931,1341,4272,13713,14272,27985,3061,3000,6061,8605,9321,17926,7025,6931,13956,Nathan
30305,20737,21498,42235,10929,6648,17577,2498,5088,7586,718,763,1481,884,795,1679,15029,13294,28323,4649,7247,11896,5.9,6.0,5.9,72.5,61.8,67.1,68.2,58.1,63.1,1066,895,1961,216,332,548,2839,3581,6420,1542,1842,3384,4455,2542,6997,20784,21353,42137,4160,4284,8444,11741,12022,23763,11402,11847,23249,Rocklea - Acacia Ridge
30601,17907,18968,36875,9304,6273,15577,2355,5165,7520,793,805,1598,731,653,1384,13183,12896,26079,3618,5124,8742,5.5,5.1,5.3,73.6,68.0,70.7,69.5,64.5,67.0,483,576,1059,231,423,654,1857,2970,4827,1544,2078,3622,5545,2892,8437,16894,17419,34313,4633,5197,9830,9303,9388,18691,10713,11808,22521,Cairns - North
20802,54358,58802,113160,27187,16125,43312,7384,15003,22387,1700,2104,3804,1786,1646,3432,38057,34878,72935,13522,21239,34761,4.7,4.7,4.7,70.0,59.3,64.5,66.7,56.5,61.4,4672,4105,8777,1434,2496,3930,12947,14555,27502,4876,6305,11181,7675,4296,11971,53964,57338,111302,9420,9926,19346,35855,38939,74794,23480,24571,48051,Glen Eira
30602,36329,37526,73855,16801,11007,27808,4153,8211,12364,1463,1374,2837,1936,1562,3498,24353,22154,46507,8284,12188,20472,7.9,7.1,7.5,67.0,59.0,63.0,61.7,54.9,58.2,562,618,1180,275,521,796,2744,4376,7120,2166,3172,5338,10340,5511,15851,33331,33664,66995,8808,9613,18421,18915,18699,37614,19780,21353,41133,Cairns - South
30603,13711,12893,26604,5953,2899,8852,1428,2936,4364,600,454,1054,789,607,1396,8770,6896,15666,4046,5304,9350,9.0,8.8,8.9,64.0,53.5,58.9,58.2,48.8,53.6,100,108,208,80,130,210,572,936,1508,503,849,1352,4022,1783,5805,13748,13062,26810,2388,2241,4629,9737,9194,18931,5294,5156,10450,Innisfail - Cassowary Coast
30604,4460,4313,8773,1974,1285,3259,564,1095,1659,192,173,365,167,116,283,2897,2669,5566,1081,1260,2341,5.8,4.3,5.1,65.0,61.9,63.4,61.2,59.2,60.2,68,60,128,29,66,95,317,500,817,277,401,678,1394,643,2037,3828,3687,7515,1051,1063,2114,2434,2307,4741,2117,2183,4300,Port Douglas - Daintree
30605,14894,15518,30412,5941,3357,9298,1641,3576,5217,591,516,1107,640,512,1152,8813,7961,16774,4960,6596,11556,7.3,6.4,6.9,59.2,51.3,55.2,54.9,48.0,51.4,224,225,449,97,203,300,855,1570,2425,760,1217,1977,4350,2067,6417,14633,15012,29645,2838,3159,5997,9805,9808,19613,6428,7221,13649,Tablelands (East) - Kuranda
30701,17119,16197,33316,9752,4798,14550,1258,3882,5140,768,638,1406,376,311,687,12154,9629,21783,3548,5532,9080,3.1,3.2,3.2,71.0,59.4,65.4,68.8,57.5,63.3,99,114,213,70,186,256,800,1777,2577,763,1150,1913,4004,2219,6223,16764,15996,32760,3584,3549,7133,10746,10036,20782,7958,7992,15950,Darling Downs (West) - Maranoa
30702,15772,15524,31296,8269,3646,11915,1272,3658,4930,637,510,1147,368,340,708,10546,8154,18700,4026,6329,10355,3.5,4.2,3.8,66.9,52.5,59.8,64.5,50.3,57.5,88,116,204,76,181,257,694,1298,1992,720,992,1712,3931,2157,6088,15570,15263,30833,3181,3153,6334,10347,9868,20215,7073,7249,14322,Darling Downs - East
