SA3_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,SA3_NAME11
11402,6467,376,61,43,4,6951,5399,233,11,9,3,5655,1485,329,96,19,5,1934,270,75,37,0,0,382,689,63,27,11,0,790,92,46,20,0,0,158,147,12,3,12,4,178,104,12,3,4,0,123,2787,537,186,46,9,3565,120,8,22,4,0,154,313,43,15,6,3,380,15086,1197,295,108,19,16705,Southern Highlands
11501,13397,1329,437,0,4,15167,17009,2011,537,3,11,19571,2527,1042,661,0,0,4230,49,99,0,0,3,151,732,234,99,3,0,1068,22,104,62,0,5,193,85,112,7,0,0,204,62,26,9,0,0,97,3477,1617,838,3,8,5943,177,279,138,0,10,604,391,113,76,0,0,580,34451,5349,2026,6,33,41865,Baulkham Hills
11502,3056,91,135,74,3,3359,3079,74,29,10,3,3195,457,45,15,6,0,523,4,0,0,0,0,4,413,23,18,17,0,471,11,20,3,0,0,34,72,3,0,21,0,96,72,5,3,0,0,80,1029,96,39,44,0,1208,75,31,12,4,3,125,116,11,17,4,0,148,7355,303,232,136,9,8035,Dural - Wisemans Ferry
11503,2533,5,3,27,3,2571,3824,7,3,3,4,3841,404,13,8,4,0,429,0,0,0,0,0,0,314,3,17,6,0,340,4,0,12,0,0,16,70,0,0,44,3,117,41,0,0,6,0,47,833,16,37,60,3,949,44,0,3,3,0,50,134,0,0,3,0,137,7368,28,46,96,10,7548,Hawkesbury
11504,2133,81,14,37,0,2265,4285,57,27,5,0,4374,677,61,39,0,0,777,4,3,0,3,0,10,293,15,5,3,3,319,9,0,0,0,0,9,60,5,0,21,0,86,34,0,3,0,0,37,1077,84,47,27,3,1238,24,4,0,0,0,28,102,13,0,7,0,122,7621,239,88,76,3,8027,Rouse Hill - McGraths Hill
11601,10861,461,143,9,21,11495,13971,1691,527,6,14,16209,3940,994,1148,32,11,6125,2072,919,521,0,0,3512,1604,244,176,10,5,2039,75,57,111,3,0,246,168,22,21,5,3,219,123,22,22,0,3,170,7982,2258,1999,50,22,12311,157,44,27,0,0,228,845,129,121,4,4,1103,33816,4583,2817,69,61,41346,Blacktown
11602,4100,219,8,105,3,4435,11135,1495,45,15,0,12690,2397,761,147,23,3,3331,222,65,16,0,0,303,684,146,8,21,0,859,58,3,0,0,0,61,158,18,3,119,3,301,50,13,0,4,0,67,3569,1006,174,167,6,4922,85,4,0,0,0,89,291,48,9,24,0,372,19180,2772,236,311,9,22508,Blacktown - North
11603,5501,433,83,0,0,6017,11027,1033,244,4,0,12308,3305,891,730,0,0,4926,3026,793,558,0,0,4377,1131,191,77,11,0,1410,89,42,49,0,0,180,134,23,14,0,3,174,112,14,15,0,0,141,7797,1954,1443,11,3,11208,126,48,9,0,0,183,683,109,110,0,0,902,25134,3577,1889,15,3,30618,Mount Druitt
11701,2575,505,887,9,3,3979,1870,744,1719,10,8,4351,489,281,2141,28,12,2951,172,338,875,0,5,1390,218,71,378,21,3,691,29,20,44,0,3,96,23,32,45,4,0,104,30,10,44,0,0,84,961,752,3527,53,23,5316,29,13,40,0,0,82,141,54,198,0,0,393,5576,2068,6371,72,34,14121,Botany
11702,2805,1239,598,30,3,4675,2476,1991,1524,14,9,6014,1001,1241,3305,121,12,5680,89,116,414,0,0,619,417,380,563,68,6,1434,62,36,97,0,0,195,29,23,44,13,0,109,42,25,35,0,0,102,1640,1821,4458,202,18,8139,39,27,24,3,0,93,202,106,187,6,0,501,7162,5184,6791,255,30,19422,Marrickville - Sydenham - Petersham
