SA3_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,SA3_NAME11
12602,12,58,46,112,305,654,874,1005,554,3620,4,24,77,90,115,144,199,238,77,968,291,693,1030,782,796,796,727,854,812,6781,3081,9925,18520,17494,16106,12899,8194,6259,3207,95685,Ryde - Hunters Hill
12701,41,39,209,413,856,1167,971,621,211,4528,6,30,114,231,431,453,302,223,73,1863,420,380,776,815,942,784,684,413,108,5322,3415,5593,10660,11681,11623,7763,4227,2043,528,57533,Bringelly - Green Valley
12702,76,178,827,1773,2845,3477,2959,2242,646,15023,19,125,513,1124,2167,1843,1372,1336,457,8956,671,743,1420,1778,1902,1712,1405,1171,494,11296,6342,12714,23348,23859,25368,20076,11510,7171,2181,132569,Fairfield
12703,38,62,236,374,705,1149,1219,902,343,5028,12,33,118,169,258,291,267,235,68,1451,413,548,1366,1162,1175,1076,855,605,259,7459,3424,7061,16092,15790,13725,9889,5904,3296,1078,76259,Liverpool
12801,13,18,50,77,196,446,596,693,525,2614,0,8,21,32,37,57,73,55,29,312,185,287,729,681,719,651,690,852,508,5302,2703,6408,13551,14927,14378,12287,8614,6628,2836,82332,Cronulla - Miranda - Caringbah
12802,14,22,39,84,166,459,545,544,354,2227,7,4,25,18,38,39,44,49,16,240,204,225,529,554,645,635,507,618,455,4372,3247,6914,12367,15437,15634,13228,7496,4038,1753,80114,Sutherland - Menai - Heathcote
19797,0,0,0,0,0,0,6,7,3,16,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,7,7,0,20,0,6,4,11,13,27,26,22,3,112,Migratory - Offshore - Shipping (NSW)
19999,36,32,56,74,95,109,97,46,16,561,4,6,9,20,22,18,6,8,0,93,120,221,568,598,597,392,240,86,66,2888,585,1311,2652,2103,1890,1674,969,242,122,11548,Special Purpose Codes SA3 (NSW)
20101,88,79,168,239,343,876,1237,1272,655,4957,8,22,49,49,53,53,32,24,9,299,335,439,584,671,817,839,935,1040,637,6297,3324,7445,11802,12494,12629,11074,7303,4867,2005,72943,Ballarat
20102,19,9,35,59,118,314,451,342,193,1540,0,8,3,4,8,11,14,15,5,68,74,57,124,162,282,335,297,254,96,1681,712,956,2159,3630,4365,4446,2720,1326,499,20813,Creswick - Daylesford - Ballan
20103,23,18,50,98,146,407,613,488,246,2089,0,0,10,9,10,11,18,11,3,72,57,43,125,201,263,346,371,293,120,1819,641,870,1800,2871,3511,4015,3039,1597,575,18919,Maryborough - Pyrenees
20201,102,118,217,236,360,863,1289,1265,781,5231,3,13,46,55,52,35,20,8,11,243,253,314,521,597,629,708,760,1011,611,5404,3091,6396,10799,10862,11149,10184,6789,4682,2068,66020,Bendigo
20202,26,37,58,89,189,440,686,546,276,2347,3,3,10,30,22,18,9,13,5,113,130,143,323,396,464,463,493,470,318,3200,1145,1778,3197,5847,7004,6941,4618,2365,942,33837,Heathcote - Castlemaine - Kyneton
20203,9,9,22,35,79,184,293,249,130,1010,0,0,0,4,5,8,9,6,3,35,42,24,42,101,107,140,155,140,50,801,248,363,809,1296,1801,1888,1257,779,284,8725,Loddon - Elmore
20301,16,12,13,31,63,137,202,136,67,677,0,3,4,0,8,6,8,7,0,36,24,29,74,109,138,124,88,113,74,773,431,722,1624,2488,2605,2275,1193,561,210,12109,Barwon - West
20302,128,150,348,466,824,1738,2711,2658,1419,10442,19,25,79,106,131,126,190,175,85,936,535,684,1294,1385,1550,1468,1600,1882,1076,11474,5282,11886,22205,23649,23509,20343,13843,9742,4268,134727,Geelong
20303,26,26,41,61,120,329,654,701,428,2386,0,7,3,4,15,16,23,15,7,90,161,137,216,410,460,515,520,581,278,3278,1412,2664,5330,8389,8493,8782,6294,3761,1525,46650,Surf Coast - Bellarine Peninsula
20401,34,40,64,129,215,611,900,739,373,3105,3,12,11,23,22,28,14,15,9,137,162,142,292,372,516,563,582,534,232,3395,1386,2306,4593,6111,7401,7523,5426,2967,1070,38783,Upper Goulburn Valley
20402,35,32,72,103,168,494,773,799,456,2932,0,3,7,13,28,31,26,30,14,152,82,77,177,230,333,374,456,525,313,2567,1217,1859,4094,5359,6489,6435,4526,3003,1252,34234,Wangaratta - Benalla
20403,53,36,100,140,232,624,955,841,419,3400,4,7,11,29,34,38,47,27,21,218,187,194,354,435,518,562,533,561,282,3626,2121,3650,6727,8567,9523,8828,5670,3178,1279,49543,Wodonga - Alpine
20501,38,29,78,107,159,394,740,644,317,2506,6,3,13,17,20,14,15,8,3,99,134,115,173,269,364,364,374,388,239,2420,1360,2319,4439,5393,6142,5799,4052,2264,849,32617,Baw Baw
20502,33,48,77,116,238,513,921,771,402,3119,3,0,7,7,21,26,34,31,3,132,124,98,195,259,350,484,605,493,240,2848,1107,1686,3464,4700,5838,6929,5675,3071,1111,33581,Gippsland - East
20503,23,53,74,105,242,635,1094,1019,485,3730,3,7,21,11,14,20,33,20,14,143,175,140,297,402,512,577,699,714,403,3919,1297,2375,5166,6985,7818,8835,6871,3997,1509,44853,Gippsland - South West
20504,85,84,196,241,457,843,1258,1142,602,4908,10,19,25,38,56,51,66,47,17,329,290,342,544,636,692,731,766,708,291,5000,2497,4849,8549,8974,10182,9195,6061,3693,1401,55401,Latrobe Valley
20505,32,32,76,116,202,494,754,628,344,2678,6,0,14,25,18,15,11,17,8,114,145,204,576,503,450,510,436,412,176,3412,1221,2071,4571,4992,5882,6125,3816,2266,867,31811,Wellington
20601,16,26,61,134,325,867,1793,1708,638,5568,6,16,55,53,117,222,338,423,95,1325,186,530,1242,766,650,544,575,543,349,5385,1572,7335,18084,13285,9311,6495,4511,3687,1426,65706,Brunswick - Coburg
20602,9,17,42,80,147,490,1050,1043,441,3319,7,6,25,30,44,87,207,266,55,727,81,243,576,463,377,321,331,386,171,2949,803,3107,9943,9013,6371,4120,2801,2337,934,39429,Darebin - South
20603,18,20,77,102,173,417,765,877,496,2945,4,18,53,51,79,92,159,209,71,736,154,341,841,597,527,470,441,469,321,4161,1377,4858,10735,9549,8269,6204,3367,2738,1419,48516,Essendon
20604,19,57,89,89,154,220,305,264,184,1381,15,57,102,55,77,76,75,96,44,597,623,2240,3507,1511,1066,816,525,346,169,10803,4991,19571,29361,11272,7690,6546,3602,1748,794,85575,Melbourne City
20605,18,36,64,71,167,372,639,608,279,2254,4,13,30,29,47,63,113,120,32,451,195,600,2177,1432,1048,907,750,635,397,8141,1187,6579,25277,17466,11351,8912,5179,2887,1189,80027,Port Phillip
