sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Orange,10304,6148,12582,82,95,179,6842,6553,13397,152,164,317,1721,1672,3391,28,18,42,1896,1860,3750,88,76,163,1226,1078,2304,27,19,39,1344,1171,2516,0,4,9,84,66,148,3,8,12,83,79,166,1324,1330,2656,21438,22446,43888,1347,1371,2725,24114,25150,49264,3,0,4,13,10,18,0,0,0,12,11,23,102,110,218,1359,1645,3006,188,205,390,1654,1960,3613,1430,1446,2874,22811,24097,46909,1543,1574,3118,25782,27118,52901,22,21,43,466,523,985,82,53,128,571,596,1164
Clarence Valley,10401,6904,13527,75,106,181,7031,7386,14417,136,142,279,2098,2005,4108,30,33,64,2264,2186,4449,95,81,178,1420,1198,2616,38,22,56,1548,1300,2848,7,4,9,66,54,119,0,0,0,72,56,130,1276,1348,2625,17913,18336,36254,1304,1331,2631,20494,21019,41506,4,5,11,88,70,155,26,14,43,119,89,210,119,138,253,1711,1858,3567,235,207,438,2062,2199,4262,1395,1488,2889,19717,20269,39986,1564,1548,3112,22674,23307,45984,105,15,116,389,449,840,42,24,68,533,494,1026
Coffs Harbour,10402,10075,19576,104,112,219,10025,10652,20672,180,201,380,2915,2826,5743,24,28,52,3110,3064,6171,125,95,222,1741,1602,3345,20,28,49,1889,1727,3611,3,11,16,164,186,351,6,5,10,173,201,369,1548,1646,3198,28585,30217,58801,1662,1802,3461,31792,33667,65465,0,0,0,36,35,70,12,11,24,50,44,91,279,335,613,5406,6205,11612,645,666,1315,6333,7211,13541,1832,1979,3815,34025,36462,70489,2319,2481,4797,38181,40920,79095,6,17,23,455,642,1095,80,90,169,544,744,1289
Bourke - Cobar - Coonamble,10501,1694,3934,41,36,76,2894,2438,5335,334,356,686,691,515,1206,14,6,15,1034,874,1908,320,226,541,572,339,914,21,11,33,912,575,1487,47,26,68,43,22,63,4,3,8,93,47,133,2552,2865,5420,6396,5950,12349,1197,1141,2341,10145,9959,20107,42,21,63,119,92,209,70,55,124,230,162,399,101,121,220,363,338,695,94,70,170,560,527,1080,2693,3000,5695,6880,6383,13259,1366,1260,2627,10934,10644,21581,56,24,76,122,106,228,32,28,64,205,157,362
Broken Hill and Far West,10502,2471,4865,36,32,65,2647,2765,5415,119,124,245,817,885,1705,14,8,27,953,1023,1976,106,80,185,712,623,1336,13,13,22,827,720,1545,5,4,10,27,12,34,0,0,0,30,18,52,906,1008,1909,7027,7289,14319,531,548,1081,8466,8846,17307,0,0,0,3,6,7,0,0,0,7,6,13,45,48,89,224,249,478,36,38,78,307,336,645,951,1051,2001,7260,7546,14809,572,581,1153,8783,9185,17963,63,6,72,162,188,349,62,59,127,287,253,547
Dubbo,10503,7013,14449,111,98,210,8616,8248,16868,461,455,918,2112,1945,4059,31,35,70,2606,2443,5050,307,281,587,1572,1180,2750,32,16,51,1913,1478,3388,18,22,45,70,63,136,6,0,6,103,87,186,4165,4470,8639,21912,22770,44678,1889,1997,3888,27971,29238,57206,0,0,0,5,6,16,0,3,3,7,8,19,372,369,735,1813,2173,3993,307,325,641,2494,2871,5363,4539,4839,9376,23734,24954,48685,2197,2331,4527,30477,32119,62593,363,83,450,695,612,1303,112,130,245,1168,828,1991
Lower Hunter,10601,10899,22811,129,125,251,12688,11630,24315,245,287,532,3352,3568,6921,45,52,102,3639,3911,7551,178,150,320,1902,1791,3694,22,23,48,2098,1965,4068,8,10,19,85,63,147,0,0,0,95,70,164,2464,2390,4851,32629,33240,65873,2395,2379,4767,37489,38006,75497,0,0,0,33,27,62,3,0,3,37,31,66,140,199,335,1920,2296,4214,223,268,489,2284,2761,5039,2605,2588,5195,34584,35563,70146,2615,2643,5260,39805,40799,80602,274,17,287,1175,521,1699,87,123,209,1534,657,2190
Maitland,10602,9117,18343,59,79,137,9677,9632,19313,157,142,298,2429,2758,5187,25,15,44,2614,2920,5525,99,78,178,1143,1219,2359,16,21,38,1257,1312,2572,7,0,11,74,60,140,0,0,3,86,67,148,1618,1675,3294,28636,29769,58405,1140,1169,2315,31394,32621,64015,0,0,0,20,10,24,0,0,0,17,10,27,133,162,288,2096,2626,4723,224,258,478,2449,3042,5491,1750,1836,3584,30745,32406,63153,1370,1428,2792,33866,35668,69533,9,8,17,193,313,501,55,75,129,255,388,639
Port Stephens,10603,9407,18719,81,106,191,9788,9889,19677,167,181,348,2667,2893,5561,34,34,70,2871,3111,5986,76,64,139,1283,1191,2474,22,21,39,1384,1272,2655,5,3,9,104,73,176,3,0,3,110,79,186,1409,1456,2868,24591,25083,49676,1477,1550,3029,27474,28091,55568,3,0,3,21,25,44,0,0,0,20,30,49,197,206,402,4106,4600,8702,477,496,976,4781,5303,10079,1606,1664,3269,28714,29708,58418,1957,2050,4004,32272,33422,65698,7,4,6,318,390,709,145,123,263,468,515,987
Upper Hunter,10604,3353,7303,44,39,86,4224,3621,7846,101,108,208,1078,1041,2117,8,14,25,1184,1161,2344,58,36,88,731,593,1323,17,14,26,801,645,1442,0,3,7,42,21,61,0,3,3,43,28,71,901,896,1794,11103,11157,22259,879,903,1779,12878,12955,25835,0,0,0,3,4,14,0,0,3,8,4,15,49,58,111,742,758,1502,103,91,194,898,908,1801,953,954,1907,11850,11925,23775,982,995,1972,13781,13869,27651,34,13,46,420,226,648,54,67,121,511,302,817
Dapto - Port Kembla,10701,9179,18413,94,92,183,9571,9555,19127,116,122,232,2505,2741,5252,39,31,73,2658,2895,5554,65,81,148,2013,2343,4357,19,44,60,2096,2462,4557,4,5,10,268,423,686,3,10,9,272,437,706,1054,1165,2218,29246,30044,59290,1146,1151,2299,31444,32356,63805,0,0,0,0,0,0,0,0,0,0,0,4,170,190,362,2952,3331,6282,276,283,556,3397,3803,7200,1219,1355,2574,32198,33372,65571,1420,1432,2856,34841,36161,71004,7,0,7,316,480,796,117,192,311,443,670,1108
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiama - Shellharbour,10703,11536,22705,98,101,199,11577,11959,23536,130,128,253,2857,3161,6012,24,37,57,3009,3317,6328,73,67,147,1730,1875,3607,15,22,35,1818,1967,3784,9,7,18,155,192,340,3,8,11,163,200,371,1226,1259,2486,32928,33817,66752,1486,1550,3035,35646,36625,72273,0,0,0,0,0,0,3,4,7,4,5,9,173,197,370,4918,5912,10834,396,429,825,5484,6539,12027,1405,1452,2856,37851,39733,77587,1887,1985,3866,41139,43173,84312,6,3,9,283,507,793,24,51,74,314,558,875
Wollongong,10704,12014,23918,105,97,202,12309,12378,24691,85,100,183,3135,3507,6644,31,38,68,3251,3642,6892,62,57,122,2110,2665,4769,28,42,74,2197,2758,4964,3,0,5,279,390,676,0,5,3,284,398,682,813,833,1650,38494,39107,77601,1310,1340,2654,40619,41286,81900,0,0,0,7,0,7,0,0,0,7,0,3,388,395,775,16364,17067,33430,1263,1318,2581,18015,18779,36791,1196,1228,2425,54864,56179,111040,2577,2656,5230,58636,60058,118697,31,18,49,1121,1220,2348,176,129,305,1334,1363,2704
Great Lakes,10801,4601,8840,49,48,96,4451,4841,9291,101,101,199,1461,1586,3044,18,25,40,1580,1711,3288,65,46,106,891,769,1658,14,10,24,960,825,1790,0,4,4,39,27,65,0,3,3,39,34,78,590,597,1191,9825,10146,19969,608,593,1203,11018,11342,22360,0,3,5,16,5,20,3,0,3,16,4,26,146,172,317,2415,2759,5167,251,268,512,2801,3196,6002,734,776,1512,12246,12911,25159,855,863,1719,13837,14550,28384,5,3,7,153,276,425,45,104,147,199,381,585
Kempsey - Nambucca,10802,6075,12033,87,81,170,6437,6653,13090,192,239,427,2046,2009,4055,43,38,77,2276,2288,4563,150,165,316,1386,1167,2551,20,27,46,1557,1351,2914,19,12,31,56,40,94,0,3,4,78,56,131,1850,2079,3928,16453,16947,33399,1411,1485,2893,19711,20505,40220,0,0,0,29,17,42,6,3,10,32,20,56,138,180,315,1404,1400,2801,185,143,330,1727,1718,3442,1988,2257,4244,17883,18360,36247,1608,1624,3229,21471,22243,43714,221,53,276,553,414,965,51,67,114,822,534,1353
Lord Howe Island,10803,36,82,3,0,3,41,36,82,0,0,0,10,4,10,0,0,0,10,4,10,0,0,0,3,5,4,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,143,126,268,15,12,32,158,141,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,143,126,268,15,12,32,158,141,296,0,0,0,4,4,5,3,4,5,7,5,10
Port Macquarie,10804,10473,19716,100,107,202,9693,10932,20630,142,111,248,2955,3049,6002,33,33,65,3126,3188,6317,83,46,132,1622,1581,3198,30,37,61,1732,1667,3395,5,4,12,72,70,139,0,0,0,76,74,151,1211,1245,2458,25919,27514,53437,1326,1401,2726,28458,30158,58618,0,0,0,15,3,21,0,0,4,17,8,26,237,283,521,5424,6700,12128,583,580,1164,6244,7564,13812,1450,1526,2979,31362,34221,65583,1907,1982,3894,34727,37732,72455,5,10,13,382,683,1062,39,32,77,428,721,1153
Taree - Gloucester,10805,7435,14565,81,100,176,7539,7921,15466,181,204,382,2367,2380,4750,36,36,69,2589,2615,5203,146,119,261,1531,1334,2863,19,21,48,1698,1476,3168,5,5,14,58,42,103,5,3,4,65,51,117,1553,1616,3170,19156,20073,39227,1196,1282,2475,21905,22973,44875,0,0,3,16,14,31,8,0,4,28,15,41,136,154,284,1817,2105,3925,190,183,378,2143,2444,4588,1687,1775,3459,20991,22190,43181,1391,1468,2863,24069,25433,49504,12,5,16,222,311,530,113,174,287,342,491,834
Albury,10901,6092,12401,69,58,124,6546,6305,12854,76,86,170,2006,1861,3870,24,30,53,2108,1975,4084,43,50,88,1273,1163,2443,13,22,42,1333,1240,2570,5,7,11,136,154,286,4,5,5,142,162,304,700,713,1414,21948,23362,45308,1264,1292,2554,23919,25365,49280,0,0,0,8,0,11,0,0,0,6,0,11,90,97,191,2819,2963,5779,353,342,697,3258,3406,6668,794,812,1600,24773,26331,51101,1621,1632,3255,27179,28771,55953,16,4,18,370,638,1008,107,113,223,485,758,1251
Lower Murray,10902,959,2214,16,19,35,1366,1071,2432,57,67,117,486,381,865,6,10,16,544,455,1005,67,42,103,446,333,782,7,6,19,524,380,900,4,4,7,28,11,37,0,0,0,31,9,45,451,435,886,4433,4316,8751,502,473,971,5388,5228,10611,0,0,0,8,5,11,0,0,0,9,7,16,32,44,73,276,245,521,75,61,135,385,349,727,480,480,960,4714,4569,9284,578,535,1113,5773,5575,11357,8,0,5,69,69,134,29,22,55,103,89,192
Upper Murray exc. Albury,10903,3904,8479,56,51,110,4731,4067,8802,52,67,116,1859,1483,3345,29,17,41,1935,1569,3505,52,35,89,1346,1077,2421,18,26,49,1412,1140,2557,3,3,5,73,41,106,3,0,3,77,39,115,437,534,971,15693,15762,31452,1340,1325,2663,17471,17619,35090,0,0,3,11,4,11,3,0,3,12,7,17,49,48,92,1208,1283,2488,160,168,330,1421,1493,2915,482,582,1069,16912,17041,33952,1506,1490,3003,18900,19118,38025,0,3,3,221,304,520,53,72,124,272,383,651
Armidale,11001,3158,6403,43,34,80,3517,3427,6942,125,124,247,953,935,1890,13,11,24,1094,1069,2158,103,71,175,667,585,1251,13,11,27,793,668,1459,6,6,20,41,38,78,0,0,0,49,41,98,969,1037,2013,12265,13109,25370,896,939,1833,14128,15085,29220,0,0,4,6,6,16,0,3,7,8,13,26,115,114,226,1173,1199,2377,116,123,236,1407,1438,2844,1085,1152,2243,13443,14317,27767,1012,1064,2072,15546,16534,32085,38,33,71,828,969,1793,123,139,262,985,1133,2120
Inverell - Tenterfield,11002,4622,9263,57,61,119,4964,4971,9931,155,151,309,1520,1353,2867,29,22,48,1704,1522,3225,123,84,208,1320,984,2303,20,26,49,1468,1094,2560,5,4,13,52,45,90,3,0,3,60,48,105,1217,1251,2460,13676,14196,27867,1224,1315,2536,16115,16757,32870,0,3,3,27,8,36,4,3,6,31,14,46,75,82,159,620,661,1280,116,97,215,813,834,1644,1293,1330,2621,14317,14867,29185,1350,1412,2756,16954,17607,34560,47,3,52,257,213,471,134,170,300,434,388,823
Moree - Narrabri,11003,2189,4785,35,26,62,3033,2707,5741,242,218,462,767,583,1351,9,8,21,1026,807,1834,169,139,303,625,375,1003,12,7,22,811,523,1331,15,8,24,39,24,65,0,0,0,57,30,91,1664,1919,3577,7875,7598,15472,1058,1043,2101,10596,10557,21149,0,0,0,10,3,14,3,0,3,11,6,17,198,213,417,761,733,1492,189,178,370,1150,1129,2279,1860,2131,3997,8646,8335,16979,1252,1223,2468,11759,11685,23442,15,7,23,91,110,198,27,54,82,137,171,307
Tamworth - Gunnedah,11004,9112,18297,119,107,229,10217,10184,20401,390,394,782,2691,2604,5298,50,40,87,3125,3037,6165,291,227,522,1911,1465,3381,36,32,68,2241,1727,3968,22,14,39,106,93,201,7,5,12,136,117,245,3492,3633,7131,27618,28901,56526,2217,2311,4525,33332,34846,68180,3,0,3,16,16,31,5,4,13,24,19,45,407,448,860,2058,2206,4267,281,253,530,2746,2915,5656,3905,4087,7991,29693,31127,60822,2502,2565,5072,36101,37780,73887,78,35,105,534,598,1134,89,119,207,699,755,1455
Lake Macquarie - East,11101,15416,30161,97,113,207,15294,16014,31305,184,187,374,4240,5091,9335,41,47,88,4466,5324,9791,108,93,200,2081,2224,4303,16,18,37,2205,2330,4535,14,4,16,118,125,237,3,3,4,130,131,258,1711,1774,3486,45827,47457,93284,1265,1355,2623,48808,50583,99391,0,0,0,12,9,14,0,0,0,12,8,15,290,311,598,5306,6653,11958,313,406,724,5912,7366,13286,2001,2087,4091,51145,54112,105261,1581,1765,3343,54728,57960,112690,3,3,8,301,598,901,39,79,124,350,686,1036
