SA3_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,SA3_NAME11
21701,43,1101,483,152,1183,1.1,904,2.3,Glenelg - Southern Grampians
21702,40,1300,512,180,1230,1.1,971,2.5,Warrnambool - Otway Ranges
29797,46,0,2000,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Vic.)
29999,32,0,352,0,0,0.0,0,0.0,Special Purpose Codes SA3 (Vic.)
30101,37,1993,647,350,1682,1.1,1479,2.8,Capalaba
30102,41,2100,580,350,1561,1.1,1290,2.6,Cleveland - Stradbroke
30103,37,2167,691,360,1772,1.1,1485,2.6,Wynnum - Manly
30201,38,2000,706,360,1886,1.0,1637,2.7,Bald Hills - Everton Park
30202,37,2069,690,330,1753,1.1,1376,2.4,Chermside
30203,35,2000,687,325,1690,1.1,1384,2.4,Nundah
30204,38,1950,627,320,1569,1.1,1286,2.5,Sandgate
30303,35,2000,583,360,1660,1.1,1437,2.8,Mt Gravatt
30305,33,2000,629,360,1642,1.1,1542,3.0,Rocklea - Acacia Ridge
40101,30,1863,562,320,1868,1.1,1145,1.9,Adelaide City
40102,40,1653,634,260,1658,1.1,1388,2.7,Adelaide Hills
50603,34,1900,582,330,1705,1.1,1384,2.7,Canning
60301,42,1118,418,120,1022,1.1,856,2.5,Central Highlands (Tas.)
60302,43,1200,448,200,1055,1.1,866,2.4,Huon - Bruny Island
60303,52,1062,397,170,856,1.1,723,2.1,South East Coast
60401,42,1183,440,175,1067,1.1,836,2.4,Burnie - Ulverstone
31402,33,2000,678,350,1632,1.1,1473,2.8,North Lakes
31403,34,1733,623,307,1469,1.1,1318,2.7,Strathpine
31501,31,1453,419,75,1021,1.3,1044,3.0,Far North
31502,31,1888,783,150,1946,1.2,1689,2.7,Outback - North
40501,41,1343,551,200,1352,1.1,1102,2.5,Barossa
40502,44,1060,468,150,1056,1.1,851,2.3,Lower North
40503,43,965,408,140,990,1.1,770,2.3,Mid North
31401,36,2100,748,365,2011,1.0,1875,3.0,Hills District
60104,39,1520,609,280,1522,1.1,1248,2.6,Hobart - South and West
60105,38,1700,641,265,1782,1.1,1260,2.3,Hobart Inner
60106,40,1300,522,230,1214,1.1,977,2.4,Sorell - Dodges Ferry
60201,38,1300,501,200,1231,1.1,946,2.4,Launceston
60202,45,1200,442,175,1066,1.1,876,2.4,Meander Valley - West Tamar
60203,44,1100,421,150,997,1.1,810,2.4,North East
60402,42,1257,458,190,1075,1.1,868,2.4,Devonport
60403,40,1022,500,130,1196,1.1,957,2.4,West Coast
