yr,land_area_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa3_code16,sa3_name16,ogc_fid
2016,,3102.0,6.6,1269.0,2.8,12602,Ryde - Hunters Hill,425
2015,,2911.0,9.5,1235.0,1.7,12602,Ryde - Hunters Hill,426
2014,,2659.0,,1214.0,,12602,Ryde - Hunters Hill,427
2018,29146.9,,,,,12701,Bringelly - Green Valley,428
2017,,4633.0,10.8,1984.0,1.9,12701,Bringelly - Green Valley,429
2016,,4181.0,8.4,1947.0,4.0,12701,Bringelly - Green Valley,430
2015,,3857.0,11.1,1873.0,4.9,12701,Bringelly - Green Valley,431
2014,,3473.0,,1785.0,,12701,Bringelly - Green Valley,432
2018,12377.0,,,,,12702,Fairfield,433
2017,,8647.0,8.5,2190.0,2.1,12702,Fairfield,434
2016,,7972.0,5.7,2145.0,2.4,12702,Fairfield,435
2015,,7544.0,7.4,2094.0,2.7,12702,Fairfield,436
2014,,7026.0,,2039.0,,12702,Fairfield,437
2018,12383.0,,,,,12703,Liverpool,438
2017,,5339.0,10.5,1174.0,2.0,12703,Liverpool,439
2016,,4832.0,6.7,1151.0,2.7,12703,Liverpool,440
2015,,4529.0,9.8,1121.0,2.7,12703,Liverpool,441
2014,,4124.0,,1092.0,,12703,Liverpool,442
2018,5561.8,,,,,12801,Cronulla - Miranda - Caringbah,443
2017,,2876.0,14.2,1982.0,2.9,12801,Cronulla - Miranda - Caringbah,444
2016,,2518.0,8.9,1926.0,3.3,12801,Cronulla - Miranda - Caringbah,445
2015,,2313.0,12.8,1865.0,2.2,12801,Cronulla - Miranda - Caringbah,446
2014,,2050.0,,1825.0,,12801,Cronulla - Miranda - Caringbah,447
2018,24024.7,,,,,12802,Sutherland - Menai - Heathcote,448
2017,,4262.0,12.1,3082.0,2.6,12802,Sutherland - Menai - Heathcote,449
2016,,3801.0,6.1,3004.0,2.8,12802,Sutherland - Menai - Heathcote,450
2015,,3581.0,11.0,2922.0,2.1,12802,Sutherland - Menai - Heathcote,451
2014,,3227.0,,2862.0,,12802,Sutherland - Menai - Heathcote,452
2018,44834.9,,,,,20101,Ballarat,453
2017,,5294.0,11.3,4737.0,6.2,20101,Ballarat,454
2016,,4755.0,9.0,4459.0,8.4,20101,Ballarat,455
2015,,4364.0,12.3,4114.0,13.0,20101,Ballarat,456
2014,,3887.0,,3641.0,,20101,Ballarat,457
2018,366667.3,,,,,20102,Creswick - Daylesford - Ballan,458
2017,,3023.0,11.8,1672.0,5.4,20102,Creswick - Daylesford - Ballan,459
2016,,2704.0,10.4,1587.0,5.4,20102,Creswick - Daylesford - Ballan,460
2015,,2449.0,13.2,1506.0,5.0,20102,Creswick - Daylesford - Ballan,461
2014,,2164.0,,1434.0,,20102,Creswick - Daylesford - Ballan,462
2018,617245.4,,,,,20103,Maryborough - Pyrenees,463
2017,,2815.0,13.8,941.0,5.1,20103,Maryborough - Pyrenees,464
2016,,2474.0,9.3,895.0,6.3,20103,Maryborough - Pyrenees,465
2015,,2263.0,11.9,842.0,5.9,20103,Maryborough - Pyrenees,466
2014,,2023.0,,795.0,,20103,Maryborough - Pyrenees,467
2018,28744.4,,,,,20201,Bendigo,468
2017,,7105.0,9.1,5524.0,7.0,20201,Bendigo,469
2016,,6513.0,7.0,5164.0,7.6,20201,Bendigo,470
2015,,6085.0,10.7,4801.0,11.2,20201,Bendigo,471
2014,,5499.0,,4318.0,,20201,Bendigo,472
2018,392093.8,,,,,20202,Heathcote - Castlemaine - Kyneton,473
2017,,5799.0,12.4,3353.0,7.0,20202,Heathcote - Castlemaine - Kyneton,474
2016,,5158.0,12.4,3133.0,6.9,20202,Heathcote - Castlemaine - Kyneton,475
2015,,4591.0,14.7,2930.0,9.9,20202,Heathcote - Castlemaine - Kyneton,476
2014,,4004.0,,2666.0,,20202,Heathcote - Castlemaine - Kyneton,477
2016,,1327.0,11.0,789.0,5.3,20203,Loddon - Elmore,478
2015,,1195.0,12.0,749.0,5.6,20203,Loddon - Elmore,479
2014,,1067.0,,709.0,,20203,Loddon - Elmore,480
2018,763352.4,,,,,20203,Loddon - Elmore,481
2017,,1467.0,10.6,823.0,4.3,20203,Loddon - Elmore,482
2018,257983.9,,,,,20301,Barwon - West,483
2017,,2132.0,11.1,2552.0,7.3,20301,Barwon - West,484
2016,,1919.0,11.8,2378.0,6.5,20301,Barwon - West,485
2015,,1716.0,12.8,2232.0,7.3,20301,Barwon - West,486
2014,,1521.0,,2081.0,,20301,Barwon - West,487
2018,91889.2,,,,,20302,Geelong,488
2017,,11544.0,8.5,9137.0,9.3,20302,Geelong,489
2015,,9831.0,11.0,7600.0,13.1,20302,Geelong,491
2014,,8858.0,,6719.0,,20302,Geelong,492
2018,92996.9,,,,,20303,Surf Coast - Bellarine Peninsula,493
2017,,6642.0,12.3,6813.0,15.1,20303,Surf Coast - Bellarine Peninsula,494
2016,,5917.0,12.2,5917.0,15.8,20303,Surf Coast - Bellarine Peninsula,495
2015,,5275.0,15.2,5110.0,18.6,20303,Surf Coast - Bellarine Peninsula,496
2014,,4578.0,,4309.0,,20303,Surf Coast - Bellarine Peninsula,497
2018,1395931.8,,,,,20401,Upper Goulburn Valley,498
2017,,6307.0,12.5,2924.0,5.3,20401,Upper Goulburn Valley,499
2016,,5608.0,11.0,2776.0,6.9,20401,Upper Goulburn Valley,500
2015,,5053.0,13.1,2596.0,5.7,20401,Upper Goulburn Valley,501
2014,,4468.0,,2457.0,,20401,Upper Goulburn Valley,502
2018,654508.6,,,,,20402,Wangaratta - Benalla,503
2017,,5018.0,7.9,1728.0,6.5,20402,Wangaratta - Benalla,504
2016,,4651.0,8.5,1622.0,6.2,20402,Wangaratta - Benalla,505
2015,,4287.0,9.5,1527.0,7.0,20402,Wangaratta - Benalla,506
2014,,3916.0,,1427.0,,20402,Wangaratta - Benalla,507
2018,1350113.2,,,,,20403,Wodonga - Alpine,508
2017,,7236.0,10.0,3648.0,8.8,20403,Wodonga - Alpine,509
2016,,6580.0,7.9,3353.0,8.8,20403,Wodonga - Alpine,510
2015,,6100.0,11.9,3082.0,9.2,20403,Wodonga - Alpine,511
2014,,5453.0,,2823.0,,20403,Wodonga - Alpine,512
2018,393384.2,,,,,20501,Baw Baw,513
2017,,4518.0,11.9,3599.0,10.5,20501,Baw Baw,514
2016,,4039.0,9.8,3258.0,11.0,20501,Baw Baw,515
2015,,3679.0,10.8,2934.0,12.2,20501,Baw Baw,516
2014,,3320.0,,2616.0,,20501,Baw Baw,517
2018,2171385.0,,,,,20502,Gippsland - East,518
2017,,5089.0,10.1,3717.0,7.6,20502,Gippsland - East,519
2016,,4624.0,7.8,3456.0,7.3,20502,Gippsland - East,520
2015,,4289.0,12.1,3220.0,9.6,20502,Gippsland - East,521
2014,,3826.0,,2938.0,,20502,Gippsland - East,522
2018,438161.9,,,,,20503,Gippsland - South West,523
2017,,7705.0,13.2,4026.0,7.9,20503,Gippsland - South West,524
2016,,6809.0,10.4,3730.0,8.0,20503,Gippsland - South West,525
2015,,6165.0,11.4,3454.0,8.5,20503,Gippsland - South West,526
2014,,5535.0,,3184.0,,20503,Gippsland - South West,527
2018,147966.7,,,,,20504,Latrobe Valley,528
2017,,5838.0,10.9,2714.0,8.5,20504,Latrobe Valley,529
2016,,5264.0,7.9,2502.0,9.4,20504,Latrobe Valley,530
2015,,4879.0,9.4,2286.0,10.7,20504,Latrobe Valley,531
2014,,4458.0,,2065.0,,20504,Latrobe Valley,532
2018,1004477.4,,,,,20505,Wellington,533
2017,,4422.0,9.7,1858.0,8.4,20505,Wellington,534
2016,,4031.0,7.9,1714.0,8.0,20505,Wellington,535
2015,,3737.0,9.6,1587.0,8.3,20505,Wellington,536
2014,,3410.0,,1465.0,,20505,Wellington,537
2018,2041.3,,,,,20601,Brunswick - Coburg,538
2017,,2914.0,9.3,2247.0,12.1,20601,Brunswick - Coburg,539
2016,,2666.0,8.2,2004.0,19.1,20601,Brunswick - Coburg,540
2015,,2465.0,20.3,1682.0,16.2,20601,Brunswick - Coburg,541
2014,,2049.0,,1447.0,,20601,Brunswick - Coburg,542
2018,1402.8,,,,,20602,Darebin - South,543
2017,,2120.0,8.3,1309.0,8.0,20602,Darebin - South,544
2016,,1957.0,10.4,1212.0,8.3,20602,Darebin - South,545
2015,,1773.0,11.7,1119.0,13.5,20602,Darebin - South,546
2014,,1587.0,,986.0,,20602,Darebin - South,547
2018,1821.5,,,,,20603,Essendon,548
2017,,2043.0,9.1,1082.0,7.3,20603,Essendon,549
2016,,1872.0,13.5,1008.0,13.0,20603,Essendon,550
2015,,1650.0,14.3,892.0,16.3,20603,Essendon,551
2014,,1444.0,,767.0,,20603,Essendon,552
2018,3146.2,,,,,20604,Melbourne City,553
2017,,800.0,13.0,684.0,1.8,20604,Melbourne City,554
2016,,708.0,11.1,672.0,4.2,20604,Melbourne City,555
2015,,637.0,20.4,645.0,7.3,20604,Melbourne City,556
2014,,529.0,,601.0,,20604,Melbourne City,557
2018,2569.6,,,,,20605,Port Phillip,558
2017,,1313.0,20.0,657.0,3.8,20605,Port Phillip,559
2016,,1094.0,16.4,633.0,6.0,20605,Port Phillip,560
2015,,940.0,21.9,597.0,5.3,20605,Port Phillip,561
2014,,771.0,,567.0,,20605,Port Phillip,562
2017,,3659.0,8.5,2179.0,10.7,20703,Whitehorse - West,584
2016,,3371.0,6.7,1969.0,18.1,20703,Whitehorse - West,585
2015,,3158.0,11.1,1667.0,15.1,20703,Whitehorse - West,586
2014,,2842.0,,1448.0,,20703,Whitehorse - West,587
2018,3721.1,,,,,20801,Bayside,588
2017,,3194.0,12.2,1682.0,9.1,20801,Bayside,589
2018,1192.9,,,,,20606,Stonnington - West,563
2016,,2847.0,10.7,1541.0,8.4,20801,Bayside,590
2015,,2571.0,14.1,1422.0,15.4,20801,Bayside,591
2014,,2253.0,,1232.0,,20801,Bayside,592
2018,3944.4,,,,,20902,Darebin - North,593
2017,,3500.0,7.0,2228.0,7.9,20902,Darebin - North,594
2016,,3270.0,8.7,2065.0,12.2,20902,Darebin - North,595
2015,,3009.0,7.5,1840.0,9.9,20902,Darebin - North,596
2014,,2799.0,,1675.0,,20902,Darebin - North,597
2018,75176.8,,,,,20903,Nillumbik - Kinglake,598
2017,,3767.0,12.0,1375.0,4.3,20903,Nillumbik - Kinglake,599
2016,,3364.0,10.9,1318.0,7.2,20903,Nillumbik - Kinglake,600
2015,,3034.0,13.7,1230.0,6.8,20903,Nillumbik - Kinglake,601
2014,,2669.0,,1152.0,,20903,Nillumbik - Kinglake,602
2018,99743.9,,,,,20904,Whittlesea - Wallan,603
2017,,11613.0,10.3,19681.0,8.0,20904,Whittlesea - Wallan,604
2017,,641.0,22.8,309.0,3.7,20606,Stonnington - West,564
2016,,10530.0,11.4,18227.0,11.1,20904,Whittlesea - Wallan,605
2015,,9450.0,15.7,16404.0,14.6,20904,Whittlesea - Wallan,606
2014,,8169.0,,14308.0,,20904,Whittlesea - Wallan,607
2018,4242.5,,,,,21001,Keilor,608
2017,,2466.0,7.6,1184.0,11.9,21001,Keilor,609
2016,,2292.0,10.4,1058.0,11.0,21001,Keilor,610
2015,,2076.0,13.4,953.0,18.2,21001,Keilor,611
2014,,1830.0,,806.0,,21001,Keilor,612
2018,99210.7,,,,,21002,Macedon Ranges,613
2017,,2490.0,12.9,1936.0,8.8,21002,Macedon Ranges,614
2016,,2206.0,12.0,1779.0,7.4,21002,Macedon Ranges,615
2015,,1970.0,13.1,1657.0,10.5,21002,Macedon Ranges,616
2014,,1742.0,,1499.0,,21002,Macedon Ranges,617
2015,,7498.0,13.0,2563.0,7.3,21105,Yarra Ranges,676
2014,,6637.0,,2389.0,,21105,Yarra Ranges,677
2016,,522.0,14.0,298.0,4.2,20606,Stonnington - West,565
2018,1372.2,,,,,20804,Stonnington - East,628
2017,,1100.0,18.9,567.0,9.2,20804,Stonnington - East,629
2016,,925.0,9.5,519.0,7.9,20804,Stonnington - East,630
2015,,845.0,13.0,481.0,11.9,20804,Stonnington - East,631
2014,,748.0,,430.0,,20804,Stonnington - East,632
2018,6261.3,,,,,20901,Banyule,633
2017,,4948.0,10.0,2221.0,9.8,20901,Banyule,634
2016,,4498.0,9.3,2023.0,11.3,20901,Banyule,635
2015,,4116.0,13.7,1818.0,10.8,20901,Banyule,636
2014,,3619.0,,1641.0,,20901,Banyule,637
2018,3037.8,,,,,21003,Moreland - North,638
2017,,2498.0,8.4,2251.0,19.2,21003,Moreland - North,639
2016,,2305.0,7.3,1888.0,18.5,21003,Moreland - North,640
2015,,2148.0,16.3,1593.0,17.0,21003,Moreland - North,641
2014,,1847.0,,1362.0,,21003,Moreland - North,642
2015,,458.0,17.4,286.0,4.8,20606,Stonnington - West,566
2018,26068.5,,,,,21004,Sunbury,643
2017,,2612.0,10.5,2088.0,18.1,21004,Sunbury,644
2016,,2364.0,11.4,1768.0,14.7,21004,Sunbury,645
2015,,2123.0,11.0,1541.0,17.1,21004,Sunbury,646
2014,,1912.0,,1316.0,,21004,Sunbury,647
2018,29409.5,,,,,21005,Tullamarine - Broadmeadows,648
2017,,8399.0,10.3,9054.0,17.8,21005,Tullamarine - Broadmeadows,649
2016,,7615.0,9.7,7683.0,18.0,21005,Tullamarine - Broadmeadows,650
2015,,6939.0,15.2,6509.0,19.0,21005,Tullamarine - Broadmeadows,651
2014,,6025.0,,5469.0,,21005,Tullamarine - Broadmeadows,652
2018,11830.2,,,,,21101,Knox,653
2017,,9044.0,7.9,2474.0,13.9,21101,Knox,654
2016,,8382.0,8.6,2172.0,14.2,21101,Knox,655
2015,,7715.0,10.5,1902.0,8.5,21101,Knox,656
2014,,6979.0,,1753.0,,21101,Knox,657
2018,6656.2,,,,,21102,Manningham - East,658
2014,,390.0,,273.0,,20606,Stonnington - West,567
2018,2061.6,,,,,20607,Yarra,568
2017,,1820.0,10.4,1062.0,3.3,20607,Yarra,569
2016,,1649.0,14.0,1028.0,3.4,20607,Yarra,570
2015,,1446.0,19.9,994.0,7.3,20607,Yarra,571
2014,,1206.0,,926.0,,20607,Yarra,572
2018,6001.6,,,,,20701,Boroondara,573
2017,,4474.0,12.3,2479.0,11.2,20701,Boroondara,574
2016,,3985.0,9.6,2229.0,11.1,20701,Boroondara,575
2015,,3635.0,12.6,2007.0,14.2,20701,Boroondara,576
2014,,3229.0,,1757.0,,20701,Boroondara,577
2018,4867.2,,,,,20702,Manningham - West,578
2017,,3269.0,8.7,1315.0,12.5,20702,Manningham - West,579
2016,,3008.0,8.1,1169.0,19.2,20702,Manningham - West,580
2015,,2782.0,12.3,981.0,11.7,20702,Manningham - West,581
2014,,2477.0,,878.0,,20702,Manningham - West,582
2018,3805.5,,,,,20703,Whitehorse - West,583
2018,4070.0,,,,,20802,Glen Eira,618
2017,,1430.0,10.5,370.0,4.2,21102,Manningham - East,659
2016,,1294.0,10.7,355.0,6.3,21102,Manningham - East,660
2015,,1169.0,13.2,334.0,10.6,21102,Manningham - East,661
2014,,1033.0,,302.0,,21102,Manningham - East,662
2017,,3932.0,9.6,3033.0,10.7,20802,Glen Eira,619
2018,6118.7,,,,,21103,Maroondah,663
2017,,5067.0,10.7,1865.0,5.3,21103,Maroondah,664
2016,,4579.0,9.3,1771.0,6.6,21103,Maroondah,665
2015,,4191.0,11.5,1661.0,9.9,21103,Maroondah,666
2014,,3760.0,,1511.0,,21103,Maroondah,667
2016,,3589.0,8.8,2739.0,11.3,20802,Glen Eira,620
2018,2657.0,,,,,21104,Whitehorse - East,668
2017,,2714.0,7.7,1043.0,11.0,21104,Whitehorse - East,669
2016,,2520.0,6.7,940.0,10.7,21104,Whitehorse - East,670
2015,,2362.0,9.3,849.0,12.3,21104,Whitehorse - East,671
2015,,3298.0,13.7,2460.0,18.6,20802,Glen Eira,621
2014,,2162.0,,756.0,,21104,Whitehorse - East,672
2018,160593.7,,,,,21105,Yarra Ranges,673
2017,,9244.0,10.9,3035.0,6.5,21105,Yarra Ranges,674
2016,,8332.0,11.1,2849.0,11.2,21105,Yarra Ranges,675
2014,,2900.0,,2074.0,,20802,Glen Eira,622
2018,6986.3,,,,,20803,Kingston,623
2017,,5160.0,11.6,2195.0,8.4,20803,Kingston,624
2016,,4625.0,8.4,2024.0,6.9,20803,Kingston,625
2015,,4267.0,14.8,1894.0,12.3,20803,Kingston,626
2014,,3718.0,,1686.0,,20803,Kingston,627
2018,128232.7,,,,,21201,Cardinia,678
2017,,6628.0,12.9,9886.0,12.9,21201,Cardinia,679
2016,,5873.0,13.2,8753.0,12.3,21201,Cardinia,680
2015,,5190.0,16.5,7794.0,13.5,21201,Cardinia,681
2014,,4454.0,,6866.0,,21201,Cardinia,682
2018,11650.3,,,,,21202,Casey - North,683
2017,,8244.0,8.7,3580.0,5.5,21202,Casey - North,684
2016,,7581.0,8.5,3393.0,7.4,21202,Casey - North,685
2015,,6988.0,12.8,3160.0,11.8,21202,Casey - North,686
2014,,6195.0,,2826.0,,21202,Casey - North,687
2018,29292.6,,,,,21203,Casey - South,688
2017,,12107.0,11.8,15445.0,19.3,21203,Casey - South,689
2016,,10831.0,13.2,12948.0,15.9,21203,Casey - South,690
2015,,9572.0,16.7,11176.0,17.6,21203,Casey - South,691
2014,,8201.0,,9500.0,,21203,Casey - South,692
2018,15105.1,,,,,21204,Dandenong,693
2017,,8079.0,8.0,3926.0,13.0,21204,Dandenong,694
2016,,7480.0,7.3,3473.0,12.9,21204,Dandenong,695
2015,,6972.0,12.4,3075.0,18.8,21204,Dandenong,696
2014,,6205.0,,2589.0,,21204,Dandenong,697
2018,7947.3,,,,,21205,Monash,698
2017,,7135.0,7.5,4031.0,12.4,21205,Monash,699
2016,,6635.0,7.1,3586.0,12.4,21205,Monash,700
2015,,6194.0,12.5,3191.0,15.7,21205,Monash,701
2014,,5508.0,,2759.0,,21205,Monash,702
2018,10685.0,,,,,21301,Brimbank,703
2017,,9651.0,6.2,5370.0,6.8,21301,Brimbank,704
2016,,9087.0,6.7,5026.0,8.6,21301,Brimbank,705
2015,,8517.0,10.2,4627.0,8.4,21301,Brimbank,706
2014,,7731.0,,4267.0,,21301,Brimbank,707
2018,6221.6,,,,,21302,Hobsons Bay,708
2017,,3965.0,8.6,1669.0,16.1,21302,Hobsons Bay,709
2016,,3650.0,11.5,1438.0,13.1,21302,Hobsons Bay,710
2015,,3274.0,10.5,1272.0,12.3,21302,Hobsons Bay,711
2014,,2962.0,,1133.0,,21302,Hobsons Bay,712
2018,3122.5,,,,,21303,Maribyrnong,713
2017,,2576.0,8.1,2008.0,10.1,21303,Maribyrnong,714
2016,,2384.0,7.5,1824.0,15.7,21303,Maribyrnong,715
2015,,2218.0,11.8,1576.0,16.0,21303,Maribyrnong,716
2014,,1984.0,,1359.0,,21303,Maribyrnong,717
2018,67194.4,,,,,21304,Melton - Bacchus Marsh,718
2017,,10000.0,9.1,12923.0,12.4,21304,Melton - Bacchus Marsh,719
2016,,9165.0,9.9,11501.0,13.1,21304,Melton - Bacchus Marsh,720
2015,,8336.0,14.0,10169.0,13.1,21304,Melton - Bacchus Marsh,721
2014,,7315.0,,8992.0,,21304,Melton - Bacchus Marsh,722
2018,54412.0,,,,,21305,Wyndham,723
2017,,14989.0,9.8,26973.0,13.0,21305,Wyndham,724
2016,,13655.0,8.6,23864.0,13.0,21305,Wyndham,725
2015,,12572.0,14.6,21118.0,11.8,21305,Wyndham,726
2014,,10972.0,,18895.0,,21305,Wyndham,727
2018,12959.8,,,,,21401,Frankston,728
2017,,8207.0,9.4,3522.0,8.7,21401,Frankston,729
2016,,7500.0,8.9,3239.0,8.3,21401,Frankston,730
2015,,6888.0,11.8,2991.0,9.8,21401,Frankston,731
2014,,6163.0,,2724.0,,21401,Frankston,732
2018,72416.8,,,,,21402,Mornington Peninsula,733
2017,,11968.0,10.5,6314.0,7.4,21402,Mornington Peninsula,734
2016,,10832.0,9.8,5877.0,8.3,21402,Mornington Peninsula,735
2015,,9863.0,12.4,5429.0,9.0,21402,Mornington Peninsula,736
2014,,8775.0,,4979.0,,21402,Mornington Peninsula,737
2018,3813920.5,,,,,21501,Grampians,738
2017,,5352.0,10.2,2382.0,3.0,21501,Grampians,739
2016,,4857.0,8.7,2312.0,4.6,21501,Grampians,740
2015,,4468.0,11.0,2211.0,4.2,21501,Grampians,741
2014,,4024.0,,2121.0,,21501,Grampians,742
2018,2208248.5,,,,,21502,Mildura,743
2017,,3668.0,15.0,3390.0,3.8,21502,Mildura,744
2016,,3189.0,11.1,3267.0,3.8,21502,Mildura,745
2015,,2871.0,12.5,3148.0,4.0,21502,Mildura,746
2014,,2553.0,,3027.0,,21502,Mildura,747
2018,1785104.8,,,,,21503,Murray River - Swan Hill,748
2017,,3791.0,12.4,1442.0,4.9,21503,Murray River - Swan Hill,749
2016,,3373.0,13.3,1375.0,5.1,21503,Murray River - Swan Hill,750
2015,,2976.0,11.9,1308.0,5.9,21503,Murray River - Swan Hill,751
2014,,2659.0,,1235.0,,21503,Murray River - Swan Hill,752
2018,455456.9,,,,,21601,Campaspe,753
2017,,4296.0,10.6,1579.0,5.0,21601,Campaspe,754
2016,,3885.0,10.3,1504.0,6.5,21601,Campaspe,755
2015,,3523.0,12.7,1412.0,6.1,21601,Campaspe,756
2014,,3126.0,,1331.0,,21601,Campaspe,757
2018,404637.4,,,,,21602,Moira,758
2017,,3914.0,10.3,1399.0,7.0,21602,Moira,759
2016,,3548.0,10.4,1308.0,8.6,21602,Moira,760
2015,,3214.0,9.6,1204.0,7.5,21602,Moira,761
2014,,2933.0,,1120.0,,21602,Moira,762
2018,233316.3,,,,,21603,Shepparton,763
2017,,5783.0,11.0,3287.0,6.9,21603,Shepparton,764
2016,,5212.0,11.5,3074.0,7.5,21603,Shepparton,765
2015,,4676.0,10.2,2860.0,10.5,21603,Shepparton,766
2014,,4243.0,,2588.0,,21603,Shepparton,767
2018,1294617.6,,,,,21701,Glenelg - Southern Grampians,768
2017,,2534.0,10.1,1172.0,2.7,21701,Glenelg - Southern Grampians,769
2016,,2301.0,8.3,1141.0,2.6,21701,Glenelg - Southern Grampians,770
2015,,2125.0,9.4,1112.0,3.6,21701,Glenelg - Southern Grampians,771
2014,,1942.0,,1073.0,,21701,Glenelg - Southern Grampians,772
2018,793655.5,,,,,21703,Colac - Corangamite,773
2017,,2620.0,16.2,1640.0,4.3,21703,Colac - Corangamite,774
2016,,2254.0,8.5,1573.0,4.4,21703,Colac - Corangamite,775
2015,,2077.0,11.9,1506.0,5.2,21703,Colac - Corangamite,776
2014,,1856.0,,1432.0,,21703,Colac - Corangamite,777
2018,549617.7,,,,,21704,Warrnambool,778
2017,,2632.0,11.7,1891.0,6.6,21704,Warrnambool,779
2016,,2357.0,9.0,1774.0,8.2,21704,Warrnambool,780
2015,,2162.0,11.3,1640.0,7.2,21704,Warrnambool,781
2014,,1942.0,,1530.0,,21704,Warrnambool,782
2018,8929.6,,,,,30101,Capalaba,783
2017,,10917.0,6.6,3473.0,3.8,30101,Capalaba,784
2016,,10237.0,5.5,3345.0,4.3,30101,Capalaba,785
2015,,9706.0,8.7,3208.0,4.5,30101,Capalaba,786
2014,,8929.0,,3069.0,,30101,Capalaba,787
2018,48097.8,,,,,30102,Cleveland - Stradbroke,788
2017,,13571.0,8.2,4806.0,3.7,30102,Cleveland - Stradbroke,789
2016,,12545.0,6.5,4633.0,4.1,30102,Cleveland - Stradbroke,790
2015,,11775.0,9.8,4452.0,6.5,30102,Cleveland - Stradbroke,791
2014,,10720.0,,4182.0,,30102,Cleveland - Stradbroke,792
2018,8285.8,,,,,30103,Wynnum - Manly,793
2017,,8333.0,7.4,2507.0,3.0,30103,Wynnum - Manly,794
2016,,7756.0,6.3,2434.0,3.8,30103,Wynnum - Manly,795
2015,,7295.0,9.1,2344.0,4.4,30103,Wynnum - Manly,796
2014,,6689.0,,2246.0,,30103,Wynnum - Manly,797
2018,3593.1,,,,,30201,Bald Hills - Everton Park,798
2017,,4698.0,7.3,1629.0,3.8,30201,Bald Hills - Everton Park,799
2016,,4378.0,5.9,1570.0,3.7,30201,Bald Hills - Everton Park,800
2015,,4134.0,9.2,1514.0,4.2,30201,Bald Hills - Everton Park,801
2014,,3787.0,,1453.0,,30201,Bald Hills - Everton Park,802
2018,3223.9,,,,,30202,Chermside,803
2017,,5884.0,7.4,1641.0,3.6,30202,Chermside,804
2016,,5480.0,6.7,1584.0,3.5,30202,Chermside,805
2015,,5134.0,9.3,1530.0,5.5,30202,Chermside,806
2014,,4699.0,,1450.0,,30202,Chermside,807
2018,8703.2,,,,,30203,Nundah,808
2017,,3684.0,8.3,1395.0,3.6,30203,Nundah,809
2016,,3403.0,7.7,1346.0,2.7,30203,Nundah,810
2015,,3160.0,9.4,1310.0,4.3,30203,Nundah,811
2014,,2889.0,,1256.0,,30203,Nundah,812
2018,3174.7,,,,,30204,Sandgate,813
2017,,7042.0,8.0,2057.0,7.2,30204,Sandgate,814
2016,,6518.0,6.6,1918.0,2.8,30204,Sandgate,815
2015,,6115.0,8.7,1865.0,6.3,30204,Sandgate,816
2014,,5626.0,,1754.0,,30204,Sandgate,817
2018,2651.1,,,,,30301,Carindale,818
2017,,4902.0,9.0,1631.0,3.0,30301,Carindale,819
2016,,4498.0,6.5,1583.0,4.4,30301,Carindale,820
2015,,4222.0,9.2,1517.0,5.3,30301,Carindale,821
2014,,3866.0,,1440.0,,30301,Carindale,822
2018,2756.5,,,,,30302,Holland Park - Yeronga,823
2017,,4693.0,9.3,1421.0,3.2,30302,Holland Park - Yeronga,824
2016,,4293.0,8.1,1377.0,3.8,30302,Holland Park - Yeronga,825
2015,,3970.0,11.0,1326.0,8.6,30302,Holland Park - Yeronga,826
2014,,3575.0,,1221.0,,30302,Holland Park - Yeronga,827
2018,7938.7,,,,,30303,Mt Gravatt,828
2017,,7739.0,6.2,2656.0,2.6,30303,Mt Gravatt,829
2016,,7288.0,5.6,2589.0,3.9,30303,Mt Gravatt,830
2015,,6903.0,7.8,2491.0,4.9,30303,Mt Gravatt,831
2014,,6406.0,,2374.0,,30303,Mt Gravatt,832
2018,2447.8,,,,,30304,Nathan,833
2017,,3979.0,8.2,1384.0,3.6,30304,Nathan,834
2016,,3679.0,6.9,1336.0,4.5,30304,Nathan,835
2015,,3441.0,9.2,1278.0,8.0,30304,Nathan,836
2014,,3150.0,,1183.0,,30304,Nathan,837
2018,8524.4,,,,,30305,Rocklea - Acacia Ridge,838
2017,,8429.0,6.4,2283.0,3.3,30305,Rocklea - Acacia Ridge,839
2016,,7921.0,5.0,2211.0,3.5,30305,Rocklea - Acacia Ridge,840
2015,,7542.0,8.1,2136.0,3.9,30305,Rocklea - Acacia Ridge,841
2014,,6978.0,,2056.0,,30305,Rocklea - Acacia Ridge,842
2018,18920.4,,,,,30905,Mudgeeraba - Tallebudgera,843
2017,,4459.0,9.5,1860.0,4.3,30905,Mudgeeraba - Tallebudgera,844
2016,,4074.0,7.7,1784.0,2.6,30905,Mudgeeraba - Tallebudgera,845
2015,,3783.0,9.3,1738.0,3.7,30905,Mudgeeraba - Tallebudgera,846
2014,,3460.0,,1676.0,,30905,Mudgeeraba - Tallebudgera,847
2018,12315.3,,,,,30906,Nerang,848
2017,,8660.0,9.8,3228.0,3.3,30906,Nerang,849
2016,,7888.0,8.5,3124.0,4.4,30906,Nerang,850
2015,,7272.0,10.5,2993.0,3.9,30906,Nerang,851
2014,,6583.0,,2880.0,,30906,Nerang,852
2018,51986.2,,,,,30907,Ormeau - Oxenford,853
2017,,14282.0,12.6,4912.0,4.4,30907,Ormeau - Oxenford,854
2016,,12682.0,9.9,4706.0,4.6,30907,Ormeau - Oxenford,855
