sa3_code16,m_ind_15_19_pd_gd_gcl,m_ind_15_19_bdl,m_ind_15_19_adip_dipl,m_ind_15_19_ct_iii_iv,m_ind_15_19_ct_i_ii,m_ind_15_19_cl_nfd,m_ind_15_19_loe_ns,m_ind_15_19_tot,m_ind_20_24_pd_gd_gcl,m_ind_20_24_bdl,m_ind_20_24_adip_dipl,m_ind_20_24_ct_iii_iv,m_ind_20_24_ct_i_ii,m_ind_20_24_cl_nfd,m_ind_20_24_loe_ns,m_ind_20_24_tot,m_ind_25_34_pd_gd_gcl,m_ind_25_34_bdl,m_ind_25_34_adip_dipl,m_ind_25_34_ct_iii_iv,m_ind_25_34_ct_i_ii,m_ind_25_34_cl_nfd,m_ind_25_34_loe_ns,m_ind_25_34_tot,m_ind_35_44_pd_gd_gcl,m_ind_35_44_bdl,m_ind_35_44_adip_dipl,m_ind_35_44_ct_iii_iv,m_ind_35_44_ct_i_ii,m_ind_35_44_cl_nfd,m_ind_35_44_loe_ns,m_ind_35_44_tot,m_ind_45_54_pd_gd_gcl,m_ind_45_54_bdl,m_ind_45_54_adip_dipl,m_ind_45_54_ct_iii_iv,m_ind_45_54_ct_i_ii,m_ind_45_54_cl_nfd,m_ind_45_54_loe_ns,m_ind_45_54_tot,m_ind_55_64_pd_gd_gcl,m_ind_55_64_bdl,m_ind_55_64_adip_dipl,m_ind_55_64_ct_iii_iv,m_ind_55_64_ct_i_ii,m_ind_55_64_cl_nfd,m_ind_55_64_loe_ns,m_ind_55_64_tot,m_ind_65ov_ptgdde_gddp_gdct,m_ind_65ov_bdl,m_ind_65ov_adip_dipl,m_ind_65ov_ct_iii_iv,m_ind_65ov_ct_i_ii,m_ind_65ov_cl_nfd,m_ind_65ov_loe_ns,m_ind_65ov_tot,m_ind_tot_pd_gd_gcl,m_ind_tot_bdl,m_ind_tot_adip_dipl,m_ind_tot_ct_iii_iv,m_ind_tot_ct_i_ii,m_ind_tot_cl_nfd,m_ind_tot_loe_ns,m_ind_tot_tot,m_noni_15_19_pd_gd_gcl,m_noni_15_19_bdl,m_noni_15_19_adip_dipl,m_noni_15_19_ct_iii_iv,m_noni_15_19_ct_i_ii,m_noni_15_19_cl_nfd,m_noni_15_19_loe_ns,m_noni_15_19_tot,m_noni_20_24_pd_gd_gcl,m_noni_20_24_bdl,m_noni_20_24_adip_dipl,m_noni_20_24_ct_iii_iv,m_noni_20_24_ct_i_ii,m_noni_20_24_cl_nfd,m_noni_20_24_loe_ns,m_noni_20_24_tot,m_noni_25_34_pd_gd_gcl,m_noni_25_34_bdl,m_noni_25_34_adip_dipl,m_noni_25_34_ct_iii_iv,m_noni_25_34_ct_i_ii,m_noni_25_34_cl_nfd,m_noni_25_34_loe_ns,m_noni_25_34_tot,m_noni_35_44_pd_gd_gcl,m_noni_35_44_bdl,m_noni_35_44_adip_dipl,m_noni_35_44_ct_iii_iv,m_noni_35_44_ct_i_ii,m_noni_35_44_cl_nfd,m_noni_35_44_loe_ns,m_noni_35_44_tot,m_noni_45_54_pd_gd_gcl,m_noni_45_54_bdl,m_noni_45_54_adip_dipl,m_noni_45_54_ct_iii_iv,m_noni_45_54_ct_i_ii,m_noni_45_54_cl_nfd,m_noni_45_54_loe_ns,m_noni_45_54_tot,m_noni_55_64_pd_gd_gcl,m_noni_55_64_bdl,m_noni_55_64_adip_dipl,m_noni_55_64_ct_iii_iv,m_noni_55_64_ct_i_ii,m_noni_55_64_cl_nfd,m_noni_55_64_loe_ns,m_noni_55_64_tot,m_noni_65ov_ptgdde_gddp_gdct,m_noni_65ov_bdl,m_noni_65ov_adip_dipl,m_noni_65ov_ct_iii_iv,m_noni_65ov_ct_i_ii,m_noni_65ov_cl_nfd,m_noni_65ov_loe_ns,m_noni_65ov_tot,m_noni_totpdde_gddp_gdct,m_noni_tot_bdl,m_noni_tot_adip_dipl,m_noni_tot_ct_iii_iv,m_noni_tot_ct_i_ii,m_noni_tot_cl_nfd,m_noni_tot_loe_ns,m_noni_tot_tot,m_is_ns_15_19_pd_gd_gcll,m_is_ns_15_19_bdl,m_is_ns_15_19_adip_dipl,m_is_ns_15_19_ct_iii_iv_l,m_is_ns_15_19_ct_i_ii,m_is_ns_15_19_cl_nfd,m_is_ns_15_19_loe_ns,m_is_ns_15_19_tot,m_is_ns_20_24_pd_gd_gcll,m_is_ns_20_24_bdl,m_is_ns_20_24_addip_and_dipl,m_is_ns_20_24_ct_iii_iv_l,m_is_ns_20_24_ct_i_ii,m_is_ns_20_24_cl_nfd,m_is_ns_20_24_loe_ns,m_is_ns_20_24_tot,m_is_ns_25_34_pd_gd_gcll,m_is_ns_25_34_bdl,m_is_ns_25_34_addip_and_dipl,m_is_ns_25_34_ct_iii_iv_l,m_is_ns_25_34_ct_i_ii_l,m_is_ns_25_34_cl_nfd,m_is_ns_25_34_loe_ns,m_is_ns_25_34_tot,m_is_ns_35_44_pd_gd_gcll,m_is_ns_35_44_bdl,m_is_ns_35_44_adip_dipl,m_is_ns_35_44_ct_iii_iv_l,m_is_ns_35_44_ct_i_ii_l,m_is_ns_35_44_cl_nfd,m_is_ns_35_44_loe_ns,m_is_ns_35_44_tot,m_is_ns_45_54_pdde_gddp_gdc,m_is_ns_45_54_bdl,m_is_ns_45_54_adip_dipl,m_is_ns_45_54_ct_iii_iv_l,m_is_ns_45_54_ct_i_ii_l,m_is_ns_45_54_cl_nfd,m_is_ns_45_54_loe_ns,m_is_ns_45_54_tot,m_is_ns_55_64_pd_gd_gcl,m_is_ns_55_64_bdl,m_is_ns_55_64_adip_dipl,m_is_ns_55_64_ct_iii_iv_l,m_is_ns_55_64_ct_i_ii_l,m_is_ns_55_64_cl_nfd,m_is_ns_55_64_loe_ns,m_is_ns_55_64_tot,m_is_ns_65ov_pd_gd_gcl,m_is_ns_65ov_bdl,m_is_ns_65ov_adip_dipl,m_is_ns_65ov_ct_iii_iv_l,m_is_ns_65ov_ct_i_ii,m_is_ns_65ov_cl_nfd,m_is_ns_65ov_loe_ns,m_is_ns_65ov_tot,m_is_ns_totpdde_gddp_gdct,m_is_ns_tot_bdl,m_is_ns_tot_adip_dipl,m_is_ns_tot_ct_iii_iv_l,m_is_ns_tot_ct_i_ii,m_is_ns_tot_cl_nfd,m_is_ns_tot_loe_ns,m_is_ns_tot_tot,m_t_15_19_pd_gd_gcl,m_t_15_19_bdl,m_t_15_19_adip_dipl,m_t_15_19_ct_iii_iv,m_t_15_19_ct_i_ii,m_t_15_19_cl_nfd,m_t_15_19_loe_ns,m_t_15_19_tot,sa3_name16
12405,0,0,0,5,0,0,3,11,0,5,3,24,0,3,11,47,0,0,4,29,4,3,10,51,3,4,5,24,4,0,10,46,3,3,7,25,0,0,12,52,0,0,3,7,0,0,5,19,0,0,0,6,0,0,0,8,9,12,29,128,14,8,48,242,0,0,7,66,18,3,68,165,18,125,98,428,38,20,65,792,132,416,322,1062,51,67,155,2201,151,312,263,907,33,84,131,1883,94,226,242,968,26,58,125,1740,92,230,206,899,26,81,130,1659,58,132,75,661,15,54,232,1218,540,1457,1218,4989,189,363,900,9657,0,0,0,0,0,0,77,77,0,0,0,4,0,0,107,116,0,4,3,4,0,0,213,221,0,5,5,0,0,0,209,217,0,0,0,7,0,0,165,180,0,0,0,0,0,0,180,185,0,0,0,4,0,0,137,143,0,5,5,24,0,0,1096,1141,0,0,7,72,14,3,150,252,St Marys
12501,0,0,0,0,0,0,13,11,0,0,0,4,0,0,57,66,0,3,0,4,0,0,110,115,0,0,0,3,0,0,62,72,0,0,0,4,0,0,26,33,0,0,0,7,0,0,7,11,0,0,4,0,0,0,0,3,4,7,6,27,3,0,268,315,0,9,14,49,7,7,107,195,55,650,316,295,37,30,331,1707,1329,2856,1113,864,70,115,962,7309,877,1405,593,625,39,80,646,4262,425,751,425,553,29,91,419,2693,267,548,283,526,13,79,276,1994,138,345,160,490,19,60,274,1480,3088,6559,2908,3399,209,462,3010,19642,0,0,0,0,0,0,94,94,0,0,4,4,0,0,226,233,0,7,3,3,0,0,704,721,0,3,3,3,0,0,357,369,3,0,7,0,0,0,245,255,0,0,3,3,0,0,190,199,0,0,3,3,0,0,203,214,4,14,20,22,0,3,2027,2088,0,9,14,49,4,7,209,303,Auburn
12502,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,4,0,16,0,0,0,23,0,0,0,5,0,0,3,7,0,4,0,3,0,0,0,12,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,5,0,8,3,28,3,0,11,60,0,3,14,29,3,3,48,103,21,390,107,231,22,15,53,834,626,1320,391,584,31,49,105,3120,855,1227,495,652,21,66,115,3435,614,1065,471,744,23,88,144,3142,482,807,384,661,19,85,130,2573,288,665,384,925,22,124,299,2714,2896,5477,2247,3824,144,427,895,15919,0,0,0,0,0,0,48,48,0,0,0,3,0,0,62,64,0,0,3,0,0,0,194,201,0,3,3,6,0,0,175,182,0,3,0,5,0,0,153,162,0,0,3,4,0,0,133,142,0,0,0,8,0,0,183,199,0,11,10,28,0,0,948,998,0,3,14,35,3,3,103,154,Carlingford
12503,0,0,0,0,0,0,3,7,0,4,4,7,0,3,3,25,0,6,9,20,3,3,3,50,0,3,4,12,0,0,6,26,3,0,0,16,0,0,3,27,4,3,3,19,0,3,7,31,0,0,0,3,0,3,11,25,7,13,21,85,7,14,36,176,0,7,20,156,27,18,213,440,56,643,395,742,53,61,277,2231,1002,2409,1335,1841,92,169,682,7524,799,1578,1023,1821,83,209,564,6079,437,929,741,1649,69,166,449,4442,306,668,480,1391,43,157,349,3399,169,453,324,1657,27,149,759,3544,2779,6690,4315,9253,395,925,3304,27658,0,0,4,4,0,0,197,206,0,3,3,9,0,0,271,290,0,9,4,9,0,0,673,692,0,3,0,5,0,0,494,515,0,0,3,11,0,0,463,478,0,3,0,6,0,3,382,393,0,3,0,10,0,0,422,438,4,18,18,54,3,6,2904,3012,0,7,22,160,28,18,418,651,Merrylands - Guildford
12504,0,0,0,0,0,0,3,4,0,0,3,9,3,0,3,18,3,8,7,24,4,4,3,49,3,5,0,16,3,3,3,31,0,8,8,9,0,5,4,28,0,0,4,9,0,0,3,21,5,0,0,3,0,0,0,10,9,18,22,76,12,5,22,167,0,8,33,70,17,11,81,215,123,907,385,408,25,41,149,2041,3135,5157,1406,1275,68,119,507,11653,3042,3409,1205,1402,54,157,433,9702,937,1448,830,1243,49,147,271,4926,643,962,513,1019,29,131,243,3540,352,879,480,1463,36,190,578,3968,8222,12769,4854,6884,274,791,2254,36053,0,0,0,0,0,0,168,167,0,7,0,0,0,0,252,262,0,5,3,6,0,0,988,1008,3,5,3,9,0,0,760,784,0,0,8,10,0,0,353,364,0,9,0,4,0,0,325,337,0,3,0,11,0,0,370,386,8,30,20,37,0,3,3206,3308,0,8,33,69,17,11,251,396,Parramatta
12601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,3,0,0,0,0,0,9,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,7,5,5,3,0,0,3,21,0,0,9,24,4,3,34,71,30,399,105,118,4,12,33,703,632,1159,202,236,12,23,80,2338,909,1107,278,220,10,22,61,2610,822,1036,318,328,20,55,79,2652,689,882,277,308,7,49,70,2291,534,791,358,474,15,102,229,2508,3624,5373,1546,1704,75,266,591,13178,0,0,0,0,0,0,26,26,0,0,0,3,0,0,42,47,0,0,0,0,0,0,88,89,0,3,0,0,0,0,78,82,0,4,0,3,0,0,74,85,6,0,0,0,0,0,58,65,0,9,0,5,0,0,122,134,10,22,0,11,0,3,480,523,0,0,9,24,4,3,58,97,Pennant Hills - Epping
12602,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,8,4,9,4,7,0,0,0,21,0,0,3,7,0,0,0,11,4,0,9,8,0,0,0,24,0,3,4,10,0,0,0,13,0,3,0,3,0,0,0,9,11,24,19,34,0,3,4,95,0,6,24,57,14,9,74,187,96,1151,378,379,31,56,106,2204,2252,4114,964,1017,51,96,265,8763,2057,3100,952,1107,36,117,291,7654,1424,2047,901,1312,45,143,249,6116,998,1563,657,1041,37,156,273,4723,755,1464,653,1511,48,206,713,5354,7583,13455,4527,6428,264,777,1963,35001,0,0,0,0,0,0,144,143,0,3,3,0,3,0,197,202,0,14,0,3,0,0,449,470,0,6,6,3,0,0,382,392,3,3,3,5,0,3,310,326,8,6,3,11,0,0,248,271,3,11,3,15,0,0,320,356,20,38,22,36,3,3,2046,2169,0,6,25,58,14,9,216,332,Ryde - Hunters Hill
12701,0,0,0,3,0,0,9,11,0,3,4,15,0,0,0,22,0,0,4,29,0,4,4,44,3,0,5,19,0,3,3,37,0,4,0,9,0,0,8,24,0,0,0,10,0,0,0,17,0,0,3,13,0,0,3,16,6,12,20,95,6,8,27,168,0,3,18,134,13,6,173,345,15,362,238,641,51,41,107,1450,264,1063,706,1795,84,141,217,4263,287,801,707,1705,57,123,267,3946,212,581,589,1703,55,125,254,3529,159,394,330,1139,33,105,236,2397,58,228,171,892,16,68,309,1736,1004,3424,2765,7999,297,611,1570,17673,0,0,0,5,0,0,199,196,0,0,0,0,0,0,181,184,0,0,3,5,0,4,399,410,0,3,6,3,0,3,379,397,0,0,0,7,0,4,367,374,0,0,0,3,0,0,263,275,0,0,0,11,0,3,294,309,0,10,8,31,0,7,2088,2147,0,3,20,139,13,6,376,560,Bringelly - Green Valley
12702,0,0,0,4,0,0,7,13,0,0,0,12,4,0,4,25,0,9,4,20,4,0,9,42,0,3,10,11,0,0,3,32,3,0,5,15,0,3,7,31,0,0,0,9,0,0,0,9,0,0,0,5,0,0,8,12,7,10,16,75,9,5,36,161,3,9,54,157,47,18,214,499,60,864,492,922,80,73,211,2707,465,2063,1096,1951,130,173,488,6378,279,1263,992,1850,89,192,452,5123,243,914,959,2144,86,242,469,5052,201,754,647,1864,49,189,511,4214,130,545,368,1987,39,187,875,4138,1386,6414,4605,10879,522,1070,3221,28100,0,0,0,3,0,0,210,210,0,0,0,6,3,0,258,269,0,9,11,18,0,0,429,470,3,3,3,17,0,4,387,410,0,0,7,10,0,0,447,460,3,0,3,13,0,5,393,414,0,3,0,17,0,3,492,512,6,15,25,82,5,14,2609,2756,3,9,49,169,47,18,430,721,Fairfield
12703,0,0,0,3,0,0,5,13,0,3,0,12,0,0,0,24,3,5,8,23,0,0,7,45,0,5,4,17,0,0,6,40,0,0,6,17,0,3,6,35,0,0,4,6,0,3,5,17,0,0,0,10,0,0,3,12,7,18,20,96,6,12,36,190,0,8,32,105,21,17,128,314,30,368,268,607,45,55,148,1521,514,1452,877,1674,86,128,289,5011,713,1348,969,1760,82,147,300,5325,409,912,864,1781,48,154,302,4472,276,611,484,1138,25,132,249,2917,135,342,275,1309,29,114,417,2614,2085,5030,3760,8380,329,746,1838,22167,0,0,0,0,0,0,217,216,0,0,0,4,3,0,305,316,0,7,0,10,0,0,692,705,0,0,3,9,0,3,605,617,0,0,0,10,0,0,492,506,3,0,0,3,0,0,382,390,0,0,0,13,0,0,377,392,7,13,6,50,5,3,3066,3146,0,8,32,108,27,21,353,544,Liverpool
12801,0,0,0,6,0,0,3,12,0,6,0,13,0,0,0,26,0,4,14,31,0,4,3,60,0,5,8,33,0,0,3,53,0,9,11,25,0,0,6,50,3,5,3,15,0,0,4,32,3,6,7,6,0,0,3,24,10,34,41,132,4,9,24,253,0,3,10,71,11,4,59,168,18,426,178,660,44,43,46,1414,420,1416,786,2007,48,100,131,4900,638,1384,986,2046,41,128,174,5400,630,1197,929,2136,49,182,209,5338,591,1062,729,1824,29,174,200,4609,504,982,709,2545,58,311,632,5740,2808,6466,4322,11289,290,940,1445,27565,0,0,0,7,0,0,89,92,0,0,0,6,0,0,144,152,0,3,0,6,0,0,376,390,4,3,3,9,0,0,338,354,0,5,3,12,0,0,282,298,0,3,0,6,0,0,298,310,3,3,5,20,0,4,395,439,4,19,14,61,0,5,1923,2032,0,3,11,79,18,4,157,269,Cronulla - Miranda - Caringbah
12802,0,0,0,0,0,0,4,9,0,0,3,9,0,3,0,23,3,6,6,31,0,0,0,50,0,7,14,25,3,0,0,53,8,9,7,36,0,3,4,56,0,5,8,17,0,0,0,39,0,0,3,3,0,3,3,16,18,28,41,121,3,12,11,237,0,6,15,99,11,5,79,216,25,512,183,749,31,32,49,1580,407,1392,665,1853,47,89,119,4568,702,1379,972,2207,45,111,159,5569,654,1097,991,2298,36,139,174,5386,607,1053,781,1972,49,195,187,4849,367,741,628,2409,55,298,485,4975,2767,6179,4234,11587,274,869,1245,27147,0,0,0,0,0,0,85,86,0,3,0,3,0,0,66,73,0,3,0,5,0,0,164,172,3,4,0,8,0,4,205,226,8,3,3,10,0,0,219,239,3,3,4,3,0,0,175,190,0,3,4,16,0,5,220,242,13,18,20,52,0,11,1135,1242,0,6,15,102,11,6,167,308,Sutherland - Menai - Heathcote
20101,0,0,0,0,0,0,9,14,0,3,0,17,7,0,5,28,0,5,6,29,0,3,3,42,3,3,5,15,0,0,8,32,0,3,5,15,0,3,3,24,0,0,7,13,0,0,4,30,0,0,0,7,0,0,5,10,3,14,23,88,14,7,38,185,0,3,12,178,40,10,128,371,24,285,138,899,71,33,84,1526,348,1106,515,2068,81,75,152,4347,444,1041,559,1667,49,90,169,4015,487,724,585,1638,36,94,217,3793,441,558,531,1472,33,89,228,3337,366,565,546,1671,22,115,710,4004,2112,4279,2891,9596,320,499,1690,21394,0,0,0,3,0,0,147,147,0,0,0,4,0,0,219,234,0,0,0,13,3,0,359,383,4,3,0,13,0,0,315,334,0,3,0,18,0,0,317,337,3,3,0,7,0,0,287,305,4,0,3,23,0,0,504,539,12,16,13,87,3,4,2147,2279,0,3,12,184,37,10,280,536,Ballarat
20102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,3,0,4,0,0,0,9,0,0,0,6,0,0,0,10,4,0,0,0,0,0,0,10,0,0,0,3,0,0,3,6,7,3,7,17,0,3,6,40,0,0,0,48,4,0,49,107,3,23,24,159,12,6,20,246,33,106,76,408,19,22,31,685,101,220,150,499,16,27,41,1057,114,231,186,662,13,39,88,1324,149,222,218,614,12,49,100,1371,155,218,219,621,9,50,248,1511,549,1017,867,3013,88,195,564,6303,0,0,0,0,0,0,55,55,0,0,0,0,0,0,46,50,0,0,0,9,0,0,71,76,0,3,3,3,0,0,97,104,0,0,3,3,0,0,167,172,0,0,0,3,0,0,183,190,8,0,0,9,0,0,238,251,8,3,8,25,0,4,856,904,0,0,0,48,4,0,103,166,Creswick - Daylesford - Ballan
20103,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,0,0,4,0,0,3,12,0,0,0,0,3,0,6,12,0,0,0,4,0,0,5,13,0,0,0,3,0,0,4,5,0,0,0,10,0,0,8,19,0,0,0,24,4,3,33,68,0,0,0,16,3,0,59,89,0,23,7,151,11,5,26,229,19,67,52,354,24,11,86,611,30,78,92,459,22,22,121,811,40,63,104,563,18,24,187,998,57,103,107,608,21,35,170,1099,64,115,136,714,10,46,345,1443,209,456,505,2863,111,147,991,5275,0,0,0,0,0,0,33,33,0,0,0,3,0,0,28,24,0,0,0,0,0,0,54,51,0,0,3,0,0,0,77,85,0,0,0,4,0,0,94,104,0,0,0,8,0,0,132,141,0,0,0,18,0,0,224,241,0,0,10,29,0,3,629,672,0,0,0,22,3,0,93,117,Maryborough - Pyrenees
20201,0,0,0,8,3,0,8,23,0,0,0,24,5,3,3,37,3,6,3,49,0,0,6,64,4,3,3,21,0,3,8,38,0,3,3,12,3,3,6,31,0,0,3,9,0,0,4,16,0,0,3,4,0,0,3,15,4,14,20,117,15,11,44,222,0,0,5,109,27,4,135,288,20,232,87,853,83,42,92,1406,219,944,430,2017,73,83,169,3940,325,797,455,1565,58,75,160,3437,346,511,459,1632,46,76,177,3236,305,499,501,1445,35,81,241,3104,291,416,548,1615,24,117,770,3785,1512,3399,2490,9241,339,475,1740,19197,0,0,0,0,0,0,152,152,0,0,3,7,0,0,174,192,0,0,0,12,0,0,354,365,0,3,0,9,0,0,287,303,0,4,0,18,0,0,326,345,3,0,4,17,0,0,309,334,4,4,9,19,0,0,485,516,12,14,18,84,4,5,2078,2213,0,0,5,113,32,7,295,462,Bendigo
20202,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,15,0,0,0,4,0,0,19,30,0,0,3,4,0,0,16,34,3,0,0,7,0,0,16,27,0,3,3,8,0,0,4,19,0,0,0,0,0,0,3,6,8,9,15,36,3,7,61,130,0,0,4,60,3,0,103,174,5,53,21,252,19,5,93,456,66,205,113,623,26,25,289,1350,235,470,223,727,18,36,231,1949,258,443,314,970,16,54,228,2279,294,428,331,954,21,72,202,2291,289,479,439,1053,18,84,382,2746,1149,2081,1447,4645,126,269,1531,11246,0,0,0,0,0,0,84,89,0,0,0,3,0,0,54,53,0,0,0,3,0,0,121,124,0,3,7,5,0,0,155,168,0,4,0,12,0,0,231,248,3,3,6,11,0,0,260,287,5,4,3,19,0,0,397,421,5,13,17,52,0,6,1292,1387,0,0,4,62,3,0,184,257,Heathcote - Castlemaine - Kyneton
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,0,0,0,3,0,0,3,4,0,0,0,10,0,0,12,21,0,0,0,17,0,0,15,40,0,5,12,51,3,0,9,81,4,30,20,157,4,3,9,232,13,57,49,202,6,9,24,354,18,42,60,286,11,11,34,457,18,42,64,312,6,25,50,514,20,29,49,248,0,17,141,506,77,210,247,1279,32,63,281,2186,0,0,0,0,0,0,30,30,0,0,0,3,0,0,16,21,0,0,0,3,0,0,33,43,0,0,0,3,0,0,57,56,0,0,0,4,0,0,70,71,0,0,0,7,0,0,81,83,0,0,3,4,0,0,108,121,0,0,4,18,0,0,390,417,0,0,0,18,0,0,44,70,Loddon - Elmore
20301,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,3,0,7,0,0,3,24,0,0,0,26,3,0,42,79,0,23,24,122,6,3,16,203,19,108,78,381,6,22,29,637,69,123,131,546,8,28,35,940,56,127,146,517,10,29,44,931,62,125,138,384,4,11,53,773,49,101,107,331,7,26,96,716,264,605,631,2307,50,119,314,4280,0,0,0,0,0,0,26,26,0,0,0,3,0,0,24,24,0,0,0,0,0,0,42,47,0,0,0,0,0,0,67,69,0,0,0,0,0,0,69,72,0,0,0,0,0,0,71,78,0,0,0,3,0,0,63,68,0,4,3,10,3,0,365,392,0,0,0,26,3,0,73,109,Barwon - West
20302,0,0,0,8,0,0,6,18,0,3,3,23,0,0,7,43,0,5,0,41,3,0,31,79,0,12,8,29,0,3,25,72,9,5,3,37,0,0,16,75,0,4,8,9,0,0,3,26,0,0,4,10,0,0,7,22,8,27,26,157,9,8,103,332,0,8,43,306,58,21,254,681,63,742,347,1479,117,70,260,3083,824,2236,1101,3630,134,157,650,8730,833,1920,1121,2979,93,155,604,7702,732,1269,1121,3205,81,155,527,7090,627,1092,984,2791,61,192,488,6246,466,905,1115,3338,45,256,1275,7402,3540,8172,5827,17733,590,1007,4065,40931,0,0,0,3,0,0,252,256,3,0,3,10,3,0,335,360,5,7,6,33,0,0,625,672,0,3,7,9,3,0,539,567,3,4,11,16,0,3,606,640,3,3,8,11,0,3,527,560,3,7,12,38,0,7,930,999,16,30,42,127,3,9,3822,4046,0,8,42,314,55,21,511,949,Geelong
20303,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,13,0,7,8,3,0,4,5,19,0,0,0,6,0,0,9,17,0,3,0,5,0,0,0,8,0,0,0,4,0,0,0,14,0,0,0,3,0,0,3,11,6,10,13,37,4,3,16,85,0,0,9,71,24,5,81,187,7,111,67,362,15,14,54,623,150,649,296,1170,26,43,64,2388,356,950,458,1289,27,60,108,3239,356,696,473,1310,29,48,122,3041,413,760,566,1337,26,88,138,3327,449,856,831,1611,33,149,526,4452,1729,4024,2698,7151,173,401,1082,17257,0,0,0,3,0,0,77,77,0,0,0,4,0,0,74,83,0,3,3,4,0,0,156,163,0,4,0,12,0,0,228,240,0,5,0,9,0,0,215,226,0,0,3,13,0,0,281,295,0,0,4,13,0,0,453,482,4,12,18,56,0,0,1481,1571,0,0,8,75,24,5,157,273,Surf Coast - Bellarine Peninsula
20401,0,0,0,0,0,0,3,11,0,0,3,7,0,0,4,12,0,0,0,14,0,0,3,16,0,0,0,14,0,0,0,26,0,0,3,16,0,3,4,27,0,0,8,12,0,3,0,29,0,0,0,3,0,0,3,7,6,3,10,70,3,6,22,120,0,0,5,93,27,12,131,258,13,54,38,357,28,13,55,561,54,191,199,939,29,33,88,1536,88,233,231,1014,24,47,89,1733,113,227,290,1210,18,58,152,2075,154,280,303,1245,20,61,196,2262,161,355,396,1393,22,118,505,2954,583,1345,1463,6250,167,348,1205,11369,0,0,0,0,0,0,97,97,0,0,0,9,0,3,99,106,0,0,0,8,0,0,200,214,0,0,4,8,0,0,221,233,0,3,0,8,0,3,269,282,0,0,3,10,0,0,341,359,0,0,4,19,0,3,449,475,0,5,20,64,3,8,1675,1770,0,0,5,90,28,12,232,365,Upper Goulburn Valley
20402,0,0,0,3,0,0,3,7,0,0,0,9,3,0,0,13,0,0,4,13,3,0,4,19,0,0,4,6,3,0,3,24,0,3,3,8,0,0,3,22,0,0,0,6,0,0,0,12,0,0,0,3,0,0,4,10,0,8,13,51,4,3,21,96,0,0,4,70,20,4,84,186,3,39,43,339,19,16,37,496,71,215,138,746,33,29,60,1295,95,249,212,817,20,54,88,1536,107,208,253,980,18,42,119,1732,145,302,293,938,18,51,149,1892,125,260,365,1024,18,81,495,2354,538,1264,1313,4912,150,272,1035,9486,0,0,0,0,0,0,84,79,0,0,0,6,0,0,66,67,0,0,0,7,0,0,117,124,0,0,0,6,0,0,141,154,0,3,0,13,0,0,166,179,3,0,3,4,0,0,209,228,3,0,3,10,0,0,370,392,9,7,10,53,3,3,1147,1223,0,0,4,73,20,4,165,268,Wangaratta - Benalla
20403,0,0,0,6,4,0,4,11,0,0,4,18,0,0,4,25,0,5,7,33,3,0,5,48,0,0,3,14,0,0,11,32,0,3,5,13,3,0,10,31,3,4,4,3,0,3,0,22,0,0,3,6,0,0,6,20,3,22,16,88,11,3,47,190,0,0,3,115,35,5,115,272,0,71,69,601,63,37,55,891,94,363,302,1456,42,57,140,2452,177,491,367,1351,41,55,173,2664,244,348,483,1525,25,75,185,2877,236,427,493,1361,39,79,208,2839,218,350,469,1338,27,114,534,3046,970,2053,2187,7737,271,415,1409,15039,0,0,0,0,0,0,112,111,0,0,0,11,0,0,152,165,0,0,0,15,0,0,246,268,0,3,4,7,0,0,254,264,0,0,3,13,0,0,285,302,4,3,0,3,0,3,323,336,0,3,3,18,0,0,374,395,5,12,7,62,5,3,1747,1846,0,0,3,120,36,5,230,404,Wodonga - Alpine
