sa3_name16,sa3_code16,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total
Clarence Valley,10401,8002,4596,3852,4847,6267,7640,6837,3745,1540,47321,10,20,12,17,14,7,21,10,0,106,229,341,265,196,301,453,499,199,68,2557,5,4,21,6,24,124,324,101,15,626,66,62,100,82,91,150,114,39,9,719,7,0,3,4,13,24,30,6,0,85,8,3,11,6,3,5,10,0,0,38,3,0,4,0,4,7,11,5,0,35,0,0,0,3,0,0,0,0,0,12,0,0,0,4,0,23,33,3,0,70,0,0,0,0,0,3,0,0,0,3,316,417,401,307,436,800,1020,366,93,4151,322,439,404,322,455,813,1040,374,93,4261,26,43,29,16,19,27,21,13,0,191,8352,5079,4283,5188,6737,8474,7899,4125,1635,51763
Coffs Harbour,10402,15197,8501,8053,9075,10874,12147,9465,5455,2316,81073,24,18,22,21,14,17,11,18,7,155,389,525,496,381,498,686,737,336,119,4163,35,30,58,37,41,175,444,175,20,1006,75,82,108,75,89,173,162,33,7,808,3,5,6,3,12,29,65,20,6,152,6,3,19,10,13,19,16,10,0,89,4,0,3,6,8,8,58,5,3,106,0,5,3,3,3,0,0,0,0,23,7,4,5,3,3,21,47,27,3,120,0,0,0,0,0,3,0,0,0,4,513,657,696,516,664,1115,1535,620,152,6473,538,672,720,536,678,1130,1545,635,164,6621,53,171,201,68,59,85,63,20,0,722,15786,9343,8971,9680,11604,13366,11072,6107,2483,88424
Bourke - Cobar - Coonamble,10501,4866,2189,2826,2462,3087,2977,2213,1225,408,22261,21,12,16,18,15,17,7,3,3,116,107,228,281,177,286,340,307,104,24,1864,15,8,16,13,33,108,186,60,4,433,15,13,18,16,57,51,60,8,0,236,3,3,3,12,10,32,86,14,0,154,3,4,0,15,11,20,26,0,0,84,0,0,0,3,3,14,12,0,0,31,0,0,0,0,3,0,0,0,0,3,4,3,9,5,7,4,3,0,0,37,0,0,0,0,0,0,0,0,0,0,141,261,325,243,405,567,687,184,34,2841,165,269,342,257,420,581,693,191,35,2960,0,15,19,4,3,8,4,0,0,61,5028,2482,3189,2722,3516,3573,2914,1418,447,25281
Broken Hill and Far West,10502,3262,1964,2203,1999,2471,2780,2107,1224,578,18589,15,14,10,8,4,7,7,10,0,79,98,209,193,126,189,207,175,52,16,1276,4,16,23,15,41,89,104,15,3,311,4,15,16,13,17,18,18,0,0,102,6,21,42,34,51,56,67,8,4,285,3,0,0,7,3,0,30,0,0,43,0,0,0,0,8,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,3,3,0,21,0,0,0,0,0,0,0,0,0,0,116,270,277,185,310,388,414,86,26,2063,128,280,291,192,312,398,420,89,26,2140,0,18,10,10,14,16,18,6,0,87,3400,2266,2500,2202,2793,3183,2546,1328,606,20813
Dubbo,10503,13674,7435,7868,7371,8274,8396,6513,3854,1564,64950,29,18,14,10,12,23,21,20,4,149,440,607,550,423,467,530,398,247,89,3759,22,21,44,46,51,106,160,43,0,488,51,26,57,30,40,70,52,5,3,330,6,5,11,5,11,23,50,7,0,119,0,0,3,4,4,10,13,0,0,46,0,0,0,4,8,7,24,3,0,40,0,0,5,4,0,3,0,0,0,14,0,12,3,4,9,11,5,4,0,45,0,0,0,0,0,0,0,0,0,0,519,673,670,519,586,755,709,318,94,4849,546,690,689,528,605,782,724,336,102,4994,30,64,59,11,36,44,18,3,5,265,14245,8188,8614,7905,8911,9221,7257,4191,1670,70209
Lower Hunter,10601,17422,10314,10203,10450,11096,10654,7799,3778,1499,83215,33,30,21,21,17,18,14,3,3,156,404,599,572,385,432,405,305,146,71,3327,14,32,19,10,17,15,19,7,0,134,6,88,73,39,69,55,47,3,0,393,0,11,6,3,10,14,12,0,0,52,3,9,13,3,7,5,8,0,0,50,0,5,0,0,0,11,11,0,0,25,0,7,12,3,0,3,0,0,0,19,0,7,5,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,426,757,698,444,541,507,403,163,71,4019,458,789,718,470,558,526,419,169,78,4172,25,53,71,24,33,20,23,7,3,263,17897,11154,10992,10943,11683,11204,8239,3961,1579,87656
Maitland,10602,15828,8779,9634,9384,9107,8006,5809,2966,1192,70705,12,7,6,9,8,11,6,3,3,66,272,474,375,236,227,212,179,123,66,2166,3,3,10,4,11,6,7,0,0,51,11,15,18,20,28,25,14,0,3,131,0,0,0,0,0,3,3,3,0,18,0,0,3,3,3,3,4,0,0,20,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,293,499,408,262,268,256,215,122,66,2405,310,507,420,270,279,263,221,133,72,2468,12,34,31,9,13,37,34,4,0,186,16148,9330,10082,9670,9403,8300,6063,3098,1260,73362
Port Stephens,10603,12213,7220,6104,7413,8925,9334,9168,4813,1742,66933,10,24,13,11,11,15,11,15,0,114,276,388,415,287,339,491,431,228,64,2916,6,7,30,14,19,66,121,39,7,317,8,30,49,31,50,42,40,7,3,259,0,7,6,3,8,20,22,3,0,71,4,4,7,4,3,3,13,0,0,46,0,0,3,3,6,24,5,3,0,41,0,7,3,3,0,3,0,0,0,14,9,3,12,23,13,20,12,12,0,109,0,0,0,0,0,0,0,0,0,0,314,451,525,359,447,677,638,293,73,3783,324,473,542,377,452,689,649,314,78,3898,40,40,42,24,30,40,34,12,4,258,12582,7730,6680,7815,9405,10069,9851,5129,1826,71089
Upper Hunter,10604,6384,3172,3724,3719,3931,3394,2477,1375,525,28702,9,7,4,5,4,13,3,5,0,52,113,182,236,135,140,220,104,37,20,1192,0,7,3,3,5,9,13,3,0,40,10,10,16,11,21,23,10,5,0,101,0,0,3,3,0,4,4,3,0,15,0,3,5,3,0,3,4,0,0,17,0,3,0,0,0,0,0,0,0,9,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,121,199,266,158,170,257,136,52,20,1384,129,211,275,160,171,268,139,59,24,1443,9,75,39,8,6,13,16,3,0,163,6523,3457,4036,3884,4106,3671,2630,1438,554,30304
Dapto - Port Kembla,10701,14049,8946,8477,8990,9611,8825,6919,4639,1841,72296,9,16,16,12,13,12,13,14,4,110,273,335,353,230,193,199,126,96,52,1859,0,10,6,4,3,11,6,6,3,42,4,3,12,6,6,15,8,6,0,59,3,0,0,3,0,0,0,0,0,6,3,0,0,3,0,3,5,0,0,18,0,0,0,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,285,349,371,252,215,228,147,106,48,2009,298,364,390,263,229,238,163,122,55,2121,18,51,43,18,23,37,27,13,3,229,14364,9355,8907,9268,9863,9108,7111,4776,1905,74649
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8
Kiama - Shellharbour,10703,16800,10717,9296,10465,11545,11219,8707,4805,1968,85522,22,21,10,10,10,15,8,16,9,110,309,439,388,265,269,320,246,148,87,2463,6,11,29,13,22,10,19,9,3,115,7,8,11,8,10,12,14,10,0,90,0,0,3,0,0,3,3,0,0,16,0,0,7,3,0,5,0,0,0,27,0,0,0,0,0,3,12,0,0,16,0,0,3,0,0,0,0,0,0,7,4,3,4,4,9,18,4,3,0,43,0,0,0,0,0,0,0,0,0,0,323,470,445,295,309,374,301,169,86,2781,340,487,457,311,322,393,306,183,94,2895,31,65,49,23,28,35,24,8,0,269,17170,11270,9799,10799,11894,11652,9038,4995,2059,88679
Wollongong,10704,21590,18197,16089,15864,15787,14163,10557,6735,3116,122100,11,22,23,14,13,12,17,5,13,128,393,979,798,474,474,398,381,291,216,4413,9,24,52,17,22,31,27,5,3,192,9,28,36,20,23,36,16,10,0,176,0,3,5,10,9,9,8,0,0,52,3,4,8,11,11,9,11,0,0,56,0,0,3,3,5,10,3,8,0,36,0,7,3,4,0,3,0,0,0,10,3,29,27,17,19,9,5,4,0,110,0,0,0,0,0,0,0,0,0,0,417,1069,944,561,563,504,456,319,217,5040,430,1092,965,572,572,521,468,327,231,5172,122,618,215,125,131,153,76,31,6,1461,22142,19905,17266,16560,16496,14831,11105,7091,3352,128736
Great Lakes,10801,4298,2380,2006,2614,3592,4628,5117,3153,1378,29173,9,3,3,3,5,3,10,5,4,58,125,149,133,158,183,261,335,152,60,1559,8,3,8,17,15,70,114,47,3,282,6,17,9,10,17,30,12,3,3,103,0,0,0,0,3,11,21,11,4,48,0,0,3,0,10,9,0,0,0,19,0,0,0,0,0,7,17,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,8,3,4,0,32,0,0,0,0,0,0,0,0,0,0,137,169,163,182,228,394,508,220,71,2075,142,173,173,186,239,399,514,228,73,2127,7,12,12,5,12,8,14,9,3,85,4457,2560,2193,2808,3842,5039,5645,3388,1456,31381
Kempsey - Nambucca,10802,7922,4426,3822,4429,5819,7533,6550,3417,1509,45434,32,18,12,12,13,25,7,11,7,133,180,240,274,195,208,402,397,121,47,2074,15,11,20,13,29,96,170,56,10,411,24,38,30,36,64,68,42,8,0,311,0,0,0,0,0,16,33,3,0,52,0,0,5,11,3,9,0,0,0,31,3,0,5,0,6,3,21,0,0,36,0,0,0,0,0,3,0,0,0,7,3,0,0,4,10,13,14,3,0,48,0,0,0,0,0,0,0,0,0,0,220,292,334,257,316,611,680,196,60,2967,250,312,343,269,329,630,694,205,68,3103,12,35,57,9,17,19,18,3,3,174,8190,4767,4224,4708,6170,8188,7256,3625,1581,48705
