sa3_code16,sa3_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
50603,Canning,44.097,35.852,79.947,25000.0,19152.0,21915.0
50604,Gosnells,53.425,40.216,93.648,31522.0,22361.0,26722.0
50605,Kalamunda,25.041999999999998,21.364,46.406000000000006,41000.0,23871.0,31405.0
50606,Serpentine - Jarrahdale,11.878,9.627,21.508000000000003,41297.0,22995.0,30820.0
50607,South Perth,19.319000000000003,17.739,37.056999999999995,32397.0,21500.0,26250.0
50701,Cockburn,46.903999999999996,40.478,87.37700000000001,39796.0,23047.0,30000.0
40101,Adelaide City,10.325999999999999,9.189,19.522000000000002,21882.0,16108.0,18998.0
40102,Adelaide Hills,27.869,27.789,55.659,34543.0,20233.0,26042.0
40105,Norwood - Payneham - St Peters,14.204,14.780999999999999,28.984,29700.0,20816.0,24646.0
40107,Unley,14.817,16.18,30.997,33699.0,22426.0,26958.0
40201,Gawler - Two Wells,12.477,12.083,24.561999999999998,37634.0,22653.0,28638.0
40202,Playford,29.076,23.524,52.595,32308.0,22133.0,26683.0
40203,Port Adelaide - East,24.781,22.153000000000002,46.935,29384.0,22776.0,25800.0
40204,Salisbury,48.408,41.398,89.80799999999999,33981.0,23592.0,28054.0
40205,Tea Tree Gully,34.427,34.283,68.707,40382.0,25380.0,31350.0
40303,Mitcham,23.449,24.728,48.175,35932.0,22966.0,27733.0
40304,Onkaparinga,60.422,57.978,118.406,34160.0,23106.0,27780.0
40401,Charles Sturt,40.489000000000004,39.349000000000004,79.837,32253.0,23361.0,27255.0
40402,Port Adelaide - West,21.344,19.547,40.889,32004.0,24509.0,27787.0
50702,Fremantle,17.7,17.132,34.824,28283.0,18373.0,22395.0
50703,Kwinana,17.447,13.249,30.697,33876.0,22191.0,27708.0
50704,Melville,43.071999999999996,41.278999999999996,84.345,37209.0,20859.0,27452.0
50705,Rockingham,55.839,43.108999999999995,98.941,40938.0,21523.0,29822.0
50901,Albany,25.607,23.397,49.00899999999999,21808.0,14873.0,18002.0
50902,Wheat Belt - North,23.23,20.133,43.368,29624.0,17456.0,22564.0
50903,Wheat Belt - South,9.446,8.149,17.596,22161.0,14981.0,18516.0
51001,Kimberley,14.879000000000001,14.274000000000001,29.153000000000002,17358.0,14125.0,15623.0
51002,East Pilbara,10.649000000000001,8.196,18.847,52115.0,18124.0,31129.0
40103,Burnside,16.46,17.227999999999998,33.689,35758.0,21410.0,27264.0
40104,Campbelltown (SA),17.864,17.979,35.846,31462.0,22836.0,26400.0
51003,West Pilbara,14.234000000000002,10.982999999999999,25.213,60636.0,20017.0,35181.0
51101,Esperance,7.235,6.26,13.493,27922.0,15640.0,20918.0
40106,Prospect - Walkerville,11.309000000000001,11.242,22.551,32583.0,24200.0,27749.0
51104,Mid West,22.479,19.739,42.208999999999996,31196.0,17820.0,23786.0
60101,Brighton,5.595,5.403,11.001,35768.0,23212.0,28270.0
60102,Hobart - North East,18.53,19.613,38.146,34747.0,23636.0,28245.0
60103,Hobart - North West,18.695,17.555999999999997,36.253,30425.0,22718.0,25964.0
60104,Hobart - South and West,11.958,12.777999999999999,24.728,34013.0,22038.0,26794.0
60105,Hobart Inner,21.914,22.811999999999998,44.729,23000.0,17344.0,19855.0
60106,Sorell - Dodges Ferry,6.159,5.903,12.067,28844.0,20541.0,24145.0
60201,Launceston,29.697,29.02,58.715,28434.0,19991.0,23371.0
60202,Meander Valley - West Tamar,8.507,7.76,16.262999999999998,24496.0,16781.0,20003.0
60203,North East,13.758,12.37,26.127,24396.0,15827.0,19591.0
60301,Central Highlands (Tas.),4.65,3.736,8.389,21383.0,15562.0,18157.0
60302,Huon - Bruny Island,7.53,6.849,14.377,19897.0,14063.0,16929.0
60303,South East Coast,2.398,2.2840000000000003,4.678999999999999,18351.0,13023.0,15398.0
60402,Devonport,16.742,15.800999999999998,32.544000000000004,26456.0,16720.0,20597.0
60403,West Coast,7.313,6.422999999999999,13.731,27191.0,15345.0,20111.0
70101,Darwin City,21.474,17.354,38.83,22197.0,14011.0,17875.0
70102,Darwin Suburbs,28.916,25.612,54.526,30834.0,22836.0,26607.0
70103,Litchfield,10.448,8.301,18.750999999999998,35805.0,23175.0,28948.0
70104,Palmerston,18.119,15.549000000000001,33.662,44685.0,23880.0,33163.0
40301,Holdfast Bay,13.2,13.85,27.055,33158.0,22778.0,27000.0
40302,Marion,33.408,33.774,67.17699999999999,33198.0,23913.0,27874.0
60401,Burnie - Ulverstone,17.039,15.412,32.455,30474.0,19903.0,24173.0
70201,Alice Springs,15.672,16.002,31.675,19696.0,15804.0,17584.0
70202,Barkly,1.723,1.49,3.214,17879.0,17573.0,17654.0
70203,Daly - Tiwi - West Arnhem,2.7939999999999996,2.33,5.124,21028.0,14170.0,17323.0
70204,East Arnhem,2.6689999999999996,2.484,5.153,32105.0,19237.0,24483.0
70205,Katherine,6.347,5.746,12.094000000000001,20800.0,16465.0,18489.0
80101,Belconnen,40.544000000000004,39.348,79.89699999999999,36252.0,27863.0,31559.0
80103,Canberra East,0.5329999999999999,0.375,0.9059999999999999,26435.0,18595.0,22843.0
80104,Gungahlin,31.253,30.697,61.948,44475.0,29209.0,35881.0
80105,North Canberra,23.186,22.859,46.049,31611.0,23440.0,27060.0
80106,South Canberra,12.253,12.37,24.628,48643.0,36709.0,41679.0
80107,Tuggeranong,36.412,36.24,72.65,42802.0,32458.0,37307.0
80108,Weston Creek,8.74,8.936,17.68,44516.0,33588.0,38296.0
80109,Woden Valley,14.245,14.277999999999999,28.522,38053.0,31912.0,35000.0
80110,Molonglo,1.8840000000000001,1.965,3.847,52686.0,42382.0,47383.0
80111,Urriarra - Namadgi,0.24600000000000002,0.218,0.462,31373.0,33353.0,33330.0
