SA3_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA3_NAME11
31106,6375,12829,212,1308,768,3916,397,1950,4601,18416,5978,25590,398,1697,557,1862,1634,5221,2589,8780,8567,34370,84,430,301,1149,225,857,2016,5715,2626,8151,152,504,330,749,1454,3156,1936,4409,4562,12560,407,875,19911,60634,Springwood - Kingston
31201,3286,6411,69,368,318,1445,150,698,2796,11194,3333,13705,115,464,156,448,576,1756,847,2668,4180,16373,19,72,50,212,42,149,419,1099,530,1532,24,80,56,123,279,585,359,788,889,2320,74,157,8429,25261,Bowen Basin - North
31802,17139,33216,329,1803,1949,9020,708,3181,11565,44390,14551,58394,781,3136,1515,4896,2888,8865,5184,16897,19735,75291,114,559,563,2037,379,1385,3618,9848,4674,13829,238,735,704,1555,2032,4317,2974,6607,7648,20436,818,1731,45340,130674,Townsville
31901,10997,21619,176,1010,881,4157,357,1673,4575,18087,5989,24927,276,1104,553,1729,1546,4751,2375,7584,8364,32511,59,283,261,954,199,719,1897,5367,2416,7323,111,338,301,653,1159,2470,1571,3461,3987,10784,267,546,23615,65460,Bundaberg
31902,6116,12049,86,470,459,2137,222,1044,2740,11266,3507,14917,121,482,274,829,758,2319,1153,3630,4660,18547,21,96,143,570,101,401,1017,2974,1282,4041,40,131,138,292,558,1153,736,1576,2018,5617,189,399,12983,36612,Burnett
31903,6026,11818,89,519,462,2197,181,825,2585,10438,3317,13979,143,570,289,879,750,2278,1182,3727,4499,17706,24,112,181,647,103,382,1019,2849,1327,3990,50,169,150,318,522,1080,722,1567,2049,5557,150,299,12724,35380,Gympie - Cooloola
31904,7307,14450,83,451,531,2476,209,914,2739,10811,3562,14652,156,641,355,1108,865,2623,1376,4372,4938,19024,36,152,183,653,131,461,1379,3872,1729,5138,68,217,219,461,670,1407,957,2085,2686,7223,129,267,15060,40964,Hervey Bay
31905,5693,11175,75,452,396,1881,177,794,2239,8891,2887,12018,137,537,261,812,728,2191,1126,3540,4013,15558,31,139,162,600,109,387,935,2587,1237,3713,40,125,145,298,555,1165,740,1588,1977,5301,140,286,11823,32320,Maryborough
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
39999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Qld)
40101,2123,4132,3,19,51,218,3,17,461,1592,518,1846,30,111,82,274,93,280,205,665,723,2511,0,0,18,64,6,14,130,300,154,378,14,45,77,166,110,212,201,423,355,801,227,474,3428,7918,Adelaide City
40102,7515,14750,143,783,1000,4524,229,1000,4978,19525,6350,25832,539,2206,941,3170,1470,4512,2950,9888,9300,35720,28,129,199,661,65,198,959,2426,1251,3414,113,348,291,633,680,1406,1084,2387,2335,5801,137,292,19287,56563,Adelaide Hills
40105,3696,7270,32,153,316,1408,36,153,1918,7153,2302,8867,182,727,389,1350,496,1568,1067,3645,3369,12512,9,43,95,286,18,75,434,1035,556,1439,51,150,209,452,477,1003,737,1605,1293,3044,278,588,8636,23414,Norwood - Payneham - St Peters
40106,2619,5197,41,215,299,1354,32,146,1784,6764,2156,8479,179,734,401,1411,477,1492,1057,3637,3213,12116,8,25,63,209,17,60,292,695,380,989,45,141,128,273,335,723,508,1137,888,2126,177,362,6897,19801,Prospect - Walkerville
40703,8370,16513,132,708,743,3409,234,1081,3735,14827,4844,20025,282,1143,553,1762,1141,3525,1976,6430,6820,26455,33,150,197,692,127,461,1324,3707,1681,5010,76,245,245,515,821,1703,1142,2463,2823,7473,234,499,18247,50940,Murray and Mallee
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (SA)
40104,5167,10284,87,475,564,2556,131,593,3054,11665,3836,15289,374,1584,603,2112,1238,3946,2215,7642,6051,22931,23,110,158,528,54,192,629,1587,864,2417,94,299,289,663,767,1664,1150,2626,2014,5043,259,544,13491,38802,Campbelltown (SA)
40702,7584,14921,123,655,766,3456,212,939,4107,16280,5208,21330,228,909,491,1525,1046,3166,1765,5600,6973,26930,24,116,201,701,75,254,1232,3285,1532,4356,70,198,204,440,693,1448,967,2086,2499,6442,176,353,17232,48646,Limestone Coast
50101,4887,9463,66,324,495,2188,157,681,3004,11539,3722,14732,170,657,259,783,629,1835,1058,3275,4780,18007,10,49,129,421,53,168,792,2055,984,2693,56,162,143,294,385,790,584,1246,1568,3939,88,167,11323,31576,Augusta - Margaret River - Busselton
50102,10307,20127,201,1067,983,4472,489,2183,6400,24954,8073,32676,433,1707,653,1977,1899,5747,2985,9431,11058,42107,44,184,279,936,178,612,1835,4931,2336,6663,130,391,294,618,1063,2211,1487,3220,3823,9883,260,549,25448,72666,Bunbury
50103,2952,5723,39,199,240,1084,77,350,1400,5587,1756,7220,50,199,148,441,357,1068,555,1708,2311,8928,4,12,64,232,28,104,378,1001,474,1349,21,65,64,131,198,414,283,610,757,1959,47,99,6067,16709,Manjimup
40107,3690,7246,61,345,419,1825,37,157,2357,8955,2874,11282,217,886,489,1685,561,1725,1267,4296,4141,15578,8,26,80,227,23,66,398,928,509,1247,53,170,184,411,407,837,644,1418,1153,2665,199,416,9183,25905,Unley
40201,3392,6706,86,489,397,1801,128,591,2057,7963,2668,10844,219,888,343,1134,739,2314,1301,4336,3969,15180,14,75,135,437,50,162,617,1648,816,2322,63,191,154,334,397,834,614,1359,1430,3681,90,186,8881,25753,Gawler - Two Wells
40202,7035,14031,192,1123,895,4390,341,1552,4590,18237,6018,25302,382,1605,573,1937,1630,5159,2585,8701,8603,34003,99,471,376,1424,247,893,2792,7762,3514,10550,147,462,376,824,1408,3038,1931,4324,5445,14874,355,740,21438,63648,Playford
40203,5967,11900,84,494,541,2600,137,601,3808,14372,4570,18067,255,1056,429,1501,1016,3234,1700,5791,6270,23858,52,238,218,820,98,340,1196,3222,1564,4620,137,451,320,722,1058,2269,1515,3442,3079,8062,401,865,15717,44685,Port Adelaide - East
