gml_id,sa3_code16,f_tot_lf_15_19_yr,f_tot_lf_20_24_yr,f_tot_lf_25_34_yr,f_tot_lf_35_44_yr,f_tot_lf_45_54_yr,f_tot_lf_55_64_yr,f_tot_lf_65_74_yr,f_tot_lf_75_84_yr,f_tot_lf_85,f_tot_lf_tot,f_n_the_lf_15_19,f_n_the_lf_20_24,f_n_the_lf_25_34,f_n_the_lf_35_44,f_n_the_lf_45_54,f_n_the_lf_55_64,f_n_the_lf_65_74,f_n_the_lf_75_84,f_n_the_lf_85,f_n_the_lf_tot,f_lf_st_ns_15_19,f_lf_st_ns_20_24,f_lf_st_ns_25_34,f_lf_st_ns_35_44,f_lf_st_ns_45_54,f_lf_st_ns_55_64,f_lf_st_ns_65_74,f_lf_st_ns_75_84,f_lf_st_ns_85,f_lf_st_ns_total,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_emp_wrk_ft_15_19,p_emp_wrk_ft_20_24,p_emp_wrk_ft_25_34,p_emp_wrk_ft_35_44,p_emp_wrk_ft_45_54,p_emp_wrk_ft_55_64,p_emp_wrk_ft_65_74,p_emp_wrk_ft_75_84,p_emp_wrk_ft_85,p_emp_wrk_ft_tot,p_emp_wrk_pt_15_19,p_emp_wrk_pt_20_24,p_emp_wrk_pt_25_34,p_emp_wrk_pt_35_44,p_emp_wrk_pt_45_54,p_emp_wrk_pt_55_64,p_emp_wrk_pt_65_74,p_emp_wrk_pt_75_84,p_emp_wrk_pt_85,p_emp_wrk_pt_tot,p_emp_a_f_wrk_15_19,p_emp_a_f_wrk_20_24,p_emp_a_f_wrk_25_34,p_emp_a_f_wrk_35_44,p_emp_a_f_wrk_45_54,p_emp_a_f_wrk_55_64,p_emp_a_f_wrk_65_74,p_emp_a_f_wrk_75_84,p_emp_a_f_wrk_85,p_emp_a_f_wrk_tot,p_hr_wrk_ns_15_19,p_hr_wrk_ns_20_24,p_hr_wrk_ns_25_34,p_hr_wrk_ns_35_44,p_hr_wrk_ns_45_54,p_hr_wrk_ns_55_64,p_hr_wrk_ns_65_74,p_hr_wrk_ns_75_84,p_hr_wrk_ns_85,p_hr_wrk_ns_tot,p_tot_emp_15_19,p_tot_emp_20_24,p_tot_emp_25_34,p_tot_emp_35_44,p_tot_emp_45_54,p_tot_emp_55_64,p_tot_emp_65_74,p_tot_emp_75_84,p_tot_emp_85_over,p_tot_emp_tot,p_ue_lk_fr_ft_wrk_15_19,p_ue_lk_fr_ft_wrk_20_24,p_ue_lk_fr_ft_wrk_25_34,p_ue_lk_fr_ft_wrk_35_44,p_ue_lk_fr_ft_wrk_45_54,p_ue_lk_fr_ft_wrk_55_64,p_ue_lk_fr_ft_wrk_65_74,p_ue_lk_fr_ft_wrk_75_84,p_ue_lk_for_ft_wrk_85,p_ue_looking_for_ft_wk_tot,p_ue_lk_for_pt_wk_15_19,p_ue_lk_for_pt_wk_20_24,p_ue_lk_for_pt_wk_25_34,p_ue_lk_for_pt_wk_35_44,p_ue_lk_for_pt_wk_45_54,p_ue_lk_for_pt_wk_55_64,p_ue_lk_for_pt_wk_65_74,p_ue_lk_for_pt_wk_75_84,p_ue_looking_for_pt_wk_85,p_ue_lk_for_pt_wrk_tot,p_tot_unemp_15_19,p_tot_unemp_20_24,p_tot_unemp_25_34,p_tot_unemp_35_44,p_tot_unemp_45_54,p_tot_unemp_55_64,p_tot_unemp_65_74,p_tot_unemp_75_84,p_tot_unemp_85,p_tot_unemp_total,p_tot_lf_15_19_yr,p_tot_lf_20_24_yr,p_tot_lf_25_34_yr,p_tot_lf_35_44_yr,p_tot_lf_45_54_yr,p_tot_lf_55_64_yr,p_tot_lf_65_74_yr,p_tot_lf_75_84_yr,p_tot_lf_85,p_tot_lf_tot,p_n_the_lf_15_19,p_n_the_lf_20_24,p_n_the_lf_25_34,p_n_the_lf_35_44,p_n_the_lf_45_54,p_n_the_lf_55_64,p_n_the_lf_65_74,p_n_the_lf_75_84,p_n_the_lf_85,p_n_the_lf_tot,p_lf_st_ns_15_19,p_lf_st_ns_20_24,p_lf_st_ns_25_34,p_lf_st_ns_35_44,p_lf_st_ns_45_54,p_lf_st_ns_55_64,p_lf_st_ns_65_74,p_lf_st_ns_75_84,p_lf_st_ns_85,p_lf_st_ns_total,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63ac,"20201","1716","2669","4586","4283","4506","3410","556","43","20","21790","1168","781","1450","1237","1165","2120","3578","2437","1293","15223","175","191","377","299","320","334","302","295","316","2606","3061","3637","6411","5821","5993","5857","4436","2775","1620","39619","450","2308","5937","5150","5469","3666","443","39","15","23474","1961","2110","2538","2724","2656","2585","786","89","13","15461","114","177","455","299","267","299","82","7","0","1700","82","133","122","123","108","102","32","13","4","723","2610","4726","9060","8295","8497","6656","1345","148","24","41362","168","347","378","300","239","180","7","3","0","1618","417","288","208","188","123","113","26","3","0","1368","579","629","589","488","363","292","35","5","0","2984","3194","5359","9648","8783","8863","6941","1379","158","24","44351","2585","1308","1984","1770","1924","3523","6377","4348","2001","25813","328","377","734","585","651","659","612","525","466","4930","6103","7042","12365","11143","11433","11121","8370","5024","2494","75097",Bendigo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63ab,"20202","590","643","1311","2133","2833","2056","500","63","19","10154","600","182","426","617","617","1322","2221","1207","539","7724","75","54","138","199","219","275","235","172","152","1514","1261","882","1878","2947","3673","3654","2948","1438","705","19386","179","681","1606","2403","3203","2233","420","65","12","10817","774","520","847","1484","1861","1707","640","100","24","7949","40","30","105","164","179","204","67","10","0","796","37","24","48","57","82","60","26","11","5","351","1031","1256","2610","4113","5319","4209","1151","185","42","19922","50","78","96","105","115","141","4","3","0","599","120","31","45","65","89","96","24","6","0","471","166","105","145","170","206","243","27","9","0","1071","1196","1363","2754","4284","5524","4451","1185","192","42","20991","1300","396","837","1044","1116","2281","4249","2266","891","14381","173","114","255","353","455","522","477","314","210","2887","2679","1877","3847","5676","7092","7264","5903","2777","1142","38261",Heathcote - Castlemaine - Kyneton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63aa,"20203","118","127","247","419","585","493","133","22","6","2150","177","44","133","120","195","346","477","314","137","1937","29","10","35","53","64","73","69","47","22","404","321","188","413","592","842","911","674","379","166","4492","54","147","331","537","700","675","176","36","3","2652","143","74","146","282","374","356","132","39","5","1548","9","11","32","19","46","46","9","3","3","178","8","6","25","21","28","28","14","3","3","133","211","244","534","852","1144","1103","330","80","17","4518","13","28","20","17","38","34","3","0","0","160","25","12","5","11","18","6","0","0","0","68","38","37","26","24","54","42","3","0","0","228","252","286","558","878","1204","1150","332","80","17","4748","342","72","172","203","315","652","1037","568","245","3608","59","34","71","107","133","157","159","97","44","863","654","391","799","1191","1655","1953","1534","745","297","9214",Loddon - Elmore
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a9,"20301","280","298","723","1039","1082","705","176","10","5","4325","248","59","217","270","258","437","576","295","155","2518","28","27","42","54","57","65","47","28","11","360","564","385","979","1362","1396","1203","803","338","176","7203","105","323","931","1313","1392","890","202","19","4","5187","327","252","389","704","720","564","235","29","7","3237","14","16","98","72","60","58","36","3","0","354","23","16","25","41","34","29","8","7","0","189","471","612","1443","2131","2209","1546","483","62","18","8971","39","30","29","28","47","39","0","0","0","212","51","21","17","24","26","17","4","0","0","158","92","51","52","53","70","56","4","0","0","371","558","661","1488","2186","2279","1604","486","64","18","9341","602","127","265","338","360","736","1103","563","234","4326","56","43","78","117","118","126","96","50","26","710","1217","839","1834","2646","2757","2467","1681","670","278","14381",Barwon - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a8,"20302","3193","5024","9276","9002","9327","6416","1084","80","30","43436","2539","1324","2770","2497","2526","4369","7176","5020","2809","31020","282","377","614","536","638","577","544","558","470","4586","6011","6734","12656","12033","12484","11357","8802","5655","3310","79044","689","4180","12334","11075","11492","7202","922","71","12","47985","3800","4358","4923","5697","5537","4811","1496","167","18","30802","225","303","820","618","499","519","128","14","3","3125","154","230","345","260","261","184","51","18","14","1514","4867","9077","18414","17650","17786","12718","2600","262","50","83423","272","605","791","566","617","421","17","8","0","3297","815","544","403","350","265","268","52","9","0","2710","1088","1153","1193","913","885","691","70","12","4","6005","5951","10226","19609","18564","18668","13409","2669","274","60","89431","5612","2707","4273","3826","4077","7085","12829","8752","4397","53559","556","754","1280","1078","1232","1119","1044","939","686","8686","12123","13686","25159","23464","23979","21614","16540","9961","5141","151676",Geelong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a7,"20303","981","1061","2783","3602","3984","2946","605","51","6","16022","732","205","691","878","672","1943","3462","1966","1007","11558","72","68","194","204","221","262","240","175","98","1532","1777","1337","3670","4683","4876","5148","4314","2198","1117","29107","258","993","3466","4369","4549","3015","448","39","3","17141","1227","1006","1492","2476","2524","2526","913","115","16","12291","78","61","292","230","224","211","72","8","0","1181","47","55","87","88","96","79","31","16","3","497","1609","2115","5332","7163","7392","5833","1469","173","19","31107","63","106","132","155","176","152","3","3","0","791","232","74","77","115","100","125","28","6","0","760","293","186","211","265","277","278","35","7","0","1552","1898","2303","5547","7426","7671","6105","1505","185","21","32661","1693","398","907","1172","1040","3156","6283","3621","1602","19871","151","156","351","426","442","491","467","301","153","2954","3742","2853","6806","9030","9156","9756","8256","4103","1781","55482",Surf Coast - Bellarine Peninsula
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a6,"20401","712","984","1845","2290","2865","2374","615","76","13","11776","721","236","596","659","715","1433","2443","1460","666","8933","136","154","241","284","310","319","284","220","124","2062","1570","1370","2683","3229","3894","4121","3341","1760","805","22773","374","1347","2659","2838","3552","2757","641","95","28","14295","845","592","1034","1455","1700","1790","766","137","24","8349","40","66","185","163","194","233","86","25","6","996","52","73","94","84","126","90","44","15","8","579","1315","2077","3972","4539","5567","4874","1531","273","61","24216","76","100","140","130","166","136","12","3","0","754","95","46","68","78","78","101","12","0","0","484","173","146","213","207","245","241","18","3","0","1237","1491","2224","4185","4739","5809","5109","1552","279","61","25454","1599","471","790","913","1189","2484","4784","2706","1086","16023","261","335","537","593","665","692","606","387","203","4270","3351","3035","5504","6252","7665","8285","6938","3369","1352","45747",Upper Goulburn Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a5,"20402","684","724","1581","1989","2497","2134","455","73","17","10150","500","199","484","515","569","1161","2153","1447","792","7810","87","77","117","167","205","218","213","182","216","1483","1276","1004","2180","2672","3274","3505","2813","1701","1020","19451","254","859","2006","2303","3076","2330","497","91","18","11440","843","498","872","1279","1488","1569","557","97","17","7221","53","61","157","136","131","203","50","11","4","807","38","43","66","70","63","62","31","16","0","393","1193","1463","3098","3787","4766","4165","1134","215","40","19857","49","118","122","101","113","105","5","0","0","607","96","47","54","71","50","87","15","0","0","415","144","159","176","173","161","191","17","0","0","1027","1336","1621","3272","3955","4924","4355","1152","218","40","20878","1113","323","686","761","911","1976","3946","2601","1251","13563","180","143","230","320","385","431","409","328","325","2758","2628","2090","4188","5031","6219","6762","5515","3149","1610","37200",Wangaratta - Benalla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a4,"20403","1270","1555","3255","3573","4098","3149","625","70","17","17621","810","308","905","859","835","1708","2767","1666","867","10724","144","180","381","384","359","345","270","183","99","2351","2219","2049","4540","4816","5290","5207","3665","1919","985","30694","664","2069","4270","4397","5218","3608","677","84","22","21019","1411","1020","1770","2173","2377","2267","805","98","15","11943","85","111","353","273","261","357","115","15","4","1567","64","79","120","135","125","97","59","15","7","701","2229","3286","6518","6979","7982","6326","1654","216","51","35234","122","191","207","209","187","164","8","0","0","1076","227","92","93","101","100","116","29","5","0","756","350","281","300","307","286","273","31","5","0","1836","2576","3562","6812","7287","8268","6603","1690","218","48","37070","1831","518","1260","1269","1371","2898","5174","3038","1339","18695","284","396","745","749","769","720","505","339","172","4681","4685","4482","8818","9309","10411","10221","7364","3588","1558","60442",Wodonga - Alpine
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a3,"20501","725","946","1971","2034","2514","1939","391","63","3","10586","651","231","634","629","653","1205","2115","1219","586","7922","79","85","138","176","200","224","191","154","102","1348","1455","1266","2737","2841","3365","3363","2702","1436","696","19853","308","1066","2603","2510","3036","2209","450","67","17","12263","847","626","1079","1294","1575","1459","535","105","13","7533","28","43","206","126","154","193","53","12","0","818","44","38","69","60","84","75","37","10","3","421","1228","1768","3968","3999","4847","3936","1067","195","35","21040","77","143","111","109","131","125","11","0","0","698","173","75","72","59","64","82","12","0","0","542","246","213","177","173","201","207","21","0","0","1243","1473","1986","4144","4167","5051","4143","1093","196","32","22284","1379","393","807","877","959","1906","3815","2303","881","13327","144","164","289","329","403","416","362","270","163","2536","2996","2542","5240","5370","6415","6463","5265","2767","1083","38145",Baw Baw
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a2,"20502","535","594","1331","1637","2245","1958","449","64","11","8814","474","195","515","455","568","1424","2592","1524","622","8371","77","70","156","169","226","267","268","258","184","1679","1081","856","2002","2258","3040","3656","3303","1843","820","18864","203","667","1571","1704","2308","1962","410","70","9","8906","650","402","905","1145","1444","1522","602","90","8","6766","39","57","152","125","171","209","80","14","0","838","32","28","47","75","75","77","36","18","3","392","921","1151","2677","3047","4000","3766","1131","194","21","16904","62","114","106","111","165","162","7","0","0","728","80","47","63","58","62","94","12","0","0","409","147","163","165","168","226","255","16","0","0","1140","1067","1310","2843","3217","4230","4023","1148","194","22","18048","1048","299","702","735","1021","2477","5152","2950","1048","15441","151","151","304","332","436","520","576","443","278","3185","2272","1755","3851","4278","5690","7020","6880","3585","1351","36677",Gippsland - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a1,"20503","747","804","1978","2406","3055","2691","662","94","22","12451","663","277","690","732","823","1852","3413","1920","1004","11370","69","84","191","196","261","293","330","265","171","1854","1477","1163","2847","3334","4139","4839","4404","2277","1189","25675","256","835","2329","2730","3460","2575","611","88","15","12902","934","592","1239","1686","2127","2304","889","142","21","9942","71","63","251","150","225","253","83","22","3","1127","58","41","84","83","79","87","59","23","10","539","1325","1535","3911","4651","5890","5224","1645","280","51","24509","75","128","150","158","186","192","12","0","3","899","98","53","85","89","96","135","30","0","3","595","174","184","234","246","279","326","40","3","3","1490","1503","1716","4141","4898","6170","5552","1677","276","60","25998","1497","427","945","1023","1359","3131","6292","3554","1608","19840","152","154","371","358","543","581","641","485","244","3529","3153","2299","5464","6275","8077","9265","8611","4318","1909","49372",Gippsland - South West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-63a0,"20504","1105","1659","3144","3030","3370","2481","460","54","10","15302","876","562","1186","962","1186","2109","2852","1922","924","12586","150","215","352","290","341","346","304","284","180","2463","2133","2431","4683","4279","4899","4939","3614","2262","1115","30344","333","1610","3872","3473","4008","2852","430","38","10","16628","1330","1086","1760","1940","2091","1799","565","82","10","10648","51","101","288","182","218","286","61","13","0","1200","51","95","105","89","91","93","34","7","7","567","1759","2891","6029","5682","6399","5035","1089","135","25","29043","204","377","462","376","345","320","10","3","0","2093","258","149","189","171","121","131","21","3","0","1038","466","529","645","542","463","452","34","5","0","3137","2222","3415","6674","6225","6867","5483","1119","143","23","32179","1861","941","1618","1455","1941","3486","5340","3461","1476","21581","302","434","702","558","693","705","597","486","279","4746","4394","4791","8996","8236","9495","9680","7049","4089","1782","58507",Latrobe Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639f,"20505","615","689","1625","1701","2061","1768","365","53","11","8893","526","175","588","490","603","1167","1735","1065","545","6894","64","70","140","159","194","204","168","143","76","1220","1201","934","2365","2353","2859","3139","2271","1260","635","17005","231","906","2147","2126","2458","2024","443","61","13","10415","692","456","931","1047","1229","1316","422","84","11","6187","30","39","178","118","146","176","57","6","5","749","46","39","54","65","88","61","23","8","4","387","999","1442","3313","3348","3912","3575","947","165","39","17737","57","115","140","133","148","129","5","3","0","735","118","43","78","48","56","67","19","0","0","439","179","163","221","182","207","195","22","3","0","1166","1174","1599","3535","3534","4121","3774","969","164","41","18906","1157","376","1066","973","1064","2025","3369","1958","862","12856","148","147","299","325","386","440","335","273","113","2470","2479","2131","4900","4837","5566","6238","4677","2396","1011","34229",Wellington
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639e,"20601","794","3057","8564","5644","3951","2298","415","27","8","24753","788","887","1327","1071","922","1429","2013","1916","914","11273","82","219","599","319","266","197","136","146","82","2040","1661","4160","10488","7038","5136","3922","2563","2088","1000","38063","112","1845","11285","7431","5287","2630","411","22","8","29039","910","2941","4366","3163","2150","1499","449","47","3","15532","29","111","473","368","165","109","38","9","0","1303","23","98","268","140","120","62","29","5","0","751","1076","4993","16390","11103","7728","4305","929","88","16","46620","69","231","545","368","235","161","5","0","0","1616","289","434","376","173","134","105","21","7","0","1535","357","668","917","541","372","258","30","5","0","3152","1430","5663","17305","11643","8102","4564","958","93","16","49771","1737","1644","2183","1601","1488","2406","3560","3287","1521","19424","162","425","1210","673","510","388","266","253","129","4018","3331","7735","20707","13916","10093","7359","4786","3628","1662","73215",Brunswick - Coburg
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639d,"20602","494","1430","4661","3724","3094","1580","259","28","4","15268","509","329","527","624","535","783","1221","1220","599","6346","50","108","350","250","183","125","91","86","61","1313","1061","1868","5534","4588","3812","2496","1575","1335","664","22927","52","897","5837","4586","3723","1838","241","30","9","17209","621","1378","2230","2101","1815","1061","278","33","4","9528","18","59","233","226","126","87","18","0","0","783","14","56","133","84","65","42","16","7","0","418","699","2395","8430","7000","5736","3030","560","73","15","27935","23","116","217","188","127","79","6","3","0","757","193","140","146","94","97","66","19","0","0","755","219","255","367","275","220","144","26","3","0","1509","920","2651","8796","7282","5957","3172","579","74","15","29450","1150","605","833","867","898","1335","2163","2108","941","10892","98","209","673","494","348","251","178","161","84","2495","2161","3461","10301","8639","7201","4760","2922","2346","1042","42837",Darebin - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639c,"20603","890","1968","5094","3790","3622","2214","400","29","15","18013","852","453","959","885","733","1244","1610","1348","812","8899","104","161","480","309","235","202","147","120","103","1860","1850","2582","6534","4981","4585","3661","2158","1493","930","28769","114","1376","6898","5164","4831","2768","402","31","5","21594","1120","1929","2091","1996","1915","1494","503","61","13","11106","40","99","323","257","129","125","40","7","0","1009","25","66","158","102","99","69","20","4","3","537","1299","3464","9462","7512","6968","4449","973","98","20","34251","38","152","399","207","211","108","9","0","0","1136","261","255","227","105","106","80","20","0","0","1049","305","405","628","307","315","193","28","0","0","2182","1603","3872","10089","7825","7286","4641","998","103","20","36435","1813","935","1445","1191","1148","1993","2904","2218","1279","14920","188","306","935","591","499","373","274","205","142","3520","3604","5112","12474","9605","8929","7010","4178","2523","1441","54878",Essendon
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639b,"20604","1948","7183","16308","6100","4365","2850","794","82","16","39661","3981","7908","4316","1382","1137","1601","1911","1019","563","23833","748","1824","3196","1808","1762","1407","778","346","328","12205","6677","16917","23830","9301","7264","5865","3487","1446","911","75694","179","3585","21904","9888","6586","3927","906","93","29","47094","1448","5635","7787","2541","1740","1573","880","144","27","21778","114","380","851","477","281","256","96","12","3","2473","187","312","455","161","118","98","34","14","4","1375","1926","9915","30997","13065","8726","5847","1918","266","59","72717","56","616","1365","457","310","166","21","0","0","3000","1181","2521","1105","229","121","100","37","0","0","5307","1242","3143","2468","688","432","267","59","3","0","8303","3170","13053","33470","13757","9160","6119","1971","265","57","81023","7130","14541","7529","2168","1730","2556","3424","1853","892","41821","1310","3411","6471","4057","3710","2884","1620","677","485","24639","11610","31006","47470","19981","14602","11556","7020","2797","1432","147479",Melbourne City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-639a,"20605","597","2640","10794","6977","5088","3016","790","69","7","29986","786","575","1202","1155","1046","1590","2305","1426","745","10834","131","361","1490","886","632","490","323","173","93","4576","1519","3573","13493","9014","6768","5101","3419","1666","844","45403","99","2195","15865","10574","7130","3796","837","56","17","40578","697","1954","3581","2711","2362","1979","994","135","13","14415","35","87","565","466","219","171","60","9","6","1611","22","70","298","154","93","63","21","12","0","729","849","4305","20310","13893","9806","6006","1913","206","38","57335","26","185","581","403","401","233","26","4","0","1857","198","264","279","182","148","127","44","3","0","1248","224","450","857","592","543","362","73","10","0","3106","1072","4757","21164","14485","10351","6372","1985","216","38","60436","1656","1125","1877","1685","1808","2777","4194","2574","1204","18890","234","683","2903","1792","1419","1084","691","342","149","9295","2965","6562","25939","17959","13574","10233","6867","3134","1382","88619",Port Phillip
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6399,"20701","2307","4750","9078","8286","9681","6111","1770","179","27","42190","3424","1441","1647","2287","2553","3288","5125","3964","2860","26591","183","271","555","435","442","368","329","292","262","3147","5914","6466","11276","11014","12672","9772","7223","4435","3150","71924","163","2921","12652","11010","12830","7796","1638","144","19","49165","3056","5228","3985","4344","5303","4104","2341","356","53","28771","126","245","579","466","315","346","132","27","3","2237","66","172","274","193","231","128","62","26","10","1167","3414","8564","17495","16005","18675","12378","4173","550","82","81338","47","259","587","390","477","300","37","7","0","2110","785","741","364","275","274","209","63","7","6","2720","830","1005","953","668","750","508","100","14","6","4833","4236","9570","18447","16670","19422","12888","4278","567","86","86168","7268","3083","2668","2892","3390","4997","8565","6748","4258","43875","376","564","1142","836","872","721","597","512","366","5994","11887","13215","22257","20409","23684","18613","13435","7826","4713","136032",Boroondara
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6398,"20702","1095","1942","4108","4141","4875","3132","853","102","12","20247","1465","626","1135","1465","1450","2416","4119","3440","1596","17710","65","78","175","160","205","182","203","233","203","1515","2623","2648","5413","5773","6531","5734","5172","3772","1806","39475","102","1352","5730","5648","6148","3919","830","89","3","23823","1389","1948","1891","2339","2946","2326","1125","214","19","14197","31","95","283","191","146","147","81","12","0","992","36","76","182","148","133","99","45","12","4","732","1559","3473","8089","8327","9369","6501","2075","322","26","39747","50","192","371","280","283","198","17","4","0","1389","441","291","183","190","194","137","35","6","0","1471","490","480","558","469","481","334","51","6","0","2863","2052","3953","8645","8792","9854","6834","2122","328","26","42605","3304","1397","1712","1901","2022","3544","6936","6328","2619","29763","142","158","375","309","382","334","351","408","307","2762","5492","5507","10735","10997","12252","10710","9407","7070","2955","75131",Manningham - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6397,"20703","1492","2772","5470","5001","5358","3318","726","75","8","24233","1937","1656","1711","1507","1391","2116","3281","3049","1749","18412","128","156","305","194","233","198","198","235","284","1930","3556","4587","7488","6702","6981","5631","4208","3361","2048","44568","163","1560","6982","6477","6891","3967","568","42","3","26652","1819","3025","3068","3029","3075","2349","956","143","19","17483","83","120","364","271","180","189","65","8","5","1282","45","95","177","121","141","63","22","7","5","682","2116","4798","10589","9903","10286","6569","1608","200","28","46096","45","223","520","283","291","201","13","0","0","1568","609","710","422","189","160","145","28","5","0","2266","652","935","938","472","449","344","44","5","0","3838","2768","5727","11529","10373","10738","6914","1653","209","28","49938","3964","3570","2825","2001","1992","3331","5603","5203","2809","31296","240","347","585","393","442","375","353","402","408","3556","6967","9645","14938","12776","13173","10621","7613","5811","3244","84788",Whitehorse - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6396,"20801","1303","1897","3349","5002","6402","4025","1147","91","14","23232","1546","377","639","1340","1486","2115","3525","2560","2070","15662","113","107","236","271","337","291","242","181","264","2036","2963","2379","4223","6613","8224","6436","4915","2835","2353","40929","128","1251","4579","6494","8548","4995","1044","85","10","27132","1758","2121","1367","2738","3543","2947","1629","226","36","16358","72","75","251","313","197","217","88","6","3","1220","32","65","97","123","168","92","43","10","5","642","1993","3513","6294","9655","12454","8250","2808","332","51","45354","30","128","182","182","265","187","24","4","0","1006","403","209","93","170","157","116","59","5","0","1211","436","332","274","351","431","305","78","13","0","2212","2430","3849","6571","10006","12878","8557","2886","343","50","47564","3529","812","911","1620","1942","3194","5928","4394","3141","25458","206","224","453","495","618","543","427","306","350","3620","6164","4884","7929","12117","15435","12292","9240","5042","3540","76649",Bayside
