gml_id,sa3_name16,sa3_code16,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7941,Orange,"10304","28","28","84","103","201","477","564","505","319","2320","0","0","15","25","26","35","28","16","12","161","243","232","529","525","669","576","556","503","215","4050","1675","3039","7014","7193","7464","6933","5264","3070","1262","42926"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7940,Clarence Valley,"10401","22","25","89","124","220","480","755","668","432","2811","5","3","6","11","13","24","23","35","14","133","215","190","434","493","616","790","861","683","319","4605","1331","2074","4255","5165","6717","8447","7870","4114","1630","41608"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793f,Coffs Harbour,"10402","32","52","168","194","325","583","807","788","501","3449","4","14","56","61","71","53","49","33","25","367","288","327","672","675","892","1143","1157","1058","697","6910","2155","4096","8766","9606","11543","13273","11002","6084","2475","68997"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793e,Bourke - Cobar - Coonamble,"10501","20","37","68","80","151","313","465","279","110","1524","0","0","7","8","18","31","31","26","11","131","146","226","489","404","552","569","549","341","104","3376","605","1356","3172","2719","3503","3561","2906","1414","445","19679"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793d,Broken Hill and Far West,"10502","6","20","56","68","136","408","404","265","130","1500","0","0","0","5","8","12","14","3","4","51","95","151","323","279","352","358","417","321","253","2538","549","1169","2482","2192","2783","3167","2523","1317","601","16788"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793c,Dubbo,"10503","34","32","105","133","280","653","866","721","379","3202","3","3","10","12","24","41","56","39","11","193","330","463","1041","842","904","1049","1018","735","337","6723","1891","3972","8552","7888","8877","9175","7231","4183","1661","53433"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793b,Lower Hunter,"10601","40","65","130","177","351","849","984","772","451","3823","3","3","11","21","28","33","28","18","14","163","362","483","1132","1015","1025","1011","1063","728","366","7182","2832","5368","10918","10912","11654","11177","8214","3948","1575","66589"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-793a,Maitland,"10602","30","34","80","119","202","487","571","488","320","2329","0","9","14","26","24","27","22","15","11","153","173","188","483","468","489","495","517","488","275","3578","2151","4527","10048","9644","9381","8263","6025","3096","1259","54388"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7939,Port Stephens,"10603","22","41","101","117","207","502","652","569","295","2496","3","3","6","14","32","43","42","35","16","184","243","256","527","534","666","785","1042","848","486","5385","1922","3520","6639","7789","9373","10015","9812","5117","1817","56006"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7938,Upper Hunter,"10604","12","16","54","61","139","292","362","289","128","1347","0","0","3","3","5","15","15","16","9","66","125","150","431","424","443","383","334","275","155","2711","765","1637","4000","3880","4102","3659","2612","1436","554","22630"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7937,Dapto - Port Kembla,"10701","19","26","90","160","305","799","1179","1189","535","4315","9","8","18","31","44","101","149","241","104","695","186","209","432","433","550","612","645","750","485","4294","2125","4520","8854","9237","9826","9058","7071","4757","1899","57354"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7936,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7935,Kiama - Shellharbour,"10703","26","29","85","111","241","714","1006","822","464","3482","5","3","12","24","24","40","97","109","53","366","249","225","475","560","696","714","893","798","575","5189","2693","5263","9741","10768","11859","11604","9003","4984","2058","67978"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7934,Wollongong,"10704","42","74","131","163","277","702","1027","1298","888","4595","3","13","68","51","65","94","120","168","98","687","365","599","1050","804","892","892","1027","957","572","7171","4243","10918","17039","16433","16353","14670","11013","7048","3336","101049"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7933,Great Lakes,"10801","3","14","42","50","129","310","499","426","267","1734","5","0","3","5","13","11","13","26","8","79","93","69","165","218","319","394","636","561","332","2785","635","1053","2178","2796","3830","5027","5631","3377","1448","25983"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7932,Kempsey - Nambucca,"10802","29","23","74","87","226","564","852","588","395","2832","5","0","4","10","15","17","27","32","18","128","219","252","560","513","681","812","846","701","449","5036","1181","2086","4168","4700","6149","8161","7239","3621","1575","38868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7931,Lord Howe Island,"10803","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","3","7","9","14","11","14","13","3","3","75","4","21","46","68","74","98","65","19","8","406"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7930,Port Macquarie,"10804","15","26","71","109","223","525","854","807","557","3184","3","3","7","13","17","21","35","26","15","150","225","226","452","484","689","817","1223","1176","843","6133","1688","3132","6744","8125","10187","11214","11812","7101","3013","63012"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792f,Taree - Gloucester,"10805","33","35","81","123","231","542","821","732","420","3017","0","0","3","10","17","16","25","25","17","114","182","168","318","360","569","756","881","677","456","4355","1274","2258","4377","5085","6895","8546","8197","4257","1735","42626"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792e,Albury,"10901","23","41","89","104","192","388","539","547","383","2309","3","4","28","53","55","41","52","39","14","302","215","318","561","549","566","657","611","644","402","4517","1699","3907","7376","7298","7893","7832","5881","3314","1563","46765"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792d,Lower Murray,"10902","14","12","23","31","70","155","282","228","76","885","0","0","0","0","11","5","11","8","6","44","66","91","225","172","253","272","281","169","65","1597","318","689","1384","1419","1901","2062","1628","840","242","10480"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792c,Upper Murray exc. Albury,"10903","7","17","59","68","120","380","758","638","345","2388","0","3","11","7","14","21","30","22","14","120","171","190","345","392","499","695","740","650","363","4056","943","1769","3836","4270","5201","6499","5858","3386","1349","33111"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792b,Armidale,"11001","7","28","51","48","100","233","359","314","189","1334","0","4","16","4","9","13","26","21","3","89","264","367","349","305","414","401","437","297","169","2999","1724","3357","4138","3960","4709","4650","3711","1981","812","29033"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-792a,Inverell - Tenterfield,"11002","16","23","58","112","196","455","695","596","275","2432","0","0","12","3","10","28","36","13","3","109","183","172","419","462","524","710","788","583","305","4137","971","1737","3483","3980","4854","5793","5278","2892","1043","30041"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7929,Moree - Narrabri,"11003","12","22","44","62","144","297","402","232","88","1302","0","3","4","10","7","20","27","12","6","90","173","169","393","422","502","490","472","342","116","3074","714","1397","3186","3173","3605","3492","2704","1392","392","20057"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7928,Tamworth - Gunnedah,"11004","40","43","131","147","323","730","913","873","515","3724","4","11","16","19","53","46","46","37","10","247","343","394","838","820","949","1067","1047","881","404","6750","2189","4233","9629","9266","10302","10459","8260","4936","1943","61216"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7927,Lake Macquarie - East,"11101","45","50","125","152","308","747","967","1013","688","4093","7","6","15","23","45","43","44","49","30","260","200","246","503","531","643","748","938","1079","706","5605","3092","6575","12994","14313","15845","15327","12664","7522","3264","91596"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7926,Lake Macquarie - West,"11102","30","29","97","117","258","577","727","608","440","2879","4","12","8","15","25","38","41","28","10","183","162","167","329","314","398","496","626","678","693","3863","2153","4128","8188","8643","9330","9683","8354","4679","2260","57428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7925,Newcastle,"11103","61","82","216","218","426","919","1155","1224","788","5078","10","26","63","68","87","81","66","112","67","585","360","612","1153","1000","1234","1362","1378","1428","1365","9887","4617","13864","24380","20919","20657","19078","14074","8277","4328","130187"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7924,Richmond Valley - Coastal,"11201","20","25","53","82","154","358","632","602","556","2479","7","3","12","19","24","24","27","18","11","149","338","342","826","1043","1228","1477","1211","858","584","7906","1623","3036","7549","9736","11350","13029","10215","5098","2613","64248"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7923,Richmond Valley - Hinterland,"11202","30","39","96","147","290","596","821","849","584","3450","7","3","12","7","26","32","37","33","19","179","368","363","603","686","903","1048","843","680","385","5871","2008","3780","6717","7896","9728","10863","7637","4135","1878","54649"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7922,Tweed Valley,"11203","19","16","100","123","244","619","1091","1075","662","3949","6","7","9","23","26","29","28","44","24","202","304","285","628","741","978","1229","1456","1362","1027","8004","2141","3986","8291","10316","12041","13840","12890","7930","3600","75017"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7921,Griffith - Murrumbidgee (West),"11301","18","37","103","131","245","514","693","672","377","2793","0","12","42","32","53","44","64","78","43","372","258","276","619","587","648","757","673","562","362","4731","1371","2654","5999","5592","6326","5995","4199","2754","1210","36103"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7920,Tumut - Tumbarumba,"11302","0","8","15","25","76","132","191","169","105","716","0","0","7","3","3","6","13","6","0","45","60","74","193","220","235","285","214","174","134","1583","337","650","1457","1662","1956","2104","1668","928","420","11193"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791f,Wagga Wagga,"11303","38","57","149","185","301","616","891","831","643","3714","3","14","45","47","36","40","44","26","20","280","418","560","1022","967","960","1013","955","803","384","7080","3407","7049","11845","10931","11464","11355","8522","5057","2285","71910"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791e,Shoalhaven,"11401","39","42","130","165","324","836","1226","1025","542","4328","6","4","15","6","24","43","42","53","17","211","340","486","889","879","1063","1254","1502","1351","873","8646","2387","4586","9226","9996","12149","14855","14331","7927","3131","78591"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791d,Southern Highlands,"11402","11","6","31","47","90","220","307","302","189","1209","3","3","7","9","17","21","22","22","20","114","143","116","231","341","458","439","586","447","317","3076","1127","1875","3989","5037","6356","6499","6867","3763","1432","36943"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791c,Baulkham Hills,"11501","13","8","49","58","138","299","574","512","374","2029","4","8","58","61","73","113","109","119","91","633","183","178","450","486","552","477","592","591","801","4304","3807","9024","14504","20390","20657","17572","12543","5874","2894","107272"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791b,Dural - Wisemans Ferry,"11502","8","3","3","25","45","96","166","178","100","625","0","4","3","5","6","7","27","52","34","132","83","77","102","142","219","185","171","115","60","1155","804","1632","2198","2998","4077","3376","2780","1353","600","19820"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-791a,Hawkesbury,"11503","7","10","17","21","72","138","185","118","56","633","0","3","3","4","11","6","12","7","3","48","131","92","153","198","304","265","248","89","30","1509","837","1501","2474","3023","3930","3277","2287","826","250","18412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7919,Rouse Hill - McGraths Hill,"11504","8","4","7","18","52","134","189","147","59","619","0","0","8","7","8","19","21","18","12","99","70","49","139","168","187","140","123","74","27","969","1044","1881","3674","5439","4817","3225","2093","795","231","23199"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7918,Blacktown,"11601","15","66","243","323","585","1065","1351","1059","571","5294","6","34","119","173","207","266","233","226","89","1354","384","465","1127","951","969","969","908","658","447","6882","3835","8916","21919","19608","16230","14667","9697","4862","1979","101708"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7917,Blacktown - North,"11602","14","14","53","93","199","443","522","357","152","1854","4","10","26","53","75","111","84","93","38","495","211","325","919","901","566","467","344","163","61","3960","2669","5552","13885","17002","11823","8026","4656","1692","483","65788"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7916,Mount Druitt,"11603","49","90","252","349","669","1141","1300","704","345","4905","6","17","108","164","171","228","222","186","67","1178","531","560","1124","1089","1124","917","916","491","141","6897","4135","8313","16662","15014","14079","10946","7148","3076","1087","80454"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7915,Botany,"11701","14","11","50","66","146","325","526","501","197","1837","3","14","27","39","56","86","117","146","66","556","130","268","749","621","584","496","429","321","183","3790","1390","3776","8853","7325","6200","4625","3415","2070","750","38405"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7914,Sydney Inner City,"11703","38","168","331","196","291","559","711","619","323","3242","12","107","292","138","126","172","179","258","100","1395","1306","4732","11127","6467","5367","3862","2363","1224","574","37034","7256","30584","73257","38432","26310","19189","11802","5331","1931","214098"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7913,Eastern Suburbs - North,"11801","8","17","51","45","49","106","215","323","298","1099","4","0","27","31","22","25","40","52","22","242","369","750","3170","2006","1523","1203","1240","971","744","11980","1846","6912","26229","20369","15766","11948","10302","5714","3128","102212"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7912,Eastern Suburbs - South,"11802","17","61","71","96","167","391","729","938","570","3031","10","13","54","44","77","92","133","215","127","764","562","1332","2604","1965","1514","1346","1249","965","722","12250","4994","14951","26237","20860","16942","13204","9731","5973","3194","116088"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7911,Bankstown,"11901","25","77","295","585","1061","1747","1980","1735","1048","8548","13","47","184","266","576","746","689","643","303","3463","599","742","1566","1385","1419","1300","1171","1006","852","10024","5281","12030","24096","22468","21249","18801","12505","7630","3998","128056"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7910,Canterbury,"11902","31","115","373","484","887","1488","2203","1903","747","8225","9","82","287","232","419","671","735","791","355","3589","433","556","1576","1243","1103","921","817","706","365","7714","3680","9465","22725","18913","16893","13275","9103","6122","2535","102723"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790f,Hurstville,"11903","19","30","93","158","367","868","1200","1244","700","4672","4","24","180","111","202","398","301","347","139","1714","259","430","1006","691","733","732","714","632","555","5749","3404","9632","20428","16180","16514","14576","10069","6423","3321","100535"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790e,Kogarah - Rockdale,"11904","10","38","154","173","381","960","1789","1759","797","6065","4","28","139","90","173","304","427","483","199","1849","341","655","1884","1239","1124","1042","1036","1129","996","9442","3313","10082","27176","19650","16794","13930","10557","6918","3444","111869"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790d,Canada Bay,"12001","5","29","48","48","96","298","795","1026","576","2923","3","19","75","38","51","96","133","238","123","775","170","303","972","768","584","550","557","407","335","4644","1703","5714","15228","12911","10964","9007","6734","3997","2053","68317"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790c,Leichhardt,"12002","3","4","13","33","64","112","281","329","161","1005","0","0","13","6","15","18","34","70","46","212","118","239","813","804","590","494","407","215","145","3823","727","2901","8728","10536","8244","6008","4194","1741","739","43814"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790b,Strathfield - Burwood - Ashfield,"12003","17","47","139","173","353","753","1456","1860","971","5763","12","75","248","119","203","294","367","518","296","2130","378","952","2358","1338","1153","1011","839","707","458","9209","3642","13910","32213","20839","18923","14959","9802","6572","3334","124192"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-790a,Chatswood - Lane Cove,"12101","23","21","53","49","92","174","348","399","294","1451","3","21","64","56","46","90","88","109","68","530","188","354","1152","916","674","610","538","385","357","5168","2085","6600","18384","18633","14819","11353","8259","4597","2595","87324"
