sa3_name16,sa3_code16,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Manly,12201,0,0,3,3,0,0,0,11,8,16,3,0,4,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,20,18,41,556,642,1195,149,138,282,725,791,1522,20,18,41,569,649,1220,149,138,282,734,803,1536,72,70,143,16287,16783,33069,85,91,170,16441,16950,33384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,358,365,724,0,0,3,361,369,729,10,6,19,2442,2436,4883,22,17,36,2472,2459,4936,6,4,9,859,853,1716,8,4,12,867,867,1737,3,0,3,451,496,950,0,0,0,456,498,953,3,3,6,610,944,1560,3,0,3,616,954,1568,30,36,73,12316,12658,24967,36,54,89,12380,12745,25129,4,4,5,715,774,1487,0,0,0,719,776,1498,11,18,24,1428
Pittwater,12202,0,6,3,9,0,0,0,0,7,6,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,4,9,14,678,735,1409,70,53,129,758,791,1550,4,9,14,691,763,1457,70,54,129,769,824,1595,190,172,363,25342,26301,51642,158,193,351,25700,26665,52360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,0,8,531,506,1035,3,0,8,537,510,1051,45,40,90,3919,3784,7704,13,29,42,3986,3850,7831,12,22,34,1487,1454,2937,17,6,19,1506,1483,2990,12,5,15,693,618,1308,0,4,6,709,626,1332,4,6,9,575,995,1569,3,3,7,581,1008,1584,67,66,139,14683,15464,30150,76,86,165,14832,15620,30451,11,13,23,1395,1474,2867,10,9,18,1413,1502,2913,33,33,64,4292
Warringah,12203,0,4,7,6,0,0,0,22,14,34,3,0,3,20,14,32,0,0,0,0,0,0,0,0,0,0,0,0,22,12,36,1370,1392,2756,143,116,256,1528,1522,3051,22,15,34,1413,1458,2870,143,124,261,1574,1595,3173,430,397,824,56788,57770,114557,294,355,648,57506,58517,116023,3,0,6,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,7,0,7,0,5,3,3,0,3,0,0,0,4,5,6,15,16,35,1313,1218,2535,8,6,9,1334,1245,2579,101,77,178,9998,9209,19205,52,54,104,10145,9339,19482,34,33,63,3757,3480,7236,16,17,32,3806,3527,7336,3,16,18,1691,1663,3357,5,11,13,1699,1691,3392,19,24,48,2085,3167,5251,11,12,24,2109,3202,5316,141,157,300,36523,39040,75559,157,177,331,36816,39374,76189,20,25,51,3358,3041,6400,19,20,39,3400,3094,6491,82,59,140,9765
Camden,12301,0,0,3,3,0,0,0,3,3,9,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,34,22,50,627,578,1204,31,35,68,692,641,1329,36,25,60,640,597,1241,32,36,68,710,656,1364,798,802,1604,25205,26466,51671,150,186,337,26155,27451,53611,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,3,3,5,0,0,0,0,0,0,3,3,5,31,26,54,605,609,1214,0,8,5,631,641,1275,219,197,412,4583,4448,9023,32,30,57,4832,4672,9499,70,62,130,1597,1673,3277,6,5,14,1673,1747,3419,12,10,21,526,628,1153,3,11,11,541,648,1188,17,46,61,530,1087,1617,0,7,7,540,1140,1679,177,232,403,9953,11910,21861,55,61,113,10180,12198,22371,64,38,101,1737,1572,3316,3,15,22,1811,1625,3437,149,164,317,6997
Campbelltown (NSW),12302,0,3,5,11,0,0,0,4,6,19,6,0,5,12,13,24,0,0,0,0,0,0,0,0,0,0,0,0,151,138,286,1945,1749,3695,315,248,562,2413,2134,4549,159,138,296,2043,1840,3881,325,247,574,2528,2224,4755,2675,3058,5736,46967,47568,94533,397,381,777,50038,51005,101047,20,22,38,0,0,0,0,0,0,20,24,35,0,0,0,0,0,0,0,0,0,0,0,0,14,19,31,0,0,0,0,0,0,14,16,34,16,25,41,0,0,0,5,0,5,16,25,43,88,96,189,1129,1078,2210,9,9,18,1230,1181,2406,759,656,1414,9575,9050,18626,93,96,185,10422,9797,20225,199,226,425,3688,3546,7240,30,27,58,3915,3807,7713,45,73,112,1706,1782,3491,7,8,18,1757,1865,3622,46,108,160,1867,3043,4919,13,14,27,1932,3172,5104,434,687,1121,27703,29774,57485,153,158,311,28292,30619,58908,188,226,412,3985,3810,7795,26,26,47,4197,4058,8252,528,642,1170,15049
Wollondilly,12303,0,4,3,11,0,0,0,0,6,6,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,26,27,49,480,427,905,33,24,54,529,483,1013,22,27,52,504,449,950,33,27,60,558,502,1062,632,654,1282,17434,17521,34955,205,178,382,18263,18352,36613,4,3,6,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,4,3,6,0,0,3,0,0,0,0,0,0,0,0,3,12,10,30,366,349,714,3,10,11,383,371,751,163,147,313,2755,2571,5324,38,36,72,2954,2756,5709,53,57,113,989,939,1923,12,7,22,1052,1007,2053,8,13,18,289,377,660,0,4,4,295,388,684,13,30,40,279,614,893,7,0,8,293,645,941,104,184,284,5256,6724,11975,40,51,97,5403,6955,12359,44,36,78,1115,1030,2146,7,11,22,1166,1080,2247,180,135,316,5655
Blue Mountains,12401,0,0,3,4,0,0,0,5,15,24,6,0,3,10,21,26,0,0,0,0,0,0,0,0,0,0,0,0,39,48,84,1167,1292,2460,151,139,296,1356,1476,2834,42,45,85,1201,1331,2533,150,139,295,1395,1516,2914,860,893,1756,32060,34276,66335,242,230,475,33159,35398,68558,10,19,23,0,0,0,0,0,0,10,19,27,0,0,0,0,0,0,0,0,0,0,0,0,10,19,23,0,0,0,0,0,0,10,19,27,4,11,16,0,3,3,3,0,3,6,14,25,22,36,56,553,552,1101,0,4,4,576,588,1159,210,198,412,4500,4268,8768,45,41,84,4753,4510,9259,81,65,148,1855,1743,3602,14,9,22,1945,1827,3772,19,26,41,685,737,1414,8,0,12,704,762,1467,27,74,99,1058,1894,2951,11,10,22,1094,1977,3069,213,250,465,15695,17991,33684,87,79,169,15996,18321,34313,49,58,108,1891,1919,3804,16,17,33,1955,1990,3943,206,169,371,7144
Blue Mountains - South,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,4,4,0,4,0,0,0,4,0,3,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penrith,12403,0,3,3,6,0,0,0,21,11,31,0,3,4,24,14,40,0,0,0,0,0,0,0,0,0,0,0,0,115,91,211,1873,1674,3546,171,122,297,2162,1886,4051,123,97,219,1923,1726,3652,174,122,297,2225,1944,4170,2548,2594,5144,53023,54420,107445,357,395,752,55925,57409,113335,14,15,29,0,0,0,0,0,0,14,15,29,0,0,0,0,0,0,0,0,0,0,0,0,14,13,26,0,0,0,0,0,0,14,13,24,17,20,33,0,0,0,0,0,0,17,20,33,108,76,187,1225,1155,2381,12,10,22,1339,1244,2586,622,562,1182,8527,8340,16869,65,67,128,9214,8964,18179,222,202,424,3184,3068,6254,27,22,50,3434,3291,6728,37,68,99,1230,1364,2597,13,9,21,1273,1439,2714,50,127,179,1474,2654,4126,8,7,19,1528,2791,4321,467,656,1115,21927,25233,47163,110,116,223,22498,25999,48499,199,191,384,3791,3415,7199,22,17,39,4001,3622,7622,529,548,1077,15787
Richmond - Windsor,12404,0,10,3,10,0,0,0,5,3,12,3,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,50,25,75,621,436,1059,81,31,115,753,494,1250,55,25,85,639,459,1098,81,31,117,774,522,1297,828,874,1701,14204,14791,28993,99,120,218,15134,15786,30917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,25,26,55,246,247,490,3,0,3,276,273,547,209,176,386,1981,1886,3867,13,20,36,2208,2081,4287,50,70,120,733,779,1513,13,8,16,797,858,1653,18,21,41,281,383,667,0,4,3,302,407,709,14,37,45,333,654,984,3,5,8,348,696,1042,128,176,304,4622,5577,10199,30,30,58,4775,5789,10565,58,72,131,1011,983,2000,3,8,12,1069,1070,2139,199,194,387,4550
St Marys,12405,0,0,0,3,0,0,0,0,5,11,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,42,32,73,647,576,1222,59,29,87,750,633,1383,47,31,79,676,600,1280,62,30,96,789,663,1450,1021,1005,2028,17664,17679,35343,149,148,302,18836,18831,37673,0,4,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,28,15,47,399,378,778,3,3,7,433,398,830,239,193,432,3106,2966,6075,19,24,47,3369,3185,6547,80,73,150,1165,1215,2381,8,17,23,1251,1299,2553,19,25,46,525,567,1092,3,3,4,548,596,1144,10,33,45,514,945,1463,8,3,14,531,992,1520,172,232,407,8258,9261,17512,59,57,116,8487,9546,18035,69,73,147,1510,1416,2926,9,3,8,1584,1498,3082,247,255,497,6167
Auburn,12501,0,3,0,3,0,0,0,22,26,46,20,35,54,41,60,103,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,1065,866,1927,376,290,663,1449,1158,2613,7,9,15,1128,918,2047,384,294,672,1523,1216,2735,118,120,238,9293,8222,17512,73,66,130,9479,8409,17889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,507,484,993,0,4,3,513,491,996,12,10,29,4184,3979,8167,33,30,68,4238,4022,8261,14,10,17,1939,1875,3813,9,13,24,1962,1896,3856,3,3,9,2157,1727,3887,5,7,17,2170,1742,3910,6,0,9,2988,2907,5897,10,9,20,3004,2918,5924,38,40,79,24123,21639,45762,88,90,173,24252,21769,46021,10,11,21,1669,1239,2904,10,12,16,1687,1255,2948,29,36,66,3952
Carlingford,12502,0,3,3,8,0,0,0,4,3,7,0,0,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,621,555,1171,21,26,46,647,578,1226,9,3,10,637,570,1208,21,22,49,664,603,1266,164,225,392,15127,14983,30117,111,140,249,15407,15345,30750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,472,505,977,0,3,3,473,512,986,30,48,81,3998,3741,7738,27,18,38,4056,3807,7865,9,9,25,1998,1756,3749,9,15,19,2011,1782,3793,4,8,10,1060,1012,2071,3,3,3,1065,1025,2088,8,15,22,1147,1691,2838,3,4,12,1161,1711,2873,52,48,94,17336,18283,35613,60,69,125,17439,18394,35835,9,16,28,1247,1191,2432,10,17,23,1263,1220,2480,42,54,97,3648
Merrylands - Guildford,12503,3,4,0,8,0,0,0,3,9,11,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,30,27,55,1625,1403,3030,116,75,188,1767,1507,3279,29,29,59,1749,1510,3254,125,77,204,1899,1621,3517,590,625,1206,25280,24910,50197,239,243,482,26110,25774,51883,3,3,9,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,9,0,5,6,0,0,0,0,0,0,0,5,6,12,11,21,1173,1141,2311,3,9,14,1194,1154,2344,110,98,208,9307,8849,18156,81,73,155,9500,9014,18518,33,37,78,3512,3632,7148,33,11,43,3576,3685,7266,17,19,34,2192,2181,4377,13,13,31,2221,2214,4438,18,31,50,2493,3444,5944,10,24,40,2523,3506,6030,138,174,313,30310,30682,60988,166,150,316,30611,31010,61613,34,51,81,3196,2821,6019,18,13,25,3242,2884,6129,137,158,298,10700
Parramatta,12504,8,9,10,26,0,0,0,34,27,60,26,12,40,57,43,96,0,0,0,0,0,0,0,0,0,0,0,0,41,38,80,2181,1836,4013,1013,833,1845,3237,2698,5933,49,38,80,2250,1890,4142,1022,835,1857,3312,2765,6080,475,459,938,27161,26967,54129,183,181,361,27820,27611,55435,3,3,10,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,3,3,10,0,0,3,0,0,0,0,0,0,0,4,0,10,11,17,1098,1029,2129,11,10,21,1119,1052,2164,82,71,159,7434,6913,14348,50,35,84,7568,7026,14589,26,31,59,2544,2395,4936,9,18,22,2583,2441,5023,12,16,22,2414,1854,4266,9,7,13,2432,1875,4307,18,23,46,2966,3978,6937,5,13,21,2988,4015,7009,124,131,256,38240,37017,75255,131,131,268,38492,37278,75777,26,45,74,2337,1993,4331,14,14,26,2374,2053,4428,111,89,203,7097
Pennant Hills - Epping,12601,0,0,0,3,0,0,0,7,4,13,0,0,0,10,4,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,359,417,775,7,11,19,372,429,801,3,3,10,372,425,798,7,11,19,381,435,821,51,53,99,12542,12693,25235,59,82,146,12645,12831,25474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,343,347,689,0,0,0,345,346,692,7,15,16,2899,2871,5772,12,14,32,2921,2904,5820,4,4,8,1547,1443,2992,3,8,14,1556,1460,3012,0,3,5,1159,1084,2241,0,3,8,1157,1089,2249,3,0,4,903,1205,2105,0,12,11,907,1218,2127,25,19,45,14607,14806,29411,53,61,111,14684,14888,29572,0,3,4,788,809,1600,0,9,7,792,814,1614,3,8,13,1702
Ryde - Hunters Hill,12602,0,3,9,11,0,0,0,37,35,77,10,19,32,54,59,107,0,0,0,0,0,0,0,0,0,0,0,0,29,17,45,1715,1700,3415,378,237,614,2118,1951,4076,27,17,49,1760,1773,3532,385,240,628,2174,2031,4205,255,234,497,33205,33129,66339,193,194,386,33658,33561,67219,4,0,5,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,0,0,4,0,5,3,4,8,953,969,1925,3,0,4,959,979,1938,57,45,110,6884,6326,13209,41,31,67,6979,6399,13379,37,19,55,3586,3029,6610,18,9,30,3640,3055,6698,15,21,37,3293,3407,6701,12,14,27,3315,3449,6764,17,11,26,3187,4230,7420,16,11,25,3224,4251,7472,94,115,211,38649,40757,79403,154,135,295,38904,41010,79913,21,7,30,2223,2007,4236,19,9,24,2265,2025,4289,40,39,80,5881
Bringelly - Green Valley,12701,0,3,0,3,0,0,0,8,5,10,0,0,0,8,5,10,0,0,0,0,0,4,0,0,0,0,0,4,35,31,60,1025,895,1919,98,68,166,1157,989,2147,33,30,69,1077,954,2036,97,73,176,1216,1062,2275,770,846,1616,22351,21639,43991,208,207,416,23329,22689,46020,3,9,14,0,0,0,0,0,0,3,9,14,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,3,6,8,0,4,4,0,0,0,0,0,0,0,4,4,27,22,51,816,751,1567,6,5,16,850,784,1637,197,187,388,7133,6797,13929,71,70,138,7404,7059,14455,69,53,121,2947,2959,5903,29,24,46,3038,3033,6072,5,16,27,1236,1407,2644,14,9,23,1255,1435,2694,14,30,45,972,1753,2725,4,7,16,988,1793,2784,127,176,305,18640,20224,38861,101,105,205,18861,20502,39362,47,61,109,2450,2142,4591,21,15,31,2515,2218,4731,167,207,373,8411
Fairfield,12702,0,0,3,5,0,3,3,12,6,19,6,4,9,18,11,32,0,0,0,0,0,0,0,0,0,0,0,0,28,24,54,2082,1922,3997,118,113,229,2227,2058,4284,33,29,57,2204,2045,4253,120,121,240,2359,2197,4557,646,650,1296,23580,21573,45155,229,213,450,24451,22441,46891,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,4,5,17,24,40,1018,978,1994,9,8,19,1042,1005,2048,151,131,277,10841,10202,21036,80,106,184,11063,10439,21505,42,49,100,5317,5301,10616,41,22,63,5401,5378,10776,9,19,28,2943,3116,6061,16,9,28,2973,3144,6116,13,20,34,2739,4260,6994,16,18,40,2765,4302,7066,132,147,276,35684,36419,72099,183,172,353,35994,36738,72725,23,42,69,4276,3755,8030,39,29,75,4343,3828,8168,130,148,276,12832
Liverpool,12703,9,30,6,42,0,0,0,15,11,23,3,0,3,17,13,27,0,0,0,0,0,0,0,0,0,0,0,0,58,49,100,1520,1259,2780,331,247,579,1906,1548,3460,60,49,107,1568,1323,2892,342,248,591,1967,1623,3585,746,742,1492,23988,23366,47360,180,187,364,24918,24301,49221,9,3,11,0,0,0,0,0,0,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,7,3,8,3,3,3,0,0,0,0,0,0,3,3,3,22,12,35,860,824,1686,3,9,15,888,846,1738,185,154,336,7429,7179,14612,69,46,115,7685,7379,15066,49,54,106,3034,2930,5966,12,22,36,3095,3011,6109,15,23,41,1408,1590,2992,6,8,15,1427,1617,3049,13,35,50,1659,2624,4287,6,24,28,1682,2686,4363,128,194,321,23380,24956,48340,102,137,241,23613,25290,48900,60,51,109,2716,2346,5063,30,21,50,2805,2417,5217,142,153,294,8516
Cronulla - Miranda - Caringbah,12801,0,4,3,12,0,0,0,8,5,15,0,0,0,14,8,21,0,0,0,0,0,0,0,0,0,0,0,0,36,11,50,1322,1262,2589,150,135,289,1508,1415,2926,35,16,52,1374,1318,2697,159,142,300,1571,1480,3047,565,561,1123,43019,44775,87797,279,270,545,43861,45598,89461,3,4,4,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,7,3,8,6,3,9,0,0,0,0,0,0,6,3,9,18,14,32,942,777,1723,3,7,5,961,796,1760,98,98,196,6241,5858,12104,43,40,87,6390,5998,12386,35,52,82,2469,2520,4982,16,24,40,2521,2589,5109,10,23,27,1186,1205,2395,4,4,10,1203,1238,2436,14,21,35,1208,1933,3146,7,12,15,1232,1965,3194,191,201,389,23632,25627,49255,106,120,222,23927,25939,49868,38,46,81,2613,2240,4854,20,17,35,2672,2304,4970,126,120,248,10208
Sutherland - Menai - Heathcote,12802,0,0,3,3,0,0,0,7,12,13,3,0,3,8,15,21,0,0,0,0,0,0,0,0,0,0,0,0,20,18,40,906,925,1831,48,50,97,976,985,1968,24,14,38,930,957,1895,48,46,101,1004,1022,2029,606,594,1197,44363,45593,89957,246,268,519,45216,46447,91666,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,9,15,17,36,1026,963,1987,4,3,8,1047,987,2037,149,138,284,7018,6746,13766,53,31,89,7223,6915,14140,48,34,86,2898,2744,5640,19,13,31,2968,2790,5759,16,12,27,1254,1355,2607,9,10,16,1275,1375,2645,15,30,46,1159,1877,3038,3,15,15,1180,1923,3099,178,189,373,22896,24905,47801,92,101,194,23172,25199,48371,24,43,69,2681,2224,4907,29,9,36,2736,2281,5013,127,112,240,10490
Ballarat,20101,0,23,14,31,0,0,0,8,5,15,0,0,0,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,44,37,80,1842,1782,3624,231,213,444,2112,2030,4144,43,38,84,1882,1846,3730,237,213,450,2165,2099,4263,659,769,1429,43139,46503,89638,432,478,916,44230,47756,91983,9,13,25,0,0,0,0,0,0,12,13,26,0,0,3,0,0,0,0,0,0,0,0,3,12,11,17,0,0,0,0,0,0,8,11,18,15,9,18,0,0,0,0,0,0,15,9,18,23,18,34,639,652,1287,3,7,8,662,671,1334,168,168,340,5996,5737,11734,70,52,121,6237,5962,12199,48,64,107,2442,2435,4877,28,18,48,2513,2521,5027,20,24,39,1272,1520,2792,3,6,14,1293,1553,2841,17,32,52,1258,2025,3281,6,16,24,1283,2075,3360,129,172,304,16830,20546,37377,117,143,258,17078,20862,37939,83,87,169,5971,6279,12246,62,46,106,6117,6412,12521,92,128,219,7262
