yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,sa3_code16,sa3_name16,ogc_fid
2013,19832.0,44.0,829372927.0,36182.0,41820.0,69.0,4984.0,53.0,57235471.0,4612.0,11484.0,9.3,17457.0,53.0,102466862.0,402.0,5870.0,17.9,990.0,58.0,26163765.0,17444.0,26428.0,2.5,23974.0,49.0,994246650.0,34377.0,41472.0,6.15,1.86,0.3,0.08,0.48700000000000004,7.4,20.0,31.5,33.5,30.2,21.9,14.4,1357.0,21.9,1594.0,16128.0,,18.0,687.0,351.0,,,,,,,,,4869.0,4034.0,,,,,,,,,,10805,Taree - Gloucester,11
2014,20017.0,44.0,849396337.0,36814.0,42434.0,70.0,4937.0,54.0,59093619.0,5149.0,11970.0,9.4,17565.0,53.0,105761316.0,421.0,6021.0,18.1,961.0,58.0,26052427.0,18139.0,27110.0,2.3,24173.0,50.0,1013482186.0,34964.0,41926.0,6.35,1.86,0.29,0.07,0.491,7.2,20.0,31.6,34.0,30.5,21.4,14.1,1531.0,32.4,3040.0,21132.0,,13.0,633.0,333.0,,,,,,,,,4796.0,3996.0,,,,,,,,,,10805,Taree - Gloucester,12
2015,20642.0,44.0,903356312.0,37912.0,43763.0,69.0,4941.0,54.0,68395492.0,6080.0,13842.0,9.9,18096.0,53.0,106706375.0,396.0,5897.0,18.1,1020.0,58.0,28999693.0,18857.0,28431.0,2.4,24714.0,50.0,1064196141.0,35674.0,43060.0,6.15,1.87,0.3,0.08,0.48700000000000004,7.1,19.9,31.5,33.9,30.3,21.5,14.2,1650.0,44.1,4135.0,26714.0,10515.0,13.0,575.0,299.0,1354.0,,3968.0,2946.0,1001.0,,173.0,538.0,4718.0,3953.0,,,,,,,,,,10805,Taree - Gloucester,13
2016,20679.0,44.0,943914353.0,39984.0,45646.0,69.0,4987.0,54.0,74569084.0,6734.0,14953.0,10.2,18173.0,54.0,105436958.0,371.0,5802.0,17.9,1031.0,59.0,26498683.0,18000.0,25702.0,2.4,25093.0,50.0,1104622501.0,36833.0,44021.0,6.15,1.86,0.3,0.08,0.483,6.9,19.5,31.0,33.3,30.2,22.3,14.2,1555.0,53.1,3175.0,34157.0,10878.0,12.0,543.0,292.0,1342.0,,3777.0,2876.0,983.0,,203.0,477.0,4617.0,3765.0,,41.1,26.0,13.4,1.7,1.0,6.4,0.5,591.0,10805,Taree - Gloucester,14
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10832.0,8.0,523.0,263.0,1346.0,2565.0,3705.0,2866.0,995.0,312.0,171.0,515.0,4464.0,3516.0,5156.0,,,,,,,,,10805,Taree - Gloucester,15
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10791.0,,,,1356.0,2586.0,3702.0,2870.0,972.0,289.0,160.0,442.0,4332.0,3421.0,5040.0,,,,,,,,,10805,Taree - Gloucester,16
2011,122025.0,31.0,6657854542.0,40000.0,54561.0,86.0,14757.0,39.0,508525183.0,9501.0,34460.0,5.7,75243.0,35.0,684829202.0,344.0,9102.0,7.1,1839.0,58.0,43690407.0,12171.0,23758.0,0.6,117932.0,32.0,7598344880.0,45040.0,64430.0,6.12,2.0,0.33,0.16,0.527,12.1,26.8,38.2,25.2,20.9,22.0,31.9,6290.0,742.9,3550.0,118113.0,,,,,,,,,,,,,,,,,,,,,,,1206.0,11703,Sydney Inner City,17
2012,126949.0,31.0,7220040699.0,41700.0,56874.0,86.0,15338.0,39.0,537224169.0,9790.0,35026.0,5.8,79886.0,35.0,727430293.0,352.0,9106.0,7.3,1845.0,58.0,51697714.0,16008.0,28020.0,0.6,121680.0,32.0,8147732420.0,47079.0,66960.0,6.03,2.0,0.33,0.17,0.523,11.9,26.5,37.9,25.6,20.8,22.2,31.4,5517.0,221.8,2374.0,40201.0,,,289.0,103.0,,,,,,,,,,,,,,,,,,,,11703,Sydney Inner City,18
2013,133294.0,31.0,7885884776.0,43854.0,59162.0,86.0,16022.0,39.0,545651914.0,9940.0,34056.0,5.8,83593.0,35.0,864359520.0,323.0,10340.0,7.4,1894.0,58.0,50483090.0,14242.0,26654.0,0.6,126064.0,33.0,8849713422.0,49729.0,70200.0,5.75,1.97,0.34,0.17,0.521,12.4,26.7,37.9,25.5,20.3,22.6,31.6,6435.0,307.3,2163.0,47750.0,,,254.0,97.0,,,,,,,,,4048.0,3725.0,,,,,,,,,,11703,Sydney Inner City,19
2014,139317.0,31.0,8653035429.0,45744.0,62110.0,85.0,16788.0,39.0,594411252.0,10565.0,35407.0,6.0,87748.0,35.0,923839302.0,313.0,10528.0,7.6,1934.0,58.0,57469456.0,15703.0,29715.0,0.6,130534.0,33.0,9613274976.0,51534.0,73646.0,5.68,1.97,0.35,0.17,0.525,13.3,27.5,38.5,24.9,20.5,22.6,32.0,8000.0,528.4,3170.0,66055.0,,,223.0,90.0,,,,,,,,,3998.0,3596.0,,,,,,,,,,11703,Sydney Inner City,20
2015,151034.0,32.0,9813673171.0,48000.0,64977.0,85.0,17998.0,39.0,668056129.0,11163.0,37118.0,6.1,97967.0,35.0,1174233981.0,266.0,11986.0,8.0,2007.0,58.0,60390525.0,17142.0,30090.0,0.6,140108.0,33.0,10748493582.0,52769.0,76716.0,5.77,1.98,0.34,0.17,0.5329999999999999,14.2,28.4,39.4,25.0,20.4,22.5,32.2,9018.0,911.7,4407.0,101093.0,9155.0,,205.0,77.0,920.0,,6381.0,5143.0,621.0,,2682.0,246.0,3788.0,3539.0,,,,,,,,,,11703,Sydney Inner City,21
2016,155795.0,31.0,10583074901.0,49564.0,67929.0,84.0,19234.0,38.0,707794226.0,11083.0,36799.0,6.2,103981.0,35.0,1206172439.0,221.0,11600.0,8.3,2031.0,59.0,66336390.0,19243.0,32662.0,0.7,146996.0,33.0,11532355318.0,53601.0,78454.0,6.03,2.02,0.33,0.17,0.5379999999999999,14.2,28.5,39.6,25.2,20.3,21.8,32.6,9395.0,770.7,3192.0,82033.0,9178.0,,190.0,75.0,931.0,,6077.0,4560.0,590.0,,2547.0,249.0,3641.0,3178.0,,17.3,16.4,25.4,9.2,7.1,10.3,0.6,1363.0,11703,Sydney Inner City,22
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8956.0,,174.0,71.0,899.0,1712.0,5790.0,4196.0,544.0,140.0,2098.0,210.0,3444.0,2979.0,7341.0,,,,,,,,,11703,Sydney Inner City,23
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8702.0,,,,930.0,1704.0,5630.0,4091.0,510.0,114.0,1794.0,182.0,3190.0,2718.0,6710.0,,,,,,,,,11703,Sydney Inner City,24
2011,72599.0,38.0,3355138875.0,43159.0,46215.0,88.0,7058.0,45.0,127376737.0,10900.0,18047.0,5.3,40380.0,45.0,71623973.0,163.0,1774.0,5.2,1805.0,57.0,38837524.0,14958.0,21517.0,1.1,75383.0,40.0,3511552653.0,42606.0,46583.0,3.85,1.63,0.42,0.2,0.386,4.8,15.1,25.2,21.1,26.3,31.8,20.8,1952.0,41.1,2358.0,21055.0,,,,,,,,,,,,,,,,,,,,,,,720.0,12302,Campbelltown (NSW),25
2012,73829.0,38.0,3535918249.0,44546.0,47893.0,88.0,7011.0,45.0,128641977.0,11403.0,18349.0,5.2,42198.0,45.0,87466718.0,160.0,2073.0,5.4,1753.0,57.0,37884604.0,15010.0,21611.0,1.1,75750.0,40.0,3688693937.0,44348.0,48696.0,3.77,1.63,0.43,0.21,0.385,5.0,15.2,25.3,21.5,26.6,31.9,20.0,1713.0,32.3,2169.0,18839.0,,9.0,812.0,340.0,,,,,,,,,,,,,,,,,,,,12302,Campbelltown (NSW),26
2013,75128.0,38.0,3685357530.0,45391.0,49054.0,88.0,7081.0,45.0,135092630.0,12000.0,19078.0,5.3,42318.0,45.0,92319059.0,159.0,2182.0,5.5,1807.0,57.0,39872923.0,13572.0,22066.0,1.1,75913.0,41.0,3826620746.0,45615.0,50408.0,3.64,1.63,0.45,0.23,0.381,4.9,15.2,25.3,21.4,27.4,31.7,19.5,2048.0,40.4,2030.0,19745.0,,4.0,790.0,336.0,,,,,,,,,15465.0,13424.0,,,,,,,,,,12302,Campbelltown (NSW),27
2014,76822.0,38.0,3843023956.0,46351.0,50025.0,88.0,7208.0,45.0,141200001.0,12462.0,19589.0,5.4,43442.0,45.0,102934423.0,154.0,2369.0,5.6,1971.0,57.0,44043738.0,13823.0,22346.0,1.2,77445.0,41.0,3968518709.0,46421.0,51243.0,3.68,1.63,0.44,0.22,0.38299999999999995,4.8,15.2,25.3,21.7,27.5,31.6,19.3,2432.0,68.0,3579.0,27972.0,,4.0,739.0,318.0,,,,,,,,,15495.0,13582.0,,,,,,,,,,12302,Campbelltown (NSW),28
2015,79794.0,38.0,4105735534.0,47592.0,51454.0,87.0,7688.0,44.0,155265133.0,13311.0,20196.0,5.7,46590.0,44.0,107968364.0,138.0,2317.0,6.0,2016.0,57.0,49455098.0,15252.0,24531.0,1.2,79885.0,40.0,4186600810.0,47448.0,52408.0,3.72,1.63,0.44,0.22,0.385,4.9,15.4,25.5,21.8,27.4,31.5,19.2,2553.0,133.6,3818.0,52320.0,13340.0,5.0,691.0,299.0,3238.0,,6538.0,6035.0,3177.0,,1678.0,1060.0,15369.0,13553.0,,,,,,,,,,12302,Campbelltown (NSW),29
2016,82170.0,38.0,4395055172.0,49488.0,53487.0,87.0,8156.0,44.0,160999573.0,12443.0,19740.0,5.6,49133.0,43.0,101946232.0,111.0,2075.0,6.0,1950.0,58.0,46965536.0,15216.0,24085.0,1.2,82737.0,40.0,4447557157.0,48821.0,53755.0,3.8,1.64,0.43,0.21,0.387,4.8,15.3,25.4,21.6,27.0,31.5,19.9,2548.0,111.7,3582.0,43830.0,13773.0,7.0,655.0,270.0,3285.0,,6208.0,5466.0,3122.0,,1628.0,818.0,15272.0,13001.0,,28.2,25.9,22.6,3.1,1.0,10.8,0.5,818.0,12302,Campbelltown (NSW),30
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13916.0,6.0,612.0,253.0,3291.0,6502.0,6018.0,5372.0,3032.0,965.0,1431.0,788.0,14968.0,12261.0,9125.0,,,,,,,,,12302,Campbelltown (NSW),31
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13977.0,,,,3435.0,6650.0,6058.0,5337.0,2896.0,894.0,1305.0,699.0,14610.0,11927.0,9050.0,,,,,,,,,12302,Campbelltown (NSW),32
2011,57606.0,40.0,3341172071.0,48590.0,58000.0,81.0,7580.0,46.0,169559646.0,10482.0,22369.0,5.9,49594.0,46.0,225359405.0,357.0,4544.0,11.8,2092.0,59.0,49445031.0,16303.0,23635.0,1.4,64941.0,43.0,3728429063.0,46252.0,57413.0,4.92,1.86,0.38,0.17,0.45399999999999996,6.9,19.4,30.5,21.5,23.1,23.7,31.6,3908.0,104.1,2132.0,26626.0,,,,,,,,,,,,,,,,,,,,,,,996.0,12802,Sutherland - Menai - Heathcote,33
2012,58303.0,40.0,3508803327.0,50459.0,60182.0,80.0,7592.0,46.0,170591607.0,10917.0,22470.0,5.8,50800.0,46.0,244204445.0,362.0,4807.0,12.0,2112.0,59.0,54282117.0,17154.0,25702.0,1.5,65407.0,43.0,3902010304.0,48507.0,59657.0,4.77,1.84,0.39,0.18,0.44799999999999995,6.6,19.0,30.1,21.7,23.0,24.7,30.6,3321.0,79.0,1615.0,23779.0,,25.0,567.0,355.0,,,,,,,,,,,,,,,,,,,,12802,Sutherland - Menai - Heathcote,34
2013,59170.0,41.0,3668270364.0,52000.0,61995.0,80.0,7496.0,46.0,176095165.0,11632.0,23492.0,5.8,50581.0,46.0,262030572.0,383.0,5180.0,11.9,2083.0,59.0,54663416.0,18069.0,26243.0,1.5,65250.0,43.0,4055502208.0,50495.0,62153.0,4.61,1.84,0.4,0.19,0.446,6.7,19.1,30.1,21.6,23.1,24.8,30.5,4070.0,87.0,1495.0,21375.0,,26.0,502.0,349.0,,,,,,,,,4949.0,4388.0,,,,,,,,,,12802,Sutherland - Menai - Heathcote,35
2014,60203.0,41.0,3824706179.0,53460.0,63530.0,80.0,7514.0,46.0,186733951.0,12083.0,24851.0,5.8,50869.0,46.0,272573198.0,414.0,5358.0,12.0,2080.0,59.0,57593278.0,18854.0,27689.0,1.5,65926.0,43.0,4196862057.0,52078.0,63660.0,4.62,1.83,0.4,0.18,0.442,6.4,18.7,29.7,21.5,22.9,24.8,30.9,4567.0,142.8,2616.0,31268.0,,19.0,464.0,352.0,,,,,,,,,4816.0,4294.0,,,,,,,,,,12802,Sutherland - Menai - Heathcote,36
2015,62373.0,41.0,4105710330.0,55075.0,65825.0,80.0,7404.0,46.0,193139355.0,13112.0,26086.0,5.8,52078.0,46.0,289856564.0,410.0,5566.0,12.5,2080.0,59.0,60953563.0,20193.0,29305.0,1.5,67076.0,44.0,4403983590.0,53269.0,65657.0,4.67,1.83,0.39,0.18,0.446,6.8,19.3,30.2,21.5,22.8,24.8,30.9,4967.0,159.9,3429.0,32196.0,10883.0,20.0,430.0,314.0,518.0,,1805.0,1359.0,520.0,,691.0,122.0,4484.0,4060.0,,,,,,,,,,12802,Sutherland - Menai - Heathcote,37
2016,62034.0,41.0,4244952764.0,57481.0,68429.0,80.0,7407.0,46.0,194813430.0,13291.0,26301.0,5.8,52013.0,46.0,306245427.0,369.0,5888.0,12.6,1995.0,59.0,59255415.0,21523.0,29702.0,1.5,67009.0,44.0,4545506819.0,54998.0,67834.0,4.76,1.85,0.39,0.17,0.44799999999999995,6.8,19.1,30.1,21.1,22.4,24.6,31.8,4814.0,162.3,2258.0,33706.0,10977.0,14.0,388.0,299.0,533.0,,1715.0,1204.0,502.0,,655.0,95.0,4187.0,3305.0,,23.7,22.2,28.2,8.0,4.2,7.8,0.3,1147.0,12802,Sutherland - Menai - Heathcote,38
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10252.0,9.0,319.0,267.0,513.0,2008.0,1649.0,1039.0,492.0,92.0,537.0,98.0,3884.0,2972.0,2254.0,,,,,,,,,12802,Sutherland - Menai - Heathcote,39
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.0,,,,523.0,2049.0,1649.0,1003.0,470.0,71.0,459.0,100.0,3521.0,2701.0,2169.0,,,,,,,,,12802,Sutherland - Menai - Heathcote,40
2011,27643.0,42.0,1289010751.0,37647.0,46631.0,67.0,5825.0,49.0,121176412.0,9907.0,20803.0,8.3,25767.0,50.0,298592091.0,894.0,11588.0,21.5,1683.0,59.0,38032118.0,14940.0,22598.0,2.2,35670.0,46.0,1734186257.0,36856.0,48618.0,6.47,2.04,0.32,0.12,0.502,9.0,22.5,33.8,29.2,25.4,21.8,23.6,3087.0,107.8,4425.0,34913.0,,,,,,,,,,,,,,,,,,,,,,,724.0,20303,Surf Coast - Bellarine Peninsula,41
