gml_id,sa3_name16,sa3_code16,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575a,Upper Hunter,"10604","122","570","3","691","2615","352","13","3671","18","282","4","298","2035","281","16","2630","5","44","3","53","1145","235","3","1438","3","5","0","9","429","114","0","554","5168","1684","180","7029","14016","2580","155","23781"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575b,Dapto - Port Kembla,"10701","298","1840","21","2166","6395","507","37","9108","66","1407","4","1476","5075","529","27","7111","10","258","0","266","3899","601","13","4776","3","9","0","17","1568","317","3","1905","11898","5588","546","18030","38179","3857","212","60286"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575c,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575d,Kiama - Shellharbour,"10703","415","2525","21","2963","7993","657","35","11652","72","1750","7","1835","6383","802","24","9038","25","275","0","304","3970","711","8","4995","8","23","0","26","1561","475","0","2059","14702","7016","722","22439","43807","5026","238","71512"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575e,Wollongong,"10704","614","2675","45","3332","10522","831","153","14831","114","2639","16","2769","7373","886","76","11105","28","548","3","583","5683","793","31","7091","7","58","0","63","2834","442","6","3352","20241","8790","921","29960","68393","6898","1345","106595"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_575f,Great Lakes,"10801","123","608","10","735","3949","349","8","5039","24","480","3","506","4637","492","14","5645","4","67","0","75","2773","530","9","3388","0","6","0","11","1120","326","3","1456","3605","1772","124","5503","18755","2599","76","26927"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5760,Kempsey - Nambucca,"10802","234","960","14","1209","6231","728","19","8188","55","630","3","686","5772","782","18","7256","6","94","0","102","2876","650","3","3625","3","3","0","7","1166","397","3","1581","5890","2743","246","8874","26504","4975","162","40519"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5761,Lord Howe Island,"10803","0","10","0","11","66","19","3","100","0","12","0","12","47","14","0","65","0","0","0","0","20","3","3","25","0","0","0","0","7","0","0","8","51","35","8","95","247","72","15","425"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5762,Port Macquarie,"10804","361","1479","18","1856","8654","713","52","11268","73","1248","6","1330","9337","1148","42","11858","24","194","0","218","5841","1060","19","7135","5","14","0","17","2476","517","7","3016","10985","4582","484","16051","44019","5649","299","66026"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5763,Taree - Gloucester,"10805","228","1174","15","1412","6468","665","15","8565","50","747","3","802","6647","747","16","8212","5","129","0","139","3517","609","11","4276","3","18","0","21","1303","414","3","1741","6780","3270","315","10358","29903","4125","168","44554"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5764,Albury,"10901","292","1195","18","1506","5712","614","51","7885","51","874","4","930","4341","618","22","5904","9","114","3","123","2623","575","7","3324","5","16","0","17","1219","324","0","1569","9623","3808","433","13865","30661","4503","228","49264"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5765,Lower Murray,"10902","48","253","0","302","1496","270","10","2073","9","163","0","172","1198","256","9","1632","8","35","0","36","619","179","0","841","0","0","0","0","194","50","0","242","1774","801","62","2632","6643","1590","133","10993"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5766,Upper Murray exc. Albury,"10903","173","915","6","1097","4768","638","17","6512","40","581","3","629","4525","703","13","5869","17","119","0","132","2630","633","9","3396","9","4","0","13","1041","300","0","1354","5669","2518","233","8414","21981","3958","143","34495"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5767,Armidale,"11001","181","571","8","764","3497","394","31","4680","35","413","0","454","2882","386","18","3735","11","81","3","97","1601","284","0","1981","5","5","0","11","657","141","0","808","5271","1913","198","7382","20104","2970","313","30777"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5768,Inverell - Tenterfield,"11002","156","722","6","884","4256","659","21","5815","53","451","3","502","4027","754","16","5291","15","75","0","88","2282","525","4","2903","9","10","0","21","758","265","0","1043","5047","2105","208","7366","19794","4025","167","31356"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5769,Moree - Narrabri,"11003","99","453","3","559","2484","448","20","3514","23","308","3","332","1939","434","7","2715","5","59","0","60","1027","303","0","1392","5","4","0","8","280","103","0","392","3796","1492","170","5461","12270","3005","99","20842"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576a,Tamworth - Gunnedah,"11004","291","1567","11","1873","7610","981","22","10490","75","1012","6","1095","6167","1011","19","8288","15","200","0","214","3887","836","12","4944","10","22","0","31","1559","357","0","1945","12299","4849","564","17716","39593","6698","286","64293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576b,Lake Macquarie - East,"11101","557","3398","35","3991","10652","682","44","15373","108","2949","10","3064","8783","823","30","12706","24","534","4","562","6032","935","11","7543","10","33","0","43","2594","636","9","3280","19612","9900","905","30413","60179","5321","294","96200"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576c,Lake Macquarie - West,"11102","291","1970","28","2291","6940","459","33","9718","81","1557","3","1638","6125","596","22","8384","13","227","0","244","3910","538","7","4693","3","8","0","14","1784","464","4","2266","11953","5787","542","18274","38099","3627","172","60177"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576d,Newcastle,"11103","794","3413","37","4246","13563","1270","149","19232","121","2980","12","3110","9710","1258","65","14141","27","545","10","582","6396","1310","17","8308","7","51","0","61","2971","1297","10","4337","25247","11267","1134","37651","87579","9881","1212","136321"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576e,Richmond Valley - Coastal,"11201","609","1528","22","2157","9496","1377","71","13101","79","1406","5","1489","7553","1175","56","10272","21","182","3","205","4071","817","23","5118","6","21","0","30","1955","633","6","2617","11666","4699","531","16897","42067","7956","920","67839"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_576f,Richmond Valley - Hinterland,"11202","385","1469","19","1871","7996","997","27","10894","66","859","3","931","5917","789","16","7658","19","169","0","183","3320","635","4","4142","6","14","0","20","1527","331","5","1876","9821","4288","562","14674","36625","5838","285","57424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5770,Tweed Valley,"11203","506","2087","32","2620","10090","1133","92","13932","84","1478","7","1573","9958","1364","94","12989","17","253","3","278","6408","1251","63","7999","9","22","0","31","2741","831","11","3612","13314","5762","561","19640","50639","7730","562","78565"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5771,Griffith - Murrumbidgee (West),"11301","192","859","4","1057","4245","702","54","6061","35","559","3","601","2976","622","18","4222","8","144","0","155","2041","566","3","2762","12","6","0","19","872","317","3","1210","7148","2823","241","10219","23033","4697","526","38473"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5772,Tumut - Tumbarumba,"11302","56","282","0","338","1518","249","3","2117","5","165","0","173","1309","188","3","1671","5","41","0","44","717","169","0","934","4","6","0","10","282","132","0","420","2098","836","63","2995","7044","1562","42","11650"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5773,Wagga Wagga,"11303","402","1862","27","2286","8114","957","45","11404","79","1226","0","1306","6342","877","23","8552","13","200","0","216","4097","751","11","5067","8","20","0","29","1891","363","3","2289","14256","5747","605","20605","47436","7050","283","75379"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5774,Shoalhaven,"11401","437","2164","27","2628","11065","1168","43","14904","74","1723","10","1801","11201","1329","36","14375","14","246","0","261","6440","1233","11","7945","8","12","0","20","2373","746","4","3138","13091","6375","653","20118","53028","8361","313","81821"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5775,Southern Highlands,"11402","315","895","13","1218","4871","408","30","6531","45","984","3","1036","5286","547","18","6884","9","213","0","221","3108","436","10","3776","3","10","0","17","1143","271","4","1442","7143","3080","321","10541","25167","3096","174","38978"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5776,Baulkham Hills,"11501","1031","2829","51","3918","13229","447","584","18171","277","3443","41","3759","8306","500","437","13004","40","573","4","620","4772","490","91","5970","4","43","0","43","2216","640","8","2907","27170","9192","700","37062","72393","4324","1930","115709"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5777,Dural - Wisemans Ferry,"11502","204","554","6","763","2436","179","37","3414","29","667","3","698","1899","180","20","2799","8","107","0","111","1123","117","6","1358","0","8","0","11","547","46","0","600","4359","1784","149","6290","13499","1236","147","21172"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5778,Hawkesbury,"11503","129","564","11","706","2297","277","8","3293","27","433","0","463","1608","210","3","2289","3","50","0","51","690","86","3","829","3","3","0","3","211","36","0","251","4211","1619","189","6021","11709","1593","60","19389"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5779,Rouse Hill - McGraths Hill,"11504","154","641","13","810","2284","128","94","3319","33","532","7","573","1411","115","47","2145","5","75","0","81","657","60","9","811","0","7","0","7","206","21","3","236","7008","1900","223","9128","14571","1036","252","24997"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577a,Blacktown,"11601","633","2180","40","2858","11003","846","510","15214","135","1704","18","1853","7107","761","292","10010","31","297","3","339","3975","564","60","4933","8","12","0","27","1668","290","3","1984","23562","7116","640","31313","68456","6791","1466","108033"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577b,Blacktown - North,"11602","401","1338","26","1771","5862","410","370","8412","94","1101","12","1209","3148","311","317","4983","12","156","6","175","1377","147","74","1770","3","5","0","11","428","50","13","494","20263","4528","566","25352","40004","4087","1122","70572"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577c,Mount Druitt,"11603","544","1526","33","2102","8021","850","307","11272","115","925","20","1064","5357","745","194","7351","25","156","3","181","2501","403","47","3131","9","3","0","13","973","98","7","1095","18578","5574","638","24788","53415","6936","1026","86163"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577d,Botany,"11701","290","497","15","800","3387","454","226","4868","54","578","3","636","2412","381","117","3541","23","157","0","175","1610","286","31","2104","0","10","0","10","568","173","5","758","7714","2070","175","9957","25966","3812","1395","41133"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577e,Sydney Inner City,"11703","756","1239","21","2022","13446","3741","2155","21358","152","1451","12","1610","7971","2233","950","12763","44","316","0","359","3804","1180","222","5567","10","20","0","32","1361","546","38","1972","18195","6445","529","25172","154467","36826","22433","238900"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_577f,Eastern Suburbs - North,"11801","960","1144","34","2140","8612","1199","241","12197","175","2365","19","2558","6587","1162","173","10480","52","622","7","684","4144","895","59","5778","9","62","0","74","2432","619","12","3140","19016","6255","525","25806","67864","11984","2693","108350"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5780,Eastern Suburbs - South,"11802","866","1300","27","2193","9761","1265","359","13583","158","1958","16","2128","6518","1101","172","9915","48","587","5","636","4553","794","40","6024","14","51","0","66","2588","546","12","3215","20406","6222","595","27219","80464","11872","3376","122923"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5781,Bankstown,"11901","1026","2325","42","3396","14236","1239","313","19187","207","2023","19","2246","9284","997","212","12745","45","440","7","494","6389","763","64","7707","11","43","0","60","3475","470","9","4014","27090","7884","671","35641","88953","9981","1347","135922"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5782,Canterbury,"11902","878","1346","44","2262","10208","862","338","13674","179","1438","10","1630","6742","741","169","9280","47","453","6","499","5066","560","42","6173","11","34","0","45","2210","284","3","2544","22170","5441","424","28031","71508","7937","1434","108916"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5783,Hurstville,"11903","1031","1851","48","2927","11007","676","585","15194","269","2288","25","2585","6932","597","327","10441","61","550","10","623","5258","548","81","6514","11","49","0","60","2863","403","9","3331","20691","6572","475","27740","71710","5668","2087","107206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5784,Kogarah - Rockdale,"11904","845","1574","37","2454","10587","929","552","14530","212","1841","24","2076","7630","878","251","10826","50","565","3","613","5449","867","77","7013","8","41","0","48","2647","758","10","3463","21459","6158","439","28055","78809","8974","2262","118101"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5785,Canada Bay,"12001","529","1057","17","1603","6912","515","363","9389","132","1472","13","1614","4642","488","139","6884","28","388","3","424","3256","328","27","4031","5","24","0","31","1806","217","11","2070","14079","4197","290","18577","47525","4482","1288","71868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5786,Leichhardt,"12002","411","526","8","949","4589","472","65","6074","55","811","7","872","2998","325","80","4283","11","142","0","154","1409","179","11","1752","0","14","0","15","657","70","8","739","9976","2423","348","12753","28511","3693","503","45460"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5787,Strathfield - Burwood - Ashfield,"12003","1053","1345","52","2455","11629","911","555","15547","223","1778","27","2022","7144","662","264","10090","47","589","12","644","5405","540","79","6666","10","58","0","62","2922","362","8","3351","22204","6093","591","28884","90834","9115","2664","131493"
