sa3_code16,p15_19_managers,p15_19_professionals,p15_19_technictrades_wrs,p15_19_communpersnlsvc_w,p15_19_clericaladminis_w,p15_19_sales_w,p15_19_mach_oper_drivers,p15_19_labourers,p15_19_occu_id_ns,p15_19_tot,p20_24_managers,p20_24_professionals,p20_24_technictrades_w,p20_24_communpersnlsvc_w,p20_24_clericaladminis_w,p20_24_sales_w,p20_24_mach_oper_drivers,p20_24_labourers,p20_24_occu_id_ns,p20_24_tot,p25_34_managers,p25_34_professionals,p25_34_technictrades_w,p25_34_communpersnlsvc_w,p25_34_clericaladminis_w,p25_34_sales_w,p25_34_mach_oper_drivers,p25_34_labourers,p25_34_occu_id_ns,p25_34_tot,p35_44_managers,p35_44_professionals,p35_44_technictrades_w,p35_44_communpersnlsvc_w,p35_44_clericaladminis_w,p35_44_sales_w,p35_44_mach_oper_drivers,p35_44_labourers,p35_44_occu_id_ns,p35_44_tot,p45_54_managers,p45_54_professionals,p45_54_technictrades_w,p45_54_communpersnlsvc_w,p45_54_clericaladminis_w,p45_54_sales_w,p45_54_mach_oper_drivers,p45_54_labourers,p45_54_occu_id_ns,p45_54_tot,p55_64_managers,p55_64_professionals,p55_64_technictrades_w,p55_64_communpersnlsvc_w,p55_64_clericaladminis_w,p55_64_sales_w,p55_64_mach_oper_drivers,p55_64_labourers,p55_64_occu_id_ns,p55_64_tot,p65_74_managers,p65_74_professionals,p65_74_technictrades_w,p65_74_communpersnlsvc_w,p65_74_clericaladminis_w,p65_74_sales_w,p65_74_mach_oper_drivers,p65_74_labourers,p65_74_occu_id_ns,p65_74_tot,p75_84_managers,p75_84_professionals,p75_84_technictrades_w,p75_84_communpersnlsvc_w,p75_84_clericaladminis_w,p75_84_sales_w,p75_84_mach_oper_drivers,p75_84_labourers,p75_84_occu_id_ns,p75_84_tot,p85_ov_managers,p85_ov_professionals,p85_ov_technictrades_w,p85_ov_communpersnlsvc_w,p85_ov_clericaladminis_w,p85_ov_sales_w,p85_ov_mach_oper_drivers,p85_ov_labourers,p85_ov_occu_id_ns,p85_ov_tot,p_tot_managers,p_tot_professionals,p_tot_technictrades_w,p_tot_communpersnlsvc_w,p_tot_clericaladminis_w,p_tot_sales_w,p_tot_mach_oper_drivers,p_tot_labourers,p_tot_occu_id_ns,p_tot_tot,sa3_name16
50602,17,10,136,210,69,446,33,214,11,1155,179,472,616,706,409,609,223,538,66,3816,1038,3267,2062,1308,1362,692,638,1076,191,11625,1058,2247,1150,656,961,385,473,535,106,7565,850,1280,805,479,926,376,466,487,112,5772,554,776,485,372,759,256,363,384,49,4002,108,205,129,84,198,66,92,95,25,987,11,10,14,5,12,10,8,11,4,85,0,0,0,0,4,4,0,4,3,16,3810,8257,5395,3810,4701,2835,2303,3346,569,35026,Belmont - Victoria Park
50603,23,42,238,424,94,789,56,414,33,2114,182,703,626,939,449,1011,273,746,70,4997,852,3008,1669,1155,1240,781,691,1128,168,10692,1042,2702,1367,847,1132,444,558,738,153,8983,1151,2154,1145,822,1371,479,570,699,156,8542,777,1423,776,553,1093,349,398,533,92,5989,164,327,189,111,267,113,110,166,20,1466,20,32,12,6,12,10,10,20,6,124,3,0,0,0,0,0,0,3,0,10,4221,10387,6005,4860,5659,3970,2672,4441,714,42927,Canning
50604,35,39,336,400,110,1080,78,613,51,2748,190,460,1025,727,547,969,385,743,94,5136,947,2523,2496,1328,1734,1008,1288,1432,235,12975,1264,2410,2320,1275,1733,737,1191,1259,243,12423,1158,1555,1864,1101,1769,686,1284,1222,201,10842,678,918,1080,817,1234,512,890,873,114,7119,150,214,203,161,260,149,190,196,36,1555,13,17,15,9,19,16,11,18,10,122,0,0,0,4,0,0,3,0,0,12,4428,8129,9340,5830,7415,5158,5316,6347,972,52930,Gosnells
50605,17,39,231,280,87,536,47,355,24,1616,100,200,619,391,294,378,162,261,30,2438,455,1033,1202,439,828,357,453,388,84,5231,756,1236,1051,521,905,331,598,420,95,5912,885,1105,977,613,1107,396,657,446,91,6285,606,777,606,436,859,276,501,348,65,4468,175,245,143,79,186,103,139,99,21,1186,26,20,13,9,11,9,10,18,6,115,0,3,0,0,3,0,0,0,0,5,3020,4647,4830,2767,4277,2380,2573,2341,411,27255,Kalamunda
50606,17,9,157,88,33,247,25,166,11,750,49,88,388,176,155,159,96,159,22,1295,245,439,810,341,476,242,408,256,50,3272,314,392,528,303,390,181,341,230,55,2729,396,357,500,261,433,178,387,244,40,2789,215,218,273,171,289,104,215,157,15,1660,65,37,38,21,61,27,49,44,7,352,11,3,0,0,3,0,3,3,3,32,3,0,0,0,0,0,0,0,0,11,1315,1549,2706,1352,1842,1142,1522,1265,204,12896,Serpentine - Jarrahdale
50607,16,35,58,200,61,307,27,136,13,856,106,452,260,516,275,356,78,200,34,2268,586,2221,685,486,566,287,147,270,78,5332,763,1679,359,245,501,199,89,151,46,4024,877,1443,303,245,596,209,99,141,52,3968,652,1082,256,190,557,194,100,126,33,3195,182,331,68,57,171,89,36,62,27,1021,18,29,3,9,8,7,6,10,10,95,3,4,0,0,3,0,0,0,3,16,3205,7277,1993,1946,2734,1647,584,1088,301,20767,South Perth
50701,26,41,341,400,119,1009,81,498,43,2566,198,501,922,768,578,775,267,510,74,4585,1201,3276,2495,1179,1687,789,670,881,194,12368,1693,3051,2225,1036,1775,655,738,907,217,12297,1412,1988,1795,1009,1781,723,835,958,192,10689,784,1063,1015,695,1126,455,578,683,95,6489,155,258,188,125,220,110,127,176,29,1393,17,12,7,6,23,12,7,18,15,114,3,4,0,0,0,0,0,0,3,14,5489,10195,8987,5228,7299,4525,3297,4638,867,50518,Cockburn
50702,15,18,46,177,34,253,17,161,13,722,58,218,171,365,131,234,43,126,17,1368,458,1417,610,453,358,189,126,251,74,3937,629,1566,421,231,372,148,120,149,67,3688,759,1571,387,273,487,224,127,142,70,4031,521,1132,293,239,382,154,127,160,37,3040,158,319,65,49,126,64,41,59,12,891,19,34,3,0,10,7,3,13,6,90,0,3,0,0,0,0,0,0,0,7,2610,6284,1981,1788,1884,1280,598,1051,295,17776,Fremantle
50703,11,5,121,96,33,334,31,218,16,863,78,126,370,261,173,284,129,250,34,1715,401,965,973,589,701,375,479,493,87,5056,375,663,807,417,541,269,440,405,68,3989,258,388,533,363,422,241,447,417,61,3134,150,194,257,214,282,103,264,232,43,1734,29,32,34,19,31,16,51,55,7,289,0,4,4,3,0,0,0,8,4,20,0,0,0,0,0,0,0,0,0,3,1296,2382,3106,1964,2180,1625,1842,2078,324,16802,Kwinana
50704,30,83,200,525,141,1074,74,470,25,2607,204,825,632,901,536,940,138,453,56,4681,950,3395,1197,783,1009,568,299,540,126,8862,1770,3655,1068,697,1308,491,278,369,141,9776,2216,3512,1116,842,1836,571,320,448,155,11014,1502,2719,791,604,1520,548,339,438,96,8555,403,698,198,131,398,213,85,133,54,2306,40,67,16,6,39,27,15,23,8,245,10,6,3,3,3,4,0,0,4,29,7121,14961,5221,4487,6799,4430,1536,2865,659,48082,Melville
