sa3_name16,sa3_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Cleveland - Stradbroke,30102,21,20,43,428,410,840,0,0,4,453,430,881,145,137,286,3458,3341,6798,34,32,61,3633,3507,7140,112,101,214,2911,2715,5625,18,31,52,3041,2855,5892,6,4,9,135,152,284,0,0,0,142,156,290,0,3,6,42,117,153,0,0,0,41,116,161,3,3,6,195,103,300,0,0,3,197,112,308,10,4,15,157,328,484,0,3,0,165,339,502,0,0,0,13,0,12,0,0,0,13,0,12,17,21,40,528,699,1228,0,3,6,548,721,1272,6,20,25,585,795,1380,0,7,8,592,819,1416,0,18,20,111,209,320,0,0,0,115,225,332,0,5,3,82,115,190,0,0,0,82,113,195,3,6,8,222,436,656,0,0,0,221,440,667,0,0,0,3,7,9,0,0,0,3,10,14,12,46,56,994,1556,2552,4,7,14,1011,1608,2619,14,18,28,202,331,533,0,0,3,221,344,568,32,28,57,553,661,1214,1619,1611
Wynnum - Manly,30103,14,7,19,549,431,977,3,9,11,561,447,1011,115,100,215,3153,3082,6235,16,20,42,3282,3204,6487,73,88,161,2185,2034,4219,12,15,27,2273,2128,4400,0,7,10,92,94,185,0,0,3,93,102,199,3,4,8,49,84,138,0,0,0,50,91,142,3,0,8,108,78,186,0,0,0,113,87,197,6,9,12,165,283,445,0,0,3,169,297,461,0,0,0,4,0,8,0,0,0,4,0,8,11,26,40,415,546,960,3,3,3,426,571,998,16,16,29,609,719,1323,0,8,4,627,739,1367,3,6,10,122,246,370,0,0,0,126,259,384,3,3,4,73,123,196,0,0,0,72,122,195,8,15,18,287,515,796,3,0,3,294,526,821,0,0,0,3,8,9,0,0,0,3,7,12,23,38,66,1089,1603,2699,0,4,8,1121,1654,2773,7,9,15,177,287,468,0,0,0,189,299,484,33,25,59,487,582,1072,1322,1211
Bald Hills - Everton Park,30201,6,7,17,266,253,521,3,0,3,273,267,537,52,39,92,1635,1577,3213,13,18,31,1705,1631,3334,30,32,65,1264,1349,2613,11,9,24,1308,1387,2695,0,3,3,48,48,94,0,0,0,48,56,100,3,0,3,36,43,77,0,0,0,38,41,76,0,3,6,90,54,148,0,0,0,94,62,155,0,3,7,94,154,248,0,0,0,96,157,249,0,0,0,3,0,3,0,0,0,3,3,4,6,11,19,268,298,568,0,3,3,272,315,585,7,12,17,510,661,1179,3,3,3,522,678,1202,0,4,6,141,183,321,0,0,0,141,187,325,0,4,4,67,68,142,0,0,0,67,74,147,0,0,6,223,355,578,0,0,5,226,365,586,0,0,0,0,3,6,0,0,0,0,3,6,8,21,32,948,1278,2227,3,3,5,959,1302,2264,0,0,4,94,153,248,0,0,3,97,152,254,8,11,19,202,261,461,615,602
Chermside,30202,9,14,23,408,381,782,3,0,5,414,394,811,80,93,177,2640,2523,5163,20,11,28,2745,2627,5376,48,69,114,1911,1789,3708,9,11,18,1976,1867,3844,0,3,11,119,125,241,0,0,0,124,128,253,0,3,4,90,167,255,0,0,0,93,170,262,3,3,5,116,92,205,0,3,3,119,102,216,5,3,11,172,275,451,0,0,0,180,282,459,0,0,0,5,0,8,0,0,0,5,3,9,10,20,27,505,657,1162,0,7,7,516,680,1197,10,22,32,740,1092,1833,0,4,6,757,1115,1867,3,6,14,311,431,748,0,0,3,314,441,757,3,0,5,100,148,247,3,0,3,104,147,253,4,7,15,404,640,1042,0,3,3,409,648,1052,0,0,0,5,11,18,0,0,0,5,11,18,25,33,60,1558,2323,3880,9,5,13,1589,2362,3954,8,3,13,192,311,498,0,0,3,197,312,511,28,52,81,572,774,1345,1302,1318
Nundah,30203,5,8,15,228,185,410,3,0,6,233,197,427,46,62,105,1276,1189,2464,18,4,19,1336,1257,2588,67,30,99,968,835,1804,5,12,18,1043,882,1920,6,3,8,72,70,143,0,3,3,79,80,158,0,0,0,58,104,162,0,0,0,61,104,169,0,0,0,52,45,101,0,0,0,57,45,102,0,0,3,106,164,272,0,3,3,106,170,274,0,0,0,0,0,0,0,0,0,3,0,3,8,3,12,294,391,685,0,8,5,302,401,705,15,11,26,467,546,1010,4,8,7,485,558,1044,7,3,9,207,253,463,0,0,0,210,255,468,0,6,6,47,78,126,0,0,0,47,85,136,4,7,11,239,317,554,0,0,0,243,327,570,0,0,0,3,0,3,0,0,0,3,0,3,24,22,48,961,1198,2156,6,11,16,991,1230,2218,5,3,6,113,204,316,0,4,3,119,209,325,8,9,24,359,488,845,820,801
Sandgate,30204,14,17,28,380,326,706,4,0,9,399,345,741,107,116,223,2252,2171,4425,21,12,29,2379,2298,4679,81,86,169,1621,1508,3127,11,14,25,1718,1610,3326,0,3,5,84,87,172,0,0,0,87,92,180,0,6,6,81,110,195,0,0,0,86,117,201,6,0,4,105,79,188,0,0,0,112,80,190,3,8,16,145,282,427,0,0,0,153,291,444,0,0,0,4,0,4,0,0,0,4,0,4,8,25,34,425,558,985,4,0,4,433,584,1020,14,16,30,536,660,1200,4,3,7,553,678,1235,4,10,21,191,298,493,0,0,0,201,315,515,0,0,0,64,97,165,0,0,0,71,100,167,6,7,18,269,466,728,0,0,4,277,477,752,0,0,0,4,4,9,0,0,0,4,4,9,32,39,70,1065,1530,2595,7,7,14,1105,1572,2672,11,3,10,164,309,473,0,0,0,173,313,489,24,24,50,464,467,934,1050,1123
Carindale,30301,0,4,3,315,333,653,3,3,4,317,344,661,38,50,85,2064,1902,3961,6,15,21,2104,1958,4067,32,27,57,1590,1495,3082,19,12,34,1637,1534,3175,0,4,4,79,80,162,0,0,0,79,86,166,0,0,0,37,96,129,0,0,0,36,97,131,4,0,4,76,63,143,0,0,0,78,68,149,0,4,3,114,174,286,0,0,0,113,173,288,0,0,0,7,3,8,0,0,0,7,3,8,3,10,16,319,417,732,0,0,3,320,428,749,11,15,27,845,985,1833,3,4,5,858,1003,1863,3,6,8,238,250,489,3,0,3,244,252,500,0,3,3,110,151,266,0,0,3,110,157,269,5,9,11,284,434,717,0,0,0,285,442,732,0,0,0,3,11,13,0,0,0,3,11,13,21,28,49,1482,1830,3309,10,6,13,1510,1862,3369,3,0,9,141,210,344,0,0,0,146,215,357,4,11,10,244,295,536,957,953
Holland Park - Yeronga,30302,11,3,16,353,381,736,10,0,5,364,392,760,37,45,81,2258,2055,4313,6,12,16,2291,2117,4408,35,25,57,1708,1610,3316,11,15,27,1753,1646,3406,5,5,5,156,151,311,0,0,0,159,154,320,4,0,3,149,228,374,0,0,0,147,232,376,3,0,3,97,77,168,0,0,0,94,77,172,0,10,10,184,272,458,0,3,3,184,280,465,0,0,0,0,5,5,0,0,0,0,9,12,10,10,21,584,735,1313,4,3,7,592,748,1342,24,23,53,1976,2141,4120,3,8,13,2005,2176,4179,8,19,26,981,967,1951,3,0,3,992,985,1979,3,3,7,185,214,394,0,4,4,185,216,400,6,9,19,590,887,1477,4,0,3,595,901,1494,0,0,0,8,16,22,0,0,0,12,16,24,44,60,99,3744,4217,7959,9,16,21,3790,4288,8079,3,3,11,273,358,631,0,4,4,280,367,650,20,15,30,376,380,762,2006,1889
Mt Gravatt,30303,7,6,12,380,409,786,0,3,7,392,416,804,60,45,103,2697,2669,5375,18,19,35,2781,2737,5511,39,50,97,2256,2200,4460,20,19,39,2315,2277,4594,3,3,7,193,169,361,0,0,0,194,176,373,0,5,5,179,261,441,0,0,0,184,268,448,7,0,6,133,63,197,0,0,0,135,72,205,4,3,4,176,284,466,0,0,3,186,288,474,0,0,0,4,10,15,0,0,0,4,10,15,14,15,27,692,791,1480,0,0,4,702,808,1507,7,16,25,1800,2210,4014,5,8,13,1817,2237,4052,3,4,9,639,688,1324,3,0,4,645,692,1340,4,4,6,147,153,301,0,0,0,147,155,302,6,6,16,371,504,880,0,0,0,382,514,893,0,0,0,5,16,23,0,0,0,5,16,22,24,30,55,2965,3571,6536,10,13,20,3006,3612,6617,3,3,12,341,431,772,0,4,4,342,441,785,12,16,27,471,558,1031,1234,1246
Nathan,30304,4,11,13,276,237,518,3,3,7,282,250,533,27,44,74,1499,1416,2912,22,12,32,1547,1472,3019,20,21,47,1001,953,1951,9,0,7,1030,978,2008,3,4,8,94,92,187,0,3,4,99,94,194,0,0,6,96,111,201,0,0,0,91,114,206,0,0,0,62,39,97,0,0,0,62,39,97,0,0,3,96,135,232,0,0,0,97,137,233,0,0,0,3,4,6,0,0,0,3,4,6,3,3,8,339,381,724,3,3,5,350,389,737,7,20,26,1078,1175,2250,0,10,7,1087,1195,2285,3,8,8,560,422,984,3,0,3,564,430,994,3,0,3,73,77,158,0,0,0,76,84,161,0,9,9,266,325,586,3,3,7,269,333,602,0,0,0,9,3,9,0,0,0,9,5,14,13,29,42,1979,2003,3990,9,11,16,2003,2045,4046,7,5,13,163,213,377,0,3,3,169,219,387,5,8,15,254,259,514,879,857
Rocklea - Acacia Ridge,30305,9,6,18,461,388,853,0,4,4,475,398,874,58,71,129,2601,2460,5067,11,9,20,2670,2540,5215,58,40,100,1854,1834,3690,12,8,25,1927,1883,3808,0,7,7,135,160,300,0,0,0,136,164,303,0,4,7,132,241,369,0,0,0,129,244,376,3,4,4,99,70,169,0,0,0,105,75,177,4,3,5,136,262,393,0,0,0,133,263,395,0,0,0,3,5,7,0,0,0,3,5,7,3,13,19,502,738,1235,3,0,5,510,755,1263,13,10,24,992,1072,2064,0,0,0,1007,1085,2094,6,0,13,413,421,834,3,0,3,427,425,849,0,7,6,98,109,208,0,0,0,103,115,215,5,4,15,235,346,576,0,0,0,242,352,593,0,0,0,8,7,17,0,0,0,8,7,17,32,24,53,1747,1952,3701,7,0,7,1785,1977,3766,5,4,9,246,293,542,0,0,0,246,301,548,20,17,35,497,474,968,1101,1026
Mudgeeraba - Tallebudgera,30905,7,9,13,283,238,527,6,4,8,294,252,547,52,59,106,1767,1743,3512,15,17,30,1831,1817,3647,28,33,59,1347,1285,2635,8,10,18,1383,1322,2712,0,0,0,41,44,82,0,0,0,40,44,86,0,0,0,19,41,57,0,0,0,19,44,58,0,0,3,73,44,124,0,0,0,79,47,124,0,3,8,79,155,230,0,0,0,79,158,236,0,0,0,0,0,3,0,0,0,0,0,3,0,11,7,213,279,494,3,0,3,221,294,513,0,8,12,275,347,620,0,0,4,274,357,633,4,0,3,42,122,166,0,0,0,46,121,165,0,0,3,37,54,91,0,0,0,40,55,91,3,3,5,126,231,360,0,3,3,128,237,370,0,0,0,5,0,7,0,0,0,5,0,7,8,17,19,481,756,1240,0,5,4,491,776,1269,3,0,3,74,159,235,0,3,0,78,161,238,5,3,7,204,191,400,744,733
Nerang,30906,14,24,32,563,443,1001,4,3,4,574,466,1042,91,101,190,3046,2882,5927,21,26,47,3160,3009,6169,82,75,151,2223,2167,4386,24,15,35,2318,2251,4573,8,3,9,91,103,195,0,0,3,95,106,202,4,3,10,55,152,207,0,0,0,60,158,215,7,3,7,143,115,259,0,0,0,146,119,267,6,3,5,149,297,439,0,0,4,150,297,450,0,0,0,3,0,8,0,0,0,3,4,7,14,15,31,438,672,1107,4,4,9,455,690,1147,9,17,26,462,591,1057,3,6,3,477,610,1092,4,5,15,137,247,384,3,0,4,142,254,403,0,6,11,63,118,180,0,0,0,69,123,194,0,9,8,151,407,564,0,3,3,158,420,577,0,0,0,5,8,7,0,0,0,3,8,10,24,39,61,827,1367,2194,8,12,15,854,1418,2271,3,11,11,161,326,482,0,0,4,164,335,498,17,17,28,453,551,1001,1673,1729
Ormeau - Oxenford,30907,31,36,64,1078,1035,2115,10,11,17,1115,1078,2195,216,196,409,6213,6056,12264,47,40,81,6471,6282,12755,112,124,236,4378,4255,8638,28,41,74,4523,4417,8944,12,12,21,161,226,385,0,3,3,165,244,406,3,12,17,87,240,328,0,4,4,97,251,345,0,10,9,284,212,495,3,0,3,286,225,511,8,10,15,265,594,854,0,3,3,272,605,878,0,0,0,10,5,19,0,0,0,10,13,17,22,39,63,801,1285,2085,4,10,13,824,1329,2158,10,25,38,751,1045,1795,0,4,8,762,1072,1838,6,18,25,218,450,662,0,3,3,228,467,694,0,3,3,108,168,273,0,3,3,108,177,284,4,12,19,304,713,1017,0,0,4,308,731,1038,0,0,0,8,9,15,0,0,0,8,9,15,19,59,79,1387,2384,3771,4,6,9,1409,2455,3870,8,22,27,258,603,861,0,3,4,269,625,898,27,26,51,779,888,1668,3456,3408
Outback - South,31503,15,11,29,72,64,140,0,4,4,88,77,174,156,163,312,625,551,1170,8,6,14,783,716,1505,85,100,187,273,286,561,9,6,20,367,397,764,3,0,0,14,18,30,0,0,0,15,17,35,0,0,3,4,10,10,0,0,0,5,6,16,0,4,8,26,31,58,0,0,0,23,35,59,3,4,7,23,62,85,0,0,0,23,70,90,0,0,0,3,3,3,0,0,0,3,0,3,10,12,20,65,123,185,0,0,0,76,135,209,0,0,0,27,30,59,0,3,3,27,38,60,3,4,3,17,20,37,0,0,0,18,29,41,0,0,0,9,23,36,0,0,0,13,23,38,3,3,4,41,113,150,0,0,0,40,115,157,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,89,190,280,0,3,3,98,199,295,9,12,13,24,53,77,0,0,0,30,63,97,51,50,102,187,212,401,574,564
Buderim,31601,11,7,17,352,329,674,4,0,4,365,337,695,68,63,131,2440,2384,4826,6,14,21,2514,2461,4977,48,41,90,1884,2014,3894,15,18,30,1949,2072,4021,3,0,5,69,69,141,0,0,0,74,79,145,0,0,3,58,125,178,0,4,4,55,129,184,3,3,6,98,95,202,0,0,0,101,99,207,0,4,6,98,257,353,0,0,0,100,260,361,0,0,0,5,0,3,0,0,0,5,0,3,5,12,15,327,544,878,0,6,6,336,561,902,10,34,44,687,1037,1726,3,6,6,702,1075,1778,11,18,24,272,409,676,3,0,3,279,424,700,7,0,6,79,116,196,0,0,0,89,114,206,3,10,15,209,456,663,0,0,3,209,471,679,0,0,0,9,8,18,0,0,0,9,8,18,27,61,80,1252,2028,3281,10,3,9,1286,2089,3372,3,11,11,130,220,350,0,0,3,136,233,364,7,7,16,328,398,717,1134,1079
Caloundra,31602,26,14,45,472,389,866,0,0,0,505,405,911,140,146,285,3312,3057,6374,27,24,58,3482,3232,6714,98,76,179,2583,2415,4999,18,23,42,2703,2518,5219,4,5,7,69,90,157,0,0,0,69,95,167,0,3,3,42,115,157,0,3,3,42,117,160,4,5,5,133,107,240,0,0,0,137,108,249,3,3,8,161,312,475,0,0,0,168,315,484,0,0,0,5,7,14,0,0,0,7,7,11,11,12,24,411,630,1038,3,3,6,427,650,1075,10,13,20,444,648,1085,0,0,3,451,663,1111,3,7,9,168,361,530,0,0,0,165,369,540,3,3,4,73,101,176,0,0,0,72,107,186,9,7,14,247,490,738,0,0,0,258,494,754,0,0,0,3,6,10,0,0,0,7,6,15,23,33,54,930,1604,2538,0,4,9,956,1643,2596,8,9,23,155,338,501,0,0,0,170,356,519,23,31,54,553,702,1252,1723,1748
Maroochy,31603,9,8,20,271,211,487,3,3,8,288,223,512,62,72,135,1810,1682,3496,33,15,43,1905,1769,3676,44,37,78,1343,1290,2637,11,10,27,1398,1337,2737,3,3,9,54,70,129,0,0,4,58,75,134,3,4,7,58,131,193,0,0,0,56,136,194,3,3,5,102,85,187,0,0,3,102,88,188,3,4,10,160,271,426,0,5,5,163,279,439,0,0,0,0,0,0,0,0,0,0,0,0,12,15,28,367,562,933,3,4,10,380,578,961,9,26,30,313,553,867,3,3,6,328,575,905,3,18,14,248,338,583,0,4,4,255,351,603,0,3,3,57,100,160,0,4,4,57,107,165,4,9,10,197,373,568,0,3,3,201,385,584,0,0,0,7,0,6,0,0,0,7,0,6,14,50,63,826,1363,2181,3,12,16,840,1418,2263,9,5,12,141,251,395,5,3,8,152,262,414,7,6,20,387,495,874,1787,1857
Noosa,31605,5,3,7,230,212,437,0,0,3,240,215,454,32,39,67,1733,1598,3333,9,4,16,1770,1644,3418,37,40,76,1309,1250,2554,8,9,22,1353,1305,2657,3,0,3,17,23,45,0,0,0,16,28,46,0,0,0,28,51,74,0,0,0,28,51,74,0,0,0,64,37,98,0,0,0,64,37,104,0,0,0,70,150,221,0,0,0,76,157,225,0,0,0,3,4,3,0,0,0,3,4,3,4,0,10,182,267,446,0,4,3,186,274,460,0,4,3,161,202,365,0,0,3,164,202,370,0,0,0,66,175,243,0,0,0,68,175,240,3,0,3,31,43,75,0,0,0,32,44,78,0,3,3,101,246,353,0,0,0,101,252,353,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,368,661,1029,3,0,5,372,676,1046,0,9,6,82,184,267,0,0,0,84,198,278,7,13,19,384,539,928,1094,1076
Sunshine Coast Hinterland,31606,11,6,15,227,235,463,0,3,3,232,245,479,81,102,179,2019,1874,3891,23,34,56,2122,2005,4126,58,60,114,1595,1544,3138,18,30,42,1672,1634,3299,0,0,0,38,52,91,0,0,0,38,52,91,4,3,8,28,58,89,0,0,0,29,61,98,9,0,8,78,71,145,0,0,0,87,71,155,3,3,4,85,188,275,0,5,7,89,195,291,0,0,0,3,0,3,0,0,0,3,0,3,9,11,20,238,376,609,4,5,4,252,382,632,7,3,12,213,306,515,0,4,4,218,317,531,0,5,12,97,200,298,3,0,3,101,204,305,0,0,0,34,68,102,0,0,0,34,65,108,3,14,12,110,339,447,0,3,3,111,354,466,0,0,0,0,7,7,0,0,0,0,7,7,9,22,32,456,919,1373,3,7,8,469,944,1418,0,8,10,105,236,333,4,3,7,107,238,350,22,21,46,459,474,941,1198,1129
Nambour,31607,7,13,18,267,233,500,0,4,7,277,245,518,112,107,228,1809,1745,3555,19,13,33,1944,1866,3816,75,59,132,1246,1256,2506,9,17,27,1334,1336,2669,0,4,4,34,51,91,0,0,0,35,57,95,0,3,4,37,72,112,0,0,0,42,71,113,3,5,7,67,50,116,0,0,0,73,49,122,3,6,9,90,198,283,0,0,0,92,202,293,0,0,0,0,6,6,0,0,0,0,5,5,10,19,27,225,366,595,3,6,8,240,393,632,3,12,16,170,285,456,3,0,0,182,296,475,4,14,13,74,216,288,0,0,0,77,228,309,0,0,3,39,62,106,0,0,0,39,68,106,9,7,14,134,293,428,0,0,0,135,301,438,0,0,0,3,0,4,0,0,0,3,0,4,13,33,48,422,859,1280,6,3,7,435,899,1338,0,5,6,102,179,279,0,0,3,105,188,287,13,18,30,307,350,663,1066,980
Noosa Hinterland,31608,9,4,12,105,114,222,0,3,3,112,119,234,39,30,69,962,872,1834,11,9,20,1013,914,1923,28,18,50,746,705,1456,3,3,9,785,732,1510,0,0,0,17,13,27,0,0,0,19,13,31,0,0,0,14,22,33,0,0,3,10,24,38,0,3,3,39,40,81,0,0,0,44,43,83,0,3,3,36,97,130,0,0,0,37,99,135,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,105,169,279,3,0,6,110,178,287,0,3,3,66,103,169,0,0,0,63,109,175,0,0,6,33,63,97,0,0,0,36,68,102,0,0,0,10,21,35,0,0,0,10,26,31,0,3,3,48,122,168,0,4,3,49,125,176,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,149,315,466,0,4,5,157,326,476,3,3,4,40,102,140,0,3,5,42,104,149,3,14,18,180,195,367,598,521
Charters Towers - Ayr - Ingham,31801,36,38,76,132,156,290,0,4,3,173,194,366,379,334,713,1416,1338,2750,33,24,57,1822,1702,3527,351,214,572,1213,1207,2425,17,17,36,1585,1443,3032,3,3,8,21,18,42,0,0,0,25,20,46,0,4,6,4,22,29,0,0,0,4,36,43,7,3,11,69,47,115,0,0,0,72,51,126,0,10,8,37,136,170,0,0,0,34,148,183,0,0,0,0,0,3,0,0,0,3,0,7,15,23,34,134,227,364,0,3,3,144,251,399,0,9,10,57,99,154,0,0,0,54,107,160,3,3,11,24,52,71,0,0,0,27,52,77,0,0,0,22,35,61,0,0,0,22,41,66,4,4,14,56,134,189,0,0,3,66,139,205,0,0,0,0,3,3,0,0,0,0,3,3,11,19,32,158,320,478,0,0,3,167,340,509,14,18,31,37,97,135,0,0,0,55,118,169,129,135,263,490,483,967,1368,1328
Townsville,31802,120,106,225,1036,914,1950,9,8,17,1166,1027,2193,1045,1010,2052,7142,7032,14171,73,99,168,8255,8138,16396,698,743,1443,5562,5201,10763,53,39,90,6321,5983,12297,28,27,56,237,226,462,0,0,4,275,254,530,14,35,50,154,396,547,0,4,5,164,439,599,21,23,38,314,296,612,0,3,6,333,325,657,20,47,67,407,843,1249,3,4,9,427,892,1325,6,5,10,12,6,18,0,0,0,20,13,29,87,137,218,1121,1768,2893,12,12,25,1219,1921,3134,66,135,200,1976,3137,5114,11,14,24,2060,3279,5341,29,80,108,747,1118,1866,4,8,7,777,1203,1982,10,29,37,215,356,573,0,0,5,223,382,611,32,60,91,856,1580,2429,3,3,9,894,1635,2529,0,0,0,12,16,31,0,0,0,11,24,36,136,299,437,3810,6205,10009,22,23,44,3970,6526,10492,64,89,154,434,774,1208,4,5,9,498,870,1372,719,368,1082,1415,1346,2758,6364,5238
Bundaberg,31901,34,32,65,403,360,767,6,4,9,448,396,840,288,304,595,3382,3117,6502,43,43,80,3717,3465,7181,220,233,456,2580,2369,4950,27,37,66,2833,2635,5469,7,8,18,58,95,154,0,0,0,67,105,169,0,4,5,57,154,211,0,0,0,60,163,216,7,16,19,111,131,246,0,4,4,116,148,269,0,14,17,136,339,474,0,3,3,138,354,489,0,0,0,7,10,17,0,0,0,7,14,19,14,41,59,368,730,1096,0,8,9,382,784,1164,14,9,21,234,342,572,0,0,3,245,354,599,4,15,19,128,282,412,0,3,3,131,299,426,3,5,11,61,119,181,0,0,3,64,127,190,3,17,20,194,491,684,0,0,3,195,508,704,0,0,0,0,3,4,0,0,0,0,3,4,27,47,72,617,1237,1851,3,3,8,641,1286,1927,24,21,46,193,307,498,0,4,6,222,330,554,57,60,113,823,955,1778,2548,2397
