sa3_code16,p_pgrad_deg_35_44,p_pgrad_deg_45_54,p_pgrad_deg_55_64,p_pgrad_deg_65_74,p_pgrad_deg_75_84,p_pgrad_deg_85ov,p_pgrad_deg_total,p_graddip_and_gradcert_15_24,p_graddip_and_gradcert_25_34,p_graddip_and_gradcert_35_44,p_graddip_and_gradcert_45_54,p_graddip_and_gradcert_55_64,p_graddip_and_gradcert_65_74,p_graddip_and_gradcert_75_84,p_graddip_and_gradcert_85ov,p_graddip_and_gradcert_total,p_bachdeg_15_24,p_bachdeg_25_34,p_bachdeg_35_44,p_bachdeg_45_54,p_bachdeg_55_64,p_bachdeg_65_74,p_bachdeg_75_84,p_bachdeg_85ov,p_bachdeg_total,p_advdip_and_dip_15_24,p_advdip_and_dip_25_34,p_advdip_and_dip_35_44,p_advdip_and_dip_45_54,p_advdip_and_dip_55_64,p_advdip_and_dip_65_74,p_advdip_and_dip_75_84,p_advdip_and_dip_85ov,p_advdip_and_dip_total,p_cert_iii_iv_15_24,p_cert_iii_iv_25_34,p_cert_iii_iv_35_44,p_cert_iii_iv_45_54,p_cert_iii_iv_55_64,p_cert_iii_iv_65_74,p_cert_iii_iv_75_84,p_cert_iii_iv_85ov,p_cert_iii_iv_total,p_cert_i_ii_15_24,p_cert_i_ii_25_34,p_cert_i_ii_35_44,p_cert_i_ii_45_54,p_cert_i_ii_55_64,p_cert_i_ii_65_74,p_cert_i_ii_75_84,p_cert_i_ii_85ov,p_cert_i_ii_total,p_cert_levl_nfd_15_24,p_cert_levl_nfd_25_34,p_cert_levl_nfd_35_44,p_cert_levl_nfd_45_54,p_cert_levl_nfd_55_64,p_cert_levl_nfd_65_74,p_cert_levl_nfd_75_84,p_cert_levl_nfd_85ov,p_cert_levl_nfd_total,p_cert_lev_tot_15_24,p_cert_lev_tot_25_34,p_cert_lev_tot_35_44,p_cert_lev_tot_45_54,p_cert_lev_tot_55_64,p_cert_lev_tot_65_74,p_cert_lev_tot_75_84,p_cert_lev_tot_85ov,p_cert_lev_tot_total,p_lev_edu_ides_15_24,p_lev_edu_ides_25_34,p_lev_edu_ides_35_44,p_lev_edu_ides_45_54,p_lev_edu_ides_55_64,p_lev_edu_ides_65_74,p_lev_edu_ides_75_84,p_lev_edu_ides_85ov,p_lev_edu_ides_total,p_lev_edu_ns_15_24,p_lev_edu_ns_25_34,p_lev_edu_ns_35_44,p_lev_edu_ns_45_54,p_lev_edu_ns_55_64,p_lev_edu_ns_65_74,p_lev_edu_ns_75_84,p_lev_edu_ns_85ov,p_lev_edu_ns_total,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_total,sa3_name16
12404,127,128,98,50,15,0,617,14,54,56,66,80,40,7,0,306,220,597,477,377,318,175,72,22,2252,212,459,480,544,370,193,84,14,2357,833,1551,1133,1276,850,421,199,53,6324,94,96,70,58,46,22,4,0,395,68,96,130,124,118,101,42,21,699,998,1747,1341,1461,1017,544,242,71,7411,25,20,30,31,47,36,14,7,211,574,736,590,507,340,337,291,146,3516,2058,3785,3102,3112,2259,1369,731,263,16680,Richmond - Windsor
12405,246,128,114,46,9,0,901,21,75,75,65,56,19,0,0,308,364,1087,773,529,512,209,43,8,3519,337,855,750,591,495,133,36,8,3212,997,1884,1561,1519,1266,554,175,32,7993,150,136,111,94,71,34,6,0,592,92,157,188,192,203,82,33,4,948,1239,2170,1852,1806,1544,674,209,41,9533,32,70,71,71,70,45,11,3,372,644,669,590,573,626,458,279,147,3984,2674,5224,4365,3763,3419,1585,588,205,21823,St Marys
12501,1368,574,342,132,27,7,5042,41,257,228,148,107,37,7,0,826,1394,5909,2785,1513,989,435,142,38,13202,675,2062,1310,993,670,252,84,19,6067,590,1392,1004,886,713,325,180,67,5152,96,128,94,99,59,21,7,0,503,79,213,196,225,191,83,45,15,1036,759,1739,1291,1203,963,425,231,81,6688,89,274,161,132,105,47,19,7,840,1300,2482,1490,1032,739,465,287,186,7976,4371,15203,8627,5587,3920,1798,795,329,40638,Auburn
12502,1537,955,622,228,86,11,4837,17,161,246,219,186,116,35,12,990,892,2983,2789,2246,1508,704,321,82,11525,285,896,1206,1145,932,527,258,82,5321,460,965,1023,1122,917,595,389,134,5600,63,73,64,101,73,37,20,5,431,45,107,184,272,236,178,80,29,1132,574,1144,1269,1488,1225,808,495,168,7165,28,82,95,135,134,108,68,35,681,383,513,476,519,453,447,370,229,3381,2233,7110,7611,6711,5049,2947,1631,608,33899,Carlingford
12503,1288,605,366,161,33,5,4502,52,300,237,170,168,58,12,3,998,1587,5458,3421,1971,1285,595,217,52,14581,1046,2952,2347,1815,1089,471,193,59,9973,1525,3147,2863,2463,1889,1196,546,201,13826,217,252,263,205,167,72,13,7,1200,186,399,506,473,386,228,71,30,2270,1921,3794,3633,3146,2449,1491,630,239,17298,99,270,215,192,181,140,51,12,1165,1730,2227,1726,1615,1326,1108,862,617,11219,6594,16903,12865,9508,6849,4025,1993,988,59733,Merrylands - Guildford
12504,4686,1411,841,322,82,16,13859,49,664,618,353,295,116,39,7,2141,1948,11279,6736,2991,1959,1065,398,109,26480,800,2727,2451,1834,1218,743,281,100,10139,857,2157,2164,1895,1446,1014,530,196,10264,122,150,166,148,125,67,27,6,810,109,257,351,398,366,298,140,54,1975,1080,2565,2688,2443,1942,1378,693,262,13050,74,428,355,191,227,179,73,29,1571,1110,2536,1773,1082,1036,843,776,543,9705,5306,26455,19296,10302,7515,4655,2338,1065,76941,Parramatta
12601,1576,1253,952,471,140,30,5769,17,132,250,297,282,155,39,12,1182,942,2422,2483,2188,1706,882,394,120,11130,232,387,613,846,719,490,260,112,3651,240,345,353,518,450,297,212,92,2510,28,18,30,51,31,31,18,4,210,28,38,66,144,147,183,108,30,755,295,399,453,712,628,508,340,135,3475,22,62,75,95,91,83,64,28,522,226,235,217,214,213,246,288,281,1913,1804,4908,5669,5599,4589,2836,1526,715,27645,Pennant Hills - Epping
12602,3737,2251,1415,714,205,54,13342,51,504,566,502,448,228,75,11,2394,2715,8979,6687,4507,3144,1702,670,277,28688,884,1954,2176,2220,1645,1042,460,256,10638,809,1619,1702,1928,1525,992,608,277,9472,113,121,123,145,130,95,41,12,773,128,192,306,480,474,346,176,113,2212,1046,1933,2130,2551,2133,1430,828,403,12454,97,230,240,236,240,207,108,49,1395,984,1270,986,910,922,786,813,881,7550,6022,19601,16522,13173,9944,6100,3162,1936,76460,Ryde - Hunters Hill
12701,491,289,180,56,9,8,1838,24,137,173,121,87,33,8,0,579,984,2793,2060,1244,812,312,83,13,8300,746,1824,1756,1354,751,269,89,16,6809,1309,2835,2613,2462,1507,728,262,55,11768,152,233,241,208,104,27,8,3,979,122,285,362,426,276,123,43,12,1654,1585,3355,3221,3096,1892,883,310,67,14402,45,135,141,151,107,36,22,0,635,1243,1131,1165,1130,971,772,436,136,6984,4723,10086,9002,7391,4794,2364,954,237,39547,Bringelly - Green Valley
12702,502,318,269,117,24,3,2435,69,226,142,117,121,53,13,0,748,2114,4835,2832,1831,1435,726,179,26,13982,1294,2781,2448,2119,1395,583,190,41,10853,1804,3364,3141,3253,2590,1512,660,167,16487,299,327,338,332,218,87,16,3,1620,212,373,548,645,497,270,92,23,2667,2315,4072,4029,4233,3301,1864,770,192,20776,97,260,234,272,254,129,64,8,1315,1666,1630,1512,1673,1652,1307,944,474,10858,7717,14851,11704,10550,8433,4778,2181,755,60969,Fairfield
