gml_id,sa3_name16,sa3_code16,r_0_74_lt_real_estate_agent,r_0_74_lt_ste_terr_hsg_auth,r_0_74_lt_psn_not_sme_hhd,r_0_74_lt_hs_coop_com_ch_g,r_0_74_lt_other_lld_type,r_0_74_lt_lld_type_ns,r_0_74_tot,r_75_99_lt_real_estate_agent,r_75_99_lt_ste_terr_hsg_auth,r_75_99_lt_psn_not_sme_hhd,r_75_99_lt_hs_coop_com_ch_g,r_75_99_lt_other_lld_type,r_75_99_lt_lld_type_ns,r_75_99_tot,r_100_149_lt_real_este_agent,r_100_149_lt_st_ter_hsg_aut,r_100_149_lt_psn_not_sme_hhd,r_100_149_lt_hs_coop_com_ch_g,r_100_149_lt_other_lld_type,r_100_149_lt_lld_type_ns,r_100_149_tot,r_150_199_lt_real_este_agent,r_150_199_lt_ste_ter_hsg_aut,r_150_199_lt_psn_not_sme_hhd,r_150_199_lt_hs_coop_com_ch_g,r_150_199_lt_other_lld_type,r_150_199_lt_lld_type_ns,r_150_199_tot,r_200_224_lt_real_este_agent,r_200_224_lt_ste_ter_hsg_aut,r_200_224_lt_psn_not_sme_hhd,r_200_224_lt_hs_coop_com_ch_g,r_200_224_lt_other_lld_type,r_200_224_lt_lld_type_ns,r_200_224_tot,r_225_274_lt_real_este_agent,r_225_274_lt_ste_ter_hsg_aut,r_225_274_lt_psn_not_sme_hhd,r_225_274_lt_hs_coop_com_ch_g,r_225_274_lt_other_lld_type,r_225_274_lt_lld_type_ns,r_225_274_tot,r_275_349_lt_real_este_agent,r_275_349_lt_ste_ter_hsg_aut,r_275_349_lt_psn_not_sme_hhd,r_275_349_lt_hs_coop_com_ch_g,r_275_349_lt_other_lld_type,r_275_349_lt_lld_type_ns,r_275_349_tot,r_350_449_lt_real_este_agent,r_350_449_lt_ste_ter_hsg_aut,r_350_449_lt_psn_not_sme_hhd,r_350_449_lt_hs_coop_com_ch_g,r_350_449_lt_other_lld_type,r_350_449_lt_lld_type_ns,r_350_449_tot,r_450_549_lt_real_este_agent,r_450_549_lt_ste_ter_hsg_aut,r_450_549_lt_psn_not_sme_hhd,r_450_549_lt_hs_coop_com_ch_g,r_450_549_lt_other_lld_type,r_450_549_lt_lld_type_ns,r_450_549_tot,r_550_649_lt_real_este_agent,r_550_649_lt_ste_ter_hsg_aut,r_550_649_lt_psn_not_sme_hhd,r_550_649_lt_hs_coop_com_ch_g,r_550_649_lt_other_lld_type,r_550_649_lt_lld_type_ns,r_550_649_tot,r_650_749_lt_real_este_agent,r_650_749_lt_ste_ter_hsg_aut,r_650_749_lt_psn_not_sme_hhd,r_650_749_lt_hs_coop_com_ch_g,r_650_749_lt_other_lld_type,r_650_749_lt_lld_type_ns,r_650_749_tot,r_750_849_lt_real_este_agent,r_750_849_lt_ste_ter_hsg_aut,r_750_849_lt_psn_not_sme_hhd,r_750_849_lt_hs_coop_com_ch_g,r_750_849_lt_other_lld_type,r_750_849_lt_lld_type_ns,r_750_849_tot,r_850_949_lt_real_estat_agent,r_850_949_lt_ste_ter_hsg_aut,r_850_949_lt_psn_not_sme_hhd,r_850_949_lt_hs_coop_com_ch_g,r_850_949_lt_other_lld_type,r_850_949_lt_lld_type_ns,r_850_949_tot,r_950_over_lt_real_este_agent,r_950_over_lt_ste_ter_hsg_aut,r_950_over_lt_psn_not_sme_hhd,r_950_ovr_lt_hs_coop_com_ch_g,r_950_over_lt_other_lld_type,r_950_over_lt_lld_type_ns,r_950_over_tot,rent_ns_lt_real_este_agent,rent_ns_lt_ste_ter_hsg_auth,rent_ns_lt_psn_not_sme_hhd,rent_ns_lt_hs_coop_com_ch_g,rent_ns_lt_other_lld_type,rent_ns_lt_lld_type_ns,rent_ns_tot,tot_lt_real_este_agent,tot_lt_ste_ter_hsg_auth,tot_lt_psn_not_sme_hhd,tot_lt_hs_coop_com_ch_g,tot_lt_other_lld_type,tot_lt_lld_type_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa4,Clarence Valley,"10401","7","13","126","29","34","83","304","3","22","13","16","19","0","69","47","132","107","42","48","5","378","184","71","210","56","49","11","578","218","45","194","15","34","3","498","587","36","291","10","38","5","977","941","23","323","27","35","8","1361","486","3","90","8","13","6","610","96","0","13","3","10","0","131","23","0","7","0","6","0","37","17","0","10","0","7","0","29","6","0","3","0","3","0","8","0","0","0","0","0","0","9","10","0","4","0","4","0","18","34","34","58","11","27","8","176","2667","388","1458","210","324","146","5191"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa3,Coffs Harbour,"10402","14","42","155","19","37","124","385","3","31","15","8","3","0","60","28","464","131","42","68","6","737","152","230","165","65","64","12","687","213","102","213","21","45","5","598","755","92","321","25","63","8","1265","1437","124","543","21","57","16","2201","1967","36","510","7","49","14","2578","603","3","113","5","17","3","739","110","0","23","0","5","0","140","27","3","11","0","5","0","42","6","0","6","0","4","0","19","0","0","0","0","4","0","5","13","0","9","0","8","0","29","99","59","74","32","53","12","329","5415","1189","2296","236","492","200","9824"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa2,Bourke - Cobar - Coonamble,"10501","11","66","161","34","373","162","810","3","50","21","97","55","7","229","53","123","139","109","99","10","528","149","161","165","147","142","6","768","104","82","107","31","22","3","352","107","34","72","25","22","4","267","71","10","42","4","15","0","142","18","3","4","3","3","0","34","0","0","0","0","8","0","5","0","0","0","0","0","0","3","0","0","4","0","4","0","9","0","0","0","0","3","0","5","0","0","0","0","0","0","3","3","0","3","0","11","0","13","4","27","68","21","89","10","216","520","562","789","461","851","202","3383"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa1,Broken Hill and Far West,"10502","4","21","67","17","135","61","304","3","20","19","9","41","4","95","44","65","100","38","40","7","294","196","51","187","12","27","4","482","113","16","115","4","18","4","280","138","14","91","3","21","3","267","108","12","48","0","14","0","177","36","0","20","0","4","0","63","4","0","3","0","0","0","5","3","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","3","0","0","3","0","4","0","7","16","8","38","3","26","8","104","676","207","690","88","331","96","2088"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa0,Dubbo,"10503","21","60","179","28","135","172","597","9","45","29","30","14","3","134","164","353","213","81","40","10","874","571","239","285","53","65","14","1222","419","92","242","14","32","0","794","756","91","250","4","28","5","1137","976","61","292","5","20","6","1366","666","16","119","0","14","3","819","93","0","20","0","11","0","119","13","0","4","0","0","0","22","6","0","4","0","4","0","8","7","0","3","0","0","0","13","0","0","3","0","3","0","5","3","0","14","0","6","3","24","48","57","92","17","63","14","298","3743","1008","1745","239","443","247","7419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9f,Lower Hunter,"10601","7","53","180","11","38","137","426","10","42","19","12","6","0","84","48","369","89","10","27","8","543","272","224","156","15","45","8","723","260","91","158","6","19","3","545","944","80","255","8","87","8","1380","2013","62","354","3","58","9","2500","1342","0","162","3","10","4","1523","132","0","44","0","6","0","185","28","0","19","0","0","0","50","13","3","7","0","3","0","23","4","0","0","0","0","0","4","0","0","3","0","0","0","3","8","0","5","0","3","0","18","88","56","81","9","40","15","294","5185","976","1529","68","349","188","8300"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9e,Maitland,"10602","10","55","75","3","15","41","189","3","51","5","10","4","0","78","27","414","33","5","11","3","487","218","250","67","36","34","3","611","163","98","83","8","11","3","366","341","85","159","0","168","9","759","1544","138","298","5","39","10","2033","2345","16","236","0","18","10","2626","292","0","34","0","3","0","328","42","0","10","0","0","0","54","8","0","0","0","0","0","5","3","0","0","0","0","0","6","0","0","0","0","0","0","3","3","0","3","0","0","0","5","61","63","40","17","22","3","206","5052","1167","1044","83","322","84","7759"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9d,Port Stephens,"10603","7","30","92","7","23","71","228","3","28","10","13","4","0","53","29","264","64","33","42","4","429","96","142","80","52","29","5","403","152","65","130","8","44","3","400","486","115","171","6","321","10","1112","1301","42","308","11","88","10","1754","1562","8","244","0","33","3","1852","398","0","63","0","9","0","479","92","0","14","0","8","0","111","25","0","8","3","7","0","42","7","0","3","0","0","0","17","5","0","0","0","0","0","14","9","0","6","0","8","0","18","45","30","57","11","31","16","200","4216","718","1259","153","646","123","7108"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9c,Upper Hunter,"10604","8","11","74","3","134","115","354","3","31","7","7","3","0","49","101","41","68","16","20","3","246","284","147","96","22","29","10","585","236","51","83","6","18","8","397","562","89","147","10","26","3","842","706","23","127","0","11","3","865","176","5","44","0","10","0","234","33","0","9","0","3","0","49","3","0","3","0","0","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","0","0","3","4","0","7","0","3","0","7","37","24","33","8","62","8","170","2163","409","708","75","314","141","3811"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9b,Dapto - Port Kembla,"10701","12","119","98","13","6","41","294","0","93","12","3","0","0","105","32","814","48","24","18","12","946","136","427","98","20","19","9","712","155","184","85","9","21","7","452","330","110","151","14","25","0","636","619","217","258","14","26","3","1132","1283","130","356","7","24","10","1817","411","8","68","0","3","0","493","117","3","16","0","0","0","129","26","0","3","0","0","0","31","3","0","3","0","0","0","4","0","0","3","0","0","0","3","3","0","4","0","0","0","6","54","109","54","11","8","15","252","3174","2217","1243","113","160","106","7017"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a9a,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a99,Kiama - Shellharbour,"10703","14","46","121","4","21","67","274","3","50","3","9","3","0","73","11","534","36","10","22","7","620","43","374","69","34","26","5","549","76","155","98","13","8","0","360","287","130","125","23","12","7","577","683","219","266","11","25","12","1217","1705","95","438","11","30","8","2289","996","6","130","0","5","0","1139","337","0","35","0","4","0","375","78","0","13","0","8","0","97","11","0","0","0","5","0","15","4","0","0","0","3","0","5","9","0","5","0","9","0","20","52","82","61","18","26","8","237","4301","1693","1406","135","209","121","7853"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a98,Wollongong,"10704","19","172","142","10","31","132","501","7","126","8","28","0","6","173","48","1328","81","55","31","23","1566","224","506","167","56","16","11","979","235","228","152","28","19","10","665","791","168","281","21","36","8","1300","1985","180","423","20","34","10","2661","2793","185","553","17","38","5","3598","1835","32","296","6","22","4","2189","734","3","126","3","8","0","876","268","3","57","3","6","0","343","104","0","25","0","0","0","126","52","0","12","0","0","0","64","35","3","10","0","5","0","60","114","177","93","15","36","25","463","9238","3104","2439","269","278","227","15563"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a97,Great Lakes,"10801","3","10","67","5","27","70","187","0","8","3","6","0","0","28","30","93","54","15","21","4","211","146","59","88","68","33","3","395","170","16","96","19","8","0","318","388","21","115","11","11","4","560","557","11","140","4","11","8","734","486","0","117","0","8","3","616","96","0","22","0","0","0","121","7","0","0","0","0","0","8","8","0","3","0","0","0","10","0","0","0","0","0","0","3","0","0","0","0","3","0","3","3","0","4","0","5","0","14","39","18","30","4","17","4","114","1933","242","760","130","156","93","3314"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a96,Kempsey - Nambucca,"10802","7","15","115","6","26","118","286","4","17","16","7","0","3","44","53","203","113","48","49","7","473","237","149","201","93","33","9","722","269","66","173","15","31","4","556","588","69","229","23","27","5","939","791","32","245","14","30","8","1120","402","10","86","0","15","4","510","61","0","15","3","10","0","81","12","0","3","0","4","3","24","3","0","3","0","7","0","11","3","0","3","0","10","0","12","3","0","0","0","3","0","5","9","3","3","0","10","0","17","46","33","54","8","26","13","176","2470","599","1256","218","268","164","4983"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a95,Lord Howe Island,"10803","0","0","0","0","3","10","14","0","0","0","0","3","0","3","0","0","0","0","3","0","3","0","0","3","0","0","0","4","0","0","3","0","3","0","3","0","0","3","0","3","0","3","0","0","3","0","0","0","10","0","0","3","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","0","0","17","0","23","10","51"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a94,Port Macquarie,"10804","10","37","105","4","46","114","324","0","32","10","16","12","3","70","17","378","73","29","55","9","562","116","183","142","46","65","4","559","192","92","144","23","32","4","483","602","73","263","19","38","11","998","1285","96","370","18","37","10","1821","1897","20","345","9","35","7","2308","616","0","86","4","7","3","715","167","0","24","0","5","0","197","27","0","9","0","3","0","41","15","0","5","0","4","0","16","5","0","0","0","0","0","9","11","0","3","0","4","0","23","65","42","67","28","28","19","236","5031","960","1644","195","359","178","8362"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a93,Taree - Gloucester,"10805","5","18","124","11","27","90","276","3","24","11","12","6","0","57","69","208","123","25","19","5","444","373","160","161","58","49","9","809","289","61","164","13","23","5","570","732","52","210","11","16","7","1031","1134","37","207","5","17","9","1413","456","10","97","12","14","3","596","62","0","14","0","3","0","77","3","0","3","0","3","5","12","3","0","4","0","0","0","11","0","0","3","0","0","0","6","0","0","0","0","0","0","0","4","0","8","0","3","0","13","45","33","53","23","18","15","188","3188","612","1175","173","206","149","5495"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6a92,Albury,"10901","19","28","111","12","34","73","279","15","42","20","29","9","3","112","332","296","140","26","27","5","833","953","142","228","32","39","14","1403","539","58","185","10","21","6","826","1044","79","240","10","30","4","1409","1108","23","197","4","19","4","1360","641","0","78","3","8","4","730","91","0","25","0","4","0","114","12","0","5","0","0","0","17","7","0","4","0","0","0","11","0","0","0","0","0","0","3","0","0","0","0","0","0","3","5","0","5","0","3","0","10","83","39","56","12","36","8","235","4839","717","1301","141","229","116","7344"
