sa3_name16,sa3_code16,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Lower Murray,10902,26,46,44,346,600,576,780,1112,1083,867,1083,1083,170,150,150,1.0,0.8,0.8,3.0,2.4,2.4,9.9,2.0,2.7
Upper Murray exc. Albury,10903,23,48,48,460,563,561,1023,1038,1037,1127,1200,1200,190,190,190,0.9,0.7,0.7,2.8,2.3,2.3,5.4,1.5,1.6
Armidale,11001,21,40,39,408,583,569,923,1180,1159,1300,1387,1387,215,250,240,1.0,0.7,0.8,3.0,2.3,2.4,6.8,1.8,2.2
Inverell - Tenterfield,11002,22,48,46,390,488,482,852,875,873,1083,1083,1083,200,190,195,1.0,0.7,0.8,3.0,2.2,2.3,10.3,1.8,2.5
Moree - Narrabri,11003,23,42,39,401,713,656,922,1331,1246,1213,1339,1300,175,175,175,1.0,0.8,0.8,3.0,2.4,2.5,9.2,1.6,3.0
Tamworth - Gunnedah,11004,21,43,40,472,637,620,1084,1188,1174,1441,1469,1463,250,250,250,1.0,0.7,0.8,3.1,2.4,2.4,7.9,1.6,2.4
Lake Macquarie - East,11101,22,43,42,482,628,624,1274,1335,1332,1742,1800,1800,315,325,320,1.0,0.8,0.8,3.1,2.5,2.5,6.7,2.1,2.3
Lake Macquarie - West,11102,21,44,43,478,587,582,1320,1273,1276,1733,1733,1733,320,320,320,1.0,0.8,0.8,3.3,2.5,2.6,7.3,2.1,2.4
Newcastle,11103,24,38,37,498,660,655,1259,1360,1355,1733,1750,1750,320,340,340,1.0,0.8,0.8,2.9,2.4,2.4,7.5,2.7,2.9
Richmond Valley - Coastal,11201,25,47,46,469,595,592,1190,1134,1137,1733,1733,1733,310,350,350,1.0,0.8,0.8,3.0,2.3,2.4,9.2,2.4,2.6
Richmond Valley - Hinterland,11202,21,45,44,437,522,516,980,1006,1004,1300,1335,1330,250,250,250,1.0,0.8,0.8,3.2,2.3,2.4,9.9,2.6,3.1
Tweed Valley,11203,23,48,47,477,541,539,1276,1055,1064,1855,1733,1733,340,335,340,1.0,0.8,0.8,3.2,2.3,2.4,8.9,2.3,2.6
Griffith - Murrumbidgee (West),11301,22,40,39,470,659,648,1037,1258,1242,1213,1300,1300,180,200,200,0.9,0.8,0.8,3.0,2.5,2.6,6.7,3.1,3.4
Tumut - Tumbarumba,11302,23,46,45,411,586,577,925,1131,1120,1200,1300,1300,180,182,180,0.9,0.7,0.8,2.8,2.3,2.3,7.4,2.0,2.3
Wagga Wagga,11303,21,39,38,475,660,652,1084,1256,1244,1482,1408,1408,230,250,248,0.9,0.7,0.8,3.0,2.4,2.5,5.8,1.8,2.1
Shoalhaven,11401,22,50,48,436,517,511,1068,988,992,1517,1517,1517,270,280,280,1.0,0.7,0.7,3.1,2.3,2.3,7.3,1.6,2.0
Southern Highlands,11402,22,47,47,495,647,645,1408,1332,1334,1950,1842,1842,320,350,350,1.0,0.7,0.7,3.2,2.4,2.4,6.7,1.8,1.9
Baulkham Hills,11501,23,39,39,702,810,809,2613,2326,2328,2817,2500,2500,550,570,570,0.9,0.8,0.8,3.5,3.1,3.1,2.7,2.0,2.0
Dural - Wisemans Ferry,11502,24,43,43,581,750,748,1958,2152,2149,2383,2600,2600,385,450,450,1.0,0.8,0.8,3.3,3.1,3.1,6.8,2.3,2.4
Hawkesbury,11503,22,41,40,591,766,762,2032,1883,1890,2254,2167,2167,400,355,360,1.0,0.8,0.8,3.5,2.9,3.0,6.3,2.8,2.9
Rouse Hill - McGraths Hill,11504,20,35,35,609,857,854,2312,2409,2407,2342,2600,2600,515,595,590,1.0,0.9,0.9,3.8,3.4,3.4,4.9,1.9,1.9
Blacktown,11601,23,35,35,478,656,652,1285,1593,1584,2000,2000,2000,300,380,380,1.0,0.9,0.9,3.2,3.0,3.0,11.4,7.4,7.6
Blacktown - North,11602,24,33,33,654,848,845,1935,2270,2265,2383,2473,2470,420,500,500,1.0,0.9,0.9,3.5,3.3,3.3,9.6,3.0,3.1
Mount Druitt,11603,19,32,32,444,586,577,1073,1457,1434,1733,1948,1911,300,340,330,1.1,1.0,1.0,3.5,3.2,3.2,12.7,9.2,9.5
Botany,11701,26,35,35,672,721,720,1610,1626,1626,2400,2400,2400,400,470,460,1.1,1.1,1.1,2.8,2.7,2.7,11.0,10.8,10.8
Sydney Inner City,11703,31,32,32,511,961,956,1081,1948,1935,3000,2500,2500,298,570,570,1.1,1.2,1.2,2.2,2.0,2.0,9.9,10.9,10.8
Eastern Suburbs - North,11801,29,36,36,922,1240,1238,2202,2423,2422,3250,3000,3000,625,630,630,1.1,1.0,1.0,2.5,2.3,2.3,10.9,4.2,4.3
Eastern Suburbs - South,11802,26,34,34,544,839,834,1386,1926,1916,2500,2600,2600,350,550,550,1.1,1.0,1.0,2.8,2.5,2.5,11.0,7.3,7.4
Bankstown,11901,25,35,35,488,509,509,1346,1332,1332,2167,2100,2100,375,400,400,1.0,1.0,1.0,3.0,3.1,3.1,9.9,9.8,9.8
Canterbury,11902,24,35,35,526,492,492,1350,1267,1268,1603,2000,2000,379,370,370,1.1,1.1,1.1,3.1,3.0,3.0,16.0,14.7,14.7
Hurstville,11903,26,37,37,552,612,612,1487,1572,1571,2167,2167,2167,404,430,430,1.0,1.0,1.0,3.0,2.9,2.9,13.6,8.9,9.0
Kogarah - Rockdale,11904,27,36,35,832,666,667,2020,1596,1600,2383,2167,2167,480,460,460,1.1,1.1,1.1,2.9,2.7,2.7,12.9,10.6,10.7
Canada Bay,12001,28,37,37,807,895,895,1924,2074,2073,2600,2500,2500,510,570,570,1.1,1.0,1.0,2.9,2.6,2.6,11.7,6.2,6.3
Leichhardt,12002,31,38,38,571,1243,1235,1367,2455,2443,2600,3000,3000,325,585,580,1.0,1.0,1.0,2.4,2.4,2.4,8.9,3.7,3.8
Strathfield - Burwood - Ashfield,12003,27,34,34,680,700,700,1683,1733,1733,2051,2167,2167,425,460,460,1.1,1.1,1.1,2.8,2.7,2.7,10.6,11.4,11.4
Chatswood - Lane Cove,12101,26,36,36,884,1027,1027,2345,2311,2311,2400,2750,2750,540,560,560,1.0,1.0,1.0,2.6,2.6,2.6,8.8,6.4,6.4
Hornsby,12102,25,38,38,653,794,793,2060,2007,2008,2500,2300,2300,520,480,480,1.0,0.9,1.0,3.2,2.8,2.8,8.4,4.9,4.9
Ku-ring-gai,12103,24,41,41,758,943,942,3077,2641,2642,3419,3000,3000,650,650,650,1.0,0.9,0.9,3.4,2.9,3.0,0.0,2.4,2.4
North Sydney - Mosman,12104,33,38,38,1138,1362,1361,2411,2393,2393,2600,2700,2700,535,570,570,1.1,1.0,1.0,2.2,2.1,2.1,7.7,3.7,3.7
Manly,12201,30,38,38,741,1195,1193,2274,2623,2620,2350,3033,3033,550,650,650,1.1,1.0,1.0,2.8,2.5,2.5,6.4,3.4,3.4
Pittwater,12202,24,44,44,754,875,874,2306,2119,2121,2600,2817,2817,600,600,600,1.1,0.9,0.9,3.4,2.8,2.8,6.5,2.6,2.6
Warringah,12203,26,39,39,756,872,871,2350,2093,2095,3000,2600,2600,530,530,530,1.0,1.0,1.0,3.1,2.7,2.7,7.0,4.1,4.2
Camden,12301,20,34,34,712,823,820,2130,2045,2048,2299,2167,2167,450,450,450,0.9,0.8,0.8,3.5,3.1,3.1,4.1,1.8,1.9
Campbelltown (NSW),12302,20,35,34,496,635,630,1358,1464,1458,1950,1842,1842,320,350,350,1.0,0.9,0.9,3.4,2.9,3.0,10.1,5.5,5.8
Wollondilly,12303,20,38,37,608,728,724,1845,1811,1813,2000,2167,2167,373,360,360,0.9,0.8,0.8,3.5,3.0,3.0,5.3,2.5,2.6
Blue Mountains,12401,21,44,44,546,692,689,1640,1464,1468,1907,1842,1842,360,350,350,1.0,0.8,0.8,3.3,2.5,2.5,5.4,1.6,1.7
Blue Mountains - South,12402,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Penrith,12403,21,35,34,606,756,751,1666,1714,1711,2123,2000,2000,370,370,370,1.0,0.8,0.8,3.3,2.8,2.8,7.4,2.9,3.2
Richmond - Windsor,12404,23,37,36,534,694,688,1537,1481,1483,2000,1950,1950,360,360,360,1.0,0.8,0.8,3.4,2.7,2.7,9.4,3.0,3.4
St Marys,12405,21,35,34,559,687,683,1416,1540,1532,1814,1863,1863,350,370,370,1.0,0.9,0.9,3.3,2.9,2.9,9.2,5.6,5.8
Auburn,12501,30,32,32,528,519,519,1321,1470,1469,2067,2000,2000,450,450,450,1.1,1.2,1.2,2.7,3.1,3.1,7.0,17.9,17.9
Carlingford,12502,26,38,38,473,646,645,1071,1701,1695,2167,2167,2167,254,440,438,1.0,0.9,0.9,2.8,2.9,2.9,9.4,5.1,5.2
Merrylands - Guildford,12503,26,33,33,491,490,490,1197,1283,1282,1975,2000,2000,330,380,380,1.0,1.1,1.1,3.1,3.1,3.1,12.0,12.5,12.5
Parramatta,12504,27,34,34,571,723,722,1492,1720,1718,2297,2080,2080,380,420,420,1.0,1.1,1.1,2.8,2.8,2.8,8.5,10.6,10.6
Pennant Hills - Epping,12601,26,39,39,914,797,797,2727,2202,2205,2786,2500,2500,533,530,530,0.8,0.9,0.9,3.0,3.0,3.0,8.9,4.7,4.7
Ryde - Hunters Hill,12602,24,36,36,579,749,749,1919,1831,1831,2600,2300,2300,419,460,460,1.0,1.0,1.0,2.9,2.7,2.7,4.7,6.5,6.5
Bringelly - Green Valley,12701,21,33,33,503,616,614,1400,1726,1720,2167,2167,2167,360,407,400,1.0,0.9,0.9,3.5,3.4,3.4,11.1,6.1,6.3
Fairfield,12702,22,37,37,482,442,442,1260,1245,1245,1799,1820,1820,350,350,350,1.1,1.0,1.0,3.4,3.3,3.3,12.4,13.1,13.1
Liverpool,12703,22,34,34,508,604,603,1336,1508,1504,2167,2100,2100,340,360,360,1.0,1.0,1.0,3.2,3.1,3.1,10.5,8.1,8.2
Cronulla - Miranda - Caringbah,12801,27,41,41,771,840,839,1872,1865,1866,2427,2500,2500,450,450,450,1.0,0.9,0.9,2.9,2.6,2.6,5.3,2.9,2.9
Sutherland - Menai - Heathcote,12802,23,39,39,757,834,833,2139,2095,2096,2320,2383,2383,420,440,440,1.0,0.9,0.9,3.3,2.9,2.9,5.3,2.2,2.3
Ballarat,20101,20,38,38,439,595,592,1013,1175,1171,1303,1376,1374,238,250,250,1.0,0.8,0.8,3.0,2.4,2.4,7.7,1.8,1.9
Creswick - Daylesford - Ballan,20102,24,47,47,485,561,561,1181,1119,1120,1500,1387,1387,225,230,230,0.9,0.8,0.8,2.9,2.4,2.4,3.6,2.3,2.3
Maryborough - Pyrenees,20103,27,49,49,394,465,464,873,838,838,1174,1083,1083,204,190,190,0.9,0.7,0.8,2.7,2.2,2.3,6.9,2.1,2.2
Bendigo,20201,20,38,38,466,611,609,1035,1179,1176,1387,1387,1387,250,250,250,1.0,0.8,0.8,3.0,2.4,2.4,8.0,2.0,2.1
Heathcote - Castlemaine - Kyneton,20202,33,46,46,470,591,590,1199,1185,1185,1430,1440,1439,245,260,260,0.9,0.8,0.8,2.9,2.4,2.4,8.0,1.9,1.9
Marrickville - Sydenham - Petersham,11702,30,35,35,615,904,900,1850,1945,1944,2784,2500,2500,400,460,460,1.1,1.0,1.0,2.8,2.4,2.4,10.1,6.7,6.8
Loddon - Elmore,20203,25,49,49,372,489,487,787,941,937,867,1000,1000,170,140,140,1.0,0.8,0.8,2.8,2.3,2.3,10.6,2.1,2.3
Barwon - West,20301,20,40,40,525,647,646,1775,1477,1480,1817,1647,1650,310,258,260,1.0,0.8,0.8,3.3,2.8,2.8,6.9,1.9,2.0
Geelong,20302,22,39,39,470,596,595,1103,1236,1234,1517,1517,1517,260,280,280,1.0,0.8,0.8,3.0,2.4,2.4,7.2,2.3,2.3
Surf Coast - Bellarine Peninsula,20303,21,44,44,519,663,662,1351,1377,1377,1680,1733,1733,315,330,330,0.9,0.7,0.7,3.1,2.5,2.5,2.3,1.2,1.2
Upper Goulburn Valley,20401,23,46,46,482,571,570,1167,1094,1095,1300,1300,1300,240,230,230,1.0,0.8,0.8,3.0,2.3,2.3,6.9,2.0,2.1
Wangaratta - Benalla,20402,21,47,46,430,581,578,940,1048,1045,1279,1300,1300,200,200,200,1.0,0.7,0.7,3.0,2.3,2.3,7.6,1.5,1.7
Wodonga - Alpine,20403,21,42,42,448,639,636,1071,1209,1205,1300,1387,1387,240,240,240,0.9,0.8,0.8,3.0,2.4,2.4,7.3,1.7,1.8
Baw Baw,20501,20,43,42,387,586,585,1189,1198,1198,1235,1473,1465,225,250,250,1.0,0.8,0.8,3.2,2.5,2.5,8.4,1.8,1.9
Gippsland - East,20502,22,51,50,404,509,505,873,936,934,1300,1278,1291,200,220,220,1.0,0.7,0.7,2.9,2.2,2.2,6.6,1.5,1.7
Gippsland - South West,20503,21,49,48,391,520,519,1051,969,970,1517,1300,1300,240,231,231,1.0,0.7,0.7,3.1,2.3,2.3,7.9,1.5,1.6
Latrobe Valley,20504,21,41,41,410,546,544,917,1081,1077,1174,1200,1200,193,200,200,1.0,0.8,0.8,3.0,2.3,2.3,8.8,1.8,2.0
Wellington,20505,25,44,43,409,565,563,1117,1103,1103,1300,1300,1300,204,210,210,1.0,0.7,0.7,3.0,2.3,2.3,9.0,1.6,1.7
Brunswick - Coburg,20601,28,34,34,635,764,763,1641,1655,1655,1706,2000,2000,400,380,380,1.0,1.0,1.0,2.5,2.4,2.4,9.4,5.0,5.0
Darebin - South,20602,27,36,36,507,837,834,1419,1728,1726,2167,2057,2058,363,365,365,1.0,1.0,1.0,2.6,2.4,2.4,9.1,3.9,4.0
Essendon,20603,28,35,35,698,819,818,1426,1703,1701,2400,2167,2167,355,341,341,1.0,0.9,0.9,2.5,2.4,2.4,8.2,4.2,4.3
Melbourne City,20604,28,28,28,628,642,642,1666,1352,1354,1594,2000,2000,420,450,450,1.1,1.1,1.1,2.1,2.0,2.0,10.4,11.2,11.2
Port Phillip,20605,32,36,36,756,1089,1087,1307,1844,1842,1950,2167,2167,350,400,400,1.1,1.0,1.0,2.0,2.0,2.0,7.7,3.5,3.5
Macedon Ranges,21002,23,41,41,519,729,728,1536,1779,1776,1907,1842,1842,350,320,321,1.0,0.8,0.8,3.2,2.8,2.8,5.1,1.5,1.5
Banyule,20901,25,39,39,498,730,728,1203,1659,1655,1800,1950,1950,309,350,350,1.0,0.8,0.8,2.8,2.6,2.6,6.7,2.4,2.4
Moreland - North,21003,26,35,35,495,585,584,1140,1347,1345,2000,1800,1800,320,340,340,1.0,0.9,0.9,2.7,2.6,2.6,10.1,6.4,6.4
Sunbury,21004,25,38,37,631,696,695,1557,1567,1567,1517,1600,1600,310,316,315,0.9,0.8,0.8,3.1,2.7,2.7,8.7,1.9,2.0
Tullamarine - Broadmeadows,21005,22,32,32,490,491,491,1354,1331,1331,1636,1682,1681,300,320,320,1.0,1.0,1.0,3.4,3.2,3.2,13.0,7.9,8.0
Knox,21101,22,39,39,516,665,664,1512,1562,1561,1600,1733,1733,356,351,351,1.0,0.8,0.8,3.3,2.7,2.7,7.9,2.2,2.2
Manningham - East,21102,27,43,43,624,735,735,2250,2082,2083,1950,2167,2167,167,392,391,0.9,0.8,0.8,3.3,3.0,3.0,0.0,1.4,1.4
Maroondah,21103,25,38,38,579,696,696,1483,1544,1543,1733,1800,1800,340,341,340,0.9,0.8,0.8,3.1,2.6,2.6,5.9,2.8,2.8
Whitehorse - East,21104,27,40,40,485,659,658,1287,1573,1571,1617,2000,2000,350,368,366,0.9,0.8,0.8,2.7,2.6,2.6,5.5,2.8,2.8
Yarra Ranges,21105,23,40,40,529,669,667,1413,1503,1501,1695,1733,1733,300,325,325,0.9,0.8,0.8,3.1,2.7,2.7,6.0,2.3,2.4
Cardinia,21201,21,34,34,575,680,679,1527,1497,1497,1799,1733,1733,320,320,320,1.0,0.8,0.8,3.4,2.8,2.8,6.5,2.2,2.3
Casey - North,21202,22,36,36,506,612,611,1261,1518,1516,1733,1712,1712,320,332,331,1.0,0.9,0.9,3.2,3.0,3.0,7.0,4.1,4.1
Casey - South,21203,22,32,32,554,662,661,1505,1582,1581,1742,1749,1749,336,341,341,1.0,0.9,0.9,3.4,3.2,3.2,8.5,4.7,4.7
Dandenong,21204,27,35,35,411,487,486,1073,1207,1206,1300,1625,1625,277,306,305,1.1,1.0,1.0,2.9,2.9,2.9,13.6,10.0,10.1
Monash,21205,24,37,37,462,565,564,1510,1504,1503,1733,2000,2000,370,391,391,1.0,0.9,0.9,3.1,2.8,2.8,8.2,3.9,3.9
Brimbank,21301,24,35,35,485,482,482,1293,1252,1252,1700,1560,1560,300,300,300,1.0,0.9,0.9,3.2,3.0,3.0,13.0,8.5,8.5
Hobsons Bay,21302,27,39,39,543,721,721,1507,1598,1597,1871,1950,1950,335,332,333,1.0,0.9,0.9,2.9,2.6,2.6,5.1,3.4,3.5
Maribyrnong,21303,29,33,33,539,704,703,1366,1553,1551,1904,2000,2000,325,330,330,1.0,1.0,1.0,2.5,2.5,2.5,7.7,6.9,6.9
Melton - Bacchus Marsh,21304,22,33,33,509,657,656,1338,1529,1527,1571,1700,1700,282,300,300,1.0,0.9,0.9,3.3,3.0,3.0,7.9,3.3,3.4
Wyndham,21305,22,32,32,509,681,680,1483,1610,1608,1600,1733,1733,311,320,320,1.0,0.9,0.9,3.4,3.0,3.1,9.1,4.3,4.4
Frankston,21401,25,38,38,509,661,660,1301,1332,1331,1517,1625,1621,300,306,306,0.9,0.8,0.8,3.0,2.5,2.5,6.8,2.4,2.4
Mornington Peninsula,21402,23,46,46,560,630,630,1254,1276,1276,1603,1733,1733,290,310,310,1.0,0.8,0.8,3.0,2.4,2.4,7.0,1.4,1.5
Grampians,21501,25,46,46,410,558,556,832,996,993,932,1000,1000,180,175,175,0.9,0.7,0.7,2.8,2.2,2.2,5.8,1.5,1.6
Mildura,21502,20,41,40,429,561,555,849,1076,1064,1300,1200,1200,203,210,210,1.0,0.8,0.8,3.2,2.4,2.4,10.0,2.8,3.1
Murray River - Swan Hill,21503,21,46,45,437,534,531,927,984,983,1083,1018,1029,175,165,167,1.0,0.8,0.8,3.0,2.3,2.3,7.0,2.3,2.5
Campaspe,21601,23,46,45,424,566,562,884,1090,1083,1300,1300,1300,200,200,200,1.0,0.8,0.8,3.0,2.4,2.4,7.9,1.8,2.0
Moira,21602,24,47,47,446,526,524,990,1015,1014,1300,1231,1235,200,200,200,1.0,0.7,0.8,2.9,2.3,2.4,10.1,2.1,2.3
Shepparton,21603,22,40,39,450,593,588,948,1171,1162,1354,1300,1300,211,220,220,1.0,0.8,0.8,3.0,2.5,2.5,7.8,3.4,3.6
Glenelg - Southern Grampians,21701,21,47,47,454,558,556,937,1047,1043,1083,1083,1083,180,180,180,1.0,0.7,0.7,3.0,2.2,2.3,6.7,1.6,1.7
Colac - Corangamite,21703,21,45,45,456,563,562,964,1053,1051,1200,1200,1200,205,200,200,1.0,0.7,0.8,2.9,2.3,2.3,8.2,2.0,2.1
Warrnambool,21704,21,42,41,443,621,618,1028,1198,1194,1452,1400,1400,217,240,240,1.0,0.8,0.8,3.0,2.4,2.4,7.9,2.0,2.1
Stonnington - West,20606,27,34,34,1018,1111,1111,1985,1913,1913,2250,2167,2167,392,401,401,1.1,1.0,1.0,2.3,2.0,2.0,7.1,3.3,3.4
Yarra,20607,29,33,33,653,1039,1037,1633,1961,1958,3259,2167,2167,395,421,421,1.0,1.0,1.0,2.3,2.1,2.1,9.7,4.8,4.9
Boroondara,20701,26,38,38,548,870,869,1933,2083,2083,3500,2500,2500,400,406,406,1.0,0.9,0.9,2.7,2.6,2.6,9.3,3.0,3.0
Manningham - West,20702,24,43,43,624,604,604,1892,1541,1542,1884,2000,2000,410,417,417,0.9,0.8,0.8,3.0,2.7,2.7,10.5,2.3,2.4
Whitehorse - West,20703,29,37,37,450,595,595,1337,1472,1471,2154,2000,2000,346,381,381,0.9,0.9,0.9,2.8,2.6,2.6,7.0,3.9,3.9
Bayside,20801,33,44,44,687,898,897,2139,2145,2145,2500,2500,2500,286,450,450,1.0,0.8,0.8,2.7,2.6,2.6,0.0,1.3,1.3
Darebin - North,20902,26,36,36,464,557,556,1189,1288,1287,2029,1800,1800,301,326,326,1.0,0.9,0.9,2.7,2.5,2.5,9.4,6.3,6.3
Nillumbik - Kinglake,20903,26,41,41,697,776,776,1970,2052,2051,2000,2000,2000,410,360,360,0.9,0.8,0.8,3.1,2.9,2.9,4.0,1.5,1.6
Whittlesea - Wallan,20904,21,34,34,564,601,601,1487,1457,1457,1750,1779,1778,327,330,330,1.0,0.9,0.9,3.3,2.9,3.0,8.2,4.2,4.3
Keilor,21001,28,42,42,749,655,655,2187,1537,1541,2075,2000,2000,360,360,360,0.9,0.8,0.8,2.9,2.6,2.7,8.1,2.4,2.4
Glen Eira,20802,27,37,37,725,776,776,1800,1737,1738,2334,2117,2117,383,390,390,1.0,0.9,0.9,2.6,2.5,2.5,3.2,3.9,3.9
