sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
30103,Wynnum - Manly,21.243000000000002,19.476,40.723,60359.0,40493.0,49591.0
30201,Bald Hills - Everton Park,12.345,11.694,24.043000000000003,60222.0,40926.0,49733.0
30202,Chermside,20.708000000000002,19.977999999999998,40.688,57232.0,43063.0,49517.0
30203,Nundah,12.312000000000001,10.823,23.141,56593.0,42623.0,49256.0
30204,Sandgate,16.342,15.494000000000002,31.839000000000002,55191.0,40180.0,47254.0
30301,Carindale,15.418,14.993,30.41,61611.0,43240.0,51000.0
30302,Holland Park - Yeronga,23.217,22.11,45.326,52717.0,43867.0,48139.0
30303,Mt Gravatt,21.311,19.646,40.96,49162.0,36424.0,42227.0
30304,Nathan,12.064,10.854000000000001,22.921,50452.0,38655.0,44379.0
30305,Rocklea - Acacia Ridge,17.867,15.866,33.73,51284.0,37262.0,43926.0
30905,Mudgeeraba - Tallebudgera,9.406,9.215,18.62,48100.0,32009.0,38688.0
30906,Nerang,19.671,18.329,37.999,47226.0,32688.0,39205.0
30907,Ormeau - Oxenford,31.377,27.725,59.097,53339.0,34267.0,42627.0
31503,Outback - South,6.522,5.767,12.29,42196.0,30757.0,36500.0
31601,Buderim,13.564,13.565,27.127,49247.0,30212.0,37901.0
31602,Caloundra,19.963,18.805999999999997,38.77,47811.0,30974.0,38615.0
31603,Maroochy,16.454,15.604000000000001,32.056,43294.0,30345.0,36380.0
31605,Noosa,10.700999999999999,10.171,20.873,40000.0,27981.0,33460.0
31606,Sunshine Coast Hinterland,13.639000000000001,12.617,26.259,42880.0,27264.0,34096.0
31607,Nambour,11.231,10.327,21.56,44252.0,29861.0,37010.0
31608,Noosa Hinterland,5.957000000000001,5.4110000000000005,11.367,40017.0,26951.0,32688.0
31801,Charters Towers - Ayr - Ingham,13.632,11.089,24.724,47040.0,28857.0,37098.0
31802,Townsville,60.22,51.956,112.181,60525.0,37913.0,48301.0
31901,Bundaberg,24.128,21.107,45.235,42682.0,28264.0,34859.0
31902,Burnett,13.742,11.259,25.002,34417.0,22891.0,27933.0
31903,Gympie - Cooloola,12.434000000000001,10.593,23.028000000000002,39700.0,25350.0,31851.0
31904,Hervey Bay,12.142999999999999,11.627,23.772,42853.0,29933.0,36002.0
51102,Gascoyne,3.3339999999999996,2.88,6.211,47156.0,30346.0,37826.0
51103,Goldfields,14.630999999999998,10.583,25.215,86688.0,38937.0,60209.0
20606,Stonnington - West,20.531,19.926,40.455999999999996,56611.0,45655.0,50685.0
20607,Yarra,28.568,28.358,56.922,54590.0,46175.0,50018.0
20701,Boroondara,49.48,48.571000000000005,98.04899999999999,59773.0,40043.0,48381.0
20702,Manningham - West,25.019000000000002,23.823,48.846000000000004,50000.0,34910.0,41491.0
20703,Whitehorse - West,27.971,27.024,54.998000000000005,50034.0,34999.0,41686.0
20801,Bayside,27.51,26.79,54.302,65026.0,38081.0,48724.0
20902,Darebin - North,26.112,23.039,49.15,44560.0,35377.0,40031.0
20903,Nillumbik - Kinglake,20.723000000000003,19.762,40.485,59420.0,34959.0,44633.0
20904,Whittlesea - Wallan,54.692,47.232,101.926,50862.0,35407.0,42668.0
21001,Keilor,16.314,15.338,31.648000000000003,54797.0,38419.0,45750.0
21002,Macedon Ranges,8.626,7.846,16.47,58761.0,32374.0,43368.0
40403,West Torrens,17.995,16.504,34.499,47047.0,37706.0,42319.0
40501,Barossa,10.395,9.021,19.419,50408.0,31466.0,40546.0
40502,Lower North,6.404,5.359,11.763,41821.0,28403.0,34896.0
40503,Mid North,7.027,6.144,13.172,44186.0,28872.0,35823.0
40504,Yorke Peninsula,6.111000000000001,5.31,11.427,39366.0,28074.0,33873.0
40601,Eyre Peninsula and South West,17.125,14.208,31.337,52000.0,30979.0,40857.0
20802,Glen Eira,43.938,42.049,85.99,53499.0,39041.0,45807.0
20803,Kingston,34.080999999999996,32.77,66.85,56000.0,38703.0,46641.0
20804,Stonnington - East,12.454,12.243,24.695999999999998,59380.0,40127.0,48709.0
20901,Banyule,35.58,34.16,69.744,56033.0,38643.0,46239.0
21003,Moreland - North,20.061,16.475,36.542,46366.0,37152.0,41835.0
21004,Sunbury,11.668,10.665999999999999,22.329,57491.0,36235.0,45647.0
30306,Sunnybank,15.339,13.133,28.468000000000004,41507.0,30646.0,35852.0
30401,Centenary,10.29,9.725,20.02,65398.0,40848.0,51564.0
30402,Kenmore - Brookfield - Moggill,13.911,13.092,27.002,71096.0,38271.0,50952.0
30403,Sherwood - Indooroopilly,14.887,14.027000000000001,28.909000000000002,55928.0,35987.0,44751.0
30404,The Gap - Enoggera,15.530999999999999,14.328,29.863000000000003,62033.0,40467.0,50842.0
30501,Brisbane Inner,28.12,22.936999999999998,51.055,44731.0,34138.0,39512.0
30502,Brisbane Inner - East,14.097000000000001,13.154000000000002,27.25,63987.0,46310.0,53846.0
30503,Brisbane Inner - North,27.764,26.127,53.894,60570.0,45908.0,52564.0
30504,Brisbane Inner - West,18.723,18.054000000000002,36.773,62780.0,43583.0,51850.0
30601,Cairns - North,16.234,15.634,31.866,53917.0,37415.0,44581.0
30602,Cairns - South,31.825,28.820999999999998,60.651,45464.0,33260.0,39118.0
30603,Innisfail - Cassowary Coast,11.534,9.177,20.71,35946.0,24253.0,30094.0
30604,Port Douglas - Daintree,4.022,3.65,7.672000000000001,36923.0,25803.0,30877.0
30605,Tablelands (East) - Kuranda,12.068,10.382,22.45,37325.0,26595.0,31482.0
30701,Darling Downs (West) - Maranoa,15.485999999999999,12.834000000000001,28.326999999999998,45331.0,28387.0,36181.0
30702,Darling Downs - East,13.522,10.835,24.361,47596.0,27525.0,37439.0
30703,Granite Belt,12.215,10.605,22.82,34542.0,23384.0,28192.0
30801,Central Highlands (Qld),10.859000000000002,8.356,19.212,80059.0,31200.0,51169.0
30803,Rockhampton,35.96,30.203000000000003,66.164,59690.0,35039.0,45810.0
30804,Biloela,5.436,4.205,9.642000000000001,59982.0,27792.0,41625.0
30805,Gladstone,22.965999999999998,16.624000000000002,39.591,94445.0,34662.0,60019.0
30901,Broadbeach - Burleigh,19.054000000000002,18.125999999999998,37.187,43988.0,32961.0,38073.0
30902,Coolangatta,15.368,14.548,29.915,44047.0,32439.0,37694.0
30903,Gold Coast - North,17.292,16.572,33.868,43861.0,33348.0,38081.0
30904,Gold Coast Hinterland,5.156000000000001,4.734,9.885,47079.0,29555.0,37417.0
40602,Outback - North and East,7.531000000000001,6.31,13.842,65029.0,35604.0,47777.0
40701,Fleurieu - Kangaroo Island,11.935,11.285,23.215,37319.0,26145.0,31262.0
40702,Limestone Coast,20.055,17.016,37.069,43450.0,28383.0,35996.0
40703,Murray and Mallee,20.207,16.963,37.171,37921.0,27768.0,32710.0
50101,Augusta - Margaret River - Busselton,15.527999999999999,13.809000000000001,29.336,47208.0,26216.0,35041.0
50102,Bunbury,32.189,26.391,58.588,70546.0,30954.0,46702.0
50103,Manjimup,7.422000000000001,6.247000000000001,13.675,41325.0,23691.0,31007.0
50201,Mandurah,26.963,22.151,49.107,69797.0,30723.0,46005.0
50301,Cottesloe - Claremont,21.7,19.351,41.05,72000.0,35496.0,50090.0
50302,Perth City,43.391000000000005,34.518,77.916,63336.0,41387.0,52064.0
50401,Bayswater - Bassendean,28.873,24.307,53.181999999999995,59035.0,40693.0,49695.0
50402,Mundaring,13.35,11.619000000000002,24.967,66917.0,36500.0,49597.0
30908,Robina,13.467,13.453,26.92,45240.0,32717.0,38012.0
30909,Southport,17.038,15.789000000000001,32.829,39919.0,30535.0,34985.0
30910,Surfers Paradise,12.755,11.164000000000001,23.92,36386.0,27500.0,31913.0
31001,Forest Lake - Oxley,18.439,15.985,34.427,50240.0,36355.0,43034.0
31002,Ipswich Hinterland,16.809,14.005,30.805999999999997,48137.0,29428.0,38086.0
31003,Ipswich Inner,28.03,24.281999999999996,52.312,53603.0,36024.0,44561.0
31004,Springfield - Redbank,22.285,18.667,40.957,54530.0,37077.0,45833.0
31101,Beaudesert,3.4810000000000003,2.987,6.47,44995.0,27501.0,35832.0
31102,Beenleigh,11.247,9.367,20.605,48142.0,33959.0,40943.0
31103,Browns Plains,22.934,19.17,42.111999999999995,50533.0,35399.0,42688.0
31104,Jimboomba,12.11,10.354000000000001,22.468000000000004,57114.0,36004.0,45426.0
31105,Loganlea - Carbrook,17.444000000000003,15.675,33.125,51145.0,37004.0,43526.0
31106,Springwood - Kingston,22.559,18.778,41.343,47229.0,36000.0,41702.0
31201,Bowen Basin - North,12.511,9.406,21.916999999999998,82670.0,30057.0,49120.0
31202,Mackay,42.221000000000004,32.791,75.01100000000001,74224.0,34788.0,51671.0
31203,Whitsunday,7.38,5.957000000000001,13.334000000000001,48614.0,31169.0,39675.0
31301,Bribie - Beachmere,7.18,6.437,13.624,45873.0,29781.0,37087.0
31302,Caboolture,18.24,15.78,34.024,44970.0,28980.0,36817.0
31303,Caboolture Hinterland,3.338,2.7289999999999996,6.068,44155.0,29239.0,36073.0
31304,Narangba - Burpengary,17.491,15.3,32.786,52226.0,34114.0,42428.0
31305,Redcliffe,16.194000000000003,14.978,31.17,49766.0,35639.0,42162.0
31401,The Hills District,26.528000000000002,24.755,51.28,63269.0,39493.0,49902.0
31402,North Lakes,17.548,15.969000000000001,33.519,58632.0,37279.0,47200.0
31403,Strathpine,11.257,10.102,21.362,52241.0,37314.0,44342.0
31501,Far North,7.195,6.131,13.329,36275.0,29243.0,32795.0
31502,Outback - North,11.16,8.607999999999999,19.772000000000002,73707.0,38239.0,53701.0
31701,Toowoomba,43.107,39.117,82.225,50101.0,33242.0,41174.0
31905,Maryborough,10.225,8.85,19.076,44120.0,30225.0,36982.0
50403,Swan,37.88,31.969,69.85,63031.0,37350.0,49232.0
50501,Joondalup,55.239,49.256,104.49600000000001,68726.0,37599.0,50489.0
50502,Stirling,65.906,57.18600000000001,123.095,60680.0,40172.0,49932.0
50503,Wanneroo,54.896,46.706,101.61,63268.0,35870.0,48325.0
50601,Armadale,23.159000000000002,18.863,42.022,62817.0,36498.0,49332.0
50602,Belmont - Victoria Park,27.086,20.941999999999997,48.022,59282.0,40581.0,50180.0
50603,Canning,33.17,26.941,60.111000000000004,54720.0,35566.0,44826.0
50604,Gosnells,39.356,30.909000000000002,70.27,59366.0,36158.0,47773.0
50605,Kalamunda,19.525,16.31,35.83,67826.0,38164.0,51638.0
50606,Serpentine - Jarrahdale,6.811,5.696000000000001,12.514000000000001,70414.0,35400.0,51150.0
50607,South Perth,15.08,13.179,28.258000000000003,66799.0,42316.0,53083.0
50701,Cockburn,33.35,28.026999999999997,61.378,68900.0,37626.0,51938.0
40101,Adelaide City,7.306,6.2860000000000005,13.592,43308.0,32837.0,38025.0
40102,Adelaide Hills,21.498,19.942,41.441,52079.0,34871.0,42660.0
40105,Norwood - Payneham - St Peters,10.363,10.298,20.651999999999997,51199.0,39519.0,45035.0
40107,Unley,10.932,11.276,22.209,56653.0,41556.0,47831.0
