sa3_name16,sa3_code16,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Boroondara,20701,6741,4112,4377,8485,73,60,131,24933,25424,50362,3463,3530,6989,28468,29014,57488
Manningham - West,20702,2853,1924,2231,4151,26,29,56,11366,11381,22750,1380,1568,2953,12775,12981,25758
Whitehorse - West,20703,3314,2316,2547,4861,54,35,94,15585,15881,31463,1685,1759,3447,17324,17676,35004
Bayside,20801,4301,2623,2951,5571,44,36,76,12718,13250,25970,2172,2276,4442,14922,15565,30488
Darebin - North,20902,5503,3716,3966,7683,135,150,289,12125,12625,24744,2809,2891,5704,15074,15664,30734
Nillumbik - Kinglake,20903,2425,1583,1599,3189,50,58,108,8916,9000,17913,1255,1318,2572,10223,10372,20594
Whittlesea - Wallan,20904,8512,6261,6619,12878,377,385,763,27386,28222,55614,4431,4556,8989,32191,33168,65361
Keilor,21001,2170,1581,1763,3341,40,35,72,6900,6933,13830,1114,1148,2260,8051,8116,16164
Macedon Ranges,21002,1444,990,998,1992,41,38,77,3776,3877,7655,761,764,1525,4573,4673,9246
Maroondah,21103,3758,2470,2838,5309,88,124,210,13327,13794,27125,1863,2048,3903,15280,15959,31240
Glen Eira,20802,5810,3737,3910,7642,38,56,91,20291,20906,41195,2986,3015,5997,23313,23969,47285
Kingston,20803,5022,3208,3633,6833,85,93,174,13613,14508,28116,2503,2663,5168,16199,17263,33461
Stonnington - East,20804,1737,1051,1172,2219,21,25,43,5930,6407,12333,855,920,1774,6803,7355,14157
Banyule,20901,4358,2980,3353,6335,140,151,289,15062,15562,30625,2252,2330,4583,17454,18044,35499
Whitehorse - East,21104,1751,1150,1391,2534,20,26,51,7797,8039,15833,850,964,1815,8665,9031,17696
Yarra Ranges,21105,5899,4048,4287,8331,247,336,579,17573,18413,35988,3091,3137,6222,20911,21885,42796
Cardinia,21201,4355,2997,3067,6061,142,172,319,11874,12601,24466,2271,2299,4565,14286,15068,29353
Casey - North,21202,4536,3473,3511,6989,126,137,267,17482,18022,35506,2409,2345,4754,20016,20500,40517
Casey - South,21203,7356,5342,5376,10721,200,212,413,22930,24023,46952,3821,3805,7625,26951,28042,54989
Dandenong,21204,7887,6492,6085,12575,110,108,220,24619,24055,48672,4322,3913,8234,29046,28082,57128
Monash,21205,6540,4349,4568,8912,75,92,171,26817,26510,53328,3359,3393,6755,30255,30005,60256
Brimbank,21301,8784,7091,6973,14067,143,153,294,24232,25053,49279,4784,4561,9346,29151,29764,58915
Hobsons Bay,21302,3692,2497,2630,5122,82,83,168,9544,10270,19807,1910,1931,3842,11531,12285,23814
Maribyrnong,21303,4762,3188,3111,6302,79,66,150,10805,10753,21555,2459,2418,4875,13345,13230,26578
Melton - Bacchus Marsh,21304,7012,5700,5499,11197,349,341,689,20941,21891,42832,3623,3720,7336,24917,25943,50859
Wyndham,21305,9296,7790,6784,14573,453,386,837,30748,30796,61547,4887,4802,9696,36094,35985,72077
Frankston,21401,6842,4546,4802,9351,265,232,499,14794,16091,30883,3477,3630,7100,18531,19953,38485
Mornington Peninsula,21402,7193,4888,5420,10302,242,264,506,16506,17592,34094,3667,3867,7527,20418,21718,42134
Grampians,21501,2995,2904,2331,5239,197,154,346,6235,5946,12175,1556,1610,3163,7986,7704,15692
Mildura,21502,3640,2604,2581,5185,446,442,884,5554,6016,11572,1966,1817,3786,7973,8272,16239
Murray River - Swan Hill,21503,3141,2199,2099,4297,223,223,446,3669,3793,7457,1673,1594,3263,5562,5608,11173
Campaspe,21601,2206,1611,1712,3320,168,174,345,3766,3923,7688,1124,1189,2312,5063,5283,10349
Moira,21602,1842,1371,1349,2723,91,89,183,2965,3135,6096,963,942,1905,4012,4163,8176
Shepparton,21603,4186,3177,3015,6191,441,461,906,7255,7388,14644,2134,2189,4325,9835,10041,19869
Glenelg - Southern Grampians,21701,1995,1512,1506,3021,148,157,309,3517,3668,7183,1062,1039,2104,4735,4860,9594
Colac - Corangamite,21703,2172,1643,1596,3240,87,74,161,3878,3936,7813,1191,1095,2287,5158,5103,10255
Warrnambool,21704,2991,2017,2140,4160,163,157,319,5365,5977,11341,1534,1597,3133,7061,7730,14792
Capalaba,30101,2242,1572,1613,3184,285,343,622,8319,8649,16971,1155,1180,2334,9756,10170,19928
Cleveland - Stradbroke,30102,3231,2201,2306,4508,350,373,725,9079,9704,18783,1678,1686,3363,11111,11766,22878
Wynnum - Manly,30103,2530,1834,1827,3661,275,299,573,8053,8568,16623,1362,1263,2623,9690,10133,19817
Bald Hills - Everton Park,30201,1218,824,868,1696,116,120,234,4675,5169,9841,651,633,1285,5441,5926,11366
Chermside,30202,2618,1910,2138,4046,213,283,499,7793,8748,16542,1340,1353,2691,9345,10391,19733
Nundah,30203,1622,1190,1301,2492,166,142,307,4196,4487,8681,855,843,1695,5211,5473,10684
