sa3_code16,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot,sa3_name16
12702,9,35,0,10,12,45,125,84,252,2151,1683,200,4035,314,438,754,4792,6197,158,11145,Fairfield
12703,11,20,0,4,4,19,55,50,126,1486,829,126,2444,104,160,266,2708,2457,73,5242,Liverpool
12801,5,36,3,0,3,39,26,12,80,1502,1044,96,2651,57,76,128,2777,1349,26,4152,Cronulla - Miranda - Caringbah
12802,4,24,0,0,3,31,20,7,58,1558,948,95,2603,58,67,122,2726,1065,19,3811,Sutherland - Menai - Heathcote
20101,8,32,4,4,8,37,54,26,117,1211,1209,123,2542,142,207,349,2890,1927,51,4870,Ballarat
20102,0,3,4,0,5,7,13,5,26,208,273,35,515,26,37,62,577,417,13,1007,Creswick - Daylesford - Ballan
20103,0,4,0,0,0,5,19,14,35,160,219,18,401,34,37,70,474,576,22,1067,Maryborough - Pyrenees
20201,3,28,0,0,3,32,52,16,96,1149,1235,143,2525,122,148,269,2796,1863,37,4696,Bendigo
20202,3,14,3,0,3,17,14,6,38,432,481,35,953,43,42,84,1038,688,20,1746,Heathcote - Castlemaine - Kyneton
20203,0,0,0,0,0,0,11,0,9,69,88,6,161,11,3,14,173,199,9,377,Loddon - Elmore
20301,0,10,0,0,0,11,5,3,15,154,156,16,330,8,18,27,354,213,0,578,Barwon - West
20302,13,51,5,7,8,64,87,56,210,2247,2162,251,4660,257,237,495,5154,3519,105,8780,Geelong
20303,4,17,0,0,3,17,26,16,61,693,765,62,1514,61,64,120,1635,747,19,2409,Surf Coast - Bellarine Peninsula
20401,3,8,0,3,6,12,23,16,53,522,536,60,1120,57,55,111,1238,834,39,2104,Upper Goulburn Valley
20402,0,14,0,0,0,10,34,19,65,432,505,55,988,52,56,108,1094,792,25,1909,Wangaratta - Benalla
20403,7,18,0,0,3,23,25,12,56,800,795,91,1687,92,72,159,1843,1037,30,2908,Wodonga - Alpine
20501,0,12,0,0,0,12,21,3,36,498,488,72,1055,45,48,93,1152,771,16,1939,Baw Baw
20502,3,14,0,3,4,15,17,19,54,358,475,62,892,41,43,82,975,717,33,1724,Gippsland - East
20503,6,12,3,3,6,18,29,7,61,452,680,83,1214,80,82,158,1376,1004,33,2410,Gippsland - South West
11702,3,12,0,0,0,12,16,7,32,611,352,33,994,31,49,81,1081,838,26,1943,Marrickville - Sydenham - Petersham
20504,7,13,3,3,8,20,54,27,106,787,855,96,1737,174,162,333,2069,1616,55,3740,Latrobe Valley
20505,0,16,3,0,3,17,13,13,41,360,421,44,821,46,49,91,914,633,18,1570,Wellington
20601,4,12,0,0,0,16,19,4,40,726,525,46,1300,49,58,108,1411,1177,20,2602,Brunswick - Coburg
20602,6,8,0,0,0,8,6,4,22,461,403,43,906,33,24,59,959,642,19,1618,Darebin - South
20603,3,14,0,0,0,16,41,17,73,628,458,59,1147,62,63,123,1266,972,35,2279,Essendon
20604,0,13,0,3,4,21,29,16,63,686,420,50,1165,62,68,134,1293,1127,28,2448,Melbourne City
20605,0,10,0,0,0,13,24,15,52,894,602,60,1556,71,78,149,1706,936,23,2671,Port Phillip
20606,4,7,0,0,0,7,15,3,30,489,312,29,824,29,41,63,885,634,11,1532,Stonnington - West
20607,3,7,0,0,0,7,37,25,74,652,452,46,1147,68,89,154,1304,1292,29,2627,Yarra
20701,11,23,7,4,5,32,29,20,80,1713,1174,122,3008,92,100,197,3201,1849,36,5083,Boroondara
20702,0,7,0,0,3,7,22,15,52,968,714,65,1750,56,81,139,1882,1451,35,3368,Manningham - West
20703,4,15,0,0,0,15,23,16,56,1093,869,76,2041,85,59,144,2182,1518,42,3744,Whitehorse - West
20801,3,26,0,0,0,25,19,9,51,1065,770,80,1916,54,55,115,2036,1098,17,3151,Bayside
20902,11,26,3,3,5,30,62,28,123,878,775,65,1715,102,82,179,1895,1954,47,3897,Darebin - North
20903,3,12,0,0,0,13,16,12,37,793,602,66,1457,28,43,68,1527,525,13,2066,Nillumbik - Kinglake
20904,10,77,3,5,11,85,91,46,225,2606,2012,251,4869,238,222,459,5329,3909,99,9337,Whittlesea - Wallan
21001,4,15,3,0,3,22,24,10,60,768,514,63,1343,42,50,90,1436,985,27,2445,Keilor
21002,0,11,0,0,0,11,8,3,22,266,262,26,559,26,6,35,591,273,12,867,Macedon Ranges
20901,8,22,0,4,5,26,42,23,97,1571,1149,128,2855,81,112,189,3043,1851,40,4932,Banyule
21003,3,15,0,0,4,20,38,24,79,751,587,74,1416,65,71,138,1557,1473,51,3085,Moreland - North
21004,3,13,3,0,3,17,11,4,33,627,476,62,1160,40,44,87,1245,598,14,1861,Sunbury
21005,8,49,3,3,8,51,85,55,192,1727,1265,177,3177,197,195,397,3569,3720,109,7398,Tullamarine - Broadmeadows
21101,17,63,0,3,7,65,43,22,135,2140,1621,174,3931,114,141,256,4186,2148,44,6381,Knox
21102,3,8,0,0,0,8,7,3,17,237,195,15,451,6,8,16,464,252,4,721,Manningham - East
21103,5,32,0,0,0,32,37,19,90,1622,1175,113,2903,74,98,170,3078,1529,46,4652,Maroondah
21104,4,7,0,0,0,7,17,5,32,701,500,43,1244,29,47,72,1316,865,12,2196,Whitehorse - East
21105,19,68,3,0,7,73,45,27,141,1952,1842,169,3963,102,127,228,4186,2005,57,6241,Yarra Ranges
21201,5,37,0,4,3,35,32,19,91,1223,1085,110,2422,89,117,204,2627,1337,46,4012,Cardinia
21202,11,28,3,3,6,39,39,30,111,1649,1131,116,2893,140,151,296,3187,2147,55,5391,Casey - North
21203,15,41,6,4,8,51,58,42,149,2127,1475,216,3822,215,188,397,4219,2488,76,6784,Casey - South
21204,6,38,8,3,8,46,78,63,187,1983,1485,206,3665,245,235,479,4143,4300,122,8570,Dandenong
21205,5,32,0,0,3,32,36,23,91,1822,1244,145,3208,118,140,258,3466,2662,52,6179,Monash
21301,14,59,6,9,17,74,125,70,275,2208,1667,244,4120,408,414,818,4942,4745,142,9831,Brimbank
21302,5,22,0,0,0,21,36,18,77,1153,722,77,1954,82,83,165,2117,1418,38,3578,Hobsons Bay
21303,4,22,0,3,3,21,25,13,61,789,590,74,1450,100,94,196,1641,1396,35,3072,Maribyrnong
21304,5,35,4,9,11,43,69,48,159,1961,1454,180,3595,223,231,456,4048,2811,85,6948,Melton - Bacchus Marsh
21305,13,53,3,3,4,60,83,67,210,2767,1747,261,4777,318,288,597,5373,3429,133,8933,Wyndham
21401,11,46,5,3,7,58,77,43,179,2208,1778,197,4184,191,215,409,4586,2602,84,7275,Frankston
21402,11,51,0,0,6,55,60,29,146,1712,1852,181,3741,133,159,293,4032,2267,79,6371,Mornington Peninsula
21501,4,14,0,0,3,16,37,15,66,481,507,65,1053,51,48,100,1151,976,29,2160,Grampians
21502,6,11,3,0,8,18,47,25,88,598,533,52,1187,80,74,152,1339,1076,50,2461,Mildura
21503,0,4,0,3,3,9,21,16,43,287,284,28,591,30,30,58,650,563,27,1244,Murray River - Swan Hill
21601,0,4,0,3,4,7,24,9,44,359,366,32,756,42,45,92,846,598,26,1464,Campaspe
21602,4,7,0,0,0,6,13,7,31,243,293,37,576,42,27,69,644,493,23,1164,Moira
21603,11,28,3,0,3,34,41,23,90,701,652,95,1454,65,93,163,1613,1144,37,2799,Shepparton
21701,3,5,0,0,0,9,27,11,40,335,362,41,743,31,36,60,806,537,15,1364,Glenelg - Southern Grampians
21703,3,8,0,0,0,7,22,14,51,310,387,44,735,36,30,60,794,572,30,1404,Colac - Corangamite
21704,7,17,0,3,4,23,13,17,53,454,584,62,1103,41,50,90,1194,709,33,1937,Warrnambool
30101,5,15,0,4,3,23,17,11,52,1191,769,81,2042,76,80,153,2190,996,29,3216,Capalaba
30102,4,21,0,0,3,24,26,12,63,1135,792,75,1998,92,90,180,2184,1119,32,3340,Cleveland - Stradbroke
30103,6,16,0,0,0,21,17,14,52,1226,670,73,1973,78,63,141,2109,1009,28,3142,Wynnum - Manly
30201,0,13,0,0,0,12,8,5,19,582,342,49,975,31,26,60,1031,450,9,1497,Bald Hills - Everton Park
30202,3,13,0,0,0,15,17,24,52,1026,553,76,1646,65,52,119,1770,1034,39,2843,Chermside
30203,0,5,0,0,0,5,5,9,20,600,317,34,953,39,42,77,1032,479,17,1525,Nundah
30204,0,6,0,0,0,6,17,10,36,918,572,70,1560,62,68,135,1694,980,16,2691,Sandgate
30301,7,12,0,0,0,12,11,3,23,679,402,40,1119,30,34,64,1186,619,9,1817,Carindale
30302,0,16,0,3,3,19,15,9,39,798,454,61,1310,53,48,103,1416,760,10,2191,Holland Park - Yeronga
30303,6,15,0,0,0,19,15,10,44,883,568,76,1530,72,59,129,1658,1018,30,2711,Mt Gravatt
30304,0,9,0,0,0,7,4,7,17,453,288,31,778,49,46,90,870,515,14,1398,Nathan
30305,0,8,3,0,0,7,16,12,37,805,474,58,1332,99,71,168,1505,865,14,2388,Rocklea - Acacia Ridge
30905,3,12,0,0,0,16,11,0,26,409,377,43,829,26,32,59,888,429,10,1329,Mudgeeraba - Tallebudgera
30906,4,18,0,3,3,21,15,9,45,1043,825,75,1951,89,99,188,2142,1067,26,3231,Nerang
30907,14,40,0,3,3,44,30,18,88,1637,1243,149,3033,159,161,314,3354,1641,27,5023,Ormeau - Oxenford
31503,6,6,0,0,0,12,17,8,35,200,112,19,332,20,15,31,364,253,13,629,Outback - South
20802,6,31,0,0,3,33,29,19,86,1570,1156,114,2833,103,87,193,3024,1618,36,4684,Glen Eira
20803,3,26,0,0,0,23,28,16,72,1647,1217,105,2968,81,97,180,3151,1612,44,4797,Kingston
20804,3,11,0,0,0,11,7,7,19,396,281,30,707,19,20,40,744,379,10,1132,Stonnington - East
31601,0,9,0,0,0,9,10,4,24,724,635,59,1416,53,78,126,1548,623,11,2182,Buderim
31602,3,22,0,0,0,23,28,16,70,955,1024,99,2075,108,101,215,2283,1259,35,3575,Caloundra
31603,4,17,0,0,0,22,18,5,48,728,731,66,1523,66,90,154,1680,812,20,2505,Maroochy
31605,5,11,0,0,0,11,17,7,32,490,577,31,1101,46,57,102,1208,562,19,1789,Noosa
31606,3,17,0,0,0,20,19,8,40,481,598,57,1129,50,53,107,1239,753,16,2006,Sunshine Coast Hinterland
31607,5,15,0,3,3,20,13,6,37,419,533,63,1010,46,66,114,1123,676,16,1814,Nambour
31608,0,0,0,0,0,0,3,3,12,180,253,22,456,24,28,49,505,330,12,842,Noosa Hinterland
31801,8,12,0,0,3,13,19,20,51,376,340,46,760,79,66,143,905,760,31,1700,Charters Towers - Ayr - Ingham
31802,10,40,6,3,14,50,64,38,160,2795,1689,221,4708,448,300,750,5459,3085,66,8609,Townsville
31901,6,18,7,3,10,24,51,31,104,850,847,87,1784,247,163,414,2192,1896,52,4140,Bundaberg
31902,4,6,3,3,3,15,38,19,67,381,418,39,843,104,64,166,1004,1068,42,2121,Burnett
31903,0,7,0,3,3,8,29,15,57,410,491,47,947,102,90,195,1144,1180,37,2363,Gympie - Cooloola
31904,10,14,3,3,4,18,24,17,68,540,612,61,1218,129,100,231,1447,1291,29,2765,Hervey Bay
30306,0,6,3,0,3,11,7,7,26,563,354,45,967,60,34,91,1056,804,21,1878,Sunnybank
30401,0,6,0,0,0,7,0,3,8,453,264,22,733,33,21,45,786,321,10,1114,Centenary
30402,3,3,0,0,3,8,5,0,13,589,327,42,955,36,28,60,1011,375,3,1390,Kenmore - Brookfield - Moggill
30403,0,8,0,0,0,8,3,3,15,501,263,33,798,37,34,69,865,425,11,1296,Sherwood - Indooroopilly
30404,4,10,0,0,0,10,6,9,22,747,501,47,1289,45,34,77,1368,643,21,2027,The Gap - Enoggera
30501,0,5,0,0,0,6,4,0,14,580,308,29,915,38,35,74,988,461,7,1459,Brisbane Inner
30502,3,10,0,0,0,6,3,3,18,530,294,26,854,39,18,56,915,343,5,1260,Brisbane Inner - East
30503,3,8,0,0,0,8,15,13,33,962,478,61,1501,48,54,99,1608,685,21,2306,Brisbane Inner - North
30504,0,3,0,0,0,3,8,0,13,618,316,32,957,26,22,55,1011,390,3,1411,Brisbane Inner - West
30601,3,12,0,0,0,18,15,10,36,850,637,69,1548,69,68,134,1690,630,16,2335,Cairns - North
30602,10,37,5,0,6,43,84,40,166,1527,1143,131,2806,258,194,451,3255,2027,73,5354,Cairns - South
30603,0,5,0,0,3,12,25,10,44,341,282,46,672,100,44,152,819,712,23,1557,Innisfail - Cassowary Coast
30604,0,3,0,0,0,3,7,3,13,117,115,16,253,7,9,16,263,162,10,436,Port Douglas - Daintree
30605,0,13,0,0,0,12,19,20,49,406,381,43,831,79,62,139,970,819,24,1815,Tablelands (East) - Kuranda
30701,0,7,0,3,3,14,23,14,45,424,299,32,757,53,36,92,844,608,20,1470,Darling Downs (West) - Maranoa
30702,6,9,0,3,4,15,17,8,36,383,299,46,736,64,49,116,849,687,17,1560,Darling Downs - East
30703,6,13,0,0,0,14,13,20,47,327,375,56,758,69,56,120,878,724,25,1632,Granite Belt
30801,0,3,0,0,0,6,5,6,16,283,154,27,466,49,32,76,544,289,14,842,Central Highlands (Qld)
30803,12,24,8,4,7,33,43,35,115,1412,1145,143,2703,282,208,487,3188,2091,58,5334,Rockhampton
30804,0,3,0,0,0,3,8,5,11,132,93,7,227,15,7,20,252,131,5,385,Biloela
30805,3,13,5,4,7,19,16,20,56,603,450,55,1100,192,97,290,1388,824,34,2250,Gladstone
30901,7,12,0,0,0,15,18,11,43,767,704,69,1539,59,73,135,1670,880,35,2587,Broadbeach - Burleigh
30902,3,16,0,3,3,18,22,17,57,759,691,69,1518,75,81,148,1666,883,25,2576,Coolangatta
30903,3,13,0,0,0,17,17,14,43,938,766,89,1797,87,117,208,2003,1266,30,3298,Gold Coast - North
30904,0,9,0,0,0,9,7,5,14,177,189,22,390,19,9,28,419,231,10,657,Gold Coast Hinterland
30908,3,11,0,0,0,11,21,9,34,853,688,63,1605,80,72,158,1760,790,13,2558,Robina
30909,3,14,3,0,3,16,30,21,66,804,683,58,1546,76,110,180,1732,1125,35,2891,Southport
30910,3,8,0,0,0,12,3,3,14,399,317,38,756,47,49,94,850,518,9,1381,Surfers Paradise
31001,4,19,0,4,4,19,32,29,82,1048,691,80,1808,147,125,266,2077,1616,57,3748,Forest Lake - Oxley
31002,4,17,8,0,8,23,22,17,57,578,514,70,1161,132,79,219,1377,1238,36,2653,Ipswich Hinterland
31003,6,27,4,0,6,26,44,24,96,1594,1049,140,2786,257,191,455,3237,2461,57,5758,Ipswich Inner
31004,4,19,8,0,13,30,33,27,94,1438,816,110,2366,228,144,368,2740,1600,45,4382,Springfield - Redbank
31101,0,3,0,0,0,3,3,4,15,148,159,7,313,24,23,46,363,353,12,730,Beaudesert
31102,8,12,3,7,6,26,12,13,53,699,468,85,1247,124,103,223,1474,1135,33,2646,Beenleigh
31103,7,24,8,3,7,30,32,31,94,1246,891,112,2247,197,127,319,2564,1696,39,4304,Browns Plains
31104,3,5,0,0,0,5,13,7,22,500,359,31,896,60,58,117,1009,547,16,1569,Jimboomba
31105,7,21,0,0,0,21,21,12,57,992,575,67,1630,114,86,196,1828,1084,30,2947,Loganlea - Carbrook
31106,3,23,0,0,4,29,44,41,114,1101,738,102,1937,217,173,389,2329,2003,64,4403,Springwood - Kingston
31201,8,9,0,0,0,9,3,16,26,318,180,35,534,57,22,82,610,323,14,947,Bowen Basin - North
31202,11,42,5,0,3,46,51,18,117,1334,965,117,2414,265,205,470,2882,1644,45,4573,Mackay
31203,0,6,0,0,0,9,3,0,7,203,211,22,435,34,15,51,489,188,9,684,Whitsunday
31301,0,4,4,0,3,9,23,4,38,302,289,31,617,54,41,96,717,654,10,1380,Bribie - Beachmere
31302,3,16,0,3,3,21,44,16,80,919,767,104,1797,201,160,364,2160,1769,26,3958,Caboolture
31303,0,6,0,0,0,6,5,0,11,106,117,20,243,13,18,29,269,197,9,476,Caboolture Hinterland
31304,6,16,4,0,4,22,18,26,71,849,651,104,1604,105,124,231,1836,1139,38,3004,Narangba - Burpengary
31305,9,24,0,3,4,34,29,18,74,895,719,86,1697,113,108,223,1926,1394,37,3357,Redcliffe
31401,5,15,0,0,0,15,10,4,26,1119,678,79,1874,42,48,94,1970,677,19,2657,The Hills District
31402,3,16,0,0,3,19,17,12,44,1200,820,93,2114,124,117,241,2359,1083,21,3459,North Lakes
31403,5,11,0,0,0,11,15,11,35,609,441,58,1109,89,60,149,1259,726,20,2003,Strathpine
31501,0,14,0,0,0,14,26,10,47,342,247,32,623,87,36,129,751,851,24,1627,Far North
31502,0,7,0,0,3,9,23,27,63,406,159,41,605,54,34,94,698,521,42,1262,Outback - North
31701,8,34,0,0,0,32,59,28,120,1789,1438,149,3373,224,187,409,3786,2443,50,6284,Toowoomba
31905,4,10,0,3,4,14,20,15,51,326,373,42,745,135,72,205,948,1087,32,2065,Maryborough
40101,0,3,0,0,0,3,4,0,5,132,83,13,235,3,11,14,250,169,3,421,Adelaide City
40102,4,11,0,0,0,16,4,8,28,831,797,61,1686,39,56,93,1780,700,21,2503,Adelaide Hills
40105,5,7,0,0,0,5,11,3,16,416,340,31,790,31,29,58,845,452,7,1307,Norwood - Payneham - St Peters
40403,3,6,0,0,0,8,11,3,25,688,534,47,1270,55,41,101,1368,911,7,2284,West Torrens
