sa3_code16,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot,sa3_name16
10304,27,116,96,87,188,176,134,209,8,1039,34,84,47,62,130,133,64,110,213,880,980,2722,2401,2813,4679,4410,2554,4682,481,25729,Orange
10401,27,92,53,99,148,131,47,118,8,725,42,93,48,48,95,74,29,60,169,667,739,2351,2062,2525,3232,2406,1285,2432,387,17415,Clarence Valley
10402,32,201,121,158,263,232,119,181,15,1316,49,151,137,127,200,173,69,118,285,1309,1258,4868,3997,5118,6584,5138,2555,4510,637,34661,Coffs Harbour
10501,9,20,24,28,54,71,19,47,0,275,19,17,19,27,43,37,23,53,138,380,351,747,694,930,1421,1436,796,2544,286,9203,Bourke - Cobar - Coonamble
10502,15,40,32,37,65,56,30,38,3,312,17,24,13,16,42,24,20,37,91,284,357,815,643,876,1552,1236,616,1537,204,7839,Broken Hill and Far West
10503,41,107,108,113,294,226,122,219,18,1241,57,88,73,68,144,191,70,127,277,1093,1031,2947,2544,3211,5995,5219,2644,5434,640,29666,Dubbo
10601,61,207,166,176,350,327,185,296,10,1778,62,140,106,137,223,246,95,170,322,1501,1430,4267,4001,4054,6284,5869,3745,5998,753,36407,Lower Hunter
10602,37,186,138,156,326,276,148,280,16,1555,25,127,85,90,211,239,85,159,228,1262,1194,3911,3495,3671,6423,5897,3429,5034,520,33572,Maitland
10603,31,150,123,120,221,222,128,208,17,1214,43,132,80,101,175,184,68,120,235,1147,1144,3634,3115,3525,5148,4750,2464,3621,544,27956,Port Stephens
10604,19,51,37,52,100,94,44,79,11,476,15,53,31,37,69,75,31,56,110,478,507,1339,1194,1389,2226,1957,1547,2586,279,13027,Upper Hunter
10701,43,160,124,126,323,294,131,180,15,1392,46,118,96,91,241,257,103,126,260,1343,1189,3571,3348,3520,6561,5665,2648,3569,548,30624,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,Illawarra Catchment Reserve
10703,51,190,152,184,330,335,144,217,15,1616,67,146,124,108,237,260,96,182,261,1485,1551,4691,4464,4719,7575,6868,3526,5048,619,39059,Kiama - Shellharbour
10704,71,301,251,256,381,398,179,279,16,2128,50,194,170,151,269,321,96,236,433,1913,2097,7634,6589,6406,10764,10378,5254,7599,921,57644,Wollongong
10801,12,66,44,48,55,74,32,64,7,407,18,49,43,29,53,53,20,27,116,403,448,1506,1296,1471,1650,1465,701,1299,248,10095,Great Lakes
10802,18,87,70,51,120,85,54,72,6,570,32,68,42,58,77,49,29,64,202,620,735,2131,2044,2315,2862,2018,1092,2037,475,15699,Kempsey - Nambucca
10803,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,7,11,17,35,25,23,26,40,21,30,9,225,Lord Howe Island
10804,31,186,130,142,237,210,107,178,11,1236,43,144,59,92,120,122,57,108,230,975,1125,3912,3190,4222,5536,4782,2310,4024,553,29660,Port Macquarie
10805,17,75,84,70,148,155,71,87,11,716,39,73,54,59,103,81,42,51,213,718,895,2533,2228,2657,3307,2712,1297,2401,449,18484,Taree - Gloucester
10901,23,128,132,119,219,204,121,170,15,1120,36,113,80,73,163,153,59,126,206,1012,1035,3326,2801,3505,4998,4586,2657,4030,491,27430,Albury
10902,6,10,14,12,24,30,15,36,4,159,9,32,22,21,45,39,6,31,79,283,200,566,472,604,852,846,396,1175,183,5298,Lower Murray
10903,25,81,55,64,101,103,63,112,11,620,41,69,45,49,96,113,39,77,178,710,823,2018,1680,2026,2682,2936,1442,3354,413,17372,Upper Murray exc. Albury
11001,17,70,45,43,103,71,61,71,9,502,17,53,33,36,59,55,29,64,110,462,616,2135,1599,1916,3107,2279,1249,2680,306,15891,Armidale
11002,15,69,45,37,113,97,44,78,7,518,38,60,52,47,79,82,24,64,181,617,553,1696,1420,1830,2523,2023,1048,2834,403,14341,Inverell - Tenterfield
11003,19,46,36,41,84,114,54,84,0,487,20,46,39,36,69,98,34,77,112,532,445,981,861,1125,1908,1886,927,2592,283,11012,Moree - Narrabri
11004,39,167,117,139,315,282,136,241,15,1435,51,140,84,102,237,232,87,168,337,1442,1254,3587,3088,3968,6620,6031,3240,6189,755,34742,Tamworth - Gunnedah
11101,67,283,230,219,447,369,232,283,10,2138,65,169,132,137,292,329,89,212,325,1756,2028,6631,6147,6422,9892,9638,4833,6655,725,52963,Lake Macquarie - East
11102,40,189,129,159,300,326,169,182,9,1498,40,112,81,104,231,229,78,140,270,1284,1171,3748,3442,3781,6157,5779,2761,3909,583,31339,Lake Macquarie - West
11103,70,354,279,306,589,493,265,401,21,2782,70,286,167,197,373,386,152,264,543,2442,2780,9523,8307,8991,14614,13923,6978,9828,1211,76144,Newcastle
11201,36,180,151,154,205,183,76,143,16,1150,63,232,146,191,188,188,59,157,343,1569,1183,4853,4365,5256,5442,4719,2160,4158,710,32839,Richmond Valley - Coastal
11202,22,131,104,117,203,199,119,147,10,1050,49,124,84,100,131,159,51,116,273,1086,955,3664,3162,4256,5453,4161,1988,3621,599,27858,Richmond Valley - Hinterland
11203,27,223,152,176,209,249,85,205,15,1342,65,182,144,168,193,239,93,211,379,1662,1263,5020,4181,5488,6170,5399,2540,4882,781,35731,Tweed Valley
11301,19,86,66,74,167,142,88,120,6,768,47,89,68,65,140,179,59,80,214,945,787,2112,1871,2213,4268,3963,2019,3619,527,21383,Griffith - Murrumbidgee (West)
11302,11,17,11,12,33,34,17,37,3,169,13,19,16,21,39,35,26,51,71,296,248,646,586,661,1011,822,565,1311,162,6010,Tumut - Tumbarumba
11303,19,167,142,159,321,324,184,230,17,1576,59,149,106,89,241,253,82,181,331,1490,1506,4527,3870,4675,8468,7441,3852,6884,831,42056,Wagga Wagga
11401,49,180,163,168,250,211,128,202,23,1367,71,186,110,110,191,189,68,133,359,1422,1457,5255,4259,4744,6417,5562,3146,4614,810,36268,Shoalhaven
11402,22,110,99,114,138,126,84,142,11,846,36,122,92,86,106,130,69,145,167,938,639,2799,2299,2523,3263,3471,1822,3456,345,20627,Southern Highlands
11501,43,299,249,250,393,492,225,393,26,2367,53,294,232,203,430,719,205,424,491,3052,1847,8522,7317,6568,12200,16487,6594,11711,968,72214,Baulkham Hills
11502,10,103,65,54,87,134,61,130,11,649,19,69,54,49,72,102,39,100,98,609,370,1750,1414,1316,1661,2597,1064,2712,241,13122,Dural - Wisemans Ferry
11503,9,62,41,63,93,136,87,139,3,641,24,57,50,54,84,124,43,104,124,664,391,1329,1255,1257,1975,2520,1197,2467,250,12630,Hawkesbury
11504,15,76,77,87,119,165,63,154,4,763,21,70,55,58,102,198,52,142,124,823,417,1773,1650,1699,2901,3956,1580,3115,260,17351,Rouse Hill - McGraths Hill
11601,53,231,203,212,562,485,213,275,25,2250,72,259,285,255,818,720,214,289,758,3678,1723,5353,5803,5841,16258,13733,5077,6221,1485,61490,Blacktown
11602,37,176,167,144,399,335,176,261,16,1719,40,129,152,148,421,472,125,254,379,2116,1278,4133,4101,4153,10764,11151,4252,6216,804,46855,Blacktown - North
11603,25,130,129,135,362,340,141,176,24,1458,78,201,174,208,714,575,186,229,730,3089,1172,3865,3799,4575,12594,9211,3466,4296,1362,44336,Mount Druitt
11701,13,88,90,85,172,200,73,116,16,857,25,85,84,83,177,225,57,116,227,1079,676,1983,2359,2138,4805,5249,2166,3114,486,22976,Botany
11703,89,360,379,330,689,633,331,481,48,3356,153,388,726,317,635,1090,390,787,1030,5518,3256,9065,14351,8252,19779,27419,13741,23299,2048,121209,Sydney Inner City
11801,43,270,223,224,310,357,161,282,21,1879,85,328,312,233,289,686,235,628,517,3318,1797,6077,6406,5828,7920,14598,7449,16515,1024,67604,Eastern Suburbs - North
11802,57,252,260,248,343,383,193,332,19,2097,71,258,241,199,333,566,176,376,510,2727,2078,6888,6869,6202,10839,15350,6906,12010,1133,68276,Eastern Suburbs - South
11901,76,412,356,315,600,594,277,346,56,3026,121,397,363,338,811,740,235,284,1028,4312,1853,7394,7112,6791,14956,14535,5260,7419,2012,67318,Bankstown
11902,55,298,291,230,490,502,194,249,43,2354,99,357,382,291,636,596,170,231,953,3716,1412,5798,6814,5872,12140,11219,4130,5599,1693,54677,Canterbury
11903,36,217,253,190,437,419,163,277,24,2012,81,272,343,229,571,561,150,216,716,3143,1626,6304,7253,5871,12280,12466,4773,6781,1293,58645,Hurstville
11904,45,246,308,248,469,448,229,294,28,2319,94,278,400,262,600,664,157,254,800,3509,1905,6037,8436,6533,14585,14631,5498,7642,1507,66770,Kogarah - Rockdale
12001,19,174,170,141,257,289,126,211,17,1413,44,170,163,119,285,417,127,261,316,1901,1290,3950,4314,3638,7270,10158,4351,7585,686,43244,Canada Bay
12002,22,109,79,100,136,159,94,149,7,848,21,99,96,87,103,241,91,224,178,1127,957,2531,2612,2713,4177,6502,3705,6984,380,30557,Leichhardt
12003,62,284,284,236,511,471,212,287,34,2381,88,371,478,283,623,702,202,281,843,3864,1930,7268,9449,7295,15436,17293,6722,9360,1559,76311,Strathfield - Burwood - Ashfield
12101,32,220,182,159,277,275,150,252,21,1573,55,222,205,140,314,528,173,392,404,2427,1554,5571,5513,4772,8529,13291,5953,10962,792,56939,Chatswood - Lane Cove
12102,40,177,161,145,274,287,150,184,13,1425,37,170,144,114,254,363,118,171,258,1630,1222,4508,4360,4048,7533,9262,3876,5320,534,40659,Hornsby
12103,33,267,211,156,168,276,138,244,12,1505,56,272,201,166,241,492,139,371,345,2279,1447,7565,5928,5049,6745,11296,5241,11101,703,55072,Ku-ring-gai
12104,35,169,132,124,216,217,148,244,20,1316,62,201,162,158,200,466,164,421,299,2133,1517,4408,4444,3961,7023,12078,6518,12471,631,53052,North Sydney - Mosman
12201,4,104,87,73,85,104,60,78,5,604,26,103,91,73,106,226,78,188,130,1019,659,2232,2274,1990,2471,4812,2459,4980,312,22199,Manly
12202,31,174,112,165,185,217,110,192,10,1196,54,187,150,144,151,312,109,236,219,1553,878,4132,3605,3418,3599,5845,2709,5530,471,30194,Pittwater
12203,78,442,324,329,459,592,312,447,23,3014,96,341,304,290,487,734,273,573,557,3654,2290,8794,8310,7902,11872,15861,7862,13277,1126,77294,Warringah
12301,25,134,97,108,251,256,145,205,16,1238,48,109,104,90,242,295,95,230,261,1471,1096,3128,2926,3041,6133,6546,3369,5570,540,32352,Camden
12302,52,256,199,202,570,526,274,312,31,2425,104,300,265,285,926,799,268,338,788,4065,2006,6499,6067,7086,17484,14524,6244,7811,1589,69308,Campbelltown (NSW)
12303,28,90,90,67,143,176,95,172,16,875,40,88,66,67,151,213,59,145,170,996,728,2039,1912,2050,3568,3932,1953,3522,442,20151,Wollondilly
12401,38,168,135,155,196,202,110,177,15,1194,47,154,98,95,185,232,74,159,176,1227,1240,4646,4249,4229,6156,6152,3344,5308,476,35800,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,55,273,215,245,534,615,316,452,30,2746,88,260,208,229,642,683,260,486,621,3487,2250,6477,5961,6494,14714,14478,6863,10651,1229,69111,Penrith
12404,13,85,61,71,111,176,73,141,11,751,20,79,56,83,193,180,61,126,148,944,513,1733,1525,1777,3314,3458,1696,2801,369,17181,Richmond - Windsor
12405,17,102,72,68,220,230,111,145,16,983,36,105,89,104,378,297,96,145,268,1519,693,2152,2081,2427,6218,5660,2279,3129,593,25241,St Marys
12501,11,132,166,125,282,245,107,103,14,1205,52,290,394,257,541,532,177,194,736,3172,820,3597,4979,3648,8850,8369,2891,3584,1238,37982,Auburn
12502,32,127,112,120,210,262,119,161,13,1149,37,155,157,132,280,328,107,151,276,1621,805,3405,3025,2901,6125,7111,2580,3737,522,30209,Carlingford
12503,36,276,253,217,517,441,188,246,44,2213,110,390,347,323,775,716,182,253,1077,4187,1477,5928,5983,5712,13642,12140,4524,5897,1913,57223,Merrylands - Guildford
12504,46,212,234,169,481,395,185,220,31,1988,68,245,318,223,766,711,185,255,699,3470,1722,5328,6456,5582,16639,17156,5275,6551,1325,66035,Parramatta
11702,20,102,106,139,218,221,119,127,17,1061,28,94,107,92,148,231,81,164,244,1188,844,2337,2942,2991,5808,6752,3408,4716,479,30272,Marrickville - Sydenham - Petersham
12601,24,123,78,81,100,118,53,83,7,659,26,106,81,79,147,209,45,110,177,987,574,2936,2380,2088,4044,5329,2132,3310,351,23135,Pennant Hills - Epping
12602,38,256,301,246,410,422,215,287,20,2208,53,272,248,203,493,656,188,349,586,3041,1863,6743,6769,5892,12649,15290,5971,9133,1159,65463,Ryde - Hunters Hill
12701,31,213,194,160,399,396,160,236,25,1820,88,256,172,194,626,529,154,249,659,2930,1208,4101,3950,4250,10311,9725,3529,5660,1286,44017,Bringelly - Green Valley
12702,46,524,421,339,718,600,273,344,38,3303,124,621,515,446,1318,893,244,319,1258,5740,1589,7829,6846,6713,17503,13688,5016,6788,2193,68157,Fairfield
12703,42,184,155,161,413,367,165,217,29,1738,68,225,204,220,593,599,168,218,646,2945,1422,4414,4280,4521,11470,10805,4157,5772,1206,48046,Liverpool
12801,55,242,214,246,371,443,182,335,26,2111,72,225,206,188,334,521,182,350,442,2522,1802,6088,5745,5671,8727,11687,5459,9640,952,55769,Cronulla - Miranda - Caringbah
12802,46,283,239,261,380,510,226,374,21,2341,53,176,165,171,303,450,146,291,323,2084,1802,6268,6150,5776,9559,11815,5884,8717,693,56671,Sutherland - Menai - Heathcote
20101,53,247,154,212,314,240,165,190,18,1587,71,185,92,120,233,225,76,159,343,1521,1821,6358,4960,5711,8417,7669,4342,5709,803,45790,Ballarat
20102,18,62,48,40,72,70,36,54,6,410,25,56,58,39,65,92,35,85,139,590,585,1666,1447,1615,1888,1978,985,1935,308,12415,Creswick - Daylesford - Ballan
20103,14,46,40,22,64,59,32,43,12,335,36,44,32,41,64,66,36,53,94,463,422,1233,1083,1215,1516,1440,723,1346,214,9185,Maryborough - Pyrenees
20201,65,217,151,198,317,248,167,194,16,1571,57,165,99,130,242,220,86,168,278,1450,1814,5725,4404,5330,8101,6715,3870,4923,710,41593,Bendigo
20202,14,96,64,99,109,135,62,117,8,709,46,119,60,75,111,117,57,103,160,840,864,2818,2481,2737,2964,3432,1702,2873,367,20238,Heathcote - Castlemaine - Kyneton
20203,8,29,4,11,23,26,5,28,0,129,11,16,8,12,24,40,8,25,60,204,205,591,423,556,616,727,345,1021,133,4615,Loddon - Elmore
20301,12,41,39,36,69,76,29,62,6,359,21,38,36,33,47,52,31,44,88,389,388,1144,1056,1064,1340,1628,786,1523,199,9136,Barwon - West
20302,87,450,310,365,601,565,251,357,41,3022,123,347,222,266,490,568,191,369,691,3272,3312,11677,9339,9984,15253,15290,7468,10350,1526,84191,Geelong
20303,26,187,122,129,190,189,76,132,15,1056,48,165,101,99,129,187,72,140,234,1178,1306,4593,3846,4026,4723,5615,2650,4411,521,31696,Surf Coast - Bellarine Peninsula
20401,34,116,78,98,137,149,77,138,14,835,71,107,86,82,128,173,60,131,241,1071,1001,2857,2442,2805,3602,3990,2076,3791,564,23132,Upper Goulburn Valley
20402,15,91,63,68,133,167,50,118,9,724,36,92,56,68,117,144,48,96,170,828,919,2427,2178,2632,3391,3452,1752,2917,411,20070,Wangaratta - Benalla
20403,34,130,88,136,217,236,135,149,20,1149,82,123,71,86,189,189,74,143,258,1221,1411,3791,3240,4091,5707,5382,3163,4908,642,32340,Wodonga - Alpine
20501,27,131,95,115,193,173,94,151,11,996,48,99,70,55,107,148,58,115,190,887,908,2817,2288,2471,3412,3468,1998,3518,437,21325,Baw Baw
20502,23,96,72,79,101,114,56,95,10,647,45,80,62,65,96,120,27,82,166,740,936,2339,2022,2419,2629,2459,1310,2524,404,17052,Gippsland - East
20503,39,122,105,96,149,182,81,109,12,895,63,158,99,77,123,136,53,138,245,1091,1288,3706,2981,3277,3379,3750,1941,3920,559,24806,Gippsland - South West
20504,25,161,102,107,230,214,82,162,10,1096,57,93,73,67,161,162,67,135,295,1117,1304,4012,3171,3523,5689,4605,2741,3772,592,29411,Latrobe Valley
20505,28,95,57,93,102,127,51,87,10,650,32,69,54,68,88,120,37,106,175,746,854,2329,1861,2057,2697,2873,1571,3263,399,17898,Wellington
20601,32,187,164,192,304,267,161,199,25,1524,45,172,139,132,236,304,118,200,383,1728,1392,5183,5019,5471,8651,9427,4921,6432,750,47253,Brunswick - Coburg
20602,21,122,89,117,186,178,63,98,8,896,25,98,95,93,145,196,64,129,201,1040,841,3106,3003,3496,4731,5627,2936,4141,419,28301,Darebin - South
20603,24,106,113,123,191,152,84,138,20,941,31,137,123,77,172,205,77,167,271,1263,1060,4008,3622,3505,5788,7039,3518,5419,558,34507,Essendon
20604,53,198,238,195,311,280,149,185,19,1627,92,296,340,177,358,460,155,313,522,2712,1978,7237,7707,5210,10856,15126,6354,9525,1165,65152,Melbourne City
20605,33,184,164,222,342,309,182,254,14,1705,62,197,174,179,262,491,195,425,352,2350,1672,4531,4617,5318,9230,13018,6929,11655,742,57711,Port Phillip
20904,82,488,401,415,906,758,353,430,46,3883,153,507,360,406,1228,910,282,421,1072,5340,3169,10477,9801,10687,22252,19360,8087,10194,2237,96259,Whittlesea - Wallan
21001,27,149,97,128,200,186,76,147,18,1015,39,124,86,94,175,222,72,152,226,1189,905,3231,2774,2834,4966,5666,2415,3853,536,27192,Keilor
21002,13,63,58,60,76,94,63,102,6,542,18,68,54,45,70,116,45,81,101,589,582,1784,1532,1600,2141,2651,1401,2351,246,14291,Macedon Ranges
20901,53,271,231,243,340,349,175,276,11,1949,76,246,144,194,319,426,131,256,440,2231,1954,7370,6437,6710,9966,11764,5688,8134,888,58915,Banyule
21003,31,151,123,138,318,229,116,128,22,1247,61,129,150,125,261,302,91,115,407,1645,1034,3251,3683,3536,7086,6817,2866,3574,806,32659,Moreland - North
21004,23,100,76,76,155,158,85,120,10,801,32,66,41,52,129,159,51,74,145,762,648,2223,1982,2192,3864,3883,1875,2542,327,19536,Sunbury
21005,57,275,255,267,600,467,225,247,38,2421,91,368,287,307,806,618,174,290,965,3915,1805,6976,6506,7028,14838,12357,5028,6301,1894,62727,Tullamarine - Broadmeadows
21101,73,371,321,375,679,640,284,439,30,3224,111,350,285,308,804,750,248,394,617,3866,2397,9423,7854,8578,16106,15818,6989,8983,1228,77364,Knox
21102,9,68,59,61,78,74,45,87,3,481,15,64,58,52,73,94,43,102,117,611,362,1993,1471,1469,1640,2399,1112,2216,207,12870,Manningham - East
21103,52,274,213,262,466,427,195,326,23,2231,61,241,171,181,448,438,167,274,412,2381,1770,6880,5652,6043,10290,10857,5370,7011,840,54714,Maroondah
21104,23,138,143,117,221,187,105,139,8,1094,38,119,101,99,217,240,68,128,192,1203,853,3753,3176,3210,5433,5996,2564,3329,431,28750,Whitehorse - East
21105,99,417,345,351,639,694,362,511,32,3448,161,395,271,302,630,724,274,474,613,3844,2788,9627,7833,8552,12975,13806,7142,9969,1343,74031,Yarra Ranges
21201,53,218,173,161,397,393,207,316,27,1936,76,225,146,185,436,441,184,298,405,2387,1501,5097,4452,4988,8622,8651,4382,6418,912,45037,Cardinia
20606,12,120,99,120,179,157,102,138,5,931,33,153,124,106,177,302,116,266,254,1522,925,3224,3004,3004,5816,8045,4243,7286,468,36011,Stonnington - West
20607,40,170,116,163,319,254,169,178,16,1412,47,162,151,138,256,385,160,317,313,1926,1477,4504,4181,4744,8264,10982,6450,9932,690,51224,Yarra
20701,57,368,256,219,327,306,195,289,22,2036,107,420,325,265,322,546,174,513,556,3231,2331,11663,8914,8406,10831,15585,7977,15371,1180,82260,Boroondara
20702,29,223,155,162,305,261,123,175,14,1443,52,212,159,137,273,349,94,217,382,1868,1028,5455,4426,4364,7113,8313,3341,5235,752,40019,Manningham - West
20703,39,248,228,195,292,280,148,210,16,1650,46,262,208,147,283,335,92,183,350,1901,1317,6749,5648,5094,7815,8961,4072,5988,681,46322,Whitehorse - West
20801,35,239,151,146,167,183,102,198,13,1226,50,302,172,211,186,376,133,417,298,2160,1332,6425,5050,4969,5118,8552,4400,9489,652,45993,Bayside
20902,29,177,211,165,321,267,110,150,20,1448,67,208,198,169,400,352,116,177,436,2113,1268,5071,5014,4737,8862,8232,3568,4325,927,42006,Darebin - North
20903,35,221,148,166,205,253,106,196,25,1338,52,179,126,111,173,250,95,217,187,1383,1136,4852,3882,3973,4942,6635,3251,5254,500,34422,Nillumbik - Kinglake
20802,55,382,303,286,396,411,218,342,22,2407,73,346,283,255,391,610,205,392,553,3107,2057,9023,8012,8028,11922,15324,7165,10789,1117,73440,Glen Eira
20803,62,323,212,250,394,347,206,268,27,2086,74,263,184,203,408,532,183,327,435,2607,1879,6851,5729,6302,10299,11972,6052,8233,921,58234,Kingston
20804,5,90,56,68,82,68,54,73,6,500,17,105,72,58,83,149,49,137,148,816,507,2708,2250,1992,2737,3941,2071,4011,311,20517,Stonnington - East
21202,40,316,246,291,552,521,259,294,34,2564,90,297,224,271,731,694,205,340,636,3490,1737,7123,5762,6860,13205,12093,5326,7011,1261,60378,Casey - North
21203,80,381,266,308,721,662,321,352,31,3115,127,369,292,378,1152,901,289,374,870,4745,2289,7936,6939,8659,19117,15769,6901,8231,1698,77534,Casey - South
21204,40,403,468,339,886,638,239,312,48,3381,141,471,541,429,1512,977,318,318,1268,5981,1850,8459,8554,8136,20085,14940,5559,6399,2201,76174,Dandenong
21205,54,347,317,288,520,463,190,278,23,2476,83,377,377,284,685,783,208,319,706,3819,2123,10371,8452,8026,14987,16390,6375,8429,1416,76573,Monash
21301,74,415,423,349,745,603,226,273,50,3144,149,537,467,433,1277,905,227,286,1325,5618,2091,8739,8404,8415,18666,15219,5484,6666,2417,76092,Brimbank
21302,42,176,143,127,297,272,127,177,10,1377,54,147,148,138,291,395,127,225,311,1837,1347,4087,3843,4199,7513,8416,4037,5793,656,39891,Hobsons Bay
21303,38,159,172,145,320,241,153,137,8,1374,60,191,220,156,358,337,99,187,367,1975,1288,4058,4841,4388,8499,8523,4019,5326,699,41648,Maribyrnong
21304,55,281,218,272,550,539,238,340,35,2513,90,270,205,280,674,684,205,299,671,3376,2230,7256,6190,7328,14773,14635,6070,8166,1454,68097,Melton - Bacchus Marsh
21305,81,415,304,304,822,638,276,330,42,3209,123,407,386,374,972,988,274,415,1174,5107,2929,9822,9449,10250,23623,22504,8513,11147,2258,100495,Wyndham
21401,64,338,253,256,522,531,245,297,38,2543,102,282,210,246,690,715,233,375,575,3418,2187,7330,6219,7361,12687,12510,6218,7757,1150,63406,Frankston
21402,72,362,286,370,437,457,226,364,23,2595,124,372,291,277,428,543,217,407,569,3219,2496,9558,7591,8653,10164,11852,6088,9845,1261,67498,Mornington Peninsula
21501,40,104,86,109,166,187,71,128,17,911,42,102,69,72,134,142,39,111,222,934,1150,3120,2576,3168,4055,4475,2015,4305,544,25418,Grampians
21502,18,87,67,76,201,188,60,97,11,811,48,89,74,93,148,170,48,107,240,1019,848,2695,2093,2763,4435,3925,1930,3286,524,22501,Mildura
21503,18,71,45,54,112,111,51,78,0,547,39,71,51,61,76,115,33,93,175,713,655,1893,1484,1778,2489,2664,1276,2814,409,15456,Murray River - Swan Hill
21601,23,71,56,70,136,129,62,91,5,644,44,61,35,44,95,94,34,83,179,670,745,1940,1592,2011,2554,2481,1491,2836,379,16022,Campaspe
21602,9,69,33,36,69,91,44,64,6,416,42,51,29,40,76,85,41,65,134,567,598,1410,1140,1352,1807,1952,1117,2118,309,11806,Moira
21603,37,146,109,120,263,226,105,131,15,1147,53,108,81,87,194,181,67,143,289,1199,1101,3129,2548,3285,5112,4881,2503,3709,607,26876,Shepparton
21701,14,72,51,66,98,94,49,71,6,537,41,66,42,42,77,75,33,76,153,612,743,2031,1720,1930,2238,2456,1417,2693,376,15595,Glenelg - Southern Grampians
21703,16,89,46,45,90,81,27,79,3,480,37,90,62,56,87,92,36,85,183,731,766,2278,1715,2022,2394,2306,1435,3418,391,16727,Colac - Corangamite
21704,25,144,81,80,142,161,53,91,10,780,41,86,49,68,123,138,51,105,189,852,1062,3200,2438,2913,3769,3753,2044,3629,482,23287,Warrnambool
30101,33,184,174,214,314,292,152,215,14,1593,41,143,122,125,294,310,104,223,245,1605,1156,4047,3342,4268,7192,6657,3452,5633,549,36293,Capalaba
30102,34,202,160,171,292,310,135,241,10,1563,51,178,118,127,230,301,103,286,267,1662,1209,4343,3658,4527,6911,6792,3501,6177,589,37708,Cleveland - Stradbroke
30103,40,182,127,160,277,247,134,190,10,1364,46,140,75,140,270,295,102,212,238,1509,1156,3479,2924,3742,6799,6603,3473,5437,510,34126,Wynnum - Manly
30201,13,108,69,87,144,145,66,106,3,732,18,65,57,42,119,126,47,98,136,704,699,2347,1938,2205,4010,4167,2036,3105,293,20797,Bald Hills - Everton Park
30202,26,161,103,151,276,191,131,183,5,1224,31,106,73,84,195,230,80,146,238,1183,1193,3510,3193,3805,7145,6920,3480,5245,524,35020,Chermside
30203,21,57,76,106,185,147,73,112,13,783,20,66,69,53,149,154,40,89,150,786,714,1713,1872,2249,4717,4288,2068,2932,316,20875,Nundah
