gml_id,sa3_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6345,"10304","330","281","240","153","28","10","1309","14","124","163","163","160","91","24","12","759","273","1348","1336","955","831","428","174","56","5417","137","594","755","823","739","486","194","50","3770","992","1984","1754","1683","1250","695","308","78","8748","151","137","117","123","78","52","26","3","677","87","128","168","225","262","183","72","19","1141","1226","2249","2044","2026","1590","930","402","100","10568","25","35","48","42","65","76","32","17","339","678","562","582","727","649","669","582","267","4723","2368","5171","5256","5025","4283","2832","1440","507","26879",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6346,"10401","125","113","157","122","31","6","623","5","45","71","108","164","79","24","9","510","99","524","666","533","762","467","173","55","3284","92","329","457","634","803","546","197","56","3118","659","1233","1407","1698","1805","1285","533","139","8769","129","102","106","117","116","80","11","7","664","69","107","132","200","289","241","88","34","1166","858","1446","1647","2014","2213","1612","631","177","10601","9","18","28","45","84","97","48","15","336","648","480","576","702","930","1036","778","376","5531","1724","2905","3572","4150","5108","3970","1880","698","24000",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6347,"10402","299","354","370","298","84","24","1628","11","123","203","246","372","193","45","9","1203","294","1542","1833","1503","1677","1012","306","96","8262","227","846","1115","1431","1490","1008","391","99","6608","1133","2237","2224","2761","2750","1754","799","248","13896","269","204","175","182","211","123","34","3","1187","105","162","234","322","451","372","154","43","1845","1510","2601","2628","3260","3405","2239","987","298","16931","37","60","58","88","113","124","60","21","567","841","740","732","1017","1301","1357","1231","753","7971","2922","6099","6865","7912","8732","6227","3110","1293","43161",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6348,"10501","54","51","40","16","10","0","248","3","38","25","42","27","14","5","0","152","91","485","303","246","215","110","34","3","1489","42","208","218","284","213","127","53","8","1160","320","659","531","564","576","360","116","19","3156","57","69","52","64","39","26","0","0","309","34","47","53","81","66","65","14","3","362","411","770","639","704","679","450","137","27","3821","3","13","15","18","21","13","10","0","93","482","536","467","601","632","601","344","105","3771","1044","2122","1715","1949","1844","1337","583","154","10738",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6349,"10502","51","47","48","25","3","0","233","4","43","40","42","52","25","3","0","208","77","270","197","196","210","106","24","0","1078","29","146","187","212","221","110","34","12","952","291","640","515","617","607","359","131","38","3193","53","44","47","49","41","24","0","0","258","22","45","34","65","97","43","17","6","335","366","730","604","722","742","426","144","44","3788","10","13","11","18","23","11","10","0","94","316","365","290","387","382","454","316","251","2761","793","1623","1379","1624","1684","1152","542","314","9112",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634a,"10503","257","189","172","85","19","3","1024","7","131","159","152","187","70","5","0","725","269","1519","1236","917","770","414","143","53","5326","187","628","714","842","824","433","187","46","3868","1183","2188","1964","2052","1703","1007","404","109","10611","180","172","149","175","131","60","20","0","886","93","131","181","229","259","186","72","23","1173","1451","2496","2292","2461","2095","1249","491","132","12669","17","45","32","60","88","75","31","13","363","1054","1111","930","1036","1165","1144","900","388","7728","2997","6220","5617","5662","5306","3484","1776","644","31706",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634b,"10601","184","195","187","120","24","4","895","10","100","137","139","175","60","17","0","640","212","1064","986","795","856","512","159","41","4628","241","830","1001","1077","921","521","170","46","4803","1733","3598","3342","3217","2433","1324","496","115","16251","277","298","222","181","121","51","13","0","1170","128","219","239","352","316","226","79","21","1582","2142","4114","3799","3760","2864","1608","587","135","19009","30","43","58","86","90","57","24","14","409","1158","1222","1104","1158","1164","1148","785","388","8122","3804","7553","7267","7205","6250","4020","1772","623","38492",Lower Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634c,"10602","312","295","234","97","31","3","1226","14","112","170","176","199","70","22","3","764","280","1491","1417","936","770","389","159","30","5469","295","1002","1164","1107","867","403","143","51","5022","1444","3343","2771","2412","1718","1007","410","119","13222","228","198","162","128","124","55","14","0","905","108","150","192","259","280","171","74","25","1257","1780","3691","3122","2795","2119","1232","496","147","15390","20","62","64","76","91","62","28","14","411","535","570","531","573","594","633","530","313","4289","2936","7181","6781","5961","4868","2878","1408","562","32577",Maitland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634d,"10603","218","236","235","188","59","9","1088","9","57","115","144","197","137","22","9","687","201","798","992","781","936","763","251","66","4796","214","623","933","1104","1107","868","338","69","5256","1054","2068","2310","2645","2272","1800","849","197","13196","190","169","135","145","136","98","24","3","901","86","135","175","267","360","390","151","32","1597","1329","2371","2621","3052","2775","2288","1020","236","15690","23","32","38","73","104","137","64","30","499","723","595","576","763","913","1197","950","518","6238","2508","4615","5504","6151","6264","5583","2696","939","34256",Port Stephens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634e,"10604","66","67","62","24","7","5","296","0","30","47","37","54","18","7","3","199","91","473","392","300","248","140","47","18","1703","66","263","358","341","289","141","67","20","1543","536","1264","1018","1061","746","389","123","36","5169","79","79","75","73","39","15","4","0","366","31","77","71","119","78","70","22","11","486","642","1427","1169","1256","868","465","150","46","6019","11","18","16","27","31","19","8","11","138","382","470","471","452","463","346","289","156","3036","1204","2739","2514","2479","2010","1152","576","258","12939",Upper Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_634f,"10701","332","296","226","104","28","4","1287","22","151","164","124","165","48","13","3","690","415","1258","1161","808","702","351","105","22","4820","341","962","1124","1062","790","384","141","36","4832","1300","2623","2358","2414","2000","1128","563","159","12542","189","186","170","152","116","54","17","3","884","106","155","286","319","326","210","74","30","1501","1596","2959","2819","2881","2437","1385","649","197","14927","29","60","60","76","89","81","41","10","454","622","511","543","673","737","748","835","523","5198","3046","6185","6199","5922","5143","3102","1813","798","32217",Dapto - Port Kembla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6350,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","7","0","0","7",Illawarra Catchment Reserve
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6351,"10703","404","347","392","227","46","5","1734","37","200","224","207","277","127","35","9","1111","444","1533","1616","1242","1223","665","223","59","7004","439","1143","1414","1425","1240","707","228","65","6657","1569","3040","2927","3078","2548","1481","722","198","15570","214","171","178","178","137","76","20","5","984","156","202","266","415","415","303","129","50","1936","1941","3415","3374","3666","3106","1865","875","255","18493","38","52","86","94","133","123","58","23","615","739","575","645","781","876","1051","863","611","6141","3647","7204","7761","7758","7256","4764","2332","1027","41746",Kiama - Shellharbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6352,"10704","1686","1311","1090","582","147","30","6698","55","481","518","470","543","233","67","18","2384","1773","4830","3956","2672","2091","1088","414","128","16951","770","1751","2072","2171","1702","1002","357","120","9954","1889","3335","3194","3478","2672","1703","982","345","17605","283","179","212","211","183","97","29","18","1204","162","223","346","497","547","434","216","74","2497","2332","3735","3754","4188","3407","2234","1227","432","21314","80","125","137","145","180","175","104","41","984","1238","1157","920","1042","1079","1176","1083","573","8271","6354","13817","13046","12002","10101","6494","3405","1343","66559",Wollongong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6353,"10801","42","75","96","84","33","8","368","3","19","43","54","97","56","16","6","289","58","259","350","319","429","348","143","38","1939","49","195","292","403","483","439","184","56","2103","330","615","815","1024","1107","951","543","166","5547","41","49","67","81","89","60","16","8","408","28","45","80","121","187","190","81","27","756","397","706","966","1224","1382","1201","635","202","6708","8","10","15","25","56","73","36","16","238","271","196","231","343","471","721","625","380","3236","788","1413","1937","2433","3018","2919","1668","702","14888",Great Lakes
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6354,"10802","76","96","142","89","23","0","487","0","45","54","90","132","90","17","3","437","77","412","505","476","718","472","128","43","2840","78","264","391","543","790","466","167","47","2752","599","1149","1259","1558","1792","1235","524","130","8244","129","110","120","112","120","69","15","0","677","52","96","127","201","289","221","78","32","1088","777","1351","1507","1874","2202","1523","618","157","10010","8","13","25","40","69","74","36","14","285","711","636","565","756","939","960","798","500","5866","1657","2781","3125","3881","4997","3678","1787","760","22677",Kempsey - Nambucca
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6355,"10803","4","5","13","3","0","0","28","0","0","3","0","3","0","0","0","3","0","9","11","17","19","14","3","0","70","0","3","8","3","9","9","3","0","33","11","16","14","17","15","11","7","0","89","0","0","0","0","0","0","0","0","3","0","3","3","6","0","3","0","0","15","11","22","20","20","14","13","3","0","106","0","0","0","0","0","0","0","0","3","7","7","10","14","16","13","0","3","73","13","40","54","60","75","48","13","7","313",Lord Howe Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6356,"10804","299","299","285","224","74","9","1388","12","97","174","203","306","177","60","14","1032","198","1126","1428","1233","1132","873","375","116","6486","174","620","1045","1248","1263","1021","465","135","5961","1010","1913","2139","2619","2542","1997","995","307","13523","179","154","134","175","182","129","38","10","1012","94","134","205","312","432","386","218","57","1837","1287","2203","2483","3113","3155","2510","1246","376","16368","17","24","54","78","111","162","95","40","570","680","531","564","773","1001","1471","1314","843","7169","2374","4790","6051","6934","7251","6432","3620","1525","38977",Port Macquarie
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6357,"10805","122","101","164","122","29","7","619","3","57","74","104","166","118","23","8","546","107","494","551","574","763","549","185","59","3274","123","373","498","705","865","608","242","58","3471","683","1276","1391","1750","1797","1290","584","157","8921","178","144","127","106","117","78","10","0","759","75","113","144","239","322","292","109","37","1338","939","1527","1662","2098","2229","1665","701","197","11020","10","20","43","47","97","103","46","16","376","579","353","413","659","896","1022","795","490","5195","1763","2897","3360","4285","5171","4184","2013","828","24502",Taree - Gloucester
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6358,"10901","315","251","220","112","28","3","1198","16","166","190","221","216","105","8","0","925","301","1375","1356","951","824","445","141","33","5421","202","787","761","898","841","456","180","48","4182","1172","2035","1817","1840","1625","870","385","127","9872","153","168","121","135","106","45","15","6","754","94","111","161","220","219","183","62","26","1069","1421","2312","2102","2199","1952","1105","462","153","11696","15","29","45","57","73","61","41","19","350","684","612","587","634","771","753","702","369","5110","2648","5534","5358","5214","4904","3027","1562","627","28877",Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6359,"10902","29","26","16","17","0","0","102","0","17","21","27","29","13","4","0","113","44","153","179","124","109","72","23","5","707","29","114","118","158","142","102","26","3","700","220","377","337","406","348","174","70","16","1954","28","22","25","25","23","8","3","0","141","28","21","26","31","36","25","8","0","164","278","422","383","459","409","205","87","13","2259","3","4","3","6","6","16","11","0","50","228","243","195","276","305","293","198","77","1825","583","977","926","1071","1023","720","348","107","5754",Lower Murray
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_635a,"10903","86","77","88","43","8","3","388","7","65","64","91","102","45","6","3","376","114","614","607","423","446","253","96","26","2578","98","373","434","464","515","319","147","42","2396","569","1144","1111","1215","1231","870","338","95","6583","76","82","88","62","70","31","8","3","418","51","75","83","148","146","114","49","12","689","697","1300","1288","1424","1443","1019","403","111","7683","12","19","23","26","32","39","27","12","191","556","372","441","583","842","908","736","371","4811","1493","2814","2939","3079","3468","2630","1428","567","18414",Upper Murray exc. Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_635b,"11001","413","395","374","268","99","26","1891","7","99","117","168","185","89","21","3","687","273","941","806","698","648","418","145","51","3982","106","297","395","497","486","347","127","36","2288","688","902","769","894","768","426","176","41","4665","179","52","54","76","60","27","10","5","468","75","60","78","156","146","115","38","14","682","942","1015","899","1123","975","572","228","53","5815","24","33","15","28","39","45","16","14","216","743","367","334","457","455","511","365","191","3432","2094","3061","2981","3376","3165","2254","996","375","18310",Armidale
