gml_id,sa3_name16,sa3_code16,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2a,Belconnen,"80101","26082","72129","4280","8269","1878","4477","6156","12748","895","1692","1041","1892","2147","3785","17","29","4093","7405","0","0","10","25","0","3","15","41","22","69","41","70","36396","92427","2699","39092","92427"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2b,Canberra East,"80103","343","718","16","32","0","3","21","32","79","103","11","17","3","4","0","0","92","119","33","43","119","174","0","0","0","0","155","223","15","37","627","1128","53","685","1128"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2c,Holdfast Bay,"40301","7563","19320","3195","5336","1083","2282","4279","7619","1509","2179","685","1112","847","1404","3","11","3050","4704","15","22","18","32","5","13","43","70","76","129","71","133","15038","31903","2201","17234","31903"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2d,Palmerston,"70104","8704","26878","959","2178","305","647","1263","2825","1385","2819","137","287","252","606","4","6","1773","3723","8","23","0","3","32","79","3","15","46","112","26","43","11814","33589","1280","13093","33589"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2e,Barkly,"70202","1220","4536","60","130","4","14","65","143","172","279","23","34","0","0","0","7","196","321","382","783","12","19","27","56","14","27","434","886","16","20","1924","5901","642","2571","5901"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f2f,Daly - Tiwi - West Arnhem,"70203","3394","13331","327","1223","21","43","352","1265","144","248","3","10","0","9","9","18","149","276","760","1647","77","158","165","408","14","34","1016","2242","81","177","4991","17297","1100","6088","17297"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f30,East Arnhem,"70204","2239","11065","317","1094","4","11","321","1106","59","111","113","182","0","0","0","0","173","289","12","13","12","30","40","126","5","6","64","173","18","42","2818","12679","759","3576","12679"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f31,Alice Springs,"70201","7542","24585","1907","3779","789","1673","2697","5454","903","1506","34","51","0","0","7","12","942","1573","1050","2100","137","226","343","695","368","905","1897","3934","147","247","13227","35791","2103","15333","35791"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f32,Katherine,"70205","3873","14331","357","1061","35","51","395","1116","212","477","16","36","87","126","3","3","325","649","1287","2600","111","218","255","490","25","47","1677","3352","247","642","6510","20092","578","7090","20092"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f33,Gungahlin,"80104","15794","50132","2999","6981","3637","9303","6636","16284","207","393","1186","2308","819","1614","5","5","2219","4314","0","0","0","5","0","0","3","6","7","11","44","104","24697","70856","1455","26149","70856"
