SA3_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA3_NAME11
21501,1405,374,1790,8744,3527,480,12751,31632,4013,48396,Grampians
21502,933,180,1118,7890,3039,387,11316,25470,3497,40283,Mildura
21503,857,206,1071,5416,2200,286,7902,19353,2671,29926,Murray River - Swan Hill
21601,710,193,908,5719,2350,242,8311,18588,2358,29257,Campaspe
30201,642,116,764,6380,2596,283,9259,19866,1494,30619,Bald Hills - Everton Park
30202,1427,476,1917,10436,3831,539,14806,35360,3848,54014,Chermside
11702,534,101,641,7131,2305,315,9751,29664,3781,43196,Marrickville - Sydenham - Petersham
11703,1027,428,1473,13307,5765,467,19539,119270,23142,161951,Sydney Inner City
30203,604,110,720,5066,1806,242,7114,19826,2011,28951,Nundah
20902,1624,497,2140,12491,4055,408,16954,49776,6935,73665,Darebin - North
30204,761,442,1210,8654,3208,438,12300,27133,3455,42888,Sandgate
30303,950,317,1275,10205,4005,439,14649,36131,3415,54195,Mt Gravatt
30305,492,117,613,9576,2963,334,12873,26595,2767,42235,Rocklea - Acacia Ridge
30306,503,130,642,7106,2519,258,9883,25620,2350,37853,Sunnybank
30401,506,55,570,5922,2045,287,8254,16320,1025,25599,Centenary
30402,523,269,804,8167,2693,468,11328,21386,1609,34323,Kenmore - Brookfield - Moggill
30403,660,215,885,6081,2429,306,8816,29082,2680,40578,Sherwood - Indooroopilly
30404,830,197,1037,8461,2988,466,11915,24073,1767,37755,The Gap - Enoggera
30501,603,261,869,4508,2392,185,7085,39202,6991,53278,Brisbane Inner
30502,338,91,435,6146,1776,278,8200,20586,2223,31009,Brisbane Inner - East
30503,992,176,1192,10978,3758,488,15224,44418,4004,63646,Brisbane Inner - North
30504,514,107,639,7971,2667,461,11099,31066,2575,44740,Brisbane Inner - West
30601,248,107,358,8658,2383,511,11552,22674,2649,36875,Cairns - North
30602,897,242,1158,14575,4961,746,20282,45136,8437,73855,Cairns - South
30603,451,81,538,4893,2002,236,7131,17193,2280,26604,Innisfail - Cassowary Coast
30604,85,22,107,1565,544,104,2213,5477,1082,8772,Port Douglas - Daintree
30605,482,224,712,5532,2133,340,8005,19502,2905,30412,Tablelands (East) - Kuranda
30701,495,102,600,7283,2176,333,9792,20310,3214,33316,Darling Downs (West) - Maranoa
30702,608,134,748,6480,2245,303,9028,19273,2996,31297,Darling Downs - East
30703,714,161,878,5920,2034,279,8233,20173,2151,30557,Granite Belt
30801,71,42,116,5738,1347,268,7353,12501,2402,22256,Central Highlands (Qld)
30802,504,97,604,13179,3676,674,17529,33225,4963,55717,Gladstone - Biloela
30803,1176,619,1809,17200,6262,943,24405,52923,9164,86492,Rockhampton
30901,1044,403,1452,7731,3208,283,11222,32721,5593,49536,Broadbeach - Burleigh
30902,970,300,1276,7403,2958,348,10709,27309,3671,41689,Coolangatta
30903,1117,529,1655,8107,3156,329,11592,33824,5034,50450,Gold Coast - North
30904,165,26,195,2861,1040,177,4078,8833,850,13761,Gold Coast Hinterland
20606,949,213,1182,5244,2737,182,8163,35604,4720,48487,Stonnington - West
20607,745,161,912,8261,3498,385,12144,47956,5844,65944,Yarra
20701,3828,744,4631,25900,8796,1076,35772,88136,7507,131415,Boroondara
20702,1621,476,2114,13069,5930,362,19361,49272,3880,72513,Manningham - West
20703,2151,694,2887,14998,5019,644,20661,52960,5403,79024,Whitehorse - West
20801,2717,537,3307,16273,5723,814,22810,46142,4864,73816,Bayside
21602,618,175,799,4012,1637,210,5859,14778,2050,22687,Moira
21603,1016,232,1262,9572,3366,427,13365,29852,4111,47328,Shepparton
21701,813,144,968,5503,2080,278,7861,19374,2060,29295,Glenelg - Southern Grampians
21702,1574,491,2083,13662,5514,750,19926,42545,5201,67672,Warrnambool - Otway Ranges
29797,0,0,0,13,0,0,13,24,3,40,Migratory - Offshore - Shipping (Vic.)
29999,39,15,54,830,373,24,1227,4418,1624,7269,Special Purpose Codes SA3 (Vic.)
30101,830,204,1041,12223,4666,651,17540,35142,2957,55639,Capalaba
30102,1443,284,1736,12743,4866,631,18240,39268,3769,61277,Cleveland - Stradbroke
30103,1044,180,1237,12069,4072,668,16809,31330,3065,51204,Wynnum - Manly
20802,3395,752,4207,22982,7008,964,30954,74847,7358,113159,Glen Eira
20803,2421,530,2988,18626,6140,850,25616,57450,6091,89157,Kingston
20804,757,206,978,6254,2112,238,8604,21856,2019,32479,Stonnington - East
20901,2400,479,2909,19131,7591,905,27627,63936,5668,97231,Banyule
30301,835,132,977,7970,2738,371,11079,25006,1986,38071,Carindale
30302,868,258,1132,9364,3200,513,13077,37849,4016,54942,Holland Park - Yeronga
30905,227,34,267,6250,1697,336,8283,14019,1417,23719,Mudgeeraba - Tallebudgera
30906,662,202,873,11474,3361,613,15448,30016,3711,49175,Nerang
30907,625,132,768,19123,5057,930,25110,41220,4582,70912,Ormeau - Oxenford
40401,2535,681,3242,14774,6622,587,21983,58064,5911,85958,Charles Sturt
40402,1184,235,1425,8097,3349,375,11821,31557,3696,47074,Port Adelaide - West
40403,1513,433,1965,8176,3488,338,12002,34046,3309,49357,West Torrens
40501,647,106,756,5623,2197,320,8140,17012,1449,26601,Barossa
30908,596,307,909,7250,2295,295,9840,23841,3272,36953,Robina
30909,906,417,1329,7635,2751,298,10684,30261,4903,45848,Southport
30910,574,163,742,3806,1662,144,5612,21350,4254,31216,Surfers Paradise
31001,584,307,902,10553,3289,431,14273,29129,6128,49530,Forest Lake - Oxley
31002,626,159,796,8882,3295,477,12654,28040,4099,44793,Ipswich Hinterland
31003,1151,267,1438,16018,6080,887,22985,45373,5263,73621,Ipswich Inner
31004,191,48,249,13253,3881,694,17828,27573,3185,48586,Springfield - Redbank
31101,235,34,272,1941,735,114,2790,6109,825,9724,Beaudesert
31403,245,140,388,6236,2378,335,8949,17287,1638,27874,Strathpine
31501,96,23,126,4620,2157,343,7120,11878,3009,22007,Far North
31502,116,31,150,5187,1682,293,7162,14231,3827,25220,Outback - North
31503,224,44,271,3098,935,120,4153,10061,1325,15539,Outback - South
31601,1042,200,1253,7973,2481,446,10900,23660,1949,36509,Buderim
31602,1526,437,1983,11206,4158,613,15977,37027,3958,56962,Caloundra
31603,886,190,1085,7468,2981,401,10850,28632,3345,42827,Maroochy
31604,886,153,1044,9833,3321,542,13696,29467,2944,46107,Nambour - Pomona
31605,733,233,966,5668,1881,257,7806,19360,2242,29408,Noosa
31606,539,153,695,7712,2751,434,10897,23441,2685,37023,Sunshine Coast Hinterland
31701,1946,793,2757,22792,8430,1308,32530,69159,8402,110091,Toowoomba
31801,766,128,901,6586,2561,315,9462,21944,2815,34221,Charters Towers - Ayr - Ingham
