gml_id,sa3_name16,sa3_code16,o_or_ds_sep_house,o_or_ds_semid_ro_or_tce_h_th,o_or_ds_flat_apart,o_or_ds_oth_dwell,o_or_ds_not_stated,o_or_total,o_mtg_ds_sep_house,o_mtg_ds_semid_ro_or_tce_h_th,o_mtg_ds_flat_apart,o_mtg_ds_oth_dwell,o_mtg_ds_not_stated,o_mtg_total,r_re_agt_ds_sep_house,r_re_ag_ds_semd_ro_or_tc_h_th,r_re_agt_ds_flat_apart,r_re_agt_ds_oth_dwell,r_re_agt_ds_not_stated,r_re_agt_total,r_st_h_auth_ds_sep_house,r_st_h_au_ds_sd_ro_or_tc_h_th,r_st_h_auth_ds_flat_apart,r_st_h_auth_ds_oth_dwell,r_st_h_auth_ds_not_stated,r_st_h_auth_total,r_psn_not_in_s_hh_ds_sep_hous,r_p_not_in_s_h_ds_sd_ro_t_h_t,r_p_not_in_s_hh_ds_flat_apart,r_psn_not_in_s_hh_ds_oth_dwel,r_psn_not_in_s_hh_ds_ns,r_psn_not_in_s_hh_total,r_hs_cop_cty_ch_gp_ds_sp_ho,r_hs_c_ct_ch_g_ds_sd_ro_t_h_t,r_hse_cp_cty_ch_g_ds_flt_apt,r_hs_cop_cty_ch_gp_ds_ot_dwel,r_hse_coop_cty_ch_gp_ds_ns,r_hse_coop_cty_ch_gp_total,r_ot_landld_typ_ds_sep_house,r_o_lld_typ_ds_sd_ro_tc_h_th,r_ot_lld_typ_ds_flat_apart,r_ot_landld_typ_ds_oth_dwell,r_ot_landld_typ_ds_not_stated,r_ot_landld_typ_total,r_landld_typ_ns_ds_sep_house,r_ld_typ_ns_ds_sd_ro_tce_h_th,r_lld_typ_ns_ds_flat_apart,r_landld_typ_ns_ds_oth_dwell,r_landld_typ_ns_ds_not_stated,r_landld_typ_ns_total,r_tot_ds_sep_house,r_tot_ds_semid_ro_or_tce_h_th,r_tot_ds_flat_apart,r_tot_ds_oth_dwell,r_tot_ds_not_stated,r_tot_total,oth_ten_type_ds_sep_house,oth_ten_ty_ds_sd_ro_tce_h_th,oth_ten_type_ds_flat_apart,oth_ten_type_ds_oth_dwell,oth_ten_type_ds_not_stated,oth_ten_type_total,ten_type_ns_ds_sep_house,ten_ty_ns_ds_sd_ro_tce_h_t,ten_ty_ns_ds_flat_apart,ten_type_ns_ds_oth_dwell,ten_type_ns_ds_not_stated,ten_type_ns_total,total_ds_sep_house,total_ds_semid_ro_or_tce_h_th,total_ds_flat_apart,total_ds_oth_dwell,total_ds_not_stated,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf9,Orange,"10304","6567","236","63","45","18","6932","6866","104","36","15","23","7037","2668","687","325","11","14","3710","530","219","108","0","0","861","1009","95","38","6","13","1154","31","42","26","0","11","119","160","10","7","24","7","207","100","16","4","3","3","127","4503","1065","517","37","52","6174","82","21","22","3","9","138","1390","199","136","57","87","1871","19402","1622","767","164","192","22145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf8,Clarence Valley,"10401","7730","313","209","736","68","9051","5023","90","64","73","27","5278","1815","358","451","28","15","2667","234","73","72","0","0","388","1140","119","148","32","19","1458","120","73","18","3","0","210","129","22","21","141","13","324","101","19","9","6","3","146","3541","669","711","216","53","5191","110","12","8","19","8","146","1419","115","139","231","30","1932","17816","1194","1126","1282","186","21605"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf7,Coffs Harbour,"10402","10344","948","511","816","120","12743","8299","488","280","43","65","9166","2879","1133","1321","22","61","5415","576","331","279","0","3","1189","1642","300","260","49","44","2296","102","91","36","3","3","236","195","40","34","196","29","492","140","22","16","15","7","200","5529","1914","1952","280","146","9824","227","85","40","25","8","384","1721","422","394","289","78","2906","26116","3861","3176","1451","422","35019"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf6,Bourke - Cobar - Coonamble,"10501","2949","7","22","414","67","3458","1640","3","5","21","25","1698","395","21","87","7","4","520","483","16","50","0","14","562","675","12","50","21","20","789","389","5","57","0","12","461","615","30","123","55","21","851","178","0","14","9","7","202","2734","93","397","90","74","3383","125","0","3","32","9","174","1260","23","96","267","39","1688","8711","125","526","827","217","10408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf5,Broken Hill and Far West,"10502","3340","27","11","73","12","3467","2209","18","0","3","11","2244","575","55","43","0","0","676","143","28","30","0","0","207","615","39","29","4","5","690","58","4","25","0","0","88","270","12","27","14","3","331","86","0","6","0","0","96","1755","134","166","20","10","2088","65","4","7","3","3","89","704","33","50","55","41","881","8078","216","233","161","76","8767"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf4,Dubbo,"10503","8107","166","176","262","51","8769","7468","102","54","115","39","7775","2494","552","633","49","17","3743","694","113","196","3","4","1008","1531","75","87","36","12","1745","122","56","55","0","0","239","306","14","36","65","19","443","212","10","11","3","4","247","5364","819","1023","152","63","7419","158","27","110","10","9","318","1949","153","224","205","26","2564","23043","1274","1587","749","190","26844"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf3,Lower Hunter,"10601","9761","320","43","74","48","10248","10791","166","40","30","46","11064","3780","1019","324","20","37","5185","626","237","112","0","3","976","1360","96","47","17","15","1529","25","40","3","0","0","68","264","29","3","36","15","349","165","11","3","4","3","188","6216","1440","491","85","75","8300","161","48","5","0","0","217","2226","257","106","54","55","2697","29143","2233","685","242","225","32529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf2,Maitland,"10602","6970","432","35","27","143","7615","9775","251","29","17","27","10093","3631","1045","342","19","19","5052","735","310","113","3","3","1167","868","141","29","4","4","1044","27","29","25","0","6","83","255","18","11","23","11","322","62","12","4","0","3","84","5582","1563","523","57","39","7759","92","110","0","0","62","257","1118","220","103","47","116","1605","23539","2569","691","151","385","27330"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf1,Port Stephens,"10603","8499","1197","285","374","46","10398","7397","527","88","43","20","8074","2600","1153","424","23","14","4216","475","162","73","0","0","718","918","227","85","20","12","1259","43","88","19","0","0","153","432","70","9","122","13","646","83","17","13","5","0","123","4552","1717","619","171","40","7108","204","107","24","18","3","349","1547","476","127","277","78","2497","22195","4025","1139","889","183","28428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bf0,Upper Hunter,"10604","3188","63","32","74","26","3389","3383","35","20","10","16","3463","1609","399","139","0","15","2163","273","90","44","0","0","409","637","25","33","3","8","708","53","18","8","0","0","75","254","12","7","16","14","314","126","9","0","0","3","141","2958","558","236","24","39","3811","65","13","0","0","7","89","861","84","53","66","17","1086","10453","760","341","175","106","11833"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bef,Dapto - Port Kembla,"10701","9158","547","140","35","10","9886","8487","325","112","14","20","8958","2130","474","530","25","17","3174","1305","415","484","4","0","2217","942","147","135","8","15","1243","36","35","33","4","0","113","93","21","22","13","9","160","67","13","22","3","0","106","4569","1116","1229","55","41","7017","98","105","16","0","0","218","1196","198","275","41","16","1726","23513","2287","1779","150","82","27808"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bee,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bed,Kiama - Shellharbour,"10703","9965","1136","318","293","69","11784","9845","881","154","22","23","10933","2455","1199","609","20","20","4301","1093","439","153","0","4","1693","988","264","124","26","3","1406","44","49","35","0","3","135","86","18","15","75","8","209","75","25","14","3","4","121","4743","1982","952","129","42","7853","85","65","122","3","30","304","1390","351","228","86","52","2110","26026","4426","1778","540","217","32984"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bec,Wollongong,"10704","12169","1601","1933","191","101","15994","11110","1342","1627","31","46","14155","2454","1901","4748","87","45","9238","883","1152","1065","0","6","3104","1089","471","816","37","22","2439","48","100","115","8","3","269","91","42","85","51","3","278","108","37","71","7","6","227","4677","3706","6899","183","86","15563","125","145","153","13","38","474","1373","518","1280","286","138","3597","29452","7319","11891","705","412","49785"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6beb,Great Lakes,"10801","4804","905","318","322","44","6393","2685","168","113","22","16","3004","936","291","656","32","16","1933","33","123","89","0","0","242","508","114","112","25","5","760","51","47","33","0","0","130","61","12","14","60","8","156","73","12","6","5","0","93","1659","593","913","123","33","3314","87","47","10","12","7","159","712","178","215","117","24","1248","9951","1881","1561","592","128","14110"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bea,Kempsey - Nambucca,"10802","7479","172","195","528","89","8459","4589","56","50","34","36","4760","1706","273","449","27","19","2470","442","57","99","0","0","599","1091","55","58","33","23","1256","128","57","32","0","0","218","117","12","10","103","16","268","140","4","12","3","4","164","3628","456","661","174","67","4983","104","18","9","13","4","151","1485","93","124","161","46","1909","17287","797","1043","906","239","20265"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be9,Lord Howe Island,"10803","48","0","0","0","0","48","29","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","17","0","0","0","0","0","0","23","0","0","0","0","23","10","0","0","0","0","10","51","0","0","0","0","51","3","0","0","0","0","3","21","0","0","0","3","21","149","0","0","0","3","150"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be8,Port Macquarie,"10804","10448","1364","782","636","67","13293","7346","516","284","42","37","8211","2644","1087","1235","40","25","5031","335","300","324","0","3","960","1088","250","268","25","20","1644","60","86","49","0","5","195","114","41","51","135","13","359","108","23","35","6","7","178","4343","1782","1968","212","69","8362","158","225","194","14","0","592","1436","397","479","215","37","2559","23728","4281","3692","1114","212","33027"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be7,Taree - Gloucester,"10805","8568","505","130","243","59","9505","5257","104","44","29","33","5460","2144","503","479","27","27","3188","401","69","134","3","3","612","997","90","65","17","8","1175","56","64","45","0","0","173","101","24","10","61","9","206","118","7","12","4","0","149","3824","761","751","113","52","5495","119","99","3","7","3","237","1318","155","109","110","33","1729","19091","1630","1032","504","174","22428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be6,Albury,"10901","6904","475","30","53","25","7488","7259","340","20","11","21","7659","2594","1934","275","18","14","4839","513","170","23","0","10","717","992","252","29","12","13","1301","64","68","3","0","3","141","153","28","10","28","6","229","100","16","3","0","0","116","4414","2468","348","60","46","7344","225","20","0","4","4","254","1380","424","151","28","12","1995","20188","3733","544","164","109","24735"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be5,Lower Murray,"10902","1743","9","23","147","27","1946","1208","8","9","8","9","1243","239","19","99","0","4","366","79","7","7","0","0","95","378","19","17","9","4","425","58","8","18","0","0","83","163","3","26","29","13","229","60","0","6","6","3","75","976","62","176","49","21","1281","42","0","0","12","3","55","539","9","49","91","11","699","4514","87","254","308","69","5229"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be4,Upper Murray exc. Albury,"10903","6451","173","186","281","36","7125","4508","42","44","35","16","4641","1334","147","431","22","11","1954","141","16","26","3","9","195","981","52","89","31","13","1162","56","21","38","0","0","120","324","23","24","74","3","452","163","4","13","5","0","186","3001","265","625","139","39","4075","123","35","15","13","5","203","1498","82","173","127","28","1909","15587","608","1044","590","120","17950"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be3,Armidale,"11001","4682","104","26","44","37","4893","3462","58","15","12","22","3567","1546","565","307","8","17","2447","314","93","115","0","3","530","765","59","53","8","15","907","62","14","39","0","0","119","240","9","8","24","6","286","151","9","4","7","3","174","3082","748","531","52","51","4459","109","3","9","5","3","135","955","96","106","48","17","1217","12286","1012","678","157","134","14266"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be2,Inverell - Tenterfield,"11002","6073","37","50","159","61","6376","3744","14","10","28","39","3836","1403","143","287","8","17","1852","266","15","44","0","3","331","1029","18","51","10","10","1115","88","36","58","0","33","213","235","3","15","49","7","305","196","10","7","10","7","231","3211","220","462","78","76","4042","130","3","0","13","7","145","1388","30","89","136","29","1683","14542","305","615","408","220","16085"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be1,Moree - Narrabri,"11003","2639","76","42","156","33","2943","2271","60","19","14","13","2386","657","152","282","4","7","1100","349","16","122","0","0","484","683","43","72","17","9","817","149","10","42","0","0","201","462","20","42","53","22","592","166","9","9","7","4","187","2463","249","569","82","35","3389","74","14","11","3","0","105","1077","81","196","117","10","1480","8527","481","832","376","95","10302"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6be0,Tamworth - Gunnedah,"11004","9846","279","48","158","45","10370","8710","100","28","66","47","8951","3612","1060","418","82","29","5208","525","190","128","107","8","958","1791","128","74","30","23","2048","110","54","22","3","3","192","489","31","26","50","16","612","248","23","17","7","3","291","6775","1495","677","280","79","9306","213","38","10","7","6","269","2301","298","138","254","38","3030","27834","2210","899","767","213","31926"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bdf,Lake Macquarie - East,"11101","14975","1863","459","217","16","17529","14913","647","214","31","16","15816","3752","1279","711","27","30","5794","1173","675","445","3","0","2292","1521","354","146","18","9","2047","38","75","60","3","0","182","82","41","15","46","9","187","122","20","10","3","0","148","6696","2439","1389","100","45","10661","151","131","89","6","0","379","1488","382","227","59","24","2181","38222","5461","2378","405","98","46561"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bde,Lake Macquarie - West,"11102","8956","653","142","136","14","9895","9905","163","28","6","14","10117","2883","315","149","34","12","3389","605","208","78","3","0","896","1164","66","42","11","6","1299","87","94","42","3","3","234","119","30","7","101","10","262","82","11","7","0","0","99","4947","726","322","153","34","6178","178","207","44","5","0","433","1129","160","48","115","17","1471","25114","1906","586","409","69","28088"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bdd,Newcastle,"11103","16529","2022","848","58","44","19501","17407","1590","858","26","30","19897","6464","3045","3252","94","81","12938","885","1304","1476","10","19","3693","2753","734","776","25","42","4331","117","189","121","0","8","439","315","93","83","7","11","511","160","52","53","0","0","273","10691","5424","5766","140","161","22184","259","149","57","0","8","476","1986","594","873","140","55","3643","46878","9774","8397","361","295","65695"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bdc,Richmond Valley - Coastal,"11201","9436","1352","311","932","123","12154","6930","829","215","54","55","8085","2349","1428","682","43","39","4544","271","354","123","0","3","756","1943","476","258","117","42","2843","102","87","25","0","0","212","139","35","12","212","8","407","161","39","17","10","0","232","4973","2423","1119","391","95","8996","237","117","11","14","7","388","2281","570","256","629","97","3825","23851","5285","1910","2017","382","33442"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bdb,Richmond Valley - Hinterland,"11202","9254","314","146","290","54","10065","7647","167","76","98","31","8014","2288","598","635","26","19","3566","445","169","108","0","0","726","1866","163","156","48","27","2257","106","112","67","0","0","290","185","17","20","89","9","318","190","13","12","14","4","233","5077","1080","1001","180","59","7394","172","31","34","12","8","255","2048","209","257","181","24","2728","24201","1807","1510","771","167","28455"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bda,Tweed Valley,"11203","9745","2365","1291","1263","148","14809","8295","1176","455","66","44","10046","2229","1411","1498","15","23","5181","239","405","265","0","0","908","1553","589","416","47","38","2647","51","87","25","3","0","161","168","64","55","213","31","532","142","44","38","11","6","244","4385","2600","2296","302","105","9674","166","159","69","26","49","467","1696","620","641","498","49","3500","24287","6918","4752","2153","385","38497"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bd9,Griffith - Murrumbidgee (West),"11301","5588","153","108","106","44","5992","4522","56","61","17","25","4681","1514","266","648","12","15","2466","401","30","60","3","0","496","1188","53","116","16","20","1395","48","13","32","0","5","98","403","22","75","63","15","580","168","8","16","0","0","195","3720","395","953","97","62","5226","116","21","6","5","3","147","1590","103","300","120","23","2126","15535","725","1426","343","148","18173"
