sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Mid North,40503,1941,563,107,14,0,0,10,30,23,2654,75,22,3,4,0,0,0,4,0,100,228,39,7,4,0,0,0,10,8,289,9465,801,126,47,3,3,33,85,90,10567,4215,113,8,18,0,0,18,36,38,4411,3182,77,3,5,0,0,8,13,22,3295,841,198,20,0,0,0,3,3,4,1073,292,341,67,0,0,0,0,0,0,700,677,41,5,0,0,0,4,8,15,743,28,23,13,0,0,0,0,0,0,61,153,10,3,15,0,0,5,17,3,185,87,8,3,0,0,0,0,0,0,96,2082,620,108,14,0,0,10,30,26,2857,78,22,3,4,0,0,0,4,0,104,238,45,11,4,0,0,0,10,8,305,9787,877,133,47,3,3,35,88,89,10978
Yorke Peninsula,40504,1943,202,82,3,3,0,15,22,17,2266,82,20,23,0,0,0,0,4,0,131,219,10,9,3,3,0,0,10,4,257,9333,349,160,99,30,6,29,169,50,10060,4604,87,38,87,25,0,9,126,14,4875,2588,21,7,3,0,0,12,15,16,2639,881,39,47,0,0,0,0,0,0,973,225,126,10,0,0,0,0,0,0,366,763,20,16,0,0,0,8,10,8,814,39,13,9,0,0,0,0,0,0,66,112,3,3,3,3,0,5,6,5,134,103,6,0,3,0,0,0,3,3,114,2123,213,83,3,3,0,15,22,16,2458,90,20,23,0,0,0,0,4,0,136,230,10,11,3,3,0,0,10,4,273,9632,363,162,99,30,6,29,168,53,10376
Eyre Peninsula and South West,40601,3374,2282,594,10,17,16,12,57,40,6349,108,20,14,3,3,4,0,12,3,160,355,152,38,5,0,10,3,21,11,580,15491,3942,753,138,35,49,66,287,113,20589,6200,589,77,102,14,22,24,161,35,7065,5717,935,32,10,5,8,22,44,24,6759,1336,625,227,0,3,0,4,10,7,2200,644,1412,267,0,0,0,0,0,7,2330,1330,317,72,3,3,6,5,17,15,1752,111,68,18,0,0,0,0,0,0,200,332,71,24,6,11,0,3,26,10,465,162,49,11,0,0,3,0,4,4,229,3922,2538,619,10,13,16,12,55,40,7174,118,24,14,3,3,4,0,12,3,167,410,174,41,5,0,10,0,20,11,661,16373,4259,787,140,33,56,64,293,116,21824
Outback - North and East,40602,1982,470,241,6,12,8,3,33,63,2792,50,8,0,3,0,3,0,7,3,64,197,31,9,11,6,17,3,34,13,275,6179,645,273,63,20,31,14,130,139,7363,2261,81,8,37,0,12,6,59,48,2452,2031,67,12,8,0,0,0,7,15,2134,868,204,95,0,0,0,0,3,4,1170,729,242,137,0,0,0,0,0,3,1116,450,48,25,4,0,0,3,9,19,551,135,23,17,0,0,0,0,0,0,171,600,114,39,4,15,3,0,21,32,804,102,12,8,3,0,4,0,7,14,138,2879,646,325,12,12,11,3,40,70,3949,60,8,0,0,0,3,0,4,3,79,243,44,14,11,6,17,3,34,13,338,7467,847,358,67,19,33,14,141,151,8954
Fleurieu - Kangaroo Island,40701,3547,438,242,13,13,0,20,47,29,4294,296,133,7,0,0,0,0,0,4,438,431,41,13,5,3,0,0,14,10,506,18473,939,337,84,82,11,46,214,97,20062,8271,258,51,58,56,3,16,132,27,8743,6093,69,24,9,4,5,6,19,28,6243,1832,220,136,0,0,0,11,11,6,2207,204,49,31,0,0,0,0,0,0,284,1284,94,49,3,0,0,9,13,15,1450,75,72,16,0,0,0,0,0,0,165,199,10,3,5,9,0,0,18,3,230,124,10,6,0,0,0,0,0,4,142,3707,450,247,13,13,0,23,46,29,4484,297,133,7,0,0,0,0,0,4,443,443,40,13,5,3,0,0,14,10,522,18815,962,342,84,82,11,44,214,97,20431
Limestone Coast,40702,4427,1169,808,9,7,5,12,39,44,6484,282,20,12,0,0,0,3,3,5,311,493,61,53,0,0,0,0,3,14,624,21092,1679,1038,46,24,17,34,125,107,24037,8164,224,102,34,15,3,5,57,26,8578,7997,214,67,3,4,6,13,25,20,8328,1986,526,545,0,0,0,6,4,16,3082,572,468,150,0,0,0,0,0,0,1186,1341,83,87,0,0,0,3,8,15,1527,84,74,10,0,0,0,0,0,0,174,444,42,30,7,6,0,5,17,11,548,199,31,15,3,0,3,0,5,3,251,4618,1227,840,11,11,5,12,44,44,6771,280,20,12,0,0,0,3,3,5,320,504,65,53,0,0,0,0,3,14,639,21575,1747,1070,52,30,17,36,129,107,24625
Murray and Mallee,40703,5451,980,418,28,31,3,9,73,51,6983,257,153,25,0,0,0,3,6,0,441,649,99,39,6,3,4,0,20,22,832,23268,1552,581,119,147,35,59,361,186,25952,9318,207,72,73,111,12,18,214,54,9872,7976,116,23,14,8,5,21,49,53,8221,2314,391,202,0,3,0,0,5,18,2931,739,419,95,0,0,0,0,0,0,1252,2002,107,73,5,3,3,11,25,10,2208,109,87,41,0,0,0,0,0,0,238,581,45,22,27,20,0,4,51,27,715,241,26,10,3,3,0,0,6,4,273,5976,1068,442,36,30,3,16,85,55,7623,266,153,25,0,0,0,3,6,0,445,691,103,42,11,3,4,0,19,22,878,24229,1652,599,131,149,35,60,375,194,27048
Augusta - Margaret River - Busselton,50101,3990,675,60,48,36,11,11,103,34,4863,128,74,14,4,10,0,0,12,3,228,297,54,6,4,20,3,3,27,14,399,15632,1263,96,146,330,35,26,533,99,17630,5188,312,11,85,258,10,4,364,23,5894,6184,155,3,9,8,7,12,36,29,6400,1963,278,7,0,0,0,0,0,5,2252,350,253,26,0,0,0,0,0,0,631,1489,104,11,3,3,8,5,20,12,1632,15,24,20,0,3,0,0,3,0,61,204,15,3,37,34,4,7,75,14,310,123,16,3,0,0,0,3,9,4,152,4145,694,60,48,37,11,11,103,38,5043,133,74,14,4,10,0,0,12,3,234,305,58,6,4,21,3,3,31,14,409,15953,1290,96,152,334,31,26,542,101,17981
Bunbury,50102,6557,1830,550,36,30,3,10,87,31,9050,163,87,121,3,0,0,0,3,0,379,648,103,62,15,5,0,3,24,26,869,30944,2955,963,178,133,19,32,357,130,35359,10076,546,168,113,87,7,7,218,31,11037,13987,410,58,14,5,5,8,30,36,14525,3573,816,253,0,0,0,3,3,15,4657,562,597,107,0,0,0,0,0,3,1274,2476,342,78,3,0,0,3,12,6,2911,44,71,94,0,0,0,0,0,0,214,260,59,16,31,31,0,0,64,11,410,158,33,12,4,0,0,0,8,3,208,7073,1923,560,42,30,3,10,86,32,9679,168,82,121,3,0,0,0,3,0,381,681,102,63,15,5,0,3,24,28,905,31987,3063,975,186,131,19,32,363,137,36528
Manjimup,50103,1528,128,104,0,0,5,11,13,14,1789,75,19,0,0,0,0,0,3,0,97,193,11,4,3,0,3,0,9,3,226,7925,221,122,24,10,34,18,87,51,8401,3514,34,3,16,8,13,4,34,21,3611,2723,20,7,5,5,11,7,26,17,2796,551,33,53,0,0,0,3,7,0,646,163,59,23,0,0,0,0,0,0,243,639,23,8,0,0,3,0,7,9,682,14,17,25,0,0,0,0,0,0,52,148,5,3,0,0,0,3,3,8,163,99,3,3,0,0,0,0,0,0,108,1613,146,112,0,0,6,11,11,14,1896,77,19,0,0,0,0,0,3,0,103,207,11,9,3,3,3,0,9,3,236,8135,236,130,24,13,29,20,86,52,8633
Mandurah,50201,6547,1817,504,45,24,11,3,84,24,8967,356,345,312,3,0,0,0,5,3,1017,618,190,58,13,8,3,0,25,8,901,29212,4317,1258,224,132,22,6,387,81,35259,9577,1445,246,159,87,6,3,260,19,11548,12508,537,137,3,6,10,0,20,27,13232,3955,924,221,0,0,5,0,8,9,5126,366,445,60,0,0,0,0,0,0,868,2238,369,108,3,0,5,4,12,3,2728,80,69,83,0,0,0,0,0,0,225,201,49,25,37,22,0,4,62,3,345,111,27,17,3,0,0,0,3,0,161,6947,1885,512,43,24,11,8,93,25,9459,358,345,313,3,0,0,0,5,3,1029,647,191,63,13,8,3,0,25,8,935,30043,4402,1269,232,133,22,13,400,83,36196
Cottesloe - Claremont,50301,2575,1301,2211,0,0,0,0,3,14,6095,77,61,235,0,0,0,0,0,3,380,267,68,118,0,0,0,0,0,12,465,16235,3314,3761,0,0,0,10,13,48,23370,7675,1188,769,0,0,0,3,3,9,9638,5680,704,442,0,0,0,0,3,7,6834,1500,711,1446,0,0,0,0,0,3,3658,76,177,145,0,0,0,0,0,0,390,830,321,502,0,0,0,0,0,0,1657,14,42,50,0,0,0,0,0,0,108,128,32,61,0,0,0,0,0,10,230,54,27,28,0,0,0,3,3,3,121,2603,1314,2229,0,0,0,0,3,16,6168,78,61,235,0,0,0,0,0,3,379,271,68,121,0,0,0,0,0,12,471,16296,3332,3797,0,0,0,10,13,51,23490
Perth City,50302,3413,3242,11255,6,3,0,50,62,64,18035,82,40,254,0,0,0,0,0,4,385,376,129,448,0,0,9,4,14,19,989,16095,6976,17189,6,3,13,89,110,142,40513,6135,1549,1827,3,0,3,12,17,30,9550,6159,2037,3426,0,0,0,19,23,28,11672,1846,1929,7787,0,3,0,36,42,39,11642,79,362,932,0,0,0,4,4,5,1387,1373,828,2113,3,0,0,12,11,15,4341,23,57,228,0,0,0,0,0,0,308,77,59,241,0,0,0,0,0,0,373,70,40,87,0,0,0,0,0,4,201,3453,3277,11385,6,3,0,50,62,70,18246,82,39,257,0,0,0,0,0,4,381,383,137,454,0,0,13,4,13,19,1008,16211,7037,17352,6,3,12,89,116,141,40859
Bayswater - Bassendean,50401,4896,2824,1505,0,0,0,3,7,29,9258,80,140,17,0,0,0,0,0,0,240,502,162,65,0,0,0,3,3,7,739,22008,5982,2378,0,0,0,10,19,81,30470,7853,1096,274,0,0,0,3,3,17,9242,8843,1786,521,0,0,0,3,4,30,11191,2595,1452,889,0,0,0,0,0,12,4949,357,590,193,0,0,0,0,0,3,1146,1886,701,375,0,0,0,3,3,14,2968,44,94,19,0,0,0,0,0,0,154,149,68,51,0,0,0,0,0,0,273,85,34,16,0,0,0,0,0,0,134,5120,2936,1538,0,0,0,3,7,29,9621,86,140,17,0,0,0,0,0,0,250,515,174,70,0,0,0,3,3,5,767,22418,6129,2415,0,0,0,10,19,82,31065
Mundaring,50402,1550,390,17,0,0,0,3,6,6,1970,53,17,0,0,0,0,0,0,0,65,224,33,4,3,0,0,0,3,3,271,13154,692,31,22,3,4,7,33,28,13936,4935,162,3,19,0,3,0,18,9,5130,6631,89,4,0,0,5,6,13,8,6735,751,82,8,0,0,0,0,0,0,847,112,184,9,0,0,0,0,0,0,310,676,77,8,0,0,0,0,3,4,757,14,46,0,0,0,0,0,0,0,63,46,20,0,0,0,0,0,0,0,64,55,5,0,0,0,0,0,0,0,63,1663,413,19,0,0,0,3,6,6,2108,56,21,0,0,0,0,0,0,0,73,236,35,4,3,0,0,0,3,7,287,13520,725,30,24,3,4,7,36,28,14335
Swan,50403,5948,2208,376,8,20,3,10,45,28,8606,132,41,4,4,0,0,0,4,4,183,649,116,15,14,3,0,3,25,13,816,35516,4841,464,162,50,25,29,266,93,41175,8204,788,13,124,23,7,11,171,20,9186,21195,1732,61,9,3,9,9,31,30,23044,3192,1227,250,0,0,0,0,0,10,4678,600,562,101,0,0,0,0,0,0,1266,2171,435,25,0,0,3,9,12,12,2658,61,45,12,0,0,0,0,3,5,120,253,40,7,6,17,0,0,27,3,332,111,34,9,0,0,0,0,0,0,161,6388,2344,393,8,18,3,10,48,36,9210,137,45,4,4,0,0,0,4,3,187,695,123,15,14,3,0,3,25,13,866,36612,5035,477,163,50,23,29,268,98,42496
Joondalup,50501,6826,1514,705,0,14,0,9,23,23,9089,164,76,32,0,0,0,0,0,0,278,686,131,53,0,7,0,0,5,11,883,47494,4462,1224,10,140,4,22,175,65,53415,16717,1462,280,10,118,3,0,128,9,18588,23391,1293,164,0,0,3,7,15,17,24881,4014,799,484,0,3,0,0,3,10,5312,162,170,31,0,0,0,0,0,0,366,2525,510,180,0,7,0,8,9,11,3227,31,27,0,0,0,0,0,0,0,56,142,21,12,0,3,0,0,6,7,188,98,14,6,0,3,0,0,3,0,115,6966,1541,706,0,14,0,9,23,23,9264,171,76,32,0,0,0,0,0,0,282,697,137,53,0,7,0,0,5,11,905,47934,4509,1233,10,140,4,22,175,65,53914
Stirling,50502,8244,12055,2617,6,0,0,9,14,62,22991,179,402,158,0,0,0,0,0,3,740,878,733,182,0,0,0,0,0,21,1813,41260,27336,4507,35,3,3,11,51,171,73326,16412,5227,679,25,0,0,6,31,16,22363,15752,9017,873,3,0,0,3,5,71,25712,4230,6513,1586,0,0,0,0,3,30,12365,751,1862,392,0,0,0,0,0,5,3012,2984,3217,526,0,0,0,3,3,18,6743,71,259,81,0,0,0,3,3,0,418,339,294,62,5,0,0,0,7,3,709,182,157,23,0,0,0,0,0,3,368,8558,12311,2667,6,0,0,5,17,64,23609,178,406,158,0,0,0,0,0,3,747,900,759,182,0,0,3,0,3,19,1862,41791,27716,4568,35,3,4,14,52,170,74300
Wanneroo,50503,10745,2425,92,16,23,0,3,43,20,13325,335,495,0,0,0,0,0,0,3,831,972,194,5,6,0,0,0,9,7,1185,53824,6072,126,63,76,10,12,157,72,60246,10833,1008,10,43,53,0,3,96,3,11952,31489,1971,21,3,3,7,3,15,34,33528,6465,1263,65,0,6,0,0,6,14,7814,698,660,10,0,0,0,0,0,0,1373,3441,419,5,0,7,0,3,11,7,3889,63,67,4,0,0,0,0,0,0,138,361,59,0,13,15,0,0,25,0,449,164,26,0,3,0,0,0,0,0,192,11200,2497,95,16,26,0,3,44,20,13848,342,499,0,0,0,0,0,0,3,841,998,204,5,6,0,0,0,9,7,1214,54856,6178,128,69,78,10,13,158,72,61388
Armadale,50601,4052,1483,145,37,3,0,4,47,28,5753,83,110,0,0,0,0,0,0,0,190,450,140,7,3,0,0,0,4,7,611,23184,3089,211,65,3,0,13,83,52,26610,5564,413,24,18,0,0,5,24,5,6033,13410,957,39,4,0,0,3,5,12,14414,2340,876,66,0,0,0,3,4,17,3301,286,327,60,0,0,0,0,0,0,673,1485,272,21,0,0,0,0,0,10,1790,31,40,7,0,0,0,0,0,0,80,146,27,0,40,3,0,0,42,0,216,70,17,0,0,0,0,0,0,0,90,4367,1566,151,42,3,0,4,51,26,6157,84,108,0,0,0,0,0,0,0,196,481,150,7,3,0,0,0,4,7,652,23905,3195,222,61,3,0,16,83,53,27453
Belmont - Victoria Park,50602,5143,3491,2423,0,0,0,6,10,46,11110,78,55,16,0,0,0,0,0,0,151,372,221,159,0,0,0,3,3,16,773,16069,6373,3710,7,3,0,21,34,88,26276,4707,957,356,7,3,0,4,14,3,6045,5884,1667,765,0,0,0,10,12,18,8354,2776,1907,1818,0,0,0,3,4,26,6530,704,713,162,0,0,0,0,0,0,1579,1638,792,441,0,0,0,3,3,11,2892,44,75,4,0,0,0,0,0,0,124,155,92,36,0,0,0,0,0,0,280,82,39,15,0,0,0,0,0,3,133,5399,3610,2479,0,3,0,4,9,49,11544,83,59,16,0,0,0,0,0,0,157,398,234,167,0,0,0,3,3,16,813,16477,6530,3778,7,6,0,24,33,88,26910
Canning,50603,5739,2931,680,0,3,0,7,9,39,9397,217,206,108,0,0,0,0,0,0,533,502,205,59,0,0,0,0,0,7,772,24670,5506,1244,3,3,0,12,22,76,31515,8719,911,179,0,0,0,3,3,7,9825,9615,1267,224,0,0,0,3,8,10,11125,3059,1464,305,0,3,0,3,8,25,4863,420,461,155,0,0,0,0,0,3,1036,2057,783,122,0,0,0,0,0,12,2981,79,136,85,0,0,0,0,0,6,304,197,104,19,0,0,0,0,0,0,319,96,40,6,0,0,0,0,0,0,142,5910,2993,691,0,3,0,7,9,41,9648,218,212,108,0,0,0,0,0,0,540,514,213,61,0,0,0,0,0,7,797,24987,5586,1254,3,3,0,12,22,78,31930
Gosnells,50604,6525,1708,243,42,0,0,28,75,26,8584,193,240,31,3,0,0,0,3,0,466,664,141,11,11,0,0,5,14,21,853,33449,3854,451,100,0,3,77,182,77,38013,9258,710,57,41,0,4,24,64,10,10104,17237,1065,112,3,0,3,21,26,22,18458,3337,919,137,0,0,0,12,12,17,4420,605,356,48,0,0,0,0,3,0,1016,2481,316,52,0,0,0,15,15,7,2870,42,98,9,0,0,0,3,3,0,158,320,42,4,45,0,0,7,50,3,425,132,33,0,0,0,0,0,0,0,174,6919,1766,262,47,0,0,31,83,26,9065,201,243,31,3,0,0,0,3,0,476,702,150,11,11,0,0,5,14,21,892,34319,3934,470,105,0,3,77,192,77,38996
Kalamunda,50605,2663,377,35,4,0,3,3,11,18,3115,82,126,0,3,0,0,0,3,0,214,361,31,4,3,0,0,0,3,3,401,18464,990,45,63,0,9,35,107,45,19653,6554,276,4,48,0,0,21,73,11,6915,9045,179,5,0,0,3,10,15,13,9249,1401,157,3,0,0,0,0,0,4,1566,143,106,9,0,0,0,0,0,0,260,1127,87,0,0,0,3,3,3,5,1226,12,35,28,0,0,0,0,0,0,75,71,4,0,4,0,0,0,5,3,85,62,9,0,0,0,0,0,0,4,73,2821,393,35,4,0,3,3,11,22,3283,85,126,0,3,0,0,0,3,0,216,375,30,3,3,0,0,0,3,3,422,18871,1006,46,63,0,9,35,107,47,20084
Serpentine - Jarrahdale,50606,1058,37,0,0,0,0,4,4,4,1098,23,0,0,0,0,0,0,0,0,26,137,3,3,0,0,0,0,0,0,148,8060,78,11,3,0,8,8,19,22,8197,1806,4,5,3,0,4,0,4,5,1827,5202,39,5,0,0,4,3,6,7,5266,555,15,0,0,0,0,0,0,0,574,4,0,0,0,0,0,0,0,0,4,441,5,0,0,0,0,0,0,3,448,7,6,0,0,0,0,0,0,0,11,60,0,0,0,0,0,0,0,0,62,32,0,0,0,0,0,0,0,0,34,1094,38,0,0,0,0,4,4,4,1141,26,0,0,0,0,0,0,0,0,29,147,3,3,0,0,0,0,0,0,155,8272,87,11,3,0,8,8,19,22,8417
South Perth,50607,1822,2701,1380,0,0,0,0,0,29,5934,102,88,57,0,0,0,0,0,3,246,162,114,62,0,0,0,0,0,4,342,8029,5845,2210,0,0,0,3,9,65,16150,3127,1524,351,0,0,0,0,0,13,5020,2836,1434,369,0,0,0,3,3,10,4650,885,1652,904,0,0,0,0,0,13,3444,353,201,137,0,0,0,0,0,0,691,540,776,319,0,0,0,0,0,10,1647,19,39,17,0,0,0,0,0,0,73,52,41,23,0,0,0,0,0,12,128,39,45,11,0,0,0,0,0,0,93,1886,2749,1404,0,0,0,0,0,29,6076,102,84,54,0,0,0,0,0,3,246,169,116,62,0,0,0,0,0,4,348,8121,5905,2243,0,0,0,3,9,65,16341
Cockburn,50701,5531,2028,1046,7,3,0,4,22,25,8646,82,98,7,0,0,0,0,0,0,187,545,125,36,0,7,0,0,4,62,771,28578,4538,1698,64,71,3,7,144,118,35068,7895,917,164,51,54,0,0,106,4,9092,14775,1390,445,3,4,0,0,6,25,16644,3198,1042,705,0,0,0,3,3,15,4963,540,500,161,0,0,0,0,0,4,1201,1767,426,149,0,0,0,0,0,6,2350,33,70,21,0,0,0,0,0,0,127,166,57,13,9,6,0,0,14,0,250,99,15,11,0,0,0,0,0,0,127,5804,2110,1065,7,3,0,4,22,28,9025,93,98,7,0,0,0,0,0,0,196,569,131,42,0,7,0,0,4,62,806,29138,4642,1725,64,71,3,7,141,116,35759
Fremantle,50702,1701,1571,990,0,23,0,11,34,28,4332,88,35,11,0,3,0,0,3,0,137,193,73,56,0,3,0,0,3,41,365,8783,3332,1676,0,86,0,33,121,107,14022,3390,873,276,0,59,0,10,72,15,4632,3473,791,340,0,5,0,11,16,21,4634,754,634,548,0,0,0,9,9,12,1949,229,570,237,0,0,0,0,0,0,1037,655,319,202,0,0,0,7,8,7,1189,24,39,12,0,0,0,0,0,0,75,59,41,14,0,15,0,0,17,12,141,52,18,12,0,3,0,0,3,3,89,1772,1631,1025,0,23,0,12,37,28,4486,84,35,11,0,3,0,0,3,0,141,190,78,61,0,3,0,0,3,41,375,8912,3403,1716,0,86,3,33,126,107,14267
Kwinana,50703,2537,347,292,0,0,0,17,16,11,3206,35,22,0,0,0,0,0,0,0,61,239,34,15,0,0,0,4,4,6,296,11246,673,416,3,0,0,60,63,39,12442,1987,73,22,0,0,0,6,8,3,2087,6633,201,89,0,0,0,34,38,24,6982,1593,155,118,0,0,0,8,6,9,1878,231,145,114,0,0,0,0,0,0,491,772,43,55,0,0,0,8,7,3,874,23,15,24,0,0,0,0,0,0,55,83,7,10,0,0,0,0,0,0,95,32,6,0,0,0,0,0,0,0,40,2734,364,318,0,0,0,19,19,11,3444,37,22,0,0,0,0,0,0,0,64,254,34,15,0,0,0,4,4,6,311,11648,691,442,3,0,0,64,72,39,12892
Melville,50704,4664,2624,522,3,0,0,3,3,22,7828,125,224,251,0,0,0,0,0,0,597,462,199,65,0,0,0,0,0,15,744,27787,7226,1271,4,0,0,6,9,100,36395,12352,2304,272,0,0,0,0,5,20,14954,10301,1891,159,0,3,0,0,5,39,12393,2635,1362,359,3,0,0,0,3,9,4377,329,445,19,0,0,0,0,0,3,793,1598,755,101,0,0,0,0,0,4,2458,22,35,28,0,0,0,0,0,0,90,91,46,18,0,0,0,0,0,0,162,95,37,0,0,0,0,0,0,0,141,4769,2680,530,3,0,0,3,3,22,8005,129,224,254,0,0,0,0,0,0,598,467,210,65,0,0,0,0,0,15,754,28020,7302,1282,4,0,0,6,9,100,36710
Rockingham,50705,8520,1323,611,33,9,0,6,45,12,10511,109,169,9,0,3,0,0,4,0,288,753,132,45,9,0,0,0,7,9,948,37455,2738,936,144,19,6,21,188,53,41369,9012,633,144,97,3,3,9,112,5,9905,19602,483,137,6,0,0,6,22,27,20272,5288,764,330,0,0,0,4,6,10,6390,460,231,114,0,0,0,0,0,0,801,2575,285,117,6,0,0,3,14,3,2993,30,24,27,0,0,0,0,0,0,81,531,54,21,21,8,0,0,27,0,630,99,16,14,0,0,0,0,3,0,131,8968,1377,627,37,11,0,8,50,12,11033,114,169,9,0,3,0,0,4,0,295,781,141,45,9,0,0,0,7,9,977,38479,2799,950,148,17,6,20,194,58,42481
Albany,50901,4727,750,80,36,16,5,12,68,36,5662,195,87,0,0,0,0,0,5,5,284,462,75,7,10,0,0,0,7,3,558,19020,1210,101,135,78,31,32,263,128,20724,7747,232,11,81,55,13,6,153,47,8193,6243,66,3,11,0,12,8,31,42,6386,1868,224,29,0,0,0,9,9,12,2135,666,250,14,0,0,0,0,0,6,940,1766,98,11,0,0,3,3,10,6,1888,90,150,18,0,0,0,0,0,0,262,453,53,5,26,15,4,0,52,9,575,246,20,4,0,0,3,0,5,0,273,5093,782,83,37,20,5,12,74,39,6075,192,87,0,0,0,0,0,5,5,287,491,83,7,10,0,0,0,7,5,595,19767,1252,104,134,79,31,28,270,133,21536
