sa3_name16,sa3_code16,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t
Glenelg - Southern Grampians,21701,122,23,53,45,22,41,31,29,654,7,0,0,0,0,0,0,0,0,7,14,1633,208,325,47,75,77,57,54,43,107,2619
Colac - Corangamite,21703,165,47,52,61,26,50,29,39,825,9,0,0,0,0,0,0,0,0,4,13,1611,282,321,76,89,81,53,82,49,145,2782
Warrnambool,21704,300,40,62,54,115,148,153,95,1375,5,3,0,0,0,0,0,0,0,10,20,1885,428,571,117,119,108,151,208,172,193,3951
Capalaba,30101,890,151,167,136,111,125,79,99,4181,15,0,4,0,0,0,0,0,0,11,25,8192,2057,2596,441,445,338,251,256,164,363,15101
Cleveland - Stradbroke,30102,784,113,127,137,135,116,60,122,3759,15,3,3,0,0,0,0,0,0,31,59,10340,2690,3393,605,507,436,330,314,160,516,19296
Wynnum - Manly,30103,1357,237,233,246,192,178,90,146,4995,16,0,7,0,0,0,0,3,0,18,44,6770,2316,3343,722,653,565,406,404,187,451,15816
Bald Hills - Everton Park,30201,1265,194,179,177,159,148,101,134,4864,3,0,0,0,0,0,0,0,0,15,18,4569,1389,1965,360,330,267,263,217,148,273,9787
Chermside,30202,2075,386,439,399,468,397,270,226,7782,10,0,3,0,0,0,3,0,0,24,41,6646,1738,3173,607,669,561,622,545,336,447,15341
Nundah,30203,1548,243,314,368,395,303,232,150,5255,3,0,0,0,0,3,0,0,0,97,109,3600,1087,2299,380,460,486,529,415,286,387,9941
Sandgate,30204,2315,346,409,435,352,326,271,188,7162,10,0,3,0,0,0,4,0,0,11,36,5896,1678,3492,585,653,584,480,439,329,443,14571
