gml_id,sa3_name16,sa3_code16,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd8,Alice Springs,"70201","1719","4370","3195","1098","530","10911","2319","13227"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd9,Barkly,"70202","392","748","325","98","74","1636","290","1924"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dda,Daly - Tiwi - West Arnhem,"70203","1261","1648","778","215","115","4019","972","4991"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ddb,East Arnhem,"70204","800","907","546","139","40","2435","380","2818"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ddc,Katherine,"70205","953","2013","1398","422","266","5056","1455","6510"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ddd,Belconnen,"80101","1892","13037","13607","3925","1737","34190","2199","36396"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dde,Canberra East,"80103","59","241","130","29","23","487","146","627"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5ddf,Gungahlin,"80104","632","7873","10950","2752","1145","23351","1337","24697"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de0,North Canberra,"80105","2397","9298","5629","1340","477","19136","1961","21097"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de1,South Canberra,"80106","748","4967","3914","839","363","10828","939","11771"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de2,Tuggeranong,"80107","1020","9378","12581","4337","2293","29604","1750","31355"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de3,Weston Creek,"80108","395","2968","3579","963","385","8294","486","8781"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de4,Woden Valley,"80109","919","5424","4798","1279","573","12989","932","13921"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de5,Molonglo,"80110","18","679","820","145","39","1700","175","1874"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de6,Urriarra - Namadgi,"80111","3","27","79","40","23","163","23","185"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de7,Christmas Island,"90101","38","156","152","46","35","427","59","478"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de8,Cocos (Keeling) Islands,"90102","8","34","41","15","24","129","17","147"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5de9,Jervis Bay,"90103","8","27","33","11","7","79","23","102"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dea,Norfolk Island,"90104","25","251","313","116","50","753","72","825"
