sa3_name16,sa3_code16,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Barkly,70202,67,16,4,0,0,87,45,55,45,61,205,25,35,20,18,23,119,15,9,0,0,0,25,102,100,81,64,88,434,3,17,129,154,102,100,82,85,215,588,109,109,13,3,4,0,0,17,109,113,102,89,86,215,714,173,13,0,0,0,184,56,44,28,6,132,17,3,6,0,0,23,4,0,0,0,0,5,188,70,50,24,8,344,0,0,3,5,188,70,49,30,13,349,274,274,23,3,9,0,0,33,274,214,75,56,26,13,658
Daly - Tiwi - West Arnhem,70203,156,37,20,3,4,217,105,151,134,232,625,55,77,44,29,55,253,41,13,5,9,3,71,247,228,224,172,294,1163,28,66,476,570,247,228,255,238,766,1736,153,153,20,3,0,3,0,24,153,264,227,255,240,766,1912,494,24,3,0,0,520,119,113,48,24,298,38,33,17,3,0,92,10,0,0,0,0,11,538,168,129,50,28,914,3,3,8,13,538,168,135,57,31,929,651,651,68,14,0,0,0,81,651,607,178,131,57,31,1662
East Arnhem,70204,66,19,12,3,3,98,57,85,82,121,343,25,29,24,25,35,147,14,11,3,0,0,33,109,111,127,112,169,623,18,43,489,551,109,111,145,149,656,1170,46,46,9,0,0,0,0,11,46,114,109,142,149,656,1223,307,14,0,0,0,323,138,229,99,33,489,45,19,7,3,0,77,6,0,0,0,0,5,363,165,235,98,33,892,0,3,0,8,363,165,239,102,30,901,352,352,34,5,0,0,0,35,352,392,174,237,102,30,1286
Katherine,70205,155,35,10,3,3,204,79,146,106,200,527,69,65,58,27,38,251,25,12,4,0,0,44,252,194,222,136,236,1033,28,50,379,456,252,194,245,189,612,1489,187,187,15,3,4,0,0,27,187,267,196,250,190,615,1700,699,38,11,0,0,744,286,300,130,49,766,61,26,26,3,3,124,13,3,0,0,0,11,776,354,334,133,51,1649,6,6,16,23,776,354,345,142,63,1672,769,769,74,14,8,0,0,96,769,849,365,353,145,63,2541
Belconnen,80101,129,20,5,3,0,164,86,131,45,20,276,67,49,24,16,12,170,8,6,0,0,0,18,209,158,158,65,34,620,3,8,8,19,209,158,164,67,44,644,118,118,44,18,4,0,0,72,118,256,175,170,70,44,832,8484,441,93,28,21,9066,3690,4710,1662,589,10660,1609,1112,376,132,59,3286,312,67,9,9,3,398,10403,5309,5192,1835,671,23412,95,122,207,425,10403,5309,5293,1956,880,23837,8282,8282,1042,465,164,56,45,1769,8282,11444,5770,5457,2007,926,33888
Canberra East,80103,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,8,6,6,0,0,0,0,0,0,6,8,0,0,0,0,13,91,0,0,0,0,95,34,32,11,3,79,22,4,4,0,0,31,3,0,0,0,0,3,117,47,35,11,3,207,0,0,0,0,117,47,35,14,4,212,262,262,15,0,0,0,0,22,262,135,44,35,14,3,487
Gungahlin,80104,80,5,3,0,0,91,45,90,36,15,185,33,33,17,8,13,101,3,4,0,0,0,7,110,90,112,44,23,379,3,4,5,9,110,90,114,45,32,394,64,64,18,6,4,3,0,32,64,133,94,120,48,32,484,4966,304,96,30,11,5408,3404,4596,1657,538,10200,881,731,261,70,45,1983,172,42,15,3,3,228,6014,4482,4969,1764,588,17821,76,105,219,399,6014,4482,5046,1863,807,18218,4020,4020,568,212,97,43,34,946,4020,6586,4690,5137,1908,839,23180
North Canberra,80105,70,3,3,0,0,75,18,27,12,3,63,23,11,12,3,4,59,3,3,0,0,0,3,96,37,39,14,4,199,0,0,6,7,96,37,46,18,10,206,96,96,28,7,8,4,0,52,96,129,51,50,22,10,353,4641,190,69,20,13,4927,1546,1742,606,150,4043,746,349,108,26,16,1239,149,47,7,7,0,208,5538,2129,1927,658,173,10420,42,24,43,107,5538,2129,1970,676,219,10527,6366,6366,1129,634,218,61,28,2066,6366,6665,2767,2184,738,240,18960
South Canberra,80106,34,4,0,0,0,41,7,15,4,0,28,13,13,5,3,0,39,4,0,0,0,0,4,57,25,22,8,7,113,3,0,0,3,57,25,21,8,5,116,46,46,11,7,0,0,0,17,46,66,28,21,8,5,178,2935,55,14,5,3,3006,1002,1147,367,89,2608,430,253,67,9,7,774,58,14,0,0,0,66,3420,1326,1227,380,97,6459,10,22,21,53,3420,1326,1237,400,122,6510,3578,3578,437,110,25,8,3,576,3578,3860,1438,1259,405,127,10662
Tuggeranong,80107,169,15,4,0,0,187,91,136,76,51,357,82,90,44,17,12,245,12,0,0,0,0,13,261,200,182,96,64,802,12,4,14,29,261,200,191,101,77,837,100,100,40,13,3,0,0,48,100,297,210,199,101,77,984,7125,276,35,10,0,7453,3692,4728,1726,618,10763,1692,1197,459,131,33,3508,249,35,7,0,0,292,9064,5206,5228,1865,659,22017,126,110,160,391,9064,5206,5352,1969,817,22405,6146,6146,491,94,31,10,0,633,6146,9561,5293,5383,1980,822,29177
Weston Creek,80108,26,4,0,0,0,32,20,19,6,6,55,9,14,5,3,4,36,0,0,0,0,0,0,38,41,25,9,6,127,0,3,0,3,38,41,25,18,9,130,24,24,9,0,0,0,0,9,24,41,41,30,18,9,161,2207,63,11,4,0,2281,877,1281,464,152,2770,437,250,95,21,6,809,53,15,0,0,0,65,2687,1205,1386,491,162,5933,24,20,29,72,2687,1205,1412,514,189,6006,2077,2077,133,30,6,0,0,170,2077,2827,1235,1416,512,189,8256
Woden Valley,80109,38,4,0,0,0,47,16,27,10,9,58,14,15,9,4,3,44,3,0,0,0,0,9,59,39,40,14,11,150,3,0,0,3,59,39,36,13,11,154,48,48,8,3,0,0,0,17,48,72,38,36,13,12,222,3279,118,24,4,3,3427,1402,1780,698,213,4090,566,317,111,32,9,1030,88,14,3,0,0,110,3925,1849,1919,740,220,8652,35,31,54,125,3925,1849,1959,769,279,8785,3743,3743,299,78,22,8,6,409,3743,4224,1933,1976,783,283,12934
Molonglo,80110,3,0,0,0,0,7,3,0,4,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,4,0,16,0,0,0,0,5,3,0,4,0,16,3,3,4,0,0,0,0,4,3,5,3,0,4,0,21,430,31,4,0,0,465,227,244,79,18,566,47,44,11,0,3,111,20,6,0,0,0,20,500,310,265,79,25,1170,6,0,3,14,500,310,271,79,28,1178,422,422,78,14,0,0,0,92,422,575,317,270,79,28,1689
Urriarra - Namadgi,80111,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,4,0,0,0,47,27,26,15,5,71,4,3,3,3,0,14,0,0,0,0,0,0,43,35,25,16,5,126,4,0,3,6,43,35,30,20,6,133,26,26,3,0,0,0,0,3,26,49,35,30,20,6,160
Christmas Island,90101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,3,0,0,0,99,47,62,24,14,151,27,7,0,0,0,38,0,0,0,0,0,3,123,62,60,24,14,293,0,0,3,3,123,62,60,29,20,294,95,95,6,0,0,0,0,10,95,128,63,60,28,20,394
Cocos (Keeling) Islands,90102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,5,0,0,0,33,23,15,7,5,48,0,0,0,0,0,3,0,0,0,0,0,0,35,23,13,7,5,86,3,4,20,31,35,23,21,11,28,120,9,9,0,0,0,0,0,0,9,34,23,21,11,28,130
Jervis Bay,90103,4,3,0,0,0,4,4,0,3,0,7,3,9,3,3,3,25,4,0,0,0,0,4,7,15,3,3,6,43,0,3,5,5,7,15,3,7,13,46,6,6,0,0,0,0,0,0,6,7,15,3,7,13,58,5,0,0,0,0,5,5,6,6,0,17,3,0,0,0,0,3,0,0,0,0,0,0,5,5,6,6,0,21,0,0,0,0,5,5,6,6,0,21,10,10,0,0,0,0,0,0,10,5,5,6,6,0,36
Norfolk Island,90104,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,0,0,0,0,9,243,6,0,0,0,254,54,65,33,8,159,32,25,3,3,0,68,5,0,0,0,0,5,284,85,67,37,6,475,3,0,0,6,284,85,66,38,8,482,242,242,7,0,0,0,0,8,242,291,88,66,38,8,738
