SA3_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,SA3_NAME11
11902,835,465,2017,19251,19660,8854,8775,32251,10734,99525,Canterbury
11903,1494,487,3046,21077,22252,10651,8516,26640,6925,96061,Hurstville
69797,0,0,0,18,17,3,6,55,12,111,Migratory - Offshore - Shipping (Tas.)
20605,427,385,1191,27346,22293,5935,3619,13993,8149,81335,Port Phillip
20903,270,156,628,12600,14142,7348,5406,8573,2492,50561,Nillumbik - Kinglake
20904,754,453,1604,28772,29406,13544,12399,36950,10620,131691,Whittlesea - Wallan
21001,502,265,1230,10266,10911,5312,4688,10924,3541,45642,Keilor
21002,146,50,306,4423,5821,3073,2846,3319,1237,20719,Macedon Ranges
21003,951,502,2120,11078,11972,5306,4958,16223,5832,55369,Moreland - North
21004,168,133,406,7002,7698,3589,3164,5611,2056,29120,Sunbury
21005,421,127,760,19670,19912,9195,9243,34174,9672,101866,Tullamarine - Broadmeadows
21101,1293,448,2533,30014,31726,14779,11721,26501,6951,121692,Knox
21102,253,65,445,5116,5230,2862,2294,4009,1049,20560,Manningham - East
21103,1150,480,2377,20776,22960,10535,8386,16459,4901,84017,Maroondah
21104,567,328,1398,11297,12564,6115,4663,9356,2745,46740,Whitehorse - East
11801,1142,733,2960,31757,24874,8293,5684,18147,13395,102150,Eastern Suburbs - North
11904,1489,475,2948,22224,23007,9869,7953,28824,9250,101127,Kogarah - Rockdale
12001,654,300,1502,15640,16162,6676,4776,13156,5141,61551,Canada Bay
12002,279,148,630,13167,13430,4467,2752,6297,3302,43415,Leichhardt
12003,1617,605,3065,27486,27487,11140,8278,30751,10735,115877,Strathfield - Burwood - Ashfield
12101,1064,328,2280,21751,22458,9461,6716,15773,5108,81267,Chatswood - Lane Cove
12102,635,258,1461,14809,17437,8333,6198,10963,3145,60885,Hornsby
12103,1387,634,3484,21742,23383,12397,9607,15044,4836,87009,Ku-ring-gai
12104,760,371,1908,23830,21643,7235,4620,11856,7316,76500,North Sydney - Mosman
12201,274,187,858,9345,8749,3594,2599,5247,2697,32231,Manly
12202,678,289,1517,11145,13150,6535,4400,7480,3016,45726,Pittwater
12203,1868,636,3876,29193,31358,13770,9942,21004,7163,112430,Warringah
12301,397,90,704,9413,11144,5169,3993,7481,2024,39224,Camden
12302,598,444,1377,24621,27167,12577,11616,28858,10168,115007,Campbelltown (NSW)
12303,211,71,424,5799,7444,3929,3643,5289,2029,28133,Wollondilly
12401,680,337,1549,13186,18168,9261,7151,8906,4255,60927,Blue Mountains
12402,0,0,0,0,0,3,0,3,0,6,Blue Mountains - South
12403,651,308,1419,21705,25895,11930,10409,20238,7093,97270,Penrith
12404,354,81,584,5956,7206,3472,3123,5740,2655,28152,Richmond - Windsor
12405,158,136,454,8800,9706,4467,4121,10340,3438,40872,St Marys
12501,480,132,873,11628,11091,4714,4474,20213,7668,59788,Auburn
12502,408,276,1055,10924,11798,5894,4931,11380,3377,48304,Carlingford
12503,1133,480,2258,20642,20872,9634,9772,34610,10943,106473,Merrylands - Guildford
12504,1137,514,2294,21436,24465,10674,8898,26977,9362,101812,Parramatta
12601,410,106,976,8819,9666,4986,3589,6804,1450,35314,Pennant Hills - Epping
12602,1582,523,3215,23954,25438,11347,8313,24033,6579,99664,Ryde - Hunters Hill
12701,254,125,527,12182,12119,5715,5816,18985,6254,61071,Bringelly - Green Valley
12702,1207,396,2185,26880,25148,11725,11932,52211,12333,140229,Fairfield
12703,577,207,1083,16018,17500,7842,7443,23450,7970,80223,Liverpool
12801,1187,558,2841,21229,22801,10774,8222,16688,5967,85681,Cronulla - Miranda - Caringbah
12802,876,301,1751,20319,23475,11646,8751,15620,4529,84340,Sutherland - Menai - Heathcote
19797,0,0,0,9,9,3,6,69,16,112,Migratory - Offshore - Shipping (NSW)
19999,66,48,123,2360,1816,644,575,3419,2924,11738,Special Purpose Codes SA3 (NSW)
20101,828,517,2005,17298,19718,9520,8361,15651,6290,76838,Ballarat
20102,243,98,500,4088,5654,3132,3039,4021,1893,21827,Creswick - Daylesford - Ballan
20103,271,112,576,3171,4531,2690,2939,4609,1843,19783,Maryborough - Pyrenees
20201,901,539,2070,15063,18220,8779,7647,13976,5469,69154,Bendigo
20202,353,274,944,6404,9598,5227,4849,6081,3397,35556,Heathcote - Castlemaine - Kyneton
20203,120,59,285,1652,2135,1236,1414,1911,810,9158,Loddon - Elmore
20301,122,33,212,2543,3406,1912,1908,2287,764,12820,Barwon - West
20302,2128,755,4269,31261,35499,17380,15113,30865,11290,141408,Geelong
20303,702,287,1527,10348,13375,7160,6115,8363,3528,48889,Surf Coast - Bellarine Peninsula
20401,539,209,1070,7819,10189,5528,5221,8352,3698,40807,Upper Goulburn Valley
20402,562,310,1251,7119,9392,5050,4559,7192,2751,36063,Wangaratta - Benalla
20403,684,210,1279,11044,14048,7229,5937,10082,3801,52141,Wodonga - Alpine
20501,346,220,850,7154,8700,4820,4615,6459,2638,34386,Baw Baw
20502,527,219,1112,6005,8687,5118,4954,7218,3046,35028,Gippsland - East
20503,628,362,1510,8743,11857,6917,6283,8911,4092,46803,Gippsland - South West
20504,736,265,1400,11018,14255,7519,7209,12982,5177,58160,Latrobe Valley
20505,398,168,868,6178,8117,4603,4507,6431,3644,33480,Wellington
20601,625,321,1426,18811,18250,6296,4619,13875,5556,67407,Brunswick - Coburg
20602,479,126,938,11524,11807,4212,2910,7165,2945,40563,Darebin - South
20603,621,326,1426,13428,13323,5247,3844,10256,4399,50497,Essendon
20604,426,154,794,27525,19866,4725,2715,21216,10926,86973,Melbourne City
10101,671,310,1408,10162,13952,7558,6666,10588,4928,53854,Goulburn - Yass
10102,213,126,554,9909,12935,5556,3881,6943,3265,42489,Queanbeyan
10103,176,71,409,3183,4047,2042,1709,2580,1732,15293,Snowy Mountains
10104,863,410,1930,9465,14823,8806,7618,10570,5086,56368,South Coast
10201,2129,1286,5131,28293,35278,17658,14367,25338,11672,132606,Gosford
10202,1808,898,3833,23362,29377,15657,13986,25986,10515,118883,Wyong
10301,394,103,732,7261,9227,4516,3806,6333,3389,34532,Bathurst
10302,727,253,1444,7628,10063,5791,5944,9778,4188,43392,Lachlan Valley
10303,452,185,882,6159,8509,4606,4829,7586,3652,35341,Lithgow - Mudgee
10304,495,177,991,8633,11182,5546,4793,8729,3440,42323,Orange
10401,659,221,1247,6533,9846,5894,5926,8360,3540,40099,Clarence Valley
10402,899,473,2027,12531,17878,9629,8066,12343,5279,65726,Coffs Harbour
10501,178,62,335,3267,4497,2244,2223,4927,2447,19605,Bourke - Cobar - Coonamble
10502,229,152,507,2606,3959,2106,2040,4476,2136,17323,Broken Hill and Far West
10503,663,223,1332,9848,13336,6947,6346,10953,4963,52393,Dubbo
10601,722,187,1300,12192,15925,8224,8645,13823,5712,64521,Lower Hunter
10602,510,191,1035,10550,13420,6815,6043,9788,3543,50159,Maitland
10603,615,353,1475,10024,13965,7866,7082,10861,4710,54508,Port Stephens
10604,232,81,459,4538,5701,2905,2875,4678,2342,23039,Upper Hunter
10701,788,276,1478,11311,13558,7342,6790,14046,4661,57708,Dapto - Port Kembla
10702,0,0,0,0,0,0,4,0,3,7,Illawarra Catchment Reserve
10703,737,250,1532,13347,17252,9294,7937,14149,4483,66462,Kiama - Shellharbour
10704,1296,471,2785,22759,26198,12341,9583,20783,7390,99054,Wollongong
21105,839,478,1961,26727,31341,15726,12876,20915,7478,115063,Yarra Ranges
21201,449,140,847,13008,15012,7269,6558,11143,3968,56958,Cardinia
21202,911,222,1548,22251,23264,10792,9243,24572,6963,97085,Casey - North
21203,516,225,964,21593,23412,10383,9604,24552,7159,96703,Casey - South
21204,1738,463,2995,28091,27547,12517,11003,46688,13305,139151,Dandenong
21205,1640,830,3786,32393,33517,16009,12418,33654,9159,137150,Monash
21301,1022,456,2030,28379,27770,12281,11862,45361,15325,140978,Brimbank
21302,697,360,1582,14774,16488,7239,5967,14913,5588,64969,Hobsons Bay
21303,550,227,1148,14352,14498,5475,4054,14825,6564,59768,Maribyrnong
21304,479,153,900,20030,23027,10186,9893,22891,8154,94181,Melton - Bacchus Marsh
21305,575,239,1133,28215,31726,13762,12490,30050,10702,126945,Wyndham
21401,972,625,2293,23465,26099,11892,9985,22053,8651,102145,Frankston
21402,1595,1156,4195,24099,30523,16161,13522,23316,10437,118058,Mornington Peninsula
21501,811,401,1789,9259,11427,6600,6583,10120,4408,48397,Grampians
21502,558,202,1119,7703,9485,5111,4659,9423,3902,40283,Mildura
21503,519,216,1071,5528,6894,3805,4037,6675,2984,29923,Murray River - Swan Hill
21601,425,214,907,5684,7240,3955,3643,6053,2681,29256,Campaspe
30201,369,133,762,7544,8807,4187,3124,5308,1651,30621,Bald Hills - Everton Park
30202,670,506,1916,13571,15492,6354,4905,9544,4149,54015,Chermside
11702,373,99,642,11924,12140,3809,2473,8784,4066,43196,Marrickville - Sydenham - Petersham
11703,628,440,1472,50675,37996,8902,5012,35777,23588,161950,Sydney Inner City
30203,344,126,722,7492,7984,3030,2239,5990,2219,28954,Nundah
20902,920,541,2139,16248,16523,6982,6048,20170,7693,73664,Darebin - North
30204,448,455,1211,10113,11918,5112,3901,8085,3759,42888,Sandgate
30303,551,332,1276,13165,14067,6414,4897,11950,3701,54194,Mt Gravatt
30305,384,124,614,10214,10905,4598,3749,9694,3073,42233,Rocklea - Acacia Ridge
30306,328,138,642,8832,8972,4137,3304,10043,2567,37855,Sunnybank
30401,371,72,570,6511,7723,3527,2423,4265,1149,25598,Centenary
30402,242,281,804,8737,10208,5198,3792,4660,1728,34323,Kenmore - Brookfield - Moggill
30403,300,216,882,12516,11044,4183,2864,7201,2768,40576,Sherwood - Indooroopilly
30404,460,207,1038,9643,11286,5006,3738,6200,1882,37755,The Gap - Enoggera
30501,388,264,870,16704,13450,3502,1992,10461,7170,53279,Brisbane Inner
30502,176,100,435,9481,9231,3046,2143,4766,2342,31009,Brisbane Inner - East
30503,525,199,1193,19590,18524,6202,4240,10779,4309,63644,Brisbane Inner - North
30504,234,117,639,14502,13493,4656,3119,6309,2660,44739,Brisbane Inner - West
30601,143,109,357,8382,11206,4984,3711,5783,2810,36876,Cairns - North
30602,544,258,1157,15635,19060,8151,6745,15265,8999,73855,Cairns - South
30603,290,97,540,4831,6388,3480,3618,5744,2545,26606,Innisfail - Cassowary Coast
30604,60,21,107,1834,2314,1087,844,1582,1112,8773,Port Douglas - Daintree
30605,232,251,708,5190,7478,4236,4355,5918,3235,30412,Tablelands (East) - Kuranda
30701,314,114,602,6291,7850,4116,4283,7199,3576,33315,Darling Downs (West) - Maranoa
30702,363,140,747,5575,7377,4027,4507,6532,3279,31297,Darling Downs - East
30703,420,180,879,5328,7598,4404,4522,6205,2499,30556,Granite Belt
30801,41,40,117,4849,5566,2365,2710,4190,2577,22257,Central Highlands (Qld)
30802,300,108,603,11631,14265,6884,6899,10608,5428,55715,Gladstone - Biloela
30803,644,655,1809,16673,21706,10855,10028,17327,9905,86494,Rockhampton
30901,533,429,1452,12197,12567,5326,3851,9658,5938,49537,Broadbeach - Burleigh
30902,487,322,1278,9587,11049,4956,3810,8261,4028,41691,Coolangatta
30903,655,547,1657,11018,12689,5760,4444,11011,5528,50450,Gold Coast - North
30904,88,26,195,2655,3986,2102,1934,2149,935,13761,Gold Coast Hinterland
20606,521,248,1184,16055,12451,3700,2421,8910,4951,48488,Stonnington - West
20607,449,171,913,22520,18361,4951,3048,10932,6132,65944,Yarra
20701,2091,807,4631,36336,34985,15816,11477,24725,8077,131416,Boroondara
20702,938,501,2113,17256,17554,8954,7200,17165,4385,72514,Manningham - West
20703,990,731,2887,19086,19988,9343,6947,17802,5857,79023,Whitehorse - West
20801,1458,580,3306,18569,19903,9544,7128,13444,5226,73814,Bayside
21602,382,182,797,4160,5305,2974,2857,5139,2252,22687,Moira
21603,640,253,1260,9390,11484,5790,5100,11053,4512,47329,Shepparton
21701,493,166,967,5441,7359,4091,3846,6223,2334,29294,Glenelg - Southern Grampians
21702,867,530,2083,13698,16704,9206,8665,13576,5823,67672,Warrnambool - Otway Ranges
29797,0,0,0,3,6,3,0,23,3,38,Migratory - Offshore - Shipping (Vic.)
29999,27,19,53,1611,1165,390,320,2084,1697,7267,Special Purpose Codes SA3 (Vic.)
30101,520,205,1039,13544,15884,7278,5603,10033,3297,55639,Capalaba
30102,865,303,1735,13491,16768,8392,6758,11705,4165,61279,Cleveland - Stradbroke
30103,650,198,1236,12250,14839,6318,4825,9640,3331,51203,Wynnum - Manly
20802,1962,798,4208,30134,30261,12401,8423,24002,7939,113160,Glen Eira
20803,1431,584,2987,22019,23915,10519,7841,18187,6675,89156,Kingston
20804,354,226,979,9096,8637,3604,2665,6296,2181,32479,Stonnington - East
20901,1429,517,2910,23390,25999,12247,9565,19737,6294,97232,Banyule
30301,458,140,975,10075,10985,4654,3453,6735,2168,38070,Carindale
30302,453,281,1131,15860,16004,5567,3747,9533,4231,54942,Holland Park - Yeronga
30905,147,38,266,5308,6751,3231,2659,4237,1533,23719,Mudgeeraba - Tallebudgera
30906,406,215,874,11017,13305,6228,4785,9848,3991,49174,Nerang
30907,407,143,769,16176,20211,9018,7256,13252,4997,70910,Ormeau - Oxenford
40401,1383,723,3241,18731,22392,10351,7741,20053,6690,85958,Charles Sturt
40402,721,252,1425,9798,11869,5269,3913,12096,4131,47076,Port Adelaide - West
40403,829,439,1961,11592,13427,5632,4028,11039,3635,49353,West Torrens
40501,390,112,757,5379,7328,3980,3572,4759,1583,26601,Barossa
30908,359,324,909,8801,9535,4138,3109,7885,3484,36952,Robina
30909,526,437,1328,10782,11330,4700,3560,10211,5266,45849,Southport
30910,293,184,742,7658,7300,2879,1969,6914,4496,31216,Surfers Paradise
31001,306,318,901,10392,11744,4921,4356,11545,6571,49529,Forest Lake - Oxley
31002,399,155,796,8068,10905,6217,6328,8827,4445,44790,Ipswich Hinterland
31003,735,284,1436,15129,19462,9375,8412,15310,5929,73617,Ipswich Inner
31004,109,49,250,11360,13228,5696,4875,9905,3522,48586,Springfield - Redbank
31101,162,32,273,1810,2368,1400,1213,2033,899,9723,Beaudesert
31403,111,158,388,6681,8016,3520,2895,4948,1809,27869,Strathpine
31501,53,24,128,4628,5147,2285,2379,4415,3155,22009,Far North
31502,81,31,150,4932,5887,2388,2126,5865,4025,25223,Outback - North
31503,145,43,271,2891,3776,1767,1797,3792,1517,15540,Outback - South
31601,574,200,1252,8269,10205,5252,4038,6577,2166,36507,Buderim
31602,819,479,1982,11684,15385,8094,6431,11016,4353,56963,Caloundra
31603,501,231,1085,9993,11964,5264,3863,8063,3679,42826,Maroochy
31604,569,174,1044,8698,12541,7035,6232,8265,3335,46106,Nambour - Pomona
31605,425,213,966,6093,8256,4168,3200,5313,2378,29408,Noosa
31606,275,168,698,6963,10198,5753,5273,5884,2954,37025,Sunshine Coast Hinterland
31701,1016,840,2757,23008,29161,14642,12973,21042,9264,110090,Toowoomba
31801,496,131,901,6316,7702,4346,4853,7829,3177,34223,Charters Towers - Ayr - Ingham
31802,871,371,1855,30562,37874,16858,13547,25660,13192,137693,Townsville
31901,776,465,1802,11683,16571,9414,9196,14903,6520,68287,Bundaberg
31902,369,248,892,6142,8844,5311,5748,7785,3616,37446,Burnett
31903,234,318,807,6037,8994,5163,5614,6917,3581,36306,Gympie - Cooloola
31904,514,350,1218,7317,10409,6036,5787,9212,3945,42706,Hervey Bay
30304,328,118,785,7368,8023,3514,2686,5990,2479,30060,Nathan
31905,312,280,850,5402,8053,4755,5161,7226,3831,34428,Maryborough
39797,0,3,6,55,61,35,25,187,89,452,Migratory - Offshore - Shipping (Qld)
39999,27,14,51,2233,2172,943,756,3389,1990,11483,Special Purpose Codes SA3 (Qld)
40502,308,118,617,3227,4495,2562,2611,3678,1248,17821,Lower North
40503,382,106,714,3604,5202,3064,3166,5311,1713,22060,Mid North
40504,351,108,677,3286,4886,3015,3000,4511,1390,20088,Yorke Peninsula
40601,489,233,1058,8268,11427,5992,5481,9796,3925,44889,Eyre Peninsula and South West
40602,112,80,272,4297,5288,2271,2103,5345,3150,22454,Outback - North and East
40701,664,274,1487,6878,10342,6373,5397,7073,3019,39082,Fleurieu - Kangaroo Island
40702,608,249,1306,9980,13545,7188,6180,9790,3582,50265,Limestone Coast
40703,682,344,1530,9986,13526,7533,6803,11851,5298,54997,Murray and Mallee
31401,205,132,561,15338,18821,9022,6857,8839,2812,61689,Hills District
31402,362,171,706,9396,11287,4778,3849,7137,2378,38825,North Lakes
40101,207,52,365,5121,4430,1213,623,4919,2190,18496,Adelaide City
40102,489,172,1019,11981,16424,8446,6474,7967,2719,54011,Adelaide Hills
50603,798,498,1945,17601,18255,8005,6599,17509,5840,73809,Canning
60302,113,39,233,2528,3860,2247,2100,2718,939,14392,Huon - Bruny Island
60303,70,34,146,845,1402,853,824,1126,490,5540,South East Coast
60401,410,315,1067,7045,9725,5433,5017,8328,3235,38783,Burnie - Ulverstone
60402,428,205,964,6437,8741,4792,4460,7824,2656,34910,Devonport
60403,109,45,226,2611,3602,2002,1903,2972,1104,14194,West Coast
69999,0,0,0,214,185,62,65,300,150,976,Special Purpose Codes SA3 (Tas.)
70101,49,9,93,5223,5109,1521,909,3828,2950,19540,Darwin City
70102,117,45,226,8795,10734,4357,2858,7676,6377,40797,Darwin Suburbs
70103,12,8,44,2676,3892,1788,1462,2622,2218,14658,Litchfield
31102,230,94,445,6097,7434,3536,3067,6462,2891,29487,Beenleigh
31103,262,134,546,11902,14022,6353,5646,12260,4523,54706,Browns Plains
31104,63,18,144,5962,7663,3913,3323,4926,1951,27738,Jimboomba
31105,241,226,642,9892,11540,5272,4209,8746,3379,43038,Loganlea - Carbrook
31106,345,160,728,12713,14583,6586,5750,13253,5560,58445,Springwood - Kingston
31201,144,60,265,5359,6285,2926,3148,5808,3789,27315,Bowen Basin - North
31202,643,236,1281,18556,22549,10373,10289,18363,8710,88840,Mackay
31203,74,19,147,3246,3904,1726,1503,2689,2034,15102,Whitsunday
31301,382,177,847,4425,6282,3766,3408,5549,2485,25915,Bribie - Beachmere
31302,345,297,866,9068,11099,5488,5385,9190,4602,44832,Caboolture
31303,57,22,132,1458,2112,1215,1273,1696,1322,9076,Caboolture Hinterland
31304,258,146,592,9728,11817,5878,5144,8554,3427,44548,Narangba - Burpengary
31305,811,297,1564,9969,11814,5771,4681,9955,4004,46194,Redcliffe
40107,816,298,1511,8009,9162,3757,2381,5647,1952,30908,Unley
40201,241,107,541,5210,6920,3431,2887,5143,1683,25274,Gawler - Two Wells
40202,544,204,1053,11878,15045,7291,6735,15343,5264,61556,Playford
40203,561,349,1407,10784,12705,5539,4433,11959,4744,50164,Port Adelaide - East
40204,887,334,1648,21687,25702,11677,9835,25281,8116,102298,Salisbury
40205,781,314,1645,16951,21438,10317,7506,14835,4003,75050,Tea Tree Gully
49797,0,0,0,0,0,0,0,6,0,6,Migratory - Offshore - Shipping (SA)
49999,56,12,77,537,511,175,125,937,480,2765,Special Purpose Codes SA3 (SA)
50101,367,131,773,6552,8903,4803,4373,5698,2703,33032,Augusta - Margaret River - Busselton
50102,597,294,1332,14635,18795,9849,9517,14538,6816,74150,Bunbury
50103,156,59,345,3072,4509,2638,2765,2997,1233,17214,Manjimup
50201,670,502,1729,12047,16188,9008,8878,14629,6748,67498,Mandurah
50301,647,427,1845,13707,13542,6559,5348,9394,3870,52420,Cottesloe - Claremont
50302,843,356,1768,22391,21472,7158,4974,15514,8581,80090,Perth City
50401,864,240,1626,14749,16911,7066,5657,14339,5147,63869,Bayswater - Bassendean
50402,204,114,542,6476,8318,4476,3928,5649,3846,32693,Mundaring
50403,416,209,922,17548,20449,9190,8398,17329,6790,79704,Swan
50501,851,406,1978,29861,34067,16131,12563,23307,7037,122966,Joondalup
50502,1618,866,3889,35399,38575,15878,13399,31285,13284,147820,Stirling
50503,696,352,1443,25702,29682,13125,11717,25660,9092,114978,Wanneroo
40304,1427,561,2828,28417,36966,17723,13792,24690,7862,129450,Onkaparinga
50704,1026,505,2560,20166,21596,10336,8438,15931,5242,81709,Melville
50705,562,261,1223,16431,20739,9748,9558,17218,6725,80419,Rockingham
50801,96,44,203,2381,2997,1558,1578,2387,1238,12139,Esperance
50802,32,15,67,1356,1862,825,683,1574,996,7296,Gascoyne
50803,101,54,195,6653,7572,2984,2852,7179,5017,32257,Goldfields
50804,55,32,110,5941,5988,2107,1798,5620,4792,26246,Kimberley
50805,286,143,638,7954,10274,5242,5296,9109,4331,42206,Mid West
50806,32,9,53,9290,9541,3253,2942,12622,10724,48372,Pilbara
50901,476,209,1094,8170,11612,6387,6160,7940,3613,43882,Albany
50902,348,160,778,7452,9916,5706,6337,8892,4061,42364,Wheat Belt - North
50903,178,59,365,3144,3975,2161,2386,3225,1497,16388,Wheat Belt - South
59797,0,0,0,34,31,3,9,273,65,415,Migratory - Offshore - Shipping (WA)
59999,9,8,17,1369,1164,512,339,1981,1326,6691,Special Purpose Codes SA3 (WA)
60101,79,15,132,2142,2896,1500,1413,2919,1071,11941,Brighton
60102,564,176,1195,8472,11368,5743,4289,7437,3021,40330,Hobart - North East
60103,520,213,1146,8081,10772,5198,4492,9698,3263,41504,Hobart - North West
60104,213,130,574,5620,7383,3740,2772,3749,1285,24549,Hobart - South and West
60105,557,273,1290,10962,12497,5205,3076,7017,2880,41637,Hobart Inner
60106,92,37,216,2276,3299,1709,1503,2233,906,11926,Sorell - Dodges Ferry
60201,1011,386,1990,13834,17298,8109,6601,13846,4554,64242,Launceston
60202,158,61,361,3243,4538,2650,2560,3582,1264,17837,Meander Valley - West Tamar
60203,309,109,604,5112,7247,4304,4250,6323,2352,29588,North East
60301,57,15,103,1537,2129,1245,1305,2003,803,9022,Central Highlands (Tas.)
40103,560,345,1556,8682,9921,4860,3259,6533,2237,35492,Burnside
40104,674,206,1325,8995,10758,5169,3946,9098,2430,40396,Campbelltown (SA)
40105,705,174,1285,7692,8426,3462,2270,6177,2003,30030,Norwood - Payneham - St Peters
40303,873,274,1952,12179,15237,7455,4987,8535,2551,50944,Mitcham
40106,370,120,762,5582,6344,2786,1862,4489,1483,22546,Prospect - Walkerville
40301,764,276,1668,7101,7915,3407,2303,6030,2170,28926,Holdfast Bay
40302,1150,468,2469,16661,19894,8943,6291,14325,4568,70682,Marion
50601,296,156,661,10303,12622,5860,5662,10168,4311,48926,Armadale
50602,501,230,1118,12869,13801,5027,4108,12504,5762,54071,Belmont - Victoria Park
50604,424,281,1051,17980,20499,9260,8548,19551,8153,83991,Gosnells
50605,309,163,771,9418,11395,5862,5091,8071,3139,42976,Kalamunda
50606,63,21,128,2855,3568,1790,1851,2446,1110,13620,Serpentine - Jarrahdale
50607,560,229,1107,9388,9349,3545,2616,7143,2906,34947,South Perth
50701,423,206,923,15864,18186,7914,7061,14939,5084,69048,Cockburn
50702,405,122,761,6840,7953,3390,2470,5356,2359,28368,Fremantle
50703,115,69,257,4357,5459,2550,2412,4759,2991,22528,Kwinana
70104,42,25,67,4468,5922,2230,1632,3650,2310,20212,Palmerston
70202,9,6,18,1003,843,333,180,1069,786,4214,Barkly
70203,8,4,25,3025,2870,1298,913,2312,876,11294,Daly - Tiwi - West Arnhem
70204,9,0,15,2662,2876,957,698,1927,623,9743,East Arnhem
70205,26,9,52,3151,2951,1305,1017,2715,1625,12764,Katherine
79797,0,0,0,14,8,6,3,65,15,111,Migratory - Offshore - Shipping (NT)
79999,0,0,0,326,356,126,110,527,280,1725,Special Purpose Codes SA3 (NT)
70201,53,49,154,6448,7255,2686,1535,5526,4295,27745,Alice Springs
80101,395,276,1139,19019,23090,9937,6199,12196,4953,75394,Belconnen
80102,0,0,0,122,130,65,31,62,23,433,Cotter - Namadgi
80103,3,0,6,221,286,99,68,242,434,1350,Fyshwick - Pialligo - Hume
80104,52,13,121,9247,11646,4407,2851,5811,1704,35666,Gungahlin
80105,299,187,891,11982,12956,4215,2339,7162,3417,42071,North Canberra
80106,374,93,773,5704,6378,2463,1415,3173,1443,20576,South Canberra
80107,229,96,568,17915,21958,9428,5581,10881,3323,69086,Tuggeranong
80108,222,57,470,4379,5999,2870,1705,2604,817,18374,Weston Creek
80109,364,116,858,6910,8579,3806,2360,4273,1424,27352,Woden
89797,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,4,3,7,171,136,37,22,142,68,576,Special Purpose Codes SA3 (ACT)
90101,0,0,0,236,258,99,65,295,851,1804,Christmas Island
90102,4,0,4,64,84,26,25,179,42,420,Cocos (Keeling) Islands
90103,0,0,0,63,46,26,19,99,26,279,Jervis Bay
