sa3_name16,sa3_code16,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size
Taree - Gloucester,10805,49,1300,476,250,1129,0.8,906,2.3
Albury,10901,39,1387,638,230,1512,0.8,1179,2.4
Lower Murray,10902,45,1083,590,150,1345,0.8,1075,2.4
Upper Murray exc. Albury,10903,47,1200,571,190,1324,0.7,1041,2.3
Armidale,11001,38,1387,561,240,1453,0.8,1155,2.4
Inverell - Tenterfield,11002,46,1083,484,195,1122,0.8,873,2.3
Moree - Narrabri,11003,40,1300,661,175,1518,0.8,1234,2.5
Tamworth - Gunnedah,11004,40,1456,624,250,1445,0.8,1172,2.4
Lake Macquarie - East,11101,42,1800,621,320,1683,0.8,1328,2.5
Lake Macquarie - West,11102,42,1733,579,320,1499,0.8,1274,2.6
Newcastle,11103,37,1750,651,340,1756,0.8,1353,2.4
Richmond Valley - Coastal,11201,47,1733,589,350,1396,0.8,1130,2.4
Richmond Valley - Hinterland,11202,44,1326,517,250,1265,0.8,1001,2.4
Tweed Valley,11203,47,1733,533,340,1332,0.8,1056,2.4
Griffith - Murrumbidgee (West),11301,39,1300,655,200,1493,0.8,1238,2.6
Tumut - Tumbarumba,11302,44,1300,591,180,1417,0.8,1123,2.3
Wagga Wagga,11303,37,1408,651,248,1552,0.8,1243,2.5
Shoalhaven,11401,47,1517,511,280,1226,0.7,994,2.3
Southern Highlands,11402,47,1842,644,350,1638,0.7,1334,2.4
Baulkham Hills,11501,39,2500,805,570,2468,0.8,2325,3.1
Dural - Wisemans Ferry,11502,42,2600,743,450,2308,0.8,2134,3.1
Hawkesbury,11503,40,2167,761,360,2038,0.8,1883,3.0
Rouse Hill - McGraths Hill,11504,35,2600,852,590,2455,0.9,2401,3.4
Blacktown,11601,35,2000,651,380,1723,0.9,1582,3.0
Blacktown - North,11602,33,2470,841,500,2305,0.9,2263,3.3
Mount Druitt,11603,32,1911,578,330,1509,1.0,1432,3.2
Botany,11701,35,2400,725,460,1921,1.1,1624,2.7
Sydney Inner City,11703,32,2500,972,570,2526,1.2,1925,2.0
Eastern Suburbs - South,11802,34,2600,825,550,2421,1.0,1910,2.5
Bankstown,11901,35,2100,508,400,1485,1.0,1330,3.1
Canterbury,11902,34,2000,492,370,1370,1.1,1266,3.0
Hurstville,11903,37,2167,610,430,1765,1.0,1569,2.9
Kogarah - Rockdale,11904,36,2167,667,460,1763,1.1,1597,2.7
Canada Bay,12001,37,2500,885,570,2386,1.0,2070,2.6
Leichhardt,12002,38,3000,1220,580,3324,1.0,2434,2.4
Strathfield - Burwood - Ashfield,12003,34,2167,697,460,1958,1.1,1728,2.7
Chatswood - Lane Cove,12101,37,2750,1018,560,2784,1.0,2307,2.6
Hornsby,12102,38,2300,788,480,2248,1.0,2005,2.8
Ku-ring-gai,12103,41,3000,934,650,3048,0.9,2636,3.0
North Sydney - Mosman,12104,38,2700,1355,570,3353,1.0,2388,2.1
Manly,12201,38,3033,1185,650,3339,1.0,2611,2.5
Pittwater,12202,43,2817,867,600,2431,0.9,2115,2.8
Warringah,12203,39,2600,866,530,2427,1.0,2091,2.7
Camden,12301,34,2167,818,450,2181,0.8,2044,3.1
Campbelltown (NSW),12302,34,1842,628,350,1596,0.9,1457,3.0
Wollondilly,12303,37,2167,720,360,1978,0.8,1807,3.0
Blue Mountains,12401,44,1842,688,350,1866,0.8,1466,2.5
Blue Mountains - South,12402,41,0,450,0,0,0.0,450,1.0
Penrith,12403,34,2000,748,370,1933,0.8,1708,2.8
Richmond - Windsor,12404,36,1950,686,360,1752,0.8,1480,2.7
Marrickville - Sydenham - Petersham,11702,35,2500,897,460,2312,1.0,1938,2.4
Eastern Suburbs - North,11801,36,3000,1229,630,3245,1.0,2413,2.3
St Marys,12405,34,1863,682,370,1694,0.9,1531,2.9
Auburn,12501,32,2000,522,450,1410,1.2,1467,3.1
Carlingford,12502,38,2167,644,438,1896,0.9,1694,2.9
Merrylands - Guildford,12503,33,2000,489,380,1403,1.1,1279,3.1
Parramatta,12504,34,2080,723,420,1879,1.1,1715,2.8
Pennant Hills - Epping,12601,38,2500,794,530,2441,0.9,2201,3.0
Ryde - Hunters Hill,12602,36,2300,746,460,2167,1.0,1826,2.7
Bringelly - Green Valley,12701,33,2167,612,400,1760,0.9,1717,3.4
Fairfield,12702,37,1820,441,350,1279,1.0,1243,3.3
Liverpool,12703,34,2100,604,360,1665,1.0,1502,3.1
Cronulla - Miranda - Caringbah,12801,41,2500,832,450,2277,0.9,1863,2.6
Sutherland - Menai - Heathcote,12802,39,2383,829,440,2343,0.9,2093,2.9
Ballarat,20101,37,1369,591,250,1499,0.8,1169,2.4
Creswick - Daylesford - Ballan,20102,46,1387,561,230,1405,0.8,1120,2.4
Maryborough - Pyrenees,20103,48,1083,465,190,1097,0.8,838,2.3
Bendigo,20201,37,1387,606,250,1451,0.8,1175,2.4
Heathcote - Castlemaine - Kyneton,20202,46,1439,587,260,1479,0.8,1184,2.4
Loddon - Elmore,20203,48,1000,485,140,1231,0.8,931,2.3
Barwon - West,20301,39,1647,642,250,1671,0.8,1478,2.8
Geelong,20302,38,1517,593,280,1573,0.8,1232,2.4
Surf Coast - Bellarine Peninsula,20303,43,1733,665,330,1702,0.7,1377,2.5
Upper Goulburn Valley,20401,44,1300,591,230,1386,0.8,1102,2.3
Wangaratta - Benalla,20402,46,1300,581,200,1347,0.7,1046,2.3
Wodonga - Alpine,20403,40,1387,664,240,1483,0.8,1218,2.4
Baw Baw,20501,42,1465,585,250,1463,0.8,1196,2.5
Gippsland - East,20502,49,1278,511,220,1190,0.7,938,2.2
Gippsland - South West,20503,47,1300,523,231,1243,0.7,975,2.3
Latrobe Valley,20504,40,1200,544,200,1414,0.8,1078,2.3
Wellington,20505,43,1300,567,210,1412,0.7,1108,2.3
Brunswick - Coburg,20601,34,2000,760,380,2100,1.0,1653,2.4
Darebin - South,20602,36,2058,830,365,2284,1.0,1723,2.4
Essendon,20603,35,2167,816,341,2281,0.9,1697,2.4
Melbourne City,20604,29,2000,677,450,2062,1.1,1348,2.0
Port Phillip,20605,36,2167,1079,400,2559,1.0,1837,2.0
Sunbury,21004,37,1600,694,315,1833,0.8,1564,2.7
Tullamarine - Broadmeadows,21005,32,1680,492,320,1399,1.0,1330,3.2
Knox,21101,39,1733,663,351,1820,0.8,1558,2.7
Manningham - East,21102,43,2167,729,392,2363,0.8,2074,3.0
Maroondah,21103,38,1800,694,340,1895,0.8,1540,2.6
Whitehorse - East,21104,39,2000,658,366,1900,0.8,1568,2.6
Yarra Ranges,21105,39,1733,667,325,1768,0.8,1496,2.7
Cardinia,21201,34,1733,678,320,1701,0.8,1494,2.8
Casey - North,21202,36,1712,610,331,1668,0.9,1514,3.0
Casey - South,21203,32,1748,661,341,1647,0.9,1579,3.2
Dandenong,21204,35,1625,487,305,1314,1.0,1205,2.9
Monash,21205,36,2000,564,391,1798,0.9,1499,2.8
Brimbank,21301,35,1560,482,300,1341,0.9,1250,3.0
Hobsons Bay,21302,39,1950,718,335,1974,0.9,1594,2.6
Maribyrnong,21303,33,2000,700,330,1913,1.0,1543,2.5
Melton - Bacchus Marsh,21304,33,1700,655,300,1686,0.9,1524,3.0
Wyndham,21305,32,1733,679,320,1702,0.9,1605,3.1
Frankston,21401,38,1620,658,306,1649,0.8,1328,2.5
Mornington Peninsula,21402,45,1733,631,310,1621,0.8,1275,2.4
Grampians,21501,45,1000,560,175,1301,0.7,997,2.2
Mildura,21502,40,1200,556,210,1340,0.8,1061,2.4
Murray River - Swan Hill,21503,45,1025,538,166,1265,0.8,983,2.3
Campaspe,21601,45,1300,566,200,1350,0.8,1082,2.4
Moira,21602,46,1226,528,200,1283,0.8,1011,2.4
Shepparton,21603,39,1300,590,220,1416,0.8,1160,2.5
Glenelg - Southern Grampians,21701,46,1083,560,180,1367,0.7,1044,2.3
Colac - Corangamite,21703,44,1200,567,200,1339,0.8,1051,2.3
Warrnambool,21704,41,1400,621,240,1493,0.8,1193,2.4
Capalaba,30101,39,1948,720,380,1896,0.8,1659,2.7
Cleveland - Stradbroke,30102,43,2000,654,400,1780,0.8,1450,2.6
Wynnum - Manly,30103,38,2050,775,400,2058,0.8,1727,2.7
Bald Hills - Everton Park,30201,38,2000,795,390,2123,0.8,1847,2.7
Chermside,30202,37,2000,782,370,2042,0.8,1610,2.4
Nundah,30203,35,1950,806,375,2003,0.8,1662,2.4
Sandgate,30204,38,1800,695,355,1787,0.8,1466,2.5
Carindale,30301,36,2167,841,420,2294,0.8,1939,2.7
Holland Park - Yeronga,30302,33,2052,816,360,2240,0.9,1722,2.4
Mt Gravatt,30303,34,2000,644,400,1853,0.8,1626,2.8
Nathan,30304,34,2000,683,370,1986,0.9,1649,2.7
Rocklea - Acacia Ridge,30305,33,1863,662,390,1734,0.8,1645,3.0
Mudgeeraba - Tallebudgera,30905,38,2000,686,410,1846,0.8,1732,3.0
Nerang,30906,38,1907,658,395,1663,0.8,1482,2.8
Ormeau - Oxenford,30907,33,2000,724,415,1822,0.8,1723,3.0
Outback - South,31503,48,997,643,125,1454,0.8,1091,2.3
Stonnington - West,20606,34,2167,1107,401,2637,1.0,1912,2.0
Yarra,20607,33,2167,1025,421,2508,1.0,1950,2.1
Boroondara,20701,38,2500,861,406,2652,0.9,2078,2.6
Manningham - West,20702,43,2000,601,420,1781,0.8,1539,2.7
Whitehorse - West,20703,37,2000,591,380,1929,0.9,1467,2.6
Bayside,20801,43,2500,888,450,2765,0.8,2139,2.6
Darebin - North,20902,35,1800,552,326,1542,0.9,1284,2.5
Nillumbik - Kinglake,20903,40,2000,774,360,2268,0.8,2048,2.9
Whittlesea - Wallan,20904,34,1777,600,330,1586,0.9,1455,3.0
Keilor,21001,42,2000,654,360,1870,0.8,1539,2.7
Macedon Ranges,21002,41,1842,730,320,2029,0.8,1771,2.8
Buderim,31601,39,1950,637,420,1674,0.8,1428,2.6
Caloundra,31602,44,1925,603,390,1475,0.8,1237,2.5
Maroochy,31603,46,1733,638,350,1462,0.8,1203,2.2
Noosa,31605,48,1800,642,420,1465,0.8,1244,2.4
Sunshine Coast Hinterland,31606,45,1733,566,330,1423,0.8,1242,2.6
Glen Eira,20802,37,2110,771,390,2238,0.9,1733,2.5
Kingston,20803,40,2000,748,356,2048,0.8,1577,2.5
Stonnington - East,20804,36,2500,897,381,2750,0.9,2003,2.5
Banyule,20901,39,1950,725,350,2033,0.8,1651,2.6
Moreland - North,21003,35,1800,582,340,1584,0.9,1342,2.6
Nambour,31607,42,1708,581,320,1449,0.8,1226,2.6
Noosa Hinterland,31608,47,1660,554,340,1380,0.8,1213,2.6
Charters Towers - Ayr - Ingham,31801,45,1300,540,190,1380,0.8,1086,2.4
Townsville,31802,35,1733,685,300,1705,0.8,1414,2.6
Bundaberg,31901,45,1360,493,260,1201,0.8,983,2.4
Burnett,31902,45,1104,471,200,1110,0.8,902,2.4
Gympie - Cooloola,31903,46,1300,478,250,1132,0.8,937,2.4
Hervey Bay,31904,49,1500,477,290,1107,0.7,930,2.3
Sunnybank,30306,33,1733,532,395,1495,0.9,1461,3.1
Centenary,30401,39,2000,804,410,2218,0.8,2033,2.9
Kenmore - Brookfield - Moggill,30402,40,2188,847,450,2534,0.8,2312,3.0
Sherwood - Indooroopilly,30403,29,2167,624,410,2330,0.9,1730,2.5
The Gap - Enoggera,30404,37,2064,823,375,2221,0.8,1881,2.7
Brisbane Inner,30501,33,2058,858,445,2272,1.0,1728,2.1
Brisbane Inner - East,30502,34,2383,1018,420,2684,0.9,2166,2.5
Brisbane Inner - North,30503,33,2167,934,395,2472,0.9,1876,2.3
Brisbane Inner - West,30504,32,2383,931,420,2728,0.9,2087,2.5
Cairns - North,30601,40,1733,752,340,1835,0.8,1533,2.6
Cairns - South,30602,37,1595,660,285,1486,0.9,1232,2.5
Innisfail - Cassowary Coast,30603,45,1300,538,215,1273,0.9,1063,2.5
Port Douglas - Daintree,30604,48,1560,746,290,1462,0.8,1204,2.3
Tablelands (East) - Kuranda,30605,46,1430,522,240,1242,0.8,1002,2.4
Darling Downs (West) - Maranoa,30701,40,1300,701,195,1501,0.8,1220,2.5
Darling Downs - East,30702,40,1322,588,225,1404,0.8,1174,2.5
Granite Belt,30703,45,1300,515,230,1226,0.8,990,2.4
Central Highlands (Qld),30801,35,1820,850,170,2065,0.8,1703,2.7
Rockhampton,30803,38,1625,606,275,1555,0.8,1255,2.5
Biloela,30804,39,1517,745,192,1895,0.8,1545,2.6
Gladstone,30805,36,1950,669,250,1918,0.8,1547,2.6
Broadbeach - Burleigh,30901,42,1907,719,385,1720,0.8,1381,2.3
Coolangatta,30902,44,1860,634,360,1604,0.8,1244,2.4
Gold Coast - North,30903,44,1733,601,360,1430,0.8,1157,2.3
Gold Coast Hinterland,30904,45,1820,647,360,1621,0.8,1409,2.6
West Torrens,40403,38,1712,618,280,1627,0.9,1224,2.3
Robina,30908,38,1863,642,440,1617,0.8,1420,2.6
Southport,30909,38,1733,569,370,1453,0.9,1190,2.4
Surfers Paradise,30910,41,1950,688,375,1620,1.0,1266,2.2
Forest Lake - Oxley,31001,33,1733,577,340,1482,0.9,1351,2.9
Ipswich Hinterland,31002,42,1517,535,280,1354,0.8,1169,2.6
Ipswich Inner,31003,35,1517,637,280,1549,0.8,1325,2.6
Springfield - Redbank,31004,30,1733,710,345,1669,0.8,1572,3.1
Beaudesert,31101,42,1553,522,288,1283,0.8,1084,2.6
Beenleigh,31102,35,1560,590,320,1356,0.8,1172,2.6
Browns Plains,31103,32,1647,633,350,1500,0.9,1435,3.0
Jimboomba,31104,35,2000,711,400,1856,0.8,1842,3.2
Loganlea - Carbrook,31105,35,1733,669,350,1667,0.8,1489,2.8
Springwood - Kingston,31106,34,1603,582,310,1435,0.9,1284,2.8
Bowen Basin - North,31201,38,1560,927,150,2028,0.8,1588,2.6
Mackay,31202,38,1950,673,275,1774,0.8,1439,2.5
Whitsunday,31203,39,1733,734,300,1560,0.8,1258,2.4
Bribie - Beachmere,31301,55,1600,486,305,1152,0.7,931,2.2
Caboolture,31302,34,1625,554,310,1354,0.8,1209,2.8
Caboolture Hinterland,31303,42,1625,563,280,1399,0.8,1196,2.6
Narangba - Burpengary,31304,36,1755,625,326,1616,0.8,1439,2.9
Redcliffe,31305,45,1690,592,320,1447,0.8,1131,2.3
The Hills District,31401,38,2032,811,400,2219,0.8,2077,3.0
North Lakes,31402,32,1896,743,365,1765,0.8,1604,2.8
Strathpine,31403,35,1690,665,340,1596,0.8,1398,2.7
Far North,31501,34,1560,544,120,1207,1.1,1202,3.0
Outback - North,31502,36,1733,829,190,2080,0.9,1670,2.7
Toowoomba,31701,37,1560,643,285,1583,0.8,1295,2.5
Maryborough,31905,48,1213,459,240,1066,0.8,886,2.3
Barossa,40501,43,1387,628,250,1551,0.8,1261,2.5
Lower North,40502,47,1040,549,190,1298,0.7,1026,2.3
Mid North,40503,46,960,490,165,1219,0.7,913,2.2
Yorke Peninsula,40504,52,1083,481,200,1127,0.7,870,2.2
Eyre Peninsula and South West,40601,42,1257,585,180,1399,0.8,1084,2.3
Outback - North and East,40602,39,1204,722,160,1474,0.8,1217,2.4
Fleurieu - Kangaroo Island,40701,52,1300,504,250,1168,0.7,934,2.2
Limestone Coast,40702,42,1083,608,178,1406,0.8,1109,2.4
Swan,50403,33,2000,705,351,1826,0.8,1638,2.8
Adelaide City,40101,34,1733,627,380,2026,0.9,1255,1.9
Adelaide Hills,40102,42,1690,704,309,1872,0.8,1552,2.6
Norwood - Payneham - St Peters,40105,40,1800,674,300,1920,0.8,1304,2.2
Unley,40107,40,2000,782,315,2289,0.9,1631,2.4
Gawler - Two Wells,40201,40,1500,602,260,1550,0.8,1248,2.5
Playford,40202,32,1300,496,245,1208,0.8,1005,2.6
Port Adelaide - East,40203,35,1600,555,280,1436,0.8,1182,2.5
Salisbury,40204,35,1364,530,275,1327,0.8,1149,2.6
Tea Tree Gully,40205,40,1517,656,300,1685,0.8,1382,2.5
Mitcham,40303,41,1842,702,300,2070,0.8,1592,2.6
Onkaparinga,40304,39,1450,591,290,1451,0.8,1195,2.5
Charles Sturt,40401,41,1700,605,290,1600,0.8,1225,2.4
Port Adelaide - West,40402,41,1517,537,251,1410,0.8,1095,2.3
Murray and Mallee,40703,44,1083,524,185,1222,0.8,965,2.3
Augusta - Margaret River - Busselton,50101,41,1811,648,340,1565,0.8,1294,2.5
Bunbury,50102,38,1733,633,300,1695,0.7,1392,2.5
Manjimup,50103,47,1430,565,200,1364,0.7,1099,2.3
Mandurah,50201,43,1826,539,320,1437,0.7,1167,2.4
Cottesloe - Claremont,50301,40,3000,891,450,3387,0.8,2348,2.6
Perth City,50302,35,2167,966,400,2485,0.9,1887,2.2
Burnside,40103,43,2000,791,320,2320,0.8,1712,2.5
Campbelltown (SA),40104,41,1700,588,300,1614,0.8,1252,2.5
Bayswater - Bassendean,50401,37,1993,716,350,1875,0.8,1502,2.4
Mundaring,50402,41,1950,669,350,1896,0.8,1584,2.6
Prospect - Walkerville,40106,39,1950,760,300,2154,0.9,1600,2.4
Joondalup,50501,39,2100,763,410,2229,0.7,1950,2.8
Stirling,50502,36,2000,751,355,1983,0.8,1553,2.4
Wanneroo,50503,33,2058,696,375,1874,0.8,1692,2.9
Armadale,50601,33,1950,684,325,1719,0.8,1494,2.7
Belmont - Victoria Park,50602,34,2000,752,360,1855,0.8,1515,2.4
Canning,50603,34,1950,598,370,1780,0.8,1520,2.8
Gosnells,50604,34,1800,627,350,1656,0.8,1479,2.9
Kalamunda,50605,38,2000,718,380,1932,0.7,1656,2.7
Serpentine - Jarrahdale,50606,32,2134,756,380,1949,0.8,1854,3.0
South Perth,50607,37,2167,823,375,2385,0.8,1772,2.3
Cockburn,50701,35,2058,743,380,2028,0.8,1739,2.7
Fremantle,50702,42,2167,799,365,2272,0.8,1656,2.3
Kwinana,50703,32,1802,664,325,1669,0.8,1468,2.7
Melville,50704,41,2167,744,400,2286,0.7,1841,2.6
Rockingham,50705,34,1950,663,350,1812,0.7,1550,2.7
Albany,50901,43,1500,614,240,1451,0.8,1175,2.4
Wheat Belt - North,50902,44,1408,622,183,1498,0.7,1199,2.4
Wheat Belt - South,50903,43,1114,709,165,1554,0.7,1218,2.3
Kimberley,51001,39,2217,744,183,1759,1.0,1455,2.8
East Pilbara,51002,35,2383,1753,150,2854,0.9,2374,2.8
West Pilbara,51003,37,2500,1986,150,2936,0.9,2423,2.8
Esperance,51101,40,1625,693,230,1694,0.8,1334,2.5
Gascoyne,51102,51,1733,643,220,1687,0.9,1179,2.4
Goldfields,51103,34,1733,1056,250,2260,0.8,1932,2.6
Mid West,51104,41,1690,673,249,1585,0.8,1254,2.5
Brighton,60101,34,1300,571,215,1319,0.8,1123,2.6
Hobart - North East,60102,42,1442,674,265,1640,0.8,1297,2.4
Hobart - North West,60103,39,1300,553,240,1306,0.8,1010,2.3
Hobart - South and West,60104,40,1517,685,300,1739,0.8,1401,2.6
Hobart Inner,60105,39,1647,722,290,2021,0.8,1435,2.3
Sorell - Dodges Ferry,60106,42,1300,596,260,1417,0.8,1155,2.4
Launceston,60201,39,1300,573,230,1409,0.8,1077,2.3
Meander Valley - West Tamar,60202,47,1200,494,200,1231,0.8,975,2.4
North East,60203,47,1127,493,180,1195,0.8,921,2.3
Central Highlands (Tas.),60301,45,1100,515,150,1247,0.8,1007,2.4
Huon - Bruny Island,60302,46,1300,500,225,1250,0.8,1002,2.4
South East Coast,60303,54,1046,492,190,1027,0.8,841,2.1
Devonport,60402,44,1213,525,220,1252,0.8,1001,2.3
West Coast,60403,43,1040,573,150,1361,0.8,1061,2.3
Darwin City,70101,37,2247,1183,470,2692,0.9,2286,2.3
Darwin Suburbs,70102,35,2167,928,390,2272,1.0,2040,2.8
Litchfield,70103,39,2383,1119,390,2404,1.1,2102,2.8
Palmerston,70104,30,2253,1033,430,2373,0.9,2194,2.9
Holdfast Bay,40301,46,1800,750,300,1995,0.8,1359,2.2
Marion,40302,39,1625,625,300,1624,0.8,1260,2.4
Burnie - Ulverstone,60401,43,1148,514,200,1263,0.8,963,2.3
Alice Springs,70201,35,1950,795,180,1884,1.1,1667,2.8
Barkly,70202,33,1200,469,100,1102,1.2,1277,3.2
Daly - Tiwi - West Arnhem,70203,33,1500,363,55,784,1.4,1174,3.5
East Arnhem,70204,28,1679,348,45,1137,1.5,1926,4.1
Katherine,70205,34,1733,573,130,1263,1.3,1394,3.3
Belconnen,80101,35,2000,914,370,2285,0.8,1910,2.6
Canberra East,80103,40,1659,844,223,1912,0.9,990,1.8
Gungahlin,80104,31,2167,1045,390,2453,0.9,2243,2.9
North Canberra,80105,32,2167,933,390,2645,0.9,1977,2.2
South Canberra,80106,41,2358,1383,420,3178,0.8,2334,2.2
Tuggeranong,80107,37,2000,952,380,2340,0.8,2047,2.7
Weston Creek,80108,41,2167,1011,360,2523,0.7,2056,2.5
Woden Valley,80109,40,2167,1035,365,2554,0.8,2039,2.4
Molonglo,80110,30,2026,1329,400,2727,0.9,2311,2.5
Urriarra - Namadgi,80111,35,2600,1088,270,2847,0.9,2609,3.0
Christmas Island,90101,39,1700,1216,134,2389,1.0,2084,2.7
Cocos (Keeling) Islands,90102,44,1029,614,185,1375,1.0,1921,3.7
Jervis Bay,90103,31,0,960,85,1424,0.9,1483,3.2
Norfolk Island,90104,53,1300,609,140,1290,0.8,1023,2.2
