sa3_code_2011,sa3_name_2011,year,land_area_ha,wu_ag_area_ha,wu_irrigated_area_ha,wu_vol_wat_app_ml,wu_wat_oth_ag_use_ml,wu_tot_wat_use_ml,wu_app_rate_ml_per_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,esg_gen_meters,esg_non_gen_meters,esg_tot_meters,esg_meter_dwell_gen_elec_pc,mksfg_net_meters_kwh,mksfg_gross_meters_kwh,mksfg_non_gen_meters_kwh,solar_panel_system,solar_water_heater
10702,Illawarra Catchment Reserve,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,Illawarra Catchment Reserve,2012,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1667.0,,
10702,Illawarra Catchment Reserve,2011,74447.4,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
10702,Illawarra Catchment Reserve,2010,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
10703,Kiama - Shellharbour,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.0,3045.0
10703,Kiama - Shellharbour,2012,,,,,,,,,,,,,,,,,,,,,,,352.0,34464.0,34816.0,1.0,5124.0,4897.0,4972.0,,
10703,Kiama - Shellharbour,2011,39090.4,,,,,,,,,,,,,,,,,,,,,,82.0,34316.0,34398.0,0.2,5448.0,6656.0,5298.0,,
10703,Kiama - Shellharbour,2010,,,,,,,,,,,,,,,,,,,,,,,,34007.0,,,,,5529.0,,
10704,Wollongong,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891.0,3199.0
10704,Wollongong,2012,,,,,,,,,,,,,,,,,,,,,,,433.0,54414.0,54847.0,0.8,5076.0,4696.0,4312.0,,
10704,Wollongong,2011,23989.8,,,,,,,,,,,,,,,,,,,,,,125.0,54071.0,54196.0,0.2,4264.0,5371.0,4591.0,,
10704,Wollongong,2010,,,,,,,,,,,,,,,,,,,,,,,,53834.0,,,,3363.0,4744.0,,
10801,Great Lakes,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413.0,1900.0
10801,Great Lakes,2012,,,,,,,,,,,,,,,,,,,,,,,1655.0,16057.0,17712.0,9.3,4313.0,4657.0,3763.0,,
10801,Great Lakes,2011,313311.0,,,,,,,,,,,,,,,,,,,,,,1221.0,16440.0,17661.0,6.9,4630.0,4748.0,3985.0,,
10801,Great Lakes,2010,,,,,,,,,,,,,,,,,,,,,,,744.0,16834.0,17578.0,4.2,5018.0,5579.0,4711.0,,
10802,Kempsey - Nambucca,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684.0,4237.0
10802,Kempsey - Nambucca,2012,,,,,,,,,,,,,,,,,,,,,,,2149.0,19949.0,22098.0,9.7,3755.0,4427.0,4030.0,,
10802,Kempsey - Nambucca,2011,533933.3,,,,,,,,,,,,,,,,,,,,,,1642.0,20408.0,22050.0,7.4,4139.0,4609.0,4304.0,,
10802,Kempsey - Nambucca,2010,,,,,,,,,,,,,,,,,,,,,,,1024.0,20932.0,21956.0,4.7,5035.0,5097.0,5147.0,,
10803,Lord Howe Island,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,56.0
10803,Lord Howe Island,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,Lord Howe Island,2011,1629.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,Lord Howe Island,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10804,Port Macquarie,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6483.0,8196.0
10804,Port Macquarie,2012,,,,,,,,,,,,,,,,,,,,,,,4689.0,29809.0,34498.0,13.6,3867.0,4855.0,4434.0,,
10804,Port Macquarie,2011,368777.5,,,,,,,,,,,,,,,,,,,,,,3506.0,30702.0,34208.0,10.2,3832.0,5009.0,4714.0,,
10804,Port Macquarie,2010,,,,,,,,,,,,,,,,,,,,,,,1871.0,32019.0,33890.0,5.5,3280.0,5597.0,5374.0,,
10805,Taree - Gloucester,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271.0,4695.0
10805,Taree - Gloucester,2012,,,,,,,,,,,,,,,,,,,,,,,2707.0,22027.0,24734.0,10.9,4162.0,4973.0,4406.0,,
10805,Taree - Gloucester,2011,667430.8,,,,,,,,,,,,,,,,,,,,,,1952.0,22641.0,24593.0,7.9,4805.0,5159.0,4702.0,,
10805,Taree - Gloucester,2010,,,,,,,,,,,,,,,,,,,,,,,1162.0,23252.0,24414.0,4.8,3334.0,5784.0,5602.0,,
10901,Albury,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.0,828.0
10901,Albury,2012,,,,,,,,,,,,,,,,,,,,,,,2300.0,24431.0,26731.0,8.6,3423.0,5502.0,4043.0,,
10901,Albury,2011,559774.7,,,,,,,,,,,,,,,,,,,,,,1814.0,24711.0,26525.0,6.8,3432.0,5572.0,4266.0,,
10901,Albury,2010,,,,,,,,,,,,,,,,,,,,,,,1024.0,25260.0,26284.0,3.9,1671.0,6542.0,5316.0,,
10902,Lower Murray,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,357.0
10902,Lower Murray,2012,,,,,,,,,,,,,,,,,,,,,,,232.0,6289.0,6521.0,3.6,6978.0,8675.0,6397.0,,
10902,Lower Murray,2011,6396778.9,,,,,,,,,,,,,,,,,,,,,,149.0,6350.0,6499.0,2.3,8238.0,8537.0,6352.0,,
10902,Lower Murray,2010,,,,,,,,,,,,,,,,,,,,,,,86.0,6443.0,6529.0,1.3,12143.0,10975.0,7738.0,,
10903,Upper Murray exc. Albury,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755.0,831.0
10903,Upper Murray exc. Albury,2012,,,,,,,,,,,,,,,,,,,,,,,1554.0,19591.0,21145.0,7.3,5333.0,6936.0,5445.0,,
10903,Upper Murray exc. Albury,2011,2823074.2,,,,,,,,,,,,,,,,,,,,,,1061.0,19969.0,21030.0,5.0,4880.0,6816.0,5561.0,,
10903,Upper Murray exc. Albury,2010,,,,,,,,,,,,,,,,,,,,,,,614.0,20329.0,20943.0,2.9,10969.0,8056.0,6795.0,,
11001,Armidale,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.0,1327.0
11001,Armidale,2012,,,,,,,,,,,,,,,,,,,,,,,1021.0,15154.0,16175.0,6.3,4802.0,5880.0,5396.0,,
11001,Armidale,2011,1639543.3,,,,,,,,,,,,,,,,,,,,,,842.0,15189.0,16031.0,5.3,5486.0,5941.0,5488.0,,
11001,Armidale,2010,,,,,,,,,,,,,,,,,,,,,,,,15346.0,,,,6716.0,6556.0,,
11002,Inverell - Tenterfield,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407.0,1289.0
11002,Inverell - Tenterfield,2012,,,,,,,,,,,,,,,,,,,,,,,1027.0,16729.0,17756.0,5.8,4436.0,5788.0,4657.0,,
11002,Inverell - Tenterfield,2011,3056628.0,,,,,,,,,,,,,,,,,,,,,,699.0,16983.0,17682.0,4.0,4483.0,6001.0,4930.0,,
11002,Inverell - Tenterfield,2010,,,,,,,,,,,,,,,,,,,,,,,394.0,17243.0,17637.0,2.2,5111.0,6902.0,5921.0,,
11003,Moree - Narrabri,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914.0,554.0
11003,Moree - Narrabri,2012,,,,,,,,,,,,,,,,,,,,,,,1962.0,9527.0,11489.0,17.1,6815.0,7418.0,6167.0,,
11003,Moree - Narrabri,2011,3202768.9,,,,,,,,,,,,,,,,,,,,,,1487.0,10005.0,11492.0,12.9,8216.0,7591.0,6461.0,,
11003,Moree - Narrabri,2010,,,,,,,,,,,,,,,,,,,,,,,210.0,11250.0,11460.0,1.8,6241.0,9107.0,7956.0,,
11004,Tamworth - Gunnedah,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3857.0,2688.0
11004,Tamworth - Gunnedah,2012,,,,,,,,,,,,,,,,,,,,,,,1919.0,33430.0,35349.0,5.4,5322.0,6188.0,5432.0,,
11004,Tamworth - Gunnedah,2011,2015552.0,,,,,,,,,,,,,,,,,,,,,,1506.0,33572.0,35078.0,4.3,5607.0,6565.0,5780.0,,
11004,Tamworth - Gunnedah,2010,,,,,,,,,,,,,,,,,,,,,,,,33893.0,,,,7592.0,6872.0,,
11101,Lake Macquarie - East,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.0,4578.0
11101,Lake Macquarie - East,2012,,,,,,,,,,,,,,,,,,,,,,,3395.0,46372.0,49767.0,6.8,4169.0,6318.0,5756.0,,
11101,Lake Macquarie - East,2011,13809.5,,,,,,,,,,,,,,,,,,,,,,3189.0,46707.0,49896.0,6.4,5546.0,6506.0,5960.0,,
11101,Lake Macquarie - East,2010,,,,,,,,,,,,,,,,,,,,,,,1703.0,47870.0,49573.0,3.4,5991.0,7896.0,6392.0,,
11102,Lake Macquarie - West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4071.0,4526.0
11102,Lake Macquarie - West,2012,,,,,,,,,,,,,,,,,,,,,,,2609.0,26556.0,29165.0,8.9,3735.0,5926.0,6157.0,,
11102,Lake Macquarie - West,2011,50700.9,,,,,,,,,,,,,,,,,,,,,,2451.0,26905.0,29356.0,8.3,5097.0,5967.0,6367.0,,
11102,Lake Macquarie - West,2010,,,,,,,,,,,,,,,,,,,,,,,1277.0,27854.0,29131.0,4.4,5047.0,7696.0,6726.0,,
11103,Newcastle,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6418.0,3697.0
11103,Newcastle,2012,,,,,,,,,,,,,,,,,,,,,,,,66978.0,,,,,4512.0,,
11103,Newcastle,2011,22488.7,,,,,,,,,,,,,,,,,,,,,,3919.0,67836.0,71755.0,5.5,5072.0,5475.0,4919.0,,
11103,Newcastle,2010,,,,,,,,,,,,,,,,,,,,,,,2209.0,69205.0,71414.0,3.1,4338.0,6353.0,5005.0,,
11201,Richmond Valley - Coastal,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8070.0,8720.0
11201,Richmond Valley - Coastal,2012,,,,,,,,,,,,,,,,,,,,,,,5733.0,29354.0,35087.0,16.3,3985.0,4770.0,4211.0,,
11201,Richmond Valley - Coastal,2011,157275.8,,,,,,,,,,,,,,,,,,,,,,4812.0,30037.0,34849.0,13.8,3992.0,4867.0,4425.0,,
11201,Richmond Valley - Coastal,2010,,,,,,,,,,,,,,,,,,,,,,,3284.0,31326.0,34610.0,9.5,4650.0,5561.0,5316.0,,
11202,Richmond Valley - Hinterland,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530.0,6909.0
11202,Richmond Valley - Hinterland,2012,,,,,,,,,,,,,,,,,,,,,,,3955.0,25502.0,29457.0,13.4,4216.0,4735.0,4253.0,,
11202,Richmond Valley - Hinterland,2011,739051.2,,,,,,,,,,,,,,,,,,,,,,3190.0,26154.0,29344.0,10.9,4606.0,4929.0,4540.0,,
11202,Richmond Valley - Hinterland,2010,,,,,,,,,,,,,,,,,,,,,,,2011.0,27226.0,29237.0,6.9,5174.0,5499.0,5487.0,,
11203,Tweed Valley,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9030.0,7238.0
11203,Tweed Valley,2012,,,,,,,,,,,,,,,,,,,,,,,6104.0,33212.0,39316.0,15.5,3596.0,4402.0,3907.0,,
11203,Tweed Valley,2011,130744.2,,,,,,,,,,,,,,,,,,,,,,5369.0,33738.0,39107.0,13.7,3821.0,4505.0,4139.0,,
11203,Tweed Valley,2010,,,,,,,,,,,,,,,,,,,,,,,3204.0,35828.0,39032.0,8.2,3540.0,5161.0,4951.0,,
11301,Griffith - Murrumbidgee (West),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212.0,399.0
11301,Griffith - Murrumbidgee (West),2012,,,,,,,,,,,,,,,,,,,,,,,1079.0,19416.0,20495.0,5.3,6552.0,9100.0,5921.0,,
11301,Griffith - Murrumbidgee (West),2011,2886050.5,,,,,,,,,,,,,,,,,,,,,,758.0,19738.0,20496.0,3.7,4996.0,9087.0,6152.0,,
11301,Griffith - Murrumbidgee (West),2010,,,,,,,,,,,,,,,,,,,,,,,,20161.0,,,,9970.0,7695.0,,
11302,Tumut - Tumbarumba,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,269.0
11302,Tumut - Tumbarumba,2012,,,,,,,,,,,,,,,,,,,,,,,417.0,6725.0,7142.0,5.8,6037.0,6562.0,5081.0,,
11302,Tumut - Tumbarumba,2011,917493.6,,,,,,,,,,,,,,,,,,,,,,234.0,6900.0,7134.0,3.3,5264.0,6572.0,5332.0,,
11302,Tumut - Tumbarumba,2010,,,,,,,,,,,,,,,,,,,,,,,,6989.0,,,,7163.0,6641.0,,
11303,Wagga Wagga,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.0,1254.0
11303,Wagga Wagga,2012,,,,,,,,,,,,,,,,,,,,,,,2253.0,37167.0,39420.0,5.7,5144.0,6370.0,4432.0,,
11303,Wagga Wagga,2011,1895146.8,,,,,,,,,,,,,,,,,,,,,,1524.0,37700.0,39224.0,3.9,5025.0,6329.0,4662.0,,
11303,Wagga Wagga,2010,,,,,,,,,,,,,,,,,,,,,,,773.0,38143.0,38916.0,2.0,4962.0,7290.0,5778.0,,
11401,Shoalhaven,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6064.0,7096.0
11401,Shoalhaven,2012,,,,,,,,,,,,,,,,,,,,,,,292.0,52161.0,52453.0,0.6,5296.0,6854.0,4649.0,,
11401,Shoalhaven,2011,437476.5,,,,,,,,,,,,,,,,,,,,,,109.0,51732.0,51841.0,0.2,5813.0,9897.0,4893.0,,
11401,Shoalhaven,2010,,,,,,,,,,,,,,,,,,,,,,,,51318.0,,,,7288.0,5120.0,,
11402,Southern Highlands,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.0,1101.0
11402,Southern Highlands,2012,,,,,,,,,,,,,,,,,,,,,,,190.0,20945.0,21135.0,0.9,5630.0,8920.0,5358.0,,
11402,Southern Highlands,2011,232905.6,,,,,,,,,,,,,,,,,,,,,,59.0,20765.0,20824.0,0.3,5819.0,9201.0,5661.0,,
11402,Southern Highlands,2010,,,,,,,,,,,,,,,,,,,,,,,,20630.0,,,,12994.0,5842.0,,
11501,Baulkham Hills,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6353.0,2147.0
11501,Baulkham Hills,2012,,,,,,,,,,,,,,,,,,,,,,,1653.0,45317.0,46970.0,3.5,7040.0,6272.0,7585.0,,
11501,Baulkham Hills,2011,7200.3,,,,,,,,,,,,,,,,,,,,,,1032.0,45149.0,46181.0,2.2,7751.0,6489.0,8192.0,,
11501,Baulkham Hills,2010,,,,,,,,,,,,,,,,,,,,,,,334.0,45289.0,45623.0,0.7,7184.0,7816.0,8784.0,,
11502,Dural - Wisemans Ferry,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.0,769.0
11502,Dural - Wisemans Ferry,2012,,,,,,,,,,,,,,,,,,,,,,,337.0,9012.0,9349.0,3.6,11021.0,8935.0,9512.0,,
11502,Dural - Wisemans Ferry,2011,56917.5,,,,,,,,,,,,,,,,,,,,,,252.0,8970.0,9222.0,2.7,11640.0,9518.0,9879.0,,
11502,Dural - Wisemans Ferry,2010,,,,,,,,,,,,,,,,,,,,,,,136.0,9070.0,9206.0,1.5,10968.0,10175.0,10653.0,,
11503,Hawkesbury,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.0,765.0
11503,Hawkesbury,2012,,,,,,,,,,,,,,,,,,,,,,,120.0,9385.0,9505.0,1.3,9635.0,10134.0,7979.0,,
11503,Hawkesbury,2011,249146.7,,,,,,,,,,,,,,,,,,,,,,46.0,9282.0,9328.0,0.5,10630.0,9943.0,8633.0,,
11503,Hawkesbury,2010,,,,,,,,,,,,,,,,,,,,,,,,9321.0,,,,,8884.0,,
11504,Rouse Hill - McGraths Hill,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.0,419.0
11504,Rouse Hill - McGraths Hill,2012,,,,,,,,,,,,,,,,,,,,,,,,8981.0,,,6462.0,,7942.0,,
