sa3_name16,sa3_code16,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size
Melton - Bacchus Marsh,21304,33,1700,656,300,1686,0.9,1527,3.0
Wyndham,21305,32,1733,680,320,1702,0.9,1608,3.1
Frankston,21401,38,1621,660,306,1649,0.8,1331,2.5
Mornington Peninsula,21402,46,1733,630,310,1621,0.8,1276,2.4
Grampians,21501,46,1000,556,175,1301,0.7,993,2.2
Mildura,21502,40,1200,555,210,1340,0.8,1064,2.4
Murray River - Swan Hill,21503,45,1029,531,167,1265,0.8,983,2.3
Campaspe,21601,45,1300,562,200,1350,0.8,1083,2.4
Moira,21602,47,1235,524,200,1283,0.8,1014,2.4
Shepparton,21603,39,1300,588,220,1416,0.8,1162,2.5
Glenelg - Southern Grampians,21701,47,1083,556,180,1367,0.7,1043,2.3
Colac - Corangamite,21703,45,1200,562,200,1339,0.8,1051,2.3
Warrnambool,21704,41,1400,618,240,1493,0.8,1194,2.4
Capalaba,30101,39,1950,725,380,1896,0.8,1663,2.7
Cleveland - Stradbroke,30102,43,2000,658,400,1780,0.8,1451,2.6
Wynnum - Manly,30103,38,2050,783,400,2058,0.8,1731,2.7
Bald Hills - Everton Park,30201,38,2000,805,390,2123,0.8,1850,2.7
Chermside,30202,37,2000,792,370,2042,0.8,1612,2.4
Nundah,30203,35,1950,814,375,2003,0.8,1663,2.4
Sandgate,30204,38,1800,701,355,1787,0.8,1468,2.5
Carindale,30301,36,2167,852,420,2294,0.8,1943,2.7
Holland Park - Yeronga,30302,33,2056,829,360,2240,0.9,1727,2.4
Mt Gravatt,30303,34,2000,647,400,1853,0.8,1630,2.8
Nathan,30304,34,2000,689,375,1986,0.9,1653,2.7
Rocklea - Acacia Ridge,30305,33,1863,664,390,1734,0.8,1648,3.0
Mudgeeraba - Tallebudgera,30905,38,2000,691,410,1846,0.8,1738,3.0
Nerang,30906,38,1907,661,395,1663,0.8,1486,2.8
Ormeau - Oxenford,30907,34,2000,731,415,1822,0.8,1727,3.0
Outback - South,31503,41,997,670,130,1454,0.8,1119,2.3
Buderim,31601,40,1950,644,420,1674,0.8,1431,2.6
Caloundra,31602,44,1928,607,390,1475,0.8,1242,2.5
Maroochy,31603,44,1733,650,350,1462,0.8,1213,2.2
Noosa,31605,46,1804,630,410,1465,0.8,1237,2.4
Sunshine Coast Hinterland,31606,45,1733,572,330,1423,0.8,1248,2.6
Nambour,31607,42,1712,589,325,1449,0.8,1231,2.6
Noosa Hinterland,31608,47,1662,560,340,1380,0.8,1214,2.6
Charters Towers - Ayr - Ingham,31801,43,1300,552,190,1380,0.8,1106,2.4
Townsville,31802,34,1733,703,300,1705,0.8,1424,2.6
Bundaberg,31901,45,1365,495,260,1201,0.8,987,2.4
Burnett,31902,45,1105,471,200,1110,0.8,902,2.4
Gympie - Cooloola,31903,46,1300,479,250,1132,0.8,938,2.4
Hervey Bay,31904,48,1500,477,290,1107,0.7,926,2.3
Mid West,51104,40,1690,655,250,1585,0.8,1277,2.5
Brighton,60101,35,1300,573,215,1319,0.8,1125,2.6
Hobart - North East,60102,42,1445,672,265,1640,0.8,1300,2.4
Hobart - North West,60103,40,1300,552,240,1306,0.8,1012,2.3
Hobart - South and West,60104,41,1517,686,300,1739,0.8,1404,2.6
Stonnington - West,20606,34,2167,1111,401,2637,1.0,1913,2.0
Yarra,20607,33,2167,1037,421,2508,1.0,1958,2.1
Boroondara,20701,38,2500,869,406,2652,0.9,2083,2.6
Manningham - West,20702,43,2000,604,417,1781,0.8,1542,2.7
Whitehorse - West,20703,37,2000,595,381,1929,0.9,1471,2.6
Bayside,20801,44,2500,897,450,2765,0.8,2145,2.6
Darebin - North,20902,36,1800,556,326,1542,0.9,1287,2.5
Nillumbik - Kinglake,20903,41,2000,776,360,2268,0.8,2051,2.9
Whittlesea - Wallan,20904,34,1778,601,330,1586,0.9,1457,3.0
Keilor,21001,42,2000,655,360,1870,0.8,1541,2.7
Macedon Ranges,21002,41,1842,728,321,2029,0.8,1776,2.8
West Torrens,40403,38,1712,621,280,1627,0.9,1228,2.3
Barossa,40501,43,1387,635,250,1551,0.8,1267,2.5
Lower North,40502,47,1040,550,190,1298,0.7,1026,2.3
Mid North,40503,46,962,484,165,1219,0.7,909,2.2
Yorke Peninsula,40504,53,1083,480,200,1127,0.7,864,2.2
Eyre Peninsula and South West,40601,42,1257,576,180,1399,0.8,1073,2.3
Outback - North and East,40602,37,1204,640,160,1474,0.8,1212,2.4
Glen Eira,20802,37,2117,776,390,2238,0.9,1738,2.5
Kingston,20803,40,2000,749,356,2048,0.8,1581,2.5
Stonnington - East,20804,36,2500,909,381,2750,0.9,2011,2.5
Banyule,20901,39,1950,728,350,2033,0.8,1655,2.6
Moreland - North,21003,35,1800,584,340,1584,0.9,1345,2.6
Sunbury,21004,37,1600,695,315,1833,0.8,1567,2.7
Sunnybank,30306,33,1733,535,395,1495,0.9,1464,3.1
Centenary,30401,39,2000,813,410,2218,0.8,2035,2.9
Kenmore - Brookfield - Moggill,30402,40,2188,860,450,2534,0.8,2318,3.0
Sherwood - Indooroopilly,30403,30,2167,642,410,2330,0.9,1733,2.5
The Gap - Enoggera,30404,37,2068,833,375,2221,0.8,1885,2.7
Brisbane Inner,30501,32,2061,855,440,2272,1.0,1734,2.1
Brisbane Inner - East,30502,34,2400,1032,420,2684,0.9,2170,2.5
Brisbane Inner - North,30503,33,2167,951,395,2472,0.9,1879,2.3
Brisbane Inner - West,30504,32,2383,953,420,2728,0.9,2092,2.5
Cairns - North,30601,39,1733,768,340,1835,0.8,1554,2.6
Cairns - South,30602,36,1599,662,283,1486,0.9,1238,2.5
Innisfail - Cassowary Coast,30603,43,1300,540,215,1273,0.9,1071,2.5
Port Douglas - Daintree,30604,43,1560,677,280,1462,0.8,1171,2.3
Tablelands (East) - Kuranda,30605,45,1430,528,240,1242,0.8,1009,2.4
Darling Downs (West) - Maranoa,30701,38,1300,661,195,1501,0.8,1233,2.5
Darling Downs - East,30702,41,1322,589,225,1404,0.8,1179,2.5
Granite Belt,30703,45,1300,510,230,1226,0.8,988,2.4
Central Highlands (Qld),30801,33,1842,814,170,2065,0.8,1788,2.7
Rockhampton,30803,38,1625,623,275,1555,0.8,1268,2.5
Biloela,30804,37,1517,714,190,1895,0.8,1575,2.6
Gladstone,30805,35,1950,678,250,1918,0.8,1586,2.6
Broadbeach - Burleigh,30901,40,1907,721,380,1720,0.8,1388,2.3
Coolangatta,30902,42,1860,648,360,1604,0.8,1262,2.4
Gold Coast - North,30903,44,1733,604,360,1430,0.8,1158,2.3
Gold Coast Hinterland,30904,45,1820,639,360,1621,0.8,1417,2.6
Fleurieu - Kangaroo Island,40701,53,1300,504,250,1168,0.7,931,2.2
Limestone Coast,40702,42,1083,607,177,1406,0.8,1109,2.4
Murray and Mallee,40703,45,1083,523,184,1222,0.8,965,2.3
Augusta - Margaret River - Busselton,50101,41,1816,658,340,1565,0.8,1296,2.5
Bunbury,50102,39,1733,643,300,1695,0.7,1396,2.5
Manjimup,50103,47,1430,566,200,1364,0.7,1094,2.3
Mandurah,50201,43,1826,553,320,1437,0.7,1169,2.4
Cottesloe - Claremont,50301,40,3000,926,450,3387,0.8,2358,2.6
Perth City,50302,35,2167,973,400,2485,0.9,1906,2.2
Bayswater - Bassendean,50401,38,1999,728,350,1875,0.8,1507,2.4
Mundaring,50402,42,1950,682,350,1896,0.8,1590,2.6
Swan,50403,34,2000,721,355,1826,0.8,1643,2.8
Joondalup,50501,40,2100,776,410,2229,0.7,1957,2.8
Robina,30908,38,1863,651,440,1617,0.8,1422,2.6
Southport,30909,37,1733,575,370,1453,0.9,1196,2.4
Surfers Paradise,30910,40,1950,672,375,1620,1.0,1275,2.2
Forest Lake - Oxley,31001,33,1733,580,340,1482,0.9,1354,2.9
Ipswich Hinterland,31002,42,1517,538,280,1354,0.8,1172,2.6
Ipswich Inner,31003,35,1517,640,280,1549,0.8,1325,2.6
Springfield - Redbank,31004,30,1733,715,345,1669,0.8,1575,3.1
Beaudesert,31101,42,1550,524,288,1283,0.8,1088,2.6
Beenleigh,31102,35,1560,591,320,1356,0.8,1174,2.6
Browns Plains,31103,32,1647,636,350,1500,0.9,1437,3.0
Jimboomba,31104,35,2000,717,400,1856,0.8,1846,3.2
Loganlea - Carbrook,31105,35,1733,672,350,1667,0.8,1491,2.8
Springwood - Kingston,31106,34,1603,584,310,1435,0.9,1285,2.8
Bowen Basin - North,31201,34,1579,772,150,2028,0.8,1686,2.6
Mackay,31202,37,1950,698,277,1774,0.8,1456,2.5
Whitsunday,31203,37,1733,735,300,1560,0.8,1321,2.4
Bribie - Beachmere,31301,55,1603,489,305,1152,0.7,932,2.2
Caboolture,31302,34,1625,558,310,1354,0.8,1212,2.8
Caboolture Hinterland,31303,42,1625,568,280,1399,0.8,1203,2.6
Narangba - Burpengary,31304,37,1755,629,326,1616,0.8,1441,2.9
Redcliffe,31305,45,1690,595,320,1447,0.8,1132,2.3
The Hills District,31401,38,2035,821,400,2219,0.8,2081,3.0
North Lakes,31402,32,1900,751,365,1765,0.8,1606,2.8
Strathpine,31403,36,1690,669,340,1596,0.8,1400,2.7
Far North,31501,31,1600,494,120,1207,1.1,1184,3.0
Outback - North,31502,32,1768,842,195,2080,0.9,1833,2.7
Toowoomba,31701,37,1560,649,285,1583,0.8,1298,2.5
Maryborough,31905,48,1213,457,240,1066,0.8,880,2.3
Stirling,50502,37,2000,761,355,1983,0.8,1558,2.4
Wanneroo,50503,33,2058,708,375,1874,0.8,1695,2.9
Armadale,50601,33,1950,698,325,1719,0.8,1497,2.7
Belmont - Victoria Park,50602,34,2000,761,360,1855,0.8,1522,2.4
Canning,50603,35,1950,605,370,1780,0.8,1524,2.8
Gosnells,50604,34,1800,636,350,1656,0.8,1482,2.9
Kalamunda,50605,39,2000,732,380,1932,0.7,1661,2.7
Serpentine - Jarrahdale,50606,32,2136,773,380,1949,0.8,1858,3.0
South Perth,50607,37,2173,838,375,2385,0.8,1780,2.3
Cockburn,50701,35,2058,761,380,2028,0.8,1745,2.7
Fremantle,50702,42,2167,810,360,2272,0.8,1677,2.3
Kwinana,50703,32,1813,684,325,1669,0.8,1471,2.7
Adelaide City,40101,30,1733,553,375,2026,0.9,1266,1.9
Adelaide Hills,40102,42,1690,709,309,1872,0.8,1558,2.6
Norwood - Payneham - St Peters,40105,40,1800,681,300,1920,0.8,1307,2.2
Unley,40107,41,2000,791,315,2289,0.9,1636,2.4
Gawler - Two Wells,40201,40,1500,607,260,1550,0.8,1252,2.5
Playford,40202,33,1300,497,245,1208,0.8,1008,2.6
Port Adelaide - East,40203,35,1600,558,280,1436,0.8,1185,2.5
Salisbury,40204,35,1365,533,275,1327,0.8,1150,2.6
Tea Tree Gully,40205,41,1517,658,300,1685,0.8,1385,2.5
Mitcham,40303,42,1842,713,300,2070,0.8,1596,2.6
Onkaparinga,40304,40,1450,594,290,1451,0.8,1197,2.5
Charles Sturt,40401,41,1700,611,290,1600,0.8,1227,2.4
Port Adelaide - West,40402,41,1517,542,250,1410,0.8,1096,2.3
Melville,50704,41,2167,757,400,2286,0.7,1846,2.6
Rockingham,50705,34,1950,682,350,1812,0.7,1555,2.7
Albany,50901,44,1500,613,240,1451,0.8,1178,2.4
Wheat Belt - North,50902,45,1408,617,185,1498,0.7,1199,2.4
Wheat Belt - South,50903,44,1109,672,168,1554,0.7,1220,2.3
Kimberley,51001,32,2383,748,180,1759,1.0,1592,2.8
East Pilbara,51002,32,2500,1554,150,2854,0.9,2476,2.8
West Pilbara,51003,33,2600,1763,150,2936,0.9,2569,2.8
Esperance,51101,40,1625,682,230,1694,0.8,1345,2.5
Burnside,40103,44,2000,807,320,2320,0.8,1716,2.5
Campbelltown (SA),40104,41,1700,589,300,1614,0.8,1255,2.5
Gascoyne,51102,38,1783,717,200,1687,0.9,1337,2.4
Goldfields,51103,33,1733,938,250,2260,0.8,1980,2.6
Prospect - Walkerville,40106,39,1950,766,300,2154,0.9,1607,2.4
Hobart Inner,60105,39,1647,718,290,2021,0.8,1438,2.3
Sorell - Dodges Ferry,60106,43,1300,595,260,1417,0.8,1156,2.4
Launceston,60201,40,1300,573,230,1409,0.8,1079,2.3
Meander Valley - West Tamar,60202,47,1200,495,200,1231,0.8,977,2.4
North East,60203,48,1127,491,180,1195,0.8,920,2.3
Central Highlands (Tas.),60301,45,1100,509,151,1247,0.8,1002,2.4
Huon - Bruny Island,60302,47,1300,502,228,1250,0.8,1001,2.4
South East Coast,60303,56,1040,486,190,1027,0.8,829,2.1
Devonport,60402,45,1213,522,220,1252,0.8,1001,2.3
West Coast,60403,43,1036,550,150,1361,0.8,1049,2.3
Darwin City,70101,34,2253,1195,470,2692,0.9,2320,2.3
Darwin Suburbs,70102,34,2167,956,390,2272,1.0,2075,2.8
Litchfield,70103,37,2400,1090,400,2404,1.1,2219,2.8
Palmerston,70104,30,2253,1056,430,2373,0.9,2199,2.9
Holdfast Bay,40301,46,1800,751,300,1995,0.8,1362,2.2
Marion,40302,39,1625,629,300,1624,0.8,1263,2.4
Burnie - Ulverstone,60401,44,1148,515,200,1263,0.8,964,2.3
Alice Springs,70201,33,1950,788,180,1884,1.1,1715,2.8
Barkly,70202,29,1200,441,100,1102,1.2,1366,3.2
Daly - Tiwi - West Arnhem,70203,30,1500,299,55,784,1.4,1134,3.5
East Arnhem,70204,27,1733,317,50,1137,1.5,1944,4.1
Katherine,70205,29,1733,531,130,1263,1.3,1485,3.3
Belconnen,80101,35,2000,919,370,2285,0.8,1915,2.6
Canberra East,80103,41,1659,713,228,1912,0.9,972,1.8
Gungahlin,80104,31,2167,1052,390,2453,0.9,2247,2.9
North Canberra,80105,31,2167,925,390,2645,0.9,1981,2.2
South Canberra,80106,40,2379,1376,420,3178,0.8,2333,2.2
Tuggeranong,80107,37,2000,955,380,2340,0.8,2051,2.7
Weston Creek,80108,41,2167,1020,360,2523,0.7,2064,2.5
Woden Valley,80109,40,2167,1044,360,2554,0.8,2040,2.4
Molonglo,80110,30,2015,1340,400,2727,0.9,2319,2.5
Urriarra - Namadgi,80111,34,2600,1090,300,2847,0.9,2656,3.0
Christmas Island,90101,38,1717,1164,152,2389,1.0,2141,2.7
Cocos (Keeling) Islands,90102,42,1029,563,166,1375,1.0,1859,3.7
Jervis Bay,90103,32,0,629,128,1424,0.9,1542,3.2
Norfolk Island,90104,49,1300,592,138,1290,0.8,1012,2.2
