gml_id,sa3_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624f,"20501","18292","19853","38145","8317","3945","12263","2188","5350","7533","571","666","1242","624","624","1243","11697","10586","22284","5400","7922","13327",5.3,5.9,5.6,63.9,53.3,58.4,60.6,50.2,55.2,"365","436","802","274","587","860","1372","2359","3731","1237","2171","3408","5575","2647","8217","136","341","476","232","464","692","5936","3455","9389","17765","18637","36405","3081","3487","6566","11771","12224","23995","8149","9026","17177",Baw Baw
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6250,"20502","17814","18864","36677","5797","3116","8906","2203","4561","6766","592","641","1234","648","496","1140","9235","8814","18048","7072","8371","15441",7,5.6,6.3,51.8,46.7,49.2,48.2,44.1,46.1,"261","299","556","178","466","648","1059","1922","2980","1171","1929","3098","5074","2244","7322","159","351","511","335","436","768","5570","3031","8605","16544","17143","33694","2624","2854","5477","11620","11756","23375","6688","7379","14068",Gippsland - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6251,"20503","23695","25675","49372","8690","4208","12902","3263","6681","9942","765","905","1665","834","661","1490","13549","12451","25998","8471","11370","19840",6.2,5.3,5.7,57.2,48.5,52.7,53.7,45.9,49.6,"419","535","947","319","697","1016","1721","2873","4598","1566","2727","4290","6942","2989","9933","200","405","605","388","635","1019","7530","4025","11554","22451","23631","46088","3854","4327","8178","15375","15898","31266","9647","10937","20587",Gippsland - South West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6252,"20504","28157","30344","58507","11242","5386","16628","2970","7676","10648","829","936","1767","1830","1303","3137","16875","15302","32179","8997","12586","21581",10.8,8.5,9.7,59.9,50.4,55,53.4,46.1,49.6,"448","480","925","280","586","873","1699","2927","4625","1722","2612","4331","8747","4002","12749","263","556","813","416","620","1028","9424","5174","14592","27004","28173","55176","4100","4605","8707","19325","19901","39225","10387","11572","21956",Latrobe Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6253,"20505","17221","17005","34229","7007","3409","10415","1767","4420","6187","561","576","1140","677","488","1166","10014","8893","18906","5957","6894","12856",6.8,5.5,6.2,58.1,52.3,55.2,54.2,49.4,51.8,"217","287","505","180","422","606","1043","1879","2920","1047","1626","2675","4948","2134","7087","132","287","422","212","385","600","5298","2806","8103","15794","16087","31879","2524","2647","5172","11052","11137","22183","6432","6761","13189",Wellington
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6254,"20601","35159","38063","73215","16715","12321","29039","5733","9805","15532","886","1164","2048","1685","1468","3152","25019","24753","49771","8156","11273","19424",6.7,5.9,6.3,71.2,65,68,66.4,61.2,63.7,"3498","4334","7831","1143","2074","3219","8684","10384","19070","2795","3168","5967","4366","2015","6383","181","242","427","349","479","831","4897","2734","7633","29586","31687","61272","8030","8516","16545","18643","20380","39020","17853","18851","36699",Brunswick - Coburg
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6255,"20602","19912","22927","42837","9693","7522","17209","3216","6308","9528","484","714","1196","785","723","1509","14183","15268","29450","4548","6346","10892",5.5,4.7,5.1,71.2,66.6,68.7,67.3,63.4,65.2,"2019","2817","4836","764","1549","2310","5105","6531","11637","1596","1892","3490","2296","1177","3474","105","118","219","221","270","491","2621","1563","4187","18152","20105","38260","3858","4607","8460","12008","13415","25425","9209","10633","19841",Darebin - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6256,"20603","26104","28769","54878","12821","8769","21594","3799","7308","11106","643","909","1549","1152","1027","2182","18415","18013","36435","6029","8899","14920",6.3,5.7,6,70.5,62.6,66.4,66.1,59,62.4,"2276","2489","4766","746","1396","2142","6109","7366","13477","2293","2692","4983","3555","1607","5166","159","202","361","309","494","803","4028","2306","6334","23311","25342","48655","5278","5591","10868","15274","16745","32023","12443","13300","25746",Essendon
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6257,"20604","71789","75694","147479","26757","20338","47094","9077","12707","21778","1674","2170","3847","3862","4444","8303","41368","39661","81023","17990","23833","41821",9.3,11.2,10.2,57.6,52.4,54.9,52.2,46.5,49.3,"7939","8467","16407","1442","2210","3651","19509","20876","40382","5025","5418","10445","3937","2470","6410","239","375","606","542","762","1302","4717","3598","8319","38709","40605","79315","22784","25384","48175","15798","16308","32103","44830","48677","93513",Melbourne City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6258,"20605","43218","45403","88619","22555","18017","40578","5307","9111","14415","957","1382","2343","1628","1474","3106","30452","29986","60436","8052","10834","18890",5.3,4.9,5.1,70.5,66,68.2,66.7,62.8,64.7,"4563","5127","9686","1204","2239","3442","11836","13441","25275","3775","4683","8459","4713","2479","7196","235","291","525","515","734","1244","5462","3508","8964","31869","33237","65104","10486","11107","21590","17054","17886","34942","24431","25769","50200",Port Phillip
