SA3_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA3_NAME11
12801,7962,4740,3377,1282,53127,Cronulla - Miranda - Caringbah
12802,8491,4139,2046,843,52226,Sutherland - Menai - Heathcote
19797,10,15,14,0,66,Migratory - Offshore - Shipping (NSW)
19999,1017,563,136,71,7323,Special Purpose Codes SA3 (NSW)
20101,6033,3573,2237,937,41113,Ballarat
20102,2521,1383,588,195,11972,Creswick - Daylesford - Ballan
20103,1990,1327,611,206,9305,Maryborough - Pyrenees
20201,5563,3197,2105,937,36449,Bendigo
20202,4162,2561,1159,524,20504,Heathcote - Castlemaine - Kyneton
20203,847,490,274,86,4222,Loddon - Elmore
20301,1292,602,259,104,7112,Barwon - West
20302,10775,6465,4336,1815,75775,Geelong
20303,5573,3588,1897,709,29737,Surf Coast - Bellarine Peninsula
20401,3975,2577,1313,449,21009,Upper Goulburn Valley
20402,3385,1985,1223,527,18362,Wangaratta - Benalla
20403,4976,2634,1417,519,28162,Wodonga - Alpine
20501,3221,1902,947,335,18193,Baw Baw
10101,5084,3131,1620,583,28393,Goulburn - Yass
10102,3880,1791,676,234,25046,Queanbeyan
10103,1549,873,470,169,8854,Snowy Mountains
10104,7038,4765,2541,959,30828,South Coast
10201,12519,8113,5495,2669,76227,Gosford
10202,9204,6697,4441,1678,60510,Wyong
10301,3121,1757,948,333,19227,Bathurst
10302,3454,2263,1362,471,20248,Lachlan Valley
10303,3165,2048,1074,362,17987,Lithgow - Mudgee
10304,3689,2056,1119,333,22892,Orange
10401,4092,2552,1467,457,19831,Clarence Valley
10402,7055,3974,2295,1048,36239,Coffs Harbour
10501,1331,833,493,107,8854,Bourke - Cobar - Coonamble
10502,1348,767,637,283,8002,Broken Hill and Far West
10503,4122,2473,1311,456,26307,Dubbo
10601,5326,2722,1373,428,32463,Lower Hunter
10602,3915,2044,1116,392,26747,Maitland
10603,5268,4122,2099,731,29601,Port Stephens
10604,1646,898,518,169,11708,Upper Hunter
10701,4210,2579,1744,577,28452,Dapto - Port Kembla
10702,0,0,0,0,10,Illawarra Catchment Reserve
10703,5933,3370,1901,577,35631,Kiama - Shellharbour
10704,8671,4848,3081,1154,59445,Wollongong
10801,2570,2220,1439,585,13058,Great Lakes
10802,3956,2553,1421,557,19106,Kempsey - Nambucca
10803,34,39,11,0,193,Lord Howe Island
10804,5850,4494,3051,1209,32846,Port Macquarie
10805,4327,3034,1688,626,21138,Taree - Gloucester
10901,3942,2195,1290,576,24968,Albury
10902,677,462,235,84,4322,Lower Murray
30201,2564,1361,782,278,17371,Bald Hills - Everton Park
30202,3497,2064,1734,903,31394,Chermside
30203,1906,954,529,300,16387,Nundah
30204,3005,1757,1304,693,23422,Sandgate
50803,1883,654,210,74,17395,Goldfields
50804,1733,564,162,40,14874,Kimberley
50805,3168,1698,854,231,20909,Mid West
50806,2978,470,88,12,32297,Pilbara
50901,3838,2286,1195,430,22109,Albany
50902,3758,2171,962,286,19574,Wheat Belt - North
50903,1199,654,323,117,7342,Wheat Belt - South
59797,24,6,3,3,300,Migratory - Offshore - Shipping (WA)
59999,765,318,56,9,4304,Special Purpose Codes SA3 (WA)
60101,828,399,146,52,5221,Brighton
60102,3706,2284,1362,543,22015,Hobart - North East
60103,2661,1835,1211,449,18981,Hobart - North West
60104,2546,1440,824,299,14835,Hobart - South and West
60105,4496,2228,1336,680,27155,Hobart Inner
60106,1024,617,303,90,6180,Sorell - Dodges Ferry
60201,4913,2925,1932,808,32531,Launceston
60202,1833,1070,492,147,8777,Meander Valley - West Tamar
60203,2782,1738,851,252,13658,North East
60301,820,426,157,27,3998,Central Highlands (Tas.)
60302,1570,927,355,82,7474,Huon - Bruny Island
11802,7964,4396,2674,1238,72299,Eastern Suburbs - South
21205,10482,7242,4543,1824,82384,Monash
21301,7642,3705,1986,743,65448,Brimbank
21302,4402,2302,1566,633,35976,Hobsons Bay
20904,7099,3333,1795,636,64335,Whittlesea - Wallan
30303,3910,2274,1320,621,31739,Mt Gravatt
30305,2826,1158,537,213,23270,Rocklea - Acacia Ridge
30501,3821,1697,767,447,37917,Brisbane Inner
30502,2099,822,428,162,20920,Brisbane Inner - East
30503,4589,2178,1123,499,42142,Brisbane Inner - North
30504,3611,1553,715,266,31179,Brisbane Inner - West
30601,3439,1546,506,205,22474,Cairns - North
30602,5544,2767,1295,506,41138,Cairns - South
30603,2132,1244,627,170,12203,Innisfail - Cassowary Coast
30604,861,481,157,34,5098,Port Douglas - Daintree
30605,2938,1917,885,329,15463,Tablelands (East) - Kuranda
30701,2037,1107,543,179,15211,Darling Downs (West) - Maranoa
30702,2138,1288,686,251,14080,Darling Downs - East
30703,2571,1638,839,358,13692,Granite Belt
30801,1287,484,175,52,11564,Central Highlands (Qld)
30802,3817,1849,794,224,28463,Gladstone - Biloela
30306,2752,1339,585,234,21563,Sunnybank
30401,2672,1208,540,288,16037,Centenary
30402,4085,2382,1082,512,23309,Kenmore - Brookfield - Moggill
30403,3337,1797,992,480,26785,Sherwood - Indooroopilly
30404,3077,1628,957,517,22939,The Gap - Enoggera
30803,6398,3590,2201,867,43190,Rockhampton
30901,4113,2631,1728,678,29370,Broadbeach - Burleigh
30902,3604,2187,1421,585,23089,Coolangatta
30903,4274,3185,1883,894,27934,Gold Coast - North
30904,1654,993,359,95,8158,Gold Coast Hinterland
30905,2102,1031,363,118,13509,Mudgeeraba - Tallebudgera
30906,3736,2097,1003,373,26437,Nerang
30907,5022,2633,1035,339,38714,Ormeau - Oxenford
31602,4823,3727,2340,882,30722,Caloundra
31603,3908,2330,1282,513,24419,Maroochy
31604,4768,2827,1275,502,25660,Nambour - Pomona
31605,3209,2388,1215,546,17383,Noosa
31606,4080,2575,1033,337,20711,Sunshine Coast Hinterland
31701,8070,4774,2837,1261,56756,Toowoomba
31801,2339,1503,848,267,14462,Charters Towers - Ayr - Ingham
31802,9557,4683,2270,866,74028,Townsville
31901,5615,4053,2209,754,32257,Bundaberg
31902,3067,2054,918,347,16425,Burnett
31903,3288,2203,1031,397,17365,Gympie - Cooloola
31904,3856,3151,1652,573,21385,Hervey Bay
31905,3211,2159,1017,378,16530,Maryborough
39797,34,23,20,6,270,Migratory - Offshore - Shipping (Qld)
39999,1420,710,168,27,6637,Special Purpose Codes SA3 (Qld)
60303,689,516,191,80,2747,South East Coast
60401,2982,2030,1222,470,18501,Burnie - Ulverstone
60402,2930,1810,1006,402,16748,Devonport
31501,1463,588,172,40,10843,Far North
31502,1446,636,251,51,13147,Outback - North
31503,961,507,289,84,6758,Outback - South
31601,3028,2097,1402,536,20572,Buderim
40402,3318,1555,1067,488,22872,Port Adelaide - West
11702,2715,1183,598,223,27636,Marrickville - Sydenham - Petersham
11703,9842,4760,2243,791,119217,Sydney Inner City
11801,9320,5680,3084,1615,76631,Eastern Suburbs - North
20606,3980,2645,1462,609,35349,Stonnington - West
20607,4716,2228,966,329,46737,Yarra
20701,13882,7438,4375,2451,89737,Boroondara
20702,6297,5008,2601,1036,42488,Manningham - West
20703,6241,3983,3189,1530,50030,Whitehorse - West
20801,8205,4917,2991,1794,48795,Bayside
21001,3420,2331,1355,438,23827,Keilor
21002,2205,1140,407,111,12059,Macedon Ranges
21003,2482,1677,1810,875,28621,Moreland - North
21004,2290,1052,591,182,15494,Sunbury
21005,4746,2483,1176,268,45197,Tullamarine - Broadmeadows
21101,9968,5233,2744,1169,66734,Knox
21102,2266,1325,548,197,12615,Manningham - East
21103,6733,4035,2513,1222,48270,Maroondah
21104,3972,2684,1572,711,28388,Whitehorse - East
21105,10856,5665,2530,961,64258,Yarra Ranges
21201,3966,2282,969,316,30017,Cardinia
21202,6510,3179,1755,621,50423,Casey - North
21203,5044,2450,1180,362,48252,Casey - South
21204,7927,4846,3024,1099,66374,Dandenong
20802,9809,4732,3396,1949,74285,Glen Eira
20803,6986,4070,2832,1244,52710,Kingston
20804,3150,1735,1023,570,22397,Stonnington - East
20901,8753,4981,2964,1416,58973,Banyule
20902,3482,1998,1568,790,39438,Darebin - North
20903,5657,2362,752,315,30845,Nillumbik - Kinglake
30301,2907,1371,881,339,22547,Carindale
30302,3660,1705,1147,531,36104,Holland Park - Yeronga
30304,2019,1179,779,376,18438,Nathan
40107,3340,1516,869,822,20273,Unley
40201,1753,975,647,187,12014,Gawler - Two Wells
40202,3117,1839,1350,441,25753,Playford
40203,2990,1850,1313,620,27043,Port Adelaide - East
40204,6116,3450,1969,750,46680,Salisbury
40205,6444,3710,1862,644,39646,Tea Tree Gully
40403,2999,1929,1523,864,27386,West Torrens
40501,2286,1163,618,243,12956,Barossa
40502,1522,889,474,193,7944,Lower North
40503,1645,1009,642,216,9263,Mid North
40504,1583,1327,721,214,8301,Yorke Peninsula
40601,3224,1929,1086,370,20975,Eyre Peninsula and South West
40602,1619,779,365,112,11306,Outback - North and East
40701,4177,3376,1800,605,19965,Fleurieu - Kangaroo Island
40702,3574,1895,1132,484,22305,Limestone Coast
40703,3938,2439,1347,593,23822,Murray and Mallee
49797,0,0,0,0,6,Migratory - Offshore - Shipping (SA)
49999,242,123,65,66,1632,Special Purpose Codes SA3 (SA)
50101,2908,1780,1005,313,18441,Augusta - Margaret River - Busselton
50102,5704,2957,1577,562,38763,Bunbury
50103,1801,1039,366,117,8352,Manjimup
50201,5440,4506,2718,847,34240,Mandurah
50301,6259,3849,2126,1020,35924,Cottesloe - Claremont
50302,6653,3077,1664,905,56937,Perth City
50401,4917,2761,1511,637,36782,Bayswater - Bassendean
50402,3413,1870,804,243,19040,Mundaring
50403,5283,2681,1217,443,40819,Swan
50501,12353,5171,2398,858,72078,Joondalup
50502,11111,6965,4302,1748,88540,Stirling
50503,6613,3617,1875,750,60987,Wanneroo
60403,1077,609,254,66,6317,West Coast
69797,9,9,0,0,84,Migratory - Offshore - Shipping (Tas.)
69999,92,44,10,0,539,Special Purpose Codes SA3 (Tas.)
70101,1678,630,229,47,13245,Darwin City
70102,3603,1451,470,107,25400,Darwin Suburbs
70103,1333,550,147,26,8608,Litchfield
50603,5635,3017,1827,1069,43259,Canning
50801,833,567,295,99,5992,Esperance
50802,637,360,143,31,3878,Gascoyne
30908,2781,1728,1003,489,20731,Robina
30910,2785,1817,917,329,18870,Surfers Paradise
31001,2703,1592,908,450,25429,Forest Lake - Oxley
31002,3672,2115,876,292,20791,Ipswich Hinterland
31003,4935,2794,1548,536,36517,Ipswich Inner
31004,2467,1094,379,89,23937,Springfield - Redbank
31101,704,495,238,98,4430,Beaudesert
40101,1491,850,394,206,12169,Adelaide City
40102,6208,2951,1130,431,31810,Adelaide Hills
31102,2019,1151,627,178,14028,Beenleigh
31103,3137,1457,706,213,24771,Browns Plains
31104,1982,859,250,49,13893,Jimboomba
31105,3270,1638,787,347,21989,Loganlea - Carbrook
31106,4297,2150,716,274,28949,Springwood - Kingston
31201,1611,696,295,90,14103,Bowen Basin - North
31202,6057,2840,1489,538,45754,Mackay
31203,1248,574,219,63,8828,Whitsunday
31301,2538,2395,1309,355,12624,Bribie - Beachmere
31302,2936,1625,953,439,21733,Caboolture
31303,797,469,138,28,4548,Caboolture Hinterland
31304,3107,1722,751,255,21895,Narangba - Burpengary
31305,3983,2574,1575,713,23760,Redcliffe
31401,5388,2339,765,254,36074,Hills District
31402,2338,1176,592,256,20600,North Lakes
31403,1920,946,419,200,14021,Strathpine
40103,4303,2705,1601,830,23084,Burnside
40104,2791,2054,1270,474,21445,Campbelltown (SA)
40105,2698,1392,899,512,18587,Norwood - Payneham - St Peters
40304,11174,5990,3139,1314,67185,Onkaparinga
40401,6207,3556,2592,1313,44002,Charles Sturt
40106,2080,973,649,300,13764,Prospect - Walkerville
70104,1058,361,134,44,11537,Palmerston
70202,277,138,22,3,1976,Barkly
70203,651,212,52,7,4208,Daly - Tiwi - West Arnhem
70205,822,317,85,18,6310,Katherine
79797,7,7,3,3,73,Migratory - Offshore - Shipping (NT)
79999,248,116,4,0,1087,Special Purpose Codes SA3 (NT)
40301,3036,1626,1276,811,17294,Holdfast Bay
40302,5683,3037,2240,1069,38730,Marion
40303,5448,3156,1884,877,31997,Mitcham
50601,3815,1977,1040,277,25467,Armadale
50602,3448,1824,1145,474,32650,Belmont - Victoria Park
50604,5573,3013,1466,454,43759,Gosnells
50605,4020,2428,1184,400,23381,Kalamunda
50606,1055,522,196,63,7151,Serpentine - Jarrahdale
50607,3355,1629,909,570,22912,South Perth
50701,4472,2213,1131,359,38289,Cockburn
50702,3070,1567,896,385,18442,Fremantle
50703,1237,719,390,105,11614,Kwinana
50704,8452,4422,2912,1295,50749,Melville
50705,5106,3159,1834,597,42630,Rockingham
70201,2063,662,206,71,15543,Alice Springs
80101,7103,3841,1645,640,48084,Belconnen
80102,31,15,0,0,272,Cotter - Namadgi
80103,132,64,23,9,906,Fyshwick - Pialligo - Hume
80104,2130,848,248,50,23242,Gungahlin
80105,3276,1604,1073,474,28833,North Canberra
80106,2575,1220,705,462,15245,South Canberra
80107,6545,2382,864,239,39474,Tuggeranong
80108,2017,1425,665,252,12170,Weston Creek
80109,2811,2024,1226,497,18941,Woden
89797,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,45,19,0,3,391,Special Purpose Codes SA3 (ACT)
90101,123,21,5,0,1349,Christmas Island
90102,25,4,4,3,179,Cocos (Keeling) Islands
90103,10,6,7,0,156,Jervis Bay
99797,0,0,0,0,3,Migratory - Offshore - Shipping (OT)
99999,0,0,0,0,22,Special Purpose Codes SA3 (OT)
