sa3_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot,sa3_name16
40402,0,3,0,297,73,15,3,79,9,61,8,31,16,78,300,660,0,0,3,8,0,3,0,0,8,3,15,43,1132,275,62,1535,188,1021,53,438,92,840,331,5966,Port Adelaide - West
40104,0,17,0,556,102,21,4,116,11,71,8,25,6,55,287,702,0,0,3,10,0,3,0,0,0,7,17,42,1147,312,51,2155,216,1080,80,380,43,603,316,6392,Campbelltown (SA)
40106,3,6,0,735,66,10,3,69,11,29,3,11,0,18,195,408,3,0,0,6,0,3,0,0,0,3,5,21,765,175,20,1165,113,523,28,163,24,232,206,3409,Prospect - Walkerville
40403,0,13,0,606,92,22,3,113,9,49,5,12,3,65,309,691,6,3,0,3,0,0,0,0,0,7,12,37,1225,349,47,2148,221,1066,81,451,69,606,332,6588,West Torrens
40501,0,7,0,263,86,7,0,100,10,47,0,12,3,20,227,512,4,0,0,5,0,0,0,0,0,3,12,25,882,189,41,1460,141,707,53,172,50,233,248,4170,Barossa
40502,0,0,0,103,44,10,3,58,3,19,6,9,4,17,154,324,3,0,0,8,0,3,0,0,0,6,0,23,356,93,23,776,65,366,26,98,42,179,158,2173,Lower North
40503,0,3,0,111,49,4,0,68,4,26,0,13,4,25,205,400,4,0,3,3,3,0,0,0,0,8,3,30,409,91,27,818,92,348,19,143,34,299,216,2507,Mid North
40504,0,0,0,101,38,9,3,49,3,15,0,14,7,22,150,324,0,0,0,0,0,3,0,0,0,5,11,20,323,117,19,619,65,299,24,131,28,248,161,2035,Yorke Peninsula
40101,0,0,0,176,17,4,0,17,0,8,3,4,0,3,57,120,0,0,0,0,0,0,0,0,0,3,0,5,163,42,10,199,32,175,4,55,11,82,65,833,Adelaide City
40102,3,10,0,1211,177,35,16,258,15,92,16,28,16,45,611,1315,10,0,3,7,3,3,0,8,5,3,6,52,1938,460,123,3364,366,1490,118,418,90,433,642,9439,Adelaide Hills
40105,3,13,4,792,64,11,3,66,5,33,3,8,0,20,226,443,5,0,3,9,0,0,0,0,0,0,4,20,745,192,28,1222,105,607,38,197,22,255,232,3634,Norwood - Payneham - St Peters
40107,7,7,0,1255,67,16,6,92,6,44,3,14,8,21,285,561,0,3,0,3,0,3,0,0,0,3,6,22,885,225,37,1534,146,697,48,203,32,222,289,4297,Unley
40201,0,4,0,254,78,10,5,81,9,54,9,20,3,16,255,550,3,0,3,5,0,0,0,0,5,3,7,24,865,164,42,1344,129,723,55,175,41,296,274,4108,Gawler - Two Wells
40202,3,20,0,230,120,16,10,115,9,107,5,29,13,137,424,992,5,0,3,15,0,0,0,3,6,26,46,109,1470,321,75,2235,282,1949,111,673,162,1555,500,9335,Playford
40203,5,8,0,384,88,18,8,89,12,71,6,22,10,69,342,727,0,3,3,7,3,3,0,0,3,9,17,44,1277,400,57,2181,283,1437,72,555,87,882,384,7609,Port Adelaide - East
40204,4,21,0,556,167,44,12,220,35,181,20,68,20,178,673,1622,7,7,18,18,3,11,0,0,5,31,50,137,2704,683,141,4077,467,3258,181,1167,242,2386,763,16063,Salisbury
