sa3_name16,sa3_code16,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot
Stonnington - East,20804,10,4,14,3,3,6,0,130,0,66,118,46,4,7,10,3,0,4,3,5,0,0,7,268,0,0,0,3,8,18,27,25,0,0,13,11,5,6,4,116,0,0,0,0,11,10,37,30,10,9,15,11,5,3,4,138,0,0,4,7,3,3,4,0,0,0,0,0,0,0,0,29,0,0,7,37,80,73,82,54,15,21,16,24,46,17,20,492,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,17,0,24,14,4,3,6,6,9,0,0,0,0,0,0,0,66,3,4,16,42,71,86,161,74,27,26,30,26,25,10,22,616,0,0,0,0,0,3,3,10,3,3,4,4,7,5,0,43,0,0,0,6,25,25,20,32,8,7,13,7,15,17,9,175,12,21,20,14,30,10,8,0,0,0,0,0,3,0,3,111,0,3,3,6,24,23,52,20,11,17,6,15,17,10,8,213
Banyule,20901,22,16,13,3,3,0,12,393,14,657,875,330,61,26,28,14,8,11,5,8,13,3,118,2177,0,3,0,5,16,25,76,48,4,9,3,6,9,7,5,225,0,0,0,0,5,21,50,86,10,0,13,11,5,0,3,212,0,8,30,96,84,76,27,10,3,3,3,3,0,3,29,379,0,0,20,53,169,231,195,117,24,30,45,23,33,7,19,976,0,68,88,18,16,7,0,3,0,0,0,0,0,0,7,216,0,78,60,15,20,9,28,20,3,0,13,0,0,0,7,248,9,11,36,91,185,220,341,198,78,61,34,21,14,43,53,1388,0,0,0,4,5,16,25,48,0,18,12,14,21,8,3,177,0,0,6,16,91,126,89,109,19,32,17,15,29,21,20,589,3,28,28,19,67,68,17,11,9,0,5,0,3,3,11,265,0,0,9,27,28,26,81,48,12,9,12,16,4,4,9,292
Moreland - North,21003,9,4,0,0,10,0,4,136,34,918,1705,792,98,46,35,31,6,19,31,22,12,3,253,4006,0,3,3,3,5,9,29,40,0,0,0,0,3,4,8,114,0,0,0,0,0,10,42,37,8,8,9,4,0,0,0,118,0,3,19,227,349,297,232,158,29,37,34,33,25,14,60,1518,0,0,0,7,21,39,68,74,22,22,30,16,21,19,6,347,0,225,245,81,24,12,6,0,0,0,0,0,0,0,22,618,0,19,22,3,9,3,4,13,0,0,0,0,0,0,3,79,0,3,6,23,94,114,223,172,50,48,42,32,40,13,40,892,0,0,0,0,8,64,303,585,210,262,267,322,339,212,83,2651,0,0,0,9,63,150,85,146,27,26,42,75,69,34,23,755,3,47,52,21,51,44,7,9,0,3,0,0,0,0,12,258,0,0,0,7,8,13,27,23,0,11,7,5,3,3,5,114
Sunbury,21004,11,4,0,0,0,0,3,138,0,61,101,74,10,4,10,8,0,0,0,0,3,0,13,286,0,0,0,0,0,0,6,0,0,4,0,0,3,0,0,23,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,0,0,3,12,14,3,4,4,0,0,0,0,0,0,0,45,0,0,3,5,19,13,18,0,5,0,6,0,4,0,0,72,0,41,85,41,19,3,7,5,0,0,0,0,0,0,7,204,0,50,40,5,10,4,3,3,0,0,0,0,0,0,3,113,3,9,5,34,89,95,190,119,38,19,21,15,17,13,20,682,0,0,0,0,0,3,13,10,0,10,0,9,0,0,0,53,0,0,4,12,21,50,61,46,14,7,12,19,20,4,9,278,0,6,11,3,20,3,8,5,0,0,0,0,0,0,0,60,0,0,4,6,3,6,11,8,0,0,0,0,0,0,0,38
Tullamarine - Broadmeadows,21005,9,8,0,3,3,0,8,159,4,454,1220,877,114,45,53,27,4,8,7,3,4,3,128,2965,0,4,3,0,0,4,17,10,0,4,0,0,0,0,3,45,0,0,0,3,3,3,24,17,0,4,0,3,3,3,7,71,0,3,29,450,675,647,607,428,70,75,88,74,65,40,188,3440,0,0,4,11,29,56,57,74,7,28,26,10,21,6,27,370,0,224,414,194,50,36,13,3,0,0,4,0,3,0,37,974,0,42,42,8,3,3,4,4,3,0,3,0,0,0,8,120,0,4,10,44,154,302,691,457,166,177,198,170,141,65,136,2720,0,0,0,0,6,56,309,439,132,197,170,270,216,160,53,2006,0,0,6,34,183,649,471,558,68,82,93,67,81,45,48,2384,0,23,20,19,83,90,9,10,3,0,0,0,3,3,0,256,0,0,0,0,15,41,96,71,19,28,9,16,10,10,3,316
Knox,21101,7,20,17,3,3,3,17,414,6,220,419,307,48,13,15,8,0,0,6,10,0,0,38,1097,0,3,0,7,4,20,52,22,6,8,3,6,5,4,4,142,0,0,0,0,12,47,150,224,35,22,22,13,21,11,10,558,0,3,5,39,54,50,13,9,3,0,4,0,0,0,6,187,3,0,26,117,331,903,635,699,111,100,69,83,62,46,37,3221,0,53,58,33,18,3,0,0,0,0,0,0,0,0,0,166,0,260,324,84,56,17,12,13,3,0,0,0,5,0,24,805,9,13,36,139,318,365,450,248,73,72,30,49,35,20,51,1919,0,0,0,3,9,34,53,29,15,12,4,20,7,0,3,188,0,0,0,33,168,376,221,235,45,44,58,50,37,27,43,1337,0,33,40,42,161,173,44,11,0,5,4,0,3,0,13,518,3,0,8,30,61,138,240,264,26,31,32,23,33,15,13,914
Manningham - East,21102,8,0,0,0,0,0,0,56,3,121,165,37,7,10,3,4,0,0,0,0,0,0,16,370,0,0,0,0,3,3,8,8,0,0,0,0,0,0,0,30,0,0,0,0,7,9,23,18,0,4,0,0,0,0,4,68,0,3,4,4,6,12,0,0,0,0,0,0,0,0,0,40,0,0,3,24,64,106,70,84,16,5,15,10,15,0,3,416,0,15,15,5,8,3,0,0,3,0,0,0,0,0,0,50,0,24,41,5,8,0,0,3,0,0,0,0,0,0,3,95,0,9,8,24,55,46,52,20,6,0,9,4,3,4,5,230,0,0,0,0,0,0,9,3,0,0,0,3,0,6,0,18,0,0,0,5,7,6,0,4,3,0,3,3,0,0,3,38,0,4,6,6,5,6,0,0,0,0,0,0,0,0,4,34,0,0,6,13,22,18,33,14,0,0,4,7,6,0,0,122
Maroondah,21103,3,0,8,4,4,0,7,258,5,139,185,112,18,6,18,7,0,4,6,4,3,0,29,537,0,4,0,4,8,15,34,17,3,4,3,7,3,3,3,103,0,0,0,3,3,21,76,91,9,4,6,3,4,10,7,248,0,0,0,12,13,19,7,10,0,0,0,0,0,0,0,66,0,3,14,46,78,137,171,219,35,54,53,40,53,29,26,966,0,50,33,10,7,3,3,0,0,0,0,0,0,0,9,112,0,196,187,42,49,13,24,6,0,4,0,7,0,0,17,547,10,18,25,125,228,234,293,123,41,31,32,26,29,6,45,1269,0,4,0,0,9,3,16,40,5,8,3,11,17,0,3,116,0,0,0,13,58,144,95,111,19,24,16,24,24,17,12,541,0,11,29,16,77,64,16,10,3,3,0,7,0,0,7,238,3,0,6,21,15,29,76,53,8,9,7,5,5,0,9,238
Whitehorse - East,21104,8,9,3,7,0,3,0,141,4,147,244,131,19,5,15,5,0,3,0,3,5,0,12,589,0,0,0,5,12,29,40,19,3,5,3,5,4,4,7,134,0,0,0,0,0,11,106,123,24,17,20,7,0,7,3,320,0,0,4,16,3,11,3,0,0,0,0,0,0,0,4,42,0,0,17,74,158,291,330,312,60,74,67,54,48,24,26,1529,0,22,22,7,12,3,0,0,0,0,0,0,0,0,0,60,0,61,53,9,14,5,4,3,0,0,0,0,0,0,3,161,3,11,21,61,115,102,170,100,38,23,28,10,20,5,22,715,0,0,0,5,4,9,26,44,14,23,34,36,54,9,5,262,0,0,0,5,41,104,57,71,16,21,14,18,32,4,10,389,0,17,27,17,38,46,5,8,0,0,0,0,3,0,0,159,0,0,8,22,24,68,91,68,13,19,10,12,22,9,15,390
Yarra Ranges,21105,5,6,8,3,5,0,7,307,6,261,328,150,26,13,13,23,3,3,0,8,6,0,46,880,0,0,6,3,13,9,42,17,3,0,3,12,6,0,3,113,0,0,0,0,4,9,23,14,0,4,8,4,3,0,3,72,0,0,0,12,14,12,9,7,0,0,0,0,3,0,3,71,0,0,24,22,49,39,27,71,17,15,7,9,17,7,8,312,0,41,40,10,6,0,0,0,0,0,0,0,0,0,12,108,4,423,542,166,153,47,56,27,3,10,8,3,3,5,42,1500,6,16,49,180,383,358,399,190,35,45,32,20,14,13,84,1819,0,0,0,0,4,3,5,5,0,0,0,4,0,0,0,40,0,0,4,4,40,107,95,84,15,11,26,27,14,9,12,457,0,20,35,28,85,41,26,20,0,3,0,3,0,0,4,273,0,0,8,17,14,13,32,18,9,5,0,0,0,0,8,125
Cardinia,21201,9,12,0,16,5,0,6,212,5,87,135,76,10,7,3,9,0,0,4,3,0,0,14,361,0,3,0,0,3,3,9,12,0,7,0,0,0,0,4,43,0,0,0,0,0,4,11,27,0,0,3,3,0,4,0,60,0,0,0,4,6,9,13,11,0,0,0,0,0,0,0,42,0,0,7,7,18,23,33,59,8,3,4,6,7,6,0,183,0,24,35,12,4,0,3,0,0,0,0,0,0,0,4,90,0,200,191,45,72,16,22,10,0,0,0,0,0,0,23,593,5,12,16,80,200,265,416,239,113,81,36,45,40,18,52,1621,0,0,0,0,3,7,16,51,12,8,12,9,16,3,8,142,0,0,0,3,31,87,83,257,20,38,35,8,24,13,7,604,0,8,11,12,43,27,10,4,0,0,0,3,0,0,0,118,0,0,4,9,10,10,20,43,8,8,0,0,7,0,9,119
Casey - North,21202,7,10,5,0,0,0,9,255,4,167,379,287,51,17,14,16,3,3,4,0,4,3,59,1013,0,0,0,3,0,7,26,15,4,4,0,0,3,3,6,76,0,0,0,0,3,19,72,80,20,21,16,3,0,3,3,245,0,0,7,86,100,115,73,17,5,3,11,10,4,0,12,441,0,0,3,33,87,192,173,202,26,42,30,5,31,19,10,868,0,63,71,28,3,0,0,0,0,0,0,0,0,0,10,187,0,214,225,49,49,18,10,10,0,0,0,0,0,5,30,620,3,8,21,92,264,375,617,457,135,136,124,73,93,36,104,2530,0,0,0,10,18,98,246,231,77,108,123,91,71,48,30,1155,0,0,3,15,159,397,253,239,47,50,72,30,51,37,39,1391,0,17,31,61,271,304,69,28,3,8,0,7,3,0,15,816,0,0,0,12,13,86,103,56,6,17,13,17,23,10,9,370
Casey - South,21203,15,10,17,6,5,5,8,290,3,98,268,157,31,18,21,19,0,6,7,0,0,4,24,654,0,0,0,0,3,5,19,7,3,4,0,0,0,3,0,47,0,0,0,0,0,4,42,84,9,8,8,11,10,0,4,167,0,3,0,58,51,52,52,17,4,3,3,5,3,3,3,260,0,0,3,22,41,119,164,152,23,30,21,29,24,12,11,658,0,59,58,37,30,4,6,0,0,0,0,0,0,0,4,196,0,163,205,56,45,21,19,13,0,0,0,0,0,0,20,545,3,4,14,80,371,661,1243,847,247,328,229,174,106,71,163,4543,0,0,0,0,7,55,209,357,94,116,124,154,78,28,18,1252,0,0,0,18,134,627,638,1070,176,158,131,143,86,52,55,3285,0,5,17,12,122,138,93,21,3,4,0,0,4,0,7,441,0,0,3,10,9,66,111,77,18,19,6,10,15,13,7,371
Dandenong,21204,11,10,0,3,17,3,8,257,16,406,988,578,84,23,37,23,0,9,22,3,6,7,109,2294,0,4,0,8,6,27,62,38,9,9,6,7,10,6,10,202,0,0,0,0,11,15,128,184,39,44,20,33,31,9,13,528,0,8,11,149,200,144,94,53,10,15,10,8,9,9,19,742,0,0,6,42,152,279,225,232,52,112,149,88,180,102,79,1695,0,114,108,42,20,5,3,0,0,0,0,0,0,0,10,309,0,170,165,32,20,5,6,3,4,0,0,0,0,3,8,420,3,7,15,86,244,408,748,402,106,149,123,101,77,45,108,2622,0,0,3,13,39,58,191,412,163,321,389,239,247,122,62,2264,3,0,0,20,254,679,419,489,76,125,170,133,141,67,66,2639,0,39,59,80,236,231,68,24,3,3,0,3,6,4,34,798,0,0,5,9,26,56,101,67,7,17,20,9,10,3,10,344
Monash,21205,10,11,17,5,3,3,13,350,18,486,1165,518,67,26,25,25,4,14,16,28,20,17,103,2517,0,3,3,8,42,76,189,100,26,19,12,27,27,18,24,568,0,0,0,10,44,143,501,673,114,89,94,87,84,62,57,1960,0,4,15,60,63,43,9,12,6,0,0,0,0,3,9,221,3,9,53,250,748,1246,940,880,249,216,230,323,356,310,138,5952,0,55,53,22,10,0,0,0,0,0,0,0,0,0,7,145,0,96,81,28,21,16,35,12,4,3,0,4,8,5,9,325,8,14,52,158,283,240,458,263,81,109,85,55,61,62,60,1979,0,0,0,3,3,24,96,116,27,49,74,82,88,51,17,639,0,0,0,13,118,263,159,206,51,49,59,52,65,42,32,1125,8,46,72,62,219,175,29,26,3,6,5,4,6,4,15,687,3,0,5,40,86,186,374,293,76,96,127,115,148,155,39,1733
Brimbank,21301,4,5,11,3,3,3,9,176,3,439,1122,682,107,51,46,25,5,15,24,14,3,3,129,2652,0,0,0,0,4,7,34,21,6,6,4,5,4,0,3,95,0,0,4,0,0,16,32,40,4,13,4,5,12,3,6,145,0,0,0,135,196,157,98,80,3,13,15,11,8,7,15,745,0,0,6,16,68,197,167,157,42,46,47,44,49,35,32,899,12,854,1702,1138,352,90,40,26,3,6,0,0,4,0,185,4399,0,60,63,14,12,3,10,4,3,0,0,0,0,0,5,177,0,3,7,41,154,313,711,617,211,278,252,209,185,98,141,3215,0,0,0,8,20,62,122,265,109,408,386,176,126,86,36,1810,0,0,10,82,573,1665,954,1064,170,224,211,209,229,111,160,5672,0,129,132,80,304,237,70,29,0,3,6,3,6,0,43,1045,0,0,0,10,13,41,70,39,3,11,3,8,13,9,3,224
Hobsons Bay,21302,39,22,10,11,6,0,14,408,3,270,634,310,50,10,20,28,4,10,16,19,6,9,68,1461,0,0,0,4,5,14,29,25,4,16,4,4,6,3,7,118,0,0,0,0,0,6,23,23,7,3,0,5,3,10,3,81,0,4,16,150,165,177,170,128,13,19,20,39,20,3,29,964,0,3,3,18,33,67,72,61,13,16,13,13,11,6,12,348,3,297,468,210,70,16,12,0,4,0,0,0,0,0,42,1120,0,59,34,7,9,5,10,18,3,0,10,0,3,5,10,173,0,4,13,66,181,244,465,315,92,92,93,52,78,36,56,1791,0,0,0,0,0,3,10,36,19,23,24,18,18,15,11,184,0,0,0,10,122,253,111,98,34,47,46,31,55,18,22,850,0,43,48,17,82,57,17,11,3,6,4,0,3,0,4,296,0,0,3,4,14,39,33,16,9,3,11,9,6,0,0,148
Maribyrnong,21303,21,6,13,3,12,6,11,261,5,170,377,180,25,11,9,16,4,15,19,19,5,4,49,904,0,4,0,0,3,18,47,40,7,5,12,11,14,19,7,193,0,0,0,0,4,13,52,77,13,4,6,10,16,12,9,223,0,0,0,31,30,24,12,0,0,0,0,0,0,3,11,109,0,0,4,17,78,88,167,125,33,35,60,55,75,51,36,825,0,46,74,30,10,3,0,4,0,0,0,3,0,0,7,181,0,12,14,8,6,7,18,15,7,3,0,7,3,7,0,104,0,0,13,60,154,162,409,323,103,125,76,61,59,30,65,1638,0,0,0,3,0,0,21,81,27,72,46,62,44,16,24,406,0,0,0,13,136,306,151,122,24,43,62,56,76,35,35,1061,0,32,21,21,77,29,17,3,4,4,0,3,0,3,11,215,0,0,0,10,9,38,75,36,11,13,9,4,7,3,12,227
Melton - Bacchus Marsh,21304,7,3,15,8,0,0,7,259,0,140,372,289,65,32,37,15,10,0,3,3,6,0,46,1029,0,0,3,0,0,10,38,12,3,0,0,0,4,0,5,74,0,0,0,0,9,14,36,46,6,9,5,9,15,0,4,152,0,0,0,62,73,63,69,30,3,5,6,6,7,3,18,349,0,0,0,30,49,86,119,121,44,19,24,14,12,3,11,530,0,325,698,467,237,79,70,70,17,17,0,4,5,3,66,2058,0,73,99,21,39,8,14,22,0,12,0,0,0,0,13,297,0,4,21,78,226,353,702,598,199,239,177,136,79,61,175,3044,0,0,0,3,18,49,195,193,45,51,47,37,41,33,15,727,0,0,4,29,279,876,874,1089,140,140,134,118,144,65,73,3952,0,15,13,11,136,161,50,22,0,0,4,6,3,0,11,433,0,0,0,13,12,21,80,73,8,7,3,7,22,11,3,256
Wyndham,21305,36,43,11,7,7,4,8,393,15,316,711,386,67,20,46,31,5,8,11,12,10,6,101,1740,0,0,0,0,7,20,80,77,0,6,11,9,8,0,6,225,0,0,0,3,8,48,151,290,45,36,26,30,35,20,18,717,0,0,6,71,141,145,186,172,32,18,31,24,43,3,32,913,0,0,17,59,143,218,459,504,98,138,114,91,100,53,70,2068,3,190,460,236,97,42,27,26,8,0,8,3,0,0,44,1128,0,71,83,38,26,12,23,16,8,7,0,0,3,0,6,286,0,3,18,117,415,666,1640,1678,594,747,602,425,364,193,359,7831,0,0,0,7,12,95,417,570,153,200,152,215,184,114,28,2158,0,0,0,36,326,1110,1215,1728,223,258,265,220,233,160,102,5877,0,27,21,24,170,170,66,24,10,4,17,9,8,3,10,546,0,3,3,19,34,60,301,353,50,50,63,31,45,30,22,1073
Frankston,21401,16,12,13,4,0,3,12,440,3,137,190,120,32,10,15,11,4,4,6,3,5,0,34,586,0,0,0,0,0,3,42,11,0,3,0,3,0,3,4,73,0,0,0,0,3,10,12,19,8,3,0,0,0,0,3,70,0,0,6,29,28,33,21,5,0,0,0,3,0,0,3,141,0,0,13,30,51,51,67,51,16,3,9,6,12,10,6,319,0,39,29,18,9,0,0,0,0,0,0,0,0,0,0,101,0,211,247,64,48,15,13,19,8,4,0,0,0,0,56,679,10,12,45,171,509,591,698,439,151,119,103,51,72,15,123,3108,0,0,3,11,3,18,18,13,4,6,11,8,3,3,0,107,0,0,0,13,81,239,192,236,30,52,52,69,36,24,30,1063,0,12,29,20,115,99,46,12,3,0,6,0,0,0,7,340,0,3,0,13,9,33,47,17,4,0,6,3,0,3,0,137
Mornington Peninsula,21402,39,20,22,13,9,3,22,623,8,335,419,200,28,8,23,13,7,12,9,4,3,0,64,1133,0,6,3,6,0,10,37,11,0,5,0,3,6,4,0,99,0,0,0,0,3,11,13,9,0,0,0,3,0,0,8,43,0,3,7,8,5,9,5,4,0,0,0,0,0,0,0,46,5,4,14,27,46,33,14,20,3,4,3,4,0,0,11,181,0,85,72,20,11,0,0,3,0,0,0,0,0,0,5,197,0,310,270,75,78,18,35,4,3,3,3,0,0,3,29,837,11,21,81,300,443,383,405,198,69,33,39,15,7,20,88,2111,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,13,3,0,3,6,49,77,48,44,19,30,10,27,23,22,33,404,0,31,23,13,57,30,8,10,3,0,0,3,0,0,7,187,0,0,12,18,16,5,12,4,5,0,6,7,7,0,6,105
Grampians,21501,0,4,3,3,0,0,0,52,0,30,37,14,7,0,0,0,0,3,0,0,0,0,16,106,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,8,0,0,0,0,5,3,0,19,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,16,0,0,0,10,0,6,7,9,0,3,0,0,0,3,3,38,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,19,0,51,66,14,10,0,3,4,0,0,0,0,0,0,8,174,3,3,3,37,90,71,82,67,16,11,22,10,8,5,48,473,0,0,0,0,0,0,8,15,0,6,3,0,0,0,3,37,0,0,0,0,17,27,30,92,19,14,19,15,30,18,17,287,0,8,3,3,5,8,0,3,0,0,0,0,0,0,3,31,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,19
Mildura,21502,0,3,0,0,3,9,0,50,7,185,243,83,13,4,0,0,6,7,3,3,5,6,50,622,0,0,0,0,0,0,0,9,0,4,0,0,0,6,10,32,0,0,0,0,0,0,21,11,0,0,0,0,0,13,15,63,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,3,10,21,9,11,11,14,50,64,42,245,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,27,5,3,3,3,3,0,0,3,0,3,0,5,98,0,0,9,31,60,86,122,37,14,13,29,3,16,12,18,456,0,0,0,0,0,0,4,10,5,11,0,3,9,3,0,47,0,0,0,0,7,42,36,53,19,4,16,15,10,15,3,223,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
Murray River - Swan Hill,21503,0,3,0,0,0,0,0,20,3,84,96,37,3,0,0,0,0,0,0,0,0,0,16,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,8,5,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,9,12,3,5,22,28,12,25,36,167,0,7,6,4,0,3,0,0,0,0,0,0,0,0,0,19,0,36,28,8,8,0,3,0,0,0,0,0,0,0,0,90,0,0,0,25,42,43,60,15,6,0,7,7,8,3,12,237,0,0,0,0,0,0,4,7,3,19,11,0,0,0,0,47,0,0,0,0,9,34,22,61,7,8,19,18,8,3,15,212,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
Campaspe,21601,4,6,0,3,0,0,3,51,3,62,55,16,3,3,0,0,0,0,0,0,0,0,11,155,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,4,0,0,3,0,12,3,3,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,6,0,0,0,0,3,3,0,26,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,42,33,4,9,0,3,4,0,0,0,0,0,0,10,102,0,0,6,31,70,68,93,44,8,14,6,5,14,7,22,396,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,10,24,18,51,26,20,8,10,21,15,6,206,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Moira,21602,0,0,0,0,0,0,0,25,0,60,95,27,10,0,0,0,0,0,0,0,0,0,15,210,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,8,7,7,6,8,14,6,4,80,0,14,14,0,0,0,0,0,0,0,0,0,0,0,4,33,0,36,30,7,13,6,17,5,0,3,0,3,0,3,6,121,0,0,9,29,42,50,112,75,13,12,20,10,10,4,11,404,0,0,0,0,0,0,3,3,0,4,5,0,0,4,0,17,0,0,0,0,5,24,15,26,9,9,11,4,11,15,5,131,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Shepparton,21603,9,3,0,3,3,0,0,79,13,272,320,138,18,3,3,3,0,0,0,3,3,3,53,841,0,0,0,0,0,0,6,3,0,0,0,5,0,0,3,15,0,0,0,0,0,3,3,13,3,0,0,0,0,3,0,25,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,12,0,0,3,9,14,10,27,32,8,11,8,29,26,14,7,207,0,9,4,3,3,0,0,0,0,0,0,0,0,0,0,21,0,57,76,9,15,0,4,7,0,5,0,0,0,0,8,191,0,3,12,41,105,88,166,97,23,31,33,39,26,4,44,714,0,0,0,0,0,0,9,41,18,29,73,22,24,14,0,222,0,0,0,0,23,62,53,71,22,38,28,20,39,20,16,398,0,4,0,3,3,4,0,3,0,0,0,0,3,0,0,22,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,24
Glenelg - Southern Grampians,21701,0,5,0,0,0,0,0,29,0,7,6,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,10,3,0,0,0,0,0,0,0,28,0,6,11,5,0,0,0,0,0,0,0,0,0,0,0,24,0,71,52,16,3,3,5,3,0,0,0,0,0,0,10,163,0,7,4,30,82,67,107,77,17,12,16,11,6,3,11,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,22,22,24,6,18,6,4,13,5,13,149,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3
