sa3_code,sa3_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,patent_applications,trademark_applications,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
10202,Wyong,2014,4492.0,2767.0,899.0,182.0,8340.0,781.0,433.0,62.0,3.0,1279.0,760.0,247.0,44.0,6.0,1057.0,162.0,57.0,219.0,20.0,158.0,,,,,,,,,,,,,24082.0,56.0,1409.0,839.0,2674.0,8370.0,6476.0,72.0,2791.0,1208.0,1266.0,15376.0,13403.0,15792.0,,,,,,,,,,,,,,,,,,,,,364.0,245.0,609.0,609.0,94.0,38.0,143.0,92.0,235.0,,,,
10202,Wyong,2013,4366.0,2702.0,874.0,173.0,8115.0,565.0,380.0,42.0,7.0,994.0,987.0,285.0,67.0,4.0,1343.0,205.0,54.0,259.0,21.0,105.0,,,,,,,,,,,,,23694.0,69.0,1541.0,906.0,2437.0,8136.0,6100.0,70.0,2845.0,1321.0,1253.0,16237.0,13943.0,16727.0,44833.0,3231.0,62895.0,13167.0,188.0,9294.0,193.0,196.0,48220.0,14626.0,59.0,2601.0,123.0,14.0,7503.0,41352.0,3688.0,76279.0,,,325.0,126.0,451.0,451.0,83.0,25.0,118.0,40.0,158.0,2839.0,346000.0,568.0,270000.0
10202,Wyong,2012,4692.0,2719.0,879.0,172.0,8462.0,666.0,419.0,47.0,5.0,1137.0,951.0,313.0,53.0,5.0,1322.0,233.0,63.0,296.0,36.0,135.0,,,,,,,,,,,,,22988.0,74.0,1643.0,950.0,2233.0,8181.0,4948.0,66.0,3758.0,1620.0,1019.0,14960.0,12791.0,15364.0,,,,,,,,,,,,,,,,,,,,,291.0,50.0,341.0,356.0,86.0,8.0,97.0,55.0,152.0,,,,
10202,Wyong,2011,4833.0,2770.0,827.0,180.0,8610.0,,,,,,,,,,,,,,33.0,158.0,64700.0,5075.0,7.8,54.4,3.2,1.8,18.2,7.6,41.2,0.4,72.4,10348.0,22562.0,,,,2003.0,7972.0,5000.0,65.0,3857.0,2192.0,1035.0,16640.0,13995.0,17025.0,,,,,,,,,,,,,,,,,,,1159.0,1819.0,403.0,77.0,480.0,481.0,109.0,14.0,126.0,58.0,184.0,,,,
10202,Wyong,2010,,,,,,,,,,,,,,,,,,,31.0,143.0,,,,,,,,,,,,,,,,,,,5236.0,64.0,3976.0,1869.0,1060.0,17268.0,14326.0,17593.0,,,,,,,,,,,,,,,,,,,,,487.0,76.0,563.0,654.0,115.0,20.0,154.0,156.0,310.0,,,,
30604,Port Douglas - Daintree,2010,,,,,,,,,,,,,,,,,,,3.0,27.0,,,,,,,,,,,,,,,,,,,479.0,53.0,191.0,55.0,62.0,1128.0,943.0,1143.0,,,,,,,,,,,,,,,,,,,,,72.0,4.0,76.0,76.0,36.0,3.0,39.0,9.0,48.0,,,,
10301,Bathurst,2014,2330.0,1072.0,415.0,80.0,3897.0,259.0,126.0,24.0,3.0,412.0,304.0,84.0,22.0,3.0,413.0,44.0,8.0,52.0,4.0,32.0,,,,,,,,,,,,,4918.0,6.0,169.0,125.0,459.0,1914.0,1314.0,69.0,754.0,1163.0,281.0,3798.0,3308.0,3929.0,,,,,,,,,,,,,,,,,,,,,239.0,61.0,300.0,300.0,65.0,10.0,76.0,65.0,141.0,,,,
10301,Bathurst,2013,2342.0,1079.0,405.0,74.0,3900.0,248.0,114.0,13.0,3.0,378.0,308.0,86.0,21.0,,415.0,32.0,10.0,42.0,,91.0,,,,,,,,,,,,,4759.0,7.0,185.0,143.0,420.0,1873.0,1194.0,67.0,704.0,1265.0,279.0,4012.0,3445.0,4144.0,47152.0,1035.0,19234.0,6312.0,65.0,4185.0,281.0,97.0,16353.0,13046.0,16.0,686.0,80.0,5.0,2658.0,43880.0,1217.0,23375.0,,,211.0,58.0,269.0,289.0,58.0,13.0,74.0,80.0,154.0,730.0,337500.0,128.0,220500.0
10301,Bathurst,2012,2371.0,1087.0,412.0,72.0,3942.0,263.0,117.0,16.0,,396.0,311.0,75.0,16.0,5.0,407.0,50.0,9.0,59.0,,67.0,,,,,,,,,,,,,4613.0,6.0,199.0,142.0,358.0,1846.0,992.0,68.0,814.0,1366.0,208.0,3568.0,3070.0,3691.0,,,,,,,,,,,,,,,,,,,,,145.0,47.0,192.0,208.0,46.0,8.0,58.0,35.0,93.0,,,,
10301,Bathurst,2011,2389.0,1091.0,397.0,77.0,3954.0,,,,,,,,,,,,,,14.0,41.0,20954.0,1113.0,5.3,60.7,3.9,0.9,19.6,8.0,46.4,0.3,79.1,3341.0,4486.0,,,,336.0,1800.0,1101.0,66.0,846.0,1413.0,220.0,4072.0,3369.0,4181.0,,,,,,,,,,,,,,,,,,,925.0,1743.0,138.0,28.0,166.0,178.0,39.0,5.0,49.0,20.0,69.0,,,,
10301,Bathurst,2010,,,,,,,,,,,,,,,,,,,13.0,30.0,,,,,,,,,,,,,,,,,,,1165.0,64.0,867.0,1411.0,239.0,4273.0,3455.0,4373.0,,,,,,,,,,,,,,,,,,,,,215.0,64.0,279.0,331.0,65.0,8.0,86.0,95.0,181.0,,,,
10302,Lachlan Valley,2014,3734.0,1915.0,788.0,84.0,6521.0,383.0,207.0,50.0,3.0,643.0,393.0,112.0,25.0,,530.0,36.0,14.0,50.0,9.0,37.0,,,,,,,,,,,,,8349.0,,353.0,282.0,834.0,3195.0,2046.0,71.0,954.0,181.0,413.0,5181.0,4399.0,5287.0,,,,,,,,,,,,,,,,,,,,,111.0,2.0,113.0,113.0,34.0,,36.0,36.0,72.0,,,,
10302,Lachlan Valley,2013,3670.0,1862.0,783.0,88.0,6403.0,303.0,155.0,24.0,3.0,485.0,488.0,110.0,31.0,6.0,635.0,36.0,10.0,46.0,14.0,62.0,,,,,,,,,,,,,8221.0,,372.0,314.0,768.0,3273.0,1948.0,68.0,912.0,228.0,384.0,5463.0,4576.0,5571.0,39543.0,897.0,19546.0,10195.0,149.0,7862.0,405.0,122.0,18586.0,12637.0,14.0,628.0,65.0,4.0,3340.0,37079.0,1186.0,26594.0,,,95.0,24.0,119.0,124.0,31.0,4.0,38.0,40.0,77.0,835.0,185000.0,29.0,193000.0
10302,Lachlan Valley,2012,3780.0,1952.0,727.0,96.0,6555.0,359.0,192.0,20.0,3.0,574.0,405.0,125.0,32.0,3.0,565.0,29.0,11.0,40.0,16.0,54.0,,,,,,,,,,,,,8049.0,4.0,394.0,340.0,678.0,3366.0,1545.0,68.0,1118.0,355.0,326.0,4947.0,4116.0,5034.0,,,,,,,,,,,,,,,,,,,,,96.0,,96.0,97.0,33.0,,33.0,68.0,101.0,,,,
10302,Lachlan Valley,2011,3781.0,1942.0,738.0,78.0,6539.0,,,,,,,,,,,,,,12.0,43.0,24089.0,1261.0,5.2,55.5,4.1,1.4,15.6,9.1,46.4,0.5,77.1,3511.0,7902.0,,,,617.0,3329.0,1501.0,71.0,1121.0,541.0,330.0,5714.0,4664.0,5802.0,,,,,,,,,,,,,,,,,,,653.0,1291.0,99.0,5.0,104.0,106.0,31.0,1.0,33.0,28.0,61.0,,,,
10302,Lachlan Valley,2010,,,,,,,,,,,,,,,,,,,11.0,57.0,,,,,,,,,,,,,,,,,,,1153.0,69.0,754.0,203.0,109.0,6125.0,4996.0,6181.0,,,,,,,,,,,,,,,,,,,,,104.0,24.0,128.0,133.0,32.0,3.0,36.0,72.0,107.0,,,,
10303,Lithgow - Mudgee,2014,2319.0,1074.0,454.0,72.0,3919.0,239.0,135.0,16.0,,390.0,272.0,89.0,20.0,5.0,386.0,40.0,9.0,49.0,11.0,53.0,,,,,,,,,,,,,6634.0,5.0,296.0,153.0,689.0,2577.0,1831.0,76.0,739.0,165.0,352.0,3539.0,3412.0,3823.0,,,,,,,,,,,,,,,,,,,,,163.0,61.0,224.0,224.0,49.0,11.0,63.0,17.0,80.0,,,,
10303,Lithgow - Mudgee,2013,2330.0,1062.0,452.0,78.0,3922.0,246.0,103.0,18.0,,367.0,313.0,92.0,18.0,3.0,426.0,44.0,8.0,52.0,8.0,68.0,,,,,,,,,,,,,6466.0,5.0,310.0,174.0,644.0,2558.0,1684.0,69.0,749.0,198.0,335.0,3704.0,3538.0,4014.0,45829.0,1036.0,17630.0,2421.0,41.0,4519.0,311.0,82.0,15215.0,17712.0,15.0,638.0,89.0,5.0,2355.0,40594.0,1179.0,22060.0,,,176.0,15.0,191.0,193.0,55.0,2.0,60.0,27.0,88.0,802.0,314500.0,26.0,290500.0
10303,Lithgow - Mudgee,2012,2356.0,1095.0,462.0,72.0,3985.0,296.0,126.0,21.0,3.0,446.0,296.0,92.0,26.0,,414.0,45.0,9.0,54.0,15.0,32.0,,,,,,,,,,,,,6293.0,7.0,336.0,194.0,632.0,2655.0,1447.0,73.0,887.0,300.0,249.0,3394.0,3225.0,3695.0,,,,,,,,,,,,,,,,,,,,,138.0,36.0,174.0,175.0,48.0,6.0,54.0,30.0,84.0,,,,
10303,Lithgow - Mudgee,2011,2313.0,1112.0,456.0,68.0,3949.0,,,,,,,,,,,,,,17.0,26.0,19199.0,1232.0,6.4,54.3,5.2,1.4,14.7,9.2,43.3,0.5,74.3,2832.0,6251.0,,,,568.0,2633.0,1404.0,71.0,902.0,458.0,256.0,3955.0,3602.0,4235.0,,,,,,,,,,,,,,,,,,,867.0,1650.0,144.0,66.0,210.0,210.0,42.0,9.0,51.0,27.0,78.0,,,,
10303,Lithgow - Mudgee,2010,,,,,,,,,,,,,,,,,,,13.0,26.0,,,,,,,,,,,,,,,,,,,1234.0,70.0,715.0,284.0,174.0,4152.0,3747.0,4424.0,,,,,,,,,,,,,,,,,,,,,133.0,27.0,160.0,202.0,38.0,4.0,52.0,60.0,112.0,,,,
10304,Orange,2014,3012.0,1329.0,556.0,113.0,5010.0,385.0,176.0,28.0,6.0,595.0,337.0,104.0,18.0,6.0,465.0,53.0,7.0,60.0,11.0,80.0,,,,,,,,,,,,,6291.0,4.0,251.0,204.0,536.0,2619.0,1558.0,70.0,961.0,464.0,346.0,4779.0,4190.0,4991.0,,,,,,,,,,,,,,,,,,,,,379.0,16.0,395.0,395.0,104.0,3.0,111.0,114.0,225.0,,,,
10304,Orange,2013,2883.0,1337.0,533.0,110.0,4863.0,300.0,142.0,23.0,3.0,468.0,410.0,97.0,32.0,4.0,543.0,46.0,11.0,57.0,8.0,77.0,,,,,,,,,,,,,6138.0,4.0,297.0,202.0,454.0,2611.0,1386.0,64.0,903.0,458.0,363.0,4990.0,4248.0,5197.0,48028.0,1321.0,23763.0,5680.0,92.0,5468.0,268.0,131.0,19955.0,13471.0,15.0,667.0,80.0,5.0,3537.0,45130.0,1564.0,28733.0,,,344.0,22.0,366.0,369.0,99.0,6.0,110.0,68.0,179.0,762.0,330000.0,74.0,238000.0
10304,Orange,2012,2941.0,1359.0,541.0,109.0,4950.0,326.0,156.0,27.0,3.0,512.0,363.0,115.0,21.0,,499.0,45.0,8.0,53.0,20.0,66.0,,,,,,,,,,,,,5973.0,5.0,308.0,216.0,420.0,2665.0,1035.0,62.0,1000.0,553.0,191.0,4552.0,3890.0,4762.0,,,,,,,,,,,,,,,,,,,,,384.0,30.0,414.0,434.0,114.0,4.0,125.0,46.0,170.0,,,,
