sa3_name16,sa3_code16,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total
The Gap - Enoggera,30404,505,217,1163,10134,12361,5222,3490,6268,2151,39620
Brisbane Inner,30501,396,282,956,19120,15162,3970,2231,14128,7546,62160
Brisbane Inner - East,30502,166,73,438,10117,9954,3285,2145,5199,2581,33278
Brisbane Inner - North,30503,445,319,1279,22500,20725,6790,4070,12983,6538,73616
Brisbane Inner - West,30504,267,80,626,14423,14015,4703,2889,7136,3268,46439
Cairns - North,30601,161,79,398,9290,12900,5210,3557,6952,3878,41791
Cairns - South,30602,769,332,1507,16632,20779,8302,6543,17827,10064,80153
Innisfail - Cassowary Coast,30603,352,134,727,5029,6783,3444,3301,6003,3436,28001
Port Douglas - Daintree,30604,38,71,159,2018,2506,1139,843,1637,1557,9701
Tablelands (East) - Kuranda,30605,417,176,932,5537,8299,4544,4116,6182,4206,32890
Darling Downs (West) - Maranoa,30701,334,194,765,6466,8215,3968,3771,7136,5002,34560
Darling Downs - East,30702,438,233,937,6179,8106,4145,4248,6830,3765,33273
Granite Belt,30703,469,166,982,5727,8290,4514,4375,6528,3123,32566
Central Highlands (Qld),30801,60,31,133,4574,5435,2379,2373,3641,3318,21714
Rockhampton,30803,945,614,2306,18019,24255,11787,9866,18347,10297,92567
Biloela,30804,100,36,211,2208,2827,1357,1326,2121,1314,11152
Gladstone,30805,236,86,509,9602,12989,5962,5854,8731,4556,47696
Broadbeach - Burleigh,30901,738,288,1625,13247,14011,5480,3551,11048,5174,52515
Coolangatta,30902,753,281,1602,10458,11845,5019,3539,9320,4204,44386
Gold Coast - North,30903,931,470,2001,12406,14148,6002,4442,13589,5845,56429
Gold Coast Hinterland,30904,93,48,253,2902,4383,2143,1760,2256,1731,15178
Robina,30908,439,587,1307,9990,10562,4245,3068,9318,3598,40781
Southport,30909,817,375,1605,11928,12100,4751,3239,13164,5020,50206
Surfers Paradise,30910,329,200,785,8540,8212,3102,2022,8948,5304,36129
Forest Lake - Oxley,31001,343,313,1046,11860,13099,5523,4418,13852,8222,56975
Ipswich Hinterland,31002,480,184,979,9143,12595,6555,6217,9818,6072,50400
Ipswich Inner,31003,808,271,1699,17539,21912,9846,8076,17100,6901,81372
Springfield - Redbank,31004,167,74,387,14385,16517,6864,5589,13178,5010,61542
Beaudesert,31101,201,47,328,2068,2692,1420,1272,2343,1359,11152
Beenleigh,31102,282,112,580,6732,8185,3581,2936,7809,2877,32120
Browns Plains,31103,440,112,761,13196,15123,6624,5560,15019,5146,60673
Jimboomba,31104,106,37,214,7584,9892,4566,3688,6306,2668,34696
Loganlea - Carbrook,31105,581,129,937,10505,12644,5530,4164,10608,3875,47315
Springwood - Kingston,31106,480,137,861,12964,14773,6569,5509,15162,5065,60044
Bowen Basin - North,31201,139,71,313,4789,6223,2790,2775,4992,4330,25902
Mackay,31202,830,257,1645,18389,24177,11242,9987,17746,9671,91204
Whitsunday,31203,70,59,203,3668,4388,1823,1482,3130,2912,17403
Bribie - Beachmere,31301,394,337,1143,4870,7009,4129,3394,6379,2839,28623
Caboolture,31302,329,506,1158,10841,13128,6144,5501,11647,5055,52306
Caboolture Hinterland,31303,122,38,212,1705,2519,1351,1267,1927,2150,10926
Narangba - Burpengary,31304,274,284,829,10806,13607,6077,5059,9574,3885,49003
Redcliffe,31305,858,522,1941,10662,13131,5860,4504,10936,4559,49651
The Hills District,31401,294,143,765,16691,21169,9658,6772,9604,3208,67098
North Lakes,31402,472,182,906,12935,15601,6243,5092,10318,3561,53757
Strathpine,31403,157,184,499,6932,8397,3560,2820,5736,2066,29509
Far North,31501,78,27,166,5536,5233,2388,2152,4812,4009,24134
Outback - North,31502,71,32,158,4797,5509,2232,1936,4948,3225,22650
Toowoomba,31701,1291,939,3431,25462,32567,15197,12268,22849,10895,119233
Maryborough,31905,458,218,1002,5871,8759,5009,4935,8071,4778,37422
Adelaide City,40101,191,53,379,5562,4888,1368,658,5791,2583,20850
Adelaide Hills,40102,604,171,1282,12716,18079,8752,6294,8264,3855,57955
Norwood - Payneham - St Peters,40105,633,151,1314,7622,8920,3594,2107,6231,1836,30307
Unley,40107,972,179,1637,8021,9569,3929,2207,6168,1839,31733
Gawler - Two Wells,40201,316,142,749,5781,7841,3721,2865,5679,2161,28045
Playford,40202,736,277,1414,13685,17014,7788,6778,17932,6308,69496
Port Adelaide - East,40203,808,232,1620,12153,14428,6017,4651,14064,4633,55944
Salisbury,40204,1178,292,2089,22995,27829,12394,9771,29326,7338,109646
Tea Tree Gully,40205,1053,323,2044,17570,22385,10455,7042,15807,3934,77192
Mitcham,40303,992,332,2210,12461,16142,7537,4552,8879,2797,52364
Onkaparinga,40304,1644,663,3479,30126,39785,18270,13247,25918,9254,136595
Charles Sturt,40401,1822,471,3567,20798,24908,10624,7388,21810,6215,91738
Port Adelaide - West,40402,801,269,1584,10374,12632,5312,3789,13035,3728,48861
Burnside,40103,667,238,1666,8961,10598,5199,3114,6588,1948,36413
Campbelltown (SA),40104,886,182,1686,9652,11578,5414,3837,9596,2180,42269
West Torrens,40403,857,498,2214,12635,14365,5673,3809,12143,3584,52206
Barossa,40501,382,127,798,5865,8206,4329,3408,4713,2222,28742
Lower North,40502,336,111,671,3420,4735,2672,2390,3582,1722,18521
Mid North,40503,424,132,826,3730,5426,3055,2933,5282,2148,22581
Yorke Peninsula,40504,409,206,909,3566,5330,3144,2773,4536,2131,21485
Eyre Peninsula and South West,40601,557,281,1314,8538,11760,5985,5106,9311,4906,45608
Outback - North and East,40602,143,73,338,3576,5107,2400,1997,4654,3404,21128
Fleurieu - Kangaroo Island,40701,823,370,1874,7414,11735,6795,5284,7775,3946,42948
Limestone Coast,40702,701,412,1671,10485,13929,7052,5638,10311,5087,52496
Murray and Mallee,40703,836,358,1892,10715,14640,7674,6340,12189,6176,57726
Augusta - Margaret River - Busselton,50101,375,270,1079,7962,11222,5776,4724,6640,3978,40312
Bunbury,50102,797,328,1792,15901,21336,10676,9838,15718,8101,81572
Manjimup,50103,156,101,451,3227,4857,2747,2562,3116,2166,18684
Mandurah,50201,1097,473,2416,14585,19912,10010,9416,18028,7226,79180
Cottesloe - Claremont,50301,726,304,1948,14794,14818,7007,4899,9835,3942,55294
Perth City,50302,977,365,2007,24558,23498,7823,5090,17288,9759,88022
Bayswater - Bassendean,50401,708,466,1809,16166,18214,7171,5424,14884,5547,67399
Mundaring,50402,243,150,683,6848,9203,4482,3812,5879,4428,34645
Swan,50403,490,331,1283,22615,25989,11010,9584,22616,8698,100512
Joondalup,50501,1133,373,2401,30609,36106,16368,11858,23615,6621,125175
Stirling,50502,1714,996,4532,39341,42172,16887,12959,35229,13016,159600
Wanneroo,50503,898,447,1895,33218,38077,16081,13364,33023,11014,144780
Armadale,50601,341,250,917,13030,16389,7264,6662,13546,4989,61871
Belmont - Victoria Park,50602,535,281,1279,14347,15083,5302,4128,14168,6926,59958
Canning,50603,1058,409,2209,18253,19308,8267,6744,19660,5239,77471
Gosnells,50604,588,353,1431,20024,22823,10003,8885,23993,7680,93412
Kalamunda,50605,335,211,922,10114,12710,5938,5082,8987,3443,46275
Serpentine - Jarrahdale,50606,92,36,189,4400,5559,2371,2404,3920,1825,20475
South Perth,50607,444,295,1136,9587,9842,3780,2586,7088,3050,35933
Cockburn,50701,591,366,1413,19098,21923,9136,7266,17645,6429,81504
Fremantle,50702,338,248,901,7763,8793,3594,2346,5338,3286,31121
Kwinana,50703,148,72,324,6253,7529,3137,2937,6652,3728,30236
Melville,50704,1197,698,3244,20427,23229,10773,7946,15783,5317,83478
Rockingham,50705,715,404,1712,20076,25333,11504,10353,20911,9027,97197
Albany,50901,576,336,1467,9273,12551,6438,5684,8622,5493,48062
Wheat Belt - North,50902,376,197,964,7917,11031,5791,6048,9084,5938,45809
Wheat Belt - South,50903,153,89,412,3078,3969,2081,2086,2935,2103,16241
Kimberley,51001,62,27,117,6157,6249,2406,1764,5088,4324,25984
East Pilbara,51002,14,11,40,3811,4448,1420,1214,5138,3995,20024
West Pilbara,51003,16,3,22,5075,5755,2093,2035,7662,4858,27474
Esperance,51101,131,51,276,2496,3029,1548,1380,2407,1872,12732
Gascoyne,51102,28,27,92,1403,1891,869,654,1494,1227,7545
Goldfields,51103,90,46,178,6311,7347,2917,2649,6768,4425,30412
Mid West,51104,356,196,866,8017,10711,5260,4964,8875,5537,43355
Brighton,60101,78,27,143,2289,3359,1616,1336,3299,1192,13092
Hobart - North East,60102,664,221,1468,9084,12604,5955,3923,8231,3324,43120
Hobart - North West,60103,523,272,1292,8629,11255,4975,3974,10596,4002,43428
Hobart - South and West,60104,332,64,679,5869,8097,3885,2598,4205,1525,26181
Hobart Inner,60105,644,206,1402,11174,13145,5167,2818,7820,3183,43315
Sorell - Dodges Ferry,60106,116,48,286,2571,3711,1807,1437,2509,1085,13123
Launceston,60201,1108,384,2189,13874,17889,8090,6171,14615,5868,66510
