sa3_name16,sa3_code16,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Penrith,12403,268,15,3,0,0,0,0,0,0,287,787,36,14,0,0,0,0,3,3,839,524,115,82,0,0,0,0,0,11,730,172,126,41,0,0,0,0,0,0,335,106,15,10,0,0,0,0,0,0,127,23,8,6,0,0,0,0,0,0,32,15,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,8,836,266,137,0,0,0,0,3,13,1254,11,0,0,0,0,0,0,0,0,6,47,17,7,0,0,0,0,3,0,68,1946,330,160,0,6,0,3,6,16,2459,10342,938,222,22,82,0,0,112,18,11634,16810,1270,386,3,4,4,5,15,26,18508,5082,1828,1463,0,0,13,13,27,56,8457,547,645,370,0,0,0,0,0,0,1561,1328,269,138,0,0,0,3,4,18,1762,50,94,94,0,0,0,0,0,3,239,157,26,12,4,4,0,3,8,3,209,111,22,18,0,0,0,0,0,3,155
Richmond - Windsor,12404,85,0,0,0,0,0,0,0,0,91,218,13,3,0,0,0,0,0,3,234,138,49,9,0,0,0,0,0,3,206,112,28,0,0,0,0,0,0,0,134,30,9,3,0,0,0,0,0,0,41,10,4,0,0,0,0,0,0,0,14,13,3,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,4,300,91,13,0,0,0,0,0,3,401,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,3,20,612,115,17,0,0,0,0,0,8,748,2835,380,76,0,0,0,7,8,11,3308,3493,366,38,0,0,0,3,3,23,3924,1300,760,200,0,0,0,16,16,28,2305,354,203,8,0,0,0,0,0,3,566,394,94,24,0,0,0,0,0,15,525,42,29,7,0,0,0,0,0,0,79,111,30,3,0,0,0,0,0,4,152,38,9,0,0,0,0,0,0,3,57
St Marys,12405,101,0,0,0,0,0,0,0,0,101,276,18,0,0,0,0,0,0,0,295,233,36,24,0,0,0,0,0,3,298,103,14,7,0,0,0,0,0,0,131,61,0,0,0,0,0,0,0,0,64,8,5,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,420,60,32,0,0,0,4,4,3,516,6,0,0,0,0,0,0,0,0,7,27,3,0,0,0,0,0,0,0,34,827,79,35,0,0,0,4,4,3,952,4082,174,50,0,0,0,0,0,5,4315,5949,489,83,0,0,0,0,3,4,6527,2192,708,446,0,0,5,9,16,18,3382,332,128,110,0,0,0,0,0,0,575,620,85,44,0,0,0,3,3,6,757,23,24,17,0,0,0,0,0,0,58,59,11,8,0,0,0,0,0,5,82,48,5,3,0,0,0,0,0,0,61
Auburn,12501,21,0,0,0,0,0,0,0,0,24,11,0,9,0,0,0,0,0,0,20,23,11,27,0,0,0,0,0,0,63,14,3,3,0,0,0,0,0,0,19,5,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,37,0,0,0,0,0,0,92,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,11,87,14,50,0,0,0,0,0,0,152,4092,587,1067,0,0,0,29,26,8,5783,3403,1110,2840,0,0,0,29,29,23,7403,1693,821,5995,0,0,5,59,69,28,8597,186,244,371,0,0,0,7,7,0,810,791,204,751,0,0,0,21,23,11,1785,38,32,76,0,0,0,0,0,0,146,152,55,106,0,0,0,3,3,4,325,68,10,45,0,0,0,0,0,0,123
Carlingford,12502,22,0,0,0,0,0,0,0,0,24,20,4,3,0,0,0,0,0,0,30,27,7,12,0,0,0,0,0,0,47,44,12,17,0,0,0,0,0,0,75,6,0,3,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,90,34,35,0,0,0,0,0,0,153,5,0,3,0,0,0,0,0,0,4,12,3,0,0,0,0,0,0,0,16,145,39,42,0,0,0,0,0,0,224,5405,893,294,0,0,0,3,5,12,6617,4829,1951,624,0,0,0,3,6,18,7439,1549,1157,925,0,0,0,24,26,25,3687,682,455,582,0,0,0,0,3,0,1717,474,239,149,0,0,0,6,6,7,880,32,59,102,0,0,0,0,0,3,201,135,162,3,0,0,0,0,0,4,310,44,19,12,0,0,0,0,0,0,75
Merrylands - Guildford,12503,113,4,0,0,0,0,0,0,0,114,121,12,7,0,0,0,0,0,0,144,96,21,35,0,0,0,0,0,0,158,70,35,51,0,0,0,0,0,0,153,32,7,4,0,0,0,0,0,0,39,6,12,7,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,214,71,104,0,0,0,0,0,0,381,3,0,3,0,0,0,0,0,0,6,11,3,3,0,0,0,0,0,0,19,460,86,116,0,0,0,0,0,0,670,10601,1087,692,0,0,3,35,37,15,12433,10006,2166,1655,0,0,0,46,54,24,13898,3646,1431,3932,0,0,3,76,88,65,9159,1185,1075,1381,0,0,0,3,3,4,3647,1604,361,470,0,0,3,27,28,31,2504,74,222,158,0,0,0,0,0,0,458,337,71,78,0,0,0,6,9,6,498,147,45,52,0,0,0,3,3,3,245
Parramatta,12504,58,5,0,0,0,0,0,0,0,59,81,8,12,0,0,0,0,0,0,95,72,29,64,0,0,0,0,0,0,167,33,42,50,0,0,0,0,0,0,121,20,3,8,0,0,0,0,0,0,32,3,4,5,0,0,0,0,0,0,10,4,4,3,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,5,126,79,132,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,4,7,0,7,0,0,0,0,0,4,20,278,89,155,0,0,0,0,0,4,525,7310,900,1723,0,0,0,10,10,19,9967,7096,2335,3893,0,0,0,40,39,40,13406,2420,1836,11389,0,0,0,93,95,81,15816,382,739,1135,0,0,0,0,3,7,2261,839,338,1351,0,0,0,26,26,21,2574,42,130,274,0,0,0,0,0,3,448,107,121,110,0,0,0,3,3,13,358,65,31,76,0,0,0,3,3,4,184
Pennant Hills - Epping,12601,11,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,15,11,3,9,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,9,0,0,0,0,0,0,55,5066,429,472,0,0,0,0,0,4,5976,4251,416,634,0,0,0,3,4,6,5310,988,377,1420,0,0,0,11,11,10,2800,29,48,29,0,0,0,0,0,0,104,350,61,223,0,0,0,4,4,4,643,21,4,69,0,0,0,0,0,0,93,39,11,14,0,0,0,0,0,0,71,30,3,15,0,0,0,0,0,0,52
Ryde - Hunters Hill,12602,43,4,3,0,0,0,0,0,0,47,40,12,14,0,0,0,0,0,0,64,25,15,42,0,0,0,0,0,0,82,16,12,6,0,0,0,0,0,0,25,15,3,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,35,56,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,136,46,75,0,0,0,0,0,0,257,10263,1988,1921,8,3,0,10,15,37,14223,8493,2187,3218,0,0,0,13,13,33,13947,2136,1889,8021,0,0,0,63,67,52,12163,204,588,846,0,0,0,0,0,0,1645,1000,418,1200,0,0,0,16,16,15,2655,37,154,132,0,0,0,0,0,14,335,85,112,88,0,0,0,7,7,11,309,90,38,52,0,0,0,0,0,0,193
Bringelly - Green Valley,12701,88,3,0,0,0,0,0,0,0,90,166,3,0,0,0,0,0,0,0,169,159,8,0,0,0,0,0,0,4,167,150,20,27,0,0,0,0,0,0,201,30,3,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,13,4,0,4,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,365,36,31,0,0,0,0,0,4,436,6,3,0,0,0,0,0,0,0,11,15,3,3,0,0,0,0,0,0,24,637,53,35,0,0,0,0,3,4,723,6490,214,5,0,5,0,3,12,28,6748,11832,640,16,0,0,3,4,9,34,12529,3293,465,51,0,0,3,7,6,15,3835,965,276,514,0,0,0,0,0,10,1762,982,85,18,0,0,3,3,7,9,1104,55,15,34,0,0,0,0,0,0,107,241,18,11,0,0,3,0,4,9,287,114,5,4,0,0,0,0,0,3,125
Fairfield,12702,99,0,3,0,0,0,0,0,0,105,94,5,0,0,0,0,3,3,0,103,147,7,17,0,0,0,3,3,0,169,98,50,6,0,0,0,3,3,0,156,23,3,3,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,3,0,3,6,4,0,0,0,0,0,0,0,4,271,63,33,3,0,0,8,8,0,380,10,0,0,0,0,0,0,0,0,10,19,3,4,0,0,0,0,0,0,25,501,72,32,3,0,0,7,13,3,626,15422,996,876,23,0,4,75,100,17,17413,12651,1724,983,0,0,3,75,79,33,15467,5065,1616,3216,0,3,11,94,107,97,10107,1262,1620,656,0,0,0,11,11,9,3555,1910,371,426,0,0,4,20,30,28,2771,116,144,136,0,0,0,9,7,3,407,449,92,118,37,0,4,9,47,9,728,163,34,59,0,0,0,4,3,0,261
Liverpool,12703,80,0,3,0,0,0,0,0,0,84,142,12,10,0,0,0,0,0,0,161,119,28,48,0,0,0,0,0,3,195,100,43,31,0,0,0,0,0,0,175,25,9,8,0,0,0,0,0,0,35,4,5,8,0,0,0,0,0,0,12,20,4,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,0,0,3,261,82,88,0,0,0,0,0,3,437,3,0,0,0,0,0,0,0,0,4,21,5,4,0,0,0,0,0,0,30,504,101,107,0,0,0,3,3,3,715,7032,518,630,0,0,0,5,5,5,8196,10490,1358,1180,0,0,0,23,18,32,13081,2819,1249,3527,0,0,0,26,26,24,7640,618,620,756,0,0,0,0,0,15,2009,742,151,296,0,0,0,0,0,9,1199,37,79,104,0,0,0,0,0,3,219,505,71,69,0,0,0,4,4,5,652,86,13,44,0,0,0,0,0,7,158
Cronulla - Miranda - Caringbah,12801,90,18,16,4,0,0,0,3,0,126,143,28,32,0,0,0,0,0,0,206,69,20,89,0,0,0,0,0,0,181,12,17,18,0,0,0,0,0,0,53,16,3,13,0,0,0,0,0,0,33,0,0,3,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,103,60,129,0,0,0,0,0,0,291,3,0,0,0,0,0,0,0,0,3,6,5,11,0,0,0,0,0,0,23,348,101,185,4,0,0,3,5,0,638,9834,2406,2420,27,16,0,16,60,13,14734,9168,1703,2595,3,0,0,12,19,25,13506,1421,946,4536,0,0,0,65,61,24,6989,89,341,446,0,0,0,0,0,3,874,509,213,693,0,3,0,19,22,13,1451,22,63,102,0,0,0,0,0,0,188,43,135,26,5,8,0,6,19,0,228,67,20,48,0,0,0,5,5,0,135
Sutherland - Menai - Heathcote,12802,121,5,5,0,0,0,0,0,0,134,213,34,9,0,0,0,0,0,0,259,35,24,44,0,0,0,3,3,0,99,16,20,13,0,0,0,0,0,0,55,9,3,8,0,0,0,0,0,0,24,3,4,0,0,0,0,0,0,0,7,4,0,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,73,46,65,0,3,0,3,8,0,186,3,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,0,0,3,12,417,88,85,0,0,0,0,4,4,604,11123,1309,960,5,13,0,3,32,15,13437,12504,1547,1400,0,0,0,10,14,20,15485,1275,654,1822,0,8,3,30,35,15,3806,152,279,282,0,0,0,0,0,0,712,451,167,251,0,0,0,4,3,10,879,38,39,71,0,0,0,0,0,0,157,27,13,14,8,50,0,3,63,3,124,61,9,11,0,0,0,0,0,0,80
Ballarat,20101,63,3,3,0,0,0,0,0,0,72,177,9,0,0,0,0,0,0,0,190,180,34,14,0,0,0,0,0,4,229,111,20,4,0,0,0,0,0,3,140,32,8,0,0,0,0,0,0,0,41,17,7,4,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,352,74,20,0,0,0,0,0,7,453,0,3,0,0,0,0,0,3,0,5,24,3,0,0,0,0,0,0,0,29,616,92,30,0,0,0,3,0,4,749,11046,1164,167,0,9,0,25,28,33,12437,12007,813,69,0,3,4,33,44,37,12965,4991,2116,584,0,0,0,11,11,25,7738,814,441,97,0,0,0,0,0,5,1352,1450,302,91,0,0,0,3,8,14,1864,123,97,60,0,0,0,0,0,8,285,109,46,18,3,3,0,0,6,11,189,118,37,11,0,0,0,0,0,0,173
Creswick - Daylesford - Ballan,20102,29,0,0,0,0,0,3,3,0,36,65,0,0,0,0,0,3,3,0,64,13,0,3,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,32,0,3,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,130,3,3,0,0,0,5,5,0,144,4159,16,12,17,3,3,142,167,43,4408,3940,3,6,0,4,4,97,109,36,4095,518,20,27,0,0,0,34,36,3,601,58,32,21,0,0,0,0,0,0,115,555,7,12,3,0,0,23,28,13,613,7,11,9,0,0,0,0,0,0,30,61,3,0,14,0,0,0,14,4,78,67,0,3,0,0,0,3,3,7,81
Maryborough - Pyrenees,20103,43,0,0,0,4,0,0,3,0,46,70,0,0,0,0,0,0,0,0,71,30,0,0,0,0,0,0,0,0,30,9,7,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,58,7,0,0,0,0,0,0,0,66,4,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,12,182,9,0,0,3,0,3,4,0,201,4380,82,4,53,41,5,7,105,16,4593,3118,21,3,6,0,5,11,20,9,3173,562,73,19,0,0,0,3,3,4,662,101,49,30,0,0,0,0,0,0,178,579,17,15,0,4,0,12,14,3,627,11,19,10,0,0,0,0,0,0,40,74,6,0,6,4,0,0,13,0,93,79,3,3,0,0,3,0,4,0,95
Bendigo,20201,69,3,0,0,0,0,0,0,0,73,197,4,0,0,0,0,0,0,0,194,221,25,7,0,0,0,0,0,0,253,119,27,4,0,0,0,0,0,0,157,56,5,0,0,0,0,0,0,0,66,10,4,3,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,3,422,62,18,0,0,0,0,0,0,508,3,0,0,0,0,0,0,0,0,3,27,3,0,0,0,0,0,0,0,38,717,76,22,3,0,0,0,3,0,815,10551,531,45,29,27,0,8,66,27,11223,11535,284,58,3,0,0,13,16,28,11914,4910,1372,204,0,0,0,6,12,37,6524,747,402,63,0,0,0,0,0,6,1219,1724,241,37,0,0,0,10,12,9,2025,175,81,22,0,0,0,0,0,0,277,113,23,40,11,17,0,4,32,0,208,128,26,6,0,0,0,0,3,3,169
Heathcote - Castlemaine - Kyneton,20202,52,0,0,0,0,0,0,0,0,52,96,0,0,0,0,0,0,0,3,96,28,3,0,0,0,0,0,0,0,31,9,4,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,58,5,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,211,11,0,0,0,0,0,3,3,225,7038,117,35,15,15,3,6,49,48,7279,6611,32,17,6,3,0,17,22,55,6748,1137,141,47,0,0,0,10,10,8,1343,144,84,14,0,0,0,0,0,0,239,751,54,25,0,0,3,16,20,9,864,48,21,6,0,0,0,0,0,0,77,80,5,0,3,5,0,3,14,4,111,78,8,3,0,0,0,0,0,0,88
Loddon - Elmore,20203,30,0,3,3,0,0,0,3,0,38,30,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,78,0,4,3,0,0,0,5,0,91,1993,7,8,32,3,10,7,44,24,2073,1332,0,0,4,3,0,12,21,15,1361,115,0,10,0,0,0,0,0,0,126,19,8,15,0,0,0,0,0,0,42,290,3,8,0,0,0,4,10,0,307,12,0,3,0,0,0,0,0,0,12,72,0,0,4,3,0,0,6,0,75,54,0,0,3,0,0,0,3,0,62
Barwon - West,20301,13,0,0,0,0,0,0,0,0,19,44,0,0,0,0,0,0,0,0,44,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,76,2159,8,12,0,0,4,0,4,11,2183,3095,3,4,0,0,4,5,14,7,3127,273,6,7,0,0,0,0,0,0,284,23,0,0,0,0,0,0,0,0,23,293,3,6,0,0,0,0,0,3,306,11,0,0,0,0,0,0,0,0,11,54,0,0,0,0,0,0,0,0,55,39,0,0,0,0,0,0,3,0,46
Geelong,20302,126,3,3,0,0,0,0,0,0,134,275,16,4,0,0,0,0,0,0,296,219,38,13,0,0,0,0,0,0,265,112,31,10,0,0,0,0,0,0,154,62,11,0,0,0,0,0,0,0,76,22,15,0,0,0,0,0,0,0,38,8,0,0,0,0,0,0,0,0,11,9,3,0,0,0,0,0,0,0,12,432,90,25,0,0,0,3,3,0,549,11,0,0,0,0,0,0,0,0,15,30,0,3,0,0,0,0,0,0,28,868,113,28,0,3,0,3,4,4,1020,20917,1696,301,37,104,0,38,173,43,23127,21813,1318,267,8,9,3,56,75,38,23520,8160,3170,1080,3,0,0,40,50,49,12512,1449,789,139,0,0,0,0,0,0,2382,2959,607,171,0,3,0,23,24,14,3783,297,249,55,0,0,0,4,4,0,603,278,74,34,13,88,0,33,136,11,538,197,59,25,0,3,0,11,16,9,306
Surf Coast - Bellarine Peninsula,20303,48,3,0,0,0,0,0,0,0,53,102,0,0,0,0,0,0,0,0,102,67,9,3,0,0,0,0,0,0,82,0,4,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11,3,0,0,0,0,0,3,98,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,245,13,3,0,0,0,0,0,3,263,9942,538,128,0,16,0,3,25,47,10678,8618,281,43,0,0,0,7,11,27,8983,2962,559,121,0,0,0,22,21,15,3678,39,36,11,0,0,0,0,0,0,92,1085,123,25,0,3,0,12,12,10,1263,37,18,4,0,0,0,0,0,0,61,71,9,3,4,3,0,0,9,6,94,132,14,3,0,0,0,3,3,5,156
Upper Goulburn Valley,20401,66,0,0,0,0,0,0,0,0,72,124,0,0,0,0,3,0,4,0,126,60,0,5,0,0,0,0,0,0,72,22,4,3,0,0,0,0,0,0,29,33,0,3,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,3,0,15,3,0,0,0,0,0,0,0,0,3,135,7,13,0,4,0,0,3,0,155,6,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,9,341,9,16,4,4,3,0,12,0,368,7572,166,86,65,48,8,17,142,61,8026,6420,40,36,0,0,5,9,23,30,6544,1612,149,168,3,0,0,5,8,3,1941,284,83,54,0,0,0,0,0,0,421,1012,29,55,3,5,3,10,18,15,1129,11,18,18,0,0,0,0,0,0,49,399,32,17,22,20,0,3,41,10,502,164,10,11,0,0,0,0,0,5,194
