gml_id,sa3_name16,sa3_code16,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fce,Hobsons Bay,"21302","396","140","12","0","3","554","177","42","6","0","0","235","134","39","5","0","0","177","249","68","12","0","0","324","321","94","20","0","3","433","914","345","51","0","3","1312","975","425","71","0","4","1473","1495","650","63","0","5","2210","788","389","26","0","10","1213","761","368","12","0","3","1140","625","193","3","0","0","823","342","127","14","0","3","491","7176","2863","302","12","38","10391"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fcf,Maribyrnong,"21303","328","120","53","4","0","504","129","35","15","0","0","180","89","34","26","0","0","144","147","65","32","3","0","250","205","85","59","0","0","350","590","308","216","8","3","1120","688","357","314","4","3","1365","1084","616","293","10","11","2011","856","337","80","9","0","1277","899","292","49","3","0","1246","453","169","32","4","0","651","244","80","20","0","0","341","5713","2491","1185","42","14","9451"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd0,Melton - Bacchus Marsh,"21304","852","68","3","0","0","923","413","34","7","0","0","458","351","34","3","0","0","394","678","64","4","0","0","746","1096","117","3","0","3","1218","3912","365","18","3","4","4309","4786","413","19","0","12","5229","5633","386","16","3","10","6046","2034","113","3","0","5","2153","1288","89","0","3","0","1378","626","30","0","0","0","658","1049","73","3","0","0","1126","22726","1778","79","8","42","24632"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd1,Wyndham,"21305","1103","122","12","0","0","1235","418","58","3","0","0","479","431","47","3","0","0","486","741","90","21","0","0","849","1209","157","22","0","3","1393","4461","654","94","4","0","5206","6450","941","77","0","8","7479","7696","1008","27","0","10","8741","2689","302","4","4","0","2989","1622","169","12","0","0","1799","837","82","12","0","0","932","1233","123","14","0","0","1370","28880","3745","294","9","24","32955"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd2,Frankston,"21401","817","92","16","3","4","928","357","56","4","0","0","417","364","40","5","3","0","411","668","101","20","0","0","782","1003","132","9","0","0","1145","2968","471","63","6","3","3518","3880","533","33","7","6","4460","4211","319","23","8","0","4557","1495","104","3","0","3","1604","971","72","0","0","0","1047","457","28","0","0","0","483","844","72","3","0","0","918","18035","2021","176","25","14","20272"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd3,Mornington Peninsula,"21402","996","69","33","4","3","1105","457","41","17","0","0","513","405","30","15","4","6","456","700","54","14","0","0","775","935","69","18","3","0","1029","2669","227","101","7","3","3002","3097","200","81","0","9","3376","4184","207","85","3","7","4483","1980","56","26","0","7","2073","1674","49","16","0","7","1744","983","21","4","0","4","1012","1017","45","18","0","0","1085","19087","1061","432","20","35","20640"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd4,Grampians,"21501","520","4","0","0","5","531","445","7","0","4","0","452","403","9","0","0","3","421","801","5","10","5","3","825","861","7","12","4","11","889","1510","17","10","7","7","1543","847","3","0","0","3","860","478","0","3","0","5","491","163","0","0","3","4","168","113","0","0","3","0","114","92","0","0","4","6","102","323","0","7","0","3","334","6553","55","42","32","39","6720"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd5,Mildura,"21502","287","10","5","3","0","309","218","6","3","0","0","228","204","6","0","0","0","218","505","22","5","3","3","539","736","24","15","0","3","784","1759","61","13","3","6","1840","1123","17","5","0","0","1149","705","3","0","0","8","714","197","0","0","0","0","197","132","0","0","0","0","133","79","0","0","0","3","80","293","10","0","0","0","302","6243","164","59","15","26","6507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd6,Murray River - Swan Hill,"21503","276","3","0","4","3","291","232","0","0","3","3","239","215","0","0","4","0","223","470","3","3","0","0","475","485","5","10","5","4","503","822","8","3","5","9","848","480","6","3","4","5","495","330","0","0","3","3","337","74","0","0","0","0","82","73","0","0","0","0","68","71","0","0","0","0","72","209","4","0","0","3","218","3733","25","19","29","39","3847"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fd7,Campaspe,"21601","276","3","0","0","0","276","131","3","0","0","0","136","147","3","0","0","0","150","338","3","3","0","0","350","437","9","3","0","0","449","1146","16","4","0","3","1172","837","13","0","3","6","855","566","4","0","0","0","570","153","0","0","0","0","153","145","0","0","0","0","148","90","0","0","3","0","90","227","0","0","0","0","228","4490","65","15","7","12","4592"
