gml_id,sa3_name16,sa3_code16,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5e,Port Macquarie,"10804","6084","587","361","87","13","4","52","7190"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5f,Taree - Gloucester,"10805","3862","383","256","75","12","14","88","4677"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b60,Albury,"10901","5464","427","283","62","9","6","45","6292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b61,Lower Murray,"10902","1069","75","54","17","0","0","24","1230"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b62,Upper Murray exc. Albury,"10903","3328","239","190","33","0","0","40","3832"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b63,Armidale,"11001","3060","209","139","29","5","7","35","3478"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b64,Inverell - Tenterfield,"11002","2784","252","188","43","4","8","45","3320"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b65,Moree - Narrabri,"11003","2184","121","111","34","4","4","40","2499"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b66,Tamworth - Gunnedah,"11004","6866","602","398","93","15","13","73","8059"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b67,Lake Macquarie - East,"11101","12324","1073","559","152","27","12","90","14231"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b68,Lake Macquarie - West,"11102","7116","751","465","109","22","13","81","8559"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b69,Newcastle,"11103","14852","1154","658","148","26","4","95","16936"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6a,Richmond Valley - Coastal,"11201","6461","508","281","61","6","3","51","7375"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6b,Richmond Valley - Hinterland,"11202","5436","515","326","97","14","8","78","6464"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6c,Tweed Valley,"11203","7514","661","402","83","11","4","71","8751"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6d,Griffith - Murrumbidgee (West),"11301","4610","259","215","56","9","7","55","5210"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6e,Tumut - Tumbarumba,"11302","1186","98","74","13","3","0","13","1376"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b6f,Wagga Wagga,"11303","8346","593","468","90","14","9","78","9600"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b70,Shoalhaven,"11401","7375","782","478","127","18","13","127","8924"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b71,Southern Highlands,"11402","4319","357","220","40","0","8","29","4983"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b72,Baulkham Hills,"11501","22403","957","453","265","27","5","32","24133"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b73,Dural - Wisemans Ferry,"11502","3439","192","119","45","4","0","13","3802"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b74,Hawkesbury,"11503","2980","206","163","50","6","0","23","3420"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b75,Rouse Hill - McGraths Hill,"11504","5114","275","215","62","6","6","20","5702"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b76,Blacktown,"11601","17002","924","587","352","31","19","79","18995"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b77,Blacktown - North,"11602","14278","757","409","249","13","9","40","15758"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b78,Mount Druitt,"11603","12910","747","631","381","36","15","82","14796"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b79,Botany,"11701","5140","259","157","77","0","4","24","5661"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7a,Sydney Inner City,"11703","8910","629","138","63","9","0","34","9788"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7b,Eastern Suburbs - South,"11802","13518","636","276","107","9","4","42","14591"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7c,Bankstown,"11901","21156","959","592","412","36","11","84","23256"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7d,Canterbury,"11902","16685","682","375","281","21","9","48","18094"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7e,Hurstville,"11903","15474","686","328","260","21","4","41","16820"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b7f,Kogarah - Rockdale,"11904","15347","706","314","218","13","7","42","16647"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b80,Canada Bay,"12001","9923","437","144","56","4","0","26","10596"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b81,Leichhardt,"12002","5970","339","106","25","3","0","11","6451"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b82,Strathfield - Burwood - Ashfield,"12003","16230","674","253","223","10","9","37","17432"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b83,Chatswood - Lane Cove,"12101","14214","552","207","99","3","0","31","15111"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b84,Hornsby,"12102","11434","490","221","97","9","3","24","12281"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b85,Ku-ring-gai,"12103","17665","654","268","149","4","9","24","18770"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b86,North Sydney - Mosman,"12104","8656","475","139","28","6","4","14","9323"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b87,Manly,"12201","4944","243","88","22","0","0","11","5315"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b88,Pittwater,"12202","7585","487","238","75","13","3","20","8412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b89,Warringah,"12203","19408","1011","442","139","12","5","55","21065"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8a,Camden,"12301","8232","638","469","94","12","15","47","9517"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8b,Campbelltown (NSW),"12302","17709","1256","907","428","48","27","137","20512"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8c,Wollondilly,"12303","4953","357","305","85","3","3","39","5750"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8d,Blue Mountains,"12401","7941","688","372","77","11","0","49","9141"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8e,Blue Mountains - South,"12402","0","0","0","0","0","0","0","0"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b8f,Penrith,"12403","15827","1288","916","231","43","26","111","18443"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b90,Richmond - Windsor,"12404","3445","394","249","53","13","5","28","4185"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b91,Marrickville - Sydenham - Petersham,"11702","4683","278","88","61","4","4","20","5145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b92,Eastern Suburbs - North,"11801","11832","612","204","50","0","3","13","12720"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b93,St Marys,"12405","5885","493","315","123","19","9","38","6876"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b94,Auburn,"12501","10081","385","186","200","19","9","43","10916"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b95,Carlingford,"12502","9309","385","158","128","8","0","21","10006"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b96,Merrylands - Guildford,"12503","18172","753","491","348","20","16","55","19863"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b97,Parramatta,"12504","18137","669","253","228","14","3","43","19349"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b98,Pennant Hills - Epping,"12601","6957","247","99","84","4","3","10","7408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b99,Ryde - Hunters Hill,"12602","16330","632","248","163","12","4","42","17427"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9a,Bringelly - Green Valley,"12701","13719","663","488","262","21","20","61","15226"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9b,Fairfield,"12702","22408","1069","611","579","46","25","108","24842"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9c,Liverpool,"12703","15199","689","500","234","15","12","50","16698"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9d,Cronulla - Miranda - Caringbah,"12801","13084","790","388","90","7","3","28","14388"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9e,Sutherland - Menai - Heathcote,"12802","15030","836","445","124","7","3","36","16470"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b9f,Ballarat,"20101","9464","759","490","72","18","7","49","10850"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba0,Creswick - Daylesford - Ballan,"20102","2582","197","112","23","3","0","17","2935"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba1,Maryborough - Pyrenees,"20103","1913","201","132","26","3","4","26","2299"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba2,Bendigo,"20201","8300","717","467","59","17","5","54","9617"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba3,Heathcote - Castlemaine - Kyneton,"20202","4455","323","194","33","5","0","18","5020"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba4,Loddon - Elmore,"20203","962","82","43","11","0","0","7","1113"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba5,Barwon - West,"20301","2334","160","93","12","3","0","7","2608"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba6,Geelong,"20302","18063","1415","752","136","25","10","95","20489"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba7,Surf Coast - Bellarine Peninsula,"20303","7420","509","263","35","8","0","29","8267"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba8,Upper Goulburn Valley,"20401","4440","417","229","38","12","0","31","5172"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5ba9,Wangaratta - Benalla,"20402","3833","317","208","48","7","0","43","4455"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5baa,Wodonga - Alpine,"20403","6221","546","375","50","3","3","37","7233"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bab,Baw Baw,"20501","4580","384","257","36","4","3","34","5298"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bac,Gippsland - East,"20502","3307","293","181","37","7","3","33","3871"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bad,Gippsland - South West,"20503","4932","396","289","45","0","6","40","5711"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bae,Latrobe Valley,"20504","6082","601","379","66","11","5","55","7200"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5baf,Wellington,"20505","3675","326","219","28","3","5","37","4292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb0,Brunswick - Coburg,"20601","7968","348","126","61","3","0","17","8524"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb1,Darebin - South,"20602","5315","251","82","35","0","3","11","5699"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb2,Essendon,"20603","7200","313","112","30","3","3","11","7676"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb3,Melbourne City,"20604","5205","275","79","27","0","0","14","5607"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb4,Port Phillip,"20605","6791","434","119","18","7","0","11","7379"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb5,Sunbury,"21004","4600","365","216","37","8","3","20","5254"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb6,Tullamarine - Broadmeadows,"21005","21038","980","566","337","12","13","62","23002"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb7,Knox,"21101","19444","1268","612","200","21","7","64","21619"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb8,Manningham - East,"21102","3689","183","84","25","0","3","6","3997"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bb9,Maroondah,"21103","12970","844","396","113","8","3","27","14363"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bba,Whitehorse - East,"21104","7728","356","153","76","8","0","14","8346"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bbb,Yarra Ranges,"21105","16881","1451","791","175","31","11","61","19396"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bbc,Cardinia,"21201","10893","952","652","118","15","10","65","12707"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bbd,Casey - North,"21202","17069","1063","552","241","24","13","50","19004"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bbe,Casey - South,"21203","22236","1485","1016","384","37","26","75","25253"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bbf,Dandenong,"21204","21239","1118","547","497","45","12","96","23552"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc0,Monash,"21205","21084","839","313","270","14","8","50","22576"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc1,Brimbank,"21301","21343","1141","656","475","43","28","113","23797"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc2,Hobsons Bay,"21302","9886","524","244","82","5","5","29","10774"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5bc3,Maribyrnong,"21303","7986","399","137","100","4","7","34","8661"
