tpp_australian_labor_party_percentage, tpp_swing, tpp_liberal_national_coalition_percentage, state, polling_place_id
50.62,-1.88,49.38,"NSW","2645"
45.55,2.65,54.45,"NSW","2670"
54.07,-0.1,45.93,"NSW","2646"
58.74,0.92,41.26,"NSW","2647"
60.07,1.8,39.93,"NSW","2640"
59.65,-4.59,40.35,"NSW","2649"
53.2,-2.05,46.8,"NSW","2662"
55.43,3.63,44.57,"NSW","83607"
55.75,-1.24,44.25,"NSW","2650"
70.0,-15.45,30.0,"NSW","65449"
51.9,0.27,48.1,"NSW","38"
53.54,-1.76,46.46,"NSW","83605"
68.97,-3.48,31.03,"NSW","2652"
60.99,-1.04,39.01,"NSW","2653"
61.29,-2.6,38.71,"NSW","47"
68.87,-12.62,31.13,"NSW","97585"
59.03,-0.92,40.97,"NSW","2656"
50.0,7.22,50.0,"NSW","83606"
0.0,0.0,0.0,"NSW","30095"
56.15,1.2,43.85,"NSW","83609"
51.94,0.02,48.06,"NSW","2660"
58.52,-0.86,41.48,"NSW","2661"
74.95,0.47,25.05,"NSW","79724"
52.02,-3.2,47.98,"NSW","2663"
47.92,-4.81,52.08,"NSW","65171"
53.42,-3.39,46.58,"NSW","2664"
49.34,3.61,50.66,"NSW","2665"
52.61,-4.14,47.39,"NSW","2666"
49.37,1.09,50.63,"NSW","79715"
56.51,-1.28,43.49,"NSW","2667"
61.23,-0.15,38.77,"NSW","50"
50.74,-1.45,49.26,"NSW","51"
69.06,-0.37,30.94,"NSW","65249"
75.17,-0.94,24.83,"NSW","1016"
81.19,-3.03,18.81,"NSW","1010"
81.91,-4.97,18.09,"NSW","1011"
65.34,-1.84,34.66,"NSW","62"
58.95,1.83,41.05,"NSW","33869"
60.75,-0.48,39.25,"NSW","63"
63.98,-2.58,36.02,"NSW","83616"
64.92,-1.57,35.08,"NSW","2671"
60.28,-2.08,39.72,"NSW","14014"
52.55,3.85,47.45,"NSW","97609"
77.81,-6.21,22.19,"NSW","1470"
66.1,-2.4,33.9,"NSW","2641"
62.73,-1.17,37.27,"NSW","2673"
42.86,-0.75,57.14,"NSW","65453"
43.76,-8.67,56.24,"NSW","634"
42.54,-7.03,57.46,"NSW","33926"
56.68,-11.78,43.32,"NSW","97587"
41.52,2.05,58.48,"NSW","65177"
43.92,-3.89,56.08,"NSW","638"
43.92,-6.49,56.08,"NSW","639"
39.36,-5.85,60.64,"NSW","286"
43.65,3.49,56.35,"NSW","83564"
43.71,-1.6,56.29,"NSW","647"
0.0,-55.88,0.0,"NSW","30096"
42.62,-2.87,57.38,"NSW","105"
43.75,-7.04,56.25,"NSW","33877"
46.57,-6.79,53.43,"NSW","83497"
44.06,-7.05,55.94,"NSW","642"
41.82,-3.78,58.18,"NSW","80"
40.07,-2.83,59.93,"NSW","83568"
40.25,-1.07,59.75,"NSW","643"
47.53,-8.6,52.47,"NSW","83198"
47.26,-6.44,52.74,"NSW","81"
46.93,-7.52,53.07,"NSW","645"
46.26,-5.7,53.74,"NSW","82"
41.96,-2.68,58.04,"NSW","83571"
44.25,-7.13,55.75,"NSW","11927"
46.33,4.38,53.67,"NSW","2252"
46.35,0.37,53.65,"NSW","2253"
47.14,-3.06,52.86,"NSW","84"
41.69,-10.14,58.31,"NSW","87"
47.81,-8.95,52.19,"NSW","33930"
57.26,-7.63,42.74,"NSW","98"
43.91,-3.16,56.09,"NSW","92"
42.95,-3.46,57.05,"NSW","83200"
50.4,-8.64,49.6,"NSW","75"
51.35,-4.88,48.65,"NSW","650"
43.24,-2.9,56.76,"NSW","33928"
43.9,-5.14,56.1,"NSW","107"
42.53,-1.06,57.47,"NSW","106"
40.13,1.05,59.87,"NSW","83575"
34.1,-2.64,65.9,"NSW","102"
34.93,-3.47,65.07,"NSW","83560"
37.14,0.88,62.86,"NSW","79"
48.62,-3.95,51.38,"NSW","83199"
51.82,-5.93,48.18,"NSW","655"
39.61,-4.33,60.39,"NSW","657"
52.91,-0.95,47.09,"NSW","14017"
42.96,1.68,57.04,"NSW","97605"
49.28,-1.09,50.72,"NSW","34349"
48.45,-1.15,51.55,"NSW","661"
41.33,-3.83,58.67,"NSW","33945"
42.45,-1.32,57.55,"NSW","8869"
17.13,1.49,82.87,"NSW","1822"
26.21,-0.42,73.79,"NSW","1823"
43.22,-1.54,56.78,"NSW","43686"
22.24,1.17,77.76,"NSW","58669"
36.34,-2.25,63.66,"NSW","632"
39.12,-5.03,60.88,"NSW","83580"
45.42,-2.83,54.58,"NSW","117"
45.86,-2.77,54.14,"NSW","118"
42.88,-0.23,57.12,"NSW","83582"
27.27,-9.09,72.73,"NSW","65454"
54.94,0.09,45.06,"NSW","120"
35.09,-1.77,64.91,"NSW","1850"
34.2,-3.28,65.8,"NSW","776"
28.11,-3.86,71.89,"NSW","56586"
41.52,-6.19,58.48,"NSW","637"
33.29,-1.81,66.71,"NSW","11928"
34.49,-2.64,65.51,"NSW","34004"
34.63,-0.7,65.37,"NSW","1852"
27.17,5.5,72.83,"NSW","83925"
37.02,-4.09,62.98,"NSW","11929"
48.43,-3.87,51.57,"NSW","121"
0.0,-60.0,0.0,"NSW","30097"
22.46,-1.72,77.54,"NSW","11930"
23.95,0.0,76.05,"NSW","1836"
20.42,-0.93,79.58,"NSW","1838"
20.13,2.63,79.87,"NSW","1839"
18.48,3.66,81.52,"NSW","1831"
46.6,2.74,53.4,"NSW","123"
37.74,1.3,62.26,"NSW","58578"
44.28,-2.04,55.72,"NSW","43688"
41.81,-1.51,58.19,"NSW","124"
43.55,-1.69,56.45,"NSW","126"
44.55,-1.15,55.45,"NSW","134"
46.29,-3.27,53.71,"NSW","128"
18.72,0.45,81.28,"NSW","1842"
12.46,7.78,87.54,"NSW","1788"
19.87,0.22,80.13,"NSW","1789"
23.23,-2.1,76.77,"NSW","1846"
44.37,-2.99,55.63,"NSW","131"
41.46,0.08,58.54,"NSW","132"
43.66,-2.16,56.34,"NSW","79812"
45.51,-2.28,54.49,"NSW","135"
42.84,-2.43,57.16,"NSW","136"
34.03,3.83,65.97,"NSW","83678"
20.74,-1.57,79.26,"NSW","1848"
32.06,-1.52,67.94,"NSW","33781"
25.57,5.2,74.43,"NSW","1851"
59.05,-8.64,40.95,"NSW","14020"
38.04,1.15,61.96,"NSW","97607"
41.26,-1.79,58.74,"NSW","56576"
40.01,-3.02,59.99,"NSW","148"
34.81,-1.48,65.19,"NSW","33118"
35.69,-1.97,64.31,"NSW","1855"
27.85,-3.21,72.15,"NSW","11971"
34.62,-1.18,65.38,"NSW","65184"
25.56,-1.34,74.44,"NSW","33800"
74.46,1.72,25.54,"NSW","2365"
61.62,1.82,38.38,"NSW","65744"
69.0,4.32,31.0,"NSW","2392"
59.81,8.9,40.19,"NSW","2366"
74.11,3.83,25.89,"NSW","2368"
71.26,6.1,28.74,"NSW","2369"
76.57,2.77,23.43,"NSW","31455"
68.21,3.51,31.79,"NSW","33854"
74.11,5.96,25.89,"NSW","155"
70.21,5.14,29.79,"NSW","154"
73.35,6.02,26.65,"NSW","157"
69.11,4.48,30.89,"NSW","177"
64.77,6.5,35.23,"NSW","159"
52.12,8.12,47.88,"NSW","83456"
51.67,8.58,48.33,"NSW","162"
70.92,3.46,29.08,"NSW","2370"
62.54,3.06,37.46,"NSW","2383"
67.64,4.91,32.36,"NSW","2371"
43.75,34.82,56.25,"NSW","65523"
73.64,0.82,26.36,"NSW","2375"
70.77,5.06,29.23,"NSW","160"
67.21,4.96,32.79,"NSW","2376"
63.09,2.68,36.91,"NSW","167"
56.59,2.65,43.41,"NSW","33117"
65.72,8.27,34.28,"NSW","168"
58.57,6.05,41.43,"NSW","83474"
0.0,-28.38,0.0,"NSW","30098"
68.45,8.01,31.55,"NSW","65264"
55.94,4.55,44.06,"NSW","169"
66.77,12.46,33.23,"NSW","46624"
71.2,6.82,28.8,"NSW","2373"
63.86,6.05,36.14,"NSW","2380"
61.86,6.06,38.14,"NSW","2390"
66.67,-2.52,33.33,"NSW","79934"
65.54,-2.11,34.46,"NSW","79935"
43.56,1.95,56.44,"NSW","174"
59.74,7.04,40.26,"NSW","66017"
71.98,0.1,28.02,"NSW","2391"
58.96,3.54,41.04,"NSW","79866"
61.33,7.98,38.67,"NSW","2393"
72.01,4.04,27.99,"NSW","2394"
68.37,4.9,31.63,"NSW","32339"
66.38,-4.8,33.62,"NSW","97619"
80.11,4.46,19.89,"NSW","2396"
71.13,6.75,28.87,"NSW","180"
69.85,1.74,30.15,"NSW","182"
45.9,-2.69,54.1,"NSW","115"
44.44,-3.53,55.56,"NSW","65455"
28.84,-6.86,71.16,"NSW","2011"
45.39,-13.31,54.61,"NSW","97589"
37.76,-0.47,62.24,"NSW","79987"
31.42,-1.65,68.58,"NSW","58723"
44.18,-7.05,55.82,"NSW","56721"
0.0,-73.95,0.0,"NSW","30099"
37.39,-8.14,62.61,"NSW","194"
40.86,-10.89,59.14,"NSW","195"
30.09,-6.53,69.91,"NSW","33948"
36.52,-4.64,63.48,"NSW","196"
46.65,0.96,53.35,"NSW","43833"
36.85,-1.42,63.15,"NSW","65110"
44.0,0.2,56.0,"NSW","127"
50.75,-1.77,49.25,"NSW","33771"
41.98,1.21,58.02,"NSW","82528"
32.65,-3.91,67.35,"NSW","97630"
31.98,-4.42,68.02,"NSW","199"
35.31,-4.16,64.69,"NSW","97405"
33.33,-4.05,66.67,"NSW","202"
40.14,-8.43,59.86,"NSW","203"
36.45,-7.3,63.55,"NSW","204"
36.39,-2.75,63.61,"NSW","133"
26.04,-2.47,73.96,"NSW","83551"
30.0,2.39,70.0,"NSW","83679"
33.13,-7.03,66.87,"NSW","206"
28.86,-7.38,71.14,"NSW","137"
37.45,-5.56,62.55,"NSW","207"
36.87,-8.78,63.13,"NSW","208"
35.54,-10.17,64.46,"NSW","210"
34.67,-4.79,65.33,"NSW","2032"
27.81,-6.61,72.19,"NSW","211"
27.54,-6.21,72.46,"NSW","212"
25.39,-5.62,74.61,"NSW","188"
27.64,-5.42,72.36,"NSW","213"
23.94,1.04,76.06,"NSW","83553"
28.93,-6.16,71.07,"NSW","214"
39.93,-4.22,60.07,"NSW","129"
38.86,-4.66,61.14,"NSW","142"
48.81,-8.11,51.19,"NSW","31029"
29.72,2.56,70.28,"NSW","97606"
30.81,-7.24,69.19,"NSW","140"
31.16,-5.92,68.84,"NSW","141"
23.0,-3.07,77.0,"NSW","130"
29.14,-7.11,70.86,"NSW","143"
28.13,-4.33,71.87,"NSW","144"
24.52,0.85,75.48,"NSW","83552"
37.21,-0.35,62.79,"NSW","145"
43.56,-7.2,56.44,"NSW","125"
37.3,-4.28,62.7,"NSW","147"
20.55,3.4,79.45,"NSW","219"
46.85,2.76,53.15,"NSW","220"
46.27,-1.33,53.73,"NSW","221"
40.49,7.31,59.51,"NSW","31071"
45.97,1.75,54.03,"NSW","223"
36.48,3.22,63.52,"NSW","33861"
51.67,0.34,48.33,"NSW","225"
44.97,1.93,55.03,"NSW","227"
31.22,-0.34,68.78,"NSW","1750"
33.48,3.28,66.52,"NSW","228"
37.69,-4.72,62.31,"NSW","229"
44.17,-5.4,55.83,"NSW","230"
40.0,4.44,60.0,"NSW","65499"
19.92,1.68,80.08,"NSW","2157"
38.03,-0.96,61.97,"NSW","231"
33.2,8.16,66.8,"NSW","232"
36.9,-4.96,63.1,"NSW","235"
30.45,-4.38,69.55,"NSW","236"
26.99,-2.15,73.01,"NSW","2161"
29.82,0.02,70.18,"NSW","237"
42.29,0.88,57.71,"NSW","238"
29.43,0.02,70.57,"NSW","2162"
49.14,5.39,50.86,"NSW","241"
40.27,13.58,59.73,"NSW","242"
22.71,-1.89,77.29,"NSW","2171"
0.0,-50.0,0.0,"NSW","30100"
27.0,12.05,73.0,"NSW","83546"
39.18,-1.21,60.82,"NSW","244"
23.53,-2.62,76.47,"NSW","2183"
27.76,1.3,72.24,"NSW","2191"
34.25,3.55,65.75,"NSW","249"
48.0,0.06,52.0,"NSW","250"
35.9,3.91,64.1,"NSW","252"
33.87,-6.01,66.13,"NSW","253"
28.26,4.62,71.74,"NSW","254"
37.47,2.29,62.53,"NSW","1767"
45.26,4.84,54.74,"NSW","255"
48.33,0.51,51.67,"NSW","256"
20.13,10.86,79.87,"NSW","258"
42.8,15.17,57.2,"NSW","259"
45.29,-1.68,54.71,"NSW","260"
54.88,2.31,45.12,"NSW","262"
40.3,12.29,59.7,"NSW","33864"
25.94,0.81,74.06,"NSW","265"
22.73,16.21,77.27,"NSW","266"
19.32,7.51,80.68,"NSW","267"
30.39,4.99,69.61,"NSW","269"
21.17,3.89,78.83,"NSW","2201"
34.65,5.72,65.35,"NSW","272"
33.11,-5.11,66.89,"NSW","273"
29.74,-2.8,70.26,"NSW","2203"
36.35,-2.25,63.65,"NSW","276"
42.55,0.46,57.45,"NSW","277"
31.44,-0.29,68.56,"NSW","33888"
32.24,3.66,67.76,"NSW","279"
29.03,-7.47,70.97,"NSW","2205"
38.89,-2.2,61.11,"NSW","2207"
29.02,-2.32,70.98,"NSW","2209"
37.78,8.22,62.22,"NSW","280"
38.1,-5.51,61.9,"NSW","1796"
50.45,6.29,49.55,"NSW","282"
32.95,10.14,67.05,"NSW","1795"
39.63,-4.49,60.37,"NSW","283"
46.43,-11.02,53.57,"NSW","284"
26.34,-6.77,73.66,"NSW","65686"
32.26,-3.56,67.74,"NSW","33863"
36.66,-4.62,63.34,"NSW","287"
35.31,-3.37,64.69,"NSW","288"
36.99,0.15,63.01,"NSW","289"
30.25,-3.07,69.75,"NSW","290"
41.74,15.96,58.26,"NSW","291"
38.23,4.39,61.77,"NSW","294"
38.18,2.5,61.82,"NSW","1803"
40.94,2.0,59.06,"NSW","297"
32.13,-2.81,67.87,"NSW","299"
31.6,-10.7,68.4,"NSW","300"
32.71,9.3,67.29,"NSW","2223"
55.0,16.43,45.0,"NSW","14036"
17.82,4.61,82.18,"NSW","1808"
45.19,11.86,54.81,"NSW","306"
37.93,2.22,62.07,"NSW","307"
37.36,15.68,62.64,"NSW","309"
35.5,-2.51,64.5,"NSW","83290"
36.45,1.4,63.55,"NSW","310"
35.09,-0.01,64.91,"NSW","2235"
38.07,1.31,61.93,"NSW","2236"
35.71,2.66,64.29,"NSW","311"
19.75,4.65,80.25,"NSW","2240"
33.9,11.4,66.1,"NSW","261"
59.41,4.97,40.59,"NSW","413"
67.4,11.67,32.6,"NSW","385"
71.21,6.89,28.79,"NSW","386"
62.21,4.86,37.79,"NSW","58585"
65.32,1.17,34.68,"NSW","388"
61.32,5.36,38.68,"NSW","12049"
73.91,4.66,26.09,"NSW","65405"
55.56,9.6,44.44,"NSW","1027"
70.11,8.83,29.89,"NSW","392"
58.33,5.96,41.67,"NSW","30102"
65.13,2.53,34.87,"NSW","393"
68.63,1.91,31.37,"NSW","83628"
63.86,6.69,36.14,"NSW","1028"
51.07,13.78,48.93,"NSW","83627"
67.14,4.77,32.86,"NSW","31463"
65.3,5.66,34.7,"NSW","31030"
70.25,5.71,29.75,"NSW","397"
67.37,8.39,32.63,"NSW","399"
63.01,4.92,36.99,"NSW","1036"
59.6,9.14,40.4,"NSW","1037"
61.94,6.49,38.06,"NSW","1038"
57.37,4.6,42.63,"NSW","1030"
46.95,-5.23,53.05,"NSW","1039"
59.41,5.73,40.59,"NSW","83687"
77.14,0.07,22.86,"NSW","402"
63.11,9.82,36.89,"NSW","33976"
74.43,1.47,25.57,"NSW","403"
60.98,2.92,39.02,"NSW","404"
67.63,5.21,32.37,"NSW","406"
71.16,1.2,28.84,"NSW","83588"
58.93,6.1,41.07,"NSW","1046"
61.4,2.76,38.6,"NSW","56862"
66.14,5.15,33.86,"NSW","407"
62.79,5.07,37.21,"NSW","408"
70.75,-0.95,29.25,"NSW","83589"
55.6,3.09,44.4,"NSW","82531"
66.09,8.73,33.91,"NSW","411"
62.9,15.67,37.1,"NSW","14039"
66.04,7.99,33.96,"NSW","412"
68.45,8.23,31.55,"NSW","414"
66.63,5.83,33.37,"NSW","415"
59.97,6.7,40.03,"NSW","32335"
24.35,1.86,75.65,"NSW","33"
40.0,23.64,60.0,"NSW","65420"
43.69,5.83,56.31,"NSW","80144"
22.92,1.95,77.08,"NSW","83518"
24.11,0.66,75.89,"NSW","417"
31.38,4.82,68.62,"NSW","419"
32.39,6.39,67.61,"NSW","420"
25.76,1.33,74.24,"NSW","418"
29.6,4.09,70.4,"NSW","421"
44.74,4.28,55.26,"NSW","80139"
30.84,2.58,69.16,"NSW","40"
49.44,-10.66,50.56,"NSW","97578"
27.75,2.9,72.25,"NSW","80121"
29.13,2.11,70.87,"NSW","422"
31.49,3.48,68.51,"NSW","423"
30.41,1.4,69.59,"NSW","425"
0.0,0.0,0.0,"NSW","30103"
34.32,5.85,65.68,"NSW","33875"
27.03,5.35,72.97,"NSW","445"
38.75,0.14,61.25,"NSW","1207"
32.52,0.08,67.48,"NSW","430"
26.67,8.83,73.33,"NSW","83533"
32.7,1.42,67.3,"NSW","429"
29.44,2.03,70.56,"NSW","82538"
35.77,9.2,64.23,"NSW","80185"
30.15,4.57,69.85,"NSW","49"
41.56,6.97,58.44,"NSW","54"
29.27,6.53,70.73,"NSW","433"
22.47,0.38,77.53,"NSW","434"
37.43,3.91,62.57,"NSW","435"
41.89,2.56,58.11,"NSW","436"
28.48,3.32,71.52,"NSW","33960"
30.63,5.36,69.37,"NSW","437"
45.17,-3.88,54.83,"NSW","97411"
38.43,7.62,61.57,"NSW","69"
40.23,6.73,59.77,"NSW","61"
39.62,5.58,60.38,"NSW","82542"
33.67,5.5,66.33,"NSW","41"
34.39,4.15,65.61,"NSW","68"
47.19,1.51,52.81,"NSW","14040"
23.77,2.35,76.23,"NSW","439"
27.24,6.3,72.76,"NSW","441"
24.51,9.03,75.49,"NSW","83514"
26.44,7.68,73.56,"NSW","444"
19.86,7.0,80.14,"NSW","443"
34.53,2.29,65.47,"NSW","446"
23.98,10.96,76.02,"NSW","97407"
26.81,1.87,73.19,"NSW","447"
27.66,6.23,72.34,"NSW","474"
41.36,-6.67,58.64,"NSW","31727"
36.27,5.49,63.73,"NSW","454"
69.72,-11.14,30.28,"NSW","456"
71.6,10.66,28.4,"NSW","83890"
40.0,-28.23,60.0,"NSW","65448"
36.19,-6.44,63.81,"NSW","458"
43.19,11.81,56.81,"NSW","83751"
35.61,-3.97,64.39,"NSW","459"
31.58,-5.26,68.42,"NSW","32370"
45.67,-4.34,54.33,"NSW","460"
44.94,-6.62,55.06,"NSW","462"
44.25,-2.8,55.75,"NSW","464"
37.72,0.65,62.28,"NSW","33739"
52.74,-13.12,47.26,"NSW","465"
45.57,17.2,54.43,"NSW","83637"
42.17,-4.9,57.83,"NSW","494"
42.26,-3.6,57.74,"NSW","466"
44.55,-1.48,55.45,"NSW","468"
37.14,5.51,62.86,"NSW","30104"
42.19,-1.47,57.81,"NSW","2067"
26.91,-2.76,73.09,"NSW","33903"
43.26,-5.09,56.74,"NSW","470"
30.31,3.12,69.69,"NSW","471"
25.6,1.47,74.4,"NSW","472"
59.48,-5.09,40.52,"NSW","473"
33.5,1.06,66.5,"NSW","476"
30.57,0.58,69.43,"NSW","477"
31.16,-3.85,68.84,"NSW","501"
35.44,6.23,64.56,"NSW","97473"
34.12,1.83,65.88,"NSW","482"
40.34,0.96,59.66,"NSW","483"
32.6,0.43,67.4,"NSW","33678"
48.63,-5.74,51.37,"NSW","485"
37.89,2.22,62.11,"NSW","486"
41.66,-7.87,58.34,"NSW","2090"
40.64,1.03,59.36,"NSW","8868"
30.95,0.84,69.05,"NSW","489"
56.2,-3.86,43.8,"NSW","491"
45.85,-3.76,54.15,"NSW","492"
44.39,-3.34,55.61,"NSW","493"
38.84,-0.61,61.16,"NSW","33737"
40.99,0.05,59.01,"NSW","495"
32.92,29.66,67.08,"NSW","83753"
28.96,2.64,71.04,"NSW","33677"
39.8,-8.74,60.2,"NSW","500"
40.29,10.03,59.71,"NSW","83752"
31.54,0.95,68.46,"NSW","11941"
42.5,-7.39,57.5,"NSW","475"
42.04,-3.19,57.96,"NSW","499"
