sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
"210106080","Queenscliffe (B)",35.3,4.7,16.8,24.9,19.0
"205255251","Moreland (C) - Brunswick",32.9,5.3,12.3,20.8,25.3
"205255252","Moreland (C) - Coburg",39.2,4.4,22.1,30.0,14.7
"205255253","Moreland (C) - North",49.8,6.7,24.2,36.0,18.6
"205300661","Banyule (C) - Heidelberg",41.5,4.6,23.7,32.0,14.3
"205300662","Banyule (C) - North",47.5,5.2,27.5,36.9,14.0
"205301891","Darebin (C) - Northcote",39.8,5.5,18.5,27.9,19.7
"205451111","Boroondara (C) - Camberwell N.",38.7,5.6,17.1,26.6,21.0
"205451112","Boroondara (C) - Camberwell S.",32.6,4.8,13.9,21.9,21.8
"205451113","Boroondara (C) - Hawthorn",31.7,5.3,10.8,19.2,27.7
"205451114","Boroondara (C) - Kew",42.8,7.8,12.7,24.8,31.4
"205504211","Manningham (C) - East",49.4,8.7,16.4,30.5,28.5
"205504214","Manningham (C) - West",41.8,3.8,27.0,34.0,11.2
"205504971","Monash (C) - South-West",41.6,6.7,15.9,26.8,24.8
"205504974","Monash (C) - Waverley East",41.9,5.2,21.8,31.0,16.8
"235105431","Mount Alexander (S) - C'maine",40.5,4.9,21.5,30.1,16.2
"235105434","Mount Alexander (S) Bal",41.5,4.1,25.7,33.1,12.3
"235204131","Macedon Ranges (S) - Kyneton",41.3,6.2,17.3,27.8,22.3
"235204134","Macedon Ranges (S) - Romsey",49.6,6.0,26.4,37.3,16.2
"235204135","Macedon Ranges (S) Bal",42.9,5.0,23.6,32.5,15.2
"205504975","Monash (C) - Waverley West",37.5,4.9,18.6,27.0,18.0
"205506981","Whitehorse (C) - Box Hill",30.5,4.7,12.0,19.7,23.9
"205506984","Whitehorse (C) - Nunawading E.",32.2,4.5,14.6,22.2,20.4
"205506985","Whitehorse (C) - Nunawading W.",34.0,4.6,15.9,23.8,19.5
"205553672","Knox (C) - North-East",45.0,5.3,24.5,34.0,15.5
"205553673","Knox (C) - North-West",42.2,6.3,17.8,28.4,22.2
"205553674","Knox (C) - South",56.1,7.4,27.8,41.2,18.0
"205554411","Maroondah (C) - Croydon",41.3,4.5,23.9,31.9,14.0
"205554412","Maroondah (C) - Ringwood",38.0,4.9,19.1,27.6,17.6
"205607451","Yarra Ranges (S) - Central",52.6,10.7,12.4,28.4,37.7
"205607452","Yarra Ranges (S) - Dandenongs",42.0,6.9,15.5,26.7,25.7
"205652311","Glen Eira (C) - Caulfield",32.5,3.9,17.3,24.1,16.2
"240101371","Campaspe (S) - Echuca",51.6,6.4,27.0,38.6,16.6
"240101374","Campaspe (S) - Kyabram",39.9,5.1,20.1,29.0,17.5
"205652314","Glen Eira (C) - South",44.6,5.2,24.6,33.9,15.3
"205653431","Kingston (C) - North",36.1,3.9,21.0,27.9,13.9
"205653434","Kingston (C) - South",48.0,5.8,25.6,36.1,16.1
"205656352","Stonnington (C) - Malvern",33.6,4.3,16.7,24.2,17.9
"205752671","Gr. Dandenong (C) - Dandenong",56.2,6.9,29.6,42.3,16.4
"205752674","Gr. Dandenong (C) Bal",37.9,3.9,22.7,29.7,13.1
"205801452","Cardinia (S) - North",44.2,5.7,22.3,32.2,17.6
"205801453","Cardinia (S) - Pakenham",46.3,5.3,25.6,35.3,15.2
"205801454","Cardinia (S) - South",74.4,12.7,28.3,51.8,24.6
"205801612","Casey (C) - Berwick",43.6,4.0,28.1,35.4,11.2
"240101376","Campaspe (S) - South",35.4,7.2,6.3,16.1,44.7
"240102834","Gr. Shepparton (C) - Pt B East",null,null,null,null,null
"240102835","Gr. Shepparton (C) - Pt B West",67.9,10.7,28.1,47.6,22.6
"240104901","Moira (S) - East",36.5,5.3,15.9,24.8,21.3
"240104904","Moira (S) - West",35.9,4.0,20.4,27.5,14.5
"240151011","Benalla (RC) - Benalla",42.2,4.3,25.3,33.2,13.1
"240151014","Benalla (RC) Bal",41.1,5.8,18.7,28.6,20.2
"240154250","Mansfield (S)",28.5,2.8,17.5,22.5,12.4
"240156430","Strathbogie (S)",46.2,4.4,28.9,37.1,12.0
"240204851","Mitchell (S) - North",51.4,6.2,27.6,38.8,15.9
"240204854","Mitchell (S) - South",41.2,4.9,22.1,30.9,15.9
"240205621","Murrindindi (S) - East",38.3,3.7,23.7,30.5,12.2
"240205622","Murrindindi (S) - West",39.5,5.3,18.9,28.1,18.9
"245053351","Indigo (S) - Pt A",31.8,3.3,19.0,24.9,13.1
"245056671","Towong (S) - Pt A",48.7,7.7,19.0,32.1,24.1
"245057170","Wodonga (RC)",37.5,3.3,24.7,30.8,10.6
"245103352","Indigo (S) - Pt B",47.8,6.4,23.0,34.3,18.7
"245106701","Wangaratta (RC) - Central",40.0,4.1,23.9,31.3,13.2
"245106704","Wangaratta (RC) - North",32.3,6.0,8.2,17.1,35.3
"245106705","Wangaratta (RC) - South",26.0,4.7,7.2,14.2,33.1
"245150111","Alpine (S) - East",35.1,4.4,17.8,25.5,17.4
"245150112","Alpine (S) - West",37.6,4.8,18.9,27.2,17.7
"205801613","Casey (C) - Cranbourne",52.0,4.9,33.0,42.2,11.6
"245156672","Towong (S) - Pt B",37.8,4.4,20.7,28.5,15.5
"205801616","Casey (C) - Hallam",43.1,5.0,23.7,32.7,15.3
"205801618","Casey (C) - South",44.0,8.1,12.7,25.2,32.2
"210052753","Geelong",47.6,10.2,8.1,22.1,46.3
"210052754","Geelong West",51.6,9.4,15.9,31.0,30.4
"210052755","Newtown",39.0,7.2,10.8,21.8,33.1
"210052756","South Barwon - Inner",34.0,4.8,15.4,23.4,20.3
"210102757","Greater Geelong (C) - Pt B",55.6,6.1,32.0,43.4,14.1
"210151751","Colac-Otway (S) - Colac",38.6,4.3,22.0,29.6,14.4
"210151754","Colac-Otway (S) - North",45.2,6.3,21.0,31.9,19.7
"210151755","Colac-Otway (S) - South",41.7,8.7,7.6,19.5,44.4
"210152491","Golden Plains (S) - North-West",45.2,4.2,29.1,36.8,11.3
"210152492","Golden Plains (S) - South-East",50.2,5.3,29.9,39.6,13.3
"210152758","Greater Geelong (C) - Pt C",null,null,null,null,null
"215016730","Warrnambool (C)",34.9,3.2,22.4,28.2,11.3
"215051831","Corangamite (S) - North",42.0,4.7,23.7,32.2,14.6
"215051832","Corangamite (S) - South",48.2,5.7,26.3,36.6,15.5
"215055491","Moyne (S) - North-East",39.8,7.2,11.9,23.0,31.1
"215055493","Moyne (S) - North-West",30.7,6.0,6.3,14.7,41.1
"215055496","Moyne (S) - South",37.8,3.8,23.0,29.9,12.7
"255053818","Latrobe (C) Bal",null,null,null,null,null
"255100834","Baw Baw (S) - Pt B East",71.3,11.5,29.0,50.2,22.9
"255100835","Baw Baw (S) - Pt B West",27.6,3.1,15.3,20.8,15.1
"255107458","Yarra Ranges (S) - Pt B",null,null,null,null,null
"255200741","Bass Coast (S) - Phillip Is.",33.4,5.9,10.1,19.2,30.7
"255200744","Bass Coast (S) Bal",39.1,4.0,23.5,30.7,13.1
"255206171","South Gippsland (S) - Central",43.4,5.3,22.8,32.2,16.4
"255206174","South Gippsland (S) - East",34.3,5.7,12.0,21.1,27.0
"255206175","South Gippsland (S) - West",46.2,6.9,19.5,31.3,22.1
"215102411","Glenelg (S) - Heywood",43.8,6.2,20.1,30.7,20.0
"215102412","Glenelg (S) - North",46.6,8.5,13.8,27.2,31.4
"215102413","Glenelg (S) - Portland",45.8,5.1,26.2,35.4,14.3
"220050571","Ballarat (C) - Central",31.5,2.1,23.4,27.3,7.6
"220050572","Ballarat (C) - Inner North",36.4,2.9,25.1,30.4,9.5
"220050573","Ballarat (C) - North",null,null,null,null,null
"220050574","Ballarat (C) - South",34.7,2.6,24.4,29.3,9.0
"220102911","Hepburn (S) - East",31.3,3.7,16.8,23.3,16.0
"220102912","Hepburn (S) - West",44.9,5.0,25.6,34.6,14.4
"220105151","Moorabool (S) - Bacchus Marsh",48.5,4.2,32.2,40.0,10.5
"220105154","Moorabool (S) - Ballan",59.2,7.6,30.4,44.3,17.1
"220105155","Moorabool (S) - West",49.2,8.4,17.1,30.9,27.2
"220150260","Ararat (RC)",36.9,3.9,21.7,28.7,13.5
"220155991","Pyrenees (S) - North",48.3,7.2,20.7,33.1,21.7
"220155994","Pyrenees (S) - South",51.4,5.4,30.5,40.5,13.4
"225053191","Horsham (RC) - Central",30.7,3.1,18.5,24.1,12.9
"225053194","Horsham (RC) Bal",45.1,6.7,19.1,30.6,22.0
"225055811","N. Grampians (S) - St Arnaud",46.3,5.4,25.6,35.2,15.2
"230156611","Swan Hill (RC) - Central",40.6,4.9,21.5,30.2,16.3
"230156614","Swan Hill (RC) - Robinvale",59.3,11.2,17.9,36.0,31.0
"230156616","Swan Hill (RC) Bal",42.3,5.3,21.7,31.1,17.1
"235052621","Gr. Bendigo (C) - Central",56.5,8.5,24.3,39.2,21.6
"235052622","Gr. Bendigo (C) - Eaglehawk",63.0,10.6,23.6,42.1,25.2
"235052623","Gr. Bendigo (C) - Inner East",41.9,6.5,16.8,27.6,23.5
"235052624","Gr. Bendigo (C) - Inner North",40.0,6.9,13.2,24.1,28.6
"235052625","Gr. Bendigo (C) - Inner West",60.7,10.6,21.4,39.4,26.8
"235052626","Gr. Bendigo (C) - S'saye",null,null,null,null,92.0
"235101671","C. Goldfields (S) - M'borough",44.3,4.2,27.8,35.7,11.9
"235101674","C. Goldfields (S) Bal",39.4,5.2,19.2,28.3,18.4
"235102628","Gr. Bendigo (C) - Pt B",46.8,7.1,19.6,31.6,22.4
"235103943","Loddon (S) - North",37.3,5.3,16.7,25.7,20.6
"235103945","Loddon (S) - South",40.7,5.1,20.8,29.8,17.2
"250052111","E. Gippsland (S) - Bairnsdale",38.5,4.3,21.8,29.5,14.5
"250052113","E. Gippsland (S) - Orbost",49.7,6.7,23.9,35.8,18.7
"250052115","E. Gippsland (S) - South-West",48.8,9.9,11.1,25.6,38.6
"250052117","E. Gippsland (S) Bal",null,null,null,null,null
"250156811","Wellington (S) - Alberton",50.4,7.9,20.4,33.7,23.3
"250156812","Wellington (S) - Avon",62.0,9.9,25.0,42.5,23.3
"250156813","Wellington (S) - Maffra",43.1,6.0,19.8,30.2,19.9
"250156814","Wellington (S) - Rosedale",35.2,6.2,11.0,20.6,30.1
"250156815","Wellington (S) - Sale",40.5,5.2,20.1,29.3,17.9
"255050831","Baw Baw (S) - Pt A",34.2,6.5,8.4,17.9,36.3
"255053811","Latrobe (C) - Moe",49.0,6.5,24.1,35.6,18.2
"255053814","Latrobe (C) - Morwell",58.1,6.5,33.2,45.3,14.3
