SA4_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,SA4_NAME11
111,136266,144830,281096,61767,32704,94471,15216,36114,51330,4810,5048,9858,5011,4095,9106,86804,77961,164765,42901,60576,103477,5.8,5.3,5.5,63.7,53.8,58.6,60.0,51.0,55.4,4167,3571,7738,1412,2441,3853,14123,18785,32908,9143,12580,21723,40704,20998,61702,136042,142417,278459,22799,23966,46765,93294,97810,191104,56048,59410,115458,Newcastle and Lake Macquarie
112,88923,96339,185262,31589,17941,49530,12535,23824,36359,2996,3001,5997,4436,3499,7935,51556,48265,99821,32385,43247,75632,8.6,7.2,7.9,58.0,50.1,53.9,53.0,46.5,49.6,1686,1719,3405,977,1814,2791,7739,11426,19165,5273,8874,14147,25089,14188,39277,88204,93426,181630,15709,17504,33213,58673,61239,119912,38901,43474,82375,Richmond - Tweed
113,58531,59650,118181,29409,14662,44071,5477,14341,19818,2253,2196,4449,1794,1704,3498,38933,32903,71836,16558,23856,40414,4.6,5.2,4.9,66.5,55.2,60.8,63.5,52.3,57.8,912,797,1709,431,820,1251,3658,6188,9846,2695,4104,6799,15653,9347,25000,59042,60316,119358,10566,10840,21406,40473,40759,81232,24439,25769,50208,Riverina
114,54227,57825,112052,19921,10246,30167,6182,13167,19349,1746,1789,3535,2031,1610,3641,29880,26812,56692,21113,27946,49059,6.8,6.0,6.4,55.1,46.4,50.6,51.4,43.6,47.3,1260,1113,2373,534,1094,1628,4270,5782,10052,3694,5386,9080,16987,8888,25875,53580,56696,110276,8728,9548,18276,36560,38357,74917,22252,24370,46622,Southern Highlands and Shoalhaven
115,80981,84904,165885,45191,24908,70099,9634,23100,32734,2750,2993,5743,2470,2135,4605,60045,53136,113181,18197,28897,47094,4.1,4.0,4.1,74.1,62.6,68.2,71.1,60.1,65.5,5389,3927,9316,1219,1845,3064,14541,16530,31071,7437,10292,17729,18939,9880,28819,89003,91081,180084,10777,11245,22022,62800,64056,126856,30968,32508,63476,Sydney - Baulkham Hills and Hawkesbury
116,113433,118070,231503,58296,34109,92405,11497,22695,34192,4205,4138,8343,5265,5122,10387,79263,66064,145327,28619,46645,75264,6.6,7.8,7.1,69.9,56.0,62.8,65.2,51.6,58.3,4407,3702,8109,940,1249,2189,12957,16620,29577,8145,9760,17905,24684,14765,39449,123366,126375,249741,18050,18402,36452,82059,84372,166431,47911,49495,97406,Sydney - Blacktown
117,122841,114519,237360,60087,42941,103028,14994,20491,35485,3387,3794,7181,4718,3998,8716,83186,71224,154410,24907,31683,56590,5.7,5.6,5.6,67.7,62.2,65.1,63.9,58.7,61.4,11465,10772,22237,2222,2991,5213,28780,29658,58438,10221,10610,20831,14325,8171,22496,91615,86331,177946,27990,27556,55546,48745,46766,95511,65432,61976,127408,Sydney - City and Inner South
118,102193,109437,211630,49580,36188,85768,12007,22020,34027,3062,3721,6783,3282,2920,6202,67931,64849,132780,24131,34965,59096,4.8,4.5,4.7,66.5,59.3,62.7,63.3,56.6,59.8,10080,9363,19443,1688,2940,4628,25475,29367,54842,7523,11251,18774,13045,7544,20589,86121,92680,178801,21204,23098,44302,50748,55907,106655,50107,53682,103789,Sydney - Eastern Suburbs
119,205423,215787,421210,88792,53373,142165,25459,38984,64443,7571,6848,14419,8881,7523,16404,130703,106728,237431,61478,96109,157587,6.8,7.0,6.9,63.6,49.5,56.4,59.3,46.0,52.5,10187,8594,18781,1757,2429,4186,27380,30954,58334,16198,20124,36322,37955,21059,59014,210738,218796,429534,29413,29561,58974,142930,149903,292833,80585,82750,163335,Sydney - Inner South West
120,106040,114800,220840,52479,37873,90352,13599,23679,37278,3370,4064,7434,3882,3494,7376,73330,69110,142440,25142,38549,63691,5.3,5.1,5.2,69.2,60.2,64.5,65.5,57.2,61.2,10214,10066,20280,1982,3276,5258,23381,27625,51006,9116,11747,20863,14930,9025,23955,97878,104946,202824,19903,21445,41348,60171,65743,125914,50053,53336,103389,Sydney - Inner West
121,144748,160916,305664,77268,49353,126621,18044,36995,55039,4156,5331,9487,4361,4109,8470,103829,95788,199617,33350,57481,90831,4.2,4.3,4.2,71.7,59.5,65.3,68.7,57.0,62.5,18608,15026,33634,3362,5472,8834,42304,45556,87860,12872,19476,32348,16696,11653,28349,141851,153971,295822,27392,29941,57333,88939,97619,186558,70181,76391,146572,Sydney - North Sydney and Hornsby
122,92110,98283,190393,48920,27921,76841,11978,26319,38297,2986,3508,6494,2327,2089,4416,66211,59837,126048,21448,34098,55546,3.5,3.5,3.5,71.9,60.9,66.2,69.4,58.8,63.9,5826,4881,10707,1495,2581,4076,18423,20510,38933,9328,13483,22811,20379,10621,31000,92866,97395,190261,16886,17599,34485,60323,63793,124116,42036,44022,86058,Sydney - Northern Beaches
123,88360,94004,182364,47445,26459,73904,8566,20924,29490,3358,3406,6764,3610,3512,7122,62979,54301,117280,21070,35154,56224,5.7,6.5,6.1,71.3,57.8,64.3,67.2,54.0,60.4,2039,1930,3969,634,1092,1726,6588,9593,16181,5691,8172,13863,25698,13892,39590,95561,99091,194652,13472,14327,27799,65844,67983,133827,35176,37805,72981,Sydney - Outer South West
124,110151,117083,227234,58195,32745,90940,11562,28175,39737,4236,4324,8560,4055,3797,7852,78048,69041,147089,26666,42777,69443,5.2,5.5,5.3,70.9,59.0,64.7,67.2,55.7,61.3,2974,2999,5973,1174,1983,3157,9299,13741,23040,7615,10781,18396,31751,17947,49698,116684,121829,238513,15937,16984,32921,81044,84519,165563,42346,45339,87685,Sydney - Outer West and Blue Mountains
125,157960,158417,316377,69743,41204,110947,18826,26911,45737,5461,4899,10360,6993,6181,13174,101023,79195,180218,46302,69658,115960,6.9,7.8,7.3,64.0,50.0,57.0,59.5,46.1,52.8,10469,8126,18595,1609,2057,3666,23025,25669,48694,12645,14466,27111,26299,15019,41318,154923,157107,312030,26794,25991,52785,98365,101247,199612,70037,69173,139210,Sydney - Parramatta
126,64732,70243,134975,31816,20209,52025,7960,15285,23245,1793,2151,3944,2354,2234,4588,43923,39879,83802,18091,27611,45702,5.4,5.6,5.5,67.9,56.8,62.1,64.2,53.6,58.7,7219,5971,13190,1218,1879,3097,15281,16756,32037,5734,7800,13534,9492,5629,15121,64166,68299,132465,11195,11637,22832,42299,45706,88005,28715,29958,58673,Sydney - Ryde
127,137739,143780,281519,60655,33953,94608,13582,23676,37258,5378,4576,9954,6789,5757,12546,86404,67962,154366,42933,67583,110516,7.9,8.5,8.1,62.7,47.3,54.8,57.8,43.3,50.4,2271,2132,4403,555,871,1426,11086,13682,24768,8682,11041,19723,27425,15909,43334,148452,152131,300583,18327,19137,37464,105779,108188,213967,49280,51739,101019,Sydney - South West
128,82143,87879,170022,45151,24989,70140,9400,24341,33741,2852,3391,6243,2130,1910,4040,59533,54631,114164,19264,30079,49343,3.6,3.5,3.5,72.5,62.2,67.1,69.9,60.0,64.8,3248,2675,5923,1053,1845,2898,10958,13731,24689,7941,10782,18723,25144,11951,37095,86384,90684,177068,11483,12078,23561,61048,64181,125229,30690,32796,63486,Sydney - Sutherland
197,52,57,109,15,4,19,3,3,6,4,4,8,0,0,0,22,11,33,27,37,64,0.0,0.0,0.0,40.7,20.0,30.3,40.7,20.0,30.3,0,0,0,0,0,0,3,3,6,3,5,8,22,7,29,45,47,92,9,5,14,33,36,69,22,16,38,Migratory - Offshore - Shipping (NSW)
199,6957,4781,11738,1523,761,2284,472,530,1002,215,154,369,642,422,1064,2852,1867,4719,2239,2148,4387,22.5,22.6,22.5,41.0,39.1,40.2,31.8,30.2,31.1,162,181,343,46,67,113,599,684,1283,298,348,646,1223,579,1802,1332,811,2143,4160,3581,7741,877,478,1355,4324,3695,8019,Special Purpose Codes SA4 (NSW)
201,57097,61351,118448,25343,12585,37928,6569,15829,22398,1975,2261,4236,2140,1822,3962,36027,32497,68524,18083,25895,43978,5.9,5.6,5.8,63.1,53.0,57.9,59.4,50.0,54.5,1280,1311,2591,964,1701,2665,4886,7264,12150,3499,5106,8605,15094,8247,23341,57132,59806,116938,10035,11206,21241,38170,39800,77970,24700,27033,51733,Ballarat
202,54821,59048,113869,24350,12445,36795,6771,15498,22269,1956,2204,4160,1732,1624,3356,34809,31771,66580,17179,24404,41583,5.0,5.1,5.0,63.5,53.8,58.5,60.3,51.1,55.5,1186,1169,2355,938,1810,2748,4686,7274,11960,3614,4669,8283,14844,8408,23252,55115,58134,113249,9247,10261,19508,37151,39023,76174,23024,25346,48370,Bendigo
203,97659,105466,203125,45277,22015,67292,11434,28244,39678,3609,3797,7406,3369,3021,6390,63689,57077,120766,29392,43913,73305,5.3,5.3,5.3,65.2,54.1,59.5,61.8,51.3,56.3,2605,2229,4834,1370,2734,4104,10239,14343,24582,7271,9999,17270,26327,14549,40876,98367,104155,202522,16823,18429,35252,65538,69273,134811,42349,46350,88699,Geelong
204,63345,65670,129015,29594,14494,44088,7352,17130,24482,2540,2557,5097,1936,1763,3699,41422,35944,77366,18924,26891,45815,4.7,4.9,4.8,65.4,54.7,60.0,62.3,52.1,57.1,893,954,1847,788,1525,2313,4148,6909,11057,4200,5799,9999,18434,10277,28711,63752,65496,129248,10831,11268,22099,44205,44742,88947,25879,27672,53551,Hume
205,101415,106429,207844,43763,20159,63922,10975,26857,37832,4063,3879,7942,3673,3005,6678,62474,53900,116374,33537,47252,80789,5.9,5.6,5.7,61.6,50.6,56.0,58.0,47.8,52.8,1325,1325,2650,1055,2232,3287,6095,10221,16316,5940,8603,14543,31285,15625,46910,101152,104846,205998,16766,18261,35027,68110,69843,137953,42357,46192,88549,Latrobe - Gippsland
206,214789,226421,441210,106656,81134,187790,27735,46799,74534,6460,8084,14544,8184,7555,15739,149035,143572,292607,46787,66947,113734,5.5,5.3,5.4,69.4,63.4,66.3,65.6,60.1,62.8,19509,20113,39622,6038,10858,16896,56955,64956,121911,16770,20102,36872,23883,14611,38494,171555,180824,352379,50751,55556,106307,97809,105232,203041,113180,120455,233635,Melbourne - Inner
207,134305,148653,282958,62940,37217,100157,18549,36799,55348,3938,4770,8708,4621,3962,8583,90048,82748,172796,38231,59744,97975,5.1,4.8,5.0,67.0,55.7,61.1,63.6,53.0,58.0,12953,9975,22928,3702,6161,9863,33440,36870,70310,12082,15743,27825,16524,10109,26633,134236,145843,280079,21409,23114,44523,93658,102928,196586,53868,58042,111910,Melbourne - Inner East
208,146982,161624,308606,74453,42534,116987,18922,41736,60658,4665,5670,10335,4448,4073,8521,102488,94013,196501,37139,60190,97329,4.3,4.3,4.3,69.7,58.2,63.7,66.7,55.6,60.9,10877,9347,20224,3612,6461,10073,32243,36615,68858,13714,17782,31496,23901,13279,37180,148422,159840,308262,24034,25741,49775,99454,108864,208318,62179,66367,128546,Melbourne - Inner South
209,171874,181277,353151,85035,45232,130267,20102,45325,65427,6288,6637,12925,6019,5480,11499,117444,102674,220118,45661,70111,115772,5.1,5.3,5.2,68.3,56.6,62.3,64.8,53.6,59.1,7400,6333,13733,2798,5135,7933,22139,27916,50055,13230,16618,29848,37881,19302,57183,176350,183071,359421,26639,27588,54227,121927,127071,248998,67845,71038,138883,Melbourne - North East
210,123553,129161,252714,57695,30490,88185,13968,27673,41641,4955,4380,9335,4674,3980,8654,81292,66523,147815,35391,55659,91050,5.7,6.0,5.9,65.8,51.5,58.5,62.0,48.4,55.1,3150,2658,5808,1348,2414,3762,11669,15080,26749,8718,10506,19224,28114,14119,42233,130396,134257,264653,17403,17800,35203,90862,94364,185226,46880,48150,95030,Melbourne - North West
211,187940,200136,388076,100091,51186,151277,22893,56219,79112,6852,7356,14208,5667,5261,10928,135503,120022,255525,45709,73304,119013,4.2,4.4,4.3,72.1,60.0,65.8,69.1,57.3,63.0,6453,5391,11844,3158,5408,8566,23563,30080,53643,16000,21229,37229,50654,25423,76077,201013,209786,410799,23726,25037,48763,144743,150610,295353,66676,71304,137980,Melbourne - Outer East
212,260276,266762,527038,125965,66224,192189,30959,59373,90332,9375,8706,18081,10404,10000,20404,176703,144303,321006,71046,110575,181621,5.9,6.9,6.4,67.9,54.1,60.9,63.9,50.3,57.0,10164,8235,18399,2919,4605,7524,30490,35817,66307,21023,24989,46012,55811,30255,86066,266024,270727,536751,44231,43823,88054,174436,179060,353496,115081,115594,230675,Melbourne - South East
213,241458,245380,486838,119461,65244,184705,26977,51858,78835,9262,8876,18138,10493,10003,20496,166193,135981,302174,59688,95164,154852,6.3,7.4,6.8,68.8,55.4,62.1,64.5,51.3,57.9,8801,7518,16319,2827,4757,7584,27287,33973,61260,17406,20372,37778,49469,27413,76882,240370,244201,484571,43800,44208,88008,152668,156449,309117,109779,110973,220752,Melbourne - West
214,105800,114405,220205,49977,24602,74579,12429,29231,41660,3956,4011,7967,3391,3241,6632,69753,61085,130838,30267,47047,77314,4.9,5.3,5.1,65.9,53.4,59.4,62.7,50.6,56.4,2056,1871,3927,1263,2440,3703,9042,12829,21871,8223,11339,19562,30664,16346,47010,106141,112270,218411,17886,18911,36797,69795,73569,143364,46426,49978,96404,Mornington Peninsula
215,58323,60280,118603,26504,12798,39302,5933,14357,20290,2188,2134,4322,1809,1473,3282,36434,30762,67196,18563,26318,44881,5.0,4.8,4.9,62.5,51.0,56.7,59.4,48.6,53.9,469,468,937,460,1054,1514,2813,5377,8190,2848,4400,7248,14319,8369,22688,59392,60661,120053,9095,9638,18733,42063,42593,84656,22062,23685,45747,North West
216,48614,50659,99273,22115,10963,33078,4864,12440,17304,1969,1872,3841,1611,1282,2893,30559,26557,57116,15275,21404,36679,5.3,4.8,5.1,62.9,52.4,57.5,59.5,49.9,54.6,460,505,965,396,876,1272,2494,4492,6986,2302,3677,5979,12637,6996,19633,50068,51192,101260,7810,8276,16086,34609,34772,69381,19383,21014,40397,Shepparton
217,47402,49563,96965,22729,10431,33160,5562,13728,19290,2050,2030,4080,1341,1090,2431,31682,27279,58961,13379,19965,33344,4.2,4.0,4.1,66.8,55.0,60.8,64.0,52.8,58.3,567,587,1154,458,989,1447,2898,5171,8069,2552,4005,6557,12881,7027,19908,49218,50438,99656,7167,7638,14805,35041,35539,70580,17875,19307,37182,Warrnambool and South West
297,36,0,36,29,0,29,0,0,0,3,0,3,0,0,0,32,0,32,3,0,3,0.0,0.0,0.0,84.2,0.0,84.2,84.2,0.0,84.2,3,0,3,0,0,0,3,0,3,3,0,3,13,0,13,23,0,23,9,0,9,18,0,18,15,0,15,Migratory - Offshore - Shipping (Vic.)
299,4133,3136,7269,1001,535,1536,324,422,746,117,84,201,402,295,697,1844,1336,3180,1255,1301,2556,21.8,22.1,21.9,44.6,42.6,43.8,34.9,33.2,34.2,108,134,242,37,64,101,426,515,941,200,226,426,731,366,1097,761,516,1277,2633,2406,5039,497,309,806,2729,2463,5192,Special Purpose Codes SA4 (Vic.)
301,81142,86978,168120,42658,24891,67549,9070,22042,31112,2938,3108,6046,2963,2753,5716,57629,52794,110423,19983,30980,50963,5.1,5.2,5.2,71.0,60.7,65.7,67.4,57.5,62.3,2076,1806,3882,914,1568,2482,8025,10934,18959,6277,8722,14999,24141,12142,36283,82376,86287,168663,15821,16773,32594,50177,52523,102700,41435,44388,85823,Brisbane - East
302,75138,81335,156473,38956,25210,64166,8930,18955,27885,2739,3118,5857,2731,2232,4963,53356,49515,102871,17924,28114,46038,5.1,4.5,4.8,71.0,60.9,65.7,67.4,58.1,62.6,2828,2487,5315,1155,1889,3044,10558,13705,24263,5879,7483,13362,18098,9526,27624,72645,77478,150123,14808,15514,30322,45338,49106,94444,36208,38354,74562,Brisbane - North
303,125607,131748,257355,62191,39468,101659,17111,31412,48523,4117,4791,8908,5205,4487,9692,88624,80158,168782,30348,45798,76146,5.9,5.6,5.7,70.6,60.8,65.6,66.4,57.4,61.8,8098,7021,15119,2108,3520,5628,22789,27350,50139,10001,12155,22156,24419,12857,37276,118709,124289,242998,26430,26942,53372,71749,76714,148463,64184,65767,129951,Brisbane - South
304,66731,71524,138255,34365,20327,54692,9143,19123,28266,2128,2639,4767,2488,2217,4705,48124,44306,92430,16006,24474,40480,5.2,5.0,5.1,72.1,61.9,66.9,68.4,58.8,63.5,7028,5288,12316,1565,2572,4137,15496,17565,33061,5635,6969,12604,10546,6073,16619,64929,68359,133288,14616,14843,29459,40193,43152,83345,34556,35701,70257,Brisbane - West
305,96227,96444,192671,51541,36242,87783,12761,22594,35355,2878,3461,6339,3537,3095,6632,70717,65392,136109,17718,25271,42989,5.0,4.7,4.9,73.5,67.8,70.6,69.8,64.6,67.2,8401,7429,15830,2371,3866,6237,24737,27107,51844,7667,9044,16711,14019,7936,21955,75152,76330,151482,27245,27989,55234,39546,41198,80744,57553,58188,115741,Brisbane Inner City
306,87305,89217,176522,39982,24822,64804,10138,20980,31118,3638,3322,6960,4257,3455,7712,58015,52579,110594,21991,30472,52463,7.3,6.6,7.0,66.5,58.9,62.7,61.6,55.1,58.3,1434,1592,3026,712,1341,2053,6346,10352,16698,5249,7715,12964,25654,12893,38547,82439,82844,165283,19718,21274,40992,50189,49401,99590,44332,47723,92055,Cairns
307,47669,47496,95165,24594,11746,36340,4157,11382,15539,1953,1670,3623,1202,1071,2273,31906,25869,57775,12399,18844,31243,3.8,4.1,3.9,66.9,54.5,60.7,64.4,52.2,58.3,357,386,743,258,578,836,2287,4463,6750,2125,3260,5385,11681,6579,18260,47529,46767,94296,9437,9844,19281,31005,29975,60980,21829,22756,44585,Darling Downs - Maranoa
308,83992,80476,164468,46250,22502,68752,6578,18909,25487,3776,3114,6890,2398,2273,4671,59002,46798,105800,17823,28301,46124,4.1,4.9,4.4,70.2,58.2,64.3,67.4,55.3,61.5,1117,964,2081,610,1050,1660,4954,8261,13215,3654,5171,8825,25522,11227,36749,78751,76564,155315,19263,18962,38225,47828,46022,93850,42711,42680,85391,Fitzroy
309,199688,213572,413260,90046,53910,143956,27034,53374,80408,6516,6806,13322,10118,8862,18980,133714,122952,256666,51118,76384,127502,7.6,7.2,7.4,67.0,57.6,62.1,61.9,53.4,57.5,5108,4736,9844,1635,3016,4651,19041,25882,44923,14578,21912,36490,55451,30460,85911,182617,191676,374293,45903,49788,95691,101911,107530,209441,111766,119660,231426,Gold Coast
310,107173,109354,216527,51810,29094,80904,10409,23590,33999,4000,3795,7795,4896,4512,9408,71115,60991,132106,29966,42824,72790,6.9,7.4,7.1,66.4,55.8,61.0,61.8,51.6,56.7,1965,1740,3705,829,1364,2193,7067,10601,17668,6158,8374,14532,27874,16206,44080,106089,108250,214339,22942,24085,47027,62805,63713,126518,55486,58481,113967,Ipswich
311,109576,113568,223144,55187,31156,86343,11912,25758,37670,4430,4014,8444,5292,4880,10172,76821,65808,142629,26323,41861,68184,6.9,7.4,7.1,70.1,57.9,63.9,65.3,53.6,59.4,1460,1375,2835,619,1166,1785,6212,10077,16289,5697,8919,14616,31490,17457,48947,112695,114685,227380,21553,22759,44312,68407,68869,137276,55005,58220,113225,Logan - Beaudesert
312,68945,62311,131256,40419,18799,59218,4958,15027,19985,3234,2443,5677,1417,1738,3155,50028,38007,88035,11610,20568,32178,2.8,4.6,3.6,72.6,61.0,67.1,70.5,58.2,64.7,644,647,1291,368,726,1094,3454,6157,9611,2859,4381,7240,23115,9239,32354,62105,58792,120897,16007,15364,31371,37042,34748,71790,35342,34096,69438,Mackay
