SA4_MAIN11,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
306,19,11,30,952,776,1728,42,16,58,10,3,13,152,139,291,33607,30931,64538,3380,3836,7216,1383,45,1428,893,134,1027,1398,560,1958,967,284,1251,2388,2241,4629,45191,38976,84167,5,6,11,0,0,0,0,0,0,3,3,6,0,3,3,4,0,4,12,12,24,7,3,10,0,0,0,30,18,48,39,73,112,37,27,64,113,121,234,461,286,747,586,419,1005,9,3,12,43,20,63,45,22,67,97,45,142,2276,2943,5219,4611,5900,10511,994,842,1836,53755,49125,102880,Cairns
307,9,4,13,199,74,273,8,0,8,3,3,6,37,40,77,17882,14544,32426,1954,1623,3577,1151,40,1191,329,52,381,347,76,423,465,148,613,1976,1700,3676,24360,18304,42664,0,0,0,0,0,0,0,0,0,3,7,10,3,3,6,0,0,0,6,10,16,0,0,0,0,0,0,23,7,30,4,0,4,0,0,0,27,7,34,225,87,312,258,104,362,0,0,0,6,0,6,30,11,41,36,11,47,3410,3007,6417,2052,2942,4994,586,432,1018,30702,24800,55502,Darling Downs - Maranoa
308,23,5,28,1682,408,2090,64,8,72,8,0,8,118,144,262,35547,28528,64075,4388,3535,7923,1218,33,1251,893,85,978,724,149,873,455,203,658,2063,2064,4127,47183,35162,82345,0,3,3,0,0,0,0,0,0,6,0,6,0,0,0,3,3,6,9,6,15,3,3,6,0,0,0,262,27,289,44,33,77,24,18,42,333,81,414,625,199,824,967,286,1253,3,5,8,33,4,37,51,11,62,87,20,107,2003,2742,4745,5451,5569,11020,911,748,1659,56602,44527,101129,Fitzroy
309,1248,999,2247,1688,2377,4065,25,9,34,19,11,30,177,145,322,85682,73543,159225,6031,7107,13138,2474,52,2526,1615,237,1852,1542,535,2077,1101,451,1552,3222,3507,6729,104824,88973,193797,206,208,414,3,3,6,0,0,0,654,465,1119,76,100,176,98,17,115,1037,793,1830,0,3,3,0,0,0,89,98,187,109,223,332,43,37,80,241,361,602,981,444,1425,2259,1598,3857,216,180,396,47,42,89,78,25,103,341,247,588,5650,7496,13146,8840,14247,23087,1682,1530,3212,123596,114091,237687,Gold Coast
310,1819,2086,3905,647,800,1447,13,4,17,7,3,10,102,74,176,44735,34277,79012,3742,4347,8089,1816,61,1877,1120,85,1205,390,42,432,440,189,629,1268,1172,2440,56099,43140,99239,334,406,740,0,0,0,0,0,0,959,964,1923,184,328,512,99,16,115,1576,1714,3290,0,0,0,0,0,0,66,81,147,45,115,160,9,15,24,120,211,331,503,221,724,2199,2146,4345,200,251,451,10,15,25,27,4,31,237,270,507,1832,2657,4489,4803,7444,12247,1052,823,1875,66222,56480,122702,Ipswich
311,833,977,1810,1636,2602,4238,13,8,21,6,4,10,121,56,177,49624,38330,87954,4237,4246,8483,2662,72,2734,1027,87,1114,393,42,435,488,187,675,937,1040,1977,61977,47651,109628,152,193,345,3,0,3,0,0,0,250,326,576,76,100,176,49,20,69,530,639,1169,7,0,7,0,0,0,409,639,1048,145,289,434,24,24,48,585,952,1537,534,223,757,1649,1814,3463,119,133,252,27,41,68,30,7,37,176,181,357,1785,2926,4711,4686,7378,12064,1263,975,2238,71536,60925,132461,Logan - Beaudesert
312,18,4,22,1636,503,2139,74,18,92,3,0,3,105,95,200,30292,22867,53159,3887,2692,6579,1006,37,1043,537,98,635,644,179,823,575,280,855,2013,1983,3996,40790,28756,69546,4,0,4,0,0,0,0,3,3,4,0,4,0,0,0,3,0,3,11,3,14,19,6,25,0,0,0,108,22,130,42,37,79,24,12,36,193,77,270,464,203,667,668,283,951,6,5,11,37,14,51,40,13,53,83,32,115,1492,2281,3773,4795,4363,9158,782,553,1335,48610,36268,84878,Mackay
313,1135,1333,2468,423,511,934,10,4,14,4,6,10,73,46,119,31098,25693,56791,2709,2817,5526,1732,42,1774,662,53,715,349,118,467,402,140,542,926,1114,2040,39523,31877,71400,271,309,580,0,0,0,0,0,0,707,723,1430,119,194,313,88,23,111,1185,1249,2434,0,3,3,0,0,0,14,39,53,43,64,107,6,10,16,63,116,179,385,153,538,1633,1518,3151,174,169,343,19,10,29,27,7,34,220,186,406,1494,2280,3774,3914,5751,9665,791,669,1460,47575,42281,89856,Moreton Bay - North
314,2141,2278,4419,460,531,991,0,3,3,4,7,11,73,35,108,30119,24084,54203,1908,2512,4420,1039,19,1058,890,70,960,349,51,400,296,109,405,571,568,1139,37850,30267,68117,329,293,622,0,0,0,0,0,0,1083,1100,2183,200,302,502,107,20,127,1719,1715,3434,0,0,0,0,4,4,90,121,211,56,86,142,12,6,18,158,217,375,378,156,534,2255,2088,4343,184,204,388,8,20,28,24,4,28,216,228,444,1381,2246,3627,3497,5691,9188,537,431,968,45736,40951,86687,Moreton Bay - South
315,8,6,14,396,97,493,38,22,60,4,3,7,69,112,181,9951,7685,17636,1569,1407,2976,533,38,571,318,46,364,408,159,567,571,209,780,3277,3045,6322,17142,12829,29971,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,3,6,9,0,0,0,4,3,7,11,0,11,16,3,19,34,12,46,256,112,368,296,124,420,5,0,5,16,7,23,54,21,75,75,28,103,1594,1540,3134,1511,1418,2929,474,342,816,21092,16281,37373,Queensland - Outback
