SA4_MAIN11,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot,SA4_NAME11
122,69,211,683,1152,381,1880,147,769,108,5400,572,1445,1583,1881,1348,1517,245,594,132,9317,3730,7974,3612,2202,3032,2001,565,995,335,24446,7104,9984,3526,2076,4368,2080,653,1116,484,31391,5809,8131,2899,1944,4682,1967,879,1321,440,28072,2972,4927,1700,1183,3297,1389,789,997,307,17561,708,1347,408,237,988,456,223,310,120,4797,102,171,38,32,84,60,16,38,37,578,12,20,5,0,8,3,3,6,16,73,21078,34210,14454,10707,18188,11353,3520,6146,1979,121635,Sydney - Northern Beaches
123,116,131,1322,870,519,2108,254,1261,137,6718,561,1335,2450,1550,1772,1632,809,1200,172,11481,2119,4517,3971,2331,4021,1841,2294,1840,415,23349,3060,4290,3643,2471,4478,1847,2750,2220,455,25214,3162,3720,3220,2372,4855,1872,2904,2539,470,25114,1864,2585,2090,1242,3164,1087,2008,1563,254,15857,269,398,280,135,403,180,288,230,55,2238,35,28,12,17,22,10,9,17,19,169,9,3,0,0,0,3,3,0,0,18,11195,17007,16988,10988,19234,10580,11319,10870,1977,110158,Sydney - Outer South West
124,141,194,1677,1202,737,2723,278,1610,158,8720,689,1456,3162,2132,2340,1970,939,1350,219,14257,2730,5587,4965,2931,4936,2205,2604,2171,479,28608,4028,5976,4397,3064,5602,2118,3058,2408,519,31170,4229,6224,3926,2998,6000,2165,2960,2687,558,31747,2549,4408,2477,1706,4060,1442,2199,1833,380,21054,395,802,379,218,580,265,359,311,75,3384,41,72,24,14,37,14,8,18,35,263,5,3,4,3,4,0,0,3,14,36,14807,24722,21011,14268,24296,12902,12405,12391,2437,139239,Sydney - Outer West and Blue Mountains
125,107,254,901,859,613,2224,156,844,204,6162,867,2943,2530,2208,2993,2918,830,1597,526,17412,4690,14400,6018,3577,8107,3763,2887,3634,1220,48296,4901,9669,5241,2868,6364,2296,2858,3016,824,38037,4004,6538,4633,2637,5831,1997,3169,3797,722,33328,2158,3760,2599,1449,3845,1222,2017,2403,367,19820,378,740,468,248,711,262,340,388,110,3645,30,83,31,10,47,20,9,38,36,304,5,6,3,3,3,3,4,6,8,41,17140,38393,22424,13859,28514,14705,12270,15723,4017,167045,Sydney - Parramatta
126,47,218,272,678,333,999,38,384,56,3025,363,1595,778,1204,1234,1407,120,381,165,7247,2088,7451,1753,1165,2797,1227,315,580,316,17692,3575,6847,1685,1006,2751,963,368,623,340,18158,3390,6166,1747,1110,3128,1020,618,918,314,18411,1845,3874,998,627,2226,713,440,760,182,11665,357,846,249,144,510,163,121,189,67,2646,51,101,21,12,55,31,16,27,21,335,4,15,3,0,5,0,0,4,7,38,11720,27113,7506,5946,13039,6523,2036,3866,1468,79217,Sydney - Ryde
127,111,200,1117,909,635,2305,258,1136,220,6891,699,2181,2551,2159,2824,2393,1007,1412,465,15691,2944,6883,5040,2741,5983,2489,2979,2795,944,32798,3633,5018,5387,2735,5703,2382,4124,3909,858,33749,3374,3608,5031,2589,5098,2192,4763,5059,818,32532,1684,2031,2887,1247,2743,1099,2538,2808,405,17442,281,283,402,164,342,157,356,398,100,2483,36,37,15,11,24,22,9,31,25,210,6,3,3,3,0,0,0,0,7,22,12768,20244,22433,12558,23352,13039,16034,17548,3842,141818,Sydney - South West
128,86,216,1001,1144,492,2168,136,972,96,6311,582,1800,2118,1781,1735,1737,324,620,138,10835,2903,6045,3464,2285,3563,1589,682,856,294,21681,4512,6299,3434,2260,4556,1762,966,1025,387,25201,4442,5970,2989,2038,5292,1937,1106,1168,343,25285,2677,4085,1878,1054,3740,1338,942,962,240,16916,444,797,364,204,797,304,229,269,75,3483,47,73,27,13,76,29,13,38,42,358,9,5,3,3,13,7,0,0,9,49,15702,25290,15278,10782,20264,10871,4398,5910,1624,110119,Sydney - Sutherland
197,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,3,0,0,0,7,3,0,0,0,0,0,0,3,0,6,0,3,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,6,0,12,3,34,Migratory - Offshore - Shipping (NSW)
199,25,6,22,48,9,30,12,25,3,180,40,83,95,116,58,47,32,79,10,560,88,312,167,145,128,74,94,149,28,1185,84,147,111,73,72,32,79,95,16,709,61,113,85,59,74,28,67,85,16,588,34,75,53,16,48,22,58,49,18,373,9,6,6,7,4,3,7,8,3,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,341,742,542,464,393,236,349,490,94,3651,Special Purpose Codes SA4 (NSW)
201,83,66,753,592,182,1584,56,865,66,4247,307,703,1469,1066,660,1041,266,744,84,6340,1082,2698,2215,1082,1557,920,659,1065,194,11472,1963,3126,2195,1350,1896,1038,960,1384,288,14200,2209,3130,2038,1517,2261,1083,1175,1724,273,15410,1744,2223,1210,965,1407,714,902,1217,226,10608,561,317,183,126,225,128,147,195,76,1958,130,17,9,13,24,4,13,27,43,280,22,3,0,3,3,0,0,0,9,40,8101,12283,10072,6714,8215,6512,4178,7221,1259,64555,Ballarat
