sa4_code_2011,sa4_name_2011,year,land_area_ha,wu_ag_area_ha,wu_irrigated_area_ha,wu_vol_wat_app_ml,wu_wat_oth_ag_use_ml,wu_tot_wat_use_ml,wu_app_rate_ml_per_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,esg_gen_meters,esg_non_gen_meters,esg_tot_meters,esg_meter_dwell_gen_elec_pc,mksfg_net_meters_kwh,mksfg_gross_meters_kwh,mksfg_non_gen_meters_kwh,solar_panel_system,solar_water_heater
120,Sydney - Inner West,2011,6449.9,8983.3,90.8,32.7,13.6,46.3,0.4,,,,,,,,,,,,,,,,2538.0,112953.0,115491.0,2.2,5573.0,5603.0,4464.0,,
120,Sydney - Inner West,2010,,,,,,,,,,,,,,,,,,,,,,,1146.0,113564.0,114710.0,1.0,4667.0,6343.0,4649.0,,
121,Sydney - North Sydney and Hornsby,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.0,4125.0
121,Sydney - North Sydney and Hornsby,2012,,,,,,,,,,,,,,,,,,,,,,,,160521.0,,,,,5062.0,,
121,Sydney - North Sydney and Hornsby,2011,27508.7,2779.7,242.9,214.9,13.9,228.8,0.9,,,,,,,,,,,,,,,,,160721.0,,,,7547.0,5489.0,,
121,Sydney - North Sydney and Hornsby,2010,,,,,,,,,,,,,,,,,,,,,,,,161708.0,,,,8742.0,5695.0,,
122,Sydney - Northern Beaches,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5806.0,2493.0
122,Sydney - Northern Beaches,2012,,,,,,,,,,,,,,,,,,,,,,,4087.0,98935.0,103022.0,4.0,3941.0,6693.0,4924.0,,
122,Sydney - Northern Beaches,2011,25403.7,3102.9,993.4,1353.8,32.1,1385.8,1.4,,,,,,,,,,,,,,,,3965.0,98613.0,102578.0,3.9,6516.0,6744.0,5324.0,,
122,Sydney - Northern Beaches,2010,,,,,,,,,,,,,,,,,,,,,,,2438.0,99877.0,102315.0,2.4,6547.0,7950.0,5459.0,,
123,Sydney - Outer South West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12217.0,6178.0
123,Sydney - Outer South West,2012,,,,,,,,,,,,,,,,,,,,,,,1638.0,85340.0,86978.0,1.9,7056.0,6778.0,6274.0,,
123,Sydney - Outer South West,2011,127853.0,37746.1,2015.8,4600.4,1104.6,5705.0,2.3,,,,,,,,,,,,,,,,537.0,85279.0,85816.0,0.6,7727.0,7934.0,6702.0,,
123,Sydney - Outer South West,2010,,,,,,,,,,,,,,,,,,,,,,,,84443.0,,,,8246.0,7088.0,,
124,Sydney - Outer West and Blue Mountains,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13933.0,5795.0
124,Sydney - Outer West and Blue Mountains,2012,,,,,,,,,,,,,,,,,,,,,,,1533.0,115555.0,117088.0,1.3,7535.0,7362.0,6255.0,,
124,Sydney - Outer West and Blue Mountains,2011,397517.9,14060.6,1538.0,7359.6,545.3,7905.0,4.8,,,,,,,,,,,,,,,,483.0,115024.0,115507.0,0.4,7465.0,8454.0,6741.0,,
124,Sydney - Outer West and Blue Mountains,2010,,,,,,,,,,,,,,,,,,,,,,,,114606.0,,,,6959.0,7087.0,,
125,Sydney - Parramatta,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10272.0,4181.0
125,Sydney - Parramatta,2012,,,,,,,,,,,,,,,,,,,,,,,,149412.0,,,4751.0,,4710.0,,
125,Sydney - Parramatta,2011,16163.4,2409.3,0.4,0.5,15.8,16.3,1.2,,,,,,,,,,,,,,,,2553.0,148299.0,150852.0,1.7,5167.0,6040.0,5080.0,,
125,Sydney - Parramatta,2010,,,,,,,,,,,,,,,,,,,,,,,1368.0,147555.0,148923.0,0.9,5009.0,7231.0,5310.0,,
126,Sydney - Ryde,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972.0,1858.0
126,Sydney - Ryde,2012,,,,,,,,,,,,,,,,,,,,,,,2590.0,64678.0,67268.0,3.9,4070.0,6168.0,5007.0,,
126,Sydney - Ryde,2011,6936.6,3.0,,,,0.7,4.0,,,,,,,,,,,,,,,,2334.0,64313.0,66647.0,3.5,6638.0,6873.0,5913.0,,
126,Sydney - Ryde,2010,,,,,,,,,,,,,,,,,,,,,,,1203.0,65328.0,66531.0,1.8,5673.0,7879.0,5738.0,,
127,Sydney - South West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14625.0,4797.0
127,Sydney - South West,2012,,,,,,,,,,,,,,,,,,,,,,,2630.0,122161.0,124791.0,2.1,6975.0,7074.0,5905.0,,
127,Sydney - South West,2011,53248.5,9423.1,1972.8,5565.2,1308.6,6873.8,2.8,,,,,,,,,,,,,,,,914.0,122024.0,122938.0,0.7,7797.0,8111.0,6349.0,,
127,Sydney - South West,2010,,,,,,,,,,,,,,,,,,,,,,,22.0,121399.0,121421.0,,11413.0,8526.0,6637.0,,
128,Sydney - Sutherland,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278.0,4686.0
128,Sydney - Sutherland,2012,,,,,,,,,,,,,,,,,,,,,,,3585.0,81879.0,85464.0,4.2,5250.0,7431.0,6205.0,,
128,Sydney - Sutherland,2011,29588.5,63.6,3.5,17.3,1.4,18.6,4.9,,,,,,,,,,,,,,,,3315.0,81868.0,85183.0,3.9,7664.0,8322.0,6755.0,,
128,Sydney - Sutherland,2010,,,,,,,,,,,,,,,,,,,,,,,1827.0,83239.0,85066.0,2.1,7162.0,9309.0,6941.0,,
201,Ballarat,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8077.0,5877.0
201,Ballarat,2012,,,,,,,,,,,,,,,,,,,,,,,5306.0,62807.0,68113.0,7.8,4451.0,,3923.0,,
201,Ballarat,2011,1028753.5,804238.7,8356.9,14705.9,7708.5,22414.4,1.8,,,,,,,,,,,,,,,,3333.0,63517.0,66850.0,5.0,4664.0,,3835.0,,
201,Ballarat,2010,,,,,,,,,,,,,,,,,,,,,,,1377.0,64119.0,65496.0,2.1,4551.0,,4550.0,,
202,Bendigo,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10573.0,7686.0
202,Bendigo,2012,,,,,,,,,,,,,,,,,,,,,,,7085.0,57906.0,64991.0,10.9,4428.0,,4174.0,,
202,Bendigo,2011,1184189.1,811517.6,33881.6,58779.1,7801.9,66581.0,1.7,,,,,,,,,,,,,,,,4630.0,58787.0,63417.0,7.3,4534.0,,3958.0,,
202,Bendigo,2010,,,,,,,,,,,,,,,,,,,,,,,1529.0,60720.0,62249.0,2.5,4526.0,,4765.0,,
203,Geelong,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14812.0,13057.0
203,Geelong,2012,,,,,,,,,,,,,,,,,,,,,,,10068.0,114462.0,124530.0,8.1,3930.0,,3727.0,,
203,Geelong,2011,442863.6,272057.8,4515.9,9759.2,5873.9,15633.1,2.2,,,,,,,,,,,,,,,,5834.0,116450.0,122284.0,4.8,4004.0,,3578.0,,
203,Geelong,2010,,,,,,,,,,,,,,,,,,,,,,,2617.0,117547.0,120164.0,2.2,4220.0,,4137.0,,
204,Hume,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13835.0,6704.0
204,Hume,2012,,,,,,,,,,,,,,,,,,,,,,,7182.0,71610.0,78792.0,9.1,4533.0,,4419.0,,
204,Hume,2011,3400393.9,1439466.0,17489.1,27818.6,18717.4,46536.0,1.6,,,,,,,,,,,,,,,,4906.0,72982.0,77888.0,6.3,5045.0,,4922.0,,
204,Hume,2010,,,,,,,,,,,,,,,,,,,,,,,2111.0,74591.0,76702.0,2.8,5457.0,,5308.0,,
205,Latrobe - Gippsland,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20550.0,12273.0
205,Latrobe - Gippsland,2012,,,,,,,,,,,,,,,,,,,,,,,11041.0,126252.0,137293.0,8.0,4285.0,,3911.0,,
205,Latrobe - Gippsland,2011,4155721.7,1287637.1,76903.1,182552.8,31855.4,214408.2,2.4,,,,,,,,,,,,,,,,7761.0,128045.0,135806.0,5.7,4841.0,,4483.0,,
205,Latrobe - Gippsland,2010,,,,,,,,,,,,,,,,,,,,,,,2703.0,130836.0,133539.0,2.0,4924.0,,4709.0,,
206,Melbourne - Inner,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980.0,5591.0
206,Melbourne - Inner,2012,,,,,,,,,,,,,,,,,,,,,,,5581.0,268153.0,273734.0,2.0,3229.0,,3356.0,,
