sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
403,195382,43,9461489754,40688,48426,4.68,1.76,0.38,0.16,0.445,7.4,19.6,30.1,24.1,26.0,27.7,22.2,Adelaide - South
404,117000,41,5516020460,40336,47145,4.46,1.73,0.39,0.17,0.43200000000000005,6.8,18.5,29.0,23.8,26.8,28.3,21.1,Adelaide - West
405,55082,47,2478144136,37088,44990,5.51,1.85,0.34,0.12,0.475,7.0,20.1,31.3,27.7,27.0,25.2,20.0,Barossa - Yorke - Mid North
406,42344,43,2212120919,42175,52242,5.01,1.87,0.37,0.16,0.456,6.6,19.2,30.3,23.3,25.2,24.2,27.3,South Australia - Outback
407,95523,46,3813259339,34192,39920,5.45,1.78,0.33,0.12,0.47100000000000003,6.9,19.4,30.4,30.1,29.2,25.4,15.3,South Australia - South East
501,92009,43,4701932209,39610,51103,5.88,2.05,0.35,0.14,0.484,6.8,19.4,31.3,26.2,25.1,21.9,26.8,Bunbury
502,43739,45,2349979134,39226,53727,6.73,2.22,0.33,0.13,0.49700000000000005,7.0,20.1,32.2,27.0,24.4,19.5,29.0,Mandurah
503,102604,40,8982456015,50441,87545,7.24,2.26,0.31,0.14,0.597,15.7,33.5,45.7,23.3,19.3,18.9,38.5,Perth - Inner
504,126631,41,6821823305,45000,53872,4.62,1.78,0.38,0.18,0.442,6.5,18.7,29.6,21.7,23.5,26.7,28.1,Perth - North East
505,288952,41,16622504713,45203,57527,4.96,1.86,0.38,0.17,0.46799999999999997,7.8,21.0,32.2,22.1,23.3,24.7,29.9,Perth - North West
506,253417,39,13973543907,44701,55141,4.9,1.82,0.37,0.17,0.45799999999999996,7.6,20.2,31.3,22.5,23.3,25.9,28.3,Perth - South East
507,207095,41,12487784162,46356,60300,5.38,1.92,0.36,0.16,0.48100000000000004,8.5,21.6,33.0,22.5,22.1,23.1,32.3,Perth - South West
509,73104,46,3224657484,35735,44111,6.54,1.99,0.3,0.1,0.526,6.9,20.6,32.7,29.7,26.3,22.4,21.7,Western Australia - Wheat Belt
510,39187,37,2805538566,59484,71594,5.15,1.92,0.37,0.17,0.439,5.4,16.7,27.7,17.7,18.2,20.0,44.1,Western Australia - Outback (North)
511,63563,41,3602353620,45228,56674,5.29,1.98,0.37,0.16,0.46299999999999997,6.4,18.5,29.7,22.2,23.5,22.2,32.2,Western Australia - Outback (South)
601,117056,43,5607014092,39971,47900,4.61,1.77,0.38,0.17,0.446,8.0,20.0,30.3,24.1,26.9,27.5,21.5,Hobart
602,72718,44,3147125921,36856,43278,4.92,1.76,0.36,0.14,0.45299999999999996,7.2,19.5,30.1,27.1,28.6,26.6,17.8,Launceston and North East
603,18569,46,707731104,32419,38114,5.55,1.8,0.32,0.13,0.47100000000000003,6.8,19.3,30.4,31.6,30.0,24.6,13.8,South East
604,56507,44,2409290948,36777,42637,5.17,1.78,0.35,0.14,0.44799999999999995,6.8,18.3,29.0,27.6,28.1,26.0,18.2,West and North West
701,73804,38,4211436988,50436,57062,3.65,1.63,0.45,0.23,0.39799999999999996,5.9,17.1,27.2,16.8,21.8,30.6,30.8,Darwin
702,30697,39,1591861175,45732,51857,4.4,1.73,0.39,0.19,0.42,5.5,16.6,27.0,21.0,23.2,27.8,27.9,Northern Territory - Outback
801,222823,40,14027709927,54513,62954,4.14,1.68,0.4,0.19,0.42100000000000004,6.6,18.4,28.7,17.6,19.5,26.0,36.8,Australian Capital Territory
901,929,46,56964133,60222,61318,3.81,1.52,0.4,0.16,0.384,5.0,14.9,24.4,17.4,16.6,24.7,41.3,Other Territories
