yr,num_bsns_num_non_emply_bsns_num,num_bsns_1_4_emplys_num,num_bsns_5_19_emplys_num,num_bsns_20_pls_emplys_num,num_bsns_tot_num_bsns_num,bsns_entries_num_non_emply_bsns_entries_num,bsns_entries_1_4_emplys_num,bsns_entries_5_19_emplys_num,bsns_entries_20_pls_emplys_num,bsns_entries_tot_num_bsns_entries_num,bsns_exits_num_non_emply_bsns_exits_num,bsns_exits_1_4_emplys_num,bsns_exits_5_19_emplys_num,bsns_exits_20_pls_emplys_num,bsns_exits_tot_num_bsns_exits_num,num_bsns_by_industry_agri_frsty_fish_num,num_bsns_by_industry_mining_num,num_bsns_by_industry_manu_num,num_bsns_by_industry_elec_gas_water_wst_num,num_bsns_by_industry_cons_num,num_bsns_by_industry_whsl_trade_num,num_bsns_by_industry_rtl_trade_num,num_bsns_by_industry_accom_food_num,num_bsns_by_industry_trns_pstl_whse_num,num_bsns_by_industry_info_med_coms_num,num_bsns_by_industry_fin_insur_num,num_bsns_by_industry_rent_hiring_rlst_num,num_bsns_by_industry_pro_sci_tech_num,num_bsns_by_industry_admt_supp_num,num_bsns_by_industry_pub_admt_safety_num,num_bsns_by_industry_edu_training_num,num_bsns_by_industry_hlth_care_soc_asst_num,num_bsns_by_industry_arts_rec_num,num_bsns_by_industry_oth_num,num_bsns_by_industry_currly_unk_num,num_bsns_by_industry_tot_num,bld_approvals_priv_sector_houses_num,bld_approvals_priv_sector_dwl_excluding_houses_num,bld_approvals_tot_priv_sector_dwl_units_num,bld_approvals_tot_dwl_units_num,bld_approvals_value_priv_sector_houses_audm,bld_approvals_value_priv_sector_dwl_excluding_houses_audm,bld_approvals_value_tot_priv_sectors_dwl_units_audm,bld_approvals_value_tot_resial_bld_audm,bld_approvals_value_tot_non_resial_bld_audm,bld_approvals_value_tot_bld_audm,resial_property_prices_houses_num_trfs_num,resial_property_prices_houses_med_sale_price_aud,resial_property_prices_attached_dwl_num_trfs_num,resial_property_prices_attached_dwl_med_sale_price_aud,avg_hsld_net_worth_avg_hsld_net_worth_aud,patents_trademarks_patent_applicants_num,patents_trademarks_trademark_applicants_num,p_inslv_tot_debt_ent_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_non_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_p_inslv_num,slct_caus_p_inslv_bsns_rel_inslv_caus_economic_cond_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_exc_use_credit_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_unemp_loss_inc_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_managers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_pros_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_tech_trades_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_cmty_p_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_clrc_admt_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_sales_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_mach_ops_drivers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_labourers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_debt_oth_unk_occ_num,regd_mtr_vhcls_num_by_type_vehicle_pax_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_campervans_num,regd_mtr_vhcls_num_by_type_vehicle_light_comc_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_light_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_heavy_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_articulated_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_nfc_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_buses_num,regd_mtr_vhcls_num_by_type_vehicle_motorcycles_num,regd_mtr_vhcls_num_by_type_fuel_petrol_num,regd_mtr_vhcls_num_by_type_fuel_diesel_num,regd_mtr_vhcls_num_by_type_fuel_lpg_dual_oth_num,regd_mtr_vhcls_num_by_type_fuel_electric_num,regd_mtr_vhcls_yr_manu_less_5_yrs_num,regd_mtr_vhcls_yr_manu_5_10_yrs_num,regd_mtr_vhcls_yr_manu_ov_10_yrs_num,regd_mtr_vhcls_yr_manu_tot_regd_mtr_vhcls_num,tourist_accom_est_est_15_pls_rooms_num,agri_comm_tot_area_area_holding_ha,agri_comm_tot_area_vegetables_human_consumption_ha,agri_comm_tot_area_fruit_nuts_orchard_trees_nut_trees_ha,agri_comm_tot_num_dairy_cattle_num,agri_comm_tot_num_meat_cattle_num,agri_comm_tot_num_sheep_num,agri_comm_tot_num_pigs_num,agri_comm_tot_num_meat_chickens_num,gross_value_agri_prod_broadacre_crops_tot_area_ha_ha,gross_value_agri_prod_gross_value_agri_prod_audm,gross_value_agri_prod_gross_value_crops_audm,gross_value_agri_prod_gross_value_livestock_slaughtering_audm,empy_by_industry_agri_frsty_fish_pr100,empy_by_industry_mining_pr100,empy_by_industry_manu_pr100,empy_by_industry_elec_gas_water_wst_pr100,empy_by_industry_cons_pr100,empy_by_industry_whsl_trade_pr100,empy_by_industry_rtl_trade_pr100,empy_by_industry_accom_food_pr100,empy_by_industry_trns_pstl_whse_pr100,empy_by_industry_info_med_coms_pr100,empy_by_industry_fin_insur_pr100,empy_by_industry_rent_hiring_rlst_pr100,empy_by_industry_pro_sci_tech_pr100,empy_by_industry_admt_supp_pr100,empy_by_industry_pub_admt_safety_pr100,empy_by_industry_edu_training_pr100,empy_by_industry_hlth_care_soc_asst_pr100,empy_by_industry_arts_rec_pr100,empy_by_industry_oth_pr100,empy_by_industry_tot_empy_num,sa4_code16,sa4_name16,ogc_fid
2015,9294.0,4427.0,1663.0,325.0,15709.0,875.0,408.0,65.0,8.0,1353.0,1049.0,300.0,82.0,15.0,1444.0,5306.0,22.0,536.0,44.0,2077.0,428.0,857.0,612.0,807.0,39.0,1044.0,1315.0,711.0,340.0,33.0,111.0,602.0,103.0,644.0,90.0,15709.0,574.0,54.0,628.0,633.0,183.0,10.0,193.0,200.0,173.0,373.0,2449.0,265000.0,263.0,235000.0,,16.0,208.0,40.0,208.0,248.0,23.0,60.0,62.0,20.0,24.0,30.0,13.0,22.0,20.0,24.0,55.0,40.0,80488.0,372.0,34195.0,1122.0,4531.0,2853.0,65.0,774.0,5531.0,86451.0,40771.0,2546.0,9.0,30284.0,33508.0,66092.0,129884.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,13
2016,9453.0,4481.0,1643.0,309.0,15888.0,1048.0,475.0,70.0,3.0,1596.0,1067.0,285.0,70.0,4.0,1431.0,5304.0,21.0,540.0,51.0,2140.0,417.0,847.0,614.0,791.0,37.0,1087.0,1328.0,742.0,351.0,34.0,117.0,615.0,108.0,659.0,94.0,15888.0,721.0,74.0,795.0,798.0,217.0,14.0,231.0,237.0,298.0,535.0,2620.0,279950.0,274.0,250000.0,875506.0,,,42.0,188.0,230.0,11.0,59.0,64.0,20.0,8.0,33.0,27.0,16.0,29.0,24.0,48.0,25.0,81521.0,377.0,35091.0,1160.0,4535.0,2989.0,89.0,808.0,5612.0,86042.0,43705.0,2290.0,8.0,31532.0,33797.0,66850.0,132179.0,74.0,3975586.0,3168.0,14313.0,13224.0,498295.0,3483461.0,42238.0,7771531.0,1161677.0,2325.0,1610.0,564.0,11.6,0.3,10.5,1.4,6.9,2.3,9.9,6.3,4.2,0.6,1.5,0.9,3.4,2.8,7.5,8.9,12.4,0.8,3.6,69453.0,113,Riverina,14
2017,9527.0,4578.0,1609.0,354.0,16071.0,1018.0,499.0,70.0,3.0,1589.0,1041.0,307.0,62.0,4.0,1419.0,5299.0,21.0,538.0,46.0,2169.0,436.0,813.0,589.0,824.0,42.0,1130.0,1353.0,754.0,381.0,35.0,113.0,628.0,107.0,693.0,90.0,16071.0,526.0,115.0,641.0,641.0,188.0,21.0,209.0,216.0,273.0,488.0,,,,,,,,37.0,208.0,245.0,10.0,68.0,68.0,20.0,15.0,35.0,34.0,30.0,17.0,25.0,42.0,27.0,81958.0,387.0,36197.0,1180.0,4642.0,2892.0,87.0,806.0,5637.0,85020.0,47213.0,2069.0,8.0,31342.0,34324.0,68106.0,133772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,15
2018,9678.0,4650.0,1577.0,353.0,16262.0,1150.0,475.0,57.0,5.0,1685.0,1071.0,310.0,73.0,11.0,1463.0,5281.0,19.0,547.0,50.0,2224.0,422.0,810.0,594.0,841.0,40.0,1173.0,1374.0,774.0,394.0,35.0,119.0,643.0,112.0,719.0,85.0,16262.0,599.0,77.0,676.0,677.0,222.0,16.0,239.0,246.0,234.0,480.0,,,,,,,,30.0,226.0,250.0,7.0,93.0,63.0,18.0,26.0,27.0,46.0,26.0,7.0,24.0,50.0,32.0,82935.0,389.0,37164.0,1206.0,4682.0,2926.0,86.0,810.0,5751.0,84546.0,50102.0,1778.0,13.0,31420.0,35302.0,69208.0,135920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,16
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256972.0,123.0,2543.0,64739.0,496636.0,1288194.0,29236.0,870662.0,,,,,7.7,0.4,11.4,0.9,8.4,2.9,10.8,7.6,4.6,0.9,1.5,1.2,3.4,2.6,9.0,7.7,12.4,1.2,3.4,73668.0,204,Hume,17
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,18
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.0,31.0,1065.0,1266.0,293.0,4.0,297.0,335.0,246.0,581.0,,,,,,20.0,182.0,43.0,208.0,251.0,16.0,50.0,76.0,20.0,21.0,35.0,28.0,14.0,13.0,31.0,45.0,44.0,105145.0,757.0,37215.0,1161.0,4729.0,1750.0,241.0,1036.0,9203.0,113657.0,39130.0,8469.0,9.0,29882.0,40968.0,90478.0,161328.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,19
2014,10940.0,4396.0,1608.0,263.0,17203.0,,,,,,,,,,,4938.0,42.0,704.0,70.0,2818.0,390.0,997.0,906.0,927.0,50.0,766.0,1283.0,1096.0,409.0,44.0,171.0,535.0,176.0,763.0,108.0,17203.0,1083.0,32.0,1115.0,1121.0,316.0,6.0,322.0,336.0,138.0,474.0,2829.0,282500.0,302.0,200000.0,728157.0,19.0,170.0,57.0,207.0,264.0,22.0,53.0,81.0,24.0,16.0,39.0,21.0,25.0,24.0,29.0,40.0,46.0,106936.0,787.0,38591.0,1160.0,4639.0,1803.0,258.0,1024.0,9339.0,113795.0,42629.0,8106.0,12.0,31425.0,40628.0,92483.0,164536.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,20
2015,10968.0,4462.0,1539.0,255.0,17234.0,1105.0,407.0,67.0,3.0,1579.0,1227.0,309.0,78.0,4.0,1620.0,4872.0,37.0,713.0,81.0,2883.0,382.0,975.0,899.0,912.0,55.0,821.0,1298.0,1092.0,409.0,45.0,170.0,548.0,174.0,767.0,95.0,17234.0,1177.0,48.0,1225.0,1231.0,344.0,7.0,351.0,368.0,144.0,512.0,2391.0,275000.0,402.0,208000.0,,25.0,251.0,41.0,177.0,218.0,8.0,43.0,63.0,17.0,18.0,32.0,23.0,18.0,23.0,29.0,23.0,35.0,107963.0,818.0,39712.0,1180.0,4570.0,1791.0,224.0,1001.0,9630.0,113228.0,46135.0,7629.0,22.0,31928.0,40961.0,93912.0,166801.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,21
2016,11129.0,4541.0,1539.0,262.0,17470.0,1159.0,482.0,56.0,6.0,1705.0,1217.0,320.0,78.0,8.0,1622.0,4859.0,30.0,710.0,80.0,2957.0,385.0,1007.0,907.0,910.0,54.0,859.0,1295.0,1129.0,421.0,43.0,179.0,574.0,178.0,788.0,106.0,17470.0,1206.0,30.0,1236.0,1237.0,360.0,6.0,365.0,381.0,157.0,538.0,2433.0,280000.0,398.0,215750.0,625469.0,,,35.0,170.0,205.0,7.0,52.0,50.0,15.0,17.0,24.0,27.0,21.0,14.0,19.0,33.0,35.0,109350.0,795.0,40695.0,1209.0,4610.0,1770.0,250.0,997.0,10019.0,113146.0,49403.0,7068.0,16.0,33612.0,40732.0,95255.0,169599.0,108.0,1012039.0,132.0,1888.0,73749.0,470402.0,1259196.0,17191.0,909022.0,54685.0,892.0,164.0,539.0,7.4,0.4,9.1,1.0,8.8,2.2,9.7,7.7,4.7,0.7,1.4,1.1,3.6,3.2,8.7,8.0,13.3,1.4,3.6,75545.0,204,Hume,22
2017,11191.0,4546.0,1563.0,267.0,17561.0,1130.0,446.0,57.0,3.0,1630.0,1256.0,333.0,78.0,6.0,1671.0,4829.0,33.0,731.0,84.0,3058.0,396.0,952.0,903.0,879.0,61.0,877.0,1306.0,1142.0,414.0,47.0,176.0,578.0,179.0,814.0,97.0,17561.0,1096.0,42.0,1138.0,1140.0,342.0,7.0,349.0,371.0,140.0,510.0,,,,,,,,40.0,133.0,173.0,16.0,42.0,44.0,19.0,14.0,31.0,18.0,15.0,17.0,14.0,29.0,16.0,111388.0,812.0,41982.0,1357.0,4674.0,1807.0,331.0,997.0,10375.0,113819.0,54700.0,6829.0,22.0,34479.0,41672.0,97426.0,173577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,23
2018,11369.0,4693.0,1509.0,262.0,17834.0,1203.0,488.0,57.0,3.0,1754.0,1271.0,344.0,72.0,13.0,1692.0,4826.0,33.0,747.0,82.0,3148.0,394.0,936.0,938.0,883.0,68.0,915.0,1332.0,1208.0,430.0,54.0,172.0,587.0,183.0,803.0,99.0,17834.0,1486.0,75.0,1561.0,1574.0,483.0,20.0,503.0,526.0,197.0,723.0,,,,,,,,40.0,154.0,194.0,14.0,54.0,46.0,20.0,11.0,30.0,22.0,19.0,14.0,32.0,20.0,22.0,113167.0,810.0,43495.0,1499.0,4736.0,1830.0,343.0,942.0,10757.0,114315.0,58785.0,6268.0,35.0,34588.0,43338.0,99636.0,177605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hume,24
