SA4_MAIN11,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
122,2785,2625,5410,7357,6953,14310,1592,1525,3117,1518,1360,2878,10467,9838,20305,3650,3638,7288,2149,2007,4156,1909,1666,3575,7708,7311,15019,388,340,728,222,348,570,937,446,1383,936,1345,2281,28,18,46,2511,2497,5008,2148,2570,4718,509,664,1173,303,344,647,1116,1665,2781,23,28,51,4099,5271,9370,180,225,405,462,907,1369,8,22,30,650,1154,1804,6551,6466,13017,34771,35162,69933,Sydney - Northern Beaches
123,2608,2342,4950,8096,7768,15864,1848,1800,3648,1274,1233,2507,11218,10801,22019,5772,5975,11747,2125,2114,4239,1023,980,2003,8920,9069,17989,564,588,1152,216,489,705,1389,677,2066,866,1229,2095,47,39,86,3082,3022,6104,1641,2209,3850,360,666,1026,280,394,674,708,1174,1882,18,34,52,3007,4477,7484,170,208,378,321,711,1032,12,19,31,503,938,1441,7601,7774,15375,36939,38423,75362,Sydney - Outer South West
124,3143,2797,5940,8813,8297,17110,2615,2626,5241,1571,1413,2984,12999,12336,25335,5904,5813,11717,2841,2958,5799,1535,1504,3039,10280,10275,20555,584,737,1321,295,629,924,1705,882,2587,1178,1812,2990,42,43,85,3804,4103,7907,1810,2606,4416,561,872,1433,293,459,752,1036,1825,2861,28,26,54,3728,5788,9516,167,245,412,422,904,1326,8,14,22,597,1163,1760,9195,8993,18188,43746,45455,89201,Sydney - Outer West and Blue Mountains
125,3248,3045,6293,10298,9286,19584,3636,3646,7282,1250,1214,2464,15184,14146,29330,7873,7579,15452,3444,3356,6800,1513,1195,2708,12830,12130,24960,1327,1115,2442,852,1395,2247,1344,673,2017,1685,2201,3886,104,76,180,5312,5460,10772,5246,5763,11009,1976,1862,3838,673,687,1360,1924,2053,3977,102,90,192,9921,10455,20376,932,988,1920,947,1452,2399,58,65,123,1937,2505,4442,17728,15020,32748,66160,62761,128921,Sydney - Parramatta
126,1499,1330,2829,4047,3807,7854,1459,1449,2908,619,524,1143,6125,5780,11905,2895,2729,5624,1991,1302,3293,924,941,1865,5810,4972,10782,322,292,614,248,442,690,451,226,677,558,885,1443,17,22,39,1596,1867,3463,3983,4660,8643,1114,1113,2227,354,372,726,1090,1299,2389,47,51,98,6588,7495,14083,172,194,366,332,520,852,4,15,19,508,729,1237,3939,3911,7850,26065,26084,52149,Sydney - Ryde
127,2978,2767,5745,10839,9915,20754,3571,3594,7165,1626,1661,3287,16036,15170,31206,9639,9136,18775,3246,3294,6540,1406,1400,2806,14291,13830,28121,1279,1213,2492,581,1236,1817,1529,656,2185,1374,1820,3194,89,85,174,4852,5010,9862,3888,4992,8880,653,883,1536,488,642,1130,853,1255,2108,57,71,128,5939,7843,13782,527,735,1262,501,1065,1566,47,52,99,1075,1852,2927,14446,14344,28790,59617,60816,120433,Sydney - South West
128,2292,2139,4431,6283,5967,12250,2073,2014,4087,548,514,1062,8904,8495,17399,4455,4289,8744,1852,1866,3718,800,782,1582,7107,6937,14044,342,363,705,126,249,375,1313,523,1836,735,1106,1841,28,28,56,2544,2269,4813,2116,2742,4858,343,552,895,377,405,782,912,1325,2237,23,22,45,3771,5046,8817,99,132,231,355,639,994,8,11,19,462,782,1244,5061,5110,10171,30141,30778,60919,Sydney - Sutherland
197,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,14,3,17,Migratory - Offshore - Shipping (NSW)
199,37,39,76,157,140,297,20,13,33,19,21,40,196,174,370,119,121,240,15,14,29,18,12,30,152,147,299,43,32,75,26,31,57,28,33,61,35,73,108,3,4,7,135,173,308,95,136,231,58,62,120,13,13,26,43,63,106,0,4,4,209,278,487,28,33,61,23,35,58,4,0,4,55,68,123,1956,864,2820,2740,1743,4483,Special Purpose Codes SA4 (NSW)
201,1285,1203,2488,3964,3687,7651,1472,1483,2955,515,509,1024,5951,5679,11630,2569,2678,5247,1548,1318,2866,977,1003,1980,5094,4999,10093,244,267,511,112,183,295,456,232,688,401,629,1030,12,8,20,1225,1319,2544,1336,1925,3261,395,593,988,108,151,259,477,930,1407,18,11,29,2334,3610,5944,146,184,330,273,534,807,15,11,26,434,729,1163,4834,4796,9630,21157,22335,43492,Ballarat
202,1169,1091,2260,3947,3698,7645,1373,1349,2722,477,475,952,5797,5522,11319,2922,2959,5881,1034,1101,2135,694,754,1448,4650,4814,9464,353,318,671,116,198,314,484,287,771,453,806,1259,17,16,33,1423,1625,3048,929,1584,2513,246,468,714,57,152,209,409,804,1213,12,9,21,1653,3017,4670,119,169,288,250,516,766,14,17,31,383,702,1085,4776,4566,9342,19851,21337,41188,Bendigo
203,2226,1989,4215,7243,6661,13904,2011,2007,4018,1131,1119,2250,10385,9787,20172,4703,4244,8947,1833,2344,4177,2062,1817,3879,8598,8405,17003,610,637,1247,219,424,643,899,533,1432,966,1330,2296,27,30,57,2721,2954,5675,2095,2738,4833,545,885,1430,193,300,493,709,1346,2055,20,24,44,3562,5293,8855,291,298,589,486,1021,1507,21,12,33,798,1331,2129,7896,7185,15081,36186,36944,73130,Geelong
204,1423,1268,2691,4311,4187,8498,1723,1727,3450,458,490,948,6492,6404,12896,3505,3407,6912,1550,1603,3153,579,652,1231,5634,5662,11296,403,351,754,162,285,447,693,413,1106,595,1213,1808,22,16,38,1875,2278,4153,323,701,1024,125,285,410,64,142,206,365,768,1133,9,6,15,886,1902,2788,305,143,448,193,503,696,14,9,23,512,655,1167,4924,4678,9602,21746,22847,44593,Hume
205,2104,1918,4022,7339,6979,14318,1990,1969,3959,782,847,1629,10111,9795,19906,5288,5108,10396,1937,2052,3989,1228,1333,2561,8453,8493,16946,401,576,977,161,448,609,993,748,1741,752,1467,2219,48,23,71,2355,3262,5617,598,1129,1727,213,475,688,123,233,356,469,1122,1591,10,13,23,1413,2972,4385,233,239,472,337,748,1085,18,28,46,588,1015,1603,9238,8479,17717,34262,35934,70196,Latrobe - Gippsland
206,3128,3035,6163,6915,6354,13269,2665,2738,5403,1767,1986,3753,11347,11078,22425,3921,3553,7474,1861,2131,3992,2548,2775,5323,8330,8459,16789,1675,1640,3315,1259,1410,2669,725,525,1250,1799,2134,3933,53,41,94,5511,5750,11261,12178,15118,27296,5087,5959,11046,820,1182,2002,4544,6941,11485,109,110,219,22738,29310,52048,884,1143,2027,1277,2290,3567,40,51,91,2201,3484,5685,23416,20426,43842,76671,81542,158213,Melbourne - Inner
207,3158,3004,6162,8540,7695,16235,2958,2710,5668,1717,2071,3788,13215,12476,25691,5224,4884,10108,2626,2354,4980,4343,4700,9043,12193,11938,24131,1182,873,2055,503,655,1158,686,305,991,794,1087,1881,34,24,58,3199,2944,6143,8361,8994,17355,2072,1984,4056,617,733,1350,1755,2619,4374,72,78,150,12877,14408,27285,364,424,788,699,1386,2085,21,42,63,1084,1852,2936,8558,8778,17336,54284,55400,109684,Melbourne - Inner East
208,3962,3587,7549,9012,8464,17476,3377,3388,6765,3005,3041,6046,15394,14893,30287,4622,4134,8756,2691,2769,5460,4739,4566,9305,12052,11469,23521,1032,836,1868,481,633,1114,918,367,1285,942,1363,2305,51,32,83,3424,3231,6655,5749,6701,12450,1411,1629,3040,501,601,1102,1717,2743,4460,53,47,100,9431,11721,21152,432,392,824,684,1344,2028,32,34,66,1148,1770,2918,10907,11077,21984,56318,57748,114066,Melbourne - Inner South
209,4071,3757,7828,11735,10804,22539,4593,4423,9016,1294,1313,2607,17622,16540,34162,8417,7910,16327,3860,4139,7999,1917,2079,3996,14194,14128,28322,1440,1238,2678,607,857,1464,1624,673,2297,1280,1631,2911,81,57,138,5032,4456,9488,5495,6927,12422,1861,2107,3968,439,676,1115,1597,2605,4202,64,62,126,9456,12377,21833,691,739,1430,875,1844,2719,37,59,96,1603,2642,4245,13686,13423,27109,65664,67323,132987,Melbourne - North East
210,2685,2520,5205,8096,7489,15585,3880,3687,7567,1557,1644,3201,13533,12820,26353,6186,6262,12448,2961,2965,5926,2005,2070,4075,11152,11297,22449,1208,1046,2254,517,656,1173,1177,554,1731,854,1149,2003,55,42,97,3811,3447,7258,2801,3635,6436,701,901,1602,292,452,744,829,1356,2185,31,48,79,4654,6392,11046,599,625,1224,669,1258,1927,42,33,75,1310,1916,3226,11689,11567,23256,48834,49959,98793,Melbourne - North West
211,4594,4144,8738,14894,13698,28592,3285,3369,6654,2131,2099,4230,20310,19166,39476,10014,10200,20214,3654,3429,7083,3462,3523,6985,17130,17152,34282,1484,1470,2954,480,710,1190,2388,1029,3417,1570,2122,3692,83,44,127,6005,5375,11380,4548,5732,10280,867,1388,2255,471,719,1190,1610,2699,4309,53,49,102,7549,10587,18136,448,563,1011,940,2210,3150,29,39,68,1417,2812,4229,11179,11356,22535,68184,70592,138776,Melbourne - Outer East
212,5705,5373,11078,18760,17246,36006,5439,5420,10859,2988,3013,6001,27187,25679,52866,14982,13286,28268,4559,4988,9547,4097,4313,8410,23638,22587,46225,2791,2312,5103,1357,1710,3067,2327,1224,3551,2141,2924,5065,115,102,217,8731,8272,17003,9341,10229,19570,2359,2492,4851,644,933,1577,1982,2749,4731,129,121,250,14455,16524,30979,1279,1394,2673,1477,3018,4495,70,79,149,2826,4491,7317,21058,20176,41234,103600,103102,206702,Melbourne - South East
213,5278,5057,10335,16261,15017,31278,6501,6715,13216,2538,2471,5009,25300,24203,49503,11939,10998,22937,5020,5707,10727,2761,2734,5495,19720,19439,39159,2123,1846,3969,1193,1347,2540,1857,883,2740,1694,2226,3920,125,81,206,6992,6383,13375,5890,7209,13099,2028,2401,4429,655,893,1548,2224,3402,5626,93,89,182,10890,13994,24884,1388,1611,2999,1586,3144,4730,72,92,164,3046,4847,7893,25962,23324,49286,97188,97247,194435,Melbourne - West
214,2548,2286,4834,8574,7767,16341,1473,1400,2873,1157,1206,2363,11204,10373,21577,5418,5297,10715,1445,1443,2888,1689,1931,3620,8552,8671,17223,653,661,1314,225,379,604,1322,564,1886,894,1438,2332,35,30,65,3129,3072,6201,1242,1875,3117,310,582,892,140,302,442,592,1208,1800,24,13,37,2308,3980,6288,323,269,592,428,1053,1481,18,24,42,769,1346,2115,9020,10018,19038,37530,39746,77276,Mornington Peninsula
215,1232,1108,2340,4595,4321,8916,1108,1114,2222,408,390,798,6111,5825,11936,4115,3928,8043,925,1036,1961,180,176,356,5220,5140,10360,194,259,453,90,178,268,441,323,764,427,623,1050,21,10,31,1173,1393,2566,199,477,676,75,252,327,62,129,191,249,564,813,3,9,12,588,1431,2019,124,137,261,214,351,565,5,8,13,343,496,839,5476,5202,10678,20143,20595,40738,North West
216,1001,919,1920,3656,3408,7064,1492,1420,2912,287,238,525,5435,5066,10501,2828,2895,5723,1231,1270,2501,445,465,910,4504,4630,9134,205,257,462,79,218,297,539,286,825,380,668,1048,18,13,31,1221,1442,2663,182,410,592,71,162,233,46,106,152,204,446,650,7,8,15,510,1132,1642,109,140,249,194,396,590,7,10,17,310,546,856,4784,4574,9358,17765,18309,36074,Shepparton
217,991,930,1921,3366,3083,6449,1418,1475,2893,355,345,700,5139,4903,10042,2722,2533,5255,1366,1468,2834,423,406,829,4511,4407,8918,173,268,441,53,174,227,477,311,788,397,827,1224,19,21,40,1119,1601,2720,332,645,977,112,276,388,42,94,136,195,497,692,7,4,11,688,1516,2204,88,116,204,166,362,528,11,5,16,265,483,748,3758,3860,7618,16471,17700,34171,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,Migratory - Offshore - Shipping (Vic.)
