sa4_code_2011,sa4_name_2011,_2010_est_res_population,_2010_deaths,_2010_std_death_rate,_2011_est_res_population,_2011_deaths,_2011_std_death_rate,_2012_est_res_population,_2012_deaths,_2012_std_death_rate,_2013_est_res_population,_2013_deaths,_2013_std_death_rate,_2014_est_res_population,_2014_deaths,_2014_std_death_rate,_2015_est_res_population,_2015_deaths,_2015_std_death_rate
316,Sunshine Coast,313823,2203,5.4,318279,2332,5.3,324394,2381,5.2,330114,2237,5.1,335735,2540,5.1,341054,2619,5.0
317,Toowoomba,142902,996,6.5,144258,1010,6.2,146643,1035,6.1,148927,985,5.9,150687,975,5.6,152245,1103,5.6
318,Townsville,220868,1304,6.9,224678,1339,6.7,229302,1363,6.6,233632,1290,6.3,236532,1340,6.1,238233,1439,5.9
319,Wide Bay,277505,2361,6.4,280002,2322,6.2,283925,2500,6.2,286369,2408,6.0,288130,2619,6.1,289196,2637,6.0
401,Adelaide - Central and Hills,286293,2343,5.7,287515,2306,5.6,290581,2329,5.5,292772,2165,5.3,295309,2347,5.2,298444,2289,5.1
402,Adelaide - North,397651,2660,6.4,402307,2641,6.3,407674,2783,6.3,413179,2755,6.2,418859,2872,6.2,423588,2982,6.2
403,Adelaide - South,347303,2638,5.6,350017,2537,5.4,353535,2625,5.3,356117,2543,5.2,358897,2714,5.2,361178,2662,5.1
404,Adelaide - West,221850,1997,6.1,224252,2005,6.0,226810,2051,5.9,229138,2018,5.9,231572,2001,5.8,233569,2157,5.8
405,Barossa - Yorke - Mid North,107733,1121,6.8,108115,1035,6.6,108709,1122,6.6,109157,1058,6.3,109767,1030,6.1,109991,1160,6.0
406,South Australia - Outback,86578,659,7.1,86876,604,6.9,87345,679,6.9,87731,612,6.5,87978,658,6.5,88107,694,6.3
407,South Australia - South East,179914,1502,5.8,180532,1522,5.7,181381,1563,5.7,182180,1630,5.7,183168,1608,5.6,183783,1686,5.6
501,Bunbury,159873,907,5.8,163450,1008,5.8,168524,1025,5.7,173274,969,5.5,177075,1119,5.4,180004,1145,5.4
502,Mandurah,83762,668,6.0,87424,699,5.8,91753,719,5.7,96019,730,5.5,98103,811,5.5,100327,803,5.5
503,Perth - Inner,164706,1059,5.4,167974,1032,5.3,172851,1044,5.2,177523,1029,5.1,179569,1087,5.1,181062,1180,5.3
504,Perth - North East,226995,1233,6.0,232384,1175,5.7,241060,1292,5.6,248957,1359,5.6,254780,1290,5.5,259045,1384,5.5
505,Perth - North West,498623,2485,5.2,513107,2475,5.1,532568,2543,5.1,549374,2625,4.9,558633,2636,4.9,564841,2735,4.9
506,Perth - South East,444822,2437,6.0,458751,2434,5.8,477604,2600,5.6,494973,2532,5.5,504905,2613,5.4,514171,2711,5.3
507,Perth - South West,362224,2091,5.7,373927,1996,5.4,389022,2091,5.3,403159,2165,5.1,412071,2136,5.1,419747,2315,5.0
508,Western Australia - Outback,217589,922,6.9,222978,940,6.8,229387,985,6.6,235034,985,6.5,234207,1021,6.3,233074,1041,6.2
509,Western Australia - Wheat Belt,132251,859,6.0,133414,845,5.7,135225,959,5.6,137074,923,5.5,137703,987,5.6,137988,1052,5.5
601,Hobart,214669,1804,6.8,216273,1715,6.6,216921,1911,6.7,217977,1787,6.5,219240,1869,6.6,220953,1860,6.4
602,Launceston and North East,143108,1194,6.7,143631,1246,6.6,143469,1258,6.5,143591,1263,6.5,143765,1280,6.4,143874,1341,6.4
603,South East,37173,249,6.2,37495,248,6.0,37595,299,6.1,37636,311,6.4,37800,329,6.8,37925,276,6.4
604,West and North West,113897,971,7.0,114084,1016,6.9,114121,965,6.6,113863,1065,6.7,113921,985,6.5,113834,1148,6.7
701,Darwin,127829,438,7.6,129106,418,7.0,132321,453,6.5,137370,550,6.8,139621,532,6.8,142258,573,7.0
702,Northern Territory - Outback,101949,485,9.7,102186,514,9.4,103560,547,9.4,105199,493,9.1,103747,577,9.2,102049,560,9.2
801,Australian Capital Territory,361766,1679,5.6,367985,1700,5.4,375183,1706,5.2,380914,1700,5.0,385346,1813,4.9,390706,1859,4.9
