sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
401,127822,130905,133242,134841,138691,47,47,47,47,47,1848136441,1937225222,2021621284,2188503646,2206536207,887,838,742,712,659,14459,14799,15173,16230,15910,18.6,18.7,18.8,18.8,19.4,Adelaide - Central and Hills
402,117459,121790,124355,127420,131663,44,44,44,44,44,404893180,424737740,446383048,472816512,496280512,214,207,174,159,140,3447,3487,3590,3711,3769,8.2,8.3,8.3,8.3,8.8,Adelaide - North
403,131879,135473,137967,140542,143690,47,48,48,48,47,878803519,923745028,976941421,1019447250,1034527960,384,370,313,283,257,6664,6819,7081,7254,7200,12.7,12.7,12.7,12.7,13.2,Adelaide - South
404,77208,80502,82642,84736,88039,45,45,45,45,44,503832691,572829911,600576060,625337155,633986783,435,413,354,330,290,6526,7116,7267,7380,7201,12.2,12.3,12.1,12.2,12.6,Adelaide - West
405,38839,40286,40517,41086,41981,50,50,50,51,51,276553673,299263934,298835488,316180225,338303082,568,506,438,402,347,7121,7428,7376,7696,8058,14.3,14.6,15.3,14.6,14.4,Barossa - Yorke - Mid North
406,26781,27774,27798,28275,28502,47,47,47,47,47,158240692,167763951,177249784,178376438,182236144,375,347,303,273,232,5909,6040,6376,6309,6394,10.1,10.1,10.6,10.4,10.9,South Australia - Outback
407,63320,65026,66081,66613,68614,50,50,51,51,51,433409947,462402340,462537175,513051331,506831583,521,494,421,391,347,6845,7111,7000,7702,7387,14.6,14.8,15.2,14.7,14.8,South Australia - South East
501,60853,64423,65934,68605,71100,47,47,48,48,48,460722775,536546159,589834415,629838308,635062703,373,348,323,273,239,7571,8328,8946,9181,8932,13.7,13.7,13.7,13.7,14.0,Bunbury
502,27937,30056,31364,33024,34782,50,50,50,49,49,225291008,239709796,284022086,295919883,277781177,341,316,260,209,177,8064,7975,9056,8961,7986,15.6,14.8,14.5,14.2,14.5,Mandurah
503,76646,81194,84696,86812,90739,44,44,44,44,44,1872772105,2038652291,2155787603,2324479501,2298693038,1180,1108,1036,1036,958,24434,25108,25453,26776,25333,19.3,18.9,18.7,19.1,19.8,Perth - Inner
